CHILDCODE	IMEVIDR4	RKEVR4	PR2009R4	PR2010R4	PR2011R4	PR2012R4	PR2013R4
28003	3	98	 	 	 	 	 
28004	1	39	 	4	 	 	 
28004	2	98	 	 	 	 	 
28004	3	98	 	 	 	 	 
28006	1	30	 	 	 	 	2
28006	2	98	 	 	 	 	 
28006	3	98	 	 	 	 	 
28007	1	98	 	 	 	 	 
28007	2	98	 	 	 	 	 
28007	3	98	 	 	 	 	 
28008	1	62	 	 	 	 	4
28008	2	45	 	 	 	4	 
28008	3	39	 	 	 	3	2
28009	1	28	 	 	 	 	4
28009	2	98	 	 	 	 	 
28009	3	98	 	 	 	 	 
28011	1	28	 	 	 	2	2
28011	2	98	 	 	 	 	 
28011	3	98	 	 	 	 	 
28012	1	28	4	2	1	4	4
28012	2	62	4	 	 	 	 
28012	3	98	 	 	 	 	 
28013	1	38	4	2	2	3	4
28013	2	41	 	 	 	1	3
28013	3	4	 	 	2	 	 
28014	1	15	 	 	 	 	3
28014	2	45	 	 	 	 	1
28014	3	98	 	 	 	 	 
28015	1	39	 	 	 	 	3
28015	2	46	 	 	 	 	3
28015	3	98	 	 	 	 	 
28016	1	46	 	1	1	 	 
28016	2	45	 	 	 	4	 
28016	3	40	 	 	 	1	 
28017	1	45	 	 	 	2	 
28017	2	28	 	 	 	 	4
28017	3	98	 	 	 	 	 
28018	1	36	 	 	 	4	4
28018	2	28	3	3	3	3	2
28018	3	98	 	 	 	 	 
28020	1	28	 	 	 	 	3
28020	2	98	 	 	 	 	 
28020	3	98	 	 	 	 	 
28021	1	39	 	 	3	3	4
28021	2	28	 	 	 	2	2
28021	3	13	 	 	 	 	2
28022	1	40	 	 	 	4	 
28022	2	41	 	 	 	4	 
28022	3	98	 	 	 	 	 
28023	1	5	 	 	2	 	 
28023	2	13	 	4	 	 	 
28023	3	98	 	 	 	 	 
28024	1	28	 	 	 	3	 
28024	2	13	 	 	 	 	4
28024	3	98	 	 	 	 	 
28025	1	36	 	 	4	 	 
28025	2	41	 	 	2	 	 
28025	3	45	2	 	 	 	 
38001	1	98	 	 	 	 	 
38001	2	98	 	 	 	 	 
38001	3	98	 	 	 	 	 
38002	1	34	 	4	 	 	 
38002	2	29	 	 	 	3	 
38002	3	27	 	 	3	 	 
38003	1	39	 	 	 	 	3
38003	2	24	 	 	 	3	 
38003	3	27	 	 	 	2	 
38004	1	35	 	 	4	 	 
38004	2	12	 	 	 	2	 
38004	3	98	 	 	 	 	 
38005	1	28	 	 	 	3	 
38005	2	31	 	 	3	 	 
38005	3	98	 	 	 	 	 
38006	1	98	 	 	 	 	 
38006	2	98	 	 	 	 	 
38006	3	98	 	 	 	 	 
38007	1	2	 	 	4	4	 
38007	2	98	 	 	 	 	 
38007	3	98	 	 	 	 	 
38008	1	37	 	4	 	 	 
38008	2	39	 	 	3	 	 
38008	3	98	 	 	 	 	 
38010	1	45	 	 	 	4	 
38010	2	38	 	 	 	 	3
38010	3	98	 	 	 	 	 
38011	1	98	 	 	 	 	 
38011	2	98	 	 	 	 	 
38011	3	98	 	 	 	 	 
38012	1	98	 	 	 	 	 
38012	2	98	 	 	 	 	 
38012	3	98	 	 	 	 	 
38013	1	98	 	 	 	 	 
38013	2	98	 	 	 	 	 
38013	3	98	 	 	 	 	 
38015	1	28	 	 	 	 	4
38015	2	45	 	 	 	4	 
38015	3	98	 	 	 	 	 
38017	1	98	 	 	 	 	 
38017	2	98	 	 	 	 	 
38017	3	98	 	 	 	 	 
38019	1	10	 	 	 	 	4
38019	2	98	 	 	 	 	 
38019	3	98	 	 	 	 	 
38020	1	38	 	 	4	 	 
38020	2	28	 	 	 	3	4
38020	3	31	 	 	 	 	2
38021	1	98	 	 	 	 	 
38021	2	98	 	 	 	 	 
38021	3	98	 	 	 	 	 
38022	1	98	 	 	 	 	 
38022	2	98	 	 	 	 	 
38022	3	98	 	 	 	 	 
38023	1	98	 	 	 	 	 
38023	2	98	 	 	 	 	 
38023	3	98	 	 	 	 	 
38024	1	98	 	 	 	 	 
38024	2	98	 	 	 	 	 
38024	3	98	 	 	 	 	 
38025	1	98	 	 	 	 	 
38025	2	98	 	 	 	 	 
38025	3	98	 	 	 	 	 
48001	1	98	 	 	 	 	 
48001	2	98	 	 	 	 	 
48001	3	98	 	 	 	 	 
48002	1	98	 	 	 	 	 
48002	2	98	 	 	 	 	 
48002	3	98	 	 	 	 	 
48003	1	46	 	 	 	 	4
48003	2	41	 	 	 	 	2
48003	3	45	 	 	3	 	 
48004	1	98	 	 	 	 	 
48004	2	98	 	 	 	 	 
48004	3	98	 	 	 	 	 
48005	1	42	 	 	 	 	4
48005	2	45	 	 	 	 	4
48005	3	98	 	 	 	 	 
48006	1	98	 	 	 	 	 
48006	2	98	 	 	 	 	 
48006	3	98	 	 	 	 	 
48007	1	98	 	 	 	 	 
48007	2	98	 	 	 	 	 
48007	3	98	 	 	 	 	 
48008	1	98	 	 	 	 	 
48008	2	98	 	 	 	 	 
48008	3	98	 	 	 	 	 
48009	1	41	 	 	 	 	2
48009	2	98	 	 	 	 	 
48009	3	98	 	 	 	 	 
48010	1	98	 	 	 	 	 
48010	2	98	 	 	 	 	 
48010	3	98	 	 	 	 	 
48011	1	38	 	 	3	4	 
48011	2	98	 	 	 	 	 
48011	3	98	 	 	 	 	 
48013	1	13	 	 	3	3	3
48013	2	98	 	 	 	 	 
48013	3	98	 	 	 	 	 
48014	1	39	 	 	4	 	 
48014	2	98	 	 	 	 	 
48014	3	98	 	 	 	 	 
48015	1	40	 	 	 	4	 
48015	2	1	 	 	 	 	3
48015	3	2	 	 	 	 	3
48016	1	39	 	3	 	 	 
48016	2	29	 	 	 	4	 
48016	3	31	4	 	 	 	 
48017	1	34	 	 	4	 	 
48017	2	37	 	4	 	 	 
48017	3	54	 	 	 	1	 
48018	1	32	 	4	 	 	 
48018	2	2	 	 	 	3	 
48018	3	37	 	 	 	4	 
48019	1	38	 	 	 	3	 
48019	2	28	 	 	 	3	 
48019	3	1	 	 	 	 	2
48020	1	37	 	 	 	4	 
48020	2	38	 	 	 	 	4
48020	3	2	 	 	4	 	 
48021	1	1	 	 	 	 	2
48021	2	2	 	 	 	 	2
48021	3	5	 	 	 	 	2
48022	1	45	4	 	 	 	 
48022	2	29	 	3	 	 	 
48022	3	25	 	3	 	 	 
48023	1	98	 	 	 	 	 
48023	2	98	 	 	 	 	 
48023	3	98	 	 	 	 	 
48024	1	41	 	 	 	 	3
48024	2	4	 	 	 	1	1
48024	3	98	 	 	 	 	 
48025	1	13	 	 	 	3	 
48025	2	25	 	 	 	3	 
48025	3	27	 	4	 	 	 
48026	1	4	 	 	 	3	 
48026	2	28	 	 	4	4	 
48026	3	1	 	 	 	2	 
58002	1	38	 	 	 	 	4
58002	2	28	 	 	 	 	3
58002	3	98	 	 	 	 	 
58003	1	14	 	 	 	 	4
58003	2	38	 	 	 	3	3
58003	3	98	 	 	 	 	 
58004	1	37	 	 	 	1	1
58004	2	98	 	 	 	 	 
58004	3	98	 	 	 	 	 
58006	1	40	 	 	4	4	3
58006	2	41	 	 	 	 	2
58006	3	45	 	3	3	 	 
58007	1	98	 	 	 	 	 
58007	2	98	 	 	 	 	 
58007	3	98	 	 	 	 	 
58008	1	29	 	4	 	 	 
58008	2	98	 	 	 	 	 
58008	3	98	 	 	 	 	 
58011	1	3	 	 	 	 	3
58011	2	29	 	4	 	 	 
58011	3	37	 	 	 	4	 
58012	1	38	 	 	 	4	 
58012	2	14	 	 	3	 	 
58012	3	13	 	 	4	 	 
58013	1	25	 	 	 	4	 
58013	2	31	4	1	1	1	1
58013	3	98	 	 	 	 	 
58014	1	3	 	 	 	 	4
58014	2	27	 	 	 	 	3
58014	3	31	 	 	 	3	 
58015	1	37	 	 	 	4	 
58015	2	41	 	 	4	 	4
58015	3	98	 	 	 	 	 
58016	1	69	 	 	3	 	 
58016	2	98	 	 	 	 	 
58016	3	98	 	 	 	 	 
58017	1	98	 	 	 	 	 
58017	2	98	 	 	 	 	 
58017	3	98	 	 	 	 	 
58019	1	98	 	 	 	 	 
58019	2	98	 	 	 	 	 
58019	3	98	 	 	 	 	 
58020	1	98	 	 	 	 	 
58020	2	98	 	 	 	 	 
58020	3	98	 	 	 	 	 
58021	1	37	 	 	 	 	4
58021	2	38	 	 	 	 	2
58021	3	41	 	 	 	 	2
58022	1	98	 	 	 	 	 
58022	2	98	 	 	 	 	 
58022	3	98	 	 	 	 	 
58023	1	28	 	 	3	3	 
58023	2	37	 	 	 	4	 
58023	3	98	 	 	 	 	 
58025	1	98	 	 	 	 	 
58025	2	98	 	 	 	 	 
58025	3	98	 	 	 	 	 
58026	1	28	 	 	 	 	4
58026	2	29	 	 	 	 	4
58026	3	98	 	 	 	 	 
58027	1	28	 	 	 	4	4
58027	2	62	 	 	 	4	4
58027	3	31	 	 	 	3	3
58028	1	28	 	 	 	4	4
58028	2	62	 	 	 	 	3
58028	3	98	 	 	 	 	 
58029	1	38	 	 	 	 	4
58029	2	39	 	 	 	 	4
58029	3	27	 	 	 	4	4
58030	1	45	 	 	 	 	3
58030	2	98	 	 	 	 	 
58030	3	98	 	 	 	 	 
68001	1	36	 	3	 	 	 
68001	2	98	 	 	 	 	 
68001	3	98	 	 	 	 	 
68002	1	39	 	 	 	 	2
68002	2	62	 	 	3	4	 
68002	3	98	 	 	 	 	 
68003	1	63	 	 	 	3	4
68003	2	41	 	 	 	 	4
68003	3	98	 	 	 	 	 
68004	1	98	 	 	 	 	 
68004	2	98	 	 	 	 	 
68004	3	98	 	 	 	 	 
68005	1	98	 	 	 	 	 
68005	2	98	 	 	 	 	 
68005	3	98	 	 	 	 	 
68006	1	34	 	4	 	 	 
68006	2	98	 	 	 	 	 
68006	3	98	 	 	 	 	 
68007	1	45	 	2	 	 	2
68007	2	98	 	 	 	 	 
68007	3	98	 	 	 	 	 
68008	1	25	 	 	 	 	2
68008	2	33	 	 	 	 	3
68008	3	98	 	 	 	 	 
68009	1	38	 	 	 	2	 
68009	2	98	 	 	 	 	 
68009	3	98	 	 	 	 	 
68010	1	98	 	 	 	 	 
68010	2	98	 	 	 	 	 
68010	3	98	 	 	 	 	 
68011	1	29	 	 	 	 	2
68011	2	41	 	 	1	 	 
68011	3	98	 	 	 	 	 
68012	1	98	 	 	 	 	 
68012	2	98	 	 	 	 	 
68012	3	98	 	 	 	 	 
68013	1	98	 	 	 	 	 
68013	2	98	 	 	 	 	 
68013	3	98	 	 	 	 	 
68015	1	38	 	 	 	 	3
68015	2	98	 	 	 	 	 
68015	3	98	 	 	 	 	 
68016	1	98	 	 	 	 	 
68016	2	98	 	 	 	 	 
68016	3	98	 	 	 	 	 
68017	1	38	 	 	1	1	1
68017	2	98	 	 	 	 	 
68017	3	98	 	 	 	 	 
68018	1	98	 	 	 	 	 
68018	2	98	 	 	 	 	 
68018	3	98	 	 	 	 	 
68019	1	42	 	 	 	3	3
68019	2	37	 	 	3	4	2
68019	3	10	 	 	2	2	2
68020	1	45	 	 	2	 	2
68020	2	37	 	 	 	2	 
68020	3	41	 	2	 	 	 
68021	1	40	 	2	 	 	 
68021	2	45	 	 	2	3	3
68021	3	98	 	 	 	 	 
68022	1	39	 	 	 	 	3
68022	2	41	 	 	 	2	 
68022	3	98	 	 	 	 	 
68023	1	42	 	 	 	 	4
68023	2	98	 	 	 	 	 
68023	3	98	 	 	 	 	 
68024	1	98	 	 	 	 	 
68024	2	98	 	 	 	 	 
68024	3	98	 	 	 	 	 
68025	1	98	 	 	 	 	 
68025	2	98	 	 	 	 	 
68025	3	98	 	 	 	 	 
78001	1	98	 	 	 	 	 
78001	2	98	 	 	 	 	 
78001	3	98	 	 	 	 	 
78002	1	12	 	3	 	 	 
78002	2	98	 	 	 	 	 
78002	3	98	 	 	 	 	 
78003	1	60	 	 	 	 	1
78003	2	98	 	 	 	 	 
78003	3	98	 	 	 	 	 
78005	1	5	 	 	4	 	 
78005	2	34	 	 	 	4	 
78005	3	38	 	 	 	 	3
78006	1	39	 	 	 	 	4
78006	2	40	 	 	 	 	2
78006	3	98	 	 	 	 	 
78007	1	98	 	 	 	 	 
78007	2	98	 	 	 	 	 
78007	3	98	 	 	 	 	 
78008	1	5	 	 	 	 	2
78008	2	38	 	 	 	 	4
78008	3	45	 	 	4	 	 
78009	1	36	 	 	 	4	 
78009	2	98	 	 	 	 	 
78009	3	98	 	 	 	 	 
78010	1	98	 	 	 	 	 
78010	2	98	 	 	 	 	 
78010	3	98	 	 	 	 	 
78011	1	1	 	 	4	 	 
78011	2	98	 	 	 	 	 
78011	3	98	 	 	 	 	 
78012	1	34	 	 	4	 	 
78012	2	98	 	 	 	 	 
78012	3	98	 	 	 	 	 
78013	1	38	 	 	 	 	1
78013	2	98	 	 	 	 	 
78013	3	98	 	 	 	 	 
78014	1	42	 	 	 	3	3
78014	2	98	 	 	 	 	 
78014	3	98	 	 	 	 	 
78015	1	63	 	4	4	4	4
78015	2	98	 	 	 	 	 
78015	3	98	 	 	 	 	 
78016	1	98	 	 	 	 	 
78016	2	98	 	 	 	 	 
78016	3	98	 	 	 	 	 
78017	1	98	 	 	 	 	 
78017	2	98	 	 	 	 	 
78017	3	98	 	 	 	 	 
78018	1	98	 	 	 	 	 
78018	2	98	 	 	 	 	 
78018	3	98	 	 	 	 	 
78019	1	42	 	 	 	 	2
78019	2	98	 	 	 	 	 
78019	3	98	 	 	 	 	 
78020	1	98	 	 	 	 	 
78020	2	98	 	 	 	 	 
78020	3	98	 	 	 	 	 
78021	1	98	 	 	 	 	 
78021	2	98	 	 	 	 	 
78021	3	98	 	 	 	 	 
78022	1	98	 	 	 	 	 
78022	2	98	 	 	 	 	 
78022	3	98	 	 	 	 	 
78024	1	98	 	 	 	 	 
78024	2	98	 	 	 	 	 
78024	3	98	 	 	 	 	 
78026	1	98	 	 	 	 	 
78026	2	98	 	 	 	 	 
78026	3	98	 	 	 	 	 
78027	1	38	 	4	 	 	 
78027	2	98	 	 	 	 	 
78027	3	98	 	 	 	 	 
78028	1	98	 	 	 	 	 
78028	2	98	 	 	 	 	 
78028	3	98	 	 	 	 	 
78029	1	45	 	 	 	2	3
78029	2	98	 	 	 	 	 
78029	3	98	 	 	 	 	 
78030	1	40	 	 	4	 	 
78030	2	27	4	2	2	2	1
78030	3	5	 	 	 	 	3
78031	1	24	4	3	2	2	2
78031	2	98	 	 	 	 	 
78031	3	98	 	 	 	 	 
78032	1	40	 	4	 	 	 
78032	2	42	 	 	 	2	 
78032	3	98	 	 	 	 	 
78033	1	40	 	 	 	4	 
78033	2	98	 	 	 	 	 
78033	3	98	 	 	 	 	 
78034	1	98	 	 	 	 	 
78034	2	98	 	 	 	 	 
78034	3	98	 	 	 	 	 
78035	1	98	 	 	 	 	 
78035	2	98	 	 	 	 	 
78035	3	98	 	 	 	 	 
78036	1	55	 	 	4	 	 
78036	2	98	 	 	 	 	 
78036	3	98	 	 	 	 	 
78037	1	45	4	 	 	 	 
78037	2	63	 	 	 	 	4
78037	3	37	 	 	4	4	4
78038	1	69	 	 	 	3	 
78038	2	98	 	 	 	 	 
78038	3	98	 	 	 	 	 
78039	1	38	 	 	 	 	2
78039	2	98	 	 	 	 	 
78039	3	98	 	 	 	 	 
78040	1	1	 	 	 	4	 
78040	2	38	 	 	 	 	4
78040	3	98	 	 	 	 	 
78041	1	69	 	2	 	 	 
78041	2	98	 	 	 	 	 
78041	3	98	 	 	 	 	 
78042	1	98	 	 	 	 	 
78042	2	98	 	 	 	 	 
78042	3	98	 	 	 	 	 
78043	1	42	 	 	4	4	4
78043	2	25	 	 	1	1	 
78043	3	26	 	 	 	1	 
78044	1	40	4	 	 	 	 
78044	2	98	 	 	 	 	 
78044	3	98	 	 	 	 	 
78045	1	98	 	 	 	 	 
78045	2	98	 	 	 	 	 
78045	3	98	 	 	 	 	 
78046	1	2	 	 	 	 	4
78046	2	40	 	4	 	 	 
78046	3	62	 	4	 	 	 
78047	1	38	2	 	 	 	 
78047	2	56	 	 	1	 	 
78047	3	98	 	 	 	 	 
78048	1	62	 	 	4	4	4
78048	2	98	 	 	 	 	 
78048	3	98	 	 	 	 	 
78049	1	98	 	 	 	 	 
78049	2	98	 	 	 	 	 
78049	3	98	 	 	 	 	 
78050	1	98	 	 	 	 	 
78050	2	98	 	 	 	 	 
78050	3	98	 	 	 	 	 
78051	1	63	 	 	3	 	 
78051	2	98	 	 	 	 	 
78051	3	98	 	 	 	 	 
78052	1	41	 	 	 	3	 
78052	2	2	 	 	 	3	 
78052	3	98	 	 	 	 	 
88001	1	36	 	4	 	 	 
88001	2	98	 	 	 	 	 
88001	3	98	 	 	 	 	 
88002	1	98	 	 	 	 	 
88002	2	98	 	 	 	 	 
88002	3	98	 	 	 	 	 
88003	1	5	 	 	 	2	 
88003	2	37	 	 	 	 	4
88003	3	98	 	 	 	 	 
88004	1	39	4	3	3	3	1
88004	2	98	 	 	 	 	 
88004	3	98	 	 	 	 	 
88005	1	62	 	 	 	3	 
88005	2	98	 	 	 	 	 
88005	3	98	 	 	 	 	 
88007	1	38	 	 	 	 	4
88007	2	41	 	 	 	 	3
88007	3	98	 	 	 	 	 
88008	1	1	 	 	 	4	 
88008	2	98	 	 	 	 	 
88008	3	98	 	 	 	 	 
88009	1	40	 	 	 	 	4
88009	2	98	 	 	 	 	 
88009	3	98	 	 	 	 	 
88010	1	39	 	 	 	 	4
88010	2	98	 	 	 	 	 
88010	3	98	 	 	 	 	 
88011	1	38	4	 	 	 	 
88011	2	98	 	 	 	 	 
88011	3	98	 	 	 	 	 
88012	1	42	 	 	 	4	 
88012	2	98	 	 	 	 	 
88012	3	98	 	 	 	 	 
88013	1	63	 	 	 	 	2
88013	2	98	 	 	 	 	 
88013	3	98	 	 	 	 	 
88014	1	6	 	 	 	4	 
88014	2	98	 	 	 	 	 
88014	3	98	 	 	 	 	 
88015	1	38	 	3	2	2	2
88015	2	41	 	 	 	 	2
88015	3	98	 	 	 	 	 
88016	1	1	 	 	 	 	2
88016	2	2	 	 	 	 	3
88016	3	98	 	 	 	 	 
88017	1	98	 	 	 	 	 
88017	2	98	 	 	 	 	 
88017	3	98	 	 	 	 	 
88019	1	15	 	 	 	4	 
88019	2	39	 	 	 	 	4
88019	3	98	 	 	 	 	 
88020	1	98	 	 	 	 	 
88020	2	98	 	 	 	 	 
88020	3	98	 	 	 	 	 
88021	1	98	 	 	 	 	 
88021	2	98	 	 	 	 	 
88021	3	98	 	 	 	 	 
88022	1	98	 	 	 	 	 
88022	2	98	 	 	 	 	 
88022	3	98	 	 	 	 	 
88024	1	39	 	 	 	 	2
88024	2	98	 	 	 	 	 
88024	3	98	 	 	 	 	 
88025	1	62	 	 	 	4	3
88025	2	41	 	 	2	 	4
88025	3	98	 	 	 	 	 
88026	1	45	2	2	2	 	 
88026	2	98	 	 	 	 	 
88026	3	98	 	 	 	 	 
88027	1	98	 	 	 	 	 
88027	2	98	 	 	 	 	 
88027	3	98	 	 	 	 	 
88028	1	62	 	 	 	 	4
88028	2	98	 	 	 	 	 
88028	3	98	 	 	 	 	 
88029	1	98	 	 	 	 	 
88029	2	98	 	 	 	 	 
88029	3	98	 	 	 	 	 
88031	1	98	 	 	 	 	 
88031	2	98	 	 	 	 	 
88031	3	98	 	 	 	 	 
98001	1	98	 	 	 	 	 
98001	2	98	 	 	 	 	 
98001	3	98	 	 	 	 	 
98002	1	98	 	 	 	 	 
98002	2	98	 	 	 	 	 
98002	3	98	 	 	 	 	 
98004	1	98	 	 	 	 	 
98004	2	98	 	 	 	 	 
98004	3	98	 	 	 	 	 
98006	1	40	 	 	 	4	4
98006	2	98	 	 	 	 	 
98006	3	98	 	 	 	 	 
98007	1	98	 	 	 	 	 
98007	2	98	 	 	 	 	 
98007	3	98	 	 	 	 	 
98008	1	45	 	 	 	 	4
98008	2	98	 	 	 	 	 
98008	3	98	 	 	 	 	 
98009	1	98	 	 	 	 	 
98009	2	98	 	 	 	 	 
98009	3	98	 	 	 	 	 
98010	1	42	 	 	 	4	4
98010	2	30	3	3	3	3	3
98010	3	31	2	2	2	2	2
98011	1	69	 	 	 	 	2
98011	2	98	 	 	 	 	 
98011	3	98	 	 	 	 	 
98012	1	15	 	 	 	 	4
98012	2	41	 	 	 	 	3
98012	3	98	 	 	 	 	 
98013	1	45	 	 	 	3	4
98013	2	38	 	 	 	 	2
98013	3	98	 	 	 	 	 
98014	1	37	 	 	 	 	4
98014	2	38	 	 	 	 	4
98014	3	98	 	 	 	 	 
98015	1	20	 	 	2	3	 
98015	2	42	 	 	 	3	4
98015	3	98	 	 	 	 	 
98016	1	98	 	 	 	 	 
98016	2	98	 	 	 	 	 
98016	3	98	 	 	 	 	 
98017	1	3	 	 	4	 	 
98017	2	39	 	3	3	3	3
98017	3	98	 	 	 	 	 
98018	1	98	 	 	 	 	 
98018	2	98	 	 	 	 	 
98018	3	98	 	 	 	 	 
98020	1	98	 	 	 	 	 
98020	2	98	 	 	 	 	 
98020	3	98	 	 	 	 	 
98022	1	37	 	 	 	3	2
98022	2	98	 	 	 	 	 
98022	3	98	 	 	 	 	 
98023	1	4	 	 	 	3	 
98023	2	98	 	 	 	 	 
98023	3	98	 	 	 	 	 
98024	1	98	 	 	 	 	 
98024	2	98	 	 	 	 	 
98024	3	98	 	 	 	 	 
98025	1	28	 	 	4	3	2
98025	2	41	 	 	4	3	 
98025	3	5	 	 	 	4	 
98026	1	98	 	 	 	 	 
98026	2	98	 	 	 	 	 
98026	3	98	 	 	 	 	 
98028	1	41	 	 	 	3	 
98028	2	39	 	 	 	2	2
98028	3	98	 	 	 	 	 
98029	1	98	 	 	 	 	 
98029	2	98	 	 	 	 	 
98029	3	98	 	 	 	 	 
108002	1	69	 	 	 	1	 
108002	2	98	 	 	 	 	 
108002	3	98	 	 	 	 	 
108003	1	98	 	 	 	 	 
108003	2	98	 	 	 	 	 
108003	3	98	 	 	 	 	 
108004	1	69	 	 	 	4	 
108004	2	98	 	 	 	 	 
108004	3	98	 	 	 	 	 
108006	1	98	 	 	 	 	 
108006	2	98	 	 	 	 	 
108006	3	98	 	 	 	 	 
108007	1	38	 	4	 	 	 
108007	2	2	 	3	 	2	 
108007	3	98	 	 	 	 	 
108008	1	69	 	 	 	4	 
108008	2	98	 	 	 	 	 
108008	3	98	 	 	 	 	 
108009	1	1	 	4	 	 	 
108009	2	39	 	 	 	2	 
108009	3	41	 	 	 	2	 
108011	1	98	 	 	 	 	 
108011	2	98	 	 	 	 	 
108011	3	98	 	 	 	 	 
