CHILDCODE	NONFODR4	BGHTR4	SPYRR4
18046	6	0	 
18046	7	0	 
18046	8	0	 
18046	17	0	 
18046	23	0	 
18046	30	0	 
18046	31	0	 
18047	1	1	250
18047	2	1	350
18047	3	0	 
18047	4	0	 
18047	5	1	100
18047	6	1	200
18047	7	0	 
18047	8	0	 
18047	17	1	700
18047	23	0	 
18047	30	0	 
18047	31	0	 
18048	1	0	 
18048	2	1	200
18048	3	0	 
18048	4	0	 
18048	5	0	 
18048	6	0	 
18048	7	0	 
18048	8	0	 
18048	17	0	 
18048	23	1	600
18048	30	1	200
18048	31	0	 
18049	1	0	 
18049	2	0	 
18049	3	0	 
18049	4	0	 
18049	5	1	50
18049	6	1	20
18049	7	0	 
18049	8	0	 
18049	17	0	 
18049	23	0	 
18049	30	0	 
18049	31	0	 
18050	1	1	400
18050	2	1	160
18050	3	0	 
18050	4	0	 
18050	5	1	280
18050	6	1	90
18050	7	0	 
18050	8	0	 
18050	17	1	390
18050	23	0	 
18050	30	1	560
18050	31	0	 
28001	1	1	100
28001	2	1	80
28001	3	0	 
28001	4	1	50
28001	5	1	190
28001	6	1	60
28001	7	0	 
28001	8	1	45
28001	17	0	 
28001	23	0	 
28001	30	0	 
28001	31	0	 
28002	1	1	120
28002	2	1	70
28002	3	0	 
28002	4	1	150
28002	5	1	50
28002	6	1	120
28002	7	0	 
28002	8	0	 
28002	17	0	 
28002	23	0	 
28002	30	0	 
28002	31	0	 
28003	1	1	450
28003	2	1	350
28003	3	0	 
28003	4	0	 
28003	5	1	100
28003	6	1	150
28003	7	0	 
28003	8	0	 
28003	17	1	10000
28003	23	0	 
28003	30	0	 
28003	31	0	 
28004	1	1	180
28004	2	1	80
28004	3	0	 
28004	4	1	100
28004	5	1	50
28004	6	0	 
28004	7	0	 
28004	8	1	50
28004	17	0	 
28004	23	0	 
28004	30	0	 
28004	31	0	 
28006	1	1	170
28006	2	1	170
28006	3	1	100
28006	4	1	80
28006	5	1	130
28006	6	1	130
28006	7	1	70
28006	8	1	45
28006	17	0	 
28006	23	0	 
28006	30	0	 
28006	31	0	 
28007	1	0	 
28007	2	0	 
28007	3	0	 
28007	4	0	 
28007	5	0	 
28007	6	0	 
28007	7	0	 
28007	8	0	 
28007	17	0	 
28007	23	0	 
28007	30	0	 
28007	31	0	 
28008	1	1	200
28008	2	1	100
28008	3	1	150
28008	4	0	 
28008	5	1	140
28008	6	1	50
28008	7	1	100
28008	8	0	 
28008	17	1	700
28008	23	0	 
28008	30	0	 
28008	31	0	 
28009	1	1	70
28009	2	0	 
28009	3	0	 
28009	4	1	100
28009	5	0	 
28009	6	1	10
28009	7	0	 
28009	8	0	 
28009	17	0	 
28009	23	0	 
28009	30	0	 
28009	31	0	 
28011	1	1	50
28011	2	1	250
28011	3	1	60
28011	4	1	300
28011	5	1	80
28011	6	1	150
28011	7	1	90
28011	8	1	190
28011	17	1	100
28011	23	1	1400
28011	30	0	 
28011	31	0	 
28012	1	1	160
28012	2	0	 
28012	3	0	 
28012	4	0	 
28012	5	1	38
28012	6	1	15
28012	7	0	 
28012	8	0	 
28012	17	0	 
28012	23	0	 
28012	30	0	 
28012	31	0	 
28013	1	1	700
28013	2	1	200
28013	3	1	100
28013	4	1	200
28013	5	0	 
28013	6	1	80
28013	7	1	50
28013	8	0	 
28013	17	1	500
28013	23	0	 
28013	30	1	900
28013	31	1	300
28014	1	1	300
28014	2	1	280
28014	3	0	 
28014	4	0	 
28014	5	1	370
28014	6	1	50
28014	7	0	 
28014	8	0	 
28014	17	1	90
28014	23	0	 
28014	30	0	 
28014	31	0	 
28015	1	0	 
28015	2	1	75
28015	3	0	 
28015	4	0	 
28015	5	0	 
28015	6	0	 
28015	7	0	 
28015	8	0	 
28015	17	0	 
28015	23	0	 
28015	30	0	 
28015	31	0	 
28016	1	1	900
28016	2	1	1360
28016	3	1	1200
28016	4	1	200
28016	5	1	130
28016	6	1	75
28016	7	1	50
28016	8	1	95
28016	17	1	1200
28016	23	1	1050
28016	30	0	 
28016	31	0	 
28017	1	1	200
28017	2	1	250
28017	3	1	150
28017	4	1	250
28017	5	1	150
28017	6	1	100
28017	7	1	100
28017	8	1	150
28017	17	1	400
28017	23	0	 
28017	30	0	 
28017	31	0	 
28018	1	1	500
28018	2	1	300
28018	3	0	 
28018	4	0	 
28018	5	1	200
28018	6	1	250
28018	7	0	 
28018	8	0	 
28018	17	1	300
28018	23	0	 
28018	30	0	 
28018	31	0	 
28020	1	0	 
28020	2	0	 
28020	3	1	500
28020	4	0	 
28020	5	1	265
28020	6	1	170
28020	7	1	60
28020	8	0	 
28020	17	0	 
28020	23	0	 
28020	30	1	630
28020	31	1	180
28021	1	1	600
28021	2	1	500
28021	3	0	 
28021	4	0	 
28021	5	1	120
28021	6	1	130
28021	7	0	 
28021	8	0	 
28021	17	1	4000
28021	23	0	 
28021	30	0	 
28021	31	0	 
28022	1	1	100
28022	2	0	 
28022	3	1	50
28022	4	0	 
28022	5	1	50
28022	6	1	70
28022	7	1	30
28022	8	0	 
28022	17	0	 
28022	23	1	800
28022	30	0	 
28022	31	0	 
28023	1	1	400
28023	2	1	400
28023	3	1	600
28023	4	0	 
28023	5	1	150
28023	6	1	250
28023	7	1	350
28023	8	0	 
28023	17	0	 
28023	23	0	 
28023	30	0	 
28023	31	0	 
28024	1	1	290
28024	2	1	300
28024	3	1	400
28024	4	0	 
28024	5	1	175
28024	6	1	100
28024	7	1	100
28024	8	0	 
28024	17	0	 
28024	23	0	 
28024	30	0	 
28024	31	0	 
28025	1	1	200
28025	2	1	200
28025	3	0	 
28025	4	1	350
28025	5	0	 
28025	6	1	200
28025	7	0	 
28025	8	1	105
28025	17	1	150
28025	23	0	 
28025	30	0	 
28025	31	0	 
38001	1	1	300
38001	2	0	 
38001	3	0	 
38001	4	0	 
38001	5	1	200
38001	6	0	 
38001	7	0	 
38001	8	0	 
38001	17	0	 
38001	23	0	 
38001	30	0	 
38001	31	0	 
38002	1	1	320
38002	2	1	300
38002	3	0	 
38002	4	1	150
38002	5	0	 
38002	6	1	5
38002	7	0	 
38002	8	1	17
38002	17	1	24
38002	23	0	 
38002	30	0	 
38002	31	0	 
38003	1	1	100
38003	2	1	30
38003	3	0	 
38003	4	1	100
38003	5	1	50
38003	6	1	20
38003	7	0	 
38003	8	1	30
38003	17	1	500
38003	23	1	500
38003	30	0	 
38003	31	0	 
38004	1	1	180
38004	2	1	50
38004	3	1	100
38004	4	1	60
38004	5	1	15
38004	6	1	5
38004	7	1	3
38004	8	1	12
38004	17	1	500
38004	23	0	 
38004	30	0	 
38004	31	0	 
38005	1	1	-77
38005	2	1	-77
38005	3	1	60
38005	4	1	40
38005	5	0	 
38005	6	0	 
38005	7	0	 
38005	8	1	40
38005	17	0	 
38005	23	0	 
38005	30	0	 
38005	31	1	100
38006	1	0	 
38006	2	1	200
38006	3	0	 
38006	4	0	 
