CHILDCODE	FOODIDR4	FARMR4	PRSNR4	OWBSR4	PRPYR4	EATR4	FDSPR4	ETALR4	VLOVR4	VLFRR4	VLPRR4	VLOWR4	VLPYR4	VLB4R4
18004	29	 	 	 	 	1	5	1	 	 	 	 	 	 
18004	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18004	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18005	1	 	 	 	 	1	16	1	 	 	 	 	 	0
18005	3	 	 	 	 	0	 	 	 	 	 	 	 	 
18005	8	 	 	 	 	0	 	 	 	 	 	 	 	 
18005	9	 	 	 	 	1	18	1	 	 	 	 	 	 
18005	12	 	 	 	 	1	22,4	1	 	 	 	 	 	0
18005	15	 	 	 	 	1	4	1	 	 	 	 	 	0
18005	19	 	 	 	 	1	6	1	 	 	 	 	 	0
18005	21	 	 	 	 	1	4	1	 	 	 	 	 	 
18005	22	 	 	 	 	1	14	1	 	 	 	 	 	 
18005	25	 	 	 	 	1	8,8	1	 	 	 	 	 	0
18005	29	 	 	 	 	1	24	1	 	 	 	 	 	 
18005	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18005	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18006	1	 	 	 	 	1	35	0	3,8	 	 	 	 	2,5
18006	3	 	 	 	 	0	 	 	 	 	 	 	 	 
18006	8	 	 	 	 	1	36	1	 	 	 	 	 	 
18006	9	 	 	 	 	1	25	1	 	 	 	 	 	 
18006	12	 	 	 	 	1	33,6	0	1,4	 	 	 	 	4,8
18006	15	 	 	 	 	1	25	1	 	 	 	 	 	0
18006	19	 	 	 	 	1	8	0	0,8	 	 	 	 	2,5
18006	21	 	 	 	 	1	15	0	2	 	 	 	 	 
18006	22	 	 	 	 	1	8	1	 	 	 	 	 	 
18006	25	 	 	 	 	1	8	0	1	 	 	 	 	1
18006	29	 	 	 	 	1	25	1	 	 	 	 	 	 
18006	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18006	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18007	1	 	 	 	 	1	20	1	 	 	 	 	 	0
18007	3	 	 	 	 	0	 	 	 	 	 	 	 	 
18007	8	 	 	 	 	1	7	1	 	 	 	 	 	 
18007	9	 	 	 	 	0	 	 	 	 	 	 	 	 
18007	12	 	 	 	 	1	12	1	 	 	 	 	 	0
18007	15	 	 	 	 	1	8	1	 	 	 	 	 	0
18007	19	 	 	 	 	1	6	1	 	 	 	 	 	0
18007	21	 	 	 	 	1	6	1	 	 	 	 	 	 
18007	22	 	 	 	 	1	8	1	 	 	 	 	 	 
18007	25	 	 	 	 	1	8	1	 	 	 	 	 	0
18007	29	 	 	 	 	1	5	1	 	 	 	 	 	 
18007	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18007	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18008	1	 	 	 	 	1	56	1	 	 	 	 	 	0
18008	3	 	 	 	 	1	9	1	 	 	 	 	 	 
18008	8	 	 	 	 	1	72	1	 	 	 	 	 	 
18008	9	 	 	 	 	1	64	1	 	 	 	 	 	 
18008	12	 	 	 	 	1	84	1	 	 	 	 	 	0
18008	15	 	 	 	 	1	16	0	4	 	 	 	 	0
18008	19	 	 	 	 	1	9	1	 	 	 	 	 	0
18008	21	 	 	 	 	1	50	1	 	 	 	 	 	 
18008	22	 	 	 	 	1	20	1	 	 	 	 	 	 
18008	25	 	 	 	 	1	24	1	 	 	 	 	 	0
18008	29	 	 	 	 	1	200	1	 	 	 	 	 	 
18008	30	 	 	 	 	1	30	1	 	 	 	 	 	 
18008	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18009	1	 	 	 	 	1	47,5	1	 	 	 	 	 	0
18009	3	 	 	 	 	1	4	1	 	 	 	 	 	 
18009	8	 	 	 	 	1	35	1	 	 	 	 	 	 
18009	9	 	 	 	 	1	33,6	1	 	 	 	 	 	 
18009	12	 	 	 	 	1	17	1	 	 	 	 	 	0
18009	15	 	 	 	 	1	7	1	 	 	 	 	 	0
18009	19	 	 	 	 	1	6	1	 	 	 	 	 	0
18009	21	 	 	 	 	1	27	1	 	 	 	 	 	 
18009	22	 	 	 	 	1	30	1	 	 	 	 	 	 
18009	25	 	 	 	 	1	12	1	 	 	 	 	 	8
18009	29	 	 	 	 	0	 	 	 	 	 	 	 	 
18009	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18009	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18010	1	N	N	N	N	1	42	1	 	 	 	 	 	0
18010	3	N	N	N	N	0	 	 	 	 	 	 	 	 
18010	8	N	N	N	N	1	20	1	 	 	 	 	 	 
18010	9	N	N	N	N	1	12,9	1	 	 	 	 	 	 
18010	12	N	N	N	N	0	 	 	 	 	 	 	 	 
18010	15	N	N	N	N	1	20	1	 	 	 	 	 	0
18010	19	N	N	N	N	1	3	1	 	 	 	 	 	0
18010	21	N	N	N	N	1	15	1	 	 	 	 	 	 
18010	22	N	N	N	N	0	 	 	 	 	 	 	 	 
18010	25	N	N	N	N	1	20	1	 	 	 	 	 	0
18010	29	N	N	N	N	0	 	 	 	 	 	 	 	 
18010	30	N	N	N	N	0	 	 	 	 	 	 	 	 
18010	32	N	N	N	N	0	 	 	 	 	 	 	 	 
18011	1	 	N	 	 	1	35	1	 	 	 	 	 	0
18011	3	 	N	 	 	1	5	1	 	 	 	 	 	 
18011	8	 	N	 	 	1	12	1	 	 	 	 	 	 
18011	9	 	N	 	 	1	30	1	 	 	 	 	 	 
18011	12	 	Y	 	 	1	14	1	 	 	12	 	 	0
18011	15	 	N	 	 	1	7	1	 	 	 	 	 	0
18011	19	 	N	 	 	1	4	1	 	 	 	 	 	0
18011	21	 	N	 	 	1	16	1	 	 	 	 	 	 
18011	22	 	N	 	 	1	30	1	 	 	 	 	 	 
18011	25	 	N	 	 	1	4	1	 	 	 	 	 	0
18011	29	 	N	 	 	1	12	1	 	 	 	 	 	 
18011	30	 	N	 	 	1	23	1	 	 	 	 	 	 
18011	32	 	N	 	 	0	 	 	 	 	 	 	 	 
18012	1	N	 	N	 	1	20	1	 	 	 	 	 	0
18012	3	N	 	N	 	1	6	1	 	 	 	 	 	 
18012	8	N	 	N	 	1	24	1	 	 	 	 	 	 
18012	9	Y	 	N	 	1	12	1	 	50	 	 	 	 
18012	12	N	 	N	 	1	12	1	 	 	 	 	 	0
18012	15	N	 	N	 	1	7	1	 	 	 	 	 	0
18012	19	N	 	N	 	1	12	1	 	 	 	 	 	0
18012	21	N	 	N	 	1	12	0	1	 	 	 	 	 
18012	22	N	 	Y	 	1	19	1	 	 	 	4	 	 
18012	25	N	 	N	 	1	8	0	0,5	 	 	 	 	0
18012	29	N	 	N	 	1	2	1	 	 	 	 	 	 
18012	30	N	 	N	 	0	 	 	 	 	 	 	 	 
18012	32	N	 	N	 	0	 	 	 	 	 	 	 	 
18013	1	 	 	 	 	1	56	1	 	 	 	 	 	0
18013	3	 	 	 	 	1	14	1	 	 	 	 	 	 
18013	8	 	 	 	 	1	40	1	 	 	 	 	 	 
18013	9	 	 	 	 	1	84	1	 	 	 	 	 	 
18013	12	 	 	 	 	1	84	1	 	 	 	 	 	0
18013	15	 	 	 	 	1	9	1	 	 	 	 	 	0
18013	19	 	 	 	 	1	14	1	 	 	 	 	 	0
18013	21	 	 	 	 	1	7	1	 	 	 	 	 	 
18013	22	 	 	 	 	1	14	1	 	 	 	 	 	 
18013	25	 	 	 	 	1	22	1	 	 	 	 	 	0
18013	29	 	 	 	 	0	 	 	 	 	 	 	 	 
18013	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18013	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18015	1	 	 	 	 	1	53	1	 	 	 	 	 	0
18015	3	 	 	 	 	0	 	 	 	 	 	 	 	 
18015	8	 	 	 	 	1	28	1	 	 	 	 	 	 
18015	9	 	 	 	 	1	35	1	 	 	 	 	 	 
18015	12	 	 	 	 	1	42	1	 	 	 	 	 	0
18015	15	 	 	 	 	1	2	1	 	 	 	 	 	0
18015	19	 	 	 	 	1	12	1	 	 	 	 	 	0
18015	21	 	 	 	 	1	10	1	 	 	 	 	 	 
18015	22	 	 	 	 	1	20	1	 	 	 	 	 	 
18015	25	 	 	 	 	1	14	1	 	 	 	 	 	0
18015	29	 	 	 	 	1	20	1	 	 	 	 	 	 
18015	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18015	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18016	1	N	N	 	 	1	60	1	 	 	 	 	 	0
18016	3	N	N	 	 	1	2	1	 	 	 	 	 	 
18016	8	N	N	 	 	1	50	1	 	 	 	 	 	 
18016	9	N	N	 	 	1	40	1	 	 	 	 	 	 
18016	12	N	N	 	 	1	39,2	1	 	 	 	 	 	0
18016	15	N	N	 	 	1	4,5	1	 	 	 	 	 	0
18016	19	N	N	 	 	1	12	1	 	 	 	 	 	0
18016	21	N	N	 	 	1	20	1	 	 	 	 	 	 
18016	22	Y	N	 	 	1	15	1	 	30	 	 	 	 
18016	25	N	N	 	 	1	21	1	 	 	 	 	 	0
18016	29	N	N	 	 	1	30	1	 	 	 	 	 	 
18016	30	N	Y	 	 	1	0	 	 	 	15	 	 	 
18016	32	N	N	 	 	0	 	 	 	 	 	 	 	 
18017	1	 	N	 	 	1	45	1	 	 	 	 	 	0
18017	3	 	N	 	 	0	 	 	 	 	 	 	 	 
18017	8	 	N	 	 	0	 	 	 	 	 	 	 	 
18017	9	 	N	 	 	1	24	1	 	 	 	 	 	 
18017	12	 	N	 	 	1	6	1	 	 	 	 	 	0
18017	15	 	N	 	 	1	2	1	 	 	 	 	 	0
18017	19	 	Y	 	 	1	2	1	 	 	2	 	 	0
18017	21	 	N	 	 	1	10	1	 	 	 	 	 	 
18017	22	 	N	 	 	1	1	1	 	 	 	 	 	 
18017	25	 	N	 	 	1	7	1	 	 	 	 	 	0
18017	29	 	N	 	 	0	 	 	 	 	 	 	 	 
18017	30	 	N	 	 	0	 	 	 	 	 	 	 	 
18017	32	 	N	 	 	0	 	 	 	 	 	 	 	 
18018	1	 	 	 	 	1	28	1	 	 	 	 	 	0
18018	3	 	 	 	 	1	2,5	1	 	 	 	 	 	 
18018	8	 	 	 	 	1	15	1	 	 	 	 	 	 
18018	9	 	 	 	 	1	10	1	 	 	 	 	 	 
18018	12	 	 	 	 	1	62	0	55	 	 	 	 	25
18018	15	 	 	 	 	1	3	1	 	 	 	 	 	1
18018	19	 	 	 	 	1	10	1	 	 	 	 	 	0
18018	21	 	 	 	 	1	11	1	 	 	 	 	 	 
18018	22	 	 	 	 	1	30	1	 	 	 	 	 	 
18018	25	 	 	 	 	1	10	0	5	 	 	 	 	0
18018	29	 	 	 	 	1	25	1	 	 	 	 	 	 
18018	30	 	 	 	 	1	20	1	 	 	 	 	 	 
18018	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18019	1	N	N	N	N	1	36	1	 	 	 	 	 	0
18019	3	N	N	N	N	0	 	 	 	 	 	 	 	 
18019	8	N	N	N	N	1	8	1	 	 	 	 	 	 
18019	9	N	N	N	N	1	100	1	 	 	 	 	 	 
18019	12	N	N	N	N	1	33,6	1	 	 	 	 	 	0
18019	15	N	N	N	N	1	10	1	 	 	 	 	 	0
18019	19	N	N	N	N	1	2	1	 	 	 	 	 	0
18019	21	N	N	N	N	1	12,6	1	 	 	 	 	 	 
18019	22	N	N	N	N	0	 	 	 	 	 	 	 	 
18019	25	N	N	N	N	1	14	1	 	 	 	 	 	0
18019	29	N	N	N	N	0	 	 	 	 	 	 	 	 
18019	30	N	N	N	N	0	 	 	 	 	 	 	 	 
18019	32	N	N	N	N	0	 	 	 	 	 	 	 	 
18020	1	 	 	N	 	1	35	1	 	 	 	 	 	0
18020	3	 	 	N	 	0	 	 	 	 	 	 	 	 
18020	8	 	 	N	 	1	100	1	 	 	 	 	 	 
18020	9	 	 	N	 	1	30	1	 	 	 	 	 	 
18020	12	 	 	N	 	1	24	1	 	 	 	 	 	0
18020	15	 	 	N	 	1	8	1	 	 	 	 	 	0
18020	19	 	 	N	 	1	10	1	 	 	 	 	 	0
18020	21	 	 	N	 	1	10	1	 	 	 	 	 	 
18020	22	 	 	N	 	1	15	1	 	 	 	 	 	 
18020	25	 	 	N	 	1	14	1	 	 	 	 	 	0
18020	29	 	 	N	 	1	70	1	 	 	 	 	 	 
18020	30	 	 	Y	 	1	0	 	 	 	 	180	 	 
18020	32	 	 	N	 	0	 	 	 	 	 	 	 	 
18021	1	 	N	 	 	1	20	1	 	 	 	 	 	0
18021	3	 	Y	 	 	1	0	 	 	 	5	 	 	 
18021	8	 	N	 	 	1	8	1	 	 	 	 	 	 
18021	9	 	N	 	 	1	36	1	 	 	 	 	 	 
18021	12	 	N	 	 	1	18	1	 	 	 	 	 	0
18021	15	 	N	 	 	1	6	1	 	 	 	 	 	0
18021	19	 	N	 	 	1	10,4	1	 	 	 	 	 	0
18021	21	 	N	 	 	1	3	1	 	 	 	 	 	 
18021	22	 	N	 	 	1	22	1	 	 	 	 	 	 
18021	25	 	N	 	 	1	12	1	 	 	 	 	 	0
18021	29	 	N	 	 	1	38	1	 	 	 	 	 	 
18021	30	 	N	 	 	1	30	1	 	 	 	 	 	 
18021	32	 	N	 	 	0	 	 	 	 	 	 	 	 
18022	1	 	N	 	 	1	25,4	1	 	 	 	 	 	0
18022	3	 	N	 	 	1	3,1	1	 	 	 	 	 	 
18022	8	 	N	 	 	1	12	1	 	 	 	 	 	 
18022	9	 	N	 	 	1	26,4	1	 	 	 	 	 	 
18022	12	 	N	 	 	1	11,2	1	 	 	 	 	 	0
18022	15	 	N	 	 	1	7	1	 	 	 	 	 	0
18022	19	 	N	 	 	1	12	1	 	 	 	 	 	0
18022	21	 	N	 	 	1	3	1	 	 	 	 	 	 
18022	22	 	N	 	 	1	7,5	1	 	 	 	 	 	 
18022	25	 	N	 	 	1	11	0	2	 	 	 	 	1
18022	29	 	Y	 	 	1	0	 	 	 	39	 	 	 
18022	30	 	N	 	 	0	 	 	 	 	 	 	 	 
18022	32	 	N	 	 	0	 	 	 	 	 	 	 	 
18023	1	 	 	 	 	1	48	1	 	 	 	 	 	0
18023	3	 	 	 	 	1	3	1	 	 	 	 	 	 
18023	8	 	 	 	 	1	48	1	 	 	 	 	 	 
18023	9	 	 	 	 	1	54	1	 	 	 	 	 	 
18023	12	 	 	 	 	1	12	1	 	 	 	 	 	0
18023	15	 	 	 	 	1	30	1	 	 	 	 	 	0
18023	19	 	 	 	 	1	24	1	 	 	 	 	 	0
18023	21	 	 	 	 	1	28	1	 	 	 	 	 	 
18023	22	 	 	 	 	1	15	1	 	 	 	 	 	 
18023	25	 	 	 	 	1	8	1	 	 	 	 	 	0
18023	29	 	 	 	 	1	14	1	 	 	 	 	 	 
18023	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18023	32	 	 	 	 	1	22	1	 	 	 	 	 	 
18024	1	 	 	 	 	1	22	1	 	 	 	 	 	0
18024	3	 	 	 	 	1	10	1	 	 	 	 	 	 
18024	8	 	 	 	 	1	50	1	 	 	 	 	 	 
18024	9	 	 	 	 	1	80	1	 	 	 	 	 	 
18024	12	 	 	 	 	1	41	1	 	 	 	 	 	0
18024	15	 	 	 	 	1	5	1	 	 	 	 	 	0
18024	19	 	 	 	 	1	5	1	 	 	 	 	 	0
18024	21	 	 	 	 	1	40	1	 	 	 	 	 	 
18024	22	 	 	 	 	1	50	1	 	 	 	 	 	 
18024	25	 	 	 	 	1	8	1	 	 	 	 	 	0
18024	29	 	 	 	 	1	70	1	 	 	 	 	 	 
18024	30	 	 	 	 	1	70	1	 	 	 	 	 	 
18024	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18025	1	 	 	 	 	1	35	1	 	 	 	 	 	0
18025	3	 	 	 	 	0	 	 	 	 	 	 	 	 
18025	8	 	 	 	 	1	20	1	 	 	 	 	 	 
18025	9	 	 	 	 	1	58	1	 	 	 	 	 	 
18025	12	 	 	 	 	1	92,4	1	 	 	 	 	 	0
18025	15	 	 	 	 	1	7	1	 	 	 	 	 	0
18025	19	 	 	 	 	1	12	1	 	 	 	 	 	0
18025	21	 	 	 	 	1	6	1	 	 	 	 	 	 
18025	22	 	 	 	 	1	50	1	 	 	 	 	 	 
18025	25	 	 	 	 	1	14	1	 	 	 	 	 	0
18025	29	 	 	 	 	1	72	1	 	 	 	 	 	 
18025	30	 	 	 	 	1	50	1	 	 	 	 	 	 
18025	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18026	1	 	 	 	 	1	35	1	 	 	 	 	 	0
18026	3	 	 	 	 	1	4	1	 	 	 	 	 	 
18026	8	 	 	 	 	1	48	1	 	 	 	 	 	 
18026	9	 	 	 	 	1	30	1	 	 	 	 	 	 
18026	12	 	 	 	 	0	 	 	 	 	 	 	 	 
18026	15	 	 	 	 	0	 	 	 	 	 	 	 	 
18026	19	 	 	 	 	1	40	1	 	 	 	 	 	0
18026	21	 	 	 	 	1	35	1	 	 	 	 	 	 
18026	22	 	 	 	 	1	18	1	 	 	 	 	 	 
18026	25	 	 	 	 	1	22,5	1	 	 	 	 	 	1,5
18026	29	 	 	 	 	1	108	1	 	 	 	 	 	 
18026	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18026	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18027	1	 	 	 	 	1	18,2	1	 	 	 	 	 	0
18027	3	 	 	 	 	0	 	 	 	 	 	 	 	 
18027	8	 	 	 	 	1	15	1	 	 	 	 	 	 
18027	9	 	 	 	 	1	56	1	 	 	 	 	 	 
18027	12	 	 	 	 	1	21	1	 	 	 	 	 	0
18027	15	 	 	 	 	1	9	1	 	 	 	 	 	0
18027	19	 	 	 	 	1	5,6	1	 	 	 	 	 	0
18027	21	 	 	 	 	1	7	1	 	 	 	 	 	 
18027	22	 	 	 	 	1	21	1	 	 	 	 	 	 
18027	25	 	 	 	 	1	11,4	1	 	 	 	 	 	0
18027	29	 	 	 	 	0	 	 	 	 	 	 	 	 
18027	30	 	 	 	 	1	75	1	 	 	 	 	 	 
18027	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18028	1	 	 	 	 	1	14	1	 	 	 	 	 	0
18028	3	 	 	 	 	0	 	 	 	 	 	 	 	 
18028	8	 	 	 	 	1	32	1	 	 	 	 	 	 
18028	9	 	 	 	 	1	54	1	 	 	 	 	 	 
18028	12	 	 	 	 	1	18	1	 	 	 	 	 	0
18028	15	 	 	 	 	1	6	1	 	 	 	 	 	0
18028	19	 	 	 	 	1	6	1	 	 	 	 	 	0
18028	21	 	 	 	 	1	12	1	 	 	 	 	 	 
18028	22	 	 	 	 	0	 	 	 	 	 	 	 	 
18028	25	 	 	 	 	1	14	1	 	 	 	 	 	0
18028	29	 	 	 	 	1	30	1	 	 	 	 	 	 
18028	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18028	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18029	1	 	 	 	 	1	30	1	 	 	 	 	 	0
18029	3	 	 	 	 	0	 	 	 	 	 	 	 	 
18029	8	 	 	 	 	1	84	1	 	 	 	 	 	 
18029	9	 	 	 	 	1	42,5	1	 	 	 	 	 	 
18029	12	 	 	 	 	1	56	1	 	 	 	 	 	0
18029	15	 	 	 	 	1	4	1	 	 	 	 	 	0
18029	19	 	 	 	 	1	16,5	1	 	 	 	 	 	0
18029	21	 	 	 	 	1	14	1	 	 	 	 	 	 
18029	22	 	 	 	 	1	30	1	 	 	 	 	 	 
18029	25	 	 	 	 	1	10	1	 	 	 	 	 	0
18029	29	 	 	 	 	1	96	1	 	 	 	 	 	 
18029	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18029	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18030	1	 	N	Y	 	1	0	 	 	 	 	16	 	0
18030	3	 	Y	N	 	1	0	 	 	 	-77	 	 	 
18030	8	 	N	N	 	1	5	1	 	 	 	 	 	 
18030	9	 	N	Y	 	1	0	 	 	 	 	18,6	 	 
18030	12	 	N	Y	 	1	0	 	 	 	 	18,8	 	0
18030	15	 	N	Y	 	1	0	 	 	 	 	12	 	0
18030	19	 	N	Y	 	1	0	 	 	 	 	28	 	0
18030	21	 	N	Y	 	1	0	 	 	 	 	10	 	 
18030	22	 	N	N	 	1	2	1	 	 	 	 	 	 
18030	25	 	N	Y	 	1	0	 	 	 	 	16,8	 	0
18030	29	 	N	N	 	0	 	 	 	 	 	 	 	 
18030	30	 	N	N	 	0	 	 	 	 	 	 	 	 
18030	32	 	N	N	 	0	 	 	 	 	 	 	 	 
18031	1	 	 	 	 	1	28	0	14	 	 	 	 	0
18031	3	 	 	 	 	0	 	 	 	 	 	 	 	 
18031	8	 	 	 	 	0	 	 	 	 	 	 	 	 
18031	9	 	 	 	 	1	8	1	 	 	 	 	 	 
18031	12	 	 	 	 	1	30,8	1	 	 	 	 	 	0
18031	15	 	 	 	 	1	14	0	4	 	 	 	 	0
18031	19	 	 	 	 	1	4	1	 	 	 	 	 	0
18031	21	 	 	 	 	1	4	1	 	 	 	 	 	 
18031	22	 	 	 	 	0	 	 	 	 	 	 	 	 
18031	25	 	 	 	 	1	3	1	 	 	 	 	 	0
18031	29	 	 	 	 	0	 	 	 	 	 	 	 	 
18031	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18031	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18032	1	 	 	 	 	1	14	1	 	 	 	 	 	0
18032	3	 	 	 	 	1	2	1	 	 	 	 	 	 
18032	8	 	 	 	 	1	10	1	 	 	 	 	 	 
18032	9	 	 	 	 	1	24	1	 	 	 	 	 	 
18032	12	 	 	 	 	1	21	1	 	 	 	 	 	0
18032	15	 	 	 	 	1	4	1	 	 	 	 	 	0
18032	19	 	 	 	 	1	7	1	 	 	 	 	 	0
18032	21	 	 	 	 	1	4	1	 	 	 	 	 	 
18032	22	 	 	 	 	1	14	1	 	 	 	 	 	 
18032	25	 	 	 	 	1	5	1	 	 	 	 	 	0
18032	29	 	 	 	 	1	10	1	 	 	 	 	 	 
18032	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18032	32	 	 	 	 	1	40	1	 	 	 	 	 	 
18034	1	 	 	 	 	1	35	1	 	 	 	 	 	2,5
18034	3	 	 	 	 	0	 	 	 	 	 	 	 	 
18034	8	 	 	 	 	1	22,5	1	 	 	 	 	 	 
18034	9	 	 	 	 	1	85	1	 	 	 	 	 	 
18034	12	 	 	 	 	1	40,6	1	 	 	 	 	 	0
18034	15	 	 	 	 	1	6	1	 	 	 	 	 	0
18034	19	 	 	 	 	1	10,5	1	 	 	 	 	 	0
18034	21	 	 	 	 	1	10	1	 	 	 	 	 	 
18034	22	 	 	 	 	1	50	1	 	 	 	 	 	 
18034	25	 	 	 	 	1	7	1	 	 	 	 	 	2
18034	29	 	 	 	 	0	 	 	 	 	 	 	 	 
18034	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18034	32	 	 	 	 	1	10,5	1	 	 	 	 	 	 
18035	1	 	 	 	 	1	30	1	 	 	 	 	 	0
18035	3	 	 	 	 	0	 	 	 	 	 	 	 	 
18035	8	 	 	 	 	1	30	1	 	 	 	 	 	 
18035	9	 	 	 	 	1	46	1	 	 	 	 	 	 
18035	12	 	 	 	 	1	16,8	1	 	 	 	 	 	0
18035	15	 	 	 	 	1	14	1	 	 	 	 	 	 
18035	19	 	 	 	 	1	16,5	1	 	 	 	 	 	0
18035	21	 	 	 	 	1	20,5	1	 	 	 	 	 	 
18035	22	 	 	 	 	1	20	1	 	 	 	 	 	 
18035	25	 	 	 	 	1	14	1	 	 	 	 	 	0
18035	29	 	 	 	 	0	 	 	 	 	 	 	 	 
18035	30	 	 	 	 	0	 	 	 	 	 	 	 	 
18035	32	 	 	 	 	0	 	 	 	 	 	 	 	 
18036	1	 	 	 	 	1	35	1	 	 	 	 	 	0
18036	3	 	 	 	 	0	 	 	 	 	 	 	 	 
18036	8	 	 	 	 	1	20	1	 	 	 	 	 	 
18036	9	 	 	 	 	1	58	1	 	 	 	 	 	 
18036	12	 	 	 	 	1	92,4	1	 	 	 	 	 	0
18036	15	 	 	 	 	1	7	1	 	 	 	 	 	0
18036	19	 	 	 	 	1	12	1	 	 	 	 	 	0
18036	21	 	 	 	 	1	6	1	 	 	 	 	 	 
18036	22	 	 	 	 	1	50	1	 	 	 	 	 	 
18036	25	 	 	 	 	1	14	1	 	 	 	 	 	0
18036	29	 	 	 	 	1	72	1	 	 	 	 	 	 
18036	30	 	 	 	 	1	50	1	 	 	 	 	 	 
