CHILDCODE	LVSKIDR4	AYANR4	NMAMR4	VLAMR4	CHDSANR4
18026	51	0	 	 	 
18026	52	0	 	 	 
18026	53	0	 	 	 
18026	54	0	 	 	 
18026	55	0	 	 	 
18026	56	0	 	 	 
18026	57	0	 	 	 
18026	58	0	 	 	 
18027	1	 	 	 	 
18027	2	 	 	 	 
18027	6	 	 	 	 
18027	9	 	 	 	 
18027	13	 	 	 	 
18027	14	 	 	 	 
18027	15	 	 	 	 
18027	16	 	 	 	 
18027	17	 	 	 	 
18027	51	 	 	 	 
18027	52	 	 	 	 
18027	53	 	 	 	 
18027	54	 	 	 	 
18027	55	 	 	 	 
18027	56	 	 	 	 
18027	57	 	 	 	 
18027	58	 	 	 	 
18028	1	0	 	 	 
18028	2	0	 	 	 
18028	6	0	 	 	 
18028	9	0	 	 	 
18028	13	0	 	 	 
18028	14	0	 	 	 
18028	15	0	 	 	 
18028	16	1	34	245	1
18028	17	0	 	 	 
18028	51	0	 	 	 
18028	52	0	 	 	 
18028	53	0	 	 	 
18028	54	0	 	 	 
18028	55	0	 	 	 
18028	56	0	 	 	 
18028	57	0	 	 	 
18028	58	0	 	 	 
18029	1	 	 	 	 
18029	2	 	 	 	 
18029	6	 	 	 	 
18029	9	 	 	 	 
18029	13	 	 	 	 
18029	14	 	 	 	 
18029	15	 	 	 	 
18029	16	 	 	 	 
18029	17	 	 	 	 
18029	51	 	 	 	 
18029	52	 	 	 	 
18029	53	 	 	 	 
18029	54	 	 	 	 
18029	55	 	 	 	 
18029	56	 	 	 	 
18029	57	 	 	 	 
18029	58	 	 	 	 
18030	1	 	 	 	 
18030	2	 	 	 	 
18030	6	 	 	 	 
18030	9	 	 	 	 
18030	13	 	 	 	 
18030	14	 	 	 	 
18030	15	 	 	 	 
18030	16	 	 	 	 
18030	17	 	 	 	 
18030	51	 	 	 	 
18030	52	 	 	 	 
18030	53	 	 	 	 
18030	54	 	 	 	 
18030	55	 	 	 	 
18030	56	 	 	 	 
18030	57	 	 	 	 
18030	58	 	 	 	 
18031	1	 	 	 	 
18031	2	 	 	 	 
18031	6	 	 	 	 
18031	9	 	 	 	 
18031	13	 	 	 	 
18031	14	 	 	 	 
18031	15	 	 	 	 
18031	16	 	 	 	 
18031	17	 	 	 	 
18031	51	 	 	 	 
18031	52	 	 	 	 
18031	53	 	 	 	 
18031	54	 	 	 	 
18031	55	 	 	 	 
18031	56	 	 	 	 
18031	57	 	 	 	 
18031	58	 	 	 	 
18032	1	 	 	 	 
18032	2	 	 	 	 
18032	6	 	 	 	 
18032	9	 	 	 	 
18032	13	 	 	 	 
18032	14	 	 	 	 
18032	15	 	 	 	 
18032	16	 	 	 	 
18032	17	 	 	 	 
18032	51	 	 	 	 
18032	52	 	 	 	 
18032	53	 	 	 	 
18032	54	 	 	 	 
18032	55	 	 	 	 
18032	56	 	 	 	 
18032	57	 	 	 	 
18032	58	 	 	 	 
18034	1	 	 	 	 
18034	2	 	 	 	 
18034	6	 	 	 	 
18034	9	 	 	 	 
18034	13	 	 	 	 
18034	14	 	 	 	 
18034	15	 	 	 	 
18034	16	 	 	 	 
18034	17	 	 	 	 
18034	51	 	 	 	 
18034	52	 	 	 	 
18034	53	 	 	 	 
18034	54	 	 	 	 
18034	55	 	 	 	 
18034	56	 	 	 	 
18034	57	 	 	 	 
18034	58	 	 	 	 
18035	1	 	 	 	 
18035	2	 	 	 	 
18035	6	 	 	 	 
18035	9	 	 	 	 
18035	13	 	 	 	 
18035	14	 	 	 	 
18035	15	 	 	 	 
18035	16	 	 	 	 
18035	17	 	 	 	 
18035	51	 	 	 	 
18035	52	 	 	 	 
18035	53	 	 	 	 
18035	54	 	 	 	 
18035	55	 	 	 	 
18035	56	 	 	 	 
18035	57	 	 	 	 
18035	58	 	 	 	 
18036	1	 	 	 	 
18036	2	 	 	 	 
18036	6	 	 	 	 
18036	9	 	 	 	 
18036	13	 	 	 	 
18036	14	 	 	 	 
18036	15	 	 	 	 
18036	16	 	 	 	 
18036	17	 	 	 	 
18036	51	 	 	 	 
18036	52	 	 	 	 
18036	53	 	 	 	 
18036	54	 	 	 	 
18036	55	 	 	 	 
18036	56	 	 	 	 
18036	57	 	 	 	 
18036	58	 	 	 	 
18037	1	 	 	 	 
18037	2	 	 	 	 
18037	6	 	 	 	 
18037	9	 	 	 	 
18037	13	 	 	 	 
18037	14	 	 	 	 
18037	15	 	 	 	 
18037	16	 	 	 	 
18037	17	 	 	 	 
18037	51	 	 	 	 
18037	52	 	 	 	 
18037	53	 	 	 	 
18037	54	 	 	 	 
18037	55	 	 	 	 
18037	56	 	 	 	 
18037	57	 	 	 	 
18037	58	 	 	 	 
18038	1	 	 	 	 
18038	2	 	 	 	 
18038	6	 	 	 	 
18038	9	 	 	 	 
18038	13	 	 	 	 
18038	14	 	 	 	 
18038	15	 	 	 	 
18038	16	 	 	 	 
18038	17	 	 	 	 
18038	51	 	 	 	 
18038	52	 	 	 	 
18038	53	 	 	 	 
18038	54	 	 	 	 
18038	55	 	 	 	 
18038	56	 	 	 	 
18038	57	 	 	 	 
18038	58	 	 	 	 
18039	1	0	 	 	 
18039	2	0	 	 	 
18039	6	0	 	 	 
18039	9	0	 	 	 
18039	13	0	 	 	 
18039	14	0	 	 	 
18039	15	0	 	 	 
18039	16	1	20	100	1
18039	17	0	 	 	 
18039	51	0	 	 	 
18039	52	0	 	 	 
18039	53	0	 	 	 
18039	54	0	 	 	 
18039	55	0	 	 	 
18039	56	0	 	 	 
18039	57	0	 	 	 
18039	58	0	 	 	 
18040	1	0	 	 	 
18040	2	0	 	 	 
18040	6	0	 	 	 
18040	9	0	 	 	 
18040	13	0	 	 	 
18040	14	0	 	 	 
18040	15	0	 	 	 
18040	16	1	40	1200	1
18040	17	0	 	 	 
18040	51	0	 	 	 
18040	52	1	5	75	1
18040	53	0	 	 	 
18040	54	0	 	 	 
18040	55	0	 	 	 
18040	56	0	 	 	 
18040	57	0	 	 	 
18040	58	0	 	 	 
18041	1	 	 	 	 
18041	2	 	 	 	 
18041	6	 	 	 	 
18041	9	 	 	 	 
18041	13	 	 	 	 
18041	14	 	 	 	 
18041	15	 	 	 	 
18041	16	 	 	 	 
18041	17	 	 	 	 
18041	51	 	 	 	 
18041	52	 	 	 	 
18041	53	 	 	 	 
18041	54	 	 	 	 
18041	55	 	 	 	 
18041	56	 	 	 	 
18041	57	 	 	 	 
18041	58	 	 	 	 
18042	1	 	 	 	 
18042	2	 	 	 	 
18042	6	 	 	 	 
18042	9	 	 	 	 
18042	13	 	 	 	 
18042	14	 	 	 	 
18042	15	 	 	 	 
18042	16	 	 	 	 
18042	17	 	 	 	 
18042	51	 	 	 	 
18042	52	 	 	 	 
18042	53	 	 	 	 
18042	54	 	 	 	 
18042	55	 	 	 	 
18042	56	 	 	 	 
18042	57	 	 	 	 
18042	58	 	 	 	 
18043	1	0	 	 	 
18043	2	0	 	 	 
18043	6	0	 	 	 
18043	9	0	 	 	 
18043	13	0	 	 	 
18043	14	0	 	 	 
18043	15	0	 	 	 
18043	16	1	0	-88	0
18043	17	0	 	 	 
18043	51	0	 	 	 
18043	52	0	 	 	 
18043	53	0	 	 	 
18043	54	0	 	 	 
18043	55	0	 	 	 
18043	56	0	 	 	 
18043	57	0	 	 	 
18043	58	0	 	 	 
18044	1	 	 	 	 
18044	2	 	 	 	 
18044	6	 	 	 	 
18044	9	 	 	 	 
18044	13	 	 	 	 
18044	14	 	 	 	 
18044	15	 	 	 	 
18044	16	 	 	 	 
18044	17	 	 	 	 
18044	51	 	 	 	 
18044	52	 	 	 	 
18044	53	 	 	 	 
18044	54	 	 	 	 
18044	55	 	 	 	 
18044	56	 	 	 	 
18044	57	 	 	 	 
18044	58	 	 	 	 
18045	1	 	 	 	 
18045	2	 	 	 	 
18045	6	 	 	 	 
18045	9	 	 	 	 
18045	13	 	 	 	 
18045	14	 	 	 	 
18045	15	 	 	 	 
18045	16	 	 	 	 
18045	17	 	 	 	 
18045	51	 	 	 	 
18045	52	 	 	 	 
18045	53	 	 	 	 
18045	54	 	 	 	 
18045	55	 	 	 	 
18045	56	 	 	 	 
18045	57	 	 	 	 
18045	58	 	 	 	 
18046	1	 	 	 	 
18046	2	 	 	 	 
18046	6	 	 	 	 
18046	9	 	 	 	 
18046	13	 	 	 	 
18046	14	 	 	 	 
18046	15	 	 	 	 
18046	16	 	 	 	 
18046	17	 	 	 	 
18046	51	 	 	 	 
18046	52	 	 	 	 
18046	53	 	 	 	 
18046	54	 	 	 	 
18046	55	 	 	 	 
18046	56	 	 	 	 
18046	57	 	 	 	 
18046	58	 	 	 	 
18047	1	 	 	 	 
18047	2	 	 	 	 
18047	6	 	 	 	 
18047	9	 	 	 	 
18047	13	 	 	 	 
18047	14	 	 	 	 
18047	15	 	 	 	 
18047	16	 	 	 	 
18047	17	 	 	 	 
18047	51	 	 	 	 
18047	52	 	 	 	 
18047	53	 	 	 	 
18047	54	 	 	 	 
18047	55	 	 	 	 
18047	56	 	 	 	 
18047	57	 	 	 	 
18047	58	 	 	 	 
18048	1	 	 	 	 
18048	2	 	 	 	 
18048	6	 	 	 	 
18048	9	 	 	 	 
18048	13	 	 	 	 
18048	14	 	 	 	 
18048	15	 	 	 	 
18048	16	 	 	 	 
18048	17	 	 	 	 
18048	51	 	 	 	 
18048	52	 	 	 	 
18048	53	 	 	 	 
18048	54	 	 	 	 
18048	55	 	 	 	 
18048	56	 	 	 	 
18048	57	 	 	 	 
18048	58	 	 	 	 
18049	1	 	 	 	 
18049	2	 	 	 	 
18049	6	 	 	 	 
18049	9	 	 	 	 
18049	13	 	 	 	 
18049	14	 	 	 	 
18049	15	 	 	 	 
18049	16	 	 	 	 
18049	17	 	 	 	 
18049	51	 	 	 	 
18049	52	 	 	 	 
18049	53	 	 	 	 
18049	54	 	 	 	 
18049	55	 	 	 	 
18049	56	 	 	 	 
18049	57	 	 	 	 
18049	58	 	 	 	 
18050	1	0	 	 	 
18050	2	0	 	 	 
18050	6	0	 	 	 
18050	9	0	 	 	 
18050	13	0	 	 	 
18050	14	0	 	 	 
18050	15	0	 	 	 
18050	16	1	4	70	1
18050	17	0	 	 	 
18050	51	0	 	 	 
18050	52	0	 	 	 
18050	53	0	 	 	 
18050	54	0	 	 	 
18050	55	0	 	 	 
18050	56	0	 	 	 
18050	57	0	 	 	 
18050	58	0	 	 	 
28001	1	0	 	 	 
28001	2	0	 	 	 
28001	6	0	 	 	 
28001	9	1	2	200	1
28001	13	1	2	150	1
28001	14	0	 	 	 
28001	15	1	1	150	1
28001	16	1	10	100	1
28001	17	0	 	 	 
28001	51	0	 	 	 
28001	52	0	 	 	 
28001	53	0	 	 	 
28001	54	0	 	 	 
28001	55	0	 	 	 
28001	56	0	 	 	 
28001	57	0	 	 	 
28001	58	0	 	 	 
28002	1	0	 	 	 
28002	2	0	 	 	 
