CHILDCODE	SHCKIDR4	EVNTR4	EV2009R4	EV2010R4	EV2011R4	EV2012R4	EV2013R4
18015	41	1	0	0	0	0	1
18015	42	0	 	 	 	 	 
18015	45	0	 	 	 	 	 
18015	46	0	 	 	 	 	 
18015	50	0	 	 	 	 	 
18015	51	0	 	 	 	 	 
18015	52	0	 	 	 	 	 
18015	53	0	 	 	 	 	 
18015	54	0	 	 	 	 	 
18015	55	0	 	 	 	 	 
18015	56	0	 	 	 	 	 
18015	57	0	 	 	 	 	 
18015	58	0	 	 	 	 	 
18015	59	0	 	 	 	 	 
18015	60	0	 	 	 	 	 
18015	61	0	 	 	 	 	 
18015	62	0	 	 	 	 	 
18015	63	0	 	 	 	 	 
18015	69	1	0	0	0	1	0
18016	1	0	 	 	 	 	 
18016	2	0	 	 	 	 	 
18016	3	0	 	 	 	 	 
18016	4	0	 	 	 	 	 
18016	5	0	 	 	 	 	 
18016	6	0	 	 	 	 	 
18016	7	0	 	 	 	 	 
18016	8	0	 	 	 	 	 
18016	10	0	 	 	 	 	 
18016	11	0	 	 	 	 	 
18016	12	0	 	 	 	 	 
18016	13	0	 	 	 	 	 
18016	14	0	 	 	 	 	 
18016	15	0	 	 	 	 	 
18016	17	0	 	 	 	 	 
18016	18	0	 	 	 	 	 
18016	19	0	 	 	 	 	 
18016	20	0	 	 	 	 	 
18016	24	0	 	 	 	 	 
18016	25	1	0	0	0	1	0
18016	26	0	 	 	 	 	 
18016	27	0	 	 	 	 	 
18016	28	0	 	 	 	 	 
18016	29	0	 	 	 	 	 
18016	30	0	 	 	 	 	 
18016	31	0	 	 	 	 	 
18016	32	0	 	 	 	 	 
18016	33	0	 	 	 	 	 
18016	34	0	 	 	 	 	 
18016	35	0	 	 	 	 	 
18016	36	0	 	 	 	 	 
18016	37	0	 	 	 	 	 
18016	38	0	 	 	 	 	 
18016	39	0	 	 	 	 	 
18016	40	0	 	 	 	 	 
18016	41	0	 	 	 	 	 
18016	42	0	 	 	 	 	 
18016	45	0	 	 	 	 	 
18016	46	0	 	 	 	 	 
18016	50	0	 	 	 	 	 
18016	51	0	 	 	 	 	 
18016	52	0	 	 	 	 	 
18016	53	0	 	 	 	 	 
18016	54	0	 	 	 	 	 
18016	55	0	 	 	 	 	 
18016	56	0	 	 	 	 	 
18016	57	0	 	 	 	 	 
18016	58	0	 	 	 	 	 
18016	59	0	 	 	 	 	 
18016	60	0	 	 	 	 	 
18016	61	0	 	 	 	 	 
18016	62	0	 	 	 	 	 
18016	63	0	 	 	 	 	 
18016	69	0	 	 	 	 	 
18017	1	0	 	 	 	 	 
