CHILDCODE	HHITMIDR4	OWNITMR4	NUMOWNR4
18024	30	0	 
18024	31	1	1
18025	3	0	 
18025	4	1	2
18025	5	0	 
18025	6	0	 
18025	7	1	1
18025	8	0	 
18025	9	0	 
18025	10	1	4
18025	11	0	 
18025	12	1	1
18025	15	1	1
18025	20	0	 
18025	21	1	2
18025	22	1	1
18025	23	1	1
18025	24	1	1
18025	25	1	1
18025	26	0	 
18025	27	0	 
18025	28	0	 
18025	29	0	 
18025	30	0	 
18025	31	0	 
18026	3	0	 
18026	4	1	1
18026	5	0	 
18026	6	0	 
18026	7	0	 
18026	8	0	 
18026	9	0	 
18026	10	1	3
18026	11	0	 
18026	12	1	1
18026	15	0	 
18026	20	0	 
18026	21	0	 
18026	22	0	 
18026	23	0	 
18026	24	0	 
18026	25	0	 
18026	26	0	 
18026	27	0	 
18026	28	0	 
18026	29	0	 
18026	30	0	 
18026	31	0	 
18027	3	0	 
18027	4	1	1
18027	5	1	1
18027	6	1	1
18027	7	0	 
18027	8	0	 
18027	9	0	 
18027	10	1	2
18027	11	1	1
18027	12	1	1
18027	15	0	 
18027	20	0	 
18027	21	1	1
18027	22	1	1
18027	23	1	1
18027	24	0	 
18027	25	1	1
18027	26	1	1
18027	27	0	 
18027	28	0	 
18027	29	0	 
18027	30	0	 
18027	31	0	 
18028	3	0	 
18028	4	1	1
18028	5	0	 
18028	6	0	 
18028	7	0	 
18028	8	0	 
18028	9	0	 
18028	10	1	2
18028	11	1	1
18028	12	1	1
18028	15	0	 
18028	20	0	 
18028	21	0	 
18028	22	1	1
18028	23	1	1
18028	24	1	1
18028	25	1	1
18028	26	0	 
18028	27	0	 
18028	28	0	 
18028	29	0	 
18028	30	0	 
18028	31	0	 
18029	3	0	 
18029	4	1	1
18029	5	1	1
18029	6	0	 
18029	7	0	 
18029	8	0	 
18029	9	1	1
18029	10	1	3
18029	11	1	1
18029	12	1	1
18029	15	0	 
18029	20	0	 
18029	21	1	1
18029	22	1	1
18029	23	1	1
18029	24	0	 
18029	25	1	1
18029	26	0	 
18029	27	0	 
18029	28	0	 
18029	29	0	 
18029	30	0	 
18029	31	0	 
18030	3	0	 
18030	4	1	1
18030	5	1	1
18030	6	0	 
18030	7	0	 
18030	8	1	1
18030	9	0	 
18030	10	1	2
18030	11	1	1
18030	12	1	1
18030	15	0	 
18030	20	0	 
18030	21	0	 
18030	22	1	1
18030	23	1	1
18030	24	0	 
18030	25	0	 
18030	26	0	 
18030	27	0	 
18030	28	0	 
18030	29	0	 
18030	30	1	1
18030	31	0	 
18031	3	0	 
18031	4	1	1
18031	5	1	1
18031	6	0	 
18031	7	0	 
18031	8	0	 
18031	9	0	 
18031	10	1	2
18031	11	1	1
18031	12	1	1
18031	15	1	1
18031	20	0	 
18031	21	0	 
18031	22	1	1
18031	23	1	1
18031	24	0	 
18031	25	0	 
18031	26	0	 
18031	27	0	 
18031	28	0	 
18031	29	0	 
18031	30	0	 
18031	31	0	 
18032	3	0	 
18032	4	1	1
18032	5	0	 
18032	6	0	 
18032	7	0	 
18032	8	0	 
18032	9	0	 
18032	10	1	1
18032	11	0	 
18032	12	1	1
18032	15	0	 
18032	20	0	 
18032	21	0	 
18032	22	1	1
18032	23	1	1
18032	24	0	 
18032	25	0	 
18032	26	0	 
18032	27	0	 
18032	28	0	 
18032	29	0	 
18032	30	0	 
18032	31	0	 
18034	3	0	 
18034	4	1	2
18034	5	1	1
18034	6	0	 
18034	7	0	 
18034	8	1	1
