PLACEID	RSID	AGERES	SEXRES	CAPAC	LIVRES
3101	13	24	2	8	1
3101	14	30	2	8	5
3101	15	30	1	8	2
3101	16	24	2	8	4
3101	17	27	1	2	11
3101	18	25	1	8	1
3101	19	25	1	8	1
3101	20	32	1	8	6
3101	21	21	1	8	21
3101	22	35	1	8	35
3101	23	22	1	8	22
3101	24	30	1	8	14
3101	25	28	1	8	3
3101	26	27	2	8	17
3101	27	55	1	8	25
3111	1	25	2	8	25
3111	2	24	2	4	24
3111	3	24	1	4	24
3111	4	46	1	4	24
3111	5	34	1	3	34
3111	6	29	2	8	29
3111	7	30	2	8	30
3111	8	35	1	8	35
3111	9	37	2	8	37
3111	10	48	2	8	48
3111	11	40	2	8	40
3111	12	33	2	2	33
3111	13	32	2	2	32
3111	14	37	2	2	37
3111	15	34	2	2	34
3111	16	30	2	8	30
3111	17	32	1	2	32
3111	18	29	1	8	10
3111	19	32	1	8	5
3111	20	29	1	2	29
3111	21	27	2	2	27
3111	22	58	1	1	58
3111	23	21	1	1	34
3111	24	52	1	1	50
3111	25	56	2	1	54
4121	1	45	1	1	45
4121	2	30	1	1	30
4121	3	49	1	7	49
4121	4	34	2	8	34
4121	5	28	2	8	28
4131	1	35	1	7	5
4131	2	24	1	10	1
4131	3	45	1	5	45
4131	4	30	2	3	30
4131	5	50	1	8	50
4131	6	45	1	8	45
4131	7	40	2	8	40
4131	8	35	1	8	35
4131	9	31	1	8	31
4131	10	56	1	8	40
4131	11	38	2	8	38
4131	12	28	1	8	28
4131	13	43	2	8	40
4131	14	27	1	8	27
4141	1	28	1	1	16
4141	2	36	1	1	10
4141	3	47	2	6	32
4141	4	35	2	1	20
4141	5	32	1	7	32
4141	6	25	2	3	25
4141	7	30	2	88	28
4141	8	31	2	88	31
4141	9	20	1	88	20
4141	10	22	1	88	8
4141	11	27	1	88	10
4141	12	23	1	88	23
4141	13	20	2	88	20
4141	14	23	2	88	23
4141	15	31	1	88	27
4141	16	40	1	88	30
4141	17	35	1	88	7
4143	1	32	1	1	32
4143	2	60	1	1	60
4143	3	35	2	3	7
4143	4	25	2	4	25
4143	5	28	1	6	28
4143	6	32	1	3	8
4143	7	29	2	88	10
4143	8	34	2	88	20
4143	9	26	2	88	16
4143	10	30	1	88	15
4143	11	40	2	88	40
4143	12	26	2	88	18
4143	13	30	2	88	30
4143	14	30	2	88	30
4143	15	26	2	88	26
4143	16	24	2	88	24
4143	17	34	1	88	34
4143	18	22	2	88	22
4144	1	42	1	1	30
4144	2	35	2	6	35
4144	3	47	1	2	30
4144	4	30	2	3	30
4144	5	28	2	2	28
4144	6	31	1	4	17
4144	7	25	2	88	12
4144	8	22	1	88	10
4144	9	25	2	88	25
4144	10	41	1	88	30
4144	11	36	1	88	36
4144	12	40	2	88	27
4144	13	26	2	88	26
4144	14	43	2	88	28
4144	15	37	2	88	27
4144	16	30	2	88	30
4144	17	26	2	88	8
4151	1	36	1	1	34
4151	2	32	1	4	8
4151	3	26	2	3	26
4151	4	40	1	7	34
4151	5	25	2	6	25
4151	6	40	2	7	40
4151	7	36	1	88	36
4151	8	30	1	88	27
4151	9	27	2	88	25
4151	10	25	2	88	25
4151	11	26	1	88	26
4151	12	40	2	88	36
4151	13	28	1	88	28
4161	1	51	1	7	51
4161	2	46	1	4	46
4161	3	41	1	1	20
4161	4	41	2	3	7
4161	5	38	1	8	38
4161	6	31	1	8	40
4161	7	23	1	8	10
4161	8	20	1	8	70
4161	9	56	1	8	56
4161	10	33	2	8	33
4161	11	29	1	8	29
4161	12	34	1	8	34
4161	13	55	1	8	55
4161	14	22	1	8	22
5171	1	43	1	1	43
5171	2	56	1	8	2
5171	3	34	1	8	1
5171	4	29	1	10	2
5171	5	25	2	2	22
5171	6	50	2	8	77
5171	7	34	2	8	77
5171	8	60	1	8	77
5171	9	36	1	8	77
5171	10	58	1	8	77
5171	11	32	2	4	3
5171	12	22	2	8	77
5171	13	32	1	8	77
5171	14	38	1	8	77
5171	15	33	2	8	77
5171	16	41	2	8	77
5171	17	38	2	8	77
5171	18	42	2	8	77
5171	19	43	1	8	77
5171	20	29	1	8	77
5171	21	46	2	8	77
5171	22	32	1	8	77
5171	23	40	1	8	77
5171	24	54	2	8	77
5171	25	56	1	8	77
5171	26	34	1	8	77
5171	27	26	1	8	77
5171	28	46	1	8	77
5171	29	42	1	8	77
5201	1	29	1	2	23
5201	2	49	1	1	35
5201	3	26	2	10	4
5201	4	32	1	4	22
5201	5	30	2	8	4
5201	6	48	1	8	77
5201	7	32	1	8	77
5201	8	38	2	8	77
5201	9	32	2	8	77
5201	10	28	1	8	77
5201	11	33	1	8	77
5201	12	29	2	8	77
5201	13	38	2	8	77
5201	14	44	2	8	77
5201	15	52	1	8	77
5201	16	29	1	8	77
5201	17	45	1	8	77
5201	18	42	1	8	77
5201	19	60	1	8	77
5201	20	36	2	8	77
5201	21	40	1	8	77
5201	22	43	1	8	77
5201	23	53	2	8	77
5201	24	38	2	8	77
5201	25	56	1	8	77
