PLACEID	SERVIDR5	AVLOC
2071	31	0
3101	1	0
3101	2	1
3101	3	0
3101	4	0
3101	5	0
3101	10	0
3101	11	0
3101	12	1
3101	13	1
3101	14	1
3101	15	1
3101	16	1
3101	19	1
3101	20	1
3101	21	1
3101	22	1
3101	23	0
3101	26	1
3101	30	1
3101	31	1
3111	1	0
3111	2	0
3111	3	0
3111	4	0
3111	5	0
3111	10	0
3111	11	0
3111	12	0
3111	13	1
3111	14	1
3111	15	0
3111	16	1
3111	19	0
3111	20	0
3111	21	1
3111	22	1
3111	23	0
3111	26	1
3111	30	0
3111	31	0
4121	1	1
4121	2	1
4121	3	0
4121	4	0
4121	5	0
4121	10	1
4121	11	0
4121	12	0
4121	13	1
4121	14	1
4121	15	0
4121	16	1
4121	19	0
4121	20	0
4121	21	1
4121	22	1
4121	23	0
4121	26	1
4121	30	1
4121	31	0
4131	1	1
4131	2	1
4131	3	1
4131	4	1
4131	5	1
4131	10	1
4131	11	1
4131	12	1
4131	13	1
4131	14	1
4131	15	1
4131	16	1
4131	19	1
4131	20	0
4131	21	1
4131	22	1
4131	23	0
4131	26	1
4131	30	1
4131	31	0
4141	1	1
4141	2	0
4141	3	0
4141	4	0
4141	5	1
4141	10	0
4141	11	1
4141	12	1
4141	13	1
4141	14	1
4141	15	0
4141	16	1
4141	19	1
4141	20	1
4141	21	1
4141	22	1
4141	23	0
4141	26	1
4141	30	1
4141	31	0
4143	1	0
4143	2	0
4143	3	0
4143	4	0
4143	5	0
4143	10	0
4143	11	1
4143	12	0
4143	13	1
4143	14	1
4143	15	0
4143	16	1
4143	19	1
4143	20	1
4143	21	1
4143	22	1
4143	23	0
4143	26	1
4143	30	1
4143	31	1
4144	1	0
4144	2	1
4144	3	0
4144	4	0
4144	5	0
4144	10	0
4144	11	1
4144	12	1
4144	13	1
4144	14	1
4144	15	0
4144	16	1
4144	19	1
4144	20	0
4144	21	0
4144	22	0
4144	23	0
4144	26	1
4144	30	1
4144	31	1
4151	1	0
4151	2	0
4151	3	0
4151	4	0
4151	5	0
4151	10	0
4151	11	0
4151	12	0
4151	13	1
4151	14	1
4151	15	0
4151	16	1
4151	19	0
4151	20	0
4151	21	1
4151	22	1
4151	23	0
4151	26	1
4151	30	0
4151	31	0
4161	1	0
4161	2	1
4161	3	0
4161	4	0
4161	5	0
4161	10	0
4161	11	0
4161	12	0
4161	13	1
4161	14	1
4161	15	0
4161	16	0
4161	19	0
4161	20	0
4161	21	0
4161	22	1
4161	23	0
4161	26	1
4161	30	0
4161	31	0
5171	1	0
5171	2	0
5171	3	0
5171	4	0
5171	5	0
5171	10	0
5171	11	0
5171	12	0
5171	13	1
5171	14	1
5171	15	0
5171	16	1
5171	19	0
5171	20	0
5171	21	0
5171	22	1
5171	23	0
5171	26	1
5171	30	1
5171	31	0
5201	1	0
5201	2	0
5201	3	0
5201	4	0
5201	5	0
5201	10	0
5201	11	0
5201	12	0
5201	13	1
5201	14	1
5201	15	0
5201	16	1
5201	19	0
5201	20	0
5201	21	0
5201	22	1
5201	23	0
5201	26	1
5201	30	1
5201	31	0
