PLACEID	SURVDATE	REGION	CLUSTID	CHRINF1	CHRINF2	CHRINF3	POPSIZE	VILLOC	PAVEDN	UNPAVEDN	TRACKSN	AIRN	OTTRANN	MAINRTR4	MONTHS	MTRNYSSN	FACTORY	FACTEMP	TOTMEN	TOTWOM	TOTCHILD	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10	SPRINF1	SPRINF2	SPRINF3	MIGRINF1	MIGRINF2	MIGRINF3	COMMIGR	TYPJOB	MIGRCOM	OTHRWORK	MIGRMOVM	MIGROFR	PARESTL	RESTLHH	RETUHH	RESTLARV	HHRESTL	EDCNINF1	EDCNINF2	EDCNINF3	LTRCYCMP	HLTHINF1	HLTHINF2	HLTHINF3	MIDWIFE	BIRTHATT	TRADHLR	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	GENPHYS	SPECPHYS	HLTHEXT	HLTHOFF	OTHRPERS
3111	29/12/2016 00:39:32	3	11	22	23	24	4665	3	0	0	0	0	0	4	0	 	1	1	50	200	50	0	22	24	25	22	23	24	22	24	23	2	3	5	16	15	19	20	21	7	13	22	24	23	22	23	24	0	 	1	1	1	0	0	 	 	0	0	23	22	24	0	22	23	24	0	0	0	1	0	1	0	0	0	1	0	0
4121	30/01/2017 04:47:51	4	12	1	2	3	6533	6	1	1	1	0	0	1	12	12	0	 	 	 	 	1	1	2	3	1	2	4	1	2	4	2	1	2	3	4	4	5	4	1	5	1	3	4	1	2	3	1	2	0	 	2	0	0	 	 	0	-88	1	2	3	1	1	2	3	0	0	0	0	0	0	0	0	0	1	0	0
4131	03/12/2016 20:36:19	4	13	2	3	4	7154	12	1	1	1	0	0	1	12	3	1	1	30	50	20	0	4	1	2	1	2	3	3	2	1	5	6	7	8	9	10	11	12	13	14	1	2	4	3	4	2	1	2	1	2	2	0	0	 	 	0	-88	1	2	3	0	1	3	4	1	1	0	1	1	1	1	1	0	1	1	0
4141	16/11/2016 14:35:54	4	14	1	2	5	19239	4	1	0	1	1	0	1	0	 	2	4	20	10	0	0	1	2	4	1	2	3	1	2	3	6	7	8	9	10	11	12	13	6	7	1	2	3	1	2	3	0	 	1	2	3	1	1	45	0	1	6	1	2	3	1	1	2	3	0	1	1	1	1	1	1	0	0	1	1	0
4143	28/11/2016 08:54:46	4	14	1	2	3	19634	6	1	0	1	1	0	1	0	 	0	 	 	 	 	0	1	2	6	1	2	3	1	2	3	7	8	9	10	11	12	13	14	15	16	1	2	3	1	2	3	0	 	1	2	1	0	1	10	50	0	0	1	2	3	1	1	4	5	0	0	0	0	1	1	1	1	1	1	1	0
4144	18/11/2016 12:04:28	4	14	1	2	3	28207	9	1	1	1	1	0	1	0	 	2	4	30	20	10	0	1	2	3	1	2	5	1	2	6	5	6	7	8	9	10	11	12	13	14	1	2	4	1	2	4	0	 	0	 	77	0	0	 	 	0	0	1	4	3	77	1	2	4	0	1	1	1	1	0	1	1	77	1	0	0
4151	27/12/2016 14:59:29	4	15	1	2	6	6891	32	0	1	0	0	0	2	0	 	1	6	55	2	0	0	1	2	5	1	2	3	1	2	4	2	7	8	9	10	12	13	8	10	11	1	2	4	1	2	4	0	 	0	 	2	77	0	 	 	0	0	2	6	4	1	5	2	1	1	1	0	0	1	1	0	0	0	1	1	0
4161	13/11/2016 17:04:02	4	16	4	2	1	27000	9	1	1	1	0	0	1	12	4	0	 	 	 	 	0	1	2	3	2	3	4	1	4	3	5	6	7	8	9	10	11	12	13	14	2	1	3	1	2	4	1	2	0	 	2	0	0	 	 	0	-88	2	1	3	0	4	2	1	0	1	1	1	0	0	0	0	0	1	0	0
5171	03/02/2017 15:42:00	5	17	1	2	5	12445	6	0	1	1	0	0	2	12	12	0	 	 	 	 	1	2	3	11	1	5	4	1	5	4	6	7	8	9	10	12	13	14	15	16	2	5	11	5	4	2	1	1	0	 	2	0	0	 	 	0	-88	11	4	5	0	2	5	1	1	0	0	0	1	1	0	0	0	1	1	0
5201	26/12/2016 11:18:32	5	-88	1	2	3	5030	3	0	1	1	0	0	2	12	12	0	 	 	 	 	1	1	2	3	1	2	3	1	2	4	6	7	8	9	10	11	12	13	14	15	1	3	4	1	4	5	1	2	0	 	2	0	0	 	 	0	-88	4	1	2	0	1	5	3	1	0	1	0	1	1	0	0	0	1	1	0
