childid	id	age	sex	relate	still	yrschool	disabled	support
ET011036	8	11	2	5	1	4	2	2
ET011037	1	40	2	1	2	4	2	1
ET011037	2	20	1	5	2	6	1	2
ET011038	1	70	2	3	2	0	2	2
ET011038	2	40	2	1	2	7	1	1
ET011038	3	15	2	6	1	7	2	2
ET011038	4	12	1	6	2	4	2	2
ET011039	1	55	2	3	2	0	2	2
ET011039	2	35	2	1	2	0	1	1
ET011039	15	3	2	5	 	 	2	 
ET011040	1	28	2	1	1	2	2	1
ET011040	2	19	2	4	1	2	2	2
ET011040	3	18	1	4	2	0	2	2
ET011040	4	12	2	6	1	3	2	2
ET011041	1	42	2	4	2	4	2	2
ET011041	2	35	2	1	2	7	2	2
ET011041	3	30	1	4	2	15	2	1
ET011041	4	27	1	6	2	8	2	2
ET011041	5	23	1	6	2	8	2	2
ET011041	6	21	1	6	2	4	2	2
ET011041	7	10	2	6	1	3	2	2
ET011041	8	9	2	6	1	1	2	2
ET011041	9	6	1	6	1	0	2	2
ET011041	15	2	1	6	 	 	2	 
ET011042	1	45	1	4	2	16	2	1
ET011042	2	35	2	12	2	12	2	1
ET011042	3	27	1	5	2	12	2	2
ET011042	4	24	2	6	2	8	2	2
ET011042	5	23	1	6	2	12	2	2
ET011042	6	20	1	6	2	12	2	2
ET011042	7	18	1	6	2	12	2	2
ET011042	8	12	2	6	1	6	2	2
ET011043	1	40	2	1	2	0	2	1
ET011043	2	20	1	5	2	7	2	2
ET011043	3	19	2	5	1	6	2	2
ET011043	4	13	2	5	1	4	2	2
ET011043	5	10	2	5	1	2	2	2
ET011043	6	7	1	5	1	0	2	2
ET011043	15	4	2	5	 	 	2	 
ET011044	1	55	2	3	2	0	1	1
ET011044	2	45	2	4	2	0	1	2
ET011044	3	40	1	1	2	6	2	2
ET011044	4	20	2	4	2	12	2	2
ET011045	1	32	2	1	2	3	2	2
ET011045	2	12	2	5	1	4	2	1
ET011045	3	6	2	5	1	0	2	2
ET011046	1	40	1	1	2	4	2	1
ET011046	2	30	2	1	2	0	1	1
ET011046	3	18	2	5	1	9	2	2
ET011046	4	16	2	5	1	5	2	2
ET011046	5	14	1	5	2	0	2	2
ET011046	6	11	2	5	1	0	2	2
ET011046	15	4	1	5	 	 	2	 
ET011047	1	40	1	1	2	14	2	1
ET011047	2	36	2	1	2	12	2	2
ET011047	3	18	1	5	2	12	2	2
ET011047	15	3	2	5	 	 	2	 
ET011048	1	67	1	1	2	5	2	1
ET011048	2	38	2	1	2	2	2	1
ET011048	3	23	2	5	2	11	2	2
ET011048	4	18	2	5	1	9	2	2
ET011048	5	15	2	5	1	5	2	2
ET011048	7	14	1	5	2	6	2	2
ET011048	15	3	2	9	 	 	2	 
ET011049	1	35	1	1	2	10	2	1
ET011049	2	27	2	1	2	7	2	1
ET011049	3	14	2	4	1	6	2	2
ET011049	4	10	2	5	1	4	2	2
ET011049	5	5	1	5	2	0	2	2
ET011050	1	35	1	1	2	9	2	1
ET011050	2	30	2	1	2	0	2	2
ET011050	3	6	1	5	1	0	2	2
ET011050	15	3	1	5	 	 	2	 
ET021001	1	37	1	1	2	8	2	2
ET021001	2	27	2	1	2	6	2	2
ET021001	3	15	1	5	2	6	2	2
ET021001	4	13	2	5	2	6	2	2
ET021001	5	12	2	5	1	4	2	2
ET021001	6	10	2	5	1	4	2	2
ET021002	1	55	2	13	2	 	1	2
ET021003	1	51	1	1	2	4	2	1
ET021003	2	38	2	1	2	0	2	1
ET021003	3	19	2	5	2	7	2	2
ET021003	4	17	2	5	2	6	2	2
ET021003	5	15	1	5	1	9	2	2
ET021003	6	13	1	5	1	4	2	2
ET021003	7	12	1	5	1	3	2	2
ET021004	1	60	1	1	2	4	2	2
ET021004	2	48	2	1	2	 	1	2
ET021004	3	27	1	5	2	12	2	2
ET021004	4	24	1	5	2	5	2	2
ET021004	5	22	1	5	2	4	2	2
ET021004	6	20	1	5	1	9	2	2
ET021004	7	18	2	5	1	8	2	2
ET021005	1	49	2	1	2	6	1	1
ET021005	2	25	1	5	2	5	2	2
ET021005	3	20	2	5	2	8	2	2
ET021005	4	18	2	5	1	7	2	2
ET021005	5	16	2	5	1	9	2	2
ET021005	6	13	1	5	1	6	2	2
ET021005	15	4	1	13	 	 	2	 
ET021005	16	2	2	13	 	 	2	 
ET021006	1	45	1	1	2	14	1	2
ET021006	2	36	2	1	2	5	2	2
ET021006	3	14	2	5	1	6	2	2
ET021007	1	40	1	1	2	12	2	2
ET021007	2	28	2	1	2	12	2	2
ET021007	3	11	2	5	1	6	2	2
ET021008	1	30	1	1	2	8	2	2
ET021008	2	25	2	1	2	7	1	2
ET021008	3	13	2	4	1	1	2	2
ET021008	4	10	2	5	1	4	2	2
ET021008	5	5	1	5	1	0	2	2
ET021009	1	76	1	2	2	 	2	2
ET021009	2	28	2	1	2	0	2	2
ET021009	15	1	2	5	 	 	2	 
ET021009	16	2	2	5	 	 	2	 
ET021010	1	42	1	1	2	5	2	2
ET021010	2	28	2	1	2	4	2	2
ET021010	3	5	2	5	1	0	2	2
ET021010	15	2	1	5	 	 	2	 
ET021011	1	66	1	3	2	0	1	2
ET021011	2	65	2	3	2	0	2	2
ET021011	3	26	1	4	1	10	2	2
ET021011	4	15	2	4	1	7	2	2
ET021011	5	10	1	4	1	2	2	2
ET021011	15	4	1	5	 	 	2	 
ET021012	1	40	1	1	2	6	2	2
ET021012	2	30	2	1	2	 	2	2
ET021012	3	13	1	5	1	3	2	2
ET021012	4	11	1	5	1	2	2	2
ET021012	15	1	2	5	 	 	2	 
ET021013	1	40	2	1	2	 	2	2
ET021013	2	20	1	5	1	14	2	2
ET021013	3	12	1	5	1	7	2	2
ET021013	4	9	1	4	1	2	2	2
ET021013	5	8	2	4	2	0	2	2
ET021013	6	5	1	5	1	0	2	2
ET021014	1	45	1	1	2	0	2	2
ET021014	2	42	2	1	2	0	2	2
ET021014	3	22	1	5	1	6	2	2
ET021014	4	15	1	13	1	6	2	2
ET021014	5	12	1	5	1	4	2	2
ET021014	6	12	2	13	1	4	2	2
ET021015	1	45	1	13	2	12	2	1
ET021015	2	35	2	4	2	5	2	2
ET021015	3	11	2	6	1	3	2	2
ET021016	1	41	1	1	2	5	2	1
ET021016	2	30	2	1	2	2	2	2
ET021016	3	16	2	5	1	4	2	2
ET021016	4	14	2	5	1	5	2	2
ET021016	5	12	2	5	1	3	2	2
ET021016	6	5	2	5	2	0	2	2
ET021017	1	67	2	3	2	0	1	2
ET021017	2	30	2	1	2	5	2	1
ET021017	3	27	1	4	2	4	2	2
ET021018	1	48	1	1	2	0	2	1
ET021018	2	38	2	1	2	4	2	2
ET021018	3	24	1	5	2	7	2	2
ET021018	4	23	1	5	2	5	2	2
ET021018	6	16	1	5	1	1	2	2
ET021018	7	13	2	5	1	0	2	2
ET021018	8	12	2	5	1	0	2	2
ET021019	1	26	2	1	2	8	2	1
ET021020	1	52	1	1	2	12	2	1
ET021020	2	42	2	1	2	10	2	1
ET021020	3	75	2	3	2	 	2	2
ET021020	4	10	1	5	1	3	2	2
ET021021	1	45	1	1	2	2	2	1
ET021021	2	38	2	1	2	0	2	2
ET021021	3	23	2	5	1	8	2	2
ET021021	4	19	2	5	1	9	2	2
ET021021	5	16	2	5	1	9	2	2
ET021021	6	13	1	5	1	5	2	2
ET021022	1	57	1	1	2	10	2	1
ET021022	2	40	2	1	2	4	2	2
ET021022	3	26	1	5	2	14	2	2
ET021022	4	21	2	5	2	7	2	2
ET021022	5	18	2	5	1	7	2	2
ET021022	6	16	1	5	1	7	2	2
ET021022	7	11	2	5	1	3	2	2
ET021022	8	9	2	5	1	3	2	2
ET021023	1	65	1	1	2	3	2	1
ET021023	2	35	2	1	2	0	2	2
ET021023	3	18	2	5	1	6	2	2
ET021023	4	15	1	5	1	6	2	2
ET021023	5	12	2	5	1	1	2	2
ET021023	15	4	1	5	 	 	2	 
ET021023	16	2	2	5	 	 	2	 
ET021023	17	2	2	5	 	 	2	 
ET021024	1	35	1	1	2	9	2	1
ET021024	2	34	2	1	2	5	2	2
ET021024	3	15	1	5	1	7	2	2
ET021024	4	12	1	5	1	4	2	2
ET021025	1	50	1	1	2	0	2	1
ET021025	2	48	2	1	2	0	2	2
ET021025	3	26	1	5	2	6	2	2
ET021025	4	24	1	5	2	0	1	2
ET021025	5	20	2	5	1	7	2	2
ET021025	6	16	2	5	1	5	2	2
ET021025	7	18	2	5	1	5	2	2
ET021025	8	5	1	5	2	0	2	2
ET021026	1	40	2	1	2	0	2	2
ET021026	2	14	1	5	1	5	2	2
ET021026	3	12	2	5	1	1	2	2
ET021026	4	15	2	7	2	0	2	2
ET021027	1	35	2	1	2	6	2	2
ET021027	2	20	2	5	2	12	2	2
ET021027	3	18	1	5	2	12	2	2
ET021027	4	14	1	5	1	5	1	2
ET021027	5	10	1	5	1	3	2	2
ET021027	15	4	1	5	 	 	2	 
ET021028	1	37	2	1	1	5	2	2
ET021028	2	13	2	5	1	5	2	2
ET021029	1	45	1	1	2	10	2	1
ET021029	2	28	2	1	2	12	2	2
ET021029	15	3	2	5	 	 	2	 
ET021030	1	65	1	13	2	0	2	2
ET021030	2	40	2	4	2	0	2	2
ET021030	3	24	1	6	2	6	2	2
ET021030	4	17	1	6	2	3	2	2
ET021030	5	16	2	6	2	6	2	2
ET021031	1	34	1	1	2	9	2	2
ET021031	2	30	2	1	2	4	2	2
ET021031	3	10	1	5	1	1	2	2
ET021032	1	52	1	1	2	5	2	2
ET021032	2	37	2	1	2	3	2	2
ET021032	3	18	2	5	1	6	2	2
ET021032	4	17	1	5	1	6	2	2
ET021032	5	15	1	5	1	4	2	2
ET021032	6	13	2	5	1	3	2	2
ET021032	7	8	2	5	1	0	2	2
ET021033	1	44	1	1	2	9	2	2
ET021033	2	39	2	1	2	4	2	2
ET021033	3	24	1	5	2	12	2	2
ET021034	1	41	1	1	2	8	2	2
ET021034	2	35	2	1	2	3	2	2
ET021034	3	15	2	5	1	6	2	2
ET021034	4	12	2	5	1	3	2	2
ET021034	5	11	2	5	1	3	2	2
ET021034	15	4	2	5	 	 	2	 
ET021034	16	3	1	5	 	 	2	 
ET021035	1	34	1	1	2	3	2	2
ET021035	2	30	2	1	2	6	2	2
ET021035	3	12	1	5	1	5	2	2
ET021035	15	2	1	5	 	 	2	 
ET021036	1	32	2	1	2	0	2	2
ET021036	2	31	1	4	2	12	2	2
ET021036	3	10	2	5	1	1	2	2
ET021037	1	40	1	1	2	4	2	2
ET021037	2	33	2	1	2	0	2	2
ET021037	3	17	1	5	1	9	2	2
ET021037	4	14	2	5	1	4	2	2
ET021037	5	12	1	5	1	3	2	2
ET021037	6	10	2	5	1	1	2	2
ET021038	1	35	2	1	2	5	2	1
ET021038	2	10	1	5	1	1	2	2
ET021039	1	40	1	1	2	11	2	1
ET021039	2	25	2	13	2	 	2	2
ET021039	3	6	1	5	1	0	2	2
ET021040	1	41	1	1	2	 	2	1
ET021040	2	30	2	1	2	3	2	1
ET021040	3	13	2	5	1	1	2	2
ET021040	4	6	2	5	1	0	2	2
ET021041	1	54	2	3	2	0	2	1
ET021041	2	18	1	4	1	8	2	2
ET021041	3	17	2	4	1	9	2	2
ET021041	4	13	2	4	1	0	2	2
ET021041	15	4	2	13	 	 	2	 
ET021042	1	30	2	1	2	2	2	1
ET021042	2	16	2	5	1	6	2	2
ET021043	1	50	1	1	2	 	2	1
ET021043	2	38	2	1	2	 	2	1
ET021043	3	18	2	5	1	7	2	2
ET021043	4	15	1	5	1	7	2	2
ET021043	5	13	2	5	1	5	2	2
ET021043	6	12	2	5	1	3	2	2
ET021043	7	20	2	4	2	7	2	2
ET021043	8	7	2	13	2	0	2	2
ET021044	1	45	1	1	2	6	2	1
ET021044	2	40	2	1	2	0	2	1
ET021044	3	25	2	5	1	5	2	2
ET021044	4	20	2	5	1	3	2	2
ET021044	5	18	1	5	1	9	2	2
ET021044	6	16	1	5	1	6	1	2
ET021044	7	14	2	5	1	6	2	2
ET021044	8	12	2	5	1	4	2	2
ET021044	9	6	1	5	1	1	2	2
ET021045	1	36	1	1	2	12	2	1
ET021045	2	32	2	1	2	9	2	2
ET021045	3	16	1	4	1	3	2	2
ET021045	4	15	1	5	1	8	2	2
ET021045	5	13	1	5	1	6	2	2
ET021045	15	3	1	5	 	 	2	 
ET021046	1	40	1	1	2	5	2	1
ET021046	2	28	2	1	2	3	2	2
ET021046	3	13	2	5	1	4	2	2
ET021046	4	70	2	3	2	0	2	2
ET021046	5	30	2	4	2	0	2	2
ET021046	15	2	2	5	 	 	2	 
ET021047	1	55	1	1	2	12	2	1
ET021047	2	43	2	1	2	 	2	1
ET021047	3	19	1	5	2	12	2	2
ET021047	4	17	1	5	1	8	2	2
ET021047	5	9	1	5	1	1	2	2
ET021047	6	18	2	7	2	0	2	2
ET021047	7	8	1	13	1	1	2	2
ET021048	1	40	2	3	2	0	2	1
ET021048	2	60	2	13	2	0	1	2
ET021048	3	18	1	5	1	2	2	2
ET021049	1	49	1	1	1	5	2	1
ET021049	2	34	2	1	2	7	2	2
ET021049	3	12	2	5	1	5	1	2
ET021049	4	6	1	5	1	0	2	2
ET021050	1	42	1	1	2	4	2	1
ET021050	2	36	2	1	2	 	2	1
ET021050	3	20	1	5	2	3	2	2
ET021050	4	17	2	5	1	4	2	2
ET021050	5	14	2	5	1	4	2	2
ET021050	6	12	2	5	1	1	2	2
ET021050	7	10	1	5	1	4	2	2
ET021050	15	4	2	5	 	 	2	 
ET021050	16	1	1	5	 	 	2	 
ET031001	1	59	1	3	2	3	2	2
ET031001	2	55	2	3	2	3	2	2
ET031001	3	29	2	1	2	12	2	1
ET031002	1	33	1	1	1	6	2	1
ET031002	2	30	2	1	1	4	2	2
ET031002	3	5	2	5	1	0	2	2
ET031003	1	57	2	4	2	5	1	2
ET031003	2	33	1	6	2	14	2	2
ET031003	3	18	2	6	1	9	2	2
ET031003	4	14	1	5	1	8	2	2
ET031004	1	50	1	1	2	 	2	2
ET031004	2	35	2	1	2	5	2	2
ET031004	3	16	2	5	1	9	2	2
ET031004	4	14	1	5	1	8	2	2
ET031004	5	9	2	5	1	4	2	2
ET031004	6	5	1	5	1	0	2	2
ET031005	1	54	1	3	2	4	2	2
ET031005	2	25	1	1	2	12	2	2
ET031005	3	22	2	4	1	14	2	1
ET031005	4	22	2	4	1	7	2	2
ET031005	5	18	2	7	1	4	2	2
ET031005	6	18	1	6	1	9	2	2
ET031005	7	19	1	13	1	11	2	2
ET031006	1	46	1	1	2	8	2	2
ET031006	2	44	2	1	2	8	2	2
ET031006	3	25	2	7	2	0	2	2
ET031006	4	20	1	5	1	11	2	2
ET031006	5	11	2	5	1	6	2	2
ET031006	15	3	1	5	 	 	2	 
ET031007	1	47	1	1	2	4	2	2
ET031007	2	40	2	1	2	0	2	1
ET031007	3	21	1	5	2	6	2	2
ET031007	4	19	2	 	2	0	2	2
ET031007	5	12	1	5	1	6	2	2
ET031007	6	15	2	7	1	1	2	2
ET031007	15	4	2	5	 	 	2	 
ET031008	1	38	2	1	2	5	2	2
ET031008	2	20	2	5	2	12	2	2
ET031008	3	18	2	5	1	12	2	2
ET031009	1	35	1	1	2	4	2	2
ET031009	2	28	2	1	2	0	2	2
ET031009	3	12	2	5	1	4	2	2
ET031009	4	10	1	5	1	2	2	2
ET031009	5	5	2	5	2	0	2	2
ET031010	1	38	1	1	2	14	2	2
ET031010	2	34	2	1	2	10	2	2
ET031010	3	12	1	5	1	6	2	2
ET031011	1	45	1	1	2	5	2	2
ET031011	2	32	2	1	2	6	2	2
ET031011	3	15	2	4	1	7	2	2
ET031011	4	14	1	5	1	8	2	2
ET031011	5	12	1	5	1	8	2	2
ET031011	6	11	2	5	1	4	2	2
ET031011	7	9	1	5	1	4	2	2
ET031012	1	38	1	1	2	7	2	2
ET031012	2	40	2	1	2	0	2	2
ET031012	3	13	1	5	1	4	2	2
ET031012	4	10	1	5	1	0	2	2
ET031013	1	65	1	1	2	0	2	2
ET031013	2	28	2	1	2	12	2	2
ET031013	3	6	1	5	1	2	2	2
ET031013	15	3	1	5	 	 	2	 
ET031014	1	29	1	1	2	12	2	1
ET031014	2	23	2	1	1	10	2	1
ET031014	3	10	2	6	1	5	2	2
ET031014	4	5	1	5	1	0	2	2
ET031015	1	27	1	6	2	10	2	2
ET031015	2	20	2	6	1	10	2	2
ET031015	3	16	2	6	1	9	2	2
ET031016	1	45	1	1	2	0	2	2
ET031016	2	40	2	1	2	0	2	1
ET031016	3	24	1	5	2	6	2	2
ET031016	4	20	1	5	2	7	2	2
ET031016	5	17	2	5	2	6	2	2
ET031016	6	14	2	5	1	5	2	2
ET031016	7	12	2	5	1	5	2	2
ET031016	8	10	1	5	1	3	2	2
ET031017	1	37	1	1	2	9	2	1
ET031017	2	35	2	1	2	0	2	2
ET031017	3	10	1	5	1	4	2	2
ET031017	15	3	2	5	 	 	2	 
ET031018	1	43	2	1	2	6	2	1
ET031018	2	20	2	5	2	12	2	2
ET031018	3	18	1	5	2	12	2	2
ET031018	4	12	1	5	1	6	2	2
ET031019	1	40	1	1	2	5	2	1
ET031019	2	28	2	1	2	3	2	1
ET031019	3	14	1	4	2	1	2	2
ET031019	15	4	1	5	 	 	2	 
ET031020	1	50	1	13	2	7	2	1
ET031020	2	45	2	3	2	0	2	2
ET031020	3	30	1	1	2	0	2	2
ET031020	4	28	1	4	2	0	2	2
ET031020	5	24	1	4	2	6	2	2
ET031021	1	35	2	1	2	0	2	1
ET031021	2	18	1	4	1	10	2	2
ET031021	3	14	2	5	1	9	2	2
ET031021	4	18	2	7	2	0	2	2
ET031022	1	42	1	1	2	14	2	1
ET031022	2	31	2	1	2	11	2	1
ET031022	3	28	2	4	2	10	2	2
ET031022	4	20	2	4	2	8	2	2
ET031022	5	10	1	5	1	1	2	2
ET031022	15	2	1	5	 	 	2	 
ET031022	16	0	2	5	 	 	2	 
ET031023	1	32	1	1	2	4	2	1
ET031023	2	27	2	1	2	8	2	2
ET031023	15	0	2	5	 	 	2	 
ET031024	1	45	2	1	2	 	2	1
ET031024	2	20	1	5	1	4	2	2
ET031024	3	13	2	5	1	5	2	2
ET031024	4	10	1	5	1	4	2	2
