CHILDID	LINECODE	PAYMT	PLACE	MONTHS	DAYS	actcode
ET071025	22	2	4	12	3	1
ET071026	23	2	6	12	1	1
ET071028	22	2	6	12	1	1
ET071029	22	2	4	12	1	1
ET071032	22	2	1	12	2	95
ET071032	23	2	1	9	3	95
ET071032	24	2	4	12	4	1
ET071040	22	1	2	1	1	1
ET071041	23	1	2	2	1	1
ET071045	22	2	1	6	2	1
ET071047	22	2	2	12	3	1
ET071049	22	2	1	2	3	1
ET071050	22	2	1	12	1	95
ET071050	23	2	1	6	1	1
ET071050	24	2	1	10	3	95
ET091002	22	2	1	10	2	97
ET091003	23	2	1	10	2	97
ET091004	22	2	1	10	2	97
ET091005	22	2	1	10	3	97
ET091006	22	2	1	10	2	97
ET091025	22	2	1	4	3	0
ET091027	22	2	1	10	1	1
ET091028	22	2	1	10	3	97
ET091029	22	2	1	11	2	0
ET091043	22	2	1	2	1	1
ET091044	22	1	1	12	3	1
ET091045	22	2	4	2	3	0
ET091046	22	2	4	12	1	1
ET091050	22	2	1	12	1	1
ET091050	23	2	1	3	1	0
ET111002	22	2	1	99	1	1
ET111003	22	2	1	12	1	1
ET111006	22	2	1	12	1	95
ET111006	23	2	1	12	1	97
ET111006	24	2	1	12	1	0
ET111007	22	2	1	99	99	0
ET111009	22	2	4	12	1	0
ET111010	22	2	4	6	2	0
ET111011	22	2	4	12	1	0
ET111016	22	2	1	12	1	0
ET111018	22	2	6	12	1	0
ET111019	22	2	6	99	99	0
ET111021	22	2	1	12	1	0
ET111023	22	2	6	12	1	0
ET111023	23	2	6	12	2	95
ET111025	22	2	4	12	1	0
ET111026	22	2	4	12	1	0
ET111028	22	2	4	12	1	0
ET111029	22	2	1	12	2	0
ET111034	22	2	1	12	1	0
ET111039	22	1	4	2	1	0
ET111039	23	2	1	99	1	0
ET111041	22	2	1	12	2	0
ET111043	22	2	1	12	2	1
ET111043	23	2	1	12	2	1
ET111043	24	2	1	12	2	1
ET111045	22	2	4	2	1	1
ET111045	23	2	4	2	1	1
ET111045	24	2	1	2	1	1
ET111045	25	2	1	2	1	1
ET111046	22	2	1	6	3	0
ET111046	23	2	6	6	3	95
ET141001	22	1	6	12	4	0
ET141002	22	2	5	8	2	0
ET141009	22	2	1	7	2	0
ET141009	23	2	6	7	3	0
ET141024	22	2	1	12	2	0
ET141024	23	2	6	12	3	93
ET141041	22	2	5	6	3	0
ET141046	22	99	5	12	3	0
ET161002	22	2	6	12	1	97
ET161004	22	2	6	12	2	97
ET161005	22	2	1	12	1	97
ET161006	22	2	6	12	2	1
ET161008	22	2	1	12	1	97
ET161009	22	1	6	12	1	93
ET161010	22	2	1	12	1	97
ET161011	22	1	1	12	1	93
ET161014	22	2	6	12	1	97
ET161019	22	2	1	12	1	93
ET161020	22	2	1	6	2	97
ET161023	22	2	1	12	1	93
ET161028	22	2	4	12	2	97
ET161028	23	2	1	12	2	97
ET161029	22	1	6	12	1	93
ET161036	22	2	1	12	2	97
ET161037	22	2	1	8	2	97
ET161038	22	2	1	12	2	97
ET161047	22	2	4	6	1	0
ET171024	22	1	6	12	1	1
ET181012	22	2	1	12	1	0
ET181017	22	1	1	12	1	1
ET181028	22	2	4	12	1	1
ET181029	22	2	1	12	1	1
ET181031	22	2	1	12	1	1
ET181032	22	2	1	12	1	1
ET181033	22	2	1	12	1	1
ET181034	22	2	1	12	1	1
ET191010	23	2	1	12	1	0
ET191050	22	2	1	12	2	1
