CHILDID	PLOT	LAREA	LOWN	LUSE
ET071036	3	3750	4	1
ET071036	4	1250	4	1
ET071037	1	10000	4	1
ET071037	2	7500	3	1
ET071038	1	10000	4	1
ET071038	2	10000	4	1
ET071038	3	5000	4	6
ET071039	1	5000	4	1
ET071039	2	2500	4	1
ET071039	3	2500	4	1
ET071040	1	2500	4	1
ET071040	2	2500	4	1
ET071041	1	2500	3	1
ET071043	1	2500	4	1
ET071043	2	1250	4	1
ET071044	1	7500	4	1
ET071044	2	2500	4	1
ET071044	3	2500	4	1
ET071044	4	2500	4	1
ET071044	5	2500	1	2
ET071044	6	1250	4	1
ET071045	1	5000	4	1
ET071045	2	3750	4	1
ET071045	3	2500	4	1
ET071045	4	1250	4	2
ET071046	1	5000	4	1
ET071046	2	2500	4	1
ET071047	1	5000	4	1
ET071047	2	2500	4	1
ET071048	1	5000	4	1
ET071048	2	2500	4	1
ET071048	3	1250	4	1
ET071049	1	10000	4	1
ET071049	2	3750	4	1
ET071049	3	2500	4	1
ET071049	4	2500	4	1
ET071049	5	2500	4	2
ET071050	1	7500	4	1
ET071050	2	2500	4	1
ET071050	3	2500	4	1
ET071050	4	2500	3	1
ET071050	5	2500	3	1
ET081001	1	7500	4	1
ET081002	1	625	4	1
ET081002	2	625	4	1
ET081002	3	625	4	1
ET081003	1	3750	4	1
ET081003	2	1250	4	1
ET081004	1	7500	4	1
ET081006	1	625	4	1
ET081006	2	625	4	1
ET081006	3	625	4	1
ET081007	1	7500	4	1
ET081007	2	10000	4	1
ET081007	3	2500	4	1
ET081008	1	10000	4	1
ET081008	2	5000	4	1
ET081008	3	2500	4	1
ET081008	4	2500	4	1
ET081009	1	2500	3	1
ET081009	2	2500	3	1
ET081010	1	2500	4	1
ET081010	2	2500	4	1
ET081010	3	5000	4	1
ET081011	1	10000	4	1
ET081014	1	2500	4	1
ET081014	2	2500	4	1
ET081014	3	2500	4	1
ET081014	4	2500	4	1
ET081015	1	1000	4	1
ET081016	1	2500	4	1
ET081016	2	2500	4	1
ET081016	3	2500	4	1
ET081016	4	2500	4	1
ET081016	5	2500	4	1
ET081016	6	2500	4	1
ET081017	1	7500	4	1
ET081017	2	5000	4	1
ET081017	3	2500	4	1
ET081018	1	5000	4	1
ET081019	1	20000	4	1
ET081020	1	2500	4	1
ET081020	2	2500	4	1
ET081020	3	2500	4	1
ET081020	4	2500	4	1
ET081021	1	5000	4	1
ET081022	1	5000	4	1
ET081022	2	2500	4	1
ET081023	1	5000	4	1
ET081024	1	10000	4	1
ET081025	1	10000	4	1
ET081025	2	5000	4	1
ET081025	3	5000	4	1
ET081027	1	10000	4	1
ET081029	1	10000	4	1
ET081029	2	5000	4	1
ET081029	3	5000	4	1
ET081030	1	5000	4	1
ET081030	2	2000	4	1
ET081031	1	5000	4	1
ET081031	2	2500	4	1
ET081032	1	10000	4	1
ET081033	1	5000	4	1
ET081033	2	2500	4	1
ET081033	3	5000	4	1
ET081034	1	5000	4	1
ET081036	1	2500	4	1
ET081036	2	2500	4	1
ET081036	3	2500	4	1
ET081038	1	5000	4	1
ET081040	1	2500	4	1
ET081040	2	2500	4	1
ET081042	1	2500	4	1
ET081042	2	2500	4	1
ET081042	3	2500	4	1
ET081043	1	10000	1	1
ET081044	1	50000	4	1
ET081045	1	5000	4	1
ET081046	1	2500	4	1
ET081046	2	2500	4	1
ET081046	3	2500	4	1
ET081047	1	7500	4	1
ET081048	1	2500	4	1
ET081048	2	2500	4	1
ET081048	3	2500	4	1
ET081048	4	2500	4	1
ET081049	1	5000	4	1
ET081050	1	2500	4	1
ET081050	2	2500	4	1
ET081050	3	2500	4	1
ET091001	1	5000	1	1
ET091001	2	20000	4	1
ET091002	1	15000	4	1
ET091003	1	15000	1	1
ET091003	2	20000	4	1
ET091004	1	30000	4	2
ET091004	2	35000	4	1
ET091005	1	10000	4	1
ET091005	2	20000	4	1
ET091006	1	20000	4	1
ET091007	1	10000	4	1
ET091008	1	20000	4	1
ET091013	1	5000	1	1
ET091013	2	5000	4	1
ET091013	3	5000	4	1
ET091015	1	5000	2	1
ET091016	1	10000	1	1
ET091016	2	12500	3	1
ET091017	1	20000	4	1
ET091018	1	21250	4	1
ET091018	2	30000	4	7
ET091018	3	21250	4	8
ET091019	1	15000	4	1
ET091020	1	20000	4	1
ET091020	2	25000	3	1
ET091021	1	7500	4	1
ET091021	2	10000	4	6
ET091021	3	2500	4	7
ET091022	1	30000	4	1
ET091023	1	15000	4	1
ET091024	1	12500	4	1
ET091025	1	25000	4	1
ET091026	1	15000	4	1
ET091027	1	30000	4	1
ET091028	1	10000	4	1
ET091029	1	20000	4	1
ET091030	1	22500	4	1
ET091031	1	20000	4	1
ET091031	2	10000	1	1
ET091032	1	30000	4	1
ET091033	1	5000	4	1
ET091033	2	7500	1	1
ET091034	1	25000	1	1
ET091035	1	20000	4	1
ET091036	1	20000	4	1
ET091037	1	20000	4	1
ET091038	1	30000	4	1
ET091038	2	20000	1	1
ET091039	1	30000	4	1
ET091040	1	25000	4	1
ET091041	1	25000	4	1
ET091042	1	12500	4	1
ET091042	2	7500	3	1
ET091043	1	20000	4	1
ET091043	2	15000	2	1
ET091044	1	10000	4	1
ET091045	1	12500	4	1
ET091045	2	2500	1	1
ET091046	1	20000	4	1
ET091047	1	22500	4	1
ET091048	1	17500	4	1
ET091049	1	20000	4	1
ET091050	1	20000	4	1
ET091050	2	20000	1	1
ET101004	1	30000	3	1
ET101017	1	10000	1	1
ET101020	1	20000	4	2
ET101034	1	10000	4	1
ET101050	1	40000	99	99
ET111001	1	5000	4	1
ET111001	2	12500	4	1
ET111004	1	10000	4	1
ET111005	1	2500	1	1
ET111006	1	3750	4	1
ET111006	2	2500	4	1
ET111006	3	3500	4	1
ET111007	1	2000	4	1
ET111007	2	2500	4	1
ET111007	3	5000	4	1
ET111008	1	5000	1	1
ET111008	2	2500	1	1
ET111008	3	2500	1	1
ET111008	4	2500	1	1
ET111008	5	2500	1	1
ET111009	1	5000	4	1
ET111009	2	2500	4	1
ET111009	3	2500	4	1
ET111009	4	2500	1	1
ET111009	5	2500	1	1
ET111010	1	7500	1	1
ET111010	2	5000	4	1
ET111010	3	2500	4	1
ET111010	4	2500	4	1
ET111010	5	2500	1	1
ET111015	1	10000	4	1
ET111015	2	2500	4	1
ET111015	3	2500	4	1
ET111016	1	2500	4	1
ET111016	2	5000	4	1
ET111016	3	7500	3	1
ET111016	4	5000	4	1
ET111017	1	200	4	1
ET111017	2	100	4	1
ET111018	1	5000	4	1
ET111018	2	5000	4	1
ET111018	3	2500	4	1
ET111018	4	2500	4	1
ET111020	1	5000	2	1
ET111020	2	5000	2	1
ET111022	1	2500	1	1
ET111022	2	5000	4	1
ET111023	1	10000	4	1
ET111023	2	5000	4	1
ET111023	3	5000	4	1
ET111027	1	20000	4	1
ET111027	2	10000	4	1
ET111029	1	7500	4	1
ET111029	2	5000	1	1
ET111029	3	5000	4	1
ET111029	4	2500	4	1
ET111030	1	2500	1	1
ET111031	1	400	4	1
ET111034	1	10000	4	1
ET111034	2	7500	2	1
ET111034	3	7500	2	1
ET111034	4	5000	2	1
ET111034	5	5000	4	1
ET111037	1	20000	4	1
ET111038	1	5000	4	1
ET111038	2	2500	4	1
ET111040	1	12500	4	1
ET111040	2	5000	4	1
ET111041	1	5000	4	1
ET111041	2	2500	4	1
ET111041	3	2500	4	1
ET111042	1	7500	4	1
ET111042	2	2500	4	1
ET111043	1	10000	4	1
ET111043	2	5000	4	1
ET111043	3	2500	4	1
ET111045	1	5000	4	1
ET111045	2	2500	4	1
ET111046	1	2500	4	1
ET111046	2	2500	4	1
ET111047	1	5000	2	1
ET111048	1	15000	4	1
ET111050	1	15000	4	1
ET121001	1	625	4	1
ET121001	2	625	4	1
ET121001	3	625	1	1
ET121002	1	2500	4	1
ET121002	2	2500	4	1
ET121002	3	2500	4	1
ET121002	4	2500	4	1
ET121002	5	2500	4	1
ET121002	6	2500	4	1
ET121002	7	2500	4	1
ET121002	8	2500	4	1
ET121003	1	2500	4	1
ET121003	2	5000	3	1
ET121004	1	10000	4	1
ET121004	2	10000	4	1
ET121004	3	2500	4	1
ET121004	4	2500	4	1
ET121004	5	2500	1	1
ET121004	6	1250	4	1
ET121004	7	1250	4	1
ET121004	8	625	4	3
ET121005	1	3750	4	1
ET121007	1	2500	4	1
ET121007	2	5000	4	1
ET121007	3	2500	4	1
ET121007	4	2500	3	1
ET121009	1	5000	4	1
ET121009	2	2500	4	1
ET121010	1	625	4	1
ET121010	2	625	4	1
ET121010	3	1250	2	1
ET121011	1	15000	4	1
ET121011	2	5000	4	1
ET121011	3	5000	4	1
ET121011	5	2500	4	1
ET121012	1	2500	4	1
ET121013	1	5000	4	1
ET121013	2	5000	4	1
ET121013	3	3750	4	1
ET121013	4	2500	1	1
ET121014	1	3750	3	1
ET121014	2	2500	4	1
ET121015	1	2500	4	1
ET121015	2	1250	4	1
ET121017	1	3750	4	1
ET121017	2	5000	4	1
ET121017	3	3750	4	1
ET121018	1	5000	4	1
ET121018	2	5000	4	1
ET121018	3	2500	4	1
ET121018	4	2500	3	1
ET121020	1	2500	4	1
ET121020	2	2500	4	1
ET121020	3	2500	4	1
ET121020	4	2500	4	1
ET121020	5	2500	4	1
ET121020	6	5000	3	1
ET121021	1	2500	4	1
ET121022	1	5000	4	1
ET121022	2	2500	4	1
ET121023	1	2500	4	1
ET121023	2	2500	4	1
ET121024	1	2500	1	1
ET121024	2	2500	1	1
ET121024	3	2500	1	1
ET121024	4	3750	4	1
ET121024	5	2500	4	1
ET121024	6	625	4	3
ET121025	1	2500	4	1
ET121026	1	2500	1	1
ET121026	2	2500	1	1
ET121026	3	2500	1	1
ET121026	4	2500	4	1
ET121026	5	2500	4	1
ET121027	1	5000	3	1
ET121027	2	2500	1	1
ET121028	1	2500	4	1
ET121028	2	5000	4	1
ET121028	3	5000	3	1
ET121028	4	1250	4	3
ET121029	1	2500	4	1
ET121029	2	2500	4	1
ET121029	3	2500	4	1
ET121029	4	2500	4	1
ET121029	5	2500	4	1
ET121030	1	5000	4	1
ET121030	2	2500	4	1
