CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3
VN020090	1	14	1	2005	99	4
VN020091	1	14	1	2008	2008	4
VN020091	2	18	1	2007	99	7
VN020091	3	19	1	2007	2007	4
VN020095	1	14	1	2008	2008	4
VN020096	1	14	1	2008	2008	4
VN020098	1	14	1	2008	2009	4
VN020098	2	19	1	2008	2009	4
VN020099	1	14	1	2008	99	4
VN020099	2	14	1	2009	2009	4
VN020106	1	14	1	2007	2007	4
VN020110	1	14	2	2009	2009	5
VN020113	1	14	1	2009	2009	4
VN020113	2	19	1	2007	99	4
VN020114	1	14	2	2009	2009	4
VN020117	1	14	1	2009	2009	4
VN020117	2	14	1	2008	2009	4
VN020119	1	14	1	2009	2009	4
VN020122	1	14	1	2009	2009	4
VN020123	1	14	1	2009	2009	5
VN020129	1	14	1	2009	2009	4
VN020136	1	14	1	2009	2009	4
VN030001	1	12	1	2007	-99	5
VN030002	1	14	1	2008	-99	4
VN030003	1	12	1	2007	99	4
VN030004	1	12	1	2007	99	4
VN030005	1	12	1	2007	99	4
VN030006	1	12	1	2007	99	4
VN030007	1	1	1	-77	-77	5
VN030009	1	14	1	2009	2009	77
VN030009	2	12	1	2007	99	4
VN030010	1	12	1	2007	99	4
VN030011	1	14	1	2009	2009	4
VN030011	2	12	1	2007	99	4
VN030012	1	14	1	2008	99	5
VN030012	2	12	1	2007	99	4
VN030013	1	19	1	1990	99	7
VN030013	2	14	1	2009	2009	4
VN030014	1	12	1	2007	99	4
VN030015	1	12	1	2007	99	4
VN030017	1	12	1	2007	-99	4
VN030018	1	19	1	1999	99	7
VN030020	1	14	1	2007	99	8
VN030020	2	12	1	2007	99	4
VN030022	1	12	1	2007	99	4
VN030023	1	12	1	2007	99	4
VN030024	1	14	1	2008	-99	4
VN030025	1	12	1	2007	99	4
VN030027	1	12	1	2006	-99	4
VN030028	1	12	1	2007	99	4
VN030028	2	14	1	2008	99	5
VN030029	1	12	1	2007	99	4
VN030030	1	12	1	2007	99	4
VN030031	1	12	1	2007	99	4
VN030032	1	12	1	2007	99	4
VN030033	1	14	1	2008	2009	4
VN030033	2	12	1	2007	99	4
VN030034	1	12	1	2007	99	4
VN030035	1	12	1	2007	99	4
VN030036	1	12	1	2007	99	4
VN030037	1	12	1	2007	99	4
VN030039	1	12	1	2007	99	4
VN030040	1	18	1	2006	99	7
VN030040	2	12	1	2007	99	4
VN030041	1	12	1	2007	99	4
VN030041	2	14	1	2008	99	4
VN030042	1	12	1	2007	99	4
VN030043	1	14	1	2008	-99	4
VN030043	2	12	1	2006	-99	4
VN030046	1	12	1	2007	-99	4
VN030047	1	18	1	2009	99	8
VN030047	2	12	1	2007	99	6
VN030048	1	12	1	2007	99	6
VN030049	1	12	1	2006	-99	4
VN030050	1	12	1	2007	99	4
VN030051	1	12	1	2007	99	4
VN030052	1	12	1	2007	99	4
VN030053	1	12	1	2009	99	4
VN030055	1	12	1	2007	99	4
VN030056	1	12	1	2007	299	4
VN030057	1	12	1	2007	99	4
VN030058	1	14	1	2009	99	4
VN030058	2	12	1	2007	99	8
VN030059	1	12	1	2007	99	4
VN030061	1	12	1	2007	-99	4
VN030062	1	12	1	2007	99	4
VN030063	1	12	1	2007	99	4
VN030064	1	14	1	2009	-99	4
VN030064	2	12	1	2007	-99	8
VN030066	1	12	1	2007	99	4
VN030067	1	14	1	2009	99	4
VN030067	2	12	1	2004	2008	4
VN030069	1	12	1	2006	-99	4
VN030070	1	6	1	1990	99	6
VN030071	1	12	1	2007	99	4
VN030072	1	12	1	2007	99	4
VN030073	1	12	1	2007	-99	4
VN030074	1	12	1	2007	99	4
VN030077	1	12	1	2007	99	4
VN030078	1	12	1	2007	99	4
VN030079	1	12	1	2007	99	8
VN030081	1	14	1	2009	2009	4
VN030081	2	12	1	2007	99	4
VN030082	1	12	1	2007	99	4
VN030083	1	12	1	2006	-99	4
VN030084	1	12	1	2007	99	4
VN030088	1	12	1	2007	99	4
VN030090	1	12	1	2007	99	4
VN030093	1	6	1	2009	99	6
VN030093	2	14	1	2007	99	4
VN030094	1	14	1	2009	2009	4
VN030094	2	12	1	2007	99	4
VN030095	1	12	1	2007	99	4
VN030097	1	12	1	2007	99	4
VN030098	1	12	1	2007	-99	4
VN030100	1	12	1	2007	99	4
VN030120	1	12	1	2007	99	4
VN030130	1	12	1	2008	-99	4
VN030130	2	14	1	2006	-99	5
VN030131	1	12	1	2006	-99	4
VN030132	1	12	1	2007	99	8
VN030132	2	6	1	2007	99	3
VN030139	1	12	1	2008	99	4
VN030139	2	14	1	2009	99	4
VN040007	1	14	1	2009	2009	4
VN040007	2	14	1	2009	2009	4
VN040008	1	14	1	2009	2009	4
VN040008	2	14	2	2008	2009	99
VN040012	1	14	1	2009	99	7
VN040013	1	14	1	2008	99	7
VN040015	1	14	1	2008	99	4
VN040020	1	13	1	2007	2007	7
VN040022	1	14	1	2007	2007	4
VN040022	2	14	1	2009	2009	4
VN040024	1	14	1	2008	99	4
VN040025	1	14	1	2008	99	4
VN040026	1	14	1	2007	2007	4
VN040026	2	14	1	2008	2008	4
VN040028	1	14	1	2008	2009	4
VN040029	1	14	1	2007	2008	4
VN040029	2	19	2	2009	2009	4
VN040030	1	14	1	2008	2009	4
VN040031	1	14	1	2008	2009	4
VN040033	1	14	1	2007	2009	7
VN040033	2	14	1	2009	2009	4
VN040034	1	14	1	2007	2007	4
VN040034	2	14	1	2008	99	4
VN040039	1	14	1	2008	99	4
VN040048	1	14	1	-77	99	5
VN040048	2	14	2	2008	2009	4
VN040052	1	14	1	2008	2008	4
VN040053	1	14	1	2008	2009	4
VN040055	1	14	1	2008	2008	4
VN040056	1	14	1	2008	2009	4
VN040062	1	14	1	2008	99	99
VN040062	2	14	1	2009	2009	4
VN040063	1	14	1	2008	2009	77
VN040064	1	14	1	2008	2009	4
VN040065	1	14	1	2008	99	7
VN040066	1	14	1	2008	99	77
VN040069	1	14	1	2008	2009	4
VN040070	1	14	1	2008	99	4
VN040073	1	19	1	2008	99	4
VN040073	2	88	99	-99	-99	99
VN040073	3	88	99	-99	-99	99
VN040073	4	88	99	-99	-99	99
VN040075	1	14	1	2008	2009	4
VN040076	1	5	1	2005	99	4
VN040077	1	14	1	2009	2009	4
VN040078	1	1	1	2008	2009	4
VN040084	1	14	1	2008	99	4
VN040091	1	14	1	2001	99	4
VN040094	1	6	1	2008	99	7
VN040094	2	14	1	2007	2007	4
VN040100	1	14	1	2008	99	4
VN040119	1	14	1	2008	99	4
VN040119	2	14	1	2007	2007	4
VN040122	1	12	1	2007	299	4
VN040129	1	14	1	2008	99	4
VN040143	1	14	1	2008	99	4
VN040145	1	14	1	2008	2009	4
VN040151	1	14	1	2008	99	4
VN050001	1	14	1	2006	2007	6
VN050002	1	14	1	2006	2007	5
VN050003	1	14	1	2006	2007	4
VN050003	2	12	1	2006	99	4
VN050004	1	14	1	2006	2007	4
VN050005	1	14	1	2006	2007	6
VN050005	2	14	2	2006	2007	6
VN050006	1	14	1	2006	2007	6
VN050006	2	14	2	2006	2007	6
VN050007	1	14	1	2006	2007	6
VN050007	2	14	2	2006	2007	6
VN050007	3	14	2	2008	99	6
VN050008	1	14	1	2006	2007	6
VN050008	2	14	2	2006	2007	6
VN050009	1	14	1	2007	2007	4
VN050009	2	14	1	2008	2009	4
VN050010	1	14	1	2006	2007	6
VN050010	2	14	2	2006	2007	6
VN050011	1	14	1	2006	2007	6
VN050011	2	14	2	2006	2007	4
VN050012	1	14	1	2006	2007	6
VN050012	2	14	2	2006	2007	4
VN050013	1	14	1	2006	2007	4
VN050014	1	14	1	2006	2007	3
VN050015	1	14	1	2006	2007	4
VN050016	1	14	1	2006	2007	6
VN050016	2	14	2	2006	2007	6
VN050017	1	14	1	2006	2007	4
VN050018	1	14	1	2006	2007	6
VN050018	2	14	2	2006	2006	4
VN050019	1	14	1	2006	2007	5
VN050021	1	15	1	2006	2006	6
VN050022	1	14	1	2006	2006	6
VN050022	2	12	1	2008	99	4
VN050023	1	14	1	2006	2007	4
VN050024	1	14	1	2006	2007	6
VN050024	2	14	2	2006	2007	4
VN050024	3	12	1	2006	2009	4
VN050025	1	14	1	2006	2007	6
VN050025	2	14	2	2006	2007	6
VN050026	1	14	1	2006	2007	5
VN050028	1	14	1	2006	2007	4
VN050029	1	14	1	2006	2007	4
VN050031	1	14	1	2006	2007	4
VN050031	2	14	2	2006	2006	4
VN050032	1	14	1	2009	99	4
VN050032	2	12	1	2008	99	4
VN050034	1	14	1	2006	2006	5
VN050035	1	14	1	2006	2007	6
VN050035	2	14	2	2006	2007	6
VN050035	3	12	1	2006	2007	4
VN050036	1	14	1	2007	2007	4
VN050036	2	14	2	2007	2007	4
VN050036	3	12	1	2006	2009	6
VN050037	1	14	1	2006	2006	4
VN050038	1	14	1	2007	2007	4
VN050040	1	14	1	2006	2007	4
VN050041	1	14	1	2006	2007	4
VN050042	1	14	1	2006	2007	4
VN050043	1	14	1	2006	2007	6
VN050043	2	14	2	2006	2007	6
VN050044	1	14	1	2006	2007	6
VN050044	2	14	2	2006	2007	6
VN050045	1	14	1	2006	2007	4
VN050045	2	14	2	2006	2007	4
VN050046	1	14	1	2006	2007	6
VN050046	2	14	2	2006	2007	6
VN050046	3	12	1	2006	2009	4
VN050047	1	14	1	2006	2007	4
VN050047	2	12	1	2006	99	6
VN050048	1	12	1	2009	2010	4
VN050049	1	14	1	2006	2007	6
VN050050	1	14	1	2006	2007	6
VN050050	2	14	2	2006	2007	6
VN050052	1	14	1	2006	2007	6
VN050052	2	14	2	2006	2007	6
VN050052	3	12	1	2006	99	4
VN050053	1	14	1	2006	2007	5
VN050054	1	14	1	2006	2007	4
VN050055	1	12	1	2007	299	4
VN050056	1	14	1	2006	2007	4
VN050057	1	14	1	2006	2007	4
VN050058	1	14	1	2006	2007	6
VN050059	1	14	1	2006	2007	6
VN050060	1	14	1	2006	2007	6
VN050060	2	14	2	2006	2007	6
VN050061	1	14	1	2006	2007	6
VN050062	1	14	1	2006	2007	4
VN050065	1	12	1	2006	99	4
VN050068	1	14	1	2006	2007	4
VN050069	1	14	1	2006	2007	6
VN050069	2	14	2	2006	2007	6
VN050072	1	14	1	2006	2006	6
VN050076	1	14	2	2008	2008	4
VN050078	1	14	1	2006	2007	6
VN050082	1	12	1	2007	99	4
VN050082	2	19	1	2006	99	4
VN050083	1	14	1	2006	2007	6
VN050089	1	14	2	2006	2007	6
VN050091	1	14	1	2006	2006	4
VN050092	1	14	1	2006	2007	6
VN050093	1	19	1	2008	2009	4
VN050098	1	14	1	2006	2006	5
VN050100	1	12	1	2006	99	4
VN050102	1	14	1	2006	2007	6
VN050103	1	14	1	2006	2007	6
VN050103	2	14	2	2006	2007	4
VN050103	3	12	1	2008	2009	4
VN050104	1	14	1	2009	2009	4
VN050107	1	14	1	2006	2007	5
VN050108	1	14	1	2006	2007	4
VN050109	1	14	1	2006	2007	6
VN050109	2	14	1	2008	99	4
VN050109	3	19	1	2008	99	4
VN050114	1	14	1	2006	2007	6
VN050115	1	14	1	2006	99	4
VN060001	1	14	1	2006	2007	6
VN060001	2	14	2	2006	2007	6
VN060002	1	14	1	2006	2007	6
VN060002	2	14	2	2006	2007	6
VN060003	1	14	1	2006	2007	6
VN060003	2	14	2	2006	2007	6
VN060005	1	14	1	2006	2007	6
VN060005	2	14	2	2006	2007	6
VN060006	1	14	1	2006	2007	5
VN060007	1	14	1	2006	2007	4
VN060010	1	14	1	2006	2007	4
VN060012	1	14	1	2006	2007	6
VN060012	2	14	2	2006	2007	6
VN060016	1	14	1	2007	2009	3
VN060019	1	14	1	2006	2007	77
VN060019	2	14	2	2006	2007	6
VN060019	3	12	1	2009	99	4
VN060020	1	12	1	2007	2009	4
VN060023	1	14	1	2006	2007	6
VN060023	2	14	2	2006	2007	6
VN060023	3	12	1	2006	2009	4
VN060025	1	14	1	2006	2007	5
VN060026	1	14	1	2006	2007	6
VN060027	1	14	1	2006	2007	5
VN060029	1	14	1	2006	2007	5
VN060031	1	19	1	2006	99	4
VN060032	1	14	1	2006	2007	6
VN060032	2	14	2	2006	2007	4
VN060032	3	14	2	2006	2007	4
VN060033	1	14	1	2006	2007	5
VN060034	1	14	1	2006	2007	4
VN060035	1	14	1	2006	2007	6
VN060035	2	14	2	2006	2007	6
VN060036	1	14	1	2006	2007	5
VN060037	1	14	1	2006	2007	6
VN060037	2	14	2	2006	2007	6
VN060038	1	14	1	2006	2007	6
VN060038	2	14	2	2006	2007	6
VN060039	1	14	1	2006	2007	6
VN060039	2	14	2	2006	2007	6
VN060039	3	12	1	2008	2009	4
VN060041	1	14	1	2006	2007	6
VN060041	2	14	2	2006	2007	6
VN060041	3	12	1	2006	2009	4
VN060044	1	14	1	2006	2007	6
VN060044	2	14	2	2006	2007	6
VN060045	1	14	1	2006	2007	6
VN060045	2	14	2	2006	2007	6
VN060047	1	14	1	2006	2007	6
VN060047	2	14	2	2006	2007	6
VN060048	1	14	1	2006	2007	6
VN060048	2	12	1	2007	2009	4
VN060048	3	14	2	2006	2007	6
VN060049	1	14	1	2006	2007	6
VN060049	2	14	2	2006	2007	6
VN060050	1	14	1	2006	2007	6
VN060050	2	14	2	2006	2007	6
VN060051	1	12	1	2006	99	4
VN060051	2	14	1	2006	2007	6
VN060051	3	14	2	2006	2007	6
VN060052	1	14	1	2006	2007	6
VN060052	2	14	2	2006	2007	6
VN060053	1	12	1	2006	2009	4
VN060054	1	12	1	2008	2009	2
VN060056	1	14	1	2006	2007	6
VN060056	2	14	2	2006	2007	6
VN060057	1	14	1	2006	2007	4
VN060058	1	12	1	2006	2009	4
VN060059	1	14	1	2006	2007	4
VN060060	1	14	1	2006	2007	6
VN060060	2	14	2	2006	2007	6
VN060062	1	14	2	2006	2007	6
VN060062	2	14	1	2006	2007	4
VN060069	1	12	1	2007	2009	4
VN060071	1	14	2	2006	2007	6
VN060071	2	14	1	2006	2007	1
VN060076	1	14	1	2006	2007	6
VN060076	2	14	2	2006	2007	6
VN060078	1	14	2	2006	2009	2
VN060079	1	14	1	2008	2009	2
VN060082	1	12	1	2006	2009	5
VN060088	1	12	1	2006	2009	6
VN060091	1	14	2	2006	2007	4
VN060091	2	14	1	2006	2007	4
VN060096	1	14	2	2006	2007	4
VN060096	2	14	1	2006	2007	4
VN060097	1	12	1	2008	2009	4
VN060098	1	12	1	2006	2009	4
VN060100	1	12	1	2006	2009	4
VN060103	1	12	1	2006	2009	4
VN060104	1	12	1	2006	2009	4
VN060104	2	14	1	2006	2007	6
VN060104	3	14	2	2006	2007	6
VN060104	4	19	1	2006	99	4
VN060105	1	14	1	2006	2007	6
VN060105	2	14	2	2006	2007	6
VN060106	1	12	1	2006	99	4
VN060106	2	14	2	2006	2007	6
VN060106	3	14	1	2006	2007	6
VN060108	1	14	1	2006	2007	6
VN060108	2	14	2	2006	2007	6
VN060109	1	14	1	2006	2007	6
VN060109	2	14	2	2006	2007	6
VN060111	1	14	1	2006	2007	5
VN060115	1	14	1	2006	2007	6
VN060115	2	14	2	2006	2007	6
VN060119	1	12	1	2007	2007	4
VN060127	1	14	1	2007	2009	4
VN070011	1	18	77	2006	99	5
VN070038	1	19	1	2000	99	6
VN070064	1	12	1	2006	99	4
VN070078	1	19	2	2098	2008	4
VN070080	1	12	1	2007	299	4
VN070084	1	19	1	2008	2008	4
VN070085	1	19	1	2007	99	4
VN070091	1	19	1	2009	99	7
VN070100	1	19	1	2008	2008	4
VN070123	1	12	1	2007	299	4
VN080026	1	19	1	2009	2009	7
VN080050	1	12	1	2007	299	4
VN080065	1	16	1	1998	99	4
VN080068	1	16	1	2003	99	6
VN080099	1	14	2	2008	2009	6
VN080100	1	77	1	2009	99	4
VN080124	1	19	1	2008	99	5
VN080142	1	19	1	2006	99	5
VN080165	1	12	2	2008	2009	4
VN090001	1	14	1	2008	2008	7
VN090001	2	14	2	-99	-99	7
VN090001	3	12	1	2006	-99	4
VN090003	1	14	1	2009	-99	77
VN090004	1	12	1	2006	99	4
VN090005	1	1	1	2006	99	4
VN090006	1	14	1	2008	2008	77
VN090007	1	1	1	2008	99	4
VN090007	2	14	1	2008	2008	77
VN090007	3	14	2	2008	2008	77
VN090007	4	12	1	2006	99	4
VN090008	1	14	1	2008	2008	77
VN090009	1	14	2	2008	2008	7
VN090010	1	14	1	2009	2009	7
VN090011	1	14	1	2009	-99	77
VN090012	1	14	1	1999	99	4
VN090013	1	14	1	2008	99	4
VN090014	1	19	1	2008	-88	7
VN090015	1	14	1	2008	2008	77
VN090015	2	14	1	2008	99	4
VN090016	1	1	1	2006	2006	77
VN090017	1	14	1	2008	2008	77
VN090018	1	14	1	2008	99	4
VN090018	2	12	1	2008	99	4
VN090023	1	14	1	2008	2008	99
VN090023	2	12	1	2007	99	4
VN090023	3	1	1	2008	2008	99
VN090024	1	14	1	2006	99	4
VN090025	1	14	1	2009	2009	77
VN090025	2	14	1	2008	99	5
VN090026	1	14	1	2008	99	4
VN090026	2	14	1	2008	2008	77
VN090027	1	12	1	2006	99	4
VN090029	1	19	1	2008	2010	7
VN090031	1	19	1	2008	2010	7
VN090033	1	14	1	2008	2008	77
VN090033	2	14	1	2008	99	4
VN090034	1	12	1	2005	99	4
VN090035	1	1	1	2006	2010	4
VN090036	1	12	1	2006	99	4
VN090038	1	14	1	2005	99	4
VN090044	1	14	1	2008	99	77
VN090046	1	12	1	2006	99	4
VN090047	1	14	1	2006	99	4
VN090047	2	12	1	2006	99	4
VN090048	1	1	1	2006	2010	3
VN090051	1	1	1	2007	99	4
VN090052	1	14	1	2008	99	77
VN090052	2	19	1	2009	2009	77
VN090053	1	19	1	2009	2009	7
VN090053	2	14	1	2008	99	4
VN090053	3	12	1	2006	99	4
VN090054	1	14	1	2008	2009	7
VN090056	1	14	1	2006	99	4
VN090056	2	19	1	2009	2009	77
VN090057	1	14	1	2008	2009	7
VN090059	1	12	1	2006	99	4
VN090060	1	19	1	2008	2009	7
VN090060	2	12	1	2002	99	4
VN090061	1	19	1	2009	2009	7
VN090061	2	12	1	2006	99	4
VN090062	1	1	1	2010	2006	4
VN090063	1	14	1	2008	99	4
VN090063	2	14	1	2008	2008	77
VN090067	1	14	1	2008	2009	4
VN090068	1	1	1	2009	2009	77
VN090068	2	14	1	2008	2008	77
VN090069	1	12	1	2006	99	4
VN090069	2	14	1	2008	99	4
VN090070	1	1	1	2006	2010	1
VN090071	1	14	1	2008	99	4
VN090071	2	12	1	2006	99	4
VN090072	1	14	1	2008	2008	77
VN090072	2	14	1	2008	2008	77
VN090073	1	12	1	2006	99	4
VN090074	1	14	1	2008	99	4
VN090075	1	14	1	2008	99	4
VN090075	2	12	1	2006	99	4
VN090076	1	14	1	2008	2010	7
VN090078	1	12	1	2006	99	4
VN090081	1	14	1	2008	99	4
VN090081	2	12	1	2008	99	4
VN090082	1	14	1	2008	99	4
VN090084	1	14	1	2008	99	4
VN090085	1	14	1	2009	2009	77
VN090087	1	14	1	2008	2008	77
VN090093	1	1	1	2006	2010	3
VN090095	1	12	1	2006	99	4
VN090098	1	1	1	2006	2010	1
VN090099	1	14	1	2008	99	77
VN090100	1	14	1	2006	99	4
VN090100	2	12	1	2006	99	4
VN090101	1	19	1	2006	2006	7
VN090102	1	12	1	2006	99	4
VN090105	1	14	1	2008	99	77
VN090106	1	15	1	2008	2010	2
VN090120	1	14	1	2008	99	4
VN090120	2	12	1	2006	99	4
VN090121	1	14	1	2008	99	4
VN090121	2	12	1	2007	99	4
VN090125	1	14	1	2008	99	4
VN090125	2	12	1	2008	99	4
VN100002	1	14	1	2008	99	77
VN100006	1	14	1	2008	-77	4
VN100006	2	12	1	2008	99	4
VN100007	1	14	1	2008	99	4
VN100007	2	12	1	2006	99	4
VN100010	1	1	1	2008	99	77
VN100012	1	1	1	2008	-77	3
VN100013	1	12	1	20006	99	4
VN100014	1	1	1	2009	99	77
VN100015	1	12	1	2006	99	4
VN100018	1	12	1	2006	99	4
VN100029	1	12	1	2006	99	4
VN100030	1	12	1	2006	99	4
VN100032	1	1	77	2008	2008	7
VN100033	1	1	1	2008	99	4
VN100033	2	12	1	2006	99	4
VN100040	1	16	1	2005	99	4
VN100041	1	1	1	2006	99	5
VN100041	2	12	1	2006	99	4
VN100045	1	19	1	2008	99	7
VN100047	1	1	1	2008	99	77
VN100048	1	12	1	2007	99	4
VN100050	1	1	1	2009	99	77
VN100050	2	14	1	2008	99	4
VN100051	1	12	1	2006	99	5
VN100054	1	1	1	-77	-77	7
VN100056	1	12	1	2006	99	4
VN100057	1	1	1	2008	99	77
VN100060	1	1	1	2008	2008	77
VN100061	1	12	1	2006	99	4
VN100062	1	12	1	2006	99	8
VN100066	1	1	1	2007	-77	5
VN100067	1	1	1	2008	99	77
VN100068	1	1	1	2009	99	77
VN100070	1	14	1	2008	99	77
VN100072	1	1	1	2006	2006	77
VN100073	1	19	1	2009	99	7
VN100074	1	14	1	2008	99	4
VN100076	1	12	1	2007	99	4
VN100079	1	1	1	2008	-77	4
VN100080	1	2	1	2008	2010	4
VN100081	1	14	1	2008	99	77
VN100081	2	1	1	2009	99	77
VN100082	1	14	1	2008	99	4
VN100082	2	12	1	2006	99	4
VN100083	1	14	1	2008	99	4
VN100083	2	1	1	2009	99	77
VN100084	1	1	1	2007	99	4
VN100084	2	12	1	2006	99	4
VN100089	1	14	1	2008	99	4
VN100090	1	14	1	2008	99	4
VN100091	1	1	1	2008	2009	77
VN100091	2	14	1	2008	99	77
VN100092	1	14	1	2008	99	4
VN100092	2	12	1	2006	99	4
VN100094	1	14	1	2008	99	4
VN100094	2	12	1	2006	99	4
VN100097	1	14	1	2008	99	77
VN100098	1	14	1	2008	99	77
VN100098	2	6	1	2007	99	7
VN100101	1	1	1	2008	99	77
VN100113	1	1	1	2008	-77	3
VN100115	1	14	1	2008	2009	77
VN110002	1	14	1	2009	2009	7
VN110007	1	12	1	2007	99	4
VN110013	1	14	1	2008	2008	7
VN110019	1	12	77	2008	20008	7
VN110027	1	14	1	2008	2008	7
VN110027	2	14	1	2007	2007	7
VN110027	3	15	1	2007	2007	7
VN110029	1	15	77	2008	2008	7
VN110034	1	9	1	2008	99	4
VN110038	1	9	2	2008	-88	6
VN110038	2	14	2	2008	-88	4
VN110041	1	12	1	2008	77	4
VN110044	1	9	1	2008	2009	4
VN110044	2	9	1	2008	2008	4
VN110046	1	14	2	2008	2009	1
VN110049	1	9	1	2007	-88	4
VN110055	1	14	1	2008	2008	7
VN110058	1	1	1	2009	99	77
VN110059	1	14	1	2008	20088	7
VN110062	1	14	2	2007	2007	77
VN110063	1	14	1	2008	2008	4
VN110066	1	1	1	2009	2009	7
VN110067	1	1	1	207	88	5
VN110068	1	15	2	2008	2008	7
VN110068	2	14	1	2008	2008	7
VN110094	1	14	1	2008	2008	7
VN120001	1	19	1	2008	2008	7
VN120006	1	12	1	2008	2009	4
VN120006	2	19	1	2008	2008	7
VN120011	1	12	1	2007	-77	4
VN120012	1	14	1	2007	2009	4
VN120012	2	1	1	2008	99	77
VN120015	1	19	2	2006	2006	5
VN120016	1	19	1	2009	2009	4
VN120018	1	14	1	2007	2007	4
VN120024	1	1	1	2009	-77	4
VN120026	1	12	1	2008	-77	4
VN120027	1	14	1	2008	2009	4
VN120028	1	14	1	2008	2008	7
VN120028	2	1	1	2008	2008	7
VN120035	1	14	2	2007	2007	4
VN120036	1	12	1	2000	-77	4
VN120037	1	14	1	2008	2009	4
VN120042	1	9	1	2006	-77	4
VN120043	1	1	1	2008	2009	4
VN120045	1	12	1	2002	2010	4
VN120046	1	13	1	2006	2010	4
VN120049	1	17	2	2007	2007	7
VN120050	1	15	2	2007	2007	4
VN120053	1	14	1	2008	2009	4
VN120054	1	14	1	2008	2008	7
VN120060	1	14	1	2008	2009	4
VN120061	1	14	1	2008	2008	7
VN120062	1	1	1	2009	2009	4
VN120065	1	14	1	2009	2009	4
VN120066	1	15	1	2007	2007	7
VN120066	2	16	1	2007	-77	4
VN120067	1	14	1	2008	2008	7
VN120072	1	9	1	2000	2010	4
VN120078	1	1	1	2008	2008	7
VN120079	1	14	1	2008	2009	4
VN120081	1	14	1	2008	2008	4
VN120089	1	14	1	2008	2009	4
VN120089	2	6	1	2008	2009	4
VN120090	1	19	1	2009	2009	7
VN120093	1	4	1	2009	2009	4
VN120095	1	14	1	2009	2009	4
VN120096	1	12	1	20007	-99	4
VN120114	1	19	1	2009	2009	4
VN120124	1	14	1	2008	2009	4
VN130001	1	19	2	2002	99	5
VN130002	1	19	2	2002	99	5
VN130004	1	19	2	2002	99	5
VN130005	1	19	2	2002	99	5
VN130008	1	19	2	2002	99	5
VN130009	1	19	2	2002	99	5
VN130010	1	19	2	2002	99	5
VN130011	1	19	2	2002	99	5
VN130012	1	19	2	2002	99	5
VN130014	1	19	2	2002	99	5
VN130015	1	19	2	2002	99	5
VN130016	1	19	2	2002	99	5
