CHILDID	LOANID	LNSRCR3	LNTYPER3	DIFRPYR3
VN030002	1	8	2	2
VN030002	2	1	1	2
VN030005	1	2	1	3
VN030006	1	2	1	2
VN030007	1	1	1	3
VN030007	2	8	2	3
VN030008	1	1	1	2
VN030008	2	2	1	2
VN030010	1	1	1	2
VN030011	1	1	1	3
VN030012	1	1	1	3
VN030012	2	7	2	3
VN030013	1	1	1	3
VN030015	1	2	1	2
VN030015	2	7	2	2
VN030016	1	1	1	3
VN030016	2	8	2	3
VN030017	1	1	1	3
VN030018	1	1	1	3
VN030019	1	2	1	2
VN030020	1	1	1	1
VN030020	2	2	1	1
VN030020	3	7	2	1
VN030021	1	2	1	1
VN030022	1	1	1	2
VN030022	2	2	1	2
VN030023	1	1	1	3
VN030024	1	1	1	3
VN030024	2	8	2	3
VN030025	1	1	1	1
VN030025	2	7	2	1
VN030027	1	2	1	2
VN030027	2	1	1	2
VN030029	1	2	1	1
VN030029	2	8	2	1
VN030030	1	1	1	2
VN030034	1	1	1	2
VN030036	1	1	1	3
VN030037	1	1	1	2
VN030038	1	1	1	3
VN030039	1	6	1	1
VN030040	1	1	1	2
VN030041	1	1	1	2
VN030041	2	8	2	2
VN030042	1	2	1	2
VN030043	1	2	1	2
VN030043	2	8	2	2
VN030044	1	1	1	2
VN030046	1	7	2	3
VN030048	1	1	1	1
VN030049	1	1	1	2
VN030052	1	2	1	2
VN030055	1	2	1	1
VN030056	1	7	2	2
VN030058	1	1	1	1
VN030061	1	8	2	3
VN030062	1	7	2	1
VN030064	1	1	1	1
VN030066	1	1	1	1
VN030067	1	1	1	2
VN030067	2	7	2	2
VN030069	1	8	2	1
VN030070	1	8	2	2
VN030071	1	1	1	2
VN030073	1	7	2	1
VN030075	1	2	1	1
VN030077	1	1	1	2
VN030079	1	1	1	2
VN030083	1	1	1	3
VN030083	2	8	2	3
VN030084	1	1	1	2
VN030089	1	2	1	1
VN030092	1	2	1	1
VN030093	1	2	1	1
VN030095	1	1	1	2
VN030096	1	2	1	1
VN030098	1	7	2	2
VN030098	2	1	1	2
VN030099	1	2	1	1
VN030100	1	2	1	1
VN030120	1	1	1	1
VN030120	2	2	1	1
VN030130	1	2	1	2
VN030131	1	8	2	2
VN030132	1	2	1	2
VN030138	1	1	1	2
VN030138	2	2	1	2
VN030139	1	1	1	2
VN030139	2	2	1	2
VN030139	3	7	2	2
VN040001	1	6	1	2
VN040002	1	1	1	3
VN040002	2	8	2	3
VN040003	1	8	2	3
VN040004	1	1	1	2
VN040005	1	2	1	2
VN040005	2	7	2	2
VN040006	1	8	2	1
VN040009	1	2	1	1
VN040010	1	2	1	2
VN040010	2	8	2	2
VN040014	1	1	1	2
VN040017	1	4	1	2
VN040018	1	2	1	3
VN040021	1	2	1	2
VN040021	2	8	2	1
VN040023	1	8	2	3
VN040024	1	1	1	1
VN040025	1	2	1	1
VN040030	1	2	1	3
VN040031	1	2	1	2
VN040033	1	2	1	2
VN040038	1	7	2	1
VN040039	1	7	2	3
VN040043	1	8	2	2
VN040043	2	7	2	2
VN040045	1	2	1	2
VN040046	1	1	1	2
VN040047	1	8	2	3
VN040049	1	2	1	2
VN040049	2	8	2	1
VN040051	1	1	1	2
VN040052	1	2	1	3
VN040052	2	1	1	3
VN040053	1	2	1	2
VN040054	1	1	1	3
VN040055	1	2	1	3
VN040056	1	2	1	2
VN040056	2	1	1	2
VN040061	1	8	2	2
VN040062	1	2	1	1
VN040063	1	2	1	2
VN040065	1	1	1	2
VN040069	1	5	1	1
VN040070	1	8	2	1
VN040076	1	2	1	1
VN040076	2	8	2	1
VN040076	3	7	2	1
VN040078	1	1	1	3
VN040082	1	6	1	1
VN040083	1	2	1	2
VN040085	1	2	1	3
VN040088	1	2	1	2
VN040089	1	1	1	1
VN040089	2	8	2	2
VN040090	1	1	1	1
VN040093	1	2	1	1
VN040094	1	2	1	3
VN040095	1	2	1	3
VN040096	1	2	1	3
VN040098	1	1	1	3
VN040098	2	7	2	3
VN040100	1	1	1	3
VN040100	2	2	1	3
VN040106	1	8	2	2
VN040119	1	2	1	2
VN040129	1	2	1	2
VN040145	1	1	1	1
VN040151	1	2	1	1
VN040164	1	2	1	1
VN040171	1	2	1	1
VN050003	1	1	1	2
VN050004	1	2	1	2
VN050005	1	1	1	2
VN050006	1	3	1	1
VN050007	1	2	1	2
VN050008	1	1	1	2
VN050010	1	3	1	1
VN050011	1	2	1	2
VN050012	1	2	1	99
VN050014	1	6	1	3
VN050015	1	8	2	4
VN050018	1	1	1	2
VN050018	2	7	2	2
VN050021	1	1	1	1
VN050024	1	1	1	2
VN050032	1	7	2	3
VN050033	1	2	1	2
VN050034	1	1	1	1
VN050034	2	7	2	1
VN050037	1	1	1	2
VN050042	1	1	1	1
VN050043	1	2	1	2
VN050046	1	1	1	2
VN050050	1	2	1	2
VN050052	1	1	1	88
VN050053	1	7	2	2
VN050054	1	10	2	1
VN050055	1	8	2	1
VN050057	1	1	1	1
VN050058	1	1	1	3
VN050060	1	2	1	2
VN050062	1	8	2	1
VN050066	1	2	1	2
VN050076	1	4	1	2
VN050077	1	2	1	1
VN050081	1	1	1	1
VN050085	1	2	1	99
VN050087	1	1	1	1
VN050093	1	1	1	1
VN050094	1	2	1	2
VN050098	1	6	1	3
VN050100	1	1	1	2
VN050102	1	8	2	2
VN050105	1	1	1	3
VN050109	1	1	1	3
VN050114	1	2	1	2
VN050115	1	2	1	1
VN050117	1	3	1	2
VN050118	1	1	1	3
VN060001	1	8	2	2
VN060002	1	1	1	2
VN060006	1	2	1	1
VN060010	1	6	1	3
VN060013	1	2	1	2
VN060016	1	1	1	1
VN060019	1	1	1	2
VN060020	1	3	1	1
VN060025	1	2	1	3
VN060025	2	1	1	1
VN060029	1	6	1	3
VN060033	1	6	1	3
VN060033	2	8	2	1
VN060034	1	2	1	2
VN060036	1	2	1	3
VN060036	2	6	1	3
VN060040	1	2	1	2
VN060045	1	2	1	2
VN060051	1	1	1	2
VN060052	1	2	1	2
VN060054	1	8	2	1
VN060057	1	2	1	2
VN060058	1	10	2	1
VN060059	1	2	1	1
VN060061	1	2	1	2
VN060063	1	8	2	2
VN060066	1	7	2	1
VN060067	1	7	2	2
VN060068	1	2	1	1
VN060071	1	2	1	2
VN060071	2	8	2	2
VN060073	1	2	1	2
VN060074	1	6	1	1
VN060075	1	1	1	2
VN060079	1	10	2	1
VN060081	1	2	1	1
VN060082	1	2	1	2
VN060084	1	2	1	2
VN060085	1	1	1	2
VN060086	1	4	1	1
VN060087	1	2	1	1
VN060088	1	2	1	2
VN060088	2	7	2	2
VN060094	1	2	1	1
VN060096	1	8	2	2
VN060097	1	4	1	2
VN060098	1	2	1	1
VN060098	2	6	1	1
VN060099	1	7	2	2
VN060100	1	7	2	3
VN060103	1	2	1	1
VN060104	1	8	2	3
VN060105	1	2	1	3
VN060108	1	2	1	2
VN060109	1	2	1	1
VN060119	1	2	1	1
VN060127	1	1	1	1
VN070001	1	3	1	1
VN070003	1	2	1	3
VN070003	2	1	1	2
VN070003	3	8	2	2
VN070007	1	1	1	2
VN070008	1	1	1	2
VN070010	1	2	1	2
VN070011	1	1	1	3
VN070015	1	1	1	1
VN070017	1	1	1	2
VN070018	1	2	1	1
VN070019	1	2	1	1
VN070021	1	1	1	2
VN070023	1	2	1	1
VN070023	2	7	2	2
VN070024	1	1	1	2
VN070028	1	2	1	1
VN070029	1	1	1	2
VN070030	1	1	1	2
VN070031	1	3	1	1
VN070032	1	2	1	2
VN070037	1	2	1	2
VN070038	1	2	1	2
VN070039	1	1	1	2
VN070040	1	2	1	2
VN070046	1	8	2	2
VN070053	1	2	1	2
VN070054	1	2	1	2
VN070054	2	7	2	2
VN070059	1	2	1	1
VN070063	1	8	2	2
VN070065	1	2	1	1
VN070066	1	7	2	1
VN070069	1	2	1	2
VN070071	1	7	2	1
VN070073	1	8	2	1
VN070074	1	3	1	1
VN070077	1	2	1	2
VN070078	1	2	1	2
VN070079	1	2	1	1
VN070084	1	2	1	2
VN070085	1	3	1	2
VN070091	1	1	1	2
VN070093	1	2	1	2
VN070093	2	7	2	2
VN070094	1	2	1	1
VN070097	1	2	1	2
VN070099	1	2	1	2
VN070099	2	7	2	2
VN070102	1	2	1	2
VN070107	1	2	1	2
VN070118	1	2	1	1
VN070124	1	1	1	2
VN070125	1	1	1	2
VN070126	1	7	2	2
VN080001	1	2	1	2
VN080004	1	1	1	2
VN080006	1	1	1	2
VN080006	2	7	2	3
VN080011	1	1	1	2
VN080012	1	1	1	2
VN080012	2	4	1	1
VN080013	1	2	1	2
VN080015	1	7	2	1
VN080016	1	6	1	2
VN080017	1	2	1	2
VN080018	1	2	1	1
VN080019	1	3	1	2
VN080020	1	1	1	2
VN080021	1	2	1	1
VN080026	1	1	1	3
VN080027	1	2	1	2
VN080029	1	1	1	2
VN080029	2	8	2	3
VN080032	1	3	1	1
VN080034	1	2	1	1
VN080035	1	2	1	2
VN080036	1	2	1	2
VN080038	1	1	1	1
VN080042	1	2	1	1
VN080049	1	1	1	3
VN080053	1	2	1	2
VN080055	1	2	1	1
VN080059	1	2	1	2
VN080059	2	7	2	2
VN080061	1	3	1	2
VN080062	1	7	2	2
VN080064	1	2	1	2
VN080064	2	7	2	2
VN080066	1	1	1	2
VN080068	1	2	1	2
VN080069	1	8	2	2
VN080070	1	1	1	2
VN080072	1	8	2	1
VN080073	1	5	1	2
VN080080	1	1	1	3
VN080082	1	1	1	3
VN080084	1	4	1	2
VN080086	1	1	1	2
VN080090	1	1	1	3
VN080092	1	3	1	1
VN080092	2	1	1	2
VN080093	1	2	1	1
VN080097	1	7	2	2
VN080098	1	2	1	2
VN080107	1	2	1	2
VN080115	1	2	1	2
VN080120	1	2	1	1
VN080124	1	1	1	2
VN080132	1	8	2	1
VN080142	1	7	2	2
VN080154	1	1	1	1
VN080162	1	1	1	2
VN090001	1	7	2	3
VN090002	1	7	2	3
VN090004	1	1	1	3
VN090004	2	8	2	3
VN090005	1	1	1	2
VN090006	1	1	1	1
VN090007	1	1	1	3
VN090008	1	1	1	1
VN090009	1	1	1	2
VN090011	1	1	1	3
VN090011	2	7	2	2
VN090012	1	8	2	2
VN090012	2	1	1	3
VN090013	1	1	1	3
VN090015	1	1	1	3
VN090016	1	2	1	1
VN090017	1	1	1	1
VN090018	1	1	1	3
VN090020	1	1	1	1
VN090021	1	1	1	2
VN090025	1	1	1	3
VN090026	1	1	1	3
VN090031	1	1	1	2
VN090033	1	1	1	3
VN090037	1	7	2	2
VN090046	1	7	2	1
VN090048	1	1	1	3
VN090049	1	7	2	2
VN090050	1	1	1	2
VN090052	1	1	1	4
VN090054	1	7	2	2
VN090057	1	1	1	3
VN090057	2	8	2	3
VN090060	1	1	1	2
VN090061	1	1	1	3
VN090061	2	7	2	3
VN090074	1	1	1	2
VN090076	1	7	2	2
VN090078	1	1	1	2
VN090084	1	1	1	2
VN090086	1	1	1	3
VN090093	1	1	1	2
VN090098	1	2	1	3
VN090102	1	1	1	2
VN090120	1	8	2	2
VN100004	1	1	1	3
VN100004	2	8	2	2
VN100006	1	1	1	3
VN100007	1	1	1	2
VN100009	1	1	1	3
VN100011	1	1	1	3
VN100012	1	1	1	3
VN100014	1	2	1	2
VN100015	1	1	1	1
VN100017	1	1	1	2
VN100020	1	1	1	2
VN100020	2	3	1	2
VN100020	3	7	2	3
VN100022	1	2	1	1
VN100024	1	1	1	3
VN100027	1	2	1	1
VN100030	1	1	1	2
VN100031	1	1	1	3
VN100033	1	1	1	1
VN100035	1	1	1	2
VN100035	2	7	2	3
VN100036	1	1	1	1
VN100038	1	1	1	2
VN100039	1	1	1	3
VN100042	1	2	1	3
VN100043	1	3	1	2
VN100045	1	1	1	1
VN100052	1	7	2	3
VN100054	1	1	1	3
VN100055	1	3	1	1
VN100056	1	1	1	2
VN100056	2	3	1	3
VN100058	1	1	1	2
VN100060	1	1	1	2
VN100062	1	1	1	2
VN100064	1	3	1	2
VN100066	1	1	1	3
VN100066	2	7	2	2
VN100068	1	8	2	1
VN100069	1	2	1	2
VN100071	1	1	1	3
VN100072	1	1	1	2
VN100074	1	2	1	3
VN100076	1	1	1	1
VN100076	2	7	2	2
VN100077	1	1	1	2
VN100077	2	8	2	2
VN100079	1	1	1	3
VN100080	1	1	1	3
VN100081	1	1	1	2
VN100082	1	1	1	2
VN100083	1	1	1	3
VN100084	1	1	1	1
VN100086	1	1	1	1
VN100087	1	1	1	2
VN100089	1	1	1	2
VN100090	1	1	1	3
VN100091	1	1	1	1
VN100092	1	1	1	2
VN100093	1	1	1	2
VN100094	1	1	1	2
VN100096	1	2	1	2
VN100097	1	1	1	2
VN100098	1	1	1	1
VN100099	1	1	1	3
VN100100	1	1	1	1
VN100106	1	1	1	1
VN100115	1	1	1	3
VN110002	1	2	1	1
VN110005	1	2	1	1
VN110006	1	1	1	1
VN110006	2	2	1	1
VN110006	3	7	2	1
VN110008	1	1	1	2
VN110012	1	2	1	1
VN110014	1	2	1	2
VN110014	2	7	2	2
VN110015	1	3	1	1
VN110018	1	7	2	2
VN110019	1	1	1	1
VN110023	1	2	1	2
VN110023	2	7	2	2
VN110024	1	2	1	1
VN110026	1	2	1	1
VN110027	1	8	2	1
VN110028	1	2	1	3
VN110030	1	8	2	1
VN110031	1	1	1	1
VN110033	1	8	2	1
VN110035	1	8	2	1
VN110036	1	2	1	1
VN110036	2	8	2	1
VN110037	1	2	1	1
VN110038	1	2	1	2
VN110040	1	1	1	3
VN110040	2	8	2	3
VN110042	1	1	1	1
VN110042	2	2	1	1
VN110043	1	3	1	99
VN110044	1	1	1	2
VN110044	2	8	2	2
VN110045	1	2	1	1
VN110047	1	2	1	2
VN110048	1	1	1	1
VN110050	1	2	1	1
VN110050	2	7	2	1
VN110051	1	1	1	2
VN110053	1	7	2	2
VN110054	1	2	1	2
VN110055	1	1	1	1
VN110056	1	1	1	2
VN110056	2	10	99	2
VN110056	3	8	2	1
VN110057	1	1	1	2
VN110057	2	8	2	2
VN110058	1	3	1	2
VN110059	1	8	2	2
VN110060	1	2	1	1
VN110063	1	7	2	3
VN110064	1	8	2	99
VN110066	1	2	1	3
VN110066	2	10	2	2
VN110072	1	1	1	1
VN110073	1	2	1	3
VN110073	2	7	2	2
VN110074	1	1	1	1
VN110077	1	1	1	1
VN110078	1	7	2	1
VN110079	1	1	1	2
VN110080	1	2	1	1
VN110080	2	8	2	1
VN110086	1	2	1	2
VN110086	2	8	2	2
VN110090	1	2	1	1
VN110092	1	2	1	1
VN110094	1	1	1	1
VN110094	2	1	1	1
VN110095	1	7	2	2
VN110098	1	2	1	99
VN110099	1	1	1	2
VN110123	1	7	2	1
VN110123	2	2	1	2
VN110125	1	2	1	2
VN110126	1	1	1	3
VN110126	2	7	2	3
VN120001	1	1	1	3
VN120004	1	1	1	1
VN120006	1	1	1	77
VN120007	1	2	1	1
VN120009	1	1	1	1
VN120011	1	2	1	2
VN120012	1	10	2	1
VN120013	1	7	2	1
VN120014	1	8	2	1
VN120015	1	1	1	3
VN120016	1	1	1	1
VN120017	1	8	2	1
VN120017	2	7	2	1
VN120020	1	1	1	1
VN120022	1	1	1	1
VN120026	1	1	1	3
VN120027	1	1	1	1
VN120035	1	1	1	1
VN120036	1	7	2	3
VN120039	1	1	1	1
VN120040	1	2	1	1
VN120040	2	1	1	1
VN120048	1	1	1	1
VN120049	1	1	1	2
VN120050	1	1	1	1
VN120054	1	2	1	2
VN120054	2	8	2	2
VN120058	1	8	2	1
VN120061	1	1	1	1
VN120062	1	1	1	1
VN120064	1	1	1	1
VN120068	1	7	2	1
VN120071	1	1	1	1
VN120078	1	10	2	1
VN120078	2	7	2	2
VN120079	1	1	1	1
VN120081	1	1	1	1
VN120083	1	1	1	1
VN120084	1	3	1	3
VN120084	2	8	2	2
VN120086	1	2	1	2
VN120088	1	7	2	2
VN120089	1	1	1	1
VN120090	1	1	1	2
VN120092	1	1	1	2
VN120094	1	1	1	1
VN120098	1	1	1	2
VN120099	1	1	1	1
VN120114	1	1	1	1
VN120115	1	1	1	2
VN120121	1	1	1	2
VN120124	1	1	1	1
VN120126	1	7	2	3
VN120135	1	2	1	1
VN120141	1	1	1	2
VN120142	1	8	2	1
VN120142	2	10	2	1
VN120146	1	1	1	2
VN120148	1	8	2	1
VN120150	1	6	1	2
VN130002	1	8	2	2
VN130005	1	8	2	2
VN130005	2	6	1	2
VN130006	1	2	1	1
VN130007	1	2	1	2
VN130007	2	6	1	2
VN130009	1	6	1	1
VN130009	2	8	2	1
VN130010	1	6	1	1
VN130011	1	2	1	3
VN130011	2	6	1	3
VN130011	3	8	2	3
VN130015	1	1	1	3
VN130015	2	2	1	3
VN130015	3	8	2	3
VN130019	1	8	2	1
VN130020	1	7	2	3
VN130020	2	8	2	3
VN130022	1	8	2	2
VN130024	1	8	2	2
VN130026	1	1	1	1
VN130026	2	8	2	1
VN130028	1	8	2	2
VN130033	1	7	2	3
VN130035	1	1	1	3
VN130035	2	7	2	3
VN130035	3	8	2	3
VN130036	1	6	1	1
VN130040	1	2	1	1
VN130044	1	2	1	1
VN130047	1	8	2	3
VN130049	1	2	1	3
VN130049	2	7	2	3
VN130054	1	8	2	2
VN130055	1	6	1	1
VN130055	2	7	2	3
VN130055	3	8	2	3
VN130058	1	8	2	2
VN130059	1	2	1	3
VN130059	2	1	1	3
VN130059	3	8	2	1
VN130060	1	1	1	2
VN130060	2	8	2	2
VN130061	1	8	2	3
VN130061	2	7	2	3
VN130064	1	8	2	1
VN130069	1	8	2	2
VN130071	1	8	2	2
VN130074	1	2	1	2
VN130075	1	2	1	2
VN130075	2	7	2	2
VN130078	1	2	1	2
VN130078	2	6	1	2
VN130083	1	2	1	2
VN130085	1	8	2	3
VN130086	1	2	1	1
VN130086	2	1	1	1
VN130087	1	1	1	2
VN130087	2	2	1	2
VN130087	3	8	2	2
VN130088	1	8	2	2
VN130090	1	8	2	3
VN130093	1	8	2	2
VN130093	2	2	1	3
VN130098	1	2	1	2
VN130099	1	2	1	2
VN130099	2	6	1	2
VN130103	1	1	1	2
VN140006	1	8	2	1
VN140008	1	8	2	1
VN140009	1	2	1	2
VN140010	1	2	1	2
VN140010	2	88	88	88
VN140010	3	88	88	88
VN140010	4	88	88	88
VN140010	5	88	88	88
VN140011	1	8	2	1
VN140013	1	6	1	1
VN140014	1	8	2	1
VN140015	1	2	1	1
VN140017	1	8	2	3
VN140018	1	6	1	2
VN140018	2	8	2	2
VN140019	1	2	1	1
VN140019	2	8	2	1
VN140020	1	2	1	1
VN140021	1	2	1	1
VN140022	1	2	1	1
VN140023	1	2	1	2
VN140024	1	2	1	1
VN140024	2	10	1	1
VN140024	3	8	2	1
VN140026	1	2	1	2
VN140026	2	1	1	2
VN140027	1	1	1	1
VN140027	2	8	2	1
VN140028	1	6	1	3
VN140028	2	10	2	3
VN140030	1	6	1	2
VN140030	2	7	2	2
VN140030	3	 	 	 
VN140031	1	1	1	3
VN140031	2	8	2	1
VN140037	1	2	1	1
VN140037	2	8	2	1
VN140040	1	8	2	3
VN140040	2	7	2	3
VN140041	1	2	1	2
VN140042	1	6	1	2
VN140042	2	8	2	2
VN140044	1	2	1	2
VN140047	1	2	1	1
VN140047	2	6	1	1
VN140048	1	8	2	2
VN140049	1	10	2	1
VN140051	1	8	2	1
VN140055	1	8	2	2
VN140057	1	8	2	1
VN140059	1	8	2	2
VN140063	1	2	1	1
VN140064	1	6	1	1
VN140064	2	8	2	1
VN140065	1	8	2	1
VN140068	1	8	2	2
VN140074	1	2	1	1
VN140077	1	1	1	3
VN140077	2	8	2	2
VN140079	1	8	2	3
VN140080	1	2	1	1
VN140083	1	7	2	2
VN140085	1	1	1	2
VN140085	2	8	2	2
VN140086	1	8	2	2
VN140086	2	10	2	2
VN140087	1	6	1	3
VN140087	2	2	1	3
VN140087	3	8	2	3
VN140089	1	2	1	1
VN140090	1	2	1	2
VN140090	2	8	2	1
VN140093	1	6	1	2
VN140093	2	8	2	2
VN140094	1	8	2	3
VN140098	1	2	1	3
VN140098	2	7	2	3
VN140098	3	8	2	3
VN140101	1	8	2	2
VN140101	2	2	1	2
VN140102	1	6	1	2
VN140102	2	8	2	2
VN140103	1	7	2	2
VN140107	1	2	1	1
VN150002	1	1	1	1
VN150003	1	1	1	1
VN150005	1	6	1	2
VN150007	1	5	1	1
VN150008	1	5	1	1
VN150009	1	8	2	2
VN150010	1	8	2	1
VN150013	1	4	1	3
VN150014	1	10	2	1
VN150014	2	10	2	1
VN150015	1	7	2	3
VN150017	1	8	2	2
VN150017	2	7	2	2
VN150018	1	8	2	1
VN150021	1	8	2	1
VN150022	1	5	1	1
VN150025	1	8	2	2
VN150027	1	8	2	3
VN150029	1	8	2	3
VN150030	1	6	1	1
VN150031	1	5	1	3
VN150031	2	8	2	3
VN150032	1	2	1	3
VN150033	1	2	1	2
VN150036	1	8	2	2
VN150040	1	8	2	2
VN150041	1	8	2	2
VN150043	1	8	2	3
VN150049	1	6	1	2
VN150049	2	8	2	3
VN150054	1	1	1	3
VN150054	2	8	2	3
VN150055	1	1	1	1
VN150055	2	7	2	1
VN150057	1	6	1	1
VN150058	1	8	2	1
VN150060	1	1	1	1
VN150063	1	2	1	2
VN150063	2	8	2	1
VN150064	1	1	1	1
VN150065	1	8	2	1
VN150068	1	8	2	1
VN150068	2	7	2	1
VN150070	1	1	1	1
VN150071	1	2	1	2
VN150071	2	7	2	2
VN150073	1	5	1	3
VN150073	2	8	2	3
VN150074	1	5	1	1
VN150074	2	8	2	1
VN150078	1	6	1	1
VN150087	1	1	1	1
VN150087	2	7	2	1
VN150090	1	1	1	1
VN150090	2	8	2	1
VN150096	1	1	1	2
VN150098	1	8	2	3
VN150099	1	7	2	1
VN150103	1	8	2	2
VN150105	1	8	2	2
VN150105	2	7	2	2
VN150126	1	6	1	2
VN150129	1	1	1	1
VN150130	1	4	1	2
VN150134	1	2	1	2
VN150136	1	8	2	2
VN150137	1	8	2	2
VN150138	1	1	1	1
VN150139	1	8	2	2
VN150141	1	2	1	2
VN150141	2	7	2	2
VN150142	1	8	2	1
VN150145	1	1	1	2
VN160002	1	8	2	3
VN160003	1	2	1	3
VN160003	2	7	2	3
VN160005	1	2	1	2
VN160009	1	6	1	1
VN160009	2	5	1	1
VN160011	1	8	2	1
VN160018	1	7	2	3
VN160019	1	7	2	3
VN160020	1	2	1	2
VN160021	1	1	1	1
VN160021	2	7	2	1
VN160022	1	2	1	2
VN160024	1	7	2	2
VN160025	1	7	2	1
VN160026	1	6	1	3
VN160029	1	6	1	1
VN160030	1	1	1	2
VN160032	1	2	1	2
VN160034	1	1	1	3
VN160034	2	8	2	3
VN160035	1	1	1	1
VN160036	1	8	2	2
VN160040	1	8	2	3
VN160043	1	8	2	2
VN160049	1	5	1	1
VN160050	1	1	1	1
VN160051	1	2	1	3
VN160054	1	8	2	3
VN160056	1	1	1	3
VN160056	2	8	2	3
VN160057	1	8	2	3
VN160058	1	2	1	2
VN160059	1	2	1	2
VN160059	2	1	1	2
VN160060	1	1	1	3
VN160060	2	7	2	3
VN160062	1	8	2	1
VN160063	1	7	2	2
VN160066	1	1	1	1
VN160067	1	7	2	1
VN160070	1	8	2	2
VN160071	1	8	2	2
VN160072	1	2	1	2
VN160074	1	8	2	2
VN160075	1	1	1	2
VN160076	1	1	1	1
VN160077	1	1	1	1
VN160077	2	8	2	1
VN160078	1	1	1	2
VN160082	1	1	1	2
VN160086	1	7	2	1
VN160088	1	1	1	1
VN160089	1	2	1	1
VN160091	1	8	2	2
VN160095	1	7	2	2
VN160097	1	1	1	1
VN160098	1	1	1	1
VN160102	1	8	2	2
VN160104	1	8	2	1
VN160114	1	1	1	1
VN160114	2	7	2	1
VN170004	1	7	2	1
VN170006	1	7	2	3
VN170007	1	8	2	2
VN170012	1	5	1	1
VN170018	1	3	1	2
VN170024	1	1	1	2
VN170028	1	1	1	1
VN170028	2	3	1	1
VN170029	1	1	1	3
VN170040	1	1	1	1
VN170047	1	1	1	2
VN170048	1	1	1	2
VN170056	1	7	2	2
VN170056	2	8	2	3
VN170058	1	7	2	3
VN170062	1	3	1	1
VN170063	1	1	1	2
VN170069	1	7	2	3
VN170071	1	3	1	2
VN170072	1	10	1	2
VN170074	1	7	2	2
VN170077	1	8	2	2
VN170079	1	8	2	2
VN170080	1	4	1	1
VN170086	1	8	2	2
VN170086	2	8	99	99
VN170087	1	8	2	2
VN170088	1	7	2	2
VN170089	1	10	1	2
VN170090	1	3	1	3
VN170091	1	3	1	2
VN170092	1	5	1	2
VN170093	1	1	1	1
VN170094	1	2	1	3
