CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
VN030083	1	6	50	60
VN030083	2	5	50	60
VN030086	1	5	600	100
VN030086	2	22	20	0
VN030088	1	13	200	50
VN030088	2	22	30	0
VN030089	1	5	100	0
VN030089	2	6	100	0
VN030089	3	22	50	0
VN030090	1	5	450	150
VN030090	2	6	450	150
VN030090	3	13	100	50
VN030094	1	22	10	0
VN030095	1	5	400	150
VN030095	2	6	400	150
VN030095	3	13	80	30
VN030096	1	5	100	100
VN030096	2	6	100	100
VN030097	1	6	300	120
VN030097	2	13	200	70
VN030097	3	22	30	0
VN030100	1	5	300	150
VN030100	2	6	300	100
VN030100	3	14	130	0
VN030120	1	15	300	200
VN030120	2	22	100	0
VN030127	1	5	500	150
VN030127	2	6	500	250
VN030132	1	5	500	200
VN030138	1	6	200	100
VN040001	1	6	100	150
VN040001	2	5	0	50
VN040002	1	7	600	0
VN040002	2	15	500	0
VN040002	3	6	500	0
VN040002	4	5	500	0
VN040003	1	7	1000	0
VN040003	2	5	0	100
VN040003	3	6	0	100
VN040004	1	22	50	0
VN040006	1	22	60	0
VN040010	1	5	200	400
VN040012	1	6	500	0
VN040012	2	5	500	0
VN040012	3	13	100	0
VN040012	4	22	500	0
VN040013	1	22	100	0
VN040014	1	5	200	-88
VN040015	1	22	200	0
VN040015	2	6	500	200
VN040015	3	5	500	100
VN040020	1	6	0	100
VN040020	2	13	0	50
VN040020	3	22	0	50
VN040021	1	5	0	100
VN040021	2	6	0	100
VN040021	3	22	100	0
VN040022	1	6	500	0
VN040022	2	22	50	0
VN040024	1	6	500	100
VN040024	2	5	0	100
VN040025	1	6	500	0
VN040025	2	5	200	100
VN040025	3	22	50	0
VN040028	1	5	200	-88
VN040028	2	6	300	-88
VN040029	1	22	30	-88
VN040030	1	6	0	200
VN040030	2	5	0	200
VN040030	3	22	100	0
VN040033	1	22	250	0
VN040033	2	5	500	0
VN040033	3	6	500	0
VN040034	1	14	200	200
VN040034	2	13	300	200
VN040034	3	22	100	0
