childid	id	memsex	age	relate	livhse	hsstrtr3	stryrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	grdrpr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	nmeslpr3	chcarer3	hhchrer3	nmehhcr3	npywrkr3	nmenpyr3	paywrkr3	nmepayr3	schoolr3	studyr3	playr3	neg1day	ineg1w	ineg1wag	ineg2day	ineg2w	ineg2wag
IN010010	3	1	13	7	1	1	5	0	8	1	 	 	 	2	300	0	17	10	25	8	8	 	0	0	 	0	 	0	 	8	3	5	 	 	 	 	 	 
IN010010	4	1	12	7	1	1	5	0	7	1	 	 	 	2	30	0	17	10	25	8	8	 	0	0	 	0	 	0	 	8	3	5	 	 	 	 	 	 
IN010010	5	1	10	7	1	1	5	0	2	1	 	 	 	2	4500	0	17	10	25	7	9	 	0	0	 	0	 	0	 	7	3	5	 	 	 	 	 	 
IN010011	0	2	7	0	1	1	5	5	3	1	 	 	 	2	0	0	17	10	24	8	10	1	0	0	 	0	 	0	 	8	1	5	 	 	 	 	 	 
IN010011	1	1	42	1	1	 	 	 	 	 	 	 	 	 	 	0	10	10	25	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010011	2	2	32	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010011	3	2	14	11	1	1	5	0	7	1	 	 	 	2	70	0	17	10	24	8	10	 	0	2	 	0	 	0	 	8	1	3	 	 	 	 	 	 
IN010011	4	2	10	7	1	1	5	0	5	1	 	 	 	2	70	0	17	10	24	8	10	 	0	1	 	0	 	0	 	8	1	4	 	 	 	 	 	 
IN010012	0	2	8	0	1	1	6	0	1	1	 	 	 	4	4500	0	17	11	24	7	8	1	0	0	 	0	 	0	 	7	2	7	 	 	 	 	 	 
IN010012	1	1	33	1	1	 	 	 	 	 	 	 	 	 	 	0	9	12	20	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010012	2	2	27	1	1	 	 	 	 	 	 	 	 	 	 	0	15	10	20	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010012	3	2	5	7	1	1	5	0	0	1	 	 	 	2	3000	0	17	11	24	7	8	 	0	0	 	0	 	0	 	7	0	9	 	 	 	 	 	 
IN010013	0	2	8	0	1	1	4	0	3	1	 	 	 	2	30	0	17	10	26	8	10	1	0	1	0	0	 	0	 	8	3	2	 	 	 	 	 	 
IN010013	1	1	32	1	1	 	 	 	 	 	 	 	 	 	 	0	9	12	30	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010013	2	2	28	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010013	3	1	9	7	1	1	4	0	4	1	 	 	 	2	30	0	17	10	26	8	10	 	1	1	 	0	 	0	 	8	3	1	 	 	 	 	 	 
IN010014	0	2	8	0	1	1	5	0	3	1	 	 	 	2	5000	0	17	10	26	8	9	1	0	0	 	0	 	0	 	8	3	4	 	 	 	 	 	 
IN010014	1	2	 	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010014	2	1	36	1	1	 	 	 	 	 	 	 	 	 	 	0	9	9	25	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010014	3	2	29	1	1	 	 	 	 	 	 	 	 	 	 	0	9	12	28	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010014	4	2	9	7	1	1	4	0	4	1	 	 	 	3	5000	0	17	10	26	8	9	 	0	0	 	0	 	0	 	8	3	4	 	 	 	 	 	 
IN010015	0	2	8	0	1	1	5	0	2	1	 	 	 	2	4000	0	17	10	24	8	9	1	0	0	 	0	 	0	 	8	4	3	 	 	 	 	 	 
IN010015	1	1	42	1	1	 	 	 	 	 	 	 	 	 	 	0	9	12	24	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010015	2	2	37	1	1	 	 	 	 	 	 	 	 	 	 	0	15	12	30	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
IN010015	3	2	14	7	1	1	5	0	8	1	 	 	 	2	2500	0	17	10	24	8	9	 	1	1	 	0	 	0	 	8	4	1	 	 	 	 	 	 
IN010016	0	1	8	0	1	1	5	0	2	1	 	 	 	4	3000	0	17	10	23	7	9	1	0	0	 	0	 	0	 	8	1	6	 	 	 	 	 	 
IN010016	1	2	67	6	1	 	 	 	 	 	 	 	 	 	 	0	15	4	5	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
