CHILDID	ID	SLEEPR3	NMESLPR3	CHCARER3	HHCHRER3	NMEHHCR3	NPYWRKR3	NMENPYR3	PAYWRKR3	NMEPAYR3	SCHOOLR3	STUDYR3	PLAYR3
IN010064	8	8	88	0	0	88	0	88	0	88	7	3	6
IN010065	0	9	1	1	0	88	0	88	0	88	8	2	4
IN010065	3	9	88	0	0	88	0	88	0	88	8	2	5
IN010066	0	10	1	0	0	88	0	88	0	88	7	1	6
IN010066	6	10	88	0	0	88	0	88	0	88	7	1	6
IN010067	0	10	0	0	1	1	0	88	0	88	7	2	4
IN010067	6	12	88	0	0	88	0	88	0	88	2	0	10
IN010068	0	10	1	0	1	1	0	88	0	88	6	2	5
IN010068	3	10	88	0	0	88	0	88	0	88	6	2	6
IN010068	9	9	88	2	4	88	0	88	0	88	0	4	5
IN010069	0	9	0	0	1	1	0	88	0	88	7	1	6
IN010070	0	8	1	0	0	88	0	88	0	88	8	1	7
IN010070	4	8	88	0	0	88	0	88	0	88	8	2	5
IN010071	0	10	1	0	0	88	0	88	0	88	7	3	4
IN010071	3	9	88	1	1	88	0	88	0	88	7	3	3
IN010072	0	8	1	0	0	88	0	88	0	88	8	2	6
IN010072	3	8	88	0	2	88	0	88	0	88	0	0	14
IN010072	5	8	88	0	0	88	0	88	0	88	7	1	8
IN010072	6	8	88	0	0	88	0	88	0	88	7	1	8
IN010073	0	9	1	0	0	88	0	88	0	88	7	3	5
IN010073	5	11	88	0	0	88	0	88	0	88	7	3	3
IN010074	0	10	1	0	1	1	0	88	0	88	7	1	5
IN010074	3	10	88	0	1	88	0	88	0	88	7	2	4
IN010075	0	9	0	0	1	1	0	88	0	88	7	2	5
IN010075	5	10	88	0	1	88	0	88	0	88	7	2	4
IN010076	0	9	1	0	0	88	0	88	0	88	9	2	4
IN010076	3	9	88	1	1	88	0	88	0	88	9	2	2
IN010077	0	10	1	0	0	88	0	88	0	88	8	2	4
IN010077	5	8	88	1	1	88	0	88	0	88	8	2	4
IN010078	0	10	1	0	0	88	0	88	0	88	0	0	14
IN010078	4	9	88	1	1	88	0	88	0	88	7	1	5
IN010078	5	9	88	1	1	88	0	88	0	88	7	1	5
IN010079	0	9	1	0	0	88	0	88	0	88	8	1	6
IN010079	12	9	88	0	0	88	0	88	0	88	6	1	8
IN010080	0	9	0	0	0	88	0	88	0	88	8	1	6
IN010080	3	9	88	0	0	88	0	88	0	88	8	1	6
IN010081	0	10	1	0	0	88	0	88	0	88	8	2	4
IN010081	3	9	88	1	1	88	0	88	0	88	8	3	2
IN010081	4	10	88	1	0	88	0	88	0	88	8	2	3
IN010082	0	9	1	0	0	88	0	88	0	88	8	1	6
IN010082	3	9	88	0	0	88	0	88	0	88	8	0	7
IN010083	0	11	1	1	0	88	0	88	0	88	8	2	2
IN010083	7	8	88	3	3	88	0	88	0	88	0	0	10
IN010083	8	9	88	1	0	88	0	88	0	88	8	2	4
IN010083	10	10	88	0	0	88	0	88	0	88	8	2	4
IN010084	0	10	1	0	0	88	0	88	0	88	7	1	6
IN010085	0	8	1	0	0	88	0	88	0	88	9	1	6
IN010085	3	8	88	0	0	88	0	88	0	88	9	1	6
IN010086	0	10	1	0	0	88	0	88	0	88	7	2	5
IN010086	9	10	88	0	0	88	0	88	0	88	7	2	5
IN010087	0	8	1	1	0	88	0	88	0	88	9	1	5
IN010087	13	8	88	0	0	88	0	88	0	88	9	1	6
IN010088	0	9	1	0	0	88	0	88	0	88	7	2	6
IN010089	0	9	1	0	0	88	0	88	0	88	8	1	6
IN010089	3	8	88	0	0	88	0	88	0	88	8	2	6
IN010090	0	8	1	0	0	88	0	88	0	88	8	2	6
IN010090	7	8	88	0	0	88	0	88	0	88	8	2	6
IN010091	0	8	1	0	0	88	0	88	0	88	8	2	6
IN010091	3	9	88	0	0	88	0	88	0	88	9	2	4
IN010092	0	10	1	0	0	88	0	88	0	88	7	2	5
IN010093	0	8	1	0	0	88	0	88	0	88	8	2	6
IN010094	0	9	1	0	1	1	0	88	0	88	8	1	5
IN010094	5	9	88	0	1	88	0	88	0	88	8	2	4
IN010095	0	9	1	0	0	88	0	88	0	88	8	3	4
IN010095	4	9	88	0	0	88	0	88	0	88	8	3	4
IN010096	0	9	1	0	1	0	0	88	0	88	6	2	6
IN010096	3	10	88	0	1	88	0	88	0	88	6	2	5
IN010097	0	10	1	0	0	88	0	88	0	88	7	1	6
IN010097	5	10	88	0	0	88	0	88	0	88	7	0	7
IN010098	0	9	1	0	0	88	0	88	0	88	7	1	7
IN010098	3	9	88	0	0	88	0	88	0	88	7	2	6
IN010099	0	10	1	0	0	88	0	88	0	88	9	1	4
IN010099	6	9	88	1	1	88	0	88	0	88	9	2	2
IN010100	0	10	1	0	0	88	0	88	0	88	7	2	5
IN010100	5	10	88	0	0	88	0	88	0	88	7	0	7
IN020001	0	8	1	0	0	88	0	88	0	88	0	0	16
IN020001	3	8	88	1	0	88	0	88	0	88	0	0	15
IN020001	4	7	88	0	2	88	0	88	6	88	0	0	9
IN020001	5	9	88	0	2	88	0	88	6	88	0	0	7
IN020001	6	10	88	0	0	88	0	88	0	88	3	0	11
IN020002	0	11	1	1	1	1	0	88	0	88	9	1	1
IN020002	3	10	88	2	2	88	0	88	0	88	0	0	10
IN020002	4	10	88	0	0	88	0	88	0	88	0	0	14
IN020002	5	11	88	0	0	88	0	88	0	88	4	0	9
IN020003	0	11	1	0	1	1	0	88	0	88	7	1	4
IN020003	4	10	88	1	2	88	0	88	0	88	7	2	2
IN020003	5	9	88	0	1	88	1	88	7	88	0	0	6
IN020003	6	9	88	1	2	88	0	88	0	88	7	1	4
IN020003	8	8	88	4	4	88	0	88	4	88	0	0	4
IN020004	0	10	1	0	0	88	0	88	0	88	8	2	4
IN020004	3	9	88	0	0	88	0	88	0	88	8	3	4
IN020004	4	9	88	0	0	88	0	88	0	88	8	3	4
IN020005	0	8	1	0	1	1	0	88	0	88	9	1	5
IN020005	3	8	88	0	0	88	0	88	0	88	9	1	6
IN020006	0	10	1	0	0	88	0	88	0	88	8	2	4
IN020006	3	10	88	0	1	88	0	88	0	88	8	2	3
IN020007	0	9	1	0	0	88	0	88	0	88	8	1	6
IN020007	28	9	88	1	1	88	0	88	0	88	8	1	4
IN020008	0	8	1	0	0	88	0	88	0	88	7	1	8
IN020008	5	8	88	0	0	88	0	88	0	88	8	1	7
IN020009	0	10	1	0	0	88	0	88	0	88	8	1	5
IN020010	0	9	1	0	0	88	0	88	0	88	8	0	7
IN020010	4	9	88	1	1	88	9	88	0	88	0	0	4
IN020010	5	9	88	0	0	88	0	88	0	88	8	2	5
IN020010	6	9	88	0	0	88	0	88	0	88	8	2	5
IN020011	0	9	1	0	0	88	0	88	0	88	6	0	9
IN020011	7	9	88	0	0	88	0	88	0	88	8	1	6
IN020011	8	9	88	0	1	88	0	88	0	88	0	0	14
IN020014	0	10	1	1	0	88	0	88	0	88	8	0	5
IN020014	4	9	88	1	1	88	9	88	0	88	0	0	4
IN020014	5	9	88	1	1	88	9	88	0	88	0	0	4
IN020014	6	9	88	1	1	88	9	88	0	88	0	0	4
IN020014	7	10	88	1	1	88	0	88	0	88	8	2	2
IN020014	8	10	88	1	0	88	9	88	0	88	0	0	4
IN020014	9	9	88	1	4	88	4	88	0	88	0	0	6
IN020015	0	11	1	0	0	88	0	88	0	88	8	1	4
IN020016	0	10	1	1	0	88	0	88	0	88	8	2	3
IN020017	0	9	1	1	1	1	0	88	0	88	7	1	5
IN020018	0	10	1	0	0	88	0	88	0	88	9	2	3
IN020018	6	10	88	0	2	88	0	88	0	88	9	2	1
IN020018	7	10	88	0	2	88	0	88	0	88	9	2	1
IN020019	0	9	1	0	0	88	0	88	0	88	8	1	6
IN020020	0	11	1	1	0	88	0	88	0	88	7	1	4
IN020021	0	11	1	0	1	1	0	88	0	88	7	1	4
IN020022	0	9	1	1	1	1	0	88	0	88	8	1	4
IN020022	5	9	88	0	0	88	0	88	0	88	8	2	5
IN020023	0	9	1	0	0	88	0	88	0	88	7	2	6
IN020023	3	9	88	0	0	88	0	88	0	88	8	3	4
IN020024	0	10	1	0	0	88	0	88	0	88	8	2	4
IN020024	3	10	88	1	1	88	0	88	0	88	9	2	1
IN020025	0	9	1	0	2	1	0	88	0	88	9	0	4
IN020025	3	9	88	0	0	88	0	88	0	88	10	0	5
IN020026	0	8	1	1	1	1	0	88	1	1	6	1	6
IN020027	0	9	1	0	1	0	0	88	0	88	8	2	4
IN020027	28	9	88	1	1	88	0	88	0	88	8	2	3
IN020028	0	9	1	0	0	88	0	88	0	88	8	2	5
IN020029	0	9	1	0	1	1	0	88	0	88	7	1	6
IN020030	0	10	1	0	0	88	0	88	0	88	9	0	5
IN020030	3	8	88	0	2	88	0	88	0	88	9	0	5
IN020031	0	10	1	0	0	88	0	88	0	88	7	0	7
IN020031	5	8	88	0	0	88	0	88	0	88	10	0	6
IN020031	6	10	88	2	0	88	0	88	0	88	7	0	5
IN020032	0	10	1	0	0	88	0	88	0	88	0	0	14
IN020032	3	9	88	0	1	88	0	88	0	88	0	0	14
IN020033	0	9	1	0	0	88	0	88	0	88	5	1	9
IN020034	0	9	1	0	0	88	0	88	0	88	7	1	7
IN020034	3	9	88	0	1	88	0	88	0	88	7	2	5
IN020035	0	10	1	1	0	88	0	88	0	88	8	1	4
IN020035	28	10	88	1	1	88	0	88	0	88	8	2	2
IN020036	0	10	1	0	0	88	0	88	0	88	8	2	4
IN020036	3	10	88	0	0	88	0	88	0	88	8	2	4
IN020037	0	10	1	2	0	88	0	88	0	88	7	1	4
IN020037	3	9	88	2	1	88	0	88	0	88	9	1	2
IN020037	4	9	88	2	1	88	0	88	0	88	9	1	2
IN020037	5	10	88	2	1	88	0	88	0	88	7	1	3
IN020038	0	10	1	0	1	1	0	88	0	88	8	1	4
IN020038	4	9	88	0	2	88	1	88	0	88	8	1	3
IN020038	5	10	88	0	1	88	1	88	0	88	7	1	4
IN020039	0	11	1	1	1	0	0	88	0	88	8	1	2
IN020039	5	11	88	1	1	88	0	88	0	88	8	1	2
IN020040	0	10	1	2	0	88	0	88	0	88	8	0	4
IN020040	3	12	88	0	0	88	0	88	0	88	8	0	4
IN020041	0	9	1	0	0	88	0	88	0	88	7	1	7
IN020041	3	8	88	0	1	88	0	88	0	88	7	2	6
IN020042	0	10	1	0	0	88	0	88	0	88	8	0	6
IN020042	3	9	88	1	1	88	0	88	0	88	8	0	5
IN020043	0	8	1	0	0	88	0	88	0	88	9	2	5
IN020043	10	8	88	0	0	88	0	88	0	88	9	2	5
IN020044	0	10	1	0	1	0	0	88	0	88	7	2	4
IN020044	5	9	88	1	1	88	0	88	0	88	7	3	3
IN020044	6	11	88	0	1	88	0	88	0	88	7	1	4
IN020045	0	9	1	1	1	1	0	88	0	88	7	1	5
IN020045	28	10	88	1	2	88	0	88	0	88	7	2	2
IN020046	0	11	1	0	0	88	0	88	0	88	7	1	5
IN020046	3	9	88	1	1	88	0	88	1	88	8	1	3
IN020047	0	10	1	0	1	0	0	88	0	88	8	1	4
IN020047	3	10	88	1	1	88	0	88	0	88	8	1	3
IN020048	0	10	1	0	0	88	0	88	0	88	7	1	6
IN020048	3	9	88	0	1	88	0	88	0	88	8	1	5
IN020049	0	9	1	0	0	88	0	88	0	88	8	4	3
IN020049	28	9	88	0	0	88	0	88	0	88	8	4	3
IN020050	0	10	1	0	0	88	0	88	0	88	8	1	5
IN020050	3	9	88	0	0	88	0	88	0	88	8	2	5
IN020051	0	9	1	2	0	88	0	88	0	88	8	0	5
IN020052	0	9	1	1	1	1	0	88	0	88	7	1	5
IN020052	6	8	88	1	1	88	0	88	0	88	8	2	4
IN020053	0	10	1	0	0	88	0	88	0	88	9	1	4
IN020053	28	7	88	1	1	88	0	88	0	88	9	2	4
IN020054	0	12	1	0	0	88	0	88	0	88	8	2	2
IN020054	3	9	88	1	1	88	0	88	0	88	8	3	2
IN020055	0	10	1	0	0	88	0	88	0	88	6	0	8
IN020056	0	9	1	0	0	88	0	88	0	88	7	1	7
IN020056	3	8	88	0	0	88	0	88	0	88	9	3	4
IN020056	4	8	88	0	0	88	0	88	0	88	8	3	5
IN020057	0	10	1	0	0	88	0	88	0	88	8	0	6
IN020057	28	10	88	0	0	88	0	88	0	88	8	0	6
IN020058	0	11	1	1	1	1	0	88	0	88	7	1	3
IN020058	28	9	88	1	2	88	0	88	0	88	8	2	2
IN020059	0	9	1	0	2	0	0	88	0	88	8	0	5
IN020059	3	9	88	0	2	88	0	88	0	88	8	1	4
IN020060	0	9	0	0	0	88	0	88	0	88	7	1	7
IN020061	0	9	1	0	1	0	0	88	0	88	8	1	5
IN020061	5	7	88	1	1	88	0	88	0	88	9	2	4
IN020062	0	11	1	0	0	88	0	88	0	88	7	1	5
IN020062	28	10	88	1	2	88	0	88	0	88	7	1	3
IN020063	0	10	1	0	1	0	0	88	0	88	9	1	3
IN020063	28	10	88	0	1	88	0	88	0	88	9	1	3
IN020064	0	9	1	1	1	1	0	88	0	88	8	2	3
IN020064	28	9	88	1	1	88	0	88	0	88	8	2	3
IN020065	0	11	1	1	0	88	0	88	0	88	9	1	2
IN020065	3	11	88	0	0	88	0	88	0	88	9	1	3
IN020066	0	12	1	0	0	88	0	88	0	88	8	1	3
IN020066	3	9	88	1	1	88	0	88	0	88	8	2	3
IN020066	4	12	88	1	1	88	0	88	0	88	8	1	1
IN020067	0	10	1	1	1	1	0	88	0	88	7	1	4
IN020067	28	10	88	1	1	88	0	88	0	88	7	2	3
IN020068	0	10	1	1	1	0	0	88	0	88	8	1	3
IN020068	28	10	88	1	1	88	0	88	0	88	8	2	2
IN020069	0	10	1	0	1	1	0	88	0	88	7	1	5
IN020069	3	8	88	1	1	88	0	88	0	88	7	1	6
IN020070	0	10	1	0	1	1	0	88	0	88	8	1	4
IN020070	28	8	88	0	1	88	0	88	0	88	8	2	5
IN020071	0	9	1	0	0	88	0	88	0	88	10	0	5
IN020072	0	12	1	0	0	88	0	88	0	88	9	1	2
IN020072	3	7	88	1	0	88	0	88	0	88	9	3	4
IN020073	0	10	1	1	1	1	0	88	0	88	7	2	3
IN020073	28	10	88	1	1	88	0	88	0	88	7	2	3
IN020074	0	10	0	0	1	0	0	88	0	88	5	1	7
IN020074	4	7	88	0	0	88	0	88	0	88	7	3	7
IN020074	5	8	88	0	0	88	0	88	0	88	7	3	6
IN020075	0	10	1	0	0	88	0	88	0	88	5	0	9
IN020076	0	9	1	0	0	88	0	88	0	88	8	2	5
IN020076	4	9	88	0	0	88	0	88	0	88	8	1	6
IN020078	0	9	1	0	0	88	0	88	0	88	9	1	5
IN020078	28	9	88	1	1	88	0	88	0	88	9	1	3
IN020079	0	10	1	0	0	88	0	88	0	88	7	1	6
IN020079	28	9	88	0	1	88	0	88	0	88	7	1	6
IN020080	0	10	1	0	1	0	0	88	0	88	7	2	4
IN020080	5	10	88	0	1	88	0	88	0	88	7	2	4
IN020081	0	10	1	0	1	0	0	88	0	88	7	2	4
IN020081	3	12	88	0	0	88	0	88	0	88	3	0	9
IN020082	0	10	0	0	0	88	0	88	0	88	4	0	10
IN020083	0	10	1	1	1	1	0	88	0	88	7	1	4
IN020083	3	9	88	0	1	88	0	88	0	88	7	2	5
IN020083	4	10	88	0	1	88	0	88	0	88	7	1	5
IN020084	0	9	1	0	1	0	0	88	0	88	7	1	6
IN020084	28	9	88	0	2	88	0	88	0	88	7	1	5
IN020085	0	9	1	0	2	1	0	88	0	88	7	1	5
IN020085	28	9	88	0	0	88	0	88	0	88	8	2	5
IN020086	0	9	1	0	0	88	0	88	0	88	7	0	8
IN020086	3	8	88	0	0	88	0	88	0	88	8	3	4
IN020087	0	9	1	0	1	1	0	88	0	88	7	0	7
IN020087	3	8	88	0	0	88	0	88	0	88	8	3	5
IN020088	0	7	1	0	1	1	0	88	1	1	7	1	7
IN020088	5	7	88	2	2	88	0	88	8	88	0	0	5
IN020089	0	9	1	0	0	88	0	88	0	88	8	2	5
IN020090	0	9	1	0	0	88	0	88	0	88	8	1	6
IN020090	28	7	88	0	0	88	0	88	0	88	8	4	5
IN020091	0	9	1	0	1	1	0	88	0	88	6	1	7
IN020091	8	9	88	0	1	88	0	88	0	88	8	1	5
IN020091	28	9	88	0	1	88	0	88	0	88	8	1	5
IN020092	0	11	1	1	1	1	0	88	0	88	8	0	3
IN020092	4	10	88	0	0	88	0	88	0	88	8	2	4
IN020093	0	10	1	2	0	88	0	88	0	88	8	1	3
IN020093	3	10	88	0	0	88	0	88	0	88	9	1	4
IN020094	0	9	1	0	0	88	0	88	0	88	8	2	5
IN020095	0	9	1	0	0	88	0	88	0	88	9	1	5
IN020096	0	8	1	0	0	88	0	88	0	88	8	2	6
IN020096	28	8	88	0	1	88	0	88	0	88	8	1	6
IN020097	0	10	1	1	1	0	0	88	0	88	8	2	2
IN020097	6	9	88	0	2	88	0	88	0	88	8	1	4
IN020097	8	12	88	0	1	88	0	88	0	88	3	0	8
IN020097	28	10	88	0	2	88	0	88	0	88	8	2	2
IN020098	0	10	1	0	1	1	0	88	0	88	7	1	5
IN020098	28	8	88	0	0	88	0	88	0	88	9	3	4
IN020099	0	10	1	0	0	88	0	88	0	88	0	0	14
IN020100	0	9	1	0	0	88	0	88	0	88	7	2	6
IN020100	6	9	88	0	0	88	0	88	0	88	7	2	6
IN030001	0	8	1	0	0	88	0	88	0	88	8	3	5
IN030001	5	8	88	0	0	88	0	88	0	88	8	1	7
IN030002	0	8	1	0	0	88	0	88	0	88	7	3	6
IN030002	28	8	88	0	1	88	0	88	0	88	7	3	5
IN030003	0	8	1	0	0	88	0	88	0	88	8	2	6
IN030004	0	8	1	0	0	88	0	88	0	88	9	2	5
IN030005	0	8	1	0	0	88	0	88	0	88	8	2	6
IN030005	4	8	88	0	0	88	0	88	0	88	8	2	6
IN030006	0	10	1	0	0	88	0	88	0	88	9	2	3
IN030006	28	10	88	0	1	88	0	88	0	88	9	2	2
IN030007	0	9	1	0	0	88	0	88	0	88	0	0	15
IN030007	3	9	88	0	0	88	0	88	0	88	0	0	15
IN030008	0	8	1	0	0	88	0	88	0	88	7	3	6
IN030008	30	8	88	0	0	88	0	88	0	88	7	2	7
IN030009	0	9	1	0	0	88	0	88	0	88	9	2	4
IN030009	6	9	88	0	0	88	0	88	0	88	9	2	4
IN030009	7	9	88	0	0	88	0	88	0	88	9	2	4
IN030010	0	9	1	0	0	88	0	88	0	88	9	1	5
IN030010	7	8	88	0	0	88	0	88	0	88	10	2	4
IN030010	8	9	88	0	0	88	0	88	0	88	9	1	5
IN030010	28	9	88	0	0	88	0	88	0	88	9	1	5
IN030010	29	9	88	0	0	88	0	88	0	88	9	1	5
IN030011	0	9	1	0	0	88	0	88	0	88	8	2	5
IN030012	0	8	1	0	0	88	0	88	0	88	8	2	6
IN030012	6	8	88	0	0	88	0	88	0	88	8	2	6
IN030013	0	8	1	0	0	88	0	88	0	88	8	2	6
IN030013	28	8	88	0	0	88	0	88	0	88	8	4	4
IN030014	0	8	1	0	0	88	0	88	0	88	8	2	6
IN030014	28	8	88	0	0	88	0	88	0	88	8	3	5
IN030015	0	8	1	0	0	88	0	88	0	88	7	3	6
IN030015	3	8	88	0	1	88	0	88	0	88	7	3	5
IN030016	0	8	1	0	0	88	0	88	0	88	8	2	6
IN030016	5	8	88	0	0	88	0	88	0	88	8	3	5
IN030017	0	8	1	0	0	88	0	88	0	88	9	2	5
IN030018	0	8	1	0	0	88	0	88	0	88	8	1	7
IN030019	0	9	1	0	0	88	0	88	0	88	8	1	6
IN030019	8	8	88	0	0	88	0	88	0	88	8	3	5
IN030020	0	7	1	0	0	88	0	88	0	88	8	3	6
IN030021	0	8	1	0	0	88	0	88	0	88	8	3	5
IN030021	5	8	88	0	0	88	0	88	0	88	8	3	5
IN030022	0	9	1	1	0	88	0	88	0	88	8	2	4
