CHILDID	WORKID	ACTR3	ACTOWNR3	ACTMNYR3	ACTHPYR3
IN140083	1	24	1	0	3
IN140084	1	24	1	1	5
IN140085	1	20	1	0	4
IN140085	2	22	1	0	4
IN140086	1	24	1	0	5
IN140087	1	24	1	0	4
IN140088	1	24	1	0	4
IN140091	1	24	1	0	4
IN140092	1	2	1	0	5
IN140093	1	24	1	0	4
IN140094	1	24	1	0	5
IN140095	1	24	1	0	4
IN140096	1	24	1	0	3
IN140097	1	24	1	0	4
IN140098	1	2	1	0	5
IN140099	1	24	1	0	2
IN140100	1	20	1	0	5
IN150001	1	24	1	0	4
IN150002	1	24	1	0	4
IN150003	1	24	1	0	4
IN150004	1	22	1	0	5
IN150005	1	22	1	0	4
IN150008	1	24	1	0	4
IN150009	1	1	1	0	5
IN150012	1	20	1	0	5
IN150016	1	1	1	0	4
IN150017	1	24	1	0	4
IN150018	1	24	1	0	4
IN150019	1	22	1	0	4
IN150021	1	24	1	0	5
IN150022	1	24	1	0	5
IN150023	1	24	1	0	4
IN150024	1	24	1	1	5
IN150025	1	1	1	0	4
IN150027	1	22	1	0	4
IN150028	1	24	1	1	5
IN150030	1	24	1	0	4
IN150033	1	24	1	0	4
IN150034	1	1	1	0	4
IN150036	1	24	1	0	4
IN150037	1	1	1	0	4
IN150039	1	22	1	0	4
IN150040	1	24	1	0	4
IN150040	2	5	2	1	5
IN150042	1	24	1	0	4
IN150043	1	24	1	0	4
IN150044	1	24	1	0	5
IN150046	1	24	1	0	4
IN150047	1	24	1	0	4
IN150048	1	22	1	0	4
IN150048	2	24	1	0	4
IN150049	1	20	1	0	4
IN150050	1	24	1	0	4
IN150053	1	24	1	0	4
IN150054	1	24	1	0	3
IN150055	1	20	1	0	5
IN150055	2	22	1	0	5
IN150056	1	24	1	0	4
IN150058	1	24	1	0	5
IN150062	1	24	1	0	4
IN150064	1	22	1	0	4
IN150065	1	24	1	0	4
IN150066	1	24	1	0	5
IN150068	1	24	1	0	3
IN150068	2	1	2	1	4
IN150069	1	24	1	0	5
IN150071	1	1	1	0	4
IN150072	1	24	1	0	3
IN150073	1	24	1	0	4
IN150074	1	24	1	0	3
IN150075	1	1	1	0	4
IN150075	2	24	1	0	4
IN150076	1	24	1	0	4
IN150077	1	22	1	0	4
IN150078	1	24	1	0	4
IN150079	1	24	1	0	4
IN150082	1	24	1	0	5
IN150084	1	24	1	0	4
IN150085	1	22	1	0	4
IN150086	1	24	1	0	5
IN150087	1	24	1	0	5
IN150090	1	1	1	0	4
IN150091	1	24	1	0	5
IN150092	1	1	1	0	4
IN150092	2	24	1	0	2
IN150094	1	22	1	0	5
IN150095	1	24	1	0	4
IN150097	1	24	1	0	4
IN150098	1	20	1	0	5
IN150098	2	24	1	0	5
IN150100	1	1	1	0	4
IN160002	1	24	1	0	4
IN160004	1	1	1	0	5
IN160005	1	22	1	1	4
IN160006	1	20	1	0	5
IN160006	2	24	1	0	5
IN160007	1	22	1	0	3
IN160007	2	4	1	0	4
IN160007	3	1	1	1	3
IN160009	1	22	1	0	5
IN160010	1	24	1	0	4
IN160011	1	24	1	0	5
IN160011	2	20	1	0	5
IN160013	1	1	1	0	4
IN160014	1	22	1	1	4
IN160016	1	24	1	0	5
IN160017	1	24	1	0	3
IN160018	1	22	1	1	5
IN160019	1	24	1	0	3
IN160021	1	24	1	0	4
IN160021	2	20	1	0	4
IN160023	1	24	1	0	3
IN160025	1	20	1	0	5
IN160025	2	24	1	0	4
IN160026	1	24	1	1	4
IN160027	1	1	1	0	3
IN160029	1	24	1	0	4
IN160036	1	22	1	0	4
IN160038	1	22	1	1	5
IN160038	2	20	1	1	5
IN160040	1	24	1	1	4
IN160042	1	24	1	1	5
IN160044	1	24	1	0	4
IN160051	1	20	1	1	4
IN160052	1	7	2	1	5
IN160053	1	1	1	0	2
IN160054	1	20	1	0	3
IN160056	1	24	1	0	4
IN160056	2	1	1	1	4
IN160058	1	24	1	1	4
IN160060	1	20	1	0	4
IN160064	1	24	1	0	5
IN160066	1	24	1	0	4
IN160068	1	24	1	0	4
IN160069	1	1	1	0	4
IN160073	1	24	1	0	4
IN160075	1	1	1	0	4
IN160077	1	1	1	0	4
IN160078	1	24	1	0	4
IN160081	1	24	1	0	4
IN160082	1	24	1	0	5
IN160084	1	22	1	1	5
IN160086	1	24	1	0	3
IN160087	1	1	1	0	5
IN160090	1	20	1	0	4
