CHILDID	PASSID	NUMASTR3	ASSETR3	ASTACTR3	NUMOWNR3	VALASTR3
IN040018	2	1	4	11	1	150
IN040019	1	3	4	11	3	240
IN040019	2	8	1	11	8	500
IN040020	1	5	1	5	5	1000
IN040021	1	6	1	11	6	200
IN040021	2	1	4	11	1	150
IN040022	1	6	1	11	6	300
IN040022	2	1	4	11	1	350
IN040023	1	1	1	11	1	50
IN040024	1	5	1	11	5	200
IN040024	2	1	4	11	1	150
IN040025	1	1	4	11	1	100
IN040025	2	5	1	11	5	200
IN040027	1	1	4	11	1	400
IN040027	2	9	1	11	1	600
IN040028	1	1	4	11	1	100
IN040028	2	5	1	11	5	300
IN040029	1	1	4	11	1	400
IN040029	2	12	1	11	1	600
IN040030	1	13	1	11	13	600
IN040031	1	2	25	26	2	1000
IN040031	2	22	1	11	22	1500
IN040032	1	1	4	11	1	400
IN040032	2	1	25	26	1	500
IN040032	3	8	1	11	1	600
IN040034	1	4	1	11	4	150
IN040035	1	1	25	23	1	10000
IN040036	1	4	1	11	4	200
IN040037	1	4	1	29	4	300
IN040037	2	1	4	11	1	200
IN040038	1	4	1	11	1	400
IN040038	2	9	1	11	9	700
IN040039	1	7	1	11	7	1100
IN040040	1	8	1	11	8	400
IN040041	1	1	4	11	1	400
IN040041	2	5	1	11	5	300
IN040042	1	5	1	11	5	150
IN040043	1	8	1	11	8	1000
IN040044	1	1	4	11	1	200
IN040044	2	12	1	11	12	400
IN040045	1	7	1	11	7	1800
IN040046	1	6	1	11	6	200
IN040047	1	10	1	11	10	1800
IN040048	1	5	1	11	5	150
IN040049	1	5	8	11	5	200
IN040049	2	1	1	11	1	20
IN040050	1	1	4	11	1	300
IN040050	2	5	1	11	5	300
IN040051	1	5	1	11	5	1400
IN040052	1	6	8	11	6	300
IN040052	2	3	1	11	3	100
IN040053	1	5	1	11	5	300
IN040054	1	4	1	11	4	100
IN040055	1	8	1	11	8	1000
IN040056	1	8	1	10	8	500
IN040058	1	9	13	14	1	1000
IN040059	1	1	25	24	1	120000
IN040060	1	2	23	23	2	3000
IN040060	2	1	12	8	1	400
IN040061	1	1	25	26	1	1000
IN040061	2	4	1	11	4	500
IN040063	1	2	1	11	2	100
IN040065	1	5	1	11	5	400
IN040069	1	5	1	11	5	300
IN040073	1	1	25	26	1	400
IN040074	1	3	1	11	3	1000
IN040075	1	5	1	11	5	200
IN040077	1	1	25	23	1	1500
IN040077	2	1	21	21	1	2500
IN040078	1	1	25	26	1	500
IN040081	1	2	1	11	2	50
IN040082	1	9	1	11	9	1500
IN040082	2	1	4	11	1	1000
IN040083	1	2	12	32	2	1000
IN040084	1	5	1	11	5	400
IN040085	1	5	1	11	5	300
IN040087	1	1	25	26	1	300
IN040087	2	1	30	8	1	2000
IN040088	1	2	1	29	2	150
IN040089	1	9	1	11	1	300
IN040090	1	4	1	11	4	300
IN040091	1	15	1	11	15	2000
IN040091	2	2	4	11	2	700
IN040092	1	5	1	11	5	700
IN040093	1	5	1	11	5	300
IN040094	1	10	1	11	10	3000
IN040095	1	6	1	11	1	300
IN040096	1	1	25	26	1	20000
IN040096	2	2	4	11	1	800
IN040096	3	9	2	11	1	500
IN040097	1	1	25	22	1	30000
IN040098	1	5	1	11	5	400
IN040099	1	10	1	11	10	800
IN040100	1	5	1	11	5	500
IN050001	1	1	7	11	0	0
IN050001	2	1	4	11	1	500
IN050001	3	6	1	11	6	800
IN050001	4	1	1	11	1	5000
IN050001	5	1	6	11	1	3000
IN050002	1	3	1	11	3	3000
IN050003	1	1	30	30	1	400
IN050003	2	2	1	11	2	100
IN050005	1	4	1	11	1	800
IN050005	2	1	4	11	2	400
IN050006	1	4	1	11	1	600
IN050006	2	1	3	11	3	400
IN050006	3	1	4	11	4	600
IN050007	1	3	1	11	3	240
IN050008	1	1	1	11	1	80
IN050009	1	1	4	11	0	0
IN050009	2	3	1	11	3	200
IN050010	1	1	4	11	1	500
IN050010	2	5	1	11	5	300
IN050010	3	1	2	11	1	15000
IN050010	4	1	3	11	1	1500
IN050011	1	6	1	11	6	200
IN050012	1	1	25	24	1	30000
IN050013	1	5	1	11	5	300
IN050013	2	2	30	5	2	500
IN050014	1	4	1	11	1	600
IN050014	2	3	14	9	2	100000
IN050017	1	10	1	11	10	5000
IN050018	1	5	1	11	5	1500
IN050019	1	5	1	11	5	150
IN050020	1	5	1	11	5	400
IN050020	2	1	25	24	1	50000
IN050021	1	6	1	11	1	600
IN050023	1	5	1	11	5	2000
IN050024	1	4	1	11	4	200
IN050028	1	2	1	11	2	120
IN050029	1	2	1	11	10	2000
IN050030	1	6	1	11	6	200
IN050031	1	4	1	11	4	77
IN050032	1	6	1	11	1	500
IN050032	2	1	4	11	1	300
IN050033	1	6	1	11	6	700
IN050034	1	5	1	11	1	500
IN050035	1	5	1	11	5	2000
IN050035	2	1	7	11	0	-88
IN050036	1	3	1	11	3	250
IN050038	1	2	1	11	2	20
IN050039	1	2	30	30	2	1000
IN050040	1	6	9	2	6	300
IN050040	2	2	1	11	2	80
IN050041	1	10	1	11	10	1000
IN050042	1	10	1	11	10	1000
IN050042	2	1	7	11	0	0
IN050043	1	2	1	11	2	150
IN050044	1	1	23	23	1	500
IN050045	1	5	1	11	5	250
IN050045	2	3	30	30	3	600
IN050046	1	6	1	11	1	500
IN050048	1	6	1	11	1	500
IN050050	1	6	1	11	1	600
IN050050	2	1	4	11	2	500
IN050050	3	1	3	11	1	1000
IN050051	1	1	4	11	1	500
IN050051	2	2	1	11	2	100
IN050052	1	3	4	11	3	1500
IN050052	2	5	1	11	5	600
IN050054	1	1	4	11	1	500
IN050054	2	2	1	11	2	100
IN050057	1	8	1	11	8	500
IN050058	1	4	1	11	4	200
IN050059	1	1	1	11	5	3000
IN050064	1	3	23	23	3	1500
IN050065	1	5	1	11	5	2000
IN050066	1	3	23	23	3	1500
IN050067	1	6	1	11	6	350
IN050068	1	3	1	11	3	260
IN050069	1	1	4	11	1	500
IN050069	2	2	1	11	2	200
IN050072	1	6	1	11	1	600
IN050072	2	1	7	11	0	-88
IN050073	1	1	4	11	1	500
IN050073	2	6	1	11	6	600
IN050075	1	1	4	11	1	500
IN050075	2	4	1	11	4	300
IN050075	3	1	2	11	1	3000
IN050077	1	2	1	11	3	1000
IN050079	1	5	1	11	5	1500
IN050081	1	5	1	11	5	300
IN050082	1	1	1	11	4	1000
IN050083	1	5	1	11	5	300
IN050084	1	4	1	11	4	200
IN050085	1	2	1	11	2	50
IN050086	1	5	1	11	5	150
IN050087	1	7	1	11	7	350
IN050087	2	1	7	11	0	0
IN050088	1	3	1	11	3	400
IN050089	1	5	1	11	5	500
IN050090	1	7	23	23	7	1500
IN050090	2	1	25	23	1	400
IN050091	1	14	21	21	14	6800
IN050093	1	4	1	11	1	600
IN050096	1	2	21	21	2	2000
IN050098	1	1	4	11	1	500
IN050098	2	5	1	11	5	300
IN050098	3	1	6	11	1	1000
IN050098	4	2	30	11	2	160
