CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3	SUPRIDR3	SUPEXPR3	SUPIMR301	SUPIMR302
IN020053	1	16	36	2007	99	6	0	4	6	88
IN020053	2	16	44	2003	99	6	4	4	4	88
IN020053	3	5	45	2008	99	8	2	4	6	88
IN020054	1	3	36	2007	99	3	1	4	5	88
IN020054	2	16	46	2002	99	1	0	4	6	88
IN020054	3	5	45	2004	99	4	2	4	2	6
IN020055	1	19	36	2008	99	1	0	4	2	1
IN020056	1	3	36	2008	99	4	2	4	2	1
IN020056	2	5	45	2006	99	8	2	3	4	2
IN020057	1	3	36	2008	99	4	3	4	2	4
IN020057	2	5	45	2001	99	6	4	4	2	4
IN020057	3	12	36	2007	99	3	0	4	2	4
IN020058	1	5	45	2006	99	2	2	4	4	88
IN020058	2	12	44	2008	99	1	28	5	6	4
IN020058	3	12	46	2007	99	1	0	3	2	1
IN020058	4	3	36	2008	99	2	80	4	7	88
IN020059	1	16	36	2009	99	6	0	4	4	88
IN020059	2	16	36	2008	99	6	3	4	6	88
IN020059	3	3	36	2008	99	5	80	4	1	5
IN020060	1	19	36	2000	99	3	4	5	2	1
IN020060	2	19	36	2009	99	5	80	5	2	1
IN020061	1	16	44	2007	99	6	0	4	1	2
IN020061	2	3	36	2008	99	6	80	4	2	88
IN020061	3	5	45	2005	99	8	4	4	1	88
IN020062	1	5	45	2004	99	4	2	4	5	2
IN020062	2	3	36	2008	99	3	1	4	2	88
IN020062	3	16	36	2006	99	1	0	5	6	4
IN020063	1	3	36	2008	99	5	80	4	1	4
IN020063	2	5	36	2007	99	8	2	4	5	3
IN020063	3	16	44	2006	99	1	0	4	2	6
IN020063	4	16	44	2006	99	1	28	4	2	6
IN020064	1	5	45	2004	99	4	3	4	4	88
IN020064	2	12	46	2006	99	1	0	5	1	88
IN020064	3	3	36	2008	99	2	80	4	7	88
IN020065	1	5	45	2002	99	4	2	4	5	4
IN020066	1	5	45	2000	99	5	2	4	4	5
IN020066	2	16	36	2004	99	1	0	5	6	88
IN020066	3	3	36	2008	99	3	1	3	2	88
IN020067	1	5	45	2002	99	6	2	4	1	88
IN020067	2	16	36	2007	99	1	0	5	2	4
IN020067	3	19	49	1998	99	3	1	4	3	88
IN020068	1	3	36	2008	99	2	1	4	2	88
IN020068	2	5	45	2004	99	4	2	4	4	5
IN020068	3	16	46	2006	99	1	0	5	6	4
IN020069	1	5	45	2002	99	4	2	4	5	88
IN020069	2	19	36	2006	99	3	0	4	1	88
IN020069	3	16	44	2009	99	6	0	4	4	88
IN020069	4	12	49	2007	99	1	4	5	4	88
IN020070	1	19	36	2008	99	3	3	4	5	88
IN020070	2	5	45	2004	99	4	2	4	1	5
IN020070	3	16	44	2006	99	1	0	4	6	88
IN020071	1	3	36	2007	99	4	1	4	1	4
IN020071	2	12	36	2007	99	1	0	4	1	4
IN020071	3	19	36	2000	99	3	80	4	2	88
IN020071	4	5	45	2006	99	6	2	4	2	88
IN020073	1	16	36	2008	99	3	0	4	1	88
IN020073	2	12	44	2008	99	6	0	4	4	88
IN020073	3	5	45	2005	99	4	2	2	3	88
IN020074	1	5	36	2008	99	8	2	4	3	1
IN020074	2	5	13	2009	99	6	2	4	2	1
IN020074	3	3	36	2008	99	4	80	4	2	1
IN020075	1	16	46	2007	99	1	0	4	2	1
IN020075	2	3	36	2008	99	4	1	5	2	1
IN020076	1	3	36	2008	99	2	80	4	2	88
IN020076	2	5	45	2004	99	4	3	4	5	1
IN020076	3	16	36	2006	99	1	0	5	6	4
IN020078	1	16	44	2006	99	6	0	4	1	4
IN020078	2	16	36	2004	99	6	28	4	4	2
IN020078	3	5	45	2006	99	6	2	4	3	5
IN020079	1	5	36	2008	99	4	80	4	1	2
IN020079	2	19	36	2006	99	1	0	4	2	1
IN020079	3	5	45	2007	99	8	3	4	2	1
IN020080	1	3	36	2009	99	3	80	4	2	88
IN020080	2	5	45	2004	99	4	2	4	5	2
IN020080	3	16	46	2007	99	1	0	4	4	6
IN020081	1	5	45	2004	99	4	2	3	5	2
IN020081	2	3	36	2008	99	3	1	4	2	88
IN020081	3	16	36	2004	99	1	0	4	4	6
IN020082	1	3	36	2008	99	4	80	4	1	88
IN020083	1	3	36	2009	99	2	1	4	1	5
IN020083	2	5	45	2004	99	4	2	4	3	88
IN020083	3	12	44	2008	99	5	3	3	4	6
IN020083	4	16	46	2008	99	1	0	5	1	2
IN020084	1	3	36	2009	99	2	1	5	5	88
IN020084	2	16	46	2007	99	1	0	1	1	4
IN020084	3	5	45	2004	99	4	2	3	3	88
IN020085	1	16	36	2006	99	1	0	4	1	2
IN020085	2	16	44	2004	99	1	28	4	1	4
IN020085	3	5	45	2004	99	6	2	4	5	3
IN020086	1	19	36	2007	99	8	1	4	1	2
IN020086	2	19	36	2006	99	1	0	4	1	2
IN020086	3	3	36	2008	99	4	80	4	1	2
IN020087	1	19	36	2008	99	4	80	3	2	1
IN020087	2	19	36	2008	99	1	0	4	2	1
IN020088	1	5	45	2006	99	4	2	4	1	2
IN020088	2	3	36	2009	99	2	1	5	7	88
IN020090	1	3	36	2008	99	2	80	5	7	5
IN020090	2	5	45	2008	99	6	3	4	8	3
IN020090	3	16	36	2009	99	4	28	5	4	5
IN020090	4	19	44	2008	99	6	2	4	4	88
IN020091	1	19	36	2008	99	1	0	4	2	1
IN020091	2	5	45	2007	99	8	7	4	4	2
IN020092	1	3	36	2008	99	5	80	4	1	5
IN020092	2	16	36	2007	99	1	0	4	1	4
IN020092	3	16	44	2003	99	1	4	4	1	4
IN020093	1	3	36	2008	99	4	1	4	2	4
IN020093	2	5	45	2008	99	6	2	4	2	88
IN020093	3	12	36	2006	99	6	0	4	2	4
IN020094	1	3	36	2008	99	4	1	3	4	2
IN020094	2	5	45	2008	99	6	4	4	4	2
IN020094	3	12	49	2008	99	6	0	4	1	4
IN020095	1	3	36	2008	99	4	1	4	2	4
IN020095	2	5	36	2008	99	6	2	4	2	88
IN020095	3	19	36	2007	2007	6	80	4	9	88
IN020096	1	5	45	2004	99	4	3	3	3	88
IN020097	1	3	36	2008	99	3	3	4	2	88
IN020097	2	16	46	2006	99	1	0	5	6	4
IN020097	3	5	45	2002	99	5	4	4	1	3
IN020097	4	16	36	2004	99	1	28	4	4	6
IN020098	1	19	36	2008	2009	7	2	5	9	5
IN020098	2	19	36	2006	99	1	0	4	1	2
IN020098	3	5	45	2007	99	8	2	5	2	6
IN020099	1	12	36	2007	2008	6	0	4	4	88
IN020100	1	5	45	2005	99	8	4	3	4	88
IN030002	1	16	46	2003	99	1	28	4	4	1
IN030004	1	19	36	2008	2008	8	4	4	5	4
IN030005	1	5	36	2001	99	6	3	5	1	4
IN030006	1	16	36	2008	99	1	0	4	1	6
IN030006	2	5	36	2008	99	8	3	4	88	88
IN030006	3	19	36	2008	99	77	2	4	88	88
IN030014	1	5	36	2006	99	3	3	1	1	2
IN030015	1	16	46	2001	99	1	3	4	4	1
IN030019	1	5	36	2007	99	6	5	5	1	4
IN030021	1	9	36	2009	2009	6	2	3	5	88
IN030024	1	19	36	2009	2009	6	4	4	6	5
IN030026	1	5	45	2008	2008	4	5	4	5	1
IN030027	1	16	36	2008	2008	8	5	4	4	6
IN030030	1	5	36	2008	99	6	4	4	1	4
IN030032	1	16	36	2007	2008	1	0	4	6	1
IN030032	2	5	36	2009	99	8	2	4	88	88
IN030033	1	5	36	2006	99	8	2	4	3	4
IN030036	1	5	36	2008	99	6	2	4	1	5
IN030040	1	16	36	2005	99	1	0	1	1	2
IN030040	2	5	36	2006	99	8	4	2	1	2
IN030043	1	5	45	2008	2008	4	5	5	5	6
IN030047	1	6	36	2009	99	8	4	4	1	5
IN030050	1	5	36	1999	99	8	3	4	4	88
IN030055	1	5	36	2004	99	8	8	4	88	88
IN030061	1	5	45	2008	2008	8	2	4	5	6
IN030065	1	5	36	2000	99	8	3	4	4	5
IN030066	1	5	36	2007	99	6	80	1	5	4
IN030066	2	12	36	2007	99	1	0	2	6	4
