CHILDID	ID	DISABR3	ACTR3	MONTHSR3	DAYSR3	HOURSR3
IN010083	0	0	17	10	26	8
IN010083	1	0	12	5	10	9
IN010083	2	0	12	6	15	8
IN010083	7	0	15	12	30	4
IN010083	8	0	17	10	26	8
IN010083	10	0	17	10	26	8
IN010083	11	0	17	88	88	88
IN010084	0	0	17	10	24	8
IN010084	1	0	15	5	9	2
IN010084	2	0	10	12	25	11
IN010084	3	0	15	11	20	4
IN010084	4	0	17	10	24	8
IN010085	0	0	17	10	24	8
IN010085	1	0	10	11	20	6
IN010085	2	0	15	12	30	4
IN010085	3	0	17	10	24	8
IN010086	0	0	17	10	24	7
IN010086	4	0	12	10	20	8
IN010086	5	0	15	12	30	4
IN010086	9	0	17	10	24	7
IN010087	0	0	17	10	26	9
IN010087	7	0	9	12	25	10
IN010087	8	0	15	12	30	5
IN010087	13	0	17	10	26	9
IN010088	0	0	17	10	24	7
IN010088	4	0	11	12	20	9
IN010088	5	0	15	12	30	4
IN010088	6	0	17	88	88	88
IN010089	0	0	17	10	24	8
IN010089	1	0	13	12	25	8
IN010089	2	0	15	12	30	4
IN010089	3	0	17	10	24	8
IN010090	0	0	17	10	24	8
IN010090	1	0	11	12	30	12
IN010090	2	0	15	12	30	3
IN010090	3	0	9	10	24	8
IN010090	4	0	11	6	15	13
IN010090	5	0	15	12	30	3
IN010090	6	0	15	12	30	3
IN010090	7	0	17	10	25	8
IN010091	0	0	17	10	24	8
IN010091	1	0	13	12	25	10
IN010091	2	0	10	12	30	8
IN010091	3	0	17	10	23	8
IN010092	0	0	17	10	26	8
IN010092	1	0	17	88	88	88
IN010092	2	0	15	12	30	4
IN010092	3	0	10	12	30	13
IN010092	4	0	15	12	30	6
IN010092	5	0	10	12	30	13
IN010092	6	0	10	12	30	13
IN010093	0	0	17	10	24	8
IN010093	1	0	17	88	88	88
IN010093	2	0	13	10	24	8
IN010093	4	0	17	10	24	6
IN010093	5	0	15	10	20	6
IN010093	6	0	17	88	88	88
IN010094	0	0	17	10	26	8
IN010094	1	0	17	88	88	88
IN010094	2	0	17	88	88	88
IN010094	3	0	13	12	30	7
IN010094	4	0	13	10	25	7
IN010094	5	0	17	10	26	8
IN010095	0	0	17	10	23	8
IN010095	2	0	12	12	24	10
IN010095	3	0	15	12	30	4
IN010095	4	0	17	10	23	8
IN010096	0	0	17	10	24	6
IN010096	1	0	13	12	20	6
IN010096	2	0	15	12	30	4
IN010096	3	0	17	10	24	6
IN010097	0	0	17	10	23	8
IN010097	1	0	15	10	15	2
IN010097	2	0	10	8	25	12
IN010097	3	0	12	8	20	7
IN010097	4	0	15	12	20	5
IN010097	5	0	17	10	24	7
IN010097	6	0	17	88	88	88
IN010098	0	0	17	10	25	7
IN010098	1	0	12	9	20	9
IN010098	2	0	9	12	15	6
IN010098	3	0	17	10	25	7
IN010099	0	0	17	10	26	8
IN010099	1	0	17	88	88	88
IN010099	2	0	17	88	88	88
IN010099	3	0	17	88	88	88
IN010099	4	0	10	12	30	13
IN010099	5	0	15	12	30	6
IN010099	6	0	17	10	26	8
IN010100	0	0	17	10	24	7
IN010100	1	0	17	88	88	88
IN010100	2	0	15	10	20	2
IN010100	3	0	12	10	25	8
IN010100	4	0	15	12	25	3
IN010100	5	0	17	10	24	7
IN020001	0	5	17	88	88	88
IN020001	1	0	1	6	24	8
IN020001	2	0	11	10	20	6
IN020001	3	0	5	7	24	7
IN020001	4	0	11	10	20	6
IN020001	5	0	11	10	20	6
IN020001	6	0	17	6	26	3
IN020002	0	0	17	10	25	8
IN020002	1	0	1	9	20	9
IN020002	2	0	5	10	26	9
IN020002	3	1	15	12	20	5
IN020002	4	5	17	88	88	88
IN020002	5	0	17	88	88	88
IN020003	0	0	17	10	24	7
IN020003	1	0	1	6	30	8
IN020003	2	0	10	8	30	8
IN020003	3	0	5	6	20	6
IN020003	4	0	17	10	24	7
IN020003	5	0	17	10	20	7
IN020003	6	0	11	2	24	7
IN020003	7	0	17	10	24	7
IN020003	8	0	10	10	24	8
IN020003	9	5	88	88	88	88
IN020004	0	0	17	10	24	8
IN020004	1	0	5	7	18	7
IN020004	2	0	12	6	10	7
IN020004	3	0	17	10	25	8
IN020004	4	0	17	10	25	8
IN020005	0	0	17	10	24	8
IN020005	1	0	5	4	15	8
IN020005	2	0	5	4	20	8
IN020005	3	0	17	10	24	8
IN020006	0	0	17	10	26	8
IN020006	1	0	8	6	30	8
IN020006	2	0	5	9	30	8
IN020006	3	0	17	10	26	8
IN020007	0	0	17	10	25	8
IN020007	1	0	1	10	20	8
IN020007	2	0	1	10	20	8
IN020007	4	0	5	6	25	8
IN020007	28	0	17	10	25	8
IN020008	0	0	17	10	22	7
IN020008	2	0	2	7	15	9
IN020008	3	0	15	12	30	3
IN020008	5	0	17	10	22	8
IN020008	6	0	17	88	88	88
IN020008	7	0	17	88	88	88
IN020009	0	0	17	10	24	8
IN020009	2	0	1	9	25	8
IN020009	3	0	1	12	25	8
IN020009	6	0	88	88	88	88
IN020010	0	0	17	10	25	8
IN020010	2	0	1	6	20	9
IN020010	3	0	1	6	20	9
IN020010	4	0	4	12	30	9
IN020010	5	0	17	10	25	8
IN020010	6	0	17	10	20	8
IN020011	0	0	17	10	24	8
IN020011	1	0	12	4	10	8
IN020011	2	0	4	8	20	9
IN020011	4	0	1	6	10	8
IN020011	7	0	17	10	24	8
IN020011	8	0	15	5	9	1
IN020014	0	0	17	10	25	8
IN020014	1	0	1	9	20	9
IN020014	2	0	1	9	20	9
IN020014	3	0	1	9	15	8
IN020014	4	1	1	9	15	8
IN020014	5	0	1	10	20	8
IN020014	6	0	1	10	20	8
IN020014	7	0	17	10	25	8
IN020014	8	0	17	10	25	8
IN020014	9	0	15	12	27	4
IN020015	0	0	17	10	24	8
IN020015	1	0	1	5	10	8
IN020015	2	0	5	4	13	7
IN020015	3	0	12	6	18	8
IN020015	4	0	5	4	10	7
IN020015	5	0	88	88	88	88
IN020016	0	0	17	10	26	8
IN020016	3	0	1	8	22	8
IN020016	4	0	1	6	18	8
IN020016	5	0	17	88	88	88
IN020017	0	0	17	10	26	7
IN020017	2	0	1	6	24	7
IN020017	3	0	5	3	15	6
IN020017	5	5	88	88	88	88
IN020018	0	0	17	10	24	8
IN020018	2	0	1	10	20	9
IN020018	3	0	1	10	20	9
IN020018	6	0	17	10	24	8
IN020018	7	0	17	10	24	8
IN020019	0	0	17	10	23	8
IN020019	1	0	5	8	12	8
IN020019	2	0	15	12	30	3
IN020019	3	0	17	88	88	88
IN020020	0	0	17	10	30	7
IN020020	1	0	8	12	28	8
IN020020	2	0	15	12	30	4
IN020021	0	0	17	10	26	7
IN020021	1	0	12	12	20	9
IN020021	2	0	5	12	20	9
IN020022	0	0	17	10	26	8
IN020022	3	0	1	8	30	9
IN020022	4	0	1	7	30	8
IN020022	5	0	17	10	26	8
IN020022	6	0	88	88	88	88
IN020023	0	0	17	10	24	7
IN020023	1	0	13	12	26	7
IN020023	2	0	13	12	26	7
IN020023	3	0	17	10	26	8
IN020024	0	0	17	10	24	7
IN020024	1	0	1	6	20	5
IN020024	2	0	15	12	30	4
