childid	id	age	memsex	relate	livhse	dthunexp	adultedc	grade	hsstrtr3	strtyrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3	hrewrkr3	nohrer3	wrkprjr3	numdysr3	rsnfewr3	tywrkr31	tywrkr32	tywrkr33	wgercdr3
ET161012	15	10	1	7	1	 	 	 	0	 	 	 	 	29	 	 	88	0	15	12	7	1	9	0	0	0	0	0	0	15	 	 	 	 	 	 	 	 	 
ET161012	16	8	2	7	1	 	 	 	1	2002	1	0	1	 	 	2	50	0	15	12	7	2	9	0	2	0	0	6	1	6	 	 	 	 	 	 	 	 	 
ET161012	17	4	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161012	18	1	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161013	0	15	2	0	1	 	 	 	1	1998	1	2	1	 	 	2	100	0	15	12	7	7	8	0	7	0	0	6	1	2	 	 	 	 	 	 	 	 	 
ET161013	1	54	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	12	6	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161013	2	45	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161013	3	25	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161013	4	22	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161013	5	20	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161013	6	17	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161013	7	13	1	7	1	 	 	 	1	2000	1	2	1	 	 	1	100	0	15	12	7	6	8	0	2	4	0	6	1	3	 	 	 	 	 	 	 	 	 
ET161013	15	9	2	7	1	 	 	 	1	2001	1	1	0	19	9	 	88	0	15	12	7	6	8	10	1	1	0	0	0	4	 	 	 	 	 	 	 	 	 
ET161013	16	7	2	7	1	 	 	 	1	2002	1	0	1	 	 	3	6	0	15	12	7	4	8	0	3	0	0	6	1	6	 	 	 	 	 	 	 	 	 
ET161013	17	4	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161013	18	1	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161014	0	14	2	0	1	 	 	 	1	1997	1	3	1	 	 	2	53	0	15	12	7	7	8	0	6	0	0	6	2	2	 	 	 	 	 	 	 	 	 
ET161014	1	47	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	11	6	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161014	2	37	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161014	3	20	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	11	6	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161014	4	17	2	7	1	 	 	 	1	1995	1	5	1	 	 	2	0	0	15	12	7	7	8	0	6	0	0	6	2	2	 	 	 	 	 	 	 	 	 
ET161014	5	13	1	7	1	 	 	 	1	1999	1	2	1	 	 	2	10	0	15	12	7	4	9	0	3	2	0	6	2	2	 	 	 	 	 	 	 	 	 
ET161014	15	11	1	7	1	 	 	 	1	2000	1	2	1	 	 	1	10	0	15	12	7	4	9	0	0	0	4	5	2	4	 	 	 	 	 	 	 	 	 
ET161014	16	7	1	7	1	 	 	 	1	2002	1	0	1	 	 	3	0	0	17	 	 	 	10	0	0	0	0	5	0	9	 	 	 	 	 	 	 	 	 
ET161014	17	15	1	7	1	 	 	 	0	 	 	 	 	20	 	 	88	0	15	12	7	8	8	0	8	4	0	0	0	4	 	 	 	 	 	 	 	 	 
ET161014	18	6	2	7	1	 	 	 	0	 	 	 	 	29	 	 	88	5	17	 	 	 	10	0	0	0	0	0	0	14	 	 	 	 	 	 	 	 	 
ET161015	0	14	2	0	1	 	 	 	1	1997	1	5	1	 	 	2	125	0	15	12	7	3	8	2	2	1	0	6	3	2	 	 	 	 	 	 	 	 	 
ET161015	1	54	1	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	1	12	5	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
