childid	id	age	memsex	relate	livhse	dthunexp	adultedc	grade	hsstrtr3	strtyrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3	hrewrkr3	nohrer3	wrkprjr3	numdysr3	rsnfewr3	tywrkr31	tywrkr32	tywrkr33	wgercdr3
ET061009	17	9	1	7	1	 	 	 	1	2002	1	0	1	 	 	3	0	0	4	12	5	4	9	2	0	4	0	5	1	3	 	 	 	 	 	 	 	 	 
ET061009	18	3	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061010	0	15	1	0	1	 	 	 	1	1993	1	8	1	 	 	2	30	0	4	12	3	4	8	1	0	4	0	7	2	2	 	 	 	 	 	 	 	 	 
ET061010	1	52	1	1	1	 	 	28	 	 	 	 	 	 	 	 	 	4	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061010	2	42	2	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	15	12	5	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061010	3	29	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061010	4	21	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061010	5	18	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	5	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061010	6	13	1	7	1	 	 	 	0	 	 	 	 	20	 	 	88	0	4	12	5	10	10	0	0	10	0	0	0	4	 	 	 	 	 	 	 	 	 
ET061010	7	24	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	5	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061010	8	3	2	15	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061011	0	14	1	0	1	 	 	 	1	2000	1	2	1	 	 	3	0	0	4	12	5	4	9	1	1	4	0	5	1	3	 	 	 	 	 	 	 	 	 
ET061011	1	42	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	5	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061011	2	25	2	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061011	3	19	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061011	4	9	2	7	1	 	 	 	0	 	 	 	 	20	 	 	88	0	15	12	5	8	9	7	1	2	0	0	0	5	 	 	 	 	 	 	 	 	 
ET061011	5	5	1	13	1	 	 	 	0	 	 	 	 	29	 	 	88	0	17	 	 	 	9	0	0	0	0	0	0	15	 	 	 	 	 	 	 	 	 
ET061012	0	15	1	0	1	 	 	 	1	2002	1	0	1	 	 	2	0	0	4	12	5	4	9	0	1	4	1	6	1	2	 	 	 	 	 	 	 	 	 
ET061012	1	51	1	1	1	 	 	3	 	 	 	 	 	 	 	 	 	0	1	12	5	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061012	2	37	2	1	1	 	 	2	 	 	 	 	 	 	 	 	 	0	15	12	5	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061012	3	24	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061012	4	22	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061012	5	19	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061012	6	17	2	7	1	 	 	 	1	1999	1	3	1	 	 	2	0	0	15	12	5	5	9	1	1	5	1	6	1	0	 	 	 	 	 	 	 	 	 
ET061012	7	13	1	7	1	 	 	 	1	2001	1	1	1	 	 	3	0	0	4	12	5	4	9	0	1	4	1	6	1	2	 	 	 	 	 	 	 	 	 
ET061012	8	7	1	7	1	 	 	 	0	 	 	 	 	29	 	 	88	0	17	 	 	 	9	0	0	0	0	0	0	15	 	 	 	 	 	 	 	 	 
ET061014	0	15	1	0	1	 	 	 	1	2000	1	1	0	21	14	 	88	0	12	10	5	9	9	0	0	2	9	0	0	4	 	 	 	 	 	 	 	 	 
ET061014	1	40	1	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	12	12	5	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061014	2	36	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	1	15	12	4	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061014	3	17	1	7	1	 	 	 	1	1993	1	7	0	21	16	 	88	0	12	10	5	9	9	0	0	3	9	0	0	3	 	 	 	 	 	 	 	 	 
ET061014	15	11	1	7	1	 	 	 	1	2000	1	0	0	21	9	 	88	0	5	10	5	8	10	0	0	0	8	0	0	6	 	 	 	 	 	 	 	 	 
ET061014	16	9	2	7	1	 	 	 	1	2002	1	0	0	8	 	 	88	0	15	12	3	3	11	0	3	0	0	0	0	10	 	 	 	 	 	 	 	 	 
ET061014	17	0	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061015	0	15	1	0	1	 	 	 	1	1998	1	4	1	 	 	1	16	0	4	12	5	5	9	0	0	5	0	6	2	2	 	 	 	 	 	 	 	 	 
ET061015	1	63	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	12	4	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061015	2	47	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	5	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061015	3	27	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061015	4	25	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061015	5	21	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	5	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061015	6	19	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	5	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061015	7	17	2	7	1	 	 	 	1	1994	1	8	1	 	 	1	30	0	15	12	5	5	9	0	5	0	0	6	2	2	 	 	 	 	 	 	 	 	 
ET061015	8	13	1	7	1	 	 	 	1	1998	1	4	1	 	 	2	10	0	4	12	5	5	10	0	0	5	0	6	1	2	 	 	 	 	 	 	 	 	 
ET061015	15	9	1	7	1	 	 	 	0	 	 	 	 	20	 	 	88	0	4	12	5	9	10	0	2	7	0	0	0	5	 	 	 	 	 	 	 	 	 
ET061016	0	15	1	0	1	 	 	 	1	1999	1	2	0	20	15	 	88	0	4	12	5	10	8	1	1	10	0	0	0	4	 	 	 	 	 	 	 	 	 
ET061016	1	59	1	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	1	12	4	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061016	2	47	2	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	15	12	5	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061016	3	28	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061016	4	25	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	4	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061016	5	22	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061016	6	20	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061016	7	20	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061016	15	10	1	7	1	 	 	 	1	2001	1	0	1	 	 	3	0	0	4	12	5	5	9	1	0	5	0	5	0	4	 	 	 	 	 	 	 	 	 
ET061016	16	9	1	7	1	 	 	 	1	2001	1	0	1	 	 	3	0	0	4	12	5	5	9	1	0	5	0	5	0	4	 	 	 	 	 	 	 	 	 
ET061016	17	6	2	15	1	 	 	 	1	2002	1	0	1	 	 	3	0	0	15	12	5	5	9	0	5	0	0	5	0	5	 	 	 	 	 	 	 	 	 
ET061018	0	14	1	0	1	 	 	 	1	1998	1	0	0	21	11	 	88	0	5	8	5	10	10	0	0	0	10	0	0	4	 	 	 	 	 	 	 	 	 
ET061018	1	30	1	13	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	5	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061018	2	27	2	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061018	3	25	2	22	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	5	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061018	4	4	2	14	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061019	0	15	2	0	1	 	 	 	1	2000	1	2	1	 	 	3	0	0	15	12	5	4	10	1	4	2	0	5	1	1	 	 	 	 	 	 	 	 	 
ET061019	1	49	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	12	5	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061019	2	37	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	5	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061019	3	21	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061019	4	17	1	7	1	 	 	 	1	1991	1	10	0	11	15	 	88	0	1	12	5	4	10	0	2	4	0	0	0	8	 	 	 	 	 	 	 	 	 
ET061019	5	13	1	7	1	 	 	 	0	 	 	 	 	24	 	 	88	1	4	12	3	5	10	0	1	5	0	0	0	8	 	 	 	 	 	 	 	 	 
ET061019	6	13	1	7	1	 	 	 	0	 	 	 	 	24	 	 	88	1	4	12	3	5	10	0	1	5	0	0	0	8	 	 	 	 	 	 	 	 	 
ET061019	7	6	1	7	1	 	 	 	0	 	 	 	 	29	 	 	88	0	17	 	 	 	10	0	0	0	0	0	0	14	 	 	 	 	 	 	 	 	 
ET061019	8	3	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061020	0	15	2	0	1	 	 	 	1	1994	1	8	1	 	 	2	30	0	15	12	5	3	9	2	3	0	0	5	2	3	 	 	 	 	 	 	 	 	 
ET061020	1	55	1	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	1	12	5	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061020	2	42	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	5	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061020	3	19	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	5	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061020	4	17	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	5	10	9	0	2	10	0	0	0	3	 	 	 	 	 	 	 	 	 
ET061020	5	12	1	7	1	 	 	 	1	1996	1	4	0	20	12	 	88	0	4	12	5	8	9	0	1	8	0	0	0	6	 	 	 	 	 	 	 	 	 
ET061020	15	9	1	7	1	 	 	 	1	1999	1	3	1	 	 	2	15	0	4	12	5	4	9	1	2	4	0	5	1	2	 	 	 	 	 	 	 	 	 
ET061020	16	6	1	7	1	 	 	 	0	 	 	 	 	20	 	 	88	0	4	12	5	4	9	1	1	4	0	0	0	9	 	 	 	 	 	 	 	 	 
ET061020	17	3	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061021	0	14	2	0	1	 	 	 	1	1994	1	4	1	 	 	2	10	0	15	12	5	4	9	1	4	0	0	6	2	2	 	 	 	 	 	 	 	 	 
ET061021	1	41	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061021	2	17	2	7	1	 	 	 	1	1993	1	8	1	 	 	2	30	0	15	12	5	10	9	0	4	0	0	6	3	2	 	 	 	 	 	 	 	 	 
ET061021	3	12	2	7	1	 	 	 	1	2002	1	0	1	 	 	3	0	0	4	12	5	4	10	1	3	4	0	5	0	1	 	 	 	 	 	 	 	 	 
ET061021	4	21	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061021	5	5	2	9	1	 	 	 	0	 	 	 	 	29	 	 	88	0	15	12	5	3	11	3	0	1	0	0	0	9	 	 	 	 	 	 	 	 	 
ET061021	6	38	1	2	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	5	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061021	7	2	1	9	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061022	0	15	1	0	1	 	 	 	1	1997	1	6	0	26	14	 	88	0	1	8	3	7	9	0	0	10	0	0	0	5	 	 	 	 	 	 	 	 	 
ET061022	1	52	1	1	1	 	 	6	 	 	 	 	 	 	 	 	 	0	1	9	3	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061022	2	42	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	5	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061022	3	25	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061022	4	23	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061022	5	22	1	22	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061022	6	21	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061022	7	15	2	22	1	 	 	 	1	1997	1	5	1	 	 	2	8	0	15	6	4	4	9	0	4	0	0	7	0	4	 	 	 	 	 	 	 	 	 
ET061022	15	10	1	8	1	 	 	 	1	2001	1	1	1	 	 	3	0	0	4	10	4	4	10	0	0	4	0	5	0	5	 	 	 	 	 	 	 	 	 
ET061022	16	7	2	8	1	 	 	 	0	 	 	 	 	29	 	 	88	0	4	10	5	6	10	0	2	6	0	0	0	6	 	 	 	 	 	 	 	 	 
ET061022	17	4	1	8	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061023	0	15	2	0	1	 	 	 	1	1996	1	5	0	24	14	 	88	0	1	7	4	5	8	0	2	5	0	0	0	9	 	 	 	 	 	 	 	 	 
ET061023	1	55	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	10	4	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061023	2	42	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	5	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061023	3	23	1	9	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061023	4	20	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061023	5	19	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	6	3	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061023	6	17	2	7	1	 	 	 	1	1995	1	7	1	 	 	4	8	0	15	10	4	4	8	0	4	0	0	7	1	4	 	 	 	 	 	 	 	 	 
ET061023	7	12	2	7	1	 	 	 	0	 	 	 	 	20	 	 	88	0	4	12	4	8	8	0	2	8	0	0	0	6	 	 	 	 	 	 	 	 	 
ET061024	0	15	2	0	1	 	 	 	1	1997	1	4	0	20	14	 	88	0	4	12	5	8	9	0	3	8	0	0	0	4	 	 	 	 	 	 	 	 	 
ET061024	1	45	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	12	4	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061024	2	37	2	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	15	12	5	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061024	3	18	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	4	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061025	0	15	2	0	1	 	 	 	1	1995	1	7	1	 	 	2	8	0	15	12	5	6	8	1	6	0	0	5	3	1	0	10	 	88	 	 	 	 	88
ET061025	1	57	2	5	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	5	12	 	 	 	 	 	 	 	 	0	2	 	88	 	 	 	 	88
ET061025	2	29	2	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061025	3	26	1	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061025	4	24	1	13	1	 	 	 	 	 	 	 	 	 	 	 	 	0	12	12	5	10	 	 	 	 	 	 	 	 	1	 	1	8	 	1	2	4	15
ET061025	5	16	1	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061026	0	15	1	0	1	 	 	 	1	1998	1	0	0	31	11	 	88	0	4	3	3	9	9	0	3	9	0	0	0	3	0	10	0	88	 	 	 	 	88
ET061026	1	45	1	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	1	12	5	9	 	 	 	 	 	 	 	 	1	 	1	10	 	2	11	6	10
ET061026	2	37	2	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	15	12	5	10	 	 	 	 	 	 	 	 	1	 	1	10	 	2	11	6	10
ET061026	3	22	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	4	4	3	6	 	 	 	 	 	 	 	 	0	10	0	88	 	 	 	 	88
ET061026	4	20	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061026	5	13	2	7	1	 	 	 	1	1999	1	3	1	 	 	2	6	0	15	12	5	5	8	2	5	1	0	6	1	1	 	 	 	 	 	 	 	 	 
ET061026	15	9	2	7	1	 	 	 	1	2002	1	0	1	 	 	3	0	0	15	12	5	4	9	1	4	4	0	5	0	1	 	 	 	 	 	 	 	 	 
ET061026	16	5	2	7	1	 	 	 	0	 	 	 	 	29	 	 	88	0	15	12	5	3	11	3	0	0	0	0	0	10	 	 	 	 	 	 	 	 	 
ET061026	17	1	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061027	0	15	1	0	1	 	 	 	0	 	 	 	 	20	 	 	88	0	4	10	5	8	6	0	0	9	0	0	5	4	 	 	 	 	 	 	 	 	 
ET061027	1	42	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	10	4	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061027	2	38	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	5	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061027	3	20	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	2	5	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061027	4	18	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	10	3	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061027	5	10	1	7	1	 	 	 	1	1999	1	3	1	 	 	2	4	0	15	8	4	4	10	0	4	0	0	7	0	3	 	 	 	 	 	 	 	 	 
ET061027	6	5	2	7	1	 	 	 	0	 	 	 	 	29	 	 	88	0	15	3	3	2	11	0	2	0	0	0	0	11	 	 	 	 	 	 	 	 	 
ET061028	0	15	2	0	1	 	 	 	1	1996	1	6	1	 	 	2	8	0	15	12	5	7	9	1	5	0	0	5	2	2	 	 	 	 	 	 	 	 	 
ET061028	1	45	1	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	1	12	4	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061028	2	39	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	5	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061028	3	23	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	4	12	5	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061028	4	20	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	5	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061028	5	13	2	7	1	 	 	 	1	2001	1	2	1	 	 	2	0	0	15	12	5	7	10	1	4	0	0	5	2	2	 	 	 	 	 	 	 	 	 
ET061028	15	10	2	7	1	 	 	 	0	 	 	 	 	20	 	 	88	0	15	12	5	8	10	1	6	0	0	0	0	7	 	 	 	 	 	 	 	 	 
ET061028	16	7	1	7	1	 	 	 	0	 	 	 	 	29	 	 	88	0	4	12	5	4	11	0	0	4	0	0	0	9	 	 	 	 	 	 	 	 	 
ET061029	0	15	1	0	1	 	 	 	1	1997	1	4	0	31	13	 	88	0	4	12	5	6	9	0	1	6	0	0	0	8	 	 	 	 	 	 	 	 	 
ET061029	1	65	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061029	2	49	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	5	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061029	3	35	2	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061029	4	29	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061029	5	26	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	13	10	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061029	6	23	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061029	7	20	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	10	4	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061029	8	12	2	7	1	 	 	 	1	1998	1	2	1	 	 	3	0	0	15	12	5	3	10	0	2	3	0	5	2	2	 	 	 	 	 	 	 	 	 
ET061029	9	17	1	7	1	 	 	 	1	1992	1	10	1	 	 	1	30	1	1	3	4	10	9	0	2	0	0	5	4	4	 	 	 	 	 	 	 	 	 
ET061031	0	15	1	0	1	 	 	 	1	1995	1	7	1	 	 	2	8	0	4	10	4	2	9	0	0	2	0	7	1	5	0	10	 	88	 	 	 	 	88
ET061031	1	49	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061031	2	34	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	5	10	 	 	 	 	 	 	 	 	1	 	1	8	 	2	3	9	18
ET061031	3	13	1	7	1	 	 	 	1	1998	1	4	1	 	 	2	6	0	4	10	4	3	9	0	0	3	0	7	1	4	 	 	 	 	 	 	 	 	 
ET061031	15	9	1	7	1	 	 	 	1	2000	1	2	1	 	 	2	0	0	4	10	3	3	10	0	0	3	0	5	0	6	 	 	 	 	 	 	 	 	 
ET061031	16	7	2	7	1	 	 	 	0	 	 	 	 	29	 	 	88	0	15	3	2	2	12	0	2	0	0	0	0	10	 	 	 	 	 	 	 	 	 
ET061033	0	14	1	0	1	 	 	 	1	1991	1	11	1	 	 	1	60	0	1	2	5	4	8	0	2	4	0	6	2	2	 	 	 	 	 	 	 	 	 
ET061033	1	65	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	12	5	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061033	2	52	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	5	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061033	3	29	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061033	4	22	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	0	15	1	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061033	5	20	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	4	12	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061033	6	18	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061033	7	12	2	7	1	 	 	 	1	1996	1	5	1	 	 	2	15	0	4	12	5	4	8	0	2	4	0	6	1	3	 	 	 	 	 	 	 	 	 
ET061034	0	15	1	0	1	 	 	 	1	1998	1	4	1	 	 	2	0	0	4	10	4	4	9	1	0	4	0	7	1	2	 	 	 	 	 	 	 	 	 
ET061034	1	42	1	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	1	10	4	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET061034	2	30	2	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	15	12	5	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
