CHILDID	ACTIDR3	ACTR3	ACTOWNR3	ACTMTHR3	ACTDAYHR3	ACTHRSR3	PYMRECR3
ET051050	1	2	1	12	7	4	0
ET061002	1	2	1	12	5	5	0
ET061002	2	3	1	12	5	2	0
ET061003	1	3	1	12	5	3	3
ET061003	2	2	1	12	5	1	3
ET061004	1	2	1	12	5	4	0
ET061004	2	3	1	12	5	1	0
ET061005	1	2	1	6	5	5	2
ET061005	2	4	1	12	5	2	2
ET061005	3	5	1	12	5	1	2
ET061005	4	6	3	9	5	2	2
ET061007	1	2	1	12	5	5	0
ET061007	2	3	1	12	5	1	0
ET061008	1	1	1	10	5	2	0
ET061009	1	2	1	12	5	4	0
ET061009	2	3	1	12	5	1	0
ET061010	1	7	1	12	3	4	0
ET061010	2	3	1	12	5	1	0
ET061011	1	7	1	12	5	4	0
ET061011	2	2	1	12	5	1	0
ET061011	3	3	1	12	5	1	0
ET061012	1	5	1	12	5	4	2
ET061012	2	6	2	6	5	1	2
ET061012	3	4	1	12	5	1	2
ET061014	1	1	2	10	5	9	2
ET061014	2	7	2	10	5	2	2
ET061015	1	7	1	12	5	4	0
ET061016	1	7	1	12	5	10	0
ET061016	2	2	1	12	2	1	0
ET061016	3	3	1	12	5	1	0
ET061018	1	7	2	8	5	10	2
ET061019	1	3	1	12	3	1	0
ET061019	2	2	1	12	5	4	0
ET061019	3	2	1	12	5	2	0
ET061020	1	2	1	12	5	3	0
ET061020	2	3	1	12	5	2	0
ET061021	1	2	1	12	5	4	0
ET061021	2	3	1	12	5	1	0
ET061022	1	1	1	8	3	7	0
ET061022	2	7	1	6	4	3	0
ET061023	1	1	1	7	4	5	0
ET061023	2	2	1	8	3	2	0
ET061024	1	7	1	12	5	8	0
ET061024	2	2	1	12	5	3	0
ET061025	1	2	1	12	5	6	0
ET061025	2	3	1	12	5	1	0
ET061026	1	1	1	3	3	9	0
ET061026	2	2	1	3	3	3	0
ET061027	1	7	1	10	4	9	0
ET061028	1	2	1	12	5	5	0
ET061028	2	3	1	12	5	1	0
ET061029	1	7	1	12	5	6	0
ET061029	2	2	1	12	5	1	0
ET061031	1	7	1	10	4	2	0
ET061033	1	3	1	2	5	2	3
ET061033	2	4	1	2	5	4	3
ET061034	1	1	1	10	4	4	0
ET061034	2	7	1	12	3	2	0
ET061036	1	7	1	12	5	6	0
ET061037	1	2	1	12	5	3	0
ET061038	1	1	1	12	5	7	0
ET061038	2	2	1	12	5	1	0
ET061038	3	3	1	12	5	2	0
ET061039	1	2	1	12	5	1	0
ET061039	2	3	1	12	5	4	0
ET061039	3	7	1	12	4	1	0
ET061040	1	2	1	12	5	5	0
ET061040	2	3	1	12	5	1	0
ET061041	1	4	1	12	5	3	0
ET061041	2	2	1	12	5	3	0
ET061041	3	7	1	12	5	2	0
ET061043	1	3	1	12	3	1	0
ET061043	2	2	1	12	4	3	0
ET061043	3	4	1	12	5	4	0
ET061044	1	2	1	12	5	1	0
ET061044	2	3	1	12	5	3	0
ET061046	1	3	1	12	5	1	0
ET061046	2	2	1	12	5	2	0
ET061046	3	2	1	12	5	3	0
ET061047	1	2	1	12	5	5	0
ET061047	2	2	1	12	5	2	0
ET061049	1	2	1	10	5	4	0
ET061049	2	3	1	6	3	1	0
ET061050	1	2	1	12	5	3	0
ET061050	2	3	1	12	5	1	0
ET061051	1	1	1	12	5	3	0
ET061051	2	2	1	12	5	1	0
ET061051	3	3	1	12	5	1	0
ET061052	1	3	1	12	5	5	0
ET061052	2	2	1	12	5	5	0
ET061053	1	2	1	12	5	4	0
ET061054	1	3	1	12	5	4	2
ET061054	2	4	1	12	5	2	3
ET061056	1	2	1	12	5	6	0
ET061057	1	2	1	12	3	3	0
ET061057	2	5	2	9	3	2	1
ET061058	1	7	2	12	5	6	3
ET061058	2	2	1	12	5	1	0
ET061059	1	1	1	6	3	4	0
ET071001	1	7	1	12	7	5	0
ET071001	2	3	1	12	7	2	0
ET071002	1	7	1	9	5	4	0
ET071002	2	2	1	8	2	2	0
ET071002	3	3	1	12	5	1	0
ET071002	4	1	1	5	2	4	0
ET071003	1	1	1	3	3	3	0
ET071003	2	7	1	12	7	3	0
ET071003	3	2	1	12	1	1	0
ET071004	1	7	1	12	5	3	0
ET071004	2	2	1	12	5	2	0
ET071005	1	7	1	12	5	5	0
ET071006	1	7	1	10	5	4	0
ET071006	2	2	1	5	4	1	0
ET071006	3	3	1	4	2	1	0
ET071007	1	7	1	12	5	4	0
ET071007	2	2	1	12	5	1	0
ET071008	1	7	1	12	5	4	0
ET071008	2	2	1	8	4	1	0
ET071009	1	2	1	12	7	3	0
ET071009	2	7	1	12	7	2	0
ET071010	1	2	1	12	5	7	0
ET071010	2	3	1	12	2	1	0
ET071011	1	1	1	12	3	3	0
ET071011	2	2	1	12	3	3	0
ET071011	3	3	1	12	5	1	0
ET071012	1	2	1	12	2	1	0
ET071012	2	3	1	12	3	1	0
ET071012	3	1	1	12	5	6	0
ET071013	1	1	1	4	1	5	0
ET071013	2	2	1	12	5	5	0
ET071014	1	2	1	12	5	5	0
ET071014	2	4	1	12	1	4	1
ET071015	1	2	1	12	7	3	0
ET071015	2	6	2	12	7	5	1
ET071015	3	3	1	7	3	1	0
ET071016	1	6	2	11	5	3	0
ET071016	2	3	1	12	5	2	0
