CHILDID	PLOTID	CRPRNR31	CRPRNR32	CRPDYR31	CRPDYR32	IRRIGTR3	PERIRRGR3
ET071002	4	75	125	888	888	0	88
ET071002	5	125	888	888	888	0	88
ET071002	6	75	130	888	888	0	88
ET071002	7	55	888	888	888	0	88
ET071003	1	55	888	888	888	0	88
ET071003	2	75	5	888	888	0	88
ET071003	3	5	888	888	888	0	88
ET071003	4	5	888	888	888	0	88
ET071003	5	75	55	888	888	0	88
ET071003	6	75	125	888	888	0	88
ET071003	7	125	888	888	888	0	88
ET071003	8	43	888	888	888	0	88
ET071003	9	75	888	888	888	0	88
ET071003	10	5	888	888	888	0	88
ET071003	11	55	888	888	888	0	88
ET071003	12	75	888	888	888	0	88
ET071004	2	75	55	888	888	0	88
ET071004	3	5	888	888	888	0	88
ET071004	4	5	888	888	888	0	88
ET071004	5	50	888	888	888	0	88
ET071004	6	75	888	888	888	0	88
ET071004	7	130	888	888	888	0	88
ET071004	8	42	888	888	888	0	88
ET071005	1	43	888	888	888	0	88
ET071005	2	130	888	888	888	0	88
ET071005	3	125	888	888	888	0	88
ET071005	4	55	888	888	888	0	88
ET071006	1	55	50	888	888	0	88
ET071006	2	125	130	888	888	0	88
ET071006	3	55	75	888	888	0	88
ET071006	4	5	888	888	888	0	88
ET071006	5	19	130	888	888	0	88
ET071006	6	75	888	888	888	0	88
ET071006	7	888	888	55	59	1	4
ET071007	2	75	43	888	888	0	88
ET071007	3	5	888	888	888	0	88
ET071007	4	55	888	888	888	0	88
ET071007	5	125	888	888	888	0	88
ET071008	2	5	888	888	888	0	88
ET071008	3	43	888	888	888	0	88
ET071008	4	75	888	888	888	0	88
ET071009	1	43	5	888	888	0	88
ET071009	2	75	125	888	888	0	88
ET071009	3	5	55	888	888	0	88
ET071009	4	75	888	888	888	0	88
ET071009	5	31	888	888	888	0	88
ET071010	1	125	130	888	888	0	88
ET071011	1	125	130	888	888	0	88
ET071011	2	5	55	888	888	0	88
ET071012	2	75	5	888	888	0	88
ET071012	3	5	888	888	888	0	88
ET071012	4	55	888	888	888	0	88
ET071013	1	130	55	888	888	0	88
ET071014	1	55	59	888	888	0	88
ET071015	2	5	888	888	888	0	88
ET071015	3	75	888	888	888	0	88
ET071015	4	130	888	888	888	0	88
ET071015	5	124	888	888	888	0	88
ET071015	6	5	888	888	888	0	88
ET071016	2	125	888	888	888	0	88
ET071016	3	130	888	888	888	0	88
ET071016	4	130	888	888	888	0	88
ET071016	5	43	888	888	888	0	88
ET071016	6	5	888	888	888	0	88
ET071017	1	5	888	888	888	0	88
ET071017	3	125	75	888	888	0	88
ET071017	4	5	888	888	888	0	88
ET071018	1	26	10	888	888	0	88
ET071018	2	130	125	888	888	0	88
ET071018	3	5	888	888	888	0	88
ET071018	4	5	888	55	888	1	1
ET071019	1	75	888	888	888	0	88
ET071020	2	125	130	888	888	0	88
ET071020	3	55	75	888	888	0	88
ET071020	4	75	888	888	888	0	88
ET071020	5	55	888	888	888	0	88
ET071021	1	5	43	888	888	0	88
ET071021	2	75	130	888	888	0	88
ET071021	3	55	888	888	888	0	88
ET071021	5	125	888	888	888	0	88
ET071021	6	75	888	888	888	0	88
ET071022	1	130	888	888	888	0	88
ET071022	2	75	888	888	888	0	88
ET071022	3	43	888	888	888	0	88
ET071022	4	75	888	888	888	0	88
ET071022	5	31	888	888	888	0	88
ET071024	1	50	888	888	888	0	88
ET071024	2	75	43	888	888	0	88
ET071024	3	125	888	888	888	0	88
ET071024	4	5	55	888	888	0	88
ET071024	5	55	888	888	888	0	88
ET071025	1	888	888	50	59	1	1
ET071025	2	75	125	888	888	0	88
ET071025	3	43	888	888	888	0	88
ET071025	4	75	888	888	888	0	88
ET071025	5	43	888	888	888	0	88
ET071025	6	75	888	888	888	0	88
ET071025	7	125	19	888	888	0	88
ET071026	1	55	75	888	888	0	88
ET071026	2	75	888	888	888	0	88
ET071026	3	130	888	888	888	0	88
ET071026	4	43	5	888	888	0	88
ET071026	5	125	75	888	888	0	88
ET071026	6	130	888	888	888	0	88
ET071027	2	130	55	888	888	0	88
ET071027	3	75	125	888	888	0	88
ET071028	2	75	55	888	888	0	88
ET071028	3	5	888	888	888	0	88
ET071029	1	55	888	888	888	0	88
ET071029	2	75	130	888	888	0	88
ET071029	3	43	888	888	888	0	88
ET071029	4	75	888	888	888	0	88
ET071029	5	130	888	888	888	0	88
ET071029	6	75	888	888	888	0	88
ET071029	7	96	888	888	888	0	88
ET071031	1	96	888	888	888	0	88
ET071031	2	130	888	888	888	0	88
ET071031	3	5	888	888	888	0	88
ET071031	4	31	888	888	888	0	88
ET071031	5	75	125	888	888	0	88
ET071031	6	5	888	888	888	0	88
ET071031	7	75	888	888	888	0	88
ET071031	8	43	888	888	888	0	88
ET071031	9	75	888	888	888	0	88
ET071033	1	26	888	888	888	0	88
ET071033	2	125	130	888	888	0	88
ET071033	3	55	5	888	888	0	88
ET071033	4	43	888	888	888	0	88
ET071033	6	55	888	888	888	0	88
ET071033	7	5	888	888	888	0	88
ET071033	8	5	888	888	888	0	88
ET071035	2	5	55	888	888	0	88
ET071035	3	130	888	888	888	0	88
ET071035	4	130	888	888	888	0	88
ET071036	2	130	888	888	888	0	88
ET071036	3	130	888	888	888	0	88
ET071036	4	43	888	888	888	0	88
ET071036	5	75	888	888	888	0	88
ET071037	2	130	888	888	888	0	88
ET071037	3	55	888	888	888	0	88
ET071037	4	75	888	888	888	0	88
ET071038	1	43	888	888	888	0	88
ET071038	2	130	888	888	888	0	88
ET071038	3	125	888	888	888	0	88
ET071038	4	19	888	888	888	0	88
ET071038	5	75	888	888	888	0	88
ET071039	2	130	19	888	888	0	88
ET071039	3	5	888	888	888	0	88
ET071039	4	75	888	888	888	0	88
ET071039	5	130	888	888	888	0	88
ET071043	1	26	888	888	888	0	88
ET071044	2	5	125	888	888	0	88
ET071044	3	75	125	888	888	0	88
ET071044	4	43	888	888	888	0	88
ET071044	5	5	42	888	888	0	88
ET071045	1	75	888	888	888	0	88
ET071045	2	19	888	888	888	0	88
ET071045	3	43	888	888	888	0	88
ET071045	5	31	888	888	888	0	88
ET071046	3	130	888	888	888	0	88
ET071047	1	125	130	888	888	0	88
ET071047	2	43	888	888	888	0	88
ET071047	3	75	888	888	888	0	88
ET071047	4	55	888	888	888	0	88
ET071047	5	10	26	888	888	0	88
ET071047	6	130	888	888	888	0	88
ET071048	2	130	124	888	888	0	88
ET071048	3	31	888	888	888	0	88
ET071049	1	55	50	888	888	0	88
ET071049	2	76	888	888	888	0	88
ET071049	3	75	888	888	888	0	88
ET071049	4	124	130	888	888	0	88
ET071049	5	19	888	888	888	0	88
ET071050	3	125	888	888	888	0	88
ET071050	4	55	888	888	888	0	88
ET071050	5	130	888	888	888	0	88
ET071050	6	43	888	888	888	0	88
ET071050	7	125	888	888	888	0	88
ET081001	2	44	75	50	888	1	4
ET081001	3	75	888	72	50	1	4
ET081001	4	75	8	888	888	0	88
ET081001	5	44	888	888	888	0	88
ET081002	1	44	888	888	888	0	88
ET081002	2	76	888	888	888	0	88
ET081002	4	44	888	888	888	0	88
ET081002	5	64	888	888	888	0	88
ET081003	1	44	888	888	888	0	88
ET081003	6	44	50	888	888	0	88
ET081003	7	75	888	888	888	0	88
ET081003	8	44	888	888	888	0	88
ET081003	9	76	35	888	888	0	88
ET081004	1	44	888	888	888	0	88
ET081004	2	44	888	888	888	0	88
ET081004	3	8	888	888	888	0	88
ET081005	2	44	888	888	888	0	88
ET081005	3	44	888	888	888	0	88
ET081006	1	44	888	888	888	0	88
ET081006	5	44	75	888	888	0	88
ET081007	1	44	888	888	888	0	88
ET081007	3	44	888	888	888	0	88
ET081007	4	44	888	888	888	0	88
ET081008	2	44	888	888	888	0	88
ET081008	3	75	888	50	10	1	2
ET081008	4	50	10	9	888	1	2
ET081009	2	44	888	888	888	0	88
ET081009	3	75	888	888	888	0	88
ET081009	4	44	888	888	888	0	88
ET081010	2	44	8	888	888	0	88
ET081010	3	10	96	50	888	1	2
ET081010	4	35	888	888	888	0	88
ET081011	2	44	888	888	888	0	88
ET081011	3	96	888	888	888	1	4
ET081011	4	76	888	888	888	0	88
ET081011	5	21	888	888	888	0	88
ET081012	2	44	888	888	888	0	88
ET081012	3	44	35	888	888	0	88
ET081012	4	44	75	888	888	0	88
ET081013	1	44	888	888	888	0	88
ET081014	2	44	888	888	888	0	88
ET081014	3	44	35	888	888	0	88
ET081014	6	76	888	888	888	0	88
ET081015	1	44	888	888	888	0	88
ET081015	2	7	888	888	888	1	4
ET081015	4	44	888	888	888	0	88
ET081016	2	44	5	888	888	0	88
ET081016	3	8	888	10	50	1	2
ET081017	1	44	888	888	888	0	88
ET081017	2	44	75	888	888	0	88
ET081017	3	5	888	888	888	0	88
ET081017	4	8	888	888	888	0	88
ET081017	5	5	8	888	888	0	88
ET081017	6	35	888	888	888	0	88
ET081018	1	44	888	888	888	0	88
ET081018	2	76	888	888	888	0	88
ET081018	3	44	888	888	888	0	88
ET081018	4	44	75	888	888	0	88
ET081019	1	44	888	888	888	0	88
ET081019	2	44	888	888	888	0	88
ET081019	3	76	75	888	888	0	88
ET081019	4	44	35	888	888	0	88
ET081020	1	44	96	888	888	0	88
ET081020	2	44	888	888	888	0	88
ET081021	1	44	888	888	888	0	88
ET081021	2	44	888	888	888	0	88
ET081021	3	35	888	888	888	0	88
ET081022	2	44	888	888	888	0	88
ET081022	3	75	888	10	888	1	4
ET081022	4	35	888	888	888	0	88
ET081022	5	35	888	888	888	0	88
ET081023	1	44	888	888	888	0	88
ET081023	3	44	75	888	888	0	88
ET081025	2	44	888	888	888	0	88
ET081025	3	44	888	888	888	0	88
ET081025	4	75	888	50	72	1	4
ET081025	6	75	888	888	888	0	88
ET081026	1	44	888	888	888	0	88
ET081026	2	44	888	888	888	0	88
ET081026	3	75	888	888	888	0	88
ET081027	3	44	8	888	888	0	88
ET081028	1	44	888	888	888	0	88
ET081029	1	44	888	888	888	0	88
ET081029	2	35	888	888	888	0	88
ET081030	1	44	888	888	888	0	88
ET081030	2	44	888	888	888	0	88
ET081030	3	5	8	888	888	0	88
ET081031	1	44	888	888	888	0	88
ET081031	3	8	35	888	888	0	88
ET081032	2	35	888	888	888	0	88
ET081032	3	44	888	888	888	0	88
ET081033	1	44	888	888	888	0	88
ET081033	3	44	130	888	888	0	88
ET081033	4	75	888	10	50	1	2
ET081034	2	44	888	888	888	0	88
ET081034	3	44	888	888	888	0	88
ET081034	4	76	888	888	888	0	88
ET081035	2	44	888	888	888	0	88
ET081035	3	8	888	888	888	0	88
ET081035	5	44	888	888	888	0	88
ET081036	1	44	888	888	888	0	88
ET081036	2	44	888	888	888	0	88
ET081036	3	44	888	888	888	0	88
ET081036	4	8	888	888	888	0	88
ET081036	5	44	888	888	888	0	88
ET081037	2	44	888	888	888	0	88
ET081037	3	75	888	888	888	0	88
ET081038	2	44	888	888	888	0	88
ET081038	3	44	888	888	888	0	88
ET081038	4	44	888	888	888	0	88
ET081039	1	44	888	888	888	0	88
ET081040	1	44	888	888	888	0	88
ET081040	2	44	888	888	888	0	88
ET081040	3	75	888	888	888	0	88
ET081040	4	44	888	888	888	0	88
ET081041	1	44	888	888	888	0	88
ET081041	2	44	888	888	888	0	88
ET081041	3	44	888	888	888	1	4
ET081041	4	35	888	888	888	0	88
ET081042	2	76	888	888	888	0	88
ET081042	3	35	888	888	888	0	88
ET081042	4	76	888	888	888	0	88
ET081042	5	44	888	888	888	0	88
ET081043	1	44	888	888	888	0	88
ET081043	2	44	75	888	888	0	88
ET081043	3	8	35	888	888	0	88
ET081044	1	44	888	888	888	0	88
ET081045	1	44	888	888	888	0	88
ET081045	2	35	888	888	888	0	88
ET081045	3	5	44	888	888	0	88
ET081046	2	44	888	888	888	0	88
ET081046	3	44	35	888	888	0	88
ET081046	4	76	888	888	888	0	88
ET081046	5	44	888	888	888	0	88
ET081047	1	8	888	888	888	0	88
ET081048	1	44	888	888	888	0	88
ET081048	2	44	888	888	888	0	88
ET081048	3	35	888	888	888	0	88
ET081048	4	8	888	888	888	0	88
ET081048	5	8	888	888	888	0	88
ET081049	2	44	888	888	888	0	88
ET081049	3	44	888	888	888	0	88
ET081049	4	8	8	888	888	0	88
ET081049	5	35	8	888	888	0	88
ET081050	1	44	888	888	888	0	88
ET081050	2	76	888	888	888	0	88
ET081050	3	44	888	888	888	0	88
ET091001	1	44	888	888	888	0	88
ET091001	2	35	76	888	888	0	88
ET091001	3	75	888	888	888	0	88
ET091001	4	75	76	888	888	0	88
ET091001	5	75	5	888	888	0	88
ET091001	6	75	888	888	888	0	88
ET091002	1	44	888	888	888	0	88
ET091002	2	44	888	888	888	0	88
ET091002	3	44	888	888	888	0	88
ET091002	4	76	35	888	888	0	88
ET091002	5	75	5	888	888	0	88
ET091002	6	35	888	888	888	0	88
ET091002	7	75	35	888	888	0	88
ET091003	1	44	888	888	888	0	88
ET091003	2	75	35	888	888	0	88
ET091003	3	75	35	888	888	0	88
ET091003	4	75	888	888	888	0	88
ET091003	5	75	888	888	888	0	88
ET091003	6	75	888	888	888	0	88
ET091003	7	35	888	888	888	0	88
ET091003	8	35	888	888	888	0	88
ET091003	9	75	888	888	888	0	88
ET091003	10	75	888	888	888	0	88
ET091004	2	44	888	888	888	0	88
ET091004	3	75	35	888	888	0	88
ET091004	4	75	15	888	888	0	88
ET091004	5	76	35	888	888	0	88
ET091004	6	44	888	888	888	0	88
ET091004	7	75	888	888	888	0	88
ET091004	8	44	888	888	888	0	88
ET091005	1	44	888	888	888	0	88
ET091005	2	75	8	888	888	0	88
ET091005	3	44	888	888	888	0	88
ET091005	4	75	888	888	888	0	88
ET091005	5	5	888	888	888	0	88
ET091005	6	76	888	888	888	0	88
ET091005	7	75	888	888	888	0	88
ET091005	8	35	75	888	888	0	88
ET091005	9	75	888	888	888	0	88
ET091006	1	44	888	888	888	0	88
ET091006	2	75	888	888	888	0	88
ET091007	1	44	888	888	888	0	88
ET091007	2	44	35	888	888	0	88
ET091007	3	76	888	888	888	0	88
ET091007	4	75	888	888	888	0	88
ET091007	5	35	888	888	888	0	88
ET091008	1	44	888	888	888	0	88
ET091008	2	5	888	888	888	0	88
ET091008	3	75	35	888	888	0	88
ET091008	4	44	888	888	888	0	88
ET091009	1	44	888	888	888	0	88
ET091009	2	44	35	888	888	0	88
ET091009	3	75	888	888	888	0	88
ET091009	4	75	35	888	888	0	88
ET091009	5	35	5	888	888	0	88
ET091009	6	35	888	888	888	0	88
ET091009	7	75	888	888	888	0	88
ET091009	8	75	888	888	888	0	88
ET091010	1	44	888	888	888	0	88
ET091010	2	75	888	888	888	0	88
ET091010	3	75	888	888	888	0	88
ET091010	4	35	888	888	888	0	88
ET091010	5	75	888	888	888	0	88
ET091010	6	75	888	888	888	0	88
ET091010	7	76	888	888	888	0	88
ET091010	8	35	888	888	888	0	88
ET091011	2	35	888	888	888	0	88
ET091011	3	5	44	888	888	0	88
ET091011	4	75	888	888	888	0	88
ET091012	2	75	888	888	888	0	88
ET091012	3	75	888	888	888	0	88
ET091012	4	35	888	888	888	0	88
ET091013	2	75	888	888	888	0	88
ET091013	3	5	888	888	888	0	88
ET091014	1	75	888	888	888	0	88
ET091014	2	35	888	888	888	0	88
ET091014	3	35	888	888	888	0	88
ET091014	4	44	888	888	888	0	88
ET091014	5	35	888	888	888	0	88
ET091015	2	44	888	888	888	0	88
ET091015	3	75	888	888	888	0	88
ET091015	4	35	888	888	888	0	88
ET091015	5	75	888	888	888	0	88
ET091015	6	35	888	888	888	0	88
ET091015	10	8	888	888	888	0	88
ET091015	11	44	888	888	888	0	88
ET091016	1	44	888	888	888	0	88
ET091016	2	35	75	888	888	0	88
ET091016	3	76	888	888	888	0	88
ET091016	4	76	888	888	888	0	88
ET091016	5	76	888	888	888	0	88
ET091016	6	75	888	888	888	0	88
ET091016	7	75	888	888	888	0	88
ET091017	1	44	888	888	888	0	88
ET091017	2	75	888	888	888	0	88
ET091017	3	35	76	888	888	0	88
ET091017	4	5	888	888	888	0	88
ET091017	5	44	888	888	888	0	88
ET091017	6	75	888	888	888	0	88
ET091017	7	75	35	888	888	0	88
ET091018	1	44	888	888	888	0	88
ET091018	2	50	75	888	888	0	88
ET091018	3	35	75	888	888	0	88
ET091018	4	35	75	888	888	0	88
ET091019	1	44	888	888	888	0	88
ET091019	2	75	35	888	888	0	88
ET091019	3	75	888	888	888	0	88
ET091019	4	75	888	888	888	0	88
ET091019	5	75	35	888	888	0	88
ET091019	6	35	888	888	888	0	88
ET091019	7	35	888	888	888	0	88
ET091019	8	75	888	888	888	0	88
ET091019	9	76	888	888	888	0	88
