CHILDID	PLOTID	LAREAR3	LUNITR3	LOWNR3	LUSER3	COLLATR3	TRANSR3	LNDCRTR3	SEECRTR3
ET041011	1	22	17	1	1	1	1	88	88
ET041012	1	500	17	1	1	1	0	88	88
ET041012	2	2	4	1	5	1	1	1	1
ET041014	1	200	17	1	1	1	1	88	88
ET041014	2	1.5	4	1	5	1	1	1	1
ET041014	3	2	4	4	5	0	0	2	88
ET041015	1	1	4	1	10	1	1	1	2
ET041015	2	84	17	1	1	1	1	88	88
ET041016	1	470	17	1	1	0	1	88	88
ET041017	1	400	17	1	1	1	1	88	88
ET041017	2	150	17	1	9	1	1	88	88
ET041018	1	350	17	1	1	1	1	88	88
ET041020	1	1	4	1	5	1	1	1	1
ET041020	2	150	17	1	1	1	1	88	88
ET041021	1	3	4	1	10	0	1	1	1
ET041021	2	3.6	17	1	3	1	1	88	88
ET041022	1	3	4	1	5	1	1	2	88
ET041022	2	2	4	1	5	1	1	2	88
ET041022	3	2	4	1	5	1	1	2	88
ET041022	4	2	4	1	5	1	1	2	88
ET041022	5	1000	17	1	2	1	1	2	88
ET041023	1	1	4	1	11	0	1	2	88
ET041025	1	700	17	1	1	1	1	88	88
ET041026	1	300	17	1	1	0	1	88	88
ET041026	2	1	4	1	10	0	1	2	2
ET041028	1	2	4	1	10	1	1	1	2
ET041029	1	250	17	1	1	1	1	88	88
ET041030	1	4	4	1	10	0	1	1	1
ET041030	2	150	17	1	1	1	1	88	88
ET041031	1	100	17	1	1	1	1	88	88
ET041032	1	1	4	1	5	1	1	1	2
ET041033	1	150	17	1	1	1	1	88	88
ET041033	2	20	17	1	7	1	1	88	88
ET041034	1	1	4	1	5	0	1	1	1
ET041034	2	1	4	1	5	0	1	1	1
ET041034	3	250	17	1	1	0	1	88	88
ET041035	1	150	17	1	1	1	1	88	88
ET041037	1	20.5	17	1	1	0	0	88	88
ET041040	1	100	17	3	1	0	0	88	88
ET041041	1	1	4	1	10	0	1	1	1
ET041044	1	200	17	1	1	1	1	88	88
ET041044	2	1	4	1	10	1	0	2	2
ET041045	1	266	17	1	3	1	1	88	88
ET041045	2	1	4	1	10	1	1	1	2
ET041046	1	48	17	2	1	0	0	2	88
ET041047	1	20	17	1	1	1	1	2	88
ET041047	2	400	17	1	11	1	1	2	88
ET041047	3	5000	17	1	10	1	1	2	88
ET041047	4	42	17	1	8	1	1	2	88
ET041048	1	250	17	1	1	1	1	88	88
ET041049	1	1	9	1	10	1	1	1	2
ET041050	1	2	4	1	10	0	1	1	1
ET051001	1	225	17	1	2	1	1	88	88
ET051001	2	3	4	1	10	1	1	1	1
ET051002	1	2.5	4	1	5	1	1	2	88
ET051002	2	2	4	1	10	1	1	2	88
ET051002	3	25	17	2	1	0	0	88	88
ET051003	1	16	17	3	1	0	0	88	88
ET051004	1	250	17	1	2	1	1	2	2
ET051004	2	1	4	1	5	1	1	1	1
ET051004	3	1	4	1	5	1	1	1	1
ET051004	4	1	4	1	5	1	1	1	1
ET051005	1	50	17	2	1	0	0	88	88
ET051005	2	171	17	1	11	1	1	88	88
ET051006	1	150	17	1	1	1	1	88	88
ET051006	2	.25	4	1	10	0	1	1	1
ET051006	3	.25	4	1	10	0	1	1	1
ET051006	4	.5	4	1	10	0	1	1	1
ET051006	5	.25	4	1	10	0	1	1	1
ET051006	6	.25	4	1	10	0	1	1	1
ET051006	7	.25	4	1	10	0	1	1	1
ET051007	1	3	4	1	5	1	1	1	1
ET051007	2	2.5	4	4	5	0	0	77	88
ET051007	3	1	4	4	5	0	0	77	88
ET051007	4	400	17	1	1	1	1	88	88
ET051008	1	1	4	1	10	1	1	1	1
ET051009	1	1	4	1	2	1	1	1	2
ET051009	2	1	4	1	11	1	1	1	2
ET051009	3	3	4	1	5	1	1	1	2
ET051009	4	2	4	1	10	1	1	1	2
ET051010	1	2	4	1	10	1	1	1	2
ET051010	2	16	17	2	1	0	0	88	88
ET051011	1	.5	4	1	10	1	1	1	1
ET051011	2	500	17	1	1	1	1	88	88
ET051012	1	35	17	2	1	0	0	88	88
ET051013	1	28	17	1	1	1	1	2	88
ET051013	2	1	4	1	11	1	1	1	2
ET051013	3	35	17	1	1	1	1	2	88
ET051014	1	60	17	1	9	1	1	2	88
ET051014	2	30	17	2	1	0	0	2	88
ET051015	1	30	17	1	1	1	1	88	88
ET051015	2	1	4	1	10	1	1	1	2
ET051016	1	150	17	1	1	1	1	2	88
ET051016	2	1.5	4	1	5	1	1	1	1
ET051017	1	1	4	1	10	1	1	1	1
ET051017	2	6	17	1	1	1	1	1	1
ET051017	3	24	17	1	9	1	1	1	1
ET051018	1	400	17	1	2	1	1	2	88
ET051018	2	2	4	1	5	1	1	1	1
ET051018	3	1	4	1	5	1	1	1	1
ET051019	1	35	17	2	1	0	0	88	88
ET051019	2	150	17	1	8	1	1	88	88
ET051019	3	400	17	2	8	0	0	88	88
ET051019	4	75	17	2	8	0	0	88	88
ET051019	5	200	17	2	8	0	0	88	88
ET051021	1	2	4	1	10	1	1	1	2
ET051021	2	1	4	1	10	1	1	1	2
ET051021	3	60	17	2	1	0	0	88	88
ET051022	1	50	17	1	1	1	1	88	88
ET051022	2	1	4	1	10	1	1	1	2
ET051023	1	150	17	1	1	1	1	88	88
ET051024	1	16	17	1	1	1	1	88	88
ET051024	2	1	4	1	10	1	1	1	2
ET051024	3	14	17	2	3	0	0	88	88
ET051025	1	150	17	1	1	1	1	88	88
ET051025	2	2	4	1	5	1	1	1	1
ET051025	3	1	4	1	10	1	1	1	1
ET051026	1	1	4	1	10	1	1	2	88
ET051026	2	72	17	1	1	1	1	88	88
ET051027	1	2	4	1	10	1	1	1	1
ET051028	1	42	17	1	1	1	1	88	88
ET051028	2	1	4	1	10	1	1	1	1
ET051029	1	35	17	2	1	0	0	88	88
ET051030	1	9	17	2	1	0	0	88	88
ET051030	2	150	17	1	11	1	1	2	88
ET051030	3	5000	17	1	10	1	1	1	1
ET051030	4	7500	17	1	10	1	1	1	1
ET051030	5	5000	17	1	10	1	1	1	1
ET051031	1	.25	4	1	5	1	1	1	2
ET051031	2	.25	4	1	5	1	1	1	2
ET051031	3	300	17	1	1	1	1	88	88
ET051032	1	.5	4	1	1	1	1	2	88
ET051032	2	2	4	1	5	1	1	2	88
ET051033	1	2.25	4	1	10	1	1	1	1
ET051033	2	200	17	1	2	1	1	88	88
ET051034	1	50	17	1	11	1	1	88	88
ET051035	1	.5	4	1	5	1	1	1	1
ET051035	2	.5	4	1	5	1	1	1	1
ET051035	3	.5	4	1	5	1	1	1	1
ET051035	4	.5	4	1	5	1	1	1	1
ET051035	5	.5	4	1	10	1	1	1	1
ET051035	6	3	4	4	5	0	0	88	88
ET051035	7	100	17	1	1	1	1	88	88
ET051036	1	1	4	1	5	1	1	1	1
ET051036	2	.25	4	1	5	1	1	1	1
ET051036	3	.25	4	1	5	1	1	1	1
ET051036	4	.25	4	1	5	1	1	1	1
ET051036	5	30	17	1	1	1	1	88	88
ET051037	1	150	17	1	1	1	1	88	88
ET051037	2	2	4	1	10	1	1	1	1
ET051037	3	1	4	1	10	1	1	1	1
ET051038	1	2	4	1	10	1	1	1	1
ET051038	2	100	17	2	1	0	0	88	88
ET051039	1	300	17	1	1	1	1	2	88
ET051039	2	2	4	1	5	1	1	1	1
ET051040	1	400	17	2	1	0	0	88	88
ET051040	2	2	4	1	5	1	1	1	2
ET051040	3	150	17	1	9	1	1	1	2
ET051040	4	2	4	1	5	1	1	1	2
ET051041	1	.25	4	1	10	1	1	1	1
ET051041	2	.25	4	1	10	1	1	1	1
ET051041	3	150	17	1	1	1	1	1	1
ET051042	1	16	17	1	1	1	1	2	88
ET051042	2	625	17	1	11	1	1	1	1
ET051042	3	2500	17	1	5	1	1	1	1
ET051042	4	625	17	1	5	1	1	1	1
ET051042	5	625	17	1	5	1	1	1	1
ET051043	1	100	17	1	1	1	1	2	88
ET051043	2	1	4	1	10	1	1	1	1
ET051044	1	3	4	1	5	1	1	1	1
ET051044	2	2	4	4	5	0	0	77	88
ET051044	3	100	17	1	2	1	1	88	88
ET051044	4	60	17	1	9	1	1	88	88
ET051045	1	42	17	1	1	1	1	88	88
ET051045	2	2	4	1	10	1	1	1	2
ET051045	3	2	4	1	10	1	1	1	2
ET051046	1	1	4	1	10	1	1	1	2
ET051046	2	1	4	1	10	1	1	1	2
ET051046	3	.5	4	1	10	1	1	1	2
ET051046	4	.5	4	1	10	1	1	1	2
ET051046	5	16	17	2	1	0	0	88	88
ET051047	1	100	17	1	1	1	1	2	88
ET051047	2	1	4	1	10	1	1	1	2
ET051048	1	200	17	1	1	1	1	88	88
ET051048	2	2	4	1	10	1	1	2	88
ET051048	3	2	4	4	5	0	0	88	88
ET051049	1	.5	4	1	2	1	0	1	1
ET051049	2	1	4	1	5	1	0	1	2
ET051049	3	1	4	1	10	1	0	1	2
ET051049	4	.5	4	1	5	1	0	1	2
ET051050	1	.5	4	1	5	1	1	1	2
ET051050	2	15	17	2	1	0	0	2	2
ET061002	1	1	4	1	2	1	1	1	1
ET061002	2	1	4	1	5	1	1	1	1
ET061002	3	.5	4	1	5	1	1	1	1
ET061002	4	.5	4	1	5	1	1	1	1
ET061002	5	.5	4	1	5	1	1	1	1
ET061002	6	.5	4	1	5	1	1	1	1
ET061002	7	.5	4	1	5	1	1	1	1
ET061002	8	.5	4	1	5	1	1	1	1
ET061002	9	.125	4	2	5	0	0	2	88
ET061003	1	.25	4	1	1	1	1	1	1
ET061003	2	1	4	1	5	1	1	1	1
ET061003	3	1	4	1	5	1	1	1	1
ET061003	4	1	4	1	5	1	1	1	1
ET061003	5	.5	4	1	5	1	1	1	1
ET061004	1	2	7	1	2	1	1	1	1
ET061004	2	2	7	1	5	1	1	1	1
ET061004	3	2	7	1	5	1	1	1	1
ET061004	4	1.5	7	1	5	1	1	1	1
ET061005	1	.25	4	1	1	1	1	1	1
ET061005	2	.5	4	1	5	1	1	1	1
ET061005	3	.5	4	1	5	1	1	1	1
ET061005	4	.5	4	1	5	1	1	1	1
ET061005	5	2	4	1	5	1	1	1	1
ET061005	6	.5	4	1	5	1	1	1	1
ET061005	7	2	4	4	5	0	0	2	88
ET061005	8	1	4	4	5	0	0	2	88
ET061005	9	.5	4	4	5	0	0	2	88
ET061005	10	.25	4	4	5	0	0	2	88
ET061007	1	1	4	1	2	0	1	1	1
ET061007	2	1000	11	1	10	0	1	1	1
ET061007	3	1000	11	1	13	0	1	1	1
ET061007	4	.25	4	1	10	0	1	1	1
ET061007	5	3	4	1	10	0	1	1	1
ET061007	6	2	4	1	10	0	1	1	1
ET061007	7	1	4	1	10	0	1	1	1
ET061008	1	1	7	1	2	1	1	2	88
ET061008	2	1	7	1	5	1	1	2	88
ET061008	3	1	7	1	5	1	1	2	88
ET061008	4	.5	7	1	5	1	1	2	88
ET061008	5	.5	7	1	5	1	1	2	88
ET061009	1	1	4	1	2	1	1	1	2
ET061009	2	1	4	1	6	1	1	1	2
ET061009	3	1	4	1	5	1	1	1	2
ET061009	4	1	4	1	5	1	1	1	2
ET061009	5	.5	4	2	5	0	0	2	88
ET061009	6	245	17	4	5	0	0	2	88
ET061010	1	1	7	1	2	1	1	1	1
ET061010	2	4	7	1	10	1	1	1	1
ET061010	3	2	7	1	10	1	1	1	1
ET061010	4	1	7	1	5	1	1	1	1
ET061010	5	.5	7	1	5	1	1	1	1
ET061010	6	1	7	1	5	1	1	1	1
ET061011	1	1	4	1	2	0	1	1	1
ET061011	2	1.5	4	1	5	0	3	1	1
ET061011	3	1	4	1	5	0	3	1	1
ET061011	4	2	4	1	5	0	3	1	1
ET061011	5	3	4	1	10	0	3	1	1
ET061011	6	3	4	1	10	0	3	1	1
ET061012	1	.25	4	1	1	1	1	1	1
ET061012	2	3	4	1	5	1	1	1	1
ET061012	3	5	4	1	10	1	1	1	1
ET061012	4	1	4	1	10	1	1	1	1
ET061012	5	2	4	1	5	1	1	1	1
ET061012	6	1	4	1	13	1	1	1	1
ET061014	1	.5	7	1	2	0	1	2	88
ET061014	2	.5	7	1	10	0	1	2	88
ET061014	3	.5	7	1	10	0	1	2	88
ET061014	4	.5	7	1	10	0	1	2	88
ET061014	5	2	7	1	10	0	1	2	88
ET061015	1	3	4	1	2	0	1	1	1
ET061015	2	2.5	4	1	10	0	1	1	1
ET061015	3	2	4	1	5	0	1	1	1
ET061015	4	.5	4	1	5	0	1	1	1
ET061015	5	.5	4	1	13	0	1	1	1
ET061015	6	1	4	1	5	0	1	1	1
ET061016	1	2	7	1	2	1	1	1	1
ET061016	2	2	7	1	5	1	1	1	1
ET061016	3	2	7	1	5	1	1	1	1
ET061016	4	1	7	4	5	88	0	2	88
ET061016	5	2	7	4	5	88	0	2	88
ET061018	1	1	7	1	2	0	1	1	2
ET061018	2	5	7	1	5	0	1	1	2
ET061019	1	1000	17	1	2	1	1	1	2
ET061019	2	2	7	1	5	1	1	1	2
ET061019	3	1	7	1	5	1	1	1	2
ET061019	4	1000	12	1	5	1	1	1	2
ET061019	5	2	7	1	5	1	1	1	2
ET061019	6	1	7	1	5	1	1	1	2
ET061019	7	1	7	4	5	0	0	2	88
ET061020	1	.5	4	1	2	0	1	1	1
ET061020	2	.5	4	1	5	0	3	1	1
ET061020	3	.5	4	1	5	0	3	1	1
ET061020	4	.5	4	1	5	0	3	1	1
ET061020	5	1.5	4	1	5	0	3	1	1
ET061020	6	.5	4	1	5	0	3	1	1
ET061020	7	.5	4	1	13	0	3	1	1
ET061020	8	.5	4	1	13	0	3	1	1
ET061020	9	.5	4	1	5	0	3	1	1
ET061020	10	.5	4	1	13	0	3	1	1
ET061020	11	4	4	1	5	0	3	1	1
ET061021	1	1	4	1	2	1	1	1	1
ET061021	2	1	4	1	5	1	1	1	1
ET061021	3	1	4	1	13	1	1	1	1
ET061021	4	3	4	1	5	1	1	1	1
ET061021	5	1	4	1	5	1	1	1	1
ET061021	6	.5	4	1	5	1	1	1	1
ET061021	7	.12	4	1	5	1	1	1	1
ET061021	8	1.5	4	4	5	0	0	2	88
ET061021	9	.5	4	4	5	0	0	2	88
ET061021	10	1.25	4	1	5	1	1	2	2
ET061022	1	2	7	1	2	1	1	2	88
ET061022	2	1	7	1	5	1	1	2	88
ET061022	3	1	7	1	5	1	1	2	88
ET061022	4	1	7	1	13	1	1	2	88
ET061022	5	1	7	1	5	1	1	2	88
ET061023	1	1	7	1	2	1	1	2	88
ET061023	2	4	7	1	5	1	1	2	88
ET061023	3	1	7	1	5	1	1	2	88
ET061023	4	1	7	1	5	1	1	2	88
ET061023	5	.5	7	1	5	1	1	2	88
ET061024	1	.5	7	1	2	1	1	1	88
ET061024	2	.5	7	1	5	1	1	1	88
ET061024	3	2	7	1	5	1	1	1	88
ET061024	4	3	7	4	5	0	0	2	88
ET061024	5	1	7	4	5	0	0	2	88
ET061025	1	1	4	1	10	0	1	1	2
ET061025	2	2	4	1	6	0	1	1	2
ET061025	3	1	4	1	10	0	1	1	2
ET061026	1	1	4	1	2	1	1	1	1
ET061026	2	1	4	1	5	1	1	1	1
ET061026	3	1	4	1	5	1	1	1	1
ET061026	4	.5	4	1	5	1	1	1	1
ET061026	5	1	4	1	5	1	1	1	1
ET061026	6	1	4	1	13	1	1	1	1
ET061027	1	.25	7	1	2	0	1	2	88
ET061027	2	1	7	1	5	0	1	2	88
ET061027	3	.5	7	1	5	0	1	2	88
ET061027	4	.5	7	1	5	0	1	2	88
ET061027	5	2	7	4	5	0	0	2	88
ET061027	6	2	7	4	5	88	88	2	88
ET061027	7	1	7	4	5	88	88	2	88
ET061028	1	.5	4	1	2	0	1	1	1
ET061028	2	.5	4	1	5	0	1	1	1
ET061028	3	2	4	1	5	0	1	1	1
ET061028	4	1	4	4	5	0	0	2	88
ET061028	5	1	4	4	5	0	0	2	88
ET061029	1	.5	7	1	2	1	1	1	1
ET061029	2	.5	7	1	5	1	1	1	1
ET061029	3	.5	7	1	5	1	1	1	1
ET061029	4	1	7	1	5	1	1	1	1
ET061029	5	1	7	1	10	1	1	1	1
ET061029	6	1	7	1	10	1	1	1	1
ET061029	7	.5	7	1	10	1	1	1	1
ET061029	8	2	7	1	10	1	1	1	1
ET061029	9	.5	7	4	5	0	0	2	88
ET061031	1	1	7	1	2	0	1	2	88
ET061031	2	1	7	1	10	0	1	2	88
ET061031	3	1.5	7	1	10	0	1	2	88
ET061033	1	.25	4	1	1	1	1	1	2
ET061033	2	6	4	1	5	1	1	1	2
ET061033	3	2	4	1	5	1	1	1	2
ET061033	4	1	4	4	5	0	0	2	88
ET061034	1	.5	7	1	2	1	1	1	2
ET061034	2	1	7	1	5	1	1	1	2
ET061034	3	.5	7	1	5	1	1	1	2
ET061034	4	1	7	1	5	1	1	1	2
ET061034	5	.5	7	1	5	1	1	1	2
ET061034	6	.25	7	1	5	1	1	1	2
ET061034	7	1	7	4	5	0	0	2	88
ET061034	8	1	7	4	5	0	0	2	88
ET061034	9	.25	7	4	5	0	0	2	88
ET061036	1	2	4	1	2	0	1	1	1
ET061036	2	2	4	1	5	0	1	1	1
ET061036	3	1	4	1	5	0	1	1	1
ET061036	4	2	4	1	5	0	1	1	1
ET061036	5	2	4	1	5	0	1	1	1
ET061036	6	2	4	1	5	0	1	1	1
ET061036	7	2	4	1	5	0	1	1	1
ET061037	1	1	7	1	2	1	1	1	1
ET061037	2	1	7	1	10	1	1	1	1
ET061037	3	1	7	1	10	1	1	1	1
ET061037	4	1	7	1	10	1	1	1	1
ET061038	1	.33	4	1	2	0	1	1	1
ET061038	2	1	4	1	5	0	3	1	1
ET061038	3	1	4	1	5	0	3	1	1
ET061038	4	1	4	1	13	0	3	1	1
ET061038	5	.5	4	1	5	0	3	1	1
ET061038	6	1	4	1	5	0	3	1	1
ET061038	7	.5	4	1	5	0	3	1	1
ET061038	8	.5	4	1	10	0	3	1	1
ET061039	1	1.25	4	1	2	1	1	1	1
ET061039	2	.5	4	1	5	1	1	1	1
ET061039	3	.25	4	1	6	1	1	1	1
ET061039	4	.5	4	1	5	1	1	1	1
ET061039	5	1	4	4	5	0	0	2	88
ET061039	6	1	4	4	5	0	0	2	88
ET061040	1	.5	7	1	5	1	1	2	88
ET061040	2	100	17	3	5	88	0	2	88
ET061040	3	.25	7	2	1	88	0	2	88
ET061041	1	.5	7	1	2	0	0	2	88
ET061041	2	2	7	1	10	0	0	2	88
ET061041	3	1	7	1	10	0	0	2	88
ET061043	1	1	4	1	2	1	1	1	2
ET061043	2	1.5	4	1	5	1	1	1	2
ET061043	3	.5	4	1	5	1	1	1	2
ET061043	4	1	4	1	5	1	1	1	2
ET061043	5	1.5	4	4	5	0	0	2	2
ET061043	6	1	4	4	5	0	0	2	88
ET061043	7	.5	4	1	6	1	1	1	2
ET061043	8	.5	4	4	5	0	0	1	2
ET061044	1	.25	4	1	2	0	1	1	1
ET061044	2	.33	4	1	5	0	3	1	1
ET061044	3	.25	4	1	5	0	3	1	1
ET061044	4	.25	4	1	13	0	3	1	1
ET061044	5	1	4	1	5	0	3	1	1
ET061044	6	.33	4	1	5	0	3	1	1
ET061044	7	2	4	4	5	0	0	2	88
ET061044	8	1	4	4	5	0	0	2	88
ET061044	9	2	4	4	13	0	0	2	88
ET061044	10	2	4	4	13	0	0	2	88
ET061046	1	1	7	1	2	1	1	1	2
ET061046	2	1	7	1	5	1	1	1	2
ET061046	3	2	7	1	5	1	1	1	2
ET061046	4	1	7	4	5	0	0	2	88
ET061047	1	.5	7	1	2	1	1	1	1
ET061047	2	2	7	1	5	1	1	1	1
ET061047	3	4	7	1	5	1	1	1	1
ET061047	4	1	7	1	5	1	1	1	1
ET061047	5	.5	7	1	5	1	1	1	1
ET061047	6	1	7	1	5	1	1	1	1
ET061047	7	1	7	1	5	1	1	1	1
ET061047	8	1	7	1	5	1	1	1	1
ET061047	9	.5	7	1	5	1	1	1	1
ET061047	10	.5	7	1	5	1	1	1	1
ET061049	1	.5	7	1	2	1	1	2	88
ET061049	2	1	7	1	5	1	1	2	88
ET061049	3	1	7	1	5	1	1	2	88
ET061049	4	1	7	1	5	1	1	2	88
ET061050	1	1	7	1	2	1	1	1	1
ET061050	2	1	7	1	5	1	1	1	1
ET061050	3	.25	7	1	5	1	1	1	1
ET061050	4	.5	7	1	5	1	1	1	1
ET061050	5	.25	7	1	13	1	1	1	1
ET061050	6	1	7	1	5	1	1	1	1
ET061050	7	2	7	4	5	0	0	2	88
ET061050	8	720	17	4	5	0	0	2	88
ET061050	9	480	17	4	5	0	0	2	88
ET061051	1	3	4	1	2	0	1	1	1
ET061051	2	2	4	1	10	0	3	1	1
ET061051	3	1.5	4	1	5	0	3	1	1
ET061051	4	.5	4	1	5	0	3	1	1
ET061051	5	2	4	1	10	0	3	1	1
ET061051	6	1	4	1	5	0	3	1	1
ET061051	7	1	4	1	5	0	3	1	1
ET061051	8	1	4	1	13	0	3	1	1
ET061052	1	4	7	1	2	0	0	2	88
ET061052	2	1	7	1	5	0	0	2	88
ET061052	3	.5	7	1	5	0	0	2	88
ET061052	4	.5	7	1	5	0	0	2	88
ET061052	5	.5	7	4	5	0	0	2	88
ET061053	1	1	7	1	2	1	1	1	1
ET061053	2	1.5	7	1	5	1	1	1	1
ET061053	3	.5	7	1	5	1	1	1	1
ET061053	4	1.25	7	1	13	1	1	1	1
ET061053	5	.5	7	1	5	1	1	1	1
ET061053	6	1.5	7	1	5	1	1	1	1
ET061053	7	1	7	1	5	1	1	1	1
ET061053	8	.25	7	1	5	1	1	1	1
ET061053	9	1	7	4	5	0	0	2	88
ET061053	10	.5	7	4	5	0	0	2	88
ET061053	11	1	7	4	5	0	0	2	88
ET061054	1	.25	4	1	1	1	1	1	2
ET061054	2	.75	4	1	10	1	1	1	2
ET061054	3	3	4	1	10	1	1	1	2
ET061054	4	1.5	4	1	10	1	1	1	2
ET061056	1	.125	4	2	1	0	0	2	88
ET061056	2	.25	4	1	1	1	1	1	1
ET061056	3	1	4	1	10	1	1	1	1
ET061056	4	2	4	1	10	1	1	1	1
ET061056	5	1	4	1	11	1	1	1	1
ET061057	1	1	7	1	1	1	1	1	2
ET061057	2	4	7	1	10	1	1	1	2
ET061057	3	2	7	1	9	1	1	1	2
ET061058	1	.25	7	1	2	1	1	1	1
ET061058	2	2	7	1	5	1	1	1	1
ET061058	3	.25	7	1	5	1	1	1	1
ET061058	4	.25	7	1	10	1	1	1	1
ET061058	5	2	7	1	10	1	1	1	1
ET061059	1	.25	7	1	1	1	1	1	1
ET061059	2	1	7	1	10	1	1	1	1
ET061059	3	1	7	1	10	1	1	1	1
ET061059	4	.5	7	1	10	1	1	1	1
ET061059	5	1	7	1	10	1	1	1	1
ET071001	1	.5	4	1	2	0	1	1	1
ET071001	2	1.5	4	1	5	0	1	1	1
ET071001	3	.5	4	1	5	0	1	1	1
ET071001	4	.5	4	1	5	0	1	1	1
ET071001	5	.5	4	4	5	0	0	1	1
ET071002	1	.25	4	1	1	1	1	1	1
ET071002	2	2.5	4	1	5	1	1	1	1
ET071002	3	1	4	1	5	1	1	1	1
ET071002	4	1	4	1	5	1	1	1	1
ET071002	5	1	4	1	5	1	1	1	1
ET071002	6	1.5	4	4	5	0	0	2	88
ET071002	7	1	4	4	5	0	0	2	88
ET071003	1	.5	4	1	2	1	1	1	1
ET071003	2	1	4	1	5	1	1	1	1
ET071003	3	.5	4	1	5	1	1	1	1
ET071003	4	.5	4	1	5	1	1	1	1
ET071003	5	2.5	4	1	5	1	1	1	1
ET071003	6	3	4	1	5	1	1	1	1
ET071003	7	1	4	4	5	88	0	77	88
ET071003	8	1	4	4	5	88	0	77	88
ET071003	9	2	4	4	5	88	0	77	88
ET071003	10	2	4	4	5	88	0	77	88
ET071003	11	.5	4	4	5	88	0	77	88
ET071003	12	1	4	4	5	88	0	77	88
ET071003	13	105	17	1	3	1	1	2	88
ET071004	1	.5	4	1	1	1	1	1	1
ET071004	2	1.5	4	1	5	1	1	1	1
ET071004	3	1	4	1	5	1	1	1	1
ET071004	4	.25	4	1	5	1	1	1	1
ET071004	5	.5	4	1	5	1	1	1	1
ET071004	6	.25	4	1	5	1	1	1	1
ET071004	7	1	4	4	5	0	0	2	88
ET071004	8	1	4	4	5	0	0	2	88
ET071005	1	1	4	1	5	1	1	1	1
ET071005	2	2	4	1	5	1	1	1	1
ET071005	3	1	4	1	5	1	1	1	1
ET071005	4	.5	4	1	2	1	1	1	1
ET071006	1	.5	4	1	2	1	1	1	1
ET071006	2	2	4	1	5	1	1	1	1
ET071006	3	1.5	4	1	5	1	1	1	1
ET071006	4	.5	4	1	5	1	1	1	1
ET071006	5	2	4	4	5	0	0	2	88
ET071006	6	1	4	4	5	0	0	2	88
ET071006	7	1	4	4	5	0	0	2	88
ET071007	1	.5	4	1	1	1	1	1	1
ET071007	2	1	4	1	5	1	1	1	1
ET071007	3	.5	4	1	5	1	1	1	1
ET071007	4	.5	4	1	5	1	1	1	1
ET071007	5	.5	4	1	5	1	1	1	1
ET071007	6	.5	4	1	9	1	1	2	2
ET071008	1	.5	4	1	1	0	1	2	2
ET071008	2	4	4	1	5	0	1	2	2
ET071008	3	2	4	1	5	0	1	2	2
ET071008	4	2	4	1	5	0	1	2	2
ET071009	1	.5	4	1	2	1	1	1	1
ET071009	2	2	4	1	5	0	3	1	1
ET071009	3	1	4	1	5	0	3	1	1
ET071009	4	1	4	1	5	0	3	1	1
ET071009	5	1	4	1	5	0	3	1	1
