CHILDID	LOANID	GAVCRDR3	TKEOUTR3	AMTCRDR3	LOANMTR3	LOANYRR3	LNOLSTR3	PYBACKR3	AMTPAYR3	MTLASTR3	YRLASTR3	NOBACKR3	WHORCVR3
ET011037	2	7	19	2000	12	2001	24	1	600	1	2002	88	2
ET011038	1	10	4	600	5	2001	77	1	200	2	2002	88	2
ET011038	2	8	2	600	9	2001	77	1	0	88	 	88	2
ET011040	1	5	8	4000	4	2001	12	1	0	88	 	12	1
ET011042	1	10	10	8000	10	1996	77	1	7400	7	2000	88	2
ET011044	1	7	19	1000	1	2002	6	1	375	4	2002	88	1
ET011046	1	5	13	3000	4	2001	45	1	600	4	2002	88	2
ET011048	1	6	15	1500	1	1999	18	0	1500	8	2000	88	2
ET011048	2	6	15	1000	1	2002	12	1	600	3	2002	88	2
ET011049	1	10	6	200	7	2001	2	0	200	9	2001	88	2
ET021001	1	5	4	2000	8	2001	12	1	204	9	2001	6	3
ET021004	1	4	3	600	10	2001	12	1	120	2	2002	88	2
ET021008	1	7	10	4000	3	2000	24	0	4000	3	2002	88	2
ET021009	1	10	2	600	1	2002	77	1	500	5	2002	88	2
ET021014	1	7	19	10000	1	2000	24	1	7000	1	2002	88	2
ET021015	1	7	2	1000	8	2001	11	1	304	2	2002	88	1
ET021023	1	10	8	500	11	2000	3	0	500	1	2001	88	2
ET021025	1	2	6	350	2	2002	12	1	76	3	2002	88	2
ET021030	1	8	4	500	4	2001	77	1	0	88	 	3	2
ET021034	1	2	15	800	12	2001	8	1	300	3	2002	88	1
ET021041	1	7	19	4000	1	2002	20	1	267	2	2002	88	1
ET021043	1	7	3	850	1	1999	12	0	850	1	2000	88	2
ET021045	1	5	10	3000	12	2001	12	1	1800	2	2002	12	2
ET021046	1	7	2	3000	3	2001	24	1	2160	2	2002	8	2
ET021047	1	7	8	3000	6	1999	6	0	3000	2	2000	11	1
ET021050	1	8	10	5000	9	2001	88	1	0	88	 	11	5
ET031002	1	8	19	30000	8	1998	12	1	25000	12	2001	6	1
ET031004	1	10	8	1000	1	1999	12	0	1000	1	2000	88	2
ET031004	2	7	10	5000	11	2001	18	1	2500	12	2001	88	3
ET031006	1	6	10	300000	10	2001	40	1	20000	1	2002	88	1
ET031009	1	7	2	1000	3	2001	18	1	700	77	2002	88	1
ET031011	1	7	4	2000	5	2001	24	1	1500	2	2002	88	2
ET031012	1	5	19	2000	9	2001	16	1	1050	3	2002	88	2
ET031014	1	2	15	2500	1	2001	18	1	900	3	-77	12	2
ET031016	1	2	19	1500	12	2001	12	1	0	88	 	88	2
ET031017	1	10	15	400	1	2002	3	0	400	4	-77	88	2
ET031019	1	10	2	100	4	2002	1	0	100	4	2002	88	2
ET031019	2	10	10	150	4	2002	1	0	150	4	2002	88	2
ET031022	1	7	7	12000	5	2000	60	1	7000	12	2001	88	1
ET031027	1	7	10	2000	8	2000	12	1	1000	3	2001	12	1
ET031029	1	9	3	2000	7	2000	36	1	800	2	2002	88	2
ET031031	1	10	2	500	7	2001	2	0	500	9	2001	88	2
ET031036	1	2	8	3060	10	2001	10	1	3015	3	2002	88	1
ET031037	1	7	5	6000	12	2001	12	1	2720	2	2002	88	1
ET031039	1	7	3	2500	4	2001	20	1	1800	12	2002	88	2
ET031042	1	8	4	6000	77	1999	48	1	3500	1	2002	11	2
ET031045	1	10	2	900	9	2001	1	1	0	88	 	12	3
ET031046	1	7	3	2500	10	2000	12	0	2500	3	2002	3	2
ET031047	1	7	4	2000	10	2001	12	1	900	1	2002	88	2
ET031050	1	10	6	1500	2	2002	11	1	850	1	2002	3	1
ET041001	1	7	1	1300	77	1998	12	0	1300	77	1999	88	2
ET041003	1	9	7	800	9	2000	4	1	520	11	2001	11	1
ET041005	1	7	19	2000	3	2000	12	0	2448	3	2001	88	2
ET041005	2	7	19	1000	11	2001	12	1	400	11	2001	11	2
ET041006	1	2	1	600	11	1999	4	1	400	4	2000	2	5
ET041006	2	2	4	200	1	2002	3	0	200	3	2002	88	5
ET041007	1	7	19	300	1	2002	3	1	0	88	 	88	1
ET041010	1	6	19	5000	5	2001	12	1	3750	3	2002	88	1
ET041010	2	8	19	800	10	1999	36	1	0	88	 	88	1
ET041011	1	7	15	6000	1	1997	60	0	6000	2	2002	88	2
ET041012	1	10	16	900	1	1999	2	1	0	88	 	11	2
ET041015	1	7	8	6000	2	2000	24	1	2000	1	2002	3	4
ET041016	1	7	5	3000	4	2001	24	1	0	88	 	88	21
ET041016	2	7	5	3000	4	2001	24	1	0	88	 	88	16
ET041018	1	7	4	400	8	2000	4	0	400	12	2000	88	1
ET041018	2	4	13	400	5	2001	2	0	400	7	2001	88	1
ET041020	1	7	19	8000	10	2001	24	1	2000	2	2002	88	2
ET041021	1	3	8	8700	10	2001	24	1	1800	2	2002	88	3
ET041021	2	10	2	3700	1	2001	12	1	900	2	2002	11	3
ET041022	1	10	1	600	5	2002	1	0	600	6	2002	88	5
ET041024	1	8	3	60	1	2002	3	1	0	88	 	11	1
ET041025	1	8	15	400	9	2001	6	1	200	1	2002	11	2
ET041026	1	7	1	6000	9	2001	12	1	3600	1	2002	88	1
ET041029	1	7	19	10000	3	2001	24	1	5000	2	2002	88	1
ET041031	1	7	8	7000	4	1999	60	1	2000	10	2001	88	1
ET041032	1	10	15	200	5	2001	3	1	0	88	 	11	2
ET041033	1	7	19	3000	4	1999	12	0	3600	4	2000	88	1
ET041034	1	7	1	945	6	1997	36	1	200	10	1999	11	1
ET041035	1	7	3	10000	4	2000	24	1	9874	2	2002	88	1
ET041037	1	5	19	1000	2	2002	12	1	0	88	 	88	2
ET041042	1	8	7	1000	7	2001	77	1	0	88	 	88	1
ET041043	1	4	4	15000	3	2001	1	0	15000	4	2001	88	1
ET041043	2	10	16	3000	11	2001	5	1	0	88	 	11	1
ET041043	3	10	16	1500	11	2001	5	1	0	88	 	11	1
ET041043	4	10	16	1000	11	2001	5	1	0	88	 	11	1
ET041047	1	1	1	1500	10	1999	36	1	750	10	2000	9	1
ET041047	2	7	10	5000	10	2001	12	1	2500	3	2002	88	1
ET041048	1	7	8	2000	1	2001	24	1	1600	3	2002	88	1
ET051001	1	7	8	2000	1	2000	36	1	400	2	2002	88	2
ET051002	1	10	15	80	1	2002	6	1	0	88	 	11	2
ET051006	1	5	1	2000	9	1999	60	1	0	88	 	11	2
ET051007	1	7	4	2000	10	2000	48	1	0	88	 	11	2
ET051008	1	6	19	1500	10	2001	24	0	0	88	 	88	1
ET051010	1	7	4	2000	10	1999	36	1	1574.4	11	2001	88	2
ET051011	1	7	14	900	8	2000	36	1	420	8	2001	88	1
ET051014	1	6	2	1700	10	2001	48	1	0	88	 	88	1
ET051015	1	5	4	2000	10	2000	60	1	0	88	 	11	1
ET051016	1	7	8	675	10	1999	36	0	700	10	2001	88	1
ET051017	1	7	4	1500	11	1999	36	1	608	2	2002	88	1
ET051018	1	7	1	900	8	2000	36	1	422	5	2001	88	1
ET051022	1	10	2	200	11	2001	77	1	0	88	 	88	1
ET051024	1	7	3	1000	10	2001	36	1	0	88	 	88	1
ET051025	1	7	1	1800	7	2001	24	1	0	88	 	88	1
ET051026	1	4	11	300	11	2001	77	0	0	88	 	11	1
ET051028	1	7	19	1500	10	1999	36	1	609	1	2002	88	1
ET051030	1	5	1	2000	9	2001	48	1	0	88	 	88	1
ET051032	1	6	1	1500	4	2001	36	1	0	88	 	88	1
ET051032	2	6	1	540	4	2000	36	0	540	4	2002	88	1
ET051034	1	6	8	2000	10	2001	60	1	0	88	 	88	1
ET051035	1	6	1	2000	10	2000	60	1	50	10	2002	88	1
ET051036	1	7	1	1000	11	1998	36	0	1080	11	2001	88	1
ET051036	2	5	1	900	8	2000	12	0	936	8	2001	88	1
ET051036	3	6	1	2000	11	2001	36	1	0	88	 	8	1
ET051039	1	10	19	4000	10	2001	24	1	2000	12	2001	88	1
ET051040	1	10	2	2000	7	2001	77	1	350	1	2002	88	1
ET051041	1	6	1	1500	10	2000	12	1	592	10	2001	4	3
ET051042	1	7	19	1500	10	2000	36	1	1140	10	2000	88	1
ET051042	2	7	1	1750	10	2001	36	1	0	88	 	88	2
ET051043	1	10	7	300	1	2002	5	1	20	3	2002	88	1
ET051044	1	7	14	1500	10	1999	24	0	1800	10	2001	88	2
ET051045	1	7	1	2000	10	1999	36	1	1000	6	2001	88	5
ET051046	1	10	2	300	1	2002	4	1	100	4	2002	88	1
ET051048	1	7	12	1500	5	2000	36	1	500	9	2001	88	1
ET051049	1	7	1	950	9	1999	48	1	0	88	 	12	1
ET051049	2	5	1	440	1	1999	36	1	0	88	 	11	2
ET051050	1	7	4	1500	10	1999	36	1	0	88	 	3	1
ET061002	1	7	13	2400	8	2001	12	1	0	88	 	88	1
ET061002	2	1	10	100	10	2001	24	1	0	88	 	88	1
ET061003	1	7	1	2400	9	1999	36	1	0	88	 	12	1
ET061004	1	6	1	1500	8	2001	36	1	0	88	 	11	1
ET061004	2	2	1	80	1	2002	6	1	0	88	 	88	17
ET061005	1	7	14	2800	8	2001	12	1	0	88	 	88	1
ET061007	1	7	8	5000	10	2001	36	1	0	88	 	88	1
ET061008	1	7	1	900	9	1999	12	0	144	9	2000	88	1
ET061008	2	7	1	1200	9	2000	12	0	1392	9	2001	88	1
ET061008	3	7	18	2100	9	2001	12	1	0	88	 	88	1
ET061008	4	6	12	3000	10	1999	24	0	3120	10	2001	88	1
ET061008	5	6	8	4000	10	2001	48	1	0	88	 	88	1
ET061009	1	3	14	3500	10	1999	36	1	2700	7	2001	88	1
ET061009	2	3	14	5000	9	2001	36	1	0	88	 	88	1
ET061009	3	7	1	2600	9	2001	12	1	0	88	 	88	1
ET061010	1	7	1	1000	9	1998	12	0	1180	9	1999	88	2
ET061010	2	7	1	1000	9	1999	12	0	1180	9	2000	88	2
ET061010	3	7	1	1300	9	2000	12	0	1234	9	2001	88	2
ET061011	1	7	14	600	7	1998	12	0	690	7	1999	88	1
ET061011	2	7	14	1000	7	1999	12	0	1180	7	2000	88	1
ET061011	3	7	14	1700	7	2000	12	0	2007	7	2001	88	1
ET061011	4	7	14	2000	7	2001	12	1	0	88	 	88	1
ET061012	1	7	14	3000	8	2001	12	1	0	88	 	88	1
ET061012	2	7	14	2000	5	2000	12	1	0	88	 	88	1
ET061014	1	7	18	2500	8	2001	12	1	0	88	 	88	2
ET061015	1	7	14	3000	6	2001	12	1	0	88	 	88	1
ET061015	2	1	14	1800	6	2000	12	1	0	88	 	4	1
ET061015	3	1	1	250	2	2000	12	1	0	88	 	6	1
ET061016	1	7	1	2000	10	2000	12	0	2360	8	2000	88	2
ET061016	2	7	1	2000	8	2001	12	1	0	88	 	88	2
ET061018	1	2	1	1000	12	1999	36	1	0	88	 	88	1
ET061018	2	10	1	300	2	2001	1	0	300	3	2001	88	1
ET061019	1	2	1	1000	10	1998	36	1	0	88	 	8	1
ET061019	2	7	2	2000	8	2000	12	0	2364	8	2001	88	2
ET061019	3	7	2	2000	8	2001	12	1	0	88	 	88	2
ET061020	1	7	14	2000	9	2000	12	0	2060	8	2001	88	1
ET061020	2	7	14	2500	9	2001	12	1	200	3	2002	88	1
ET061021	1	2	1	152	11	2001	8	1	82	11	2001	88	1
ET061022	1	2	1	1350	1	2000	48	1	90	2	2002	88	1
ET061023	1	7	8	2000	8	2000	12	0	2400	8	2001	88	2
ET061023	2	7	4	2000	8	2001	12	1	0	88	 	88	2
ET061024	1	7	2	1000	7	2001	12	1	90	4	2001	88	1
ET061025	1	7	19	1500	9	2000	12	0	1500	8	2001	88	1
ET061026	1	2	1	800	9	1999	36	1	517.5	8	2001	2	1
ET061026	2	7	14	2800	9	2001	12	1	0	88	 	88	1
ET061028	1	7	14	3000	8	2001	12	1	0	88	 	88	1
ET061029	1	7	1	2200	9	2001	12	1	154	4	2002	88	2
ET061031	1	6	1	2500	10	2001	36	1	0	88	 	88	2
ET061033	1	7	15	3000	10	2001	12	1	0	88	 	88	1
ET061037	1	10	2	60	11	2001	6	0	60	4	2002	88	1
ET061038	1	6	14	1500	10	1999	36	1	420	6	2001	88	1
ET061038	2	7	14	800	6	1997	11	0	1100	5	1998	88	1
ET061038	3	7	14	1000	6	1998	11	0	1300	5	1999	88	1
ET061038	4	7	14	2000	6	1999	11	0	2600	5	2000	88	1
ET061038	5	7	14	2500	6	2000	11	0	3150	5	2001	88	1
ET061038	6	7	14	2000	6	2001	11	1	0	88	 	88	1
ET061039	1	7	14	700	9	1998	12	0	793	9	1999	88	1
ET061039	2	7	12	600	9	1999	12	0	693	9	2000	88	1
ET061039	3	7	14	2100	9	2000	12	0	2215	7	2001	88	1
ET061039	4	7	12	1100	9	2001	12	0	1115	2	2002	88	1
ET061040	1	8	19	700	4	2001	77	1	0	88	 	12	10
ET061041	1	7	14	2000	6	2001	12	1	0	88	 	88	16
ET061043	1	7	14	1600	7	2000	36	1	0	88	 	88	1
ET061043	2	2	1	300	11	2001	12	1	150	2	2002	88	1
ET061044	1	7	14	3000	8	2001	12	1	360	88	 	88	1
ET061044	2	7	14	1200	8	1997	12	0	1560	8	1998	88	1
ET061044	3	7	14	1500	8	1998	12	0	1950	8	1999	88	1
ET061044	4	7	14	1500	8	1999	12	0	1950	8	2000	88	1
ET061044	5	7	14	2000	8	2000	12	0	2600	8	2001	88	1
ET061046	1	1	1	300	10	2001	24	1	150	10	2001	88	1
ET061046	2	10	2	60	11	2001	4	1	0	88	 	12	1
ET061046	3	10	1	30	11	2001	4	1	30	3	2002	88	1
ET061047	1	8	10	1000	2	2002	77	0	1000	2	2002	88	1
ET061050	1	10	1	2000	2	2002	3	1	0	88	 	88	1
ET061050	2	7	14	2500	8	1998	12	0	2800	8	1999	88	1
ET061050	3	7	4	2500	8	1999	12	0	2800	8	2000	88	1
ET061050	4	7	1	3000	8	2000	12	0	3480	8	2001	88	1
ET061050	5	7	1	2300	8	2001	12	1	0	88	 	88	1
ET061050	6	2	1	180	10	1998	12	0	190	6	1999	88	1
ET061050	7	2	1	194	10	1999	12	0	205	6	2000	88	1
ET061050	8	2	1	198	10	2000	12	0	212.5	6	2001	88	1
ET061051	1	7	14	1600	8	1997	12	0	1888	8	1998	88	1
ET061051	2	7	14	2000	8	1998	12	0	2360	8	1999	88	1
ET061051	3	7	14	2000	8	1999	12	0	2360	8	2000	88	1
ET061051	4	7	14	2000	8	2000	12	0	2360	8	2001	88	1
ET061051	5	7	14	3000	8	2001	12	1	0	88	 	88	1
ET061052	1	7	4	3000	7	2001	12	1	0	88	 	88	1
ET061054	1	6	14	5000	10	2001	36	0	4500	10	2001	88	7
ET061056	1	6	8	2000	8	2001	48	1	0	88	 	88	1
ET061056	2	6	14	1500	9	1999	48	1	1125	3	2001	88	1
ET061057	1	7	2	1000	7	2001	12	1	0	88	 	88	1
ET061057	2	7	2	750	9	1999	10	0	885	7	2000	88	1
ET061057	3	7	2	1000	7	2000	12	0	1180	7	2001	88	1
ET061058	1	6	14	1500	4	1999	36	0	405	7	2001	3	1
ET061058	2	3	14	3000	9	2000	36	1	0	88	 	88	1
ET071004	1	7	8	1400	7	2000	36	1	930	6	2000	88	1
ET071004	2	6	12	1000	6	2001	12	1	0	88	 	88	1
ET071005	1	6	14	1500	8	2000	18	1	500	7	2001	6	1
ET071006	1	7	1	3000	6	2001	12	1	0	88	 	88	1
ET071008	1	8	8	1000	11	2001	1	1	500	88	 	2	1
ET071010	1	7	4	2000	6	2000	12	0	2300	6	2001	88	1
ET071010	2	7	4	2000	6	2001	12	1	0	88	 	88	1
ET071011	1	1	3	4580	11	2000	36	1	0	11	2001	88	2
ET071015	1	7	1	700	10	1998	24	1	260	1	2000	4	1
ET071018	1	6	1	1500	9	2001	36	1	0	88	 	88	2
ET071018	2	4	2	500	1	2002	77	1	0	88	 	2	2
ET071019	1	7	19	1600	6	2000	12	0	1600	6	2001	88	1
ET071020	1	6	19	1000	8	2001	36	1	0	88	 	88	1
ET071022	1	4	8	400	9	2001	2	1	0	88	 	4	1
ET071024	1	7	1	600	6	2001	12	1	72	1	2002	88	1
ET071029	1	6	16	2000	1	2000	48	1	0	88	 	88	1
ET071029	2	6	16	1500	1	1999	36	1	550	8	2001	2	1
ET071031	1	6	19	1500	3	2000	24	1	0	88	 	2	1
ET071034	1	7	2	1500	9	2000	12	1	0	88	 	2	1
ET071037	1	8	16	3000	1	2002	36	1	0	88	 	88	2
ET071039	1	6	8	1000	7	2000	36	1	0	88	 	88	1
ET071040	1	4	2	2000	8	2001	12	1	0	88	 	88	1
ET071041	1	6	14	1500	9	2000	36	1	500	9	2001	88	1
ET071042	1	1	1	5000	8	2000	36	1	2035.5	8	2001	88	2
ET071042	2	2	2	200	1	2002	3	1	6	2	2002	88	2
ET071043	1	6	12	1000	7	1997	60	1	880	7	2001	88	1
ET071047	1	7	8	1200	4	1998	24	0	1800	4	2000	88	1
ET071047	2	6	1	1000	7	2000	12	0	1050	7	2001	88	1
ET071047	3	4	6	1000	6	2001	77	1	0	88	 	88	1
ET071047	4	7	1	1200	6	2000	12	1	0	88	 	2	1
ET071048	1	7	15	3000	7	2001	36	1	150	1	2002	88	1
ET071049	1	6	1	1300	5	1997	36	0	1325	5	1998	88	1
ET071049	2	7	14	900	7	1997	36	0	1035	6	2000	88	1
ET071050	1	7	1	1000	8	1999	36	1	0	88	 	88	2
ET081002	1	2	1	2110	9	1999	88	1	0	88	 	8	1
ET081002	2	9	2	100	11	2001	3	1	0	88	 	8	2
ET081003	1	8	1	200	2	2002	1	1	0	88	 	11	1
ET081003	2	10	2	50	4	2000	1	0	50	5	2000	88	1
ET081003	3	8	7	100	11	2001	1	0	100	12	2001	88	2
ET081006	1	4	4	500	8	2000	5	0	600	3	2001	8	1
ET081009	1	7	6	100	1	2002	1	0	100	1	2002	88	1
ET081009	2	10	1	200	2	2002	1	1	0	88	 	11	1
ET081010	1	10	7	120	1	2002	1	1	0	88	 	6	1
ET081010	2	8	14	300	7	1999	88	1	0	88	 	77	1
ET081010	3	10	2	100	1	2001	88	1	0	88	 	77	1
ET081011	1	10	9	300	10	2001	3	0	300	1	2002	88	1
ET081012	1	9	10	600	11	2001	1	0	600	12	2001	88	2
ET081013	1	8	8	1200	1	2001	12	1	0	88	 	11	2
ET081014	1	5	1	900	5	1997	12	0	900	3	1999	4	1
ET081014	2	10	8	500	8	1999	12	0	500	12	1999	88	1
ET081015	1	10	6	90	7	1997	9	0	90	6	1998	88	2
ET081015	2	9	2	200	5	1998	7	0	200	2	1999	88	2
ET081016	1	5	1	1000	2	2000	60	1	400	2	2000	8	1
ET081016	2	5	1	1000	2	2000	60	1	600	77	2001	8	1
ET081017	1	8	1	200	1	2002	1	0	200	2	2002	88	1
ET081018	1	8	7	400	6	2001	77	1	200	1	2002	88	2
ET081018	2	8	7	250	12	2001	3	1	0	88	 	88	2
ET081019	1	8	1	900	8	1997	36	0	900	10	2000	88	1
ET081019	2	10	6	400	2	1999	3	0	400	3	1999	88	1
ET081019	3	5	10	2003	7	2000	24	1	1308	11	2001	8	1
ET081019	4	10	2	450	12	2000	3	1	0	3	2001	88	1
ET081020	1	7	1	2800	7	1999	12	1	0	88	 	2	2
ET081020	2	10	2	650	12	2001	4	1	0	88	 	8	2
ET081022	1	2	14	1200	2	1998	36	0	1200	2	2001	88	1
ET081022	2	10	10	1000	2	2001	0	0	1000	3	2001	88	1
ET081023	1	5	1	2500	8	2000	12	1	0	88	 	3	1
ET081023	2	2	8	160	7	1999	10	0	160	6	2000	88	1
ET081023	3	10	2	200	4	1999	2	0	200	6	1999	88	2
ET081023	4	10	11	150	3	2001	0	0	150	3	2001	88	2
ET081023	5	10	8	100	3	2001	0	0	100	3	2001	88	2
ET081025	1	4	1	600	5	2001	5	0	600	10	2001	88	1
ET081025	2	10	6	400	12	2001	5	1	0	88	 	8	1
ET081026	1	1	1	150	10	2001	6	1	0	88	 	2	1
ET081026	2	8	6	800	3	2001	1	1	0	88	 	11	1
ET081026	3	7	1	2850	10	1999	12	1	0	88	 	1	1
ET081027	1	10	18	400	6	2001	12	1	200	6	2002	8	2
ET081027	2	8	3	300	10	2001	2	0	300	1	2002	88	2
ET081027	3	9	4	300	12	2000	3	0	300	3	2001	88	2
ET081027	4	5	1	2500	8	1998	0	1	0	88	 	8	1
ET081028	1	9	7	2600	11	1999	2	1	200	1	2000	11	1
ET081029	1	7	1	2500	8	1998	12	1	0	88	 	4	1
ET081029	2	8	1	60	9	2001	1	0	60	10	2001	88	1
ET081029	3	10	2	200	8	2001	12	1	0	88	 	2	1
ET081029	4	4	2	100	12	2000	1	0	100	2	2001	88	2
ET081030	1	10	2	400	12	2001	3	1	0	88	 	11	1
ET081030	2	8	2	800	10	2001	6	1	0	88	 	11	1
ET081030	3	10	17	600	2	2002	5	1	0	88	 	11	1
ET081031	1	9	2	200	10	2001	4	0	200	2	2002	88	1
ET081031	2	10	7	100	8	2001	1	0	100	9	2001	88	1
ET081031	3	10	2	95	8	2001	2	1	0	88	 	11	1
ET081033	1	7	1	2500	7	1998	36	1	0	88	 	11	2
ET081033	2	5	1	306	3	1998	12	0	306	5	2000	88	2
ET081034	1	8	2	160	11	2001	5	1	0	88	 	8	2
ET081035	1	9	4	50	11	2001	80	1	0	88	 	88	1
ET081035	2	9	4	40	1	2002	3	1	0	88	 	8	1
ET081035	3	10	4	100	2	2002	88	1	0	88	 	88	1
ET081035	4	10	10	70	1	2002	1	0	70	2	2002	88	1
ET081037	1	10	7	50	2	2002	1	1	0	88	 	11	2
ET081037	2	10	6	300	4	1999	3	0	300	2	2000	88	1
ET081038	1	8	4	160	1	2002	1	0	160	2	2002	88	2
ET081039	1	10	4	150	12	2001	0	1	0	88	 	11	1
ET081039	2	10	4	50	9	2001	1	1	0	88	 	11	1
ET081039	3	10	4	100	2	2002	1	0	100	2	2002	88	1
ET081039	4	8	4	300	3	2002	10	1	0	88	 	8	1
ET081039	5	8	2	2000	2	1999	3	0	2000	2	1999	88	2
ET081040	1	8	2	100	12	2001	1	0	100	1	2002	88	1
ET081040	2	10	2	200	1	2002	2	1	0	88	 	11	2
ET081042	1	10	6	300	3	2000	1	0	300	7	2000	88	2
ET081043	1	8	16	300	1	2002	1	0	300	2	2002	88	1
ET081043	2	5	1	2500	10	1999	77	1	0	88	 	88	1
ET081045	1	9	7	230	5	1999	1	0	230	6	1999	88	2
ET081045	2	10	2	50	5	2000	1	0	50	6	2000	88	2
ET081046	1	8	13	150	11	2001	77	0	150	1	2002	88	2
ET081047	1	9	6	150	1	2002	4	1	0	88	 	6	2
ET081047	2	9	17	200	11	2001	1	1	0	88	 	88	1
ET081049	1	1	14	1420	9	1999	77	1	0	88	 	8	1
ET081050	1	10	7	200	9	2001	2	0	200	11	2001	88	1
ET091001	1	5	2	250	10	1998	6	0	300	4	1999	88	1
ET091002	1	7	3	1500	5	2000	12	0	1500	5	2001	88	2
ET091002	2	7	1	600	11	2001	12	1	600	88	 	8	2
ET091002	3	9	1	800	5	2001	77	0	800	10	2001	88	2
ET091003	1	7	1	2500	9	1997	77	1	2500	88	 	2	2
ET091005	1	7	1	700	11	2001	7	1	0	88	 	88	3
ET091005	2	10	1	120	5	2001	77	0	120	2	2002	88	3
ET091005	3	10	15	88	1	2002	77	0	88	3	2002	88	3
ET091006	1	8	4	50	1	2002	77	0	50	1	2002	88	1
ET091007	1	7	8	3000	8	2000	10	0	3315	4	2001	88	2
ET091007	2	7	19	1700	11	2001	6	1	0	88	 	11	2
ET091007	3	7	19	1000	8	1999	12	0	1105	8	2000	88	2
ET091007	4	7	19	800	9	1998	12	0	880	9	1999	88	2
ET091007	5	7	19	374	9	1997	12	0	409	9	1999	88	2
ET091008	1	8	2	50	4	2002	77	1	0	88	 	2	2
ET091009	1	8	1	1000	1	2001	2	1	500	3	2001	2	1
ET091011	1	7	1	400	10	2001	7	1	0	88	 	8	2
ET091012	1	8	3	1900	6	2001	77	1	0	88	 	6	6
ET091012	2	8	1	1000	6	2001	77	1	0	88	 	6	6
ET091012	3	7	1	10000	3	2001	12	0	11000	2	2002	88	6
ET091012	4	7	1	5000	3	2000	12	0	5000	2	2001	88	6
ET091013	1	7	19	700	3	1997	12	0	772.5	3	1998	88	2
ET091013	2	7	19	800	7	1998	12	0	884	7	1998	88	2
ET091013	3	7	19	1000	7	1999	12	0	1106	7	2000	88	2
ET091013	4	7	19	200	6	2000	12	0	2210	6	2001	88	2
ET091013	5	7	19	700	9	2001	12	1	0	88	 	11	2
ET091014	1	10	1	1000	5	1999	1	0	1000	6	1999	88	3
ET091014	2	10	1	400	1	2002	2	0	400	3	2002	88	3
ET091015	1	8	1	400	11	2001	6	1	88	88	 	11	2
ET091015	2	7	1	900	11	2001	6	1	200	2	2002	8	4
ET091016	1	10	7	500	12	2001	3	0	500	3	2002	88	1
ET091016	2	7	1	400	7	1998	12	0	400	5	1999	88	1
ET091016	3	7	1	400	11	2001	12	0	0	88	 	8	2
ET091016	4	7	1	900	11	2001	7	0	977	4	2002	88	0
ET091018	1	7	1	2200	6	2000	12	0	2200	6	2001	88	16
ET091018	2	7	1	1200	9	1998	12	0	1200	9	1999	88	16
ET091018	3	7	1	700	11	2001	12	1	0	88	 	8	16
ET091018	4	9	2	50	11	2001	6	1	0	88	 	8	16
