CHILDID	CROPID	CROPR3	QNTHRVR3	QNTUNTR3	VLSLDR3	CRPCSTR3
ET061021	5	79	3	2	1200	34
ET061021	6	55	4	2	360	135
ET061021	7	7	1	41	120	6
ET061021	8	15	3	2	900	60
ET061021	9	21	300	56	2000	0
ET061022	1	44	2	2	900	0
ET061022	2	7	2	2	5000	100
ET061022	3	8	5	69	1300	200
ET061022	4	20	6	69	900	150
ET061023	1	44	3	2	1380	100
ET061023	2	7	2	2	4000	80
ET061023	3	20	1	2	660	60
ET061023	4	79	4	2	2000	50
ET061023	5	8	2	2	1600	110
ET061024	1	76	1.5	2	1200	350
ET061024	2	79	1.5	2	605	90
ET061024	3	20	1.25	2	560	80
ET061024	4	15	1	41	300	70
ET061024	5	123	0	88	-88	-88
ET061024	6	44	4.5	2	360	80
ET061025	1	31	20	55	500	0
ET061026	1	44	2	2	680	40
ET061026	2	7	2	2	3000	45
ET061026	3	47	.5	2	325	30
ET061026	4	15	2	2	840	150
ET061026	5	76	6	1	345	90
ET061026	6	79	4	2	1520	64
ET061027	1	44	10	41	2500	70
ET061027	2	20	15	9	3000	100
ET061027	3	76	7	9	2600	130
ET061027	4	79	5	9	600	40
ET061028	1	44	1	2	350	70
ET061028	2	79	2	2	700	240
ET061028	3	20	1.5	2	630	135
ET061028	4	8	1	2	800	250
ET061028	5	15	.5	1	200	100
ET061028	6	50	4	2	1600	480
ET061029	1	76	1	2	800	160
ET061029	2	47	1	2	500	150
ET061029	3	20	2	2	860	90
ET061029	4	44	4	2	720	60
ET061029	5	125	.5	2	250	50
ET061029	6	7	1	2	1400	25
ET061029	7	5	0	88	-88	50
ET061029	8	8	0	88	-88	50
ET061031	1	44	5	41	1000	30
ET061031	2	7	.5	2	800	50
ET061033	1	8	2.6	2	2210	340
ET061033	2	20	2.5	2	1075	129
ET061033	3	15	90	1	540	180
ET061033	4	7	70	1	1050	45
ET061034	1	79	5	2	2500	200
ET061034	2	20	3	2	1650	85
ET061034	3	76	3.5	2	3500	300
ET061034	4	44	1.5	2	750	70
ET061034	5	125	1.5	2	900	90
ET061034	6	19	2	2	1200	90
