CHILDID	CROPID	CROPR3	QNTHRVR3	QNTUNTR3	VLSLDR3	CRPCSTR3
ET091036	5	76	4	2	3400	250
ET091037	1	44	25	2	10000	800
ET091037	2	5	12	2	4200	200
ET091037	3	76	20	2	20000	2500
ET091037	4	75	18	2	9000	1100
ET091037	5	35	24	2	9600	4500
ET091038	1	44	14	2	7000	0
ET091038	2	5	48	2	24960	590
ET091038	3	76	4	2	4400	240
ET091038	4	75	14	2	3640	420
ET091038	5	35	11	2	4180	200
ET091039	1	44	4	2	1280	150
ET091039	2	35	29	2	7250	600
ET091039	3	75	16	2	7040	450
ET091039	4	8	2	2	1200	19
ET091039	5	5	1	2	300	0
ET091039	6	76	4	2	3000	0
ET091040	1	44	1	2	400	0
ET091040	2	35	3	2	1080	0
ET091040	3	75	10.5	2	4725	436
ET091040	4	76	3	2	2700	245
ET091041	1	44	2	2	600	90
ET091041	2	75	5	2	2200	371
ET091041	3	35	15	2	4500	0
ET091042	1	44	1	2	280	64
ET091042	2	75	9	2	3150	605
ET091042	3	35	6.5	2	2145	0
ET091042	4	5	2	2	600	0
ET091043	1	44	5	2	1000	200
ET091043	2	76	5	2	3000	800
ET091043	3	5	3	2	900	0
ET091043	4	75	20	2	6000	3600
ET091043	5	35	9	2	3600	200
ET091043	6	50	15	2	2250	21050
ET091044	1	44	4.5	2	1800	0
ET091044	2	75	15	2	8250	2653
ET091044	3	35	6	2	1500	270
ET091045	1	44	3	2	1020	0
ET091045	2	75	12	2	4800	1898
ET091045	3	35	14	2	2800	920
ET091046	1	44	2	2	640	0
ET091046	2	5	5	2	3000	0
ET091046	3	35	12	2	5040	0
ET091046	4	75	35	2	15750	392
ET091046	5	76	3	2	2700	0
ET091046	6	8	3	2	2310	0
ET091047	1	44	4	2	1200	0
ET091047	2	75	16	2	4800	960
ET091047	3	5	6	2	1800	0
ET091047	4	35	5	2	1500	0
ET091048	1	44	40.5	2	1800	800
ET091048	2	35	2	2	800	0
ET091049	1	44	5	2	1500	60
ET091049	2	35	12	2	4700	200
ET091049	3	75	14	2	5600	1300
ET091049	4	76	0	88	-88	100
ET091049	5	5	3	2	380	100
ET091050	1	44	4	2	800	65
ET091050	2	5	5	2	1250	300
ET091050	3	75	6	2	1800	1065
ET091050	4	76	1.5	2	900	320
ET091050	5	35	4	2	1800	400
ET101005	2	26	2	41	110	42
ET101005	3	50	1	41	150	8
ET101006	1	21	6	60	-77	0
ET101007	1	63	2	2	400	150
ET101019	1	26	5	1	25	15
ET101019	2	10	8	10	8	20
ET101019	3	50	4	1	20	8
ET101020	1	125	150	1	825	130
ET101028	1	26	5	1	25	15
ET101028	2	10	8	10	8	20
ET101028	3	50	4	1	20	8
ET101031	3	26	10	1	400	12
ET101031	4	12	5	1	20	2
ET101032	1	55	30	1	90	20
ET101032	2	10	4	10	4	0
ET101034	2	8	8.5	2	6400	640
ET101034	3	7	10	1	150	75
ET101034	4	76	2	2	2400	75
ET101034	5	31	21	3	0	380
ET101037	1	75	10	2	2500	0
ET101037	2	8	4	2	1500	0
ET101037	3	21	100	60	1000	50
ET101046	1	63	3	2	900	150
ET101047	1	10	2	10	8	1
ET111001	1	44	2.5	2	700	30
ET111001	2	8	3	2	2000	766
ET111001	3	76	4	2	2500	1300
ET111001	4	19	2	2	900	100
ET111001	5	75	1	2	400	155
ET111001	6	125	1	2	400	140
ET111002	1	21	600	56	700	0
ET111003	1	44	2	2	700	50
ET111003	2	75	3.5	2	900	735
ET111003	3	76	5	2	3400	2050
ET111003	4	15	2	2	800	400
ET111003	5	125	1.5	2	300	60
ET111003	6	8	2.5	2	2000	815
ET111004	1	44	1	2	400	6
ET111004	2	76	8	2	6000	1462
ET111004	3	8	4.05	2	3000	429
ET111004	4	75	4	2	1360	339
ET111004	5	19	5	41	1600	230
ET111005	1	44	50	1	200	10
ET111005	2	15	100	1	450	0
ET111005	3	125	100	1	350	0
ET111005	4	76	4.5	2	4000	600
ET111005	5	8	1.75	2	1000	200
ET111005	6	75	3.75	2	1000	200
ET111006	1	44	1	2	400	30
ET111006	2	35	.5	2	100	15
ET111006	3	125	1	2	350	25
ET111007	1	76	17	40	1848	1241
ET111007	2	35	2	40	150	15
ET111007	3	44	1	40	350	19
ET111007	4	125	1	41	150	45
ET111007	5	8	2	40	1300	352
ET111008	1	125	2	2	700	0
ET111008	2	76	12	2	13500	3915
ET111008	3	75	3	2	1000	615
ET111008	4	27	7	41	200	0
ET111008	5	19	3	2	1200	0
ET111009	1	75	4	2	1600	400
ET111009	2	76	8	2	4800	700
ET111009	3	125	4	2	1000	300
ET111009	4	124	4	2	1200	400
ET111010	1	44	250	1	100	200
ET111010	2	76	24	2	10500	3050
ET111010	3	75	6	2	2700	500
ET111011	1	44	2.5	2	100	30
ET111011	2	8	5	2	2000	1930
ET111011	3	15	4	2	1600	250
ET111011	4	76	7	2	8000	3370
ET111012	1	76	9.5	2	4270	1790
ET111012	2	125	1.5	2	600	300
ET111012	3	75	2.5	2	900	300
ET111012	4	8	2.5	2	1400	307
ET111012	5	15	4	2	1600	150
ET111012	6	5	1	1	350	0
ET111013	1	76	7	2	3000	2000
ET111013	2	125	1	2	300	100
ET111013	3	8	2	2	1600	200
ET111013	4	44	150	1	400	100
ET111015	1	125	30	1	60	15
ET111015	2	76	300	1	3000	470
ET111015	3	8	200	1	1400	230
ET111016	1	44	50	1	200	20
ET111016	2	8	350	1	2400	230
ET111016	3	76	850	1	7600	425
ET111016	4	75	200	1	900	175
ET111016	5	15	300.01	1	1400	110
ET111016	6	21	0	88	-88	-88
ET111017	1	44	2	2	900	20
ET111018	1	76	10	2	300	1800
ET111018	2	15	6	2	600	200
ET111018	3	75	3	2	0	200
ET111019	1	21	70	56	300	0
ET111019	2	75	8	2	31000	1527
ET111019	3	76	5	2	2700	1652
ET111019	4	44	3	2	800	40
ET111019	5	8	3	2	2000	430
ET111019	6	5	4	2	1500	250
ET111020	1	21	0	88	0	0
ET111020	2	44	7	2	3500	100
ET111020	3	8	16	2	12000	2025
ET111020	4	75	4	2	1800	287.5
ET111020	5	15	4	2	1800	100
ET111020	6	76	10.5	2	10000	2100
ET111020	7	125	6	2	2100	80
ET111020	8	35	3.5	2	1000	52.5
ET111021	1	15	6	2	1280	50
ET111021	2	76	6	2	2700	800
ET111021	3	75	4	2	1600	250
ET111021	4	8	130	1	900	100
ET111022	1	44	2	2	800	20
ET111022	2	21	0	88	0	0
ET111022	3	8	10	2	1000	670
ET111022	4	76	25	2	22500	2440
ET111022	5	75	6	2	2000	590
ET111022	6	15	6	2	2400	480
ET111022	7	125	2	2	700	80
ET111022	8	5	2	2	800	45
ET111022	9	27	5	2	140	0
ET111023	1	44	.5	2	400	30
ET111023	2	27	4	40	200	0
ET111023	3	75	4	2	1800	493.33
ET111023	4	5	1	2	300	125
ET111023	5	76	2	2	1600	348.33
ET111023	6	76	6	2	4800	1116.66
ET111023	7	76	3.5	2	2800	555.33
ET111023	8	76	5	2	3700	1362.5
ET111023	9	15	6	2	19200	410
ET111023	10	33	1.5	2	375	13
ET111023	11	76	4	2	3200	605.33
ET111023	12	8	4	2	2800	593.33
ET111023	13	76	3	2	2400	555.33
ET111023	14	125	1	2	350	0
ET111023	15	76	1	2	2400	1555.33
ET111023	16	21	1053	56	3500	0
ET111024	1	44	3	2	1200	0
ET111024	2	21	16	60	225	0
ET111024	3	76	10	40	8000	347
ET111024	4	125	1	2	350	100
ET111024	5	5	1	2	350	45
ET111025	1	44	100	1	300	34
ET111025	2	76	11	2	10000	1630
ET111025	3	75	3	2	1200	400
ET111025	4	15	350	1	1200	250
ET111028	1	15	7	2	2000	350
ET111028	2	76	6	2	6000	400
ET111028	3	8	3	2	2600	400
ET111028	4	75	4	2	1500	400
ET111029	1	76	9	2	7800	2027
ET111029	2	8	80	1	640	255
ET111030	1	8	2	2	1600	0
ET111030	2	75	6	2	3000	700
ET111030	3	76	15	2	15000	2000
ET111031	1	27	10	40	350	0
ET111031	2	75	10	2	3600	1492
ET111031	3	76	5	2	4800	1000
ET111031	4	8	2.5	2	2250	5000
ET111031	5	15	3	2	1260	125
ET111031	6	44	2	2	780	100
ET111032	1	76	22	2	13600	4244
ET111032	2	75	11	2	4900	2031
ET111032	3	15	4	2	1400	360
ET111032	4	5	3	2	1500	145
ET111032	5	8	2	2	1750	540
ET111032	6	44	1	2	600	36
ET111032	7	19	6	2	3300	325
ET111032	8	125	4	2	1600	150
ET111032	9	21	70	56	800	0
ET111033	1	21	20	56	0	0
ET111033	2	44	30	1	100	10
ET111034	1	21	25	56	0	0
ET111034	2	75	16	2	11000	8034
ET111034	3	76	12.5	2	9000	4134
ET111034	4	8	7	2	6000	3638
ET111034	5	15	3	2	1200	200
ET111034	6	125	3	2	900	200
ET111034	7	50	6	2	500	100
ET111035	1	21	7	60	0	0
ET111035	2	76	3.5	2	1750	136
ET111035	3	75	2	2	900	99
ET111035	4	5	1.5	2	500	16
ET111035	5	44	1	2	400	36
ET111036	1	76	13	2	13000	3500
ET111036	2	75	1.5	2	1000	300
ET111037	1	44	1	2	450	0
ET111037	2	76	60.5	2	66550	19000
ET111037	3	49	3	2	1840	750
ET111037	4	75	24	2	11520	1600
ET111037	5	15	10	2	5500	650
ET111038	1	44	50	1	200	0
ET111038	2	76	22	2	18400	3894
ET111038	3	15	16	2	6720	2550
ET111038	4	8	3	2	2000	1725
ET111038	5	75	9	2	3600	1215
ET111038	6	19	1	2	400	100
ET111038	7	5	2	2	700	100
ET111040	1	5	2	2	700	100
ET111040	2	75	2.5	2	1000	470
ET111040	3	76	3	2	3000	520
ET111040	4	125	1	2	400	50
ET111040	5	19	1	2	500	50
ET111040	6	35	.5	2	100	8
ET111040	7	44	1	2	400	20
ET111040	8	8	2	2	1600	470
ET111041	1	44	25	1	100	10
ET111041	2	76	9	2	9000	2780
ET111041	3	5	1.5	2	500	330
ET111041	4	75	2.5	2	800	565
ET111042	1	76	13	2	4500	3002
ET111042	2	75	3	2	1200	437
ET111042	3	125	1.5	2	500	240
ET111042	4	15	1.5	2	620	170
ET111042	5	44	1.5	2	500	25
ET111042	6	27	2	40	80	0
ET111043	1	76	16	2	6606	2620
ET111043	2	75	7	2	1812	295
ET111043	3	23	1	2	400	150
ET111043	4	8	2	2	1400	200
ET111043	5	44	3	2	1000	50
ET111043	6	15	3	2	950	0
ET111046	1	44	.5	2	200	28
ET111046	2	75	4	2	1750	600
ET111046	3	8	3	2	2000	730
ET111047	1	27	2	2	40	0
ET111047	2	76	16	2	12000	2610
ET111048	1	44	1	2	540	0
ET111048	2	76	35	2	36750	5550
ET111048	3	75	7	2	3150	300
ET111048	4	15	2	2	1040	350
ET111048	5	125	3	2	1350	350
ET121001	1	44	120	1	480	0
ET121001	2	8	50	1	400	20
ET121002	1	41	25	60	850	200
ET121002	2	17	40	1	990	150
ET121002	3	10	500	10	250	50
ET121002	4	76	3	2	2400	400
ET121002	5	44	5	2	1500	400
ET121002	6	31	15	55	250	0
ET121003	1	44	1	2	500	20
ET121003	2	41	5	60	200	0
ET121003	3	14	0	88	0	0
ET121004	1	14	25	47	500	350
ET121004	2	41	35	60	525	150
ET121004	3	76	4	2	3540	300
ET121004	4	44	1	2	300	100
ET121004	5	7	1.05	2	250	120
ET121004	6	17	20	24	100	0
ET121005	1	75	1.5	2	800	500
ET121005	2	76	.5	2	500	120
ET121005	3	44	0	88	0	140
ET121005	4	14	20	47	1500	150
ET121005	5	17	70	24	700	0
ET121005	6	51	120	1	150	0
ET121005	7	41	13	60	1000	15
ET121007	1	44	4	2	1600	214
ET121007	2	64	2	2	700	0
ET121007	3	76	1	2	1000	200
ET121007	4	14	10	47	300	20
ET121007	5	79	3	2	900	0
ET121007	6	41	30	60	1500	100
ET121008	1	14	0	88	-88	-88
ET121009	1	14	33	47	1650	250
ET121009	2	41	20	60	1000	215
ET121009	3	17	10	24	70	0
ET121009	4	3	0	88	-88	0
ET121010	1	79	3	2	900	200
ET121010	2	44	4	2	1600	250
ET121010	3	14	0	88	-88	0
ET121010	4	41	0	88	-88	0
ET121011	1	41	10	60	400	140
ET121011	2	10	50	10	500	100
ET121011	3	76	2	2	1800	350
ET121011	4	17	50	24	500	200
ET121012	1	41	10	60	150	250
ET121012	2	44	1.5	2	600	150
ET121012	3	14	10	47	300	0
ET121013	1	44	3	2	1000	500
ET121013	2	79	4	2	1000	20
ET121013	3	23	2	2	1250	200
ET121013	4	17	60	24	450	0
ET121013	5	41	20	60	600	150
ET121013	6	14	20	47	3000	500
ET121014	1	44	1	2	600	300
ET121014	2	14	25	47	2200	100
ET121014	3	41	8	60	400	0
ET121014	4	76	1	2	1000	320
ET121014	5	51	2	2	145	5
ET121015	1	14	6	47	250	80
ET121015	2	3	.5	2	50	0
ET121015	3	51	4	2	200	20
ET121015	4	41	10	60	200	100
ET121017	1	14	70	47	1000	300
ET121017	2	41	20	60	2000	200
ET121018	1	14	50	46	1000	150
ET121018	2	41	15	56	700	60
ET121018	3	44	5	2	2000	250
ET121018	4	76	2	2	1800	300
ET121018	5	3	2	41	200	0
ET121020	1	76	10	2	10000	600
ET121020	2	75	12	2	6000	500
ET121020	3	125	4	2	1800	300
ET121020	4	14	150	10	20000	700
ET121020	5	41	20	60	1000	700
ET121021	1	44	1	2	350	20
ET121021	2	41	0	88	88	88
ET121021	3	76	0	88	88	88
ET121022	1	44	4	2	1200	300
ET121022	2	41	50	60	2500	200
ET121022	3	51	100	1	5000	20
ET121023	1	41	0	88	88	0
ET121025	1	14	50	47	1200	0
ET121025	2	41	16	60	800	50
ET121025	3	17	20	1	600	0
ET121026	1	14	23	47	1700	100
ET121026	2	41	15	60	1000	0
ET121026	3	8	1.5	2	1500	215
ET121026	4	44	2	2	800	200
ET121026	5	79	1.5	2	525	0
ET121027	1	19	1	2	450	150
ET121027	2	44	2	2	600	220
ET121027	3	76	1.5	2	1500	250
ET121027	4	14	20	47	2000	100
ET121027	5	41	10	60	500	80
ET121027	6	75	2	2	1000	150
ET121028	1	75	3	2	1400	800
ET121028	2	8	2	2	1400	400
ET121028	3	41	40	60	1000	300
ET121028	4	14	65	47	1950	500
ET121028	5	44	5	2	2000	500
ET121031	1	41	18	60	900	300
ET121031	2	14	135	47	7000	1500
ET121031	3	76	2.5	2	2500	500
ET121032	1	14	40	47	5000	300
ET121032	2	41	20	60	1000	0
ET121032	3	76	3	2	3000	1000
ET121032	4	44	5	2	2000	300
ET121032	5	79	3	2	1100	800
ET121032	6	17	50	1	700	0
ET121033	1	44	4	2	1200	250
ET121033	2	79	2	2	600	50
ET121033	3	8	4	2	3200	400
ET121033	4	41	30	60	3000	170
ET121033	5	14	20	47	2500	400
ET121033	6	17	.5	2	500	0
ET121034	1	14	40	47	1700	180
ET121034	2	41	20	60	1000	300
ET121034	3	44	5	2	2000	300
ET121034	4	76	2	2	2000	200
ET121034	5	3	2	2	300	0
ET121034	6	51	3	2	210	100
ET121034	7	17	50	1	200	0
ET121034	8	10	1	10	50	20
ET121036	1	79	3.5	2	2000	300
ET121036	2	44	3	2	1500	330
ET121036	3	76	2.5	2	2750	270
ET121036	4	75	.25	2	125	65
ET121036	5	41	30	60	3000	300
ET121036	6	14	20	47	1200	250
ET121037	1	8	1	2	600	300
ET121037	2	44	0	88	88	0
ET121037	3	41	12	60	600	200
ET121037	4	14	10	47	500	100
ET121038	1	41	25	60	750	300
ET121038	2	14	15	47	300	200
ET121038	3	79	3	2	900	100
ET121038	4	8	1.5	2	1200	150
ET121040	1	44	4	2	1200	850
ET121040	2	41	25	60	1250	100
ET121040	3	14	25	47	350	200
ET121040	4	76	2	2	1600	200
ET121040	5	79	1	2	250	0
ET121041	1	41	10	60	500	50
ET121041	2	14	15	47	300	100
ET121041	3	79	1.5	2	350	60
ET121041	4	75	1	2	400	150
ET121041	5	44	1	2	350	100
ET121046	1	41	25	60	1250	50
ET121046	2	14	140	47	14000	150
ET121046	3	76	8	2	8800	550
ET121046	4	7	170	1	5000	500
ET121046	5	75	5	2	2000	700
ET121046	6	21	2500	56	15000	300
ET121046	7	44	10	2	3000	500
ET121047	1	44	2	2	860	200
ET121047	2	79	2	2	700	0
ET121047	3	14	35	47	1600	400
ET121047	4	41	10	60	800	150
ET121047	5	76	4	2	3800	150
ET121047	6	51	1	2	100	0
ET121047	7	17	.5	2	300	0
ET121048	1	41	30	60	600	200
ET121048	2	14	25	47	625	300
ET121048	3	17	30	1	900	0
ET121048	4	10	20	10	100	0
ET121048	5	96	5	1	20	0
ET121048	6	44	5	2	2000	400
ET121048	7	79	2	2	600	100
ET121048	8	31	15	55	75	25
ET121048	9	8	3	2	2100	400
ET121048	10	75	5	2	1500	300
ET121049	1	44	3	2	900	50
ET121049	2	79	1	2	350	50
ET121049	3	41	10	60	500	0
ET121049	4	14	5	47	3000	200
ET121050	1	41	20	60	1000	200
ET121050	2	14	20	47	3000	500
ET121050	3	44	6	2	1800	420
ET121050	4	76	3	2	2400	500
ET121050	5	79	2	2	300	120
ET121050	6	75	1.5	2	375	60
ET121050	7	35	.5	2	100	0
ET121053	1	44	2	2	600	200
ET121053	2	79	.5	2	100	0
ET121053	3	14	5	47	200	0
ET121053	4	41	15	60	450	200
ET121054	1	44	8	2	3600	184
ET121054	2	8	2	2	1800	50
ET121054	3	41	14	60	700	140
ET121054	4	51	2	2	240	0
ET121054	5	14	20	47	1200	100
ET121054	6	17	50	1	500	0
ET121055	1	124	15	1	66	30
ET121055	2	125	25	1	148	20
ET121056	1	41	45	60	1750	120
ET121056	2	44	3	2	1050	112
ET121056	3	14	43	47	2700	400
ET121056	4	17	4	24	40	0
ET121056	5	10	70	10	140	0
ET121056	6	51	400	56	120	0
ET121056	7	76	4.5	2	4000	1000
ET121056	8	44	4	2	1400	112
ET121056	9	31	40	55	340	220
ET121057	1	14	9	47	400	100
ET121057	2	41	10	60	300	100
ET121057	3	44	3	2	1200	350
ET121057	4	17	1	2	1000	0
ET131012	1	44	1	2	400	0
ET131012	2	64	1	2	300.5	0
ET131012	3	69	2	2	160	0
ET131012	4	21	300	56	550	0
ET131013	1	35	2	1	620	100
ET131013	2	44	1	1	230	50
ET131016	1	35	1	2	420	150
ET131016	2	44	2	2	610	110
ET131020	1	21	0	88	-88	-88
ET131020	2	41	12	56	600	240
ET131020	3	69	20	2	3600	300
ET131023	1	44	2	2	800	250
ET131023	2	125	3	2	1800	400
ET131029	1	44	2	2	600	140
ET131030	1	41	8	56	80	17
ET131032	1	44	25	1	100	20
ET131036	1	44	2	2	600	250
ET131038	1	41	15	56	300	20
ET131038	2	80	400	56	450	0
ET131039	1	41	20	56	20	0
ET131039	2	44	0	88	88	4.5
ET131043	1	44	47	2	14100	800
ET131043	2	55	32	2	6400	300
ET141043	1	41	60	56	200	0
ET141043	2	17	50	1	100	0
ET141043	3	44	150	1	600	100
ET141043	4	35	250	1	65	10
ET141044	1	17	.5	1	300	0
ET141044	2	41	25	56	250	50
ET141044	3	44	6	2	1800	250
ET141044	4	35	1.5	2	375	0
ET141044	5	64	1	2	600	0
ET151001	1	17	10	1	150	0
ET151001	2	44	30	1	120	94
ET151001	3	69	120	1	94	0
ET151001	4	17	45	30	45	0
ET151001	5	35	4	1	28	14
ET151001	6	41	4	3	640	0
ET151001	7	4	10	50	100	0
ET151001	8	3	80	1	160	0
ET151001	9	10	50	30	50	0
ET151001	10	21	5000	30	5000	20
ET151002	1	17	0	88	0	-88
ET151002	2	41	3	3	500	100
ET151002	3	3	50	50	250	0
ET151002	4	80	110	10	220	10
ET151004	1	41	4	3	1000	400
ET151004	2	17	2	2	900	300
ET151004	3	14	150	46	160	20
ET151004	4	21	100	56	500	50
ET151004	5	4	20	50	120	0
ET151004	6	44	2	2	800	500
ET151004	7	3	4	2	360	60
ET151004	8	31	100	55	400	0
ET151004	9	69	2	40	160	0
ET151005	1	17	3	2	1200	100
ET151005	2	41	7	3	1050	150
ET151005	3	3	2	2	300	20
ET151005	4	44	3	2	900	350
ET151005	5	60	1.5	2	120	0
ET151005	6	35	1	2	600	40
ET151005	7	14	80	46	100	100
ET151005	8	4	10	50	80	0
ET151008	1	17	400	1	1800	110
ET151008	2	41	10	3	1800	50
ET151008	3	76	30	1	270	70
ET151008	4	35	2	40	600	50
ET151008	5	7	1	41	80	7
ET151008	6	69	3	2	210	15
ET151008	7	44	2	2	600	55
ET151009	1	41	3.5	3	420	150
ET151009	2	17	3	95	180	0
ET151009	3	31	200	30	50	0
ET151009	4	21	500	60	1500	0
ET151009	5	4	100	30	100	0
ET151009	6	14	200	30	200	0
ET151010	1	69	15	2	350	100
ET151010	2	44	2	2	800	250
ET151010	3	35	1	2	500	30
ET151010	4	41	2	3	480	50
ET151010	5	17	5	2	2250	200
ET151010	6	4	10	50	60	6
ET151011	1	17	6	2	5600	150
ET151011	2	41	12	3	2400	120
ET151011	3	3	3	2	300	15
ET151011	4	44	3	2	630	70
ET151011	5	4	14	50	280	10
ET151011	6	69	3	2	180	20
ET151011	7	10	30	10	180	10
ET151012	1	44	0	88	-88	436
ET151012	2	41	2	3	150	50
ET151012	3	17	5	2	2500	200
ET151012	4	4	8	50	210	20
ET151012	5	3	1	2	200	50
ET151012	6	51	1	2	180	60
ET151012	7	45	.5	2	100	10
ET151012	8	14	30	46	150	10
ET151014	1	41	2	3	700	100
ET151014	2	17	50	1	150	0
ET151014	3	44	50	1	120	50
ET151014	4	69	5	2	300	80
ET151014	5	4	4	50	60	0
ET151014	6	35	10	1	400	80
ET151015	1	17	3	2	1800	120
ET151015	2	41	6	3	1440	20
ET151016	1	44	2	41	360	120
ET151016	2	35	25	1	150	50
ET151016	3	41	1	3	160	30
ET151016	4	69	2	2	140	0
ET151016	5	80	1	3	25	0
ET151016	6	17	120	1	360	0
ET151016	7	3	3	41	240	20
ET151016	8	4	6	50	100	0
ET151018	1	41	16	3	2880	50
ET151018	2	17	3	2	1200	60
ET151018	3	44	2	2	800	80
ET151018	4	3	2	40	150	0
ET151018	5	69	9	2	540	0
ET151018	6	35	1	41	100	12
ET151018	7	51	2	2	80	5
ET151018	8	78	1	2	120	0
ET151018	9	21	100	56	135	0
ET151018	10	14	50	46	50	0
ET151018	11	4	50	50	300	0
ET151018	12	10	20	10	200	0
ET151019	1	41	16	3	2880	50
ET151019	2	17	3	2	1200	60
ET151019	3	4	50	50	300	0
ET151019	4	69	9	2	540	0
ET151019	5	3	2	40	150	0
ET151019	6	21	100	56	135	0
ET151019	7	14	50	46	50	0
ET151019	8	35	1	41	100	12
ET151019	9	44	2	2	800	0
ET151019	10	51	2	2	80	0
ET151019	11	78	1	2	120	0
ET151019	12	10	20	10	200	0
ET151020	1	17	230	1	700	30
ET151020	2	41	9	3	720	300
ET151020	3	4	4	50	28	0
ET151020	4	10	50	6	50	0
ET151020	5	44	50	1	200	80
ET151020	6	21	1000	30	1000	10
ET151020	7	35	4	1	16	12
ET151020	8	3	6	49	120	0
ET151020	9	14	3	46	9	0
ET151021	1	41	2	3	460	100
ET151021	2	17	1	40	210	50
ET151021	3	3	10	50	50	10
ET151021	4	4	5	2	500	10
ET151023	1	41	1	3	120	10
ET151023	2	17	1	2	500	150
ET151023	3	69	3	2	350	30
ET151023	4	44	1	2	400	200
ET151023	5	35	1	41	200	50
ET151023	6	80	2	55	50	5
ET151024	1	41	3	3	360	139
ET151024	2	44	70	1	490	468
ET151024	3	35	30	1	90	21
ET151024	4	76	5	1	60	169
ET151024	5	4	7	50	28	0
ET151024	6	80	3	3	36	0
ET151024	7	10	1	3	16	0
ET151024	8	21	180	30	180	0
ET151024	9	17	260	1	780	0
ET151025	1	41	3	3	360	285
ET151025	2	44	300	1	900	300
ET151025	3	17	1	3	1200	80
ET151025	4	76	100	1	800	120
ET151025	5	55	100	1	80	40
ET151025	6	24	1	2	400	18
ET151025	7	96	2	3	120	0
ET151026	1	41	5	3	1000	20
ET151026	2	17	0	2	1600	100
ET151026	3	44	5	2	350	100
ET151026	4	55	1	2	70	30
ET151026	5	35	2.5	2	2000	600
ET151027	1	44	300	1	900	200
ET151027	2	41	2	3	260	150
ET151027	3	17	1000	1	3000	300
ET151027	4	4	50	6	1500	0
ET151027	5	69	14	3	1120	200
ET151027	6	55	60	1	150	10
ET151027	7	76	150	1	1500	130
ET151027	8	80	15	3	350	0
ET151027	9	10	100	30	100	0
ET151027	10	35	125	1	500	0
ET151028	1	3	5	41	200	0
ET151028	2	17	3	40	1050	80
ET151028	3	41	15	3	3000	0
ET151028	4	44	10	2	4900	350
ET151028	5	76	1.5	41	900	170
ET151028	6	96	4	3	200	20
ET151029	1	41	3	3	720	218
ET151029	2	17	35	1	525	148
ET151029	3	4	15	50	75	38
ET151029	4	44	20	1	80	175
ET151029	5	35	8	1	64	88
ET151029	6	54	6	56	12	38
ET151029	7	3	30	1	100	38
ET151029	8	10	50	30	50	38
ET151029	9	21	1700	30	1700	0
ET151030	1	17	4	2	2500	100
ET151030	2	41	2	3	420	60
ET151030	3	44	2	2	600	75
ET151030	4	35	1	40	300	30
ET151030	5	69	1	41	80	0
ET151030	6	10	15	10	300	10
ET151030	7	3	3	41	200	20
ET151030	8	4	5	50	150	15
ET151030	9	21	400	56	1300	0
ET151031	1	17	10	2	2000	500
ET151031	2	44	10	2	1500	450
ET151031	3	76	2	2	2000	250
ET151031	4	69	1	2	90	50
ET151031	5	41	2	3	150	270
ET151031	6	35	.25	2	9	24
ET151031	7	66	.15	3	50	10
ET151032	1	17	2	2	1600	160
ET151032	2	41	8	3	1600	80
ET151032	3	44	2	2	440	80
ET151032	4	10	45	10	130	20
ET151033	1	17	6	2	2150	112
ET151033	2	41	10	3	2000	20
ET151033	3	4	5	50	30	0
ET151034	1	17	2	2	900	80
ET151034	2	41	2	3	500	80
ET151035	1	44	1.5	2	500	150
ET151035	2	41	4	3	600	200
ET151035	3	10	200	6	200	30
ET151035	4	56	20	56	30	5
ET151035	5	35	20	1	15	10
ET151035	6	17	10	2	4200	600
ET151035	7	21	300	56	1000	60
ET151035	8	4	12	10	100	10
ET151039	1	17	2	2	1200	100
ET151039	2	41	4	3	800	50
ET151039	3	44	1	2	400	50
ET151039	4	69	3	2	250	25
ET151039	5	35	30	1	80	20
ET151041	1	41	18	3	3960	160
ET151041	2	17	1	2	400	0
ET151041	3	14	400	30	400	0
ET151041	4	80	130	30	130	0
ET151041	5	3	42	1	168	0
ET151041	6	4	30	30	30	0
ET151041	7	10	25	30	25	0
ET151041	8	44	1	2	300	175
ET151041	9	55	1	1	6	6
ET151041	10	54	4	30	4	0
ET151041	11	35	.5	2	300	0
ET151041	12	76	100	1	1000	175
ET151042	1	41	5	3	900	100
ET151042	2	17	5	2	1200	80
ET151042	3	69	2	2	140	12
ET151042	4	8	24	1	192	50
ET151042	5	44	2	2	700	80
ET151042	6	21	150	56	6000	15
ET151043	1	17	2	2	1000	500
ET151043	2	41	2	3	100	200
ET151043	3	44	1	2	250	50
ET151043	4	4	1	50	20	5
ET151043	5	10	10	6	15	2
ET151043	6	21	20	56	100	10
ET151043	7	80	20	56	60	10
ET151044	1	41	3	3	800	400
ET151044	2	17	120	1	1200	150
ET151044	3	10	80	6	80	0
ET151044	4	21	2000	30	200	250
ET151044	5	35	50	1	300	30
ET151044	6	44	2	2	800	395
ET151044	7	69	12	2	960	0
ET151044	8	3	1	2	60	0
ET151045	1	17	7	2	2800	200
ET151045	2	41	4	3	880	225
ET151045	3	44	2	2	800	150
ET151045	4	69	4	41	600	200
ET151045	5	76	2	2	2000	410
ET151045	6	35	1	2	700	100
ET151049	1	41	2	3	400	250
ET151049	2	17	0	88	-88	100
ET151049	3	44	2	2	700	100
ET151049	4	35	1	2	400	50
ET151049	5	76	1	2	1000	300
ET151049	6	69	4	2	600	50
ET151049	7	80	240	56	250	50
