CHILDID	GRPID	GROUPR3	BCMMEMR3	LDMEMR3
ET041018	1	2	3	1
ET041020	1	15	2	0
ET041022	1	2	2	1
ET041023	1	14	1	0
ET041025	1	2	1	0
ET041026	1	15	1	0
ET041026	2	1	1	0
ET041027	1	1	1	0
ET041030	1	15	3	0
ET041031	1	15	1	0
ET041032	1	4	1	0
ET041032	2	15	1	0
ET041033	1	5	3	0
ET041035	1	2	2	0
ET041036	1	2	2	0
ET041037	1	5	2	1
ET041039	1	2	3	0
ET041040	1	15	2	1
ET041046	1	2	2	0
ET041046	2	8	1	0
ET041046	3	13	2	0
ET041047	1	2	3	1
ET041048	1	15	1	1
ET051003	1	1	2	1
ET051005	1	15	2	1
ET051006	1	15	3	0
ET051007	1	15	3	1
ET051007	2	1	3	0
ET051008	1	15	3	0
ET051008	2	1	1	0
ET051010	1	15	2	0
ET051011	1	13	2	1
ET051013	1	15	3	0
ET051014	1	15	2	0
ET051015	1	4	3	0
ET051020	1	3	3	0
ET051022	1	5	3	1
ET051024	1	2	2	0
ET051024	2	4	2	0
ET051025	1	5	2	0
ET051026	1	4	3	1
ET051027	1	15	3	0
ET051029	1	1	2	0
ET051030	1	1	1	0
ET051031	1	13	2	0
ET051033	1	13	2	0
ET051034	1	2	3	1
ET051035	1	15	1	0
ET051036	1	15	2	0
ET051037	1	2	3	1
ET051038	1	15	1	1
ET051039	1	15	3	1
ET051040	1	4	3	0
ET051041	1	15	2	0
ET051043	1	15	3	0
ET051044	1	1	3	0
ET051044	2	13	2	1
ET051045	1	4	3	0
ET051049	1	1	3	0
ET061004	1	15	1	0
ET061010	1	13	2	0
ET061011	1	15	2	0
ET061020	1	15	2	0
ET061021	1	15	1	0
ET061025	1	13	2	0
ET061026	1	3	3	0
ET061029	1	3	2	1
ET061033	1	15	3	1
ET061036	1	4	1	0
ET061038	1	3	2	0
ET061039	1	15	1	0
ET061040	1	2	2	0
ET061040	2	13	2	0
ET061041	1	15	1	0
ET071002	1	15	3	0
ET071003	1	2	2	0
ET071003	2	13	3	0
ET071005	1	4	3	0
ET071005	2	15	3	0
ET071007	1	15	1	0
ET071010	1	4	2	0
ET071013	1	13	2	0
ET071014	1	2	3	0
ET071014	2	15	2	0
ET071018	1	4	2	0
ET071020	1	2	1	0
ET071021	1	15	1	0
ET071024	1	13	3	0
ET071024	2	15	3	1
ET071025	1	15	3	0
ET071025	2	2	3	0
ET071026	1	2	2	0
ET071028	1	15	2	0
ET071029	1	15	3	0
ET071030	1	15	1	0
ET071031	1	15	3	0
ET071032	1	8	1	0
ET071033	1	15	1	0
ET071037	1	4	2	0
ET071039	1	8	1	0
ET071043	1	13	2	0
ET071043	2	13	2	0
ET071043	3	15	2	1
ET071044	1	13	3	0
ET071046	1	4	1	0
ET071047	1	15	2	0
ET071048	1	8	2	0
ET071048	2	2	2	0
ET071049	1	13	3	0
ET081001	1	4	3	0
ET081003	1	2	1	0
ET081007	1	2	2	0
ET081007	2	6	1	0
ET081008	1	2	2	0
ET081008	2	8	2	0
ET081009	1	8	1	0
ET081012	1	14	3	0
ET081014	1	2	1	0
ET081016	1	2	2	0
ET081016	2	4	2	0
ET081018	1	2	3	0
ET081018	2	15	3	1
ET081019	1	2	1	1
ET081019	2	14	1	0
ET081020	1	2	3	0
ET081020	2	15	3	0
ET081021	1	4	3	0
ET081021	2	4	2	0
ET081022	1	8	1	0
ET081022	2	14	1	0
ET081026	1	2	2	0
ET081026	2	6	2	0
ET081027	1	2	1	0
ET081027	2	15	1	0
ET081028	1	2	2	0
ET081031	1	2	1	0
ET081032	1	4	1	0
ET081032	2	4	2	0
ET081033	1	2	1	1
ET081034	1	2	2	0
ET081037	1	2	2	1
ET081038	1	2	2	1
ET081039	1	2	1	0
ET081039	2	15	1	0
ET081041	1	15	2	0
ET081041	2	2	3	0
ET081042	1	1	2	0
ET081042	2	2	3	0
ET081046	1	2	1	0
ET081046	2	8	1	0
ET081047	1	2	1	0
ET081047	2	8	1	0
ET081048	1	15	2	0
ET081049	1	15	1	0
ET081050	1	2	1	1
ET091004	1	2	1	0
ET091004	2	4	1	0
ET091005	1	4	1	0
ET091007	1	14	1	0
ET091011	1	4	1	0
ET091012	1	15	2	0
ET091014	1	2	2	0
ET091015	1	2	2	0
ET091015	2	13	1	0
ET091016	1	2	2	0
ET091017	1	4	1	0
ET091019	1	4	2	0
ET091019	2	4	2	0
ET091019	3	4	2	0
ET091019	4	4	2	0
ET091020	1	4	2	0
ET091020	2	4	2	0
ET091021	1	2	2	1
ET091023	1	4	2	0
ET091023	2	4	2	0
ET091027	1	2	1	0
ET091030	1	1	2	0
ET091031	1	4	2	0
ET091032	1	15	1	0
ET091032	2	4	1	0
ET091033	1	2	2	1
ET091034	1	2	1	0
ET091034	2	4	1	1
ET091034	3	4	1	0
ET091035	1	2	2	0
ET091037	1	2	2	1
ET091039	1	2	2	0
ET091039	2	7	2	1
ET091040	1	15	1	0
ET091043	1	15	2	0
ET091044	1	4	2	0
ET091049	1	4	2	0
ET091049	2	4	2	0
ET091050	1	4	1	0
ET101001	1	15	1	0
ET101003	1	2	3	0
ET101004	1	15	2	0
ET101004	2	2	2	0
ET101005	1	13	2	0
ET101007	1	2	2	1
ET101007	2	15	1	0
ET101009	1	4	2	1
ET101011	1	4	2	0
ET101012	1	2	2	0
ET101014	1	2	1	0
ET101015	1	2	2	0
ET101015	2	3	3	0
ET101016	1	2	2	0
ET101016	2	8	2	0
ET101016	3	13	2	0
ET101017	1	4	2	0
ET101019	1	13	3	1
ET101019	2	3	3	0
ET101020	1	2	2	0
ET101024	1	2	1	0
ET101025	1	4	2	1
ET101027	1	15	2	0
ET101028	1	13	3	0
ET101028	2	1	2	1
ET101028	3	8	2	0
ET101030	1	2	2	0
ET101032	1	15	3	0
ET101034	1	2	1	0
ET101034	2	4	2	1
ET101034	3	3	2	0
ET101036	1	4	2	0
ET101036	2	13	3	0
ET101038	1	2	2	0
ET101038	2	8	2	0
ET101038	3	15	2	0
ET101038	4	14	2	0
ET101038	5	13	2	0
ET101039	1	15	3	0
ET101039	2	4	3	0
ET101040	1	13	2	0
ET101041	1	2	2	0
ET101042	1	4	3	1
ET101044	1	4	2	0
ET101044	2	13	2	0
ET101044	3	8	2	0
ET101046	1	13	2	0
ET101046	2	4	2	0
ET101047	1	2	2	0
ET101048	1	2	1	1
ET101049	1	15	2	0
ET101050	1	2	1	0
ET111002	1	2	3	1
ET111007	1	8	3	0
ET111007	2	6	2	0
ET111008	1	2	1	0
ET111008	2	8	2	0
ET111009	1	2	3	0
ET111010	1	2	2	0
ET111011	1	13	2	0
ET111012	1	8	2	0
ET111013	1	2	1	0
ET111015	1	13	2	0
ET111016	1	2	2	0
ET111016	2	15	2	0
ET111018	1	2	3	0
ET111021	1	2	2	0
ET111021	2	15	1	0
ET111022	1	4	2	0
ET111024	1	2	3	0
ET111025	1	2	3	1
ET111025	2	4	2	0
ET111027	1	15	2	0
ET111028	1	15	3	0
ET111028	2	1	3	0
ET111031	1	15	2	0
ET111032	1	2	1	0
ET111034	1	14	1	0
ET111038	1	1	2	0
ET111038	2	15	2	0
ET111039	1	15	2	1
ET111042	1	1	2	0
ET111043	1	15	2	0
ET111044	1	2	3	0
ET111045	1	2	1	0
ET111047	1	4	2	0
ET121002	1	2	1	0
ET121004	1	15	2	0
ET121009	1	15	2	0
ET121012	1	2	1	0
ET121013	1	12	2	0
ET121013	2	2	3	0
ET121013	3	4	2	0
ET121017	1	15	3	0
ET121017	2	15	3	0
ET121018	1	4	1	0
ET121020	1	15	3	0
ET121020	2	15	3	1
ET121028	1	2	3	0
ET121030	1	4	1	0
ET121031	1	2	3	0
ET121038	1	15	1	0
ET121040	1	4	2	0
ET121041	1	4	3	0
ET121041	2	12	3	0
ET121041	3	2	3	0
ET121046	1	4	2	0
ET121046	2	4	2	0
ET121047	1	15	3	0
ET121047	2	12	3	0
ET121048	1	4	1	0
ET121049	1	15	2	1
ET121056	1	15	1	0
ET121057	1	15	2	1
ET131007	1	15	3	0
ET131008	1	4	2	0
ET131013	1	13	2	0
ET131016	1	2	1	0
ET131016	2	5	1	0
ET131016	3	13	1	0
ET131020	1	15	2	0
ET131022	1	2	2	0
ET131022	2	1	2	0
ET131023	1	15	2	0
ET131024	1	4	2	0
ET131025	1	1	3	0
ET131025	2	2	2	1
ET131025	3	3	3	0
ET131027	1	15	2	0
ET131028	1	13	3	0
ET131028	2	4	2	0
ET131031	1	2	3	0
ET131031	2	15	3	0
ET131032	1	15	1	0
ET131034	1	15	1	0
ET131035	1	15	1	0
ET131039	1	13	3	0
ET131041	1	15	2	0
ET131042	1	4	1	0
ET131043	1	15	3	1
ET131044	1	2	2	0
ET131045	1	4	2	0
ET131045	2	2	2	0
ET131046	1	1	2	0
ET131047	1	15	1	0
ET131050	1	2	3	0
ET131050	2	7	2	0
ET131050	3	15	2	0
ET141001	1	2	2	0
ET141001	2	3	2	1
ET141008	1	13	3	0
ET141010	1	2	3	0
ET141012	1	2	1	0
ET141013	1	7	2	1
ET141015	1	2	3	0
ET141015	2	4	2	0
ET141016	1	2	1	0
ET141016	2	4	3	0
ET141017	1	2	3	1
ET141017	2	3	3	0
ET141017	3	4	3	0
ET141018	1	4	2	0
ET141018	2	3	3	0
ET141020	1	2	3	0
ET141023	1	7	2	0
ET141023	2	8	2	0
ET141025	1	3	3	0
ET141026	1	1	3	1
ET141028	1	4	2	1
ET141028	2	13	3	1
ET141030	1	4	2	1
ET141030	2	3	3	0
ET141031	1	4	2	0
ET141032	1	13	2	0
ET141033	1	3	3	1
ET141046	1	4	2	0
ET141050	1	3	3	1
ET141050	2	15	3	1
ET151001	1	3	1	0
ET151002	1	4	1	0
ET151011	1	3	2	0
ET151015	1	15	1	0
ET151018	1	3	3	0
ET151020	1	4	2	0
ET151024	1	4	3	0
ET151025	1	2	2	1
ET151025	2	3	3	1
ET151026	1	2	2	1
ET151027	1	3	3	0
ET151029	1	4	2	0
ET151030	1	3	2	0
ET151039	1	3	3	0
ET151041	1	3	3	0
ET151042	1	2	2	0
ET151043	1	3	3	0
ET151044	1	3	3	0
ET151044	2	2	2	1
ET151049	1	3	3	0
ET151051	1	2	3	0
ET151051	2	3	3	0
ET151052	1	2	3	0
ET151052	2	3	3	0
ET151053	1	3	2	0
ET151066	1	3	3	0
ET161002	1	2	1	0
ET161002	2	15	1	1
ET161006	1	13	1	0
ET161009	1	4	3	0
ET161009	2	2	3	1
ET161009	3	1	2	1
ET161010	1	2	1	1
ET161010	2	3	3	0
ET161010	3	15	1	0
ET161011	1	15	2	0
ET161015	1	15	3	0
ET161019	1	15	3	0
ET161031	1	15	1	0
ET161037	1	2	3	1
ET161039	1	15	3	1
ET171003	1	2	2	0
ET171005	1	15	2	0
ET171006	1	15	2	0
ET171007	1	4	2	0
ET171008	1	13	2	0
ET171013	1	2	2	0
ET171013	2	13	2	1
ET171021	1	13	2	0
ET171024	1	15	2	1
ET171025	1	15	3	0
ET171025	2	13	3	0
ET171029	1	2	2	1
ET171032	1	2	2	0
ET171038	1	4	2	0
ET171040	1	2	3	0
ET171040	2	15	3	1
ET171041	1	15	2	0
ET171043	1	13	1	0
ET171044	1	13	1	0
ET171044	2	13	1	0
ET171045	1	4	3	0
ET171046	1	2	2	0
ET181001	1	1	2	0
ET181002	1	2	1	0
ET181004	1	15	1	0
ET181004	2	2	1	0
ET181006	1	4	2	0
ET181007	1	7	1	0
ET181009	1	13	3	1
ET181009	2	13	2	0
ET181009	3	13	2	1
ET181009	4	13	2	0
ET181010	1	8	3	0
ET181011	1	15	3	1
ET181012	1	2	3	1
ET181013	1	7	3	0
ET181014	1	2	1	0
ET181015	1	2	2	0
ET181016	1	5	2	0
ET181018	1	1	2	0
ET181018	2	8	2	1
ET181018	3	12	2	0
ET181019	1	2	1	0
ET181019	2	15	1	0
ET181020	1	15	2	0
ET181021	1	2	1	0
ET181021	2	15	2	0
ET181022	1	14	2	0
ET181024	1	1	1	0
ET181024	2	4	2	1
ET181025	1	4	3	1
ET181026	1	12	2	0
ET181026	2	13	2	0
ET181026	3	1	2	1
ET181027	1	2	1	0
ET181028	1	4	2	0
ET181029	1	2	3	1
ET181030	1	15	3	0
ET181030	2	4	2	1
ET181031	1	7	3	0
ET181034	1	2	3	0
ET181034	2	15	3	1
ET181034	3	4	2	0
ET181035	1	7	3	1
ET181037	1	8	2	0
ET181038	1	4	1	0
ET181039	1	4	1	1
ET181040	1	2	2	0
ET181040	2	4	2	1
ET181042	1	2	1	1
ET181043	1	7	2	0
ET181044	1	7	1	0
ET181045	1	6	3	1
ET181046	1	15	2	1
ET181048	1	5	2	0
ET181049	1	15	1	1
ET191001	1	4	1	0
ET191002	1	15	2	0
ET191004	1	15	2	0
ET191006	1	15	2	0
ET191007	1	2	2	0
ET191008	1	8	2	0
ET191009	1	2	3	0
ET191010	1	2	2	1
ET191010	2	15	2	0
ET191011	1	15	2	0
ET191012	1	4	2	0
ET191013	1	15	2	0
ET191014	1	13	2	0
ET191015	1	2	3	1
ET191018	1	2	2	0
ET191019	1	2	2	0
ET191020	1	15	2	0
ET191020	2	2	2	1
ET191022	1	15	2	0
ET191022	2	15	2	0
ET191022	3	2	2	1
ET191023	1	15	1	0
ET191024	1	3	2	1
ET191025	1	2	2	0
ET191025	2	15	2	0
ET191026	1	4	2	0
ET191027	1	8	2	0
ET191029	1	4	1	0
ET191030	1	15	2	1
ET191030	2	15	1	0
ET191032	1	15	2	0
ET191033	1	15	2	0
ET191034	1	13	3	0
ET191035	1	2	2	1
ET191036	1	15	2	0
ET191037	1	4	2	0
ET191037	2	4	2	0
ET191037	3	4	2	0
ET191039	1	2	2	1
ET191041	1	5	2	1
ET191041	2	15	2	1
ET191043	1	4	3	1
ET191044	1	4	2	1
ET191044	2	2	2	1
ET191045	1	7	3	1
ET191046	1	2	2	0
ET191048	1	15	2	1
ET191049	1	4	2	0
ET191050	1	15	1	0
ET191051	1	7	2	0
ET201001	1	4	2	0
ET201003	1	15	2	0
ET201004	1	2	2	0
ET201005	1	15	2	0
ET201006	1	7	1	1
ET201007	1	2	3	0
ET201007	2	4	2	0
ET201007	3	13	2	0
ET201008	1	4	1	0
ET201009	1	15	1	0
ET201010	1	3	2	0
ET201011	1	13	2	0
ET201013	1	15	2	0
ET201015	1	4	1	0
ET201016	1	4	1	0
ET201018	1	4	1	0
ET201019	1	2	2	0
ET201020	1	15	2	1
ET201021	1	15	3	0
ET201023	1	4	1	0
ET201024	1	4	1	1
ET201026	1	15	2	0
ET201027	1	15	2	0
ET201029	1	13	2	1
ET201029	2	13	2	0
ET201033	1	4	1	0
ET201034	1	4	1	0
ET201036	1	15	3	0
ET201037	1	2	2	0
ET201039	1	2	3	0
ET201041	1	4	1	0
ET201045	1	2	1	1
ET201046	1	7	2	0
ET201047	1	2	2	0
ET201050	1	15	2	0
