CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3	SUPRIDR3	SUPEXPR3	SUIMR301	SUIMR302
ET061010	3	5	13	2000	2001	4	2	4	1	2
ET061011	1	5	13	1998	1999	4	80	5	2	8
ET061011	2	5	13	1999	2000	4	80	5	2	1
ET061011	3	5	13	2000	2001	4	80	5	2	1
ET061011	4	5	13	2001	-99	4	80	5	2	1
ET061012	1	5	13	2001	-99	4	80	4	2	9
ET061012	2	5	13	2000	-99	4	80	4	2	9
ET061014	1	5	13	2001	-99	4	2	2	2	88
ET061015	1	5	13	2001	-99	4	80	4	2	88
ET061015	2	1	5	2000	-99	4	1	2	1	2
ET061015	3	1	5	2000	-99	4	1	2	1	2
ET061016	1	5	13	2000	2001	4	2	4	1	2
ET061016	2	5	13	2001	-99	4	2	4	1	2
ET061018	1	1	5	1999	-99	2	1	4	1	2
ET061019	1	1	36	1998	2001	2	80	2	9	88
ET061019	2	5	13	2000	2001	4	80	4	2	88
ET061019	3	5	13	2001	-99	4	80	4	2	88
ET061020	1	5	13	2000	2001	4	80	5	2	6
ET061020	2	5	13	2001	-99	4	80	5	2	6
ET061021	1	5	1	2001	-99	4	1	3	2	88
ET061022	1	5	1	2000	-99	11	80	2	2	1
ET061023	1	5	13	2000	2001	4	2	4	9	88
ET061023	2	5	13	2001	-99	4	2	4	2	88
ET061024	1	5	13	2001	-99	4	80	3	2	88
ET061025	1	5	13	2000	2001	4	1	4	2	88
ET061025	2	3	39	1998	-99	1	80	2	2	88
ET061026	1	3	39	1998	-99	5	80	4	1	2
ET061026	2	4	39	1998	-99	4	80	4	2	88
ET061026	3	5	13	2001	-99	4	80	3	2	88
ET061026	4	5	1	1999	-99	2	80	3	2	88
ET061028	1	5	13	2001	-99	4	1	4	2	88
ET061029	1	5	13	2001	-99	4	80	2	9	88
ET061029	2	14	39	2000	-99	11	80	4	2	5
ET061031	1	4	39	2000	-99	5	80	4	2	4
ET061031	2	3	39	2000	-99	4	80	4	2	4
ET061031	3	5	15	2001	-99	2	2	4	2	88
ET061033	1	5	13	2001	2002	4	90	4	4	88
ET061037	1	3	39	1998	-99	7	80	4	2	88
ET061037	2	4	39	1998	-99	4	80	4	2	88
ET061038	1	5	15	1999	-99	2	80	5	2	88
ET061038	2	5	13	1997	1998	4	80	5	2	1
ET061038	3	5	13	1998	1999	4	80	5	2	1
ET061038	4	5	13	1999	2000	4	80	5	2	1
ET061038	5	5	13	2000	2001	4	80	5	2	88
ET061038	6	5	13	2001	-99	4	80	5	2	1
ET061039	1	5	13	1998	-99	4	80	3	2	1
ET061041	1	5	13	2001	-99	4	80	4	1	2
ET061041	2	3	39	1998	-99	5	80	4	1	2
ET061041	3	4	39	1998	-99	4	80	4	1	2
ET061043	1	9	6	2000	-99	4	80	3	5	88
ET061043	2	5	13	2000	-99	2	80	3	1	2
ET061043	3	5	1	2001	2002	4	80	3	2	88
ET061044	1	5	13	2001	-99	4	80	5	2	6
ET061044	2	5	13	1997	1998	4	80	5	2	6
ET061044	3	5	13	1998	1999	4	80	5	2	6
ET061044	4	5	13	1999	2000	4	80	5	2	6
ET061044	5	5	13	2000	2001	4	80	5	2	6
ET061046	1	1	36	2001	-99	4	80	4	2	88
ET061050	1	5	13	1999	2000	4	80	4	2	88
ET061050	2	5	13	2000	2001	4	80	4	2	88
ET061050	3	5	13	2001	-99	4	80	4	2	88
ET061050	4	1	36	1999	2000	4	80	4	2	88
ET061050	5	1	36	2000	2001	4	80	4	2	88
ET061051	1	5	13	1997	1998	4	80	5	2	7
ET061051	2	5	13	1998	1999	4	80	5	2	1
ET061051	3	5	13	1999	2000	4	80	5	2	1
ET061051	4	5	13	2000	2001	4	80	5	2	7
ET061051	5	5	13	2001	-99	4	80	5	2	8
ET061052	1	5	13	1998	-99	4	80	4	4	2
ET061054	1	3	39	1998	-99	5	80	2	2	1
ET061054	2	4	39	1998	-99	4	80	2	2	1
ET061054	3	5	19	2001	2003	2	80	2	2	1
ET061056	1	3	39	1997	-99	5	80	4	2	1
ET061056	2	4	39	1997	-99	4	80	4	2	1
ET061056	3	5	15	1999	-99	11	1	3	4	88
ET061057	1	5	13	2001	-99	4	80	3	2	88
ET061057	2	5	13	1999	2000	4	80	3	2	88
ET061057	3	5	13	2000	2001	4	80	3	2	88
ET061058	1	5	15	1999	2002	2	80	2	9	88
ET061058	2	4	39	2000	-99	2	80	4	2	88
ET061058	3	3	39	1998	-99	5	80	4	2	4
ET061058	4	4	39	1998	-99	4	80	4	2	88
ET071003	1	1	5	2001	-99	4	80	4	2	1
ET071003	2	17	6	2001	-99	5	80	4	5	88
ET071003	3	7	6	1999	-99	10	80	4	5	88
ET071003	4	8	6	1999	-99	5	80	4	6	88
ET071003	5	13	36	1989	-99	10	2	4	4	88
ET071003	6	15	29	1986	2000	4	2	4	5	88
ET071004	1	5	13	2000	-99	2	80	4	1	88
ET071004	2	5	15	2001	-99	4	80	4	2	4
ET071005	1	5	15	2000	-99	3	1	4	2	88
ET071006	1	19	39	2001	2001	11	80	3	2	1
ET071006	2	13	5	2001	2001	11	1	4	2	1
ET071006	3	5	13	2001	-99	4	80	3	2	88
ET071010	1	4	39	1998	-99	4	80	3	2	88
ET071010	2	3	39	1998	-99	5	80	3	2	88
ET071010	3	5	13	2000	2001	4	1	4	2	88
ET071010	4	5	13	2001	-99	4	1	4	2	88
ET071011	1	4	39	1998	-99	4	80	4	2	88
ET071011	2	3	39	1998	-99	5	80	4	2	88
ET071013	1	4	39	1998	-99	4	80	2	1	88
ET071013	2	17	6	2001	-99	4	80	4	5	88
ET071013	3	7	6	2002	-99	7	80	4	5	88
ET071013	4	8	6	2000	2000	4	80	4	3	88
ET071013	5	3	39	1998	-99	5	80	2	1	88
ET071015	1	4	39	1998	-99	5	80	5	1	3
ET071015	2	3	39	1998	-99	4	80	5	1	3
ET071015	3	5	13	1998	-99	3	1	5	8	2
ET071017	1	4	39	1998	-99	4	80	4	2	88
ET071017	2	3	39	1998	-99	5	80	4	4	88
ET071018	1	3	39	1998	-99	5	80	4	2	88
ET071018	2	4	39	1998	-99	4	80	4	2	88
ET071018	3	5	15	2001	-99	1	80	4	2	88
ET071019	1	5	13	2000	2001	4	80	4	2	88
ET071020	1	5	15	2001	-99	2	1	4	2	88
ET071024	1	3	39	1998	-99	5	80	5	1	2
ET071024	2	4	39	1998	-99	4	80	5	1	2
ET071024	3	5	13	2001	-99	4	80	5	4	2
ET071025	1	10	5	2001	2001	11	1	4	1	2
ET071028	1	3	39	1998	-99	5	80	4	2	4
ET071028	2	4	39	1998	-99	4	80	4	2	88
ET071029	1	19	27	2001	2001	4	80	4	2	88
ET071029	2	5	15	1996	1998	3	80	4	2	88
ET071031	1	1	27	2001	2001	4	80	4	2	88
ET071031	2	5	15	2000	-99	3	80	4	2	88
ET071032	1	14	39	1997	-99	7	80	5	1	2
ET071034	1	4	39	1998	-99	4	80	4	2	88
ET071034	2	3	39	1998	-99	5	80	4	2	88
ET071034	3	5	13	2000	-99	2	80	4	2	4
ET071038	1	3	39	1998	-99	4	80	4	1	2
ET071038	2	4	39	1998	-99	5	80	3	4	5
ET071039	1	5	15	2000	-99	2	80	4	9	88
ET071040	1	4	39	1998	-99	4	80	3	2	88
ET071040	2	3	39	1998	-99	5	80	4	2	88
ET071041	1	3	39	1998	-99	5	80	4	2	4
ET071041	2	4	39	1998	-99	4	80	4	2	4
ET071041	3	5	15	2000	-99	2	80	2	9	88
ET071042	1	4	39	1997	-99	4	80	4	2	88
ET071042	2	3	39	1997	-99	5	80	4	2	88
ET071042	3	5	15	2002	2002	4	2	4	2	88
ET071042	4	19	39	2000	-99	2	80	4	2	88
ET071043	1	4	39	1997	-99	4	80	1	2	1
ET071043	2	3	39	1997	-99	5	80	1	2	1
ET071043	3	5	15	1997	-99	1	80	4	7	88
ET071047	1	5	15	2000	2001	4	1	5	2	1
ET071047	2	9	6	2001	2002	10	2	4	5	88
ET071047	3	10	5	2002	2002	1	1	2	4	88
ET071047	4	5	13	1998	2000	2	1	4	9	88
ET071047	5	5	13	2000	-99	4	1	4	2	1
ET071048	1	5	13	2001	-99	2	80	4	2	4
ET071049	1	5	15	1997	1998	3	80	4	7	6
ET071049	2	5	13	1997	2000	3	80	5	2	6
ET071050	1	5	13	1999	-99	2	80	5	4	2
ET081001	1	3	39	1999	-99	5	80	3	1	88
ET081002	1	3	39	1998	-99	7	80	4	1	88
ET081003	1	3	39	1997	2000	9	80	2	4	2
ET081003	2	13	15	2000	-99	5	80	5	2	88
ET081003	3	6	39	1997	-99	9	1	2	2	88
ET081004	1	19	15	1999	-99	3	80	1	1	2
ET081004	2	3	39	1998	-99	7	80	4	7	88
ET081005	1	3	39	1999	-99	9	80	4	2	88
ET081006	1	3	39	2001	-99	8	80	2	2	88
ET081007	1	1	5	1999	-99	10	3	4	1	2
ET081007	2	10	15	1999	-99	4	80	1	2	3
ET081009	1	3	39	1998	-99	7	1	2	9	88
ET081010	1	3	39	1999	-99	9	80	5	2	4
ET081011	1	3	39	1999	1999	7	80	4	9	88
ET081012	1	3	39	1999	-99	8	80	3	9	88
ET081013	1	3	39	1998	-99	7	80	4	2	88
ET081014	1	3	39	1998	-99	9	80	1	1	2
ET081015	1	3	39	1998	-99	8	80	1	8	88
ET081016	1	19	24	1999	-99	2	80	4	2	88
ET081016	2	3	39	1998	1998	5	80	4	1	2
ET081017	1	3	39	1999	2001	4	80	4	2	88
ET081018	1	3	39	1999	-99	7	80	4	2	1
ET081018	2	10	15	2001	-99	4	2	4	9	88
ET081019	1	3	39	1998	-99	7	80	4	2	88
ET081020	1	5	15	1999	2001	1	2	2	4	88
ET081021	1	3	39	1998	-99	7	80	2	2	88
ET081022	1	3	39	1999	-99	9	80	3	5	88
ET081023	1	3	39	1998	-99	8	80	4	2	5
ET081024	1	3	39	1998	2000	7	80	4	2	88
ET081025	1	8	6	2000	-99	5	2	4	5	88
ET081026	1	1	5	1999	-99	4	1	2	1	2
ET081026	2	2	6	1999	-99	10	80	2	5	88
ET081026	3	3	39	1999	-99	5	80	1	4	5
ET081027	1	3	39	1998	-99	8	80	4	5	2
ET081027	2	8	6	1997	-99	7	2	5	9	88
ET081028	1	9	6	2000	-99	5	80	5	5	88
ET081028	2	8	6	1999	-99	5	80	5	5	88
ET081028	3	3	39	1997	1999	10	80	4	2	1
ET081029	1	5	13	1999	1999	2	80	5	2	1
ET081029	2	3	39	1997	-99	8	80	5	1	9
ET081030	1	3	39	1998	-99	7	80	4	2	88
ET081031	1	3	39	1999	-99	7	80	5	2	4
ET081031	2	8	6	1998	-99	5	2	3	5	88
ET081032	1	3	39	1999	-99	9	80	4	4	2
ET081033	1	1	5	1999	-99	5	80	4	2	1
ET081033	2	9	6	2000	-99	7	2	4	5	88
ET081033	3	7	6	2000	-99	8	2	4	5	88
ET081033	4	10	6	1998	-99	4	2	4	2	88
ET081034	1	3	39	1999	-99	9	80	4	5	2
ET081035	1	3	9	1999	-99	9	80	4	2	88
ET081036	1	1	5	1990	-99	5	1	4	1	88
ET081036	2	8	6	1999	-99	1	2	4	5	88
ET081036	3	3	39	1998	2000	7	80	4	2	88
ET081037	1	1	5	2001	-99	4	1	4	2	77
ET081037	2	9	6	2000	2001	4	2	4	5	77
ET081037	3	8	6	2000	2001	5	2	4	4	5
ET081037	4	3	39	1999	-99	2	80	3	2	77
ET081038	1	3	39	1999	-99	10	80	2	2	3
ET081038	2	7	6	1999	-99	9	80	2	5	88
ET081038	3	8	6	1999	-99	9	80	2	5	88
ET081038	4	17	6	1999	-99	7	80	2	5	88
ET081039	1	3	39	1998	-99	8	80	5	2	5
ET081040	1	3	39	1999	-99	8	80	5	2	9
ET081041	1	3	39	2000	-99	8	80	4	2	88
ET081041	2	9	24	1999	2001	7	2	4	9	88
ET081042	1	1	5	1999	-99	5	80	4	3	4
ET081042	2	3	39	1999	-99	10	80	4	2	88
ET081042	3	9	6	1999	-99	8	80	4	5	88
ET081043	1	3	39	1998	-99	8	80	3	5	88
ET081043	2	10	15	2001	-99	4	80	3	9	88
ET081044	1	3	39	1998	-99	7	80	4	4	88
ET081045	1	3	39	1998	-99	8	80	4	1	2
ET081046	1	3	39	1999	-99	9	80	4	2	4
ET081047	1	3	39	1998	-99	7	80	5	4	88
ET081048	1	3	39	1998	1999	9	1	2	2	88
ET081048	2	17	6	1997	-99	7	80	4	5	88
ET081048	3	9	6	1996	-99	7	2	3	9	88
ET081049	1	3	39	2000	-99	9	80	2	9	88
ET081050	1	1	5	1998	-99	5	80	4	1	88
ET081050	2	9	6	2000	-99	5	80	4	5	88
ET081050	3	3	39	1997	2001	9	80	4	2	88
ET081050	4	8	6	1998	-99	4	2	4	5	88
ET091001	1	1	5	2001	-99	10	1	5	3	88
ET091002	1	9	6	2000	-99	10	80	5	5	88
ET091002	2	4	8	1997	-99	9	80	5	5	1
ET091002	3	3	8	1997	-99	9	80	5	5	1
ET091003	1	1	5	1995	-99	10	80	5	1	88
ET091003	2	4	8	1997	-99	10	80	5	2	4
ET091003	3	7	6	2001	-99	5	80	5	5	88
ET091003	4	9	6	2000	-99	8	80	5	5	88
ET091003	5	3	8	1997	-99	10	80	5	2	4
ET091004	1	4	8	1998	-99	10	80	4	2	88
ET091004	2	1	5	1998	-99	10	80	4	1	88
ET091004	3	9	6	2001	-99	10	80	4	5	88
ET091005	1	1	5	1998	2000	8	80	4	2	88
ET091005	2	5	15	1998	-99	4	1	5	3	5
ET091005	3	9	6	1999	-99	9	80	5	5	88
ET091006	1	4	8	1997	-99	10	80	4	1	5
ET091006	2	9	6	1998	-99	10	1	5	5	88
ET091006	3	8	6	1994	-99	8	1	5	9	88
ET091006	4	3	8	1997	-99	10	80	4	1	5
ET091007	1	17	6	1999	-99	11	80	4	5	88
ET091007	2	8	6	1998	-99	10	2	4	3	5
ET091007	3	5	13	1995	-99	4	2	4	1	88
ET091008	1	4	8	1997	-99	10	80	4	2	88
ET091008	2	1	5	1998	-99	10	80	4	1	88
ET091008	3	9	6	1998	-99	10	80	5	5	88
ET091008	4	3	8	1997	-99	10	80	4	2	88
ET091009	1	9	6	2000	-99	2	80	4	5	88
ET091010	1	8	6	1997	-99	7	2	4	5	88
ET091010	2	7	6	1997	-99	10	80	5	5	88
ET091010	3	1	5	1997	-99	4	1	5	9	88
ET091011	1	9	6	2000	-99	7	80	4	5	88
ET091011	2	1	5	1999	-99	7	80	4	2	88
ET091011	3	14	8	1995	-99	10	80	4	2	88
ET091012	1	8	6	1992	-99	8	2	5	9	88
ET091014	1	1	5	1995	-99	5	80	4	2	1
ET091014	2	9	6	1998	-99	10	80	4	5	88
ET091015	1	3	8	2002	-99	9	80	5	2	88
ET091015	2	4	8	2000	-99	9	80	5	2	88
ET091015	3	1	5	1996	-99	4	80	4	1	88
ET091015	4	9	6	2000	-99	5	80	4	5	88
ET091016	1	1	5	1996	-99	10	80	5	2	88
ET091016	2	9	6	1999	-99	7	80	5	5	3
ET091016	3	4	8	2001	-99	7	80	5	2	1
ET091016	4	8	6	2000	-99	1	2	5	9	88
ET091017	1	9	6	2000	-99	8	80	5	5	88
ET091017	2	7	6	2001	-99	6	80	5	5	88
ET091017	3	1	5	1997	-99	10	80	5	1	2
ET091018	1	3	8	2002	-99	10	80	4	2	5
ET091018	2	4	8	1996	-99	10	80	5	2	5
ET091018	3	7	6	1997	-99	10	80	5	5	88
ET091018	4	5	13	1994	-99	10	16	3	2	88
ET091019	1	4	8	1997	-99	9	80	5	2	4
ET091019	2	9	6	2001	-99	8	80	5	5	88
ET091019	3	1	5	2002	-99	10	80	5	2	1
ET091019	4	3	8	1997	-99	9	80	5	2	4
ET091020	1	9	5	2000	-99	10	80	5	5	88
ET091021	1	3	8	2001	-99	9	80	4	2	1
ET091021	2	4	8	1999	-99	10	80	4	2	5
ET091021	3	8	6	1999	-99	8	2	4	3	5
ET091021	4	9	6	1999	-99	8	80	4	4	5
ET091022	1	1	5	1999	-99	10	1	4	2	3
ET091022	2	8	6	1999	-99	10	2	4	3	5
ET091023	1	4	8	1997	-99	9	80	4	2	88
ET091023	2	9	6	2000	-99	10	80	4	9	88
ET091023	3	1	5	2000	-99	10	80	5	9	88
ET091023	4	3	8	1997	-99	9	80	5	2	1
ET091024	1	1	5	2000	-99	10	80	4	2	1
ET091024	2	9	6	2000	-99	10	80	4	5	88
ET091024	3	3	8	1997	-99	10	80	5	1	2
ET091024	4	4	8	1997	-99	10	80	5	2	1
ET091025	1	1	5	1998	-99	5	80	4	1	88
ET091025	2	8	6	2000	-99	5	80	4	5	88
ET091026	1	13	8	1999	-99	5	2	5	5	88
ET091026	2	13	15	2001	-99	7	2	5	5	88
ET091026	3	1	5	1998	-99	5	80	4	1	88
ET091026	4	8	6	1998	-99	8	80	4	5	88
ET091027	1	1	5	1999	-99	5	1	4	2	4
ET091027	2	8	6	1999	-99	8	1	4	3	5
ET091027	3	4	8	1999	-99	9	80	4	2	5
ET091027	4	3	8	2001	-99	9	80	4	2	5
ET091028	1	4	8	1997	-99	7	80	5	2	88
ET091028	2	1	5	2000	-99	7	1	5	1	88
ET091028	3	9	6	2000	-99	10	2	5	5	88
ET091028	4	3	8	1997	-99	7	80	5	1	88
ET091029	1	1	5	1999	-99	7	80	5	2	88
ET091029	2	7	6	2001	-99	6	80	5	5	88
ET091029	3	8	6	1999	-99	8	2	5	9	88
ET091029	4	9	6	1998	-99	10	80	5	5	88
ET091030	1	1	5	1997	-99	10	80	5	9	88
ET091030	2	9	6	2001	-99	10	80	5	5	88
ET091030	3	5	13	2001	2002	4	1	3	9	88
ET091030	4	16	15	2000	2002	4	0	5	3	4
ET091031	1	9	6	2000	-99	2	80	5	5	88
ET091031	2	15	6	1999	-99	10	80	5	5	88
ET091031	3	9	6	1999	-99	9	80	5	5	88
ET091032	1	1	5	1996	-99	8	80	5	1	88
ET091032	2	8	6	1998	-99	8	80	5	5	88
