CHILDID	PLOTID	PLINCMR3	PLVALR3	PLLCSTR3
ET161004	3	1	1800	600
ET161020	2	1	750	200
ET161022	2	1	2100	0
ET161048	1	88	88	88
ET161048	2	88	88	88
ET171001	2	1	60	0
ET171002	2	1	50	0
ET171002	3	1	400	0
ET171002	4	0	-88	88
ET171005	2	0	-88	-88
ET171009	5	1	200	0
ET171011	6	1	50	0
ET171014	2	1	300	0
ET171014	3	1	200	0
ET171014	4	1	150	0
ET171014	5	1	250	0
ET171018	5	1	50	0
ET171023	8	0	-88	-88
ET171030	7	1	300	0
ET171030	8	1	100	0
ET171034	2	1	250	0
ET171034	3	1	140	0
ET171034	4	1	300	0
ET171041	2	1	520	0
ET171041	3	1	560	0
ET171044	7	1	300	0
ET171044	8	1	100	0
ET171046	5	1	50	0
ET171050	2	1	1200	0
ET171050	3	1	40	0
ET181002	6	1	300	0
ET181003	7	1	250	20
ET181005	6	1	200	0
ET181006	5	1	400	0
ET181007	7	1	500	0
ET181008	7	1	2000	0
ET181008	8	1	1000	0
ET181009	6	1	100	0
ET181010	4	1	150	0
ET181011	7	1	250	0
ET181012	7	1	1000	0
ET181013	7	1	400	0
ET181014	8	1	150	0
ET181015	6	1	200	0
ET181016	7	1	400	0
ET181017	5	1	400	0
ET181017	7	1	150	0
ET181019	6	1	200	0
ET181021	6	1	400	0
ET181023	8	1	300	0
ET181025	8	1	200	0
ET181027	4	1	300	0
ET181029	8	1	400	0
ET181030	6	1	60	0
ET181031	6	1	300	25
ET181031	7	1	200	0
ET181032	3	1	200	0
ET181034	5	1	1000	0
ET181035	6	1	1000	0
ET181036	6	1	200	0
ET181038	8	1	200	0
ET181039	5	1	200	0
ET181040	5	1	200	0
ET181041	5	1	200	0
ET181042	6	1	500	0
ET181043	6	1	150	0
ET181044	7	1	300	0
ET181046	7	1	300	0
ET181047	7	1	300	0
ET181048	4	1	500	0
ET181049	6	1	100	0
ET191001	2	1	800	0
ET191001	3	1	100	0
ET191005	3	1	-77	0
ET191010	3	1	460	230
ET191010	4	1	150	0
ET191012	2	1	750	0
ET191012	3	1	400	0
ET191012	4	1	200	0
ET191017	2	1	250	0
ET191017	3	1	300	0
ET191017	4	1	200	0
ET191018	3	0	-88	15
ET191018	4	0	-88	15
ET191018	5	1	100	0
ET191019	2	1	800	0
ET191019	3	1	300	0
ET191020	2	1	300	0
ET191020	3	1	230	0
ET191020	4	1	300	0
ET191022	2	1	920	460
ET191022	3	1	800	400
ET191022	4	1	600	300
ET191022	5	1	150	0
ET191023	2	1	200	0
ET191024	3	1	700	0
ET191024	4	1	600	0
ET191026	2	1	750	0
ET191026	3	1	200	0
ET191028	2	1	250	0
ET191029	3	1	200	0
ET191031	2	1	2350	0
ET191031	3	1	100	0
ET191033	2	1	1050	0
ET191033	3	1	100	0
ET191040	3	1	50	0
ET191042	2	1	1500	0
ET191042	3	1	120	0
ET191045	2	1	1350	0
ET191048	2	1	460	80
ET191048	3	1	180	0
ET191048	4	1	300	0
ET191050	2	1	900	100
ET191050	3	1	450	50
ET191050	4	1	700	50
ET201001	7	1	9000	300
ET201001	8	1	8000	275
ET201003	2	1	1100	0
ET201003	3	1	400	0
ET201007	2	1	150	0
ET201007	3	1	150	0
ET201014	2	1	150	0
ET201015	2	1	900	0
ET201015	3	1	550	0
ET201021	2	1	900	0
ET201021	3	1	800	0
ET201024	3	1	400	0
ET201030	2	1	300	0
ET201030	3	1	500	0
ET201030	4	1	150	0
ET201030	5	1	200	0
ET201037	2	1	900	0
ET201037	3	1	600	0
ET201041	2	1	250	0
ET201041	3	1	600	0
ET201041	4	1	600	0
ET201041	5	1	400	0
ET201041	6	1	350	0
ET201041	7	1	200	0
ET201042	2	1	260	0
ET201043	2	1	40	0
ET201045	5	1	350	0
ET201050	2	1	450	0
ET201050	3	1	225	0
