PLACEID	HLTHIDR4	CURHFAC	TIMHFAC	TRNHFAC
24	13	77	 	 
25	1	0	15	4
25	2	3	 	 
25	3	1	 	 
25	4	3	 	 
25	5	3	 	 
25	6	3	 	 
25	7	3	 	 
25	8	1	 	 
25	9	3	 	 
25	10	3	 	 
25	11	3	 	 
25	12	3	 	 
25	13	3	 	 
26	1	1	 	 
26	2	3	 	 
26	3	1	 	 
26	4	3	 	 
26	5	3	 	 
26	6	3	 	 
26	7	3	 	 
26	8	1	 	 
26	9	1	 	 
26	10	3	 	 
26	11	0	10	4
26	12	3	 	 
26	13	3	 	 
27	1	1	 	 
27	2	3	 	 
27	3	1	 	 
27	4	3	 	 
27	5	0	15	4
27	6	3	 	 
27	7	3	 	 
27	8	1	 	 
27	9	3	 	 
27	10	3	 	 
27	11	0	15	4
27	12	3	 	 
27	13	3	 	 
28	1	0	10	4
28	2	0	10	4
28	3	1	 	 
28	4	0	8	4
28	5	1	 	 
28	6	3	 	 
28	7	1	 	 
28	8	1	 	 
28	9	1	 	 
28	10	3	 	 
28	11	1	 	 
28	12	3	 	 
28	13	88	 	 
29	1	0	10	4
29	2	0	15	4
29	3	1	 	 
29	4	1	 	 
29	5	1	 	 
29	6	3	 	 
29	7	1	 	 
29	8	1	 	 
29	9	3	 	 
29	10	3	 	 
29	11	1	 	 
29	12	3	 	 
29	13	88	 	 
32	1	1	 	 
32	2	3	 	 
32	3	1	 	 
32	4	0	12	4
32	5	1	 	 
32	6	3	 	 
32	7	1	 	 
32	8	1	 	 
32	9	1	 	 
32	10	3	 	 
32	11	1	 	 
32	12	3	 	 
32	13	1	 	 
33	1	3	 	 
33	2	0	5	4
33	3	1	 	 
33	4	0	10	4
33	5	1	 	 
33	6	3	 	 
33	7	3	 	 
33	8	1	 	 
33	9	3	 	 
33	10	3	 	 
33	11	0	15	4
33	12	3	 	 
33	13	88	 	 
34	1	1	 	 
34	2	88	 	 
34	3	1	 	 
34	4	88	 	 
34	5	1	 	 
34	6	88	 	 
34	7	1	 	 
34	8	1	 	 
34	9	88	 	 
34	10	88	 	 
34	11	88	 	 
34	12	88	 	 
34	13	88	 	 
35	1	0	10	4
35	2	3	 	 
35	3	1	 	 
35	4	3	 	 
35	5	1	 	 
35	6	3	 	 
35	7	1	 	 
35	8	1	 	 
35	9	3	 	 
35	10	3	 	 
35	11	1	 	 
35	12	3	 	 
35	13	3	 	 
36	1	0	40	4
36	2	0	20	4
36	3	1	 	 
36	4	3	 	 
36	5	3	 	 
36	6	3	 	 
36	7	3	 	 
36	8	1	 	 
36	9	0	20	4
36	10	3	 	 
36	11	3	 	 
36	12	3	 	 
36	13	3	 	 
