PLACEID	STRTDINT	CHRINF1	CHRINF2	CHRINF3	POPSIZE	FAMLOC	PAVEDN	UNPAVEDN	TRACKSN	OTTRANN	MAINRTR4	MONTHS	CMNTRNR4	PAVEDNYL	UNPAVEYL	TRACKSYL	OTTRANYL	OTRASPYL	MAINRTYL	FACTORY	KNDFACE1	EMPLMEN	EMPLWOMN	EMPLCHLD	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	GRBMTH1	GRBMTH2	GRBMTH3	PRGINF1	PRGINF2	PRGINF3	POLINF1	POLINF2	POLINF3	RCVCRD13	RCVCRD12	RCVCRD11	RCVCRD10	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10	POVINF1	POVINF2	POVINF3	COMNDIFF	COMNPOOR	EDCNINF1	EDCNINF2	EDCNINF3	LTRCYCMP	HLTHINF1	HLTHINF2	HLTHINF3	MIDWIFE	BIRTHATT	TRADHLR	AUXILIAR	NURSE	VILHTHWK	MTLHLTH	GENPHYS	SPECPHYS	DENTIST	OTHRPERS	PHCINF1	PHCINF2	PHCINF3	TYPESTB	HLTHDL01	HLTHDL02	HLTHDL03	HLTHDL04	HLTHDL05	HLTHDL06	HLTHDL07	HLTHDL08	HLTHDL09	HLTHDL10	HLTHDL11	HLTHDL12	HLTHDL13	HLTHDL14	HLTHDL15	HLTHLD16	CHHLTPR01	CHHLTPR02	CHHLTPR03	ADHLTPR01	ADHLTPR02	ADHLTPR03	WNHLTPR01	WNHLTPR02	WNHLTPR03	MNHLTPR01	MNHLTPR02	MNHLTPR03	CHPRINF1	CHPRINF2	CHPRINF3	CHORGACC	CHPOLICE	CHUBND	CHSCHOOL	CHNGO	SPCHNGO	CHOTHOR1	CHOTHOR2	WMORGACC	WMPOLICE	WMPEOPLE	WMSCHOOL	WMWMUON	WMYTHUN	WMNGOOTH	SPWMNGO	WMOTHOR1	WMOTHOR2	FRSTHELP	COMMSUPP	TYPSUPP1	TYPSUPP2	TYPSUPP3
11	13/12/2013 08:33:34	1	2	88	5449	1529	1	1	0	0	2	0	1	 	 	 	 	 	 	0	 	 	 	 	0	1	2	3	2	3	88	9	6	88	1	2	3	2	3	88	177	244	350	166	1	2	3	5	6	7	8	9	88	 	 	 	 	2	3	88	0	0	1	2	88	0	1	2	4	1	0	0	1	1	1	0	1	0	1	0	1	2	4	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	15	14	6	14	6	7	12	19	4	19	5	14	1	2	4	1	1	1	0	0	 	0	0	1	1	1	0	1	1	0	 	0	0	3	1	1	4	2
12	10/12/2013 08:43:27	1	2	88	5838	1426	1	1	1	0	1	12	1	 	 	 	 	 	 	1	4	120	140	0	0	1	2	88	1	2	88	5	6	9	1	2	88	1	2	88	101	141	171	195	1	2	88	4	5	6	7	8	9	10	11	12	13	1	2	88	0	0	1	2	88	0	3	88	 	1	0	0	0	1	1	0	1	1	0	0	3	88	 	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	6	9	14	6	9	14	6	18	4	6	9	17	1	2	88	1	1	1	0	0	 	1	0	1	1	1	0	1	0	0	 	0	0	3	1	1	3	2
13	03/11/2013 08:20:29	1	88	 	4976	1197	1	1	0	0	1	0	1	 	 	 	 	 	 	2	4	210	390	0	0	1	88	 	1	88	 	1	4	6	1	88	 	1	 	 	34	50	73	51	1	88	 	3	4	5	6	7	8	9	10	14	15	1	88	 	0	0	1	88	 	0	2	88	 	1	0	0	0	0	1	0	0	1	1	0	2	88	 	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	9	6	15	9	6	15	18	6	4	10	6	9	1	2	88	1	1	1	0	0	 	0	0	1	1	1	0	1	0	0	 	0	0	1	1	1	3	88
14	12/11/2013 00:48:38	1	88	 	14384	3833	1	1	0	0	1	0	0	1	1	0	0	 	1	1	4	447	780	49	0	2	88	 	2	1	88	6	9	1	2	88	 	1	4	88	245	245	283	343	2	88	 	3	4	5	6	7	8	88	 	 	 	2	8	88	0	0	1	2	88	0	1	2	5	1	0	0	1	1	1	1	1	1	1	1	2	5	88	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	0	0	15	6	9	10	6	15	10	19	11	19	17	10	9	10	88	1	1	1	0	0	 	0	0	1	1	1	0	1	1	0	 	0	0	3	1	4	88	 
15	26/11/2013 09:35:43	1	88	 	3165	575	1	1	1	0	2	0	1	 	 	 	 	 	 	0	 	 	 	 	0	1	88	 	1	88	 	3	2	9	1	88	 	1	88	 	343	402	443	478	1	88	 	2	3	88	 	 	 	 	 	 	 	1	88	 	1	1	5	88	 	0	4	88	 	1	1	1	0	1	1	1	0	0	0	0	4	88	 	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	9	6	14	9	6	14	12	4	88	9	14	88	1	88	 	1	1	1	1	0	 	0	0	1	1	1	1	1	1	0	 	0	0	1	1	3	1	88
16	25/12/2013 17:27:53	6	88	 	6438	1524	1	1	0	0	1	0	1	 	 	 	 	 	 	0	 	 	 	 	0	6	88	 	6	88	 	5	9	2	6	88	 	6	88	 	245	400	626	290	6	88	 	1	2	3	4	88	 	 	 	 	 	6	88	 	1	0	7	88	 	0	5	88	 	1	0	0	1	1	1	1	1	0	0	0	5	88	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	14	15	6	6	9	14	8	12	14	14	19	88	5	88	 	1	0	1	0	0	 	0	0	1	0	1	0	1	1	0	 	0	0	4	1	1	3	88
17	11/11/2013 14:39:44	1	2	88	12065	3045	1	1	0	0	1	0	1	 	 	 	 	 	 	1	2	10	25	5	1	1	2	88	1	2	88	9	3	7	1	2	4	2	88	 	266	583	956	126	1	2	3	2	6	7	8	9	88	 	 	 	 	1	2	4	1	0	1	5	88	1	1	6	88	1	1	1	0	1	1	1	1	0	0	0	6	88	 	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	6	14	17	17	9	1	4	8	12	12	17	9	1	3	88	1	1	1	1	0	 	0	0	1	1	1	1	1	1	0	 	0	0	1	1	3	88	 
18	10/12/2013 01:45:23	1	5	4	7532	1821	1	1	1	0	1	0	1	 	 	 	 	 	 	1	2	150	200	0	1	1	7	2	1	5	88	3	5	9	1	7	6	1	7	8	487	640	784	326	3	5	6	6	4	8	10	11	88	 	 	 	 	1	7	6	1	1	1	9	6	0	1	8	5	1	1	1	0	1	1	0	0	0	0	0	1	8	88	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	9	6	15	9	14	88	12	4	88	9	88	 	1	2	7	1	1	1	1	0	 	0	0	1	0	1	1	0	1	0	 	0	0	4	1	1	3	2
19	09/11/2013 07:52:36	1	88	 	1928	450	1	1	1	0	2	0	0	1	0	0	0	 	1	1	6	8	0	0	1	1	88	 	1	88	 	5	9	6	1	88	 	1	88	 	226	257	267	110	1	88	 	2	3	4	5	88	 	 	 	 	 	1	88	 	1	1	6	88	 	0	7	88	 	1	0	0	1	1	1	1	1	0	0	0	7	88	 	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	6	9	14	6	9	14	6	12	9	9	6	14	1	88	 	1	1	1	0	0	 	0	0	1	1	1	0	1	1	0	 	0	0	1	1	1	3	88
20	17/12/2013 14:18:16	5	88	 	2587	657	1	0	0	0	1	0	1	 	 	 	 	 	 	0	 	 	 	 	1	5	88	 	5	88	 	5	3	1	5	88	 	5	88	 	315	350	300	300	5	88	 	1	2	3	4	88	 	 	 	 	 	5	88	 	1	0	7	88	 	0	6	88	 	1	1	1	1	1	1	1	0	0	0	0	6	88	 	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	9	19	14	9	20	88	12	88	 	9	14	19	5	88	 	1	0	1	1	0	 	0	0	1	0	1	0	1	0	0	 	0	0	4	1	3	1	88
21	01/01/2014 08:11:36	1	2	3	8184	2262	1	1	1	1	4	0	1	 	 	 	 	 	 	1	6	20	12	5	1	1	5	6	2	3	4	9	5	3	1	3	6	2	4	6	501	684	1026	1056	2	3	6	2	3	6	7	8	88	 	 	 	 	1	3	4	1	1	1	3	7	0	2	3	88	1	1	0	0	1	1	1	1	0	0	1	2	3	6	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	9	6	15	17	14	88	18	8	88	17	9	88	1	5	6	1	1	1	1	0	 	0	0	1	1	1	1	1	1	0	 	0	0	4	1	3	88	 
22	26/12/2013 16:08:09	2	1	88	13770	3132	1	0	0	0	1	0	1	 	 	 	 	 	 	1	4	20	9	0	0	6	3	4	9	10	1	1	4	5	2	1	88	1	2	10	188	266	318	271	2	5	4	20	11	12	13	14	15	16	17	18	19	2	1	6	0	0	6	8	2	0	2	1	9	1	0	0	1	1	1	1	1	0	0	0	1	9	88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	6	9	88	17	88	 	8	88	 	19	17	88	6	1	88	1	0	1	0	0	 	0	0	1	0	1	1	1	1	0	 	0	0	3	0	 	 	 
23	06/12/2013 08:50:34	1	10	6	7565	1900	1	0	0	0	1	0	1	 	 	 	 	 	 	0	 	 	 	 	0	7	8	10	3	5	7	1	88	 	1	7	10	3	5	10	55	0	0	0	1	2	3	11	12	13	14	15	16	17	18	19	20	1	3	10	0	0	1	4	9	0	1	5	88	0	0	0	0	0	0	0	0	0	0	0	1	5	88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	6	9	88	88	 	 	12	88	 	1	88	 	1	5	8	1	0	1	1	0	 	0	0	0	 	 	 	 	 	 	 	 	 	4	1	1	3	4
24	13/11/2013 07:49:19	1	2	3	7000	2000	1	0	0	0	1	0	1	 	 	 	 	 	 	2	4	154	295	0	0	2	4	88	5	3	88	4	8	88	1	2	88	6	88	 	62	103	-77	-77	1	2	6	9	10	11	12	13	14	15	16	88	 	2	7	88	0	1	7	88	 	0	8	88	 	1	0	1	1	1	1	1	0	0	1	0	8	88	 	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	7	3	15	18	9	77	8	9	77	19	77	 	2	6	4	1	0	1	0	0	 	0	0	1	0	1	0	1	1	0	 	0	0	1	1	3	1	77
25	25/12/2013 07:52:26	1	2	88	4440	1408	1	0	0	0	1	0	1	 	 	 	 	 	 	2	4	237	195	0	0	3	88	 	1	2	88	1	9	5	1	2	88	5	88	 	146	184	238	-77	2	88	 	6	7	10	11	88	 	 	 	 	 	1	5	88	0	0	8	88	 	0	9	88	 	1	0	0	1	1	1	1	1	0	0	0	9	88	 	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	6	14	13	6	14	3	6	12	88	6	1	12	1	9	88	1	1	1	1	0	 	0	0	1	1	1	1	1	1	0	 	0	0	4	1	1	3	79
26	17/12/2013 20:19:49	1	7	88	10000	3000	1	0	0	0	1	0	1	 	 	 	 	 	 	1	4	250	200	0	0	1	2	88	1	3	88	1	9	88	1	7	10	1	10	88	132	222	346	443	1	7	88	11	12	13	14	15	16	17	18	19	20	1	10	88	0	0	8	88	 	0	9	88	 	1	0	0	0	1	1	1	1	0	0	0	9	88	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	77	14	6	3	6	11	12	12	11	6	12	11	14	10	2	88	1	1	1	1	0	 	0	0	1	1	1	1	1	1	0	 	0	0	4	1	1	3	79
27	01/12/2013 07:31:04	1	2	88	7345	2111	1	0	0	0	1	0	1	 	 	 	 	 	 	2	4	-77	-77	-77	0	4	88	 	8	4	88	1	4	8	1	5	88	5	88	 	195	300	382	480	1	3	88	10	9	11	12	13	14	15	16	88	 	1	5	88	0	0	7	88	 	0	6	88	 	1	0	0	0	1	1	1	1	0	0	0	6	88	 	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	9	13	6	17	18	6	12	14	17	17	12	11	5	88	 	1	0	1	1	0	 	0	0	1	0	1	1	1	1	0	 	0	0	4	1	3	1	88
28	26/12/2013 08:34:04	2	3	88	21500	4475	1	0	0	0	1	0	1	 	 	 	 	 	 	0	 	 	 	 	1	2	3	88	2	3	88	1	88	 	2	3	88	2	3	88	109	12	173	171	2	3	88	4	5	88	 	 	 	 	 	 	 	2	3	88	0	0	2	3	88	0	1	88	 	0	0	0	1	1	1	1	1	1	1	1	1	88	 	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	9	17	14	17	14	88	12	20	10	19	10	20	2	3	88	1	0	1	1	0	 	0	0	1	1	1	0	1	1	0	 	0	0	4	1	1	2	88
29	13/11/2013 08:49:10	1	88	 	13336	2232	1	1	0	0	1	0	1	 	 	 	 	 	 	0	 	 	 	 	1	1	88	 	1	2	88	1	4	2	1	88	 	1	2	88	153	87	286	205	1	88	 	4	5	6	7	8	10	11	12	13	11	1	88	 	0	0	1	88	 	0	1	88	 	1	0	1	1	1	1	1	1	1	1	1	1	88	 	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	9	14	20	20	88	 	20	20	19	20	19	9	1	88	 	1	1	1	1	0	 	0	0	1	1	1	1	1	1	0	 	0	0	3	1	1	3	88
32	15/11/2013 11:50:04	1	2	88	13086	3057	1	0	0	0	1	0	1	 	 	 	 	 	 	0	 	 	 	 	1	1	88	 	1	88	 	1	3	2	1	2	88	1	2	 	455	326	262	500	1	2	88	4	5	88	 	 	 	 	 	 	 	1	2	88	0	0	1	88	 	1	3	88	 	1	0	0	1	1	1	1	1	0	0	0	1	2	3	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	6	20	1	6	20	88	20	20	20	19	20	88	1	88	 	1	1	1	0	0	 	1	0	1	1	1	0	0	0	0	 	1	0	3	1	3	2	88
33	16/12/2013 08:51:29	1	2	88	17061	4141	1	0	0	0	1	0	1	 	 	 	 	 	 	0	 	 	 	 	1	1	88	 	1	88	 	1	88	 	1	88	 	1	88	 	485	105	254	603	1	88	 	4	5	88	 	 	 	 	 	 	 	1	88	 	0	0	1	88	 	1	1	88	 	0	0	0	1	1	1	1	0	0	1	1	1	88	 	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	14	6	9	14	20	9	20	14	8	20	14	11	1	88	 	1	1	1	1	0	 	1	1	1	1	1	1	1	1	0	 	0	0	4	1	1	2	3
34	27/11/2013 08:54:55	1	2	88	18978	3783	1	0	0	0	1	0	1	 	 	 	 	 	 	1	4	100	450	0	1	1	2	88	1	2	88	1	2	5	1	2	88	1	2	88	297	325	465	460	1	2	88	4	5	88	 	 	 	 	 	 	 	1	2	88	0	0	1	2	88	1	3	88	 	1	0	0	1	1	1	1	0	1	0	1	3	1	88	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	20	9	6	14	9	20	20	20	20	20	19	6	1	2	88	1	1	1	1	0	 	0	0	1	1	1	1	1	1	0	 	0	0	4	1	4	1	2
35	17/01/2014 01:00:42	1	2	3	17571	4146	1	0	0	0	1	0	1	 	 	 	 	 	 	2	4	1671	1305	0	0	1	2	3	1	2	3	1	3	2	1	2	3	1	2	3	918	207	306	310	1	2	3	4	5	6	7	8	9	10	19	21	20	1	2	3	0	0	1	2	3	0	1	2	3	0	0	0	1	1	1	1	1	0	0	0	1	2	4	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	6	9	20	20	18	88	18	11	8	14	5	19	1	2	3	1	1	1	0	0	 	0	0	1	1	1	0	1	0	0	 	0	0	3	1	1	2	88
36	24/12/2013 09:10:06	1	13	88	13600	3654	1	1	0	0	1	0	1	 	 	 	 	 	 	1	4	2400	2700	0	1	4	13	88	4	14	88	1	2	3	4	88	 	3	16	 	373	130	332	532	3	88	 	5	6	7	8	9	12	11	12	18	88	3	13	88	0	0	2	13	88	1	1	17	88	1	0	0	1	1	1	1	1	0	0	1	4	17	88	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	9	6	15	9	88	 	18	20	20	19	5	17	2	13	88	1	1	1	1	0	 	1	0	1	1	1	0	1	1	0	 	0	0	3	1	1	3	88
