PLACEID	RSID	MODULE	SECTION	AGERES	SEXRES	CAPAC	YRSRES
36	10	1	5	43	2	10	43
36	11	1	5	45	2	10	45
36	12	1	5	42	2	10	42
36	13	1	6	35	2	8	10
36	14	1	6	38	1	8	38
36	15	2	1	35	2	8	35
36	16	2	3	35	2	8	35
36	17	2	2	50	1	3	8
36	18	1	5	35	2	8	35
36	19	1	5	48	2	10	48
36	20	1	5	43	2	10	22
36	21	1	5	30	2	10	30
36	22	1	5	49	2	10	36
36	23	1	5	50	2	10	32
36	24	1	5	36	2	10	36
