CHILDCODE	SIBFNDR5	DINT	SIBWGHBR	SIBWGDOC	ENRSIBR5	SIBCARR5	SIBDOMR5	SIBFRMR5	SIBOUTR5	SIBPARR5	SIB20R5	FEAS01R5	FEAS02R5	FEAS03R5	FEAS04R5	FEAS05R5	FEAS06R5	FEAS07R5	FEAS08R5	FEAS09R5	FEAS10R5	FEAS11R5	FEAS12R5	FEAS13R5	FEAS14R5	FEAS15R5	FEAS16R5	FEAS17R5	FEAS18R5	FEAS19R5	FEAS20R5	FEAS21R5	FEAS22R5	FEAS23R5	FEAS24R5	SASHCLR5	SASHWKR5	SPLDECR5	SNOCHCR5	SCLTRGR5	STRYHDR5	SFTRWRR5	SEMBBKR5	SASHSHR5	SBRJOBR5	SWRUNIR5
30069	1	05/12/2016 17:27:49	 	 	1	0	1	0	0	1	0	3	3	2	3	3	4	2	4	3	3	4	2	2	3	4	3	3	3	3	3	2	3	3	4	3	4	4	2	4	4	4	4	5	5	5
30070	1	04/12/2016 13:10:10	 	 	0	0	1	1	1	1	0	3	4	2	3	2	3	3	2	3	2	3	3	2	3	3	2	3	2	2	3	3	3	2	3	3	4	3	4	4	4	3	4	4	4	3
30072	1	25/12/2016 10:59:52	 	 	0	0	0	1	1	1	0	3	3	3	3	3	4	3	3	3	4	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	2	3	4	4	3	77	4	3	77
30073	1	04/12/2016 11:53:16	 	 	0	1	1	1	0	1	1	4	 	3	4	3	 	3	 	4	3	 	3	3	3	 	3	 	3	3	 	3	3	 	3	4	4	2	2	4	5	4	4	 	4	 
30074	0	05/12/2016 16:28:23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30075	1	04/12/2016 16:45:35	 	 	0	0	0	1	0	1	0	3	4	3	3	3	4	2	4	3	2	4	3	3	3	4	2	3	3	3	4	2	3	4	4	3	4	2	4	3	5	4	4	4	4	77
30078	1	05/12/2016 17:20:17	 	 	1	0	1	0	0	1	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	4	4	4	4	4	4	4	4	4	4	4
30079	1	08/12/2016 16:45:29	 	 	1	0	1	0	0	1	0	3	4	2	2	3	4	2	4	3	2	4	2	3	3	3	2	3	3	2	3	2	3	3	3	4	3	2	2	3	5	4	4	4	4	4
30082	1	08/12/2016 15:36:50	 	 	0	0	1	1	0	1	0	3	3	77	3	2	3	77	3	2	77	3	2	77	2	3	2	3	77	2	3	2	3	3	3	3	77	3	4	3	77	2	77	3	77	77
30083	1	08/12/2016 10:21:40	 	 	1	1	1	1	1	1	0	3	3	3	3	2	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	4	3
30084	1	30/11/2016 10:27:55	 	 	0	0	0	1	0	1	1	3	 	3	3	3	 	3	 	3	3	 	3	3	3	 	3	 	3	3	 	2	3	 	3	4	4	2	2	4	4	4	3	 	4	 
30086	1	30/11/2016 15:27:08	 	 	1	0	0	0	0	1	0	3	3	3	3	3	3	2	3	3	2	3	2	2	3	3	3	3	3	3	3	2	2	3	3	3	 	3	 	3	4	4	4	4	4	4
30088	1	01/12/2016 18:06:59	 	 	0	0	1	0	1	1	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	2	3	3	3	3	4	2	2	3	4	3	3	3	3	3
30090	1	30/11/2016 11:11:10	 	 	1	0	1	0	0	1	0	3	4	2	3	3	4	3	4	3	3	4	2	3	3	4	3	4	3	3	4	2	3	4	3	4	3	2	2	4	5	5	5	4	5	5
30094	0	07/12/2016 18:46:40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30095	0	07/12/2016 09:08:06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30097	1	06/12/2016 10:05:39	 	 	1	0	1	0	0	1	0	3	3	2	2	3	3	2	2	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	4	3	3	4	4	4	4	4	4
30098	1	07/12/2016 11:30:31	 	 	1	0	1	0	0	1	0	4	4	3	3	2	4	3	4	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	4	4	2	2	3	4	4	4	4	4	4
30099	1	24/12/2016 10:49:40	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	3	4	3	3	4	3	3	3	3	2	3	3	2	4	2	3	4	3	4	4	2	4	4	5	4	4	4	4	4
30100	1	29/11/2016 17:59:00	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	3	3	3	3	3	3	3	3	4	3	3	3	3	3	2	3	3	3	4	4	2	2	4	4	4	5	4	4	4
30127	0	04/12/2016 17:20:48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30129	0	30/11/2016 16:29:07	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30131	1	11/12/2016 16:19:14	 	 	1	0	1	0	0	1	0	3	4	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	2	4	4	4	4	4	4	4	4
30132	1	06/12/2016 17:31:59	 	 	1	1	1	1	0	1	0	3	4	2	3	3	4	3	3	3	3	3	3	3	2	3	2	3	2	3	3	2	3	3	3	3	4	2	2	3	4	5	4	3	5	4
30138	1	02/12/2016 10:37:24	 	 	1	0	1	0	1	1	1	2	 	2	2	3	 	2	 	2	3	 	2	3	3	 	2	 	3	2	 	2	3	 	2	3	4	2	2	2	4	4	4	 	5	 
40001	0	15/11/2016 16:29:11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40002	1	16/11/2016 18:21:16	 	 	1	1	1	0	1	1	0	3	4	3	3	2	4	3	3	3	2	4	3	3	3	3	2	3	3	2	3	3	3	3	3	3	4	4	2	4	4	4	4	3	5	4
40003	0	13/11/2016 16:46:59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40006	1	15/11/2016 15:30:31	 	 	1	1	1	0	0	1	0	3	4	3	3	2	4	3	3	3	3	3	2	3	3	3	2	2	3	3	3	2	3	3	3	4	3	3	3	3	5	4	4	3	5	4
40007	0	15/11/2016 17:45:25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40008	1	20/11/2016 17:38:37	 	 	1	1	1	0	0	1	0	3	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	1	3	3	2	2	3	3	4	3	4	4	4	3	4	4
40009	1	20/11/2016 17:15:45	 	 	1	1	1	1	0	1	0	2	4	2	2	3	4	3	3	2	2	4	3	2	2	2	2	2	2	2	3	3	2	3	3	4	3	4	3	4	4	4	4	3	5	4
40010	0	28/02/2017 09:58:10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40014	1	21/11/2016 10:13:43	 	 	1	0	1	0	0	1	0	3	4	3	4	4	4	4	4	4	3	4	3	3	3	4	2	3	3	3	4	3	3	4	3	4	4	3	1	5	4	4	5	5	5	5
40015	0	25/11/2016 11:19:40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40017	1	22/11/2016 11:16:25	 	 	1	1	1	1	0	0	0	3	 	3	3	2	 	3	 	3	3	 	2	3	3	 	3	 	2	3	 	2	2	 	3	3	3	3	3	3	4	5	4	3	4	4
40018	1	23/11/2016 17:59:52	 	 	0	0	1	1	1	1	1	3	 	3	3	3	 	2	 	3	2	 	3	3	3	 	2	 	3	3	 	3	3	 	3	3	4	3	3	3	5	4	3	 	4	 
40020	1	27/11/2016 16:27:28	 	 	1	1	1	0	0	1	0	3	3	2	2	2	4	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	4	4	3	3	4	3	3	4	5	3	3	3	5	4
40021	0	23/11/2016 14:23:36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40022	1	27/11/2016 12:28:53	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	3	3	4	2	4	3	3	3	4	3	3	4	3	3	3	3	4	3	4	3	4	3	4	5	5	4	4	5	5
40024	1	22/11/2016 11:24:45	 	 	1	0	1	0	0	1	0	3	4	2	3	3	4	3	3	4	3	4	2	3	2	3	4	4	3	3	4	3	3	4	3	4	5	3	4	4	5	4	3	4	5	4
40026	1	28/11/2016 11:43:08	 	 	1	1	1	0	0	1	0	3	3	3	4	3	3	3	3	3	4	3	2	3	2	3	2	3	3	3	4	2	3	3	2	4	3	4	3	4	4	5	3	3	4	4
40028	1	23/11/2016 18:29:41	 	 	0	1	1	0	0	1	0	3	4	3	3	4	3	3	4	3	3	4	3	3	3	4	4	4	3	3	4	2	3	4	3	4	4	2	2	4	3	4	5	4	4	5
40029	1	26/11/2016 16:12:47	 	 	1	1	1	0	0	1	0	3	4	2	3	2	4	3	3	4	3	4	2	3	3	4	3	4	2	3	4	2	3	4	3	4	4	4	2	3	4	4	4	5	4	5
40030	1	23/11/2016 09:43:08	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	3	3	3	3	4	3	3	3	4	3	3	3	3	3	3	3	4	3	3	4	4	2	3	4	4	4	3	4	4
40031	1	26/11/2016 09:40:23	 	 	0	1	1	0	0	1	1	3	 	2	3	3	 	3	 	3	4	 	4	3	4	 	3	 	3	3	 	2	4	 	3	3	4	1	2	4	4	4	2	 	4	 
40032	0	27/11/2016 11:45:20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40034	1	27/11/2016 19:16:04	 	 	1	0	1	0	0	1	0	3	4	4	3	3	3	3	4	3	3	4	3	3	3	3	3	4	3	3	3	3	3	3	3	4	3	2	1	3	4	5	3	4	4	3
40036	0	16/11/2016 16:55:42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40043	1	14/11/2016 17:57:52	 	 	1	0	1	0	0	1	0	2	4	1	2	3	4	3	4	3	3	4	3	3	3	4	2	4	3	3	3	3	3	4	3	3	3	4	3	4	5	5	5	4	5	4
40045	0	18/11/2016 17:10:54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40050	1	19/11/2016 17:16:45	 	 	1	0	1	1	0	1	0	3	4	3	3	3	4	3	3	3	3	4	3	3	3	4	2	3	3	4	4	2	3	4	3	5	4	4	2	4	4	5	4	4	5	5
40051	1	20/11/2016 15:33:48	 	 	1	0	1	0	1	1	0	3	4	3	3	2	4	2	3	2	3	2	3	3	3	4	3	4	2	3	3	2	3	3	2	4	3	2	2	3	4	4	4	3	5	4
40052	1	20/11/2016 16:50:17	 	 	1	1	1	0	0	1	0	4	4	4	3	2	4	4	3	4	3	3	2	3	3	4	2	3	4	3	3	3	3	4	3	5	5	5	5	4	5	4	5	3	5	5
40053	1	21/11/2016 11:40:51	 	 	0	0	1	1	0	1	0	3	4	2	3	2	4	3	3	3	3	4	3	3	3	3	3	4	3	3	4	2	3	4	3	3	4	4	2	3	4	4	4	3	4	4
40054	1	21/11/2016 14:07:26	 	 	1	0	1	1	0	1	0	3	3	2	3	2	3	3	4	4	2	4	3	3	3	4	3	4	3	3	4	2	3	4	3	3	4	3	4	4	4	3	4	4	5	4
40055	0	21/11/2016 15:30:51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40056	0	22/11/2016 15:40:50	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40059	0	04/11/2016 14:04:36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40060	1	04/11/2016 13:18:39	 	 	1	1	1	1	0	1	0	2	4	2	3	2	4	2	2	3	2	3	2	2	2	3	2	3	2	2	2	2	2	2	2	3	3	2	3	3	4	4	3	3	4	3
40063	1	01/11/2016 15:13:31	 	 	0	1	1	0	0	1	0	3	3	2	3	2	3	2	3	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	4	4	2	2	3	3	4	3	3	3	3
40066	1	24/11/2016 10:40:17	 	 	1	0	1	0	0	1	0	3	4	3	3	2	3	77	3	3	3	4	3	3	3	3	2	3	3	3	4	2	3	3	3	3	3	3	3	3	5	4	4	4	5	4
40069	0	13/03/2017 17:17:54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40070	1	05/11/2016 15:10:21	 	 	1	0	0	0	0	1	0	3	4	2	2	2	4	2	3	2	2	4	2	3	2	4	2	4	2	2	3	2	2	4	2	3	 	4	 	3	2	5	3	3	4	3
40073	1	02/11/2016 15:05:31	 	 	1	0	1	0	0	1	0	4	4	3	3	3	3	3	4	3	3	4	4	3	3	3	3	3	3	3	4	3	3	4	3	3	4	3	3	3	4	4	3	3	4	4
40075	1	01/11/2016 09:45:43	 	 	0	1	1	0	0	1	1	3	 	2	3	3	 	3	 	3	3	 	2	3	77	 	2	 	77	3	 	2	3	 	3	3	4	4	4	4	4	4	5	 	4	 
40076	1	05/11/2016 10:09:21	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	3	4	4	3	4	3	4	4	4	3	4	4	4	4	3	3	4	4	4	4	4	3	4	4	5	3	4	5	4
40078	0	06/11/2016 13:03:38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40081	0	08/11/2016 16:51:05	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40087	1	08/11/2016 10:55:28	 	 	1	1	1	0	1	1	0	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	4	2	4	4	4	2	4	4	4
40088	1	10/11/2016 07:41:28	 	 	1	0	1	0	0	1	0	3	4	2	3	3	4	4	4	3	3	4	2	2	3	2	3	2	2	3	4	2	3	4	3	3	3	2	4	3	5	5	4	3	5	3
40090	0	11/11/2016 15:40:44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40092	1	09/11/2016 15:21:02	 	 	1	0	1	0	0	1	0	3	3	3	3	3	4	3	2	3	3	3	3	3	3	2	2	3	3	3	3	2	3	3	3	3	3	2	2	3	4	3	2	3	4	4
40093	0	07/11/2016 21:14:24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40094	0	09/11/2016 10:14:34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40097	1	11/11/2016 17:22:43	 	 	1	0	1	0	0	1	0	3	3	2	3	2	4	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	4	3	3	3	4	4	3	4	4	4	3	3	2
40098	1	11/11/2016 19:37:22	 	 	1	1	1	1	0	1	0	3	4	2	3	1	4	2	3	2	3	3	3	2	3	2	2	2	3	3	3	2	3	3	3	3	3	3	2	3	4	3	3	3	5	4
40106	0	19/11/2016 16:40:43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40108	0	24/11/2016 18:23:41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40113	0	19/11/2016 18:14:27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40118	0	21/11/2016 19:58:14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40119	0	25/11/2016 11:15:47	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40122	1	19/03/2017 20:16:56	 	 	1	0	0	0	0	1	0	3	4	3	3	3	3	3	3	3	2	4	4	3	3	3	3	3	3	3	4	2	3	3	3	4	 	3	 	3	4	4	4	4	5	4
40129	0	25/11/2016 18:35:56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40145	0	24/11/2016 11:40:56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40164	1	01/11/2016 11:42:57	 	 	1	1	1	0	0	1	0	3	3	2	3	3	3	2	3	3	2	3	2	2	3	3	2	3	3	3	3	2	3	3	3	3	4	4	4	3	4	4	3	4	4	4
40171	1	04/03/2017 15:15:23	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	3	4	3	4	4	3	3	3	4	3	4	3	3	3	3	3	3	3	4	4	2	4	4	4	4	4	4	5	3
50001	1	15/12/2016 10:49:40	 	 	0	0	1	1	0	1	1	3	 	3	3	4	 	3	 	3	3	 	3	4	3	 	2	 	4	3	 	4	3	 	1	4	4	2	2	2	4	5	4	 	4	 
50003	1	17/12/2016 11:24:42	 	 	1	0	0	0	0	1	0	1	1	3	1	4	1	77	2	2	3	3	3	3	3	3	2	3	2	3	3	3	1	3	3	4	 	5	 	3	1	1	1	1	4	1
50004	0	17/12/2016 11:58:15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50010	1	19/12/2016 11:14:51	 	 	0	0	1	1	1	1	1	1	 	2	1	3	 	2	 	3	2	 	3	2	3	 	2	 	2	2	 	3	2	 	3	4	4	2	2	4	4	4	4	 	4	 
50011	1	18/12/2016 10:45:30	 	 	1	0	1	0	0	1	0	3	4	3	3	4	4	2	4	3	2	4	3	3	3	4	2	4	3	3	3	2	3	3	2	3	4	2	2	4	4	5	4	4	4	5
50013	0	15/12/2016 10:48:36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50014	1	15/12/2016 19:05:13	 	 	0	0	1	1	0	1	0	3	4	3	3	2	4	2	1	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	2	3	3	5	5	4	4	4	4
50016	1	19/12/2016 13:02:30	 	 	0	0	1	1	0	1	1	3	 	3	3	3	 	3	 	3	3	 	3	3	3	 	2	 	3	3	 	3	3	 	3	3	4	2	2	3	4	4	4	 	4	 
50019	1	19/12/2016 11:48:09	 	 	0	0	1	0	0	1	0	3	4	2	3	2	4	3	3	2	2	3	3	3	4	3	2	3	3	2	4	3	3	3	3	3	4	3	3	3	4	4	3	3	4	4
50021	1	19/12/2016 13:21:36	 	 	1	0	0	0	0	1	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	 	4	 	4	5	4	4	4	4	4
50022	1	23/12/2016 11:45:06	 	 	1	1	1	0	0	1	0	3	4	3	4	3	4	3	4	3	3	4	3	3	3	4	3	3	3	3	4	4	3	4	3	3	4	4	3	5	4	5	5	3	5	3
50024	1	12/12/2016 08:03:11	 	 	0	1	1	1	0	1	0	3	3	3	3	2	4	2	2	3	2	4	2	2	2	4	2	4	2	3	3	2	3	3	3	3	3	2	2	4	4	4	4	3	5	5
50027	1	09/12/2016 18:08:48	 	 	1	0	0	1	0	1	0	3	3	2	2	2	3	2	3	2	2	3	2	3	2	3	2	3	2	3	3	2	3	3	2	4	4	2	2	2	4	2	2	2	4	4
50029	1	19/12/2016 07:05:27	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	3	4	3	3	3	3	3	3	4	3	3	3	3	4	4	4	4	4	3	4	2	3	4	5	4	4	4	4	4
50031	1	11/12/2016 10:00:21	 	 	1	0	0	0	0	1	0	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	3	3	2	3	3	2	2	3	2	3	 	4	 	3	4	3	3	3	4	4
50032	1	19/03/2017 13:48:41	 	 	0	1	1	0	1	1	0	2	4	3	3	3	4	2	3	3	3	4	3	3	3	4	2	4	3	3	3	3	3	4	3	4	3	4	4	4	4	4	3	4	3	3
50034	1	13/12/2016 11:21:49	 	 	1	0	1	0	0	1	0	4	4	2	3	2	4	3	4	3	3	4	3	3	3	4	2	4	3	3	4	3	4	4	3	4	3	4	2	4	4	4	2	4	4	5
50035	1	13/12/2016 13:22:02	 	 	1	0	0	1	0	1	0	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	4	4	4	4	4	4	4	4	4	4	4
50036	0	11/12/2016 15:55:20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50040	0	06/03/2017 13:43:30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50042	1	09/12/2016 15:18:40	 	 	0	0	1	0	1	1	1	3	 	2	3	2	 	2	 	3	4	 	3	2	3	 	2	 	2	3	 	2	3	 	2	4	4	2	4	3	4	4	2	 	3	 
50044	0	12/12/2016 13:47:06	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50046	0	07/03/2017 18:29:40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50047	1	10/12/2016 12:50:12	 	 	0	1	1	1	1	1	1	3	 	3	3	3	 	3	 	3	3	 	3	3	3	 	3	 	3	3	 	3	3	 	3	4	4	2	2	4	4	4	4	 	4	 
50048	1	23/12/2016 14:16:38	 	 	1	0	1	0	0	1	0	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	4	2	3	4	3	4	3	2	2	4	4	4	2	4	4	4
50052	0	17/12/2016 11:11:57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50054	1	17/12/2016 19:51:28	 	 	1	0	1	0	0	1	0	2	3	3	2	3	3	77	3	3	77	3	3	77	3	3	77	3	3	2	3	3	3	3	3	4	4	2	2	4	4	4	4	4	4	4
50056	0	18/12/2016 10:05:03	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50058	0	22/12/2016 18:48:23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50061	0	18/12/2016 13:12:53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50062	1	22/12/2016 11:52:39	 	 	0	0	1	1	0	1	0	3	4	3	3	3	4	2	4	3	2	4	3	3	2	4	3	3	3	2	3	3	3	3	3	3	4	2	2	4	4	1	1	2	4	2
50065	1	28/11/2016 11:48:09	 	 	1	1	1	1	0	1	0	3	4	2	3	3	4	3	4	3	3	4	3	3	3	3	2	4	3	3	4	3	3	4	3	3	4	3	4	3	5	4	3	4	5	5
50066	0	28/11/2016 13:13:09	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50068	1	28/11/2016 12:50:55	 	 	0	1	1	0	1	1	0	3	3	4	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	4	3	3	3	3	4	4	2	2	2	4	4	4	4	4	4
50069	0	05/12/2016 16:46:05	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50070	1	29/11/2016 11:09:07	 	 	0	0	0	0	1	1	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	2	2	3	4	4	79	4	4	79
50073	1	02/12/2016 15:59:11	 	 	1	0	0	0	0	1	0	3	4	2	3	2	4	2	3	4	2	4	2	2	2	3	2	4	2	2	3	2	2	4	3	4	 	2	 	3	4	4	4	4	4	4
50074	1	08/03/2017 13:18:14	 	 	1	0	1	0	0	1	0	3	4	2	3	3	3	2	3	4	2	3	3	3	3	4	2	3	3	3	3	2	3	4	2	4	3	3	2	4	5	4	4	5	4	4
50075	0	30/11/2016 17:10:49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50076	0	02/12/2016 20:12:09	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50077	0	28/11/2016 19:27:00	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
