CHILDCODE	SIBFNDR5	DINT	SIBWGHBR	SIBWGDOC	ENRSIBR5	SIBCARR5	SIBDOMR5	SIBFRMR5	SIBOUTR5	SIBPARR5	SIB20R5	FEAS01R5	FEAS02R5	FEAS03R5	FEAS04R5	FEAS05R5	FEAS06R5	FEAS07R5	FEAS08R5	FEAS09R5	FEAS10R5	FEAS11R5	FEAS12R5	FEAS13R5	FEAS14R5	FEAS15R5	FEAS16R5	FEAS17R5	FEAS18R5	FEAS19R5	FEAS20R5	FEAS21R5	FEAS22R5	FEAS23R5	FEAS24R5	SASHCLR5	SASHWKR5	SPLDECR5	SNOCHCR5	SCLTRGR5	STRYHDR5	SFTRWRR5	SEMBBKR5	SASHSHR5	SBRJOBR5	SWRUNIR5
10025	0	08/11/2016 16:25:24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10026	1	09/11/2016 11:44:48	 	 	1	0	0	0	0	1	0	4	4	3	3	3	4	2	2	3	2	3	3	2	3	2	2	3	3	3	3	2	3	2	3	3	 	4	 	5	5	5	4	4	5	5
10030	0	25/11/2016 11:53:38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10031	0	12/11/2016 16:24:23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10032	0	17/11/2016 18:09:56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10033	1	14/11/2016 21:10:02	 	 	1	0	0	0	0	1	0	3	3	3	3	2	4	2	3	4	3	4	3	3	2	4	3	3	3	3	3	2	3	3	3	3	 	3	 	4	4	3	3	3	3	3
10034	1	22/11/2016 11:00:09	 	 	0	1	1	1	1	1	1	3	 	2	4	3	 	2	 	3	2	 	3	3	3	 	3	 	2	3	 	3	3	 	3	3	4	3	4	3	5	5	4	 	4	 
10035	1	23/11/2016 07:16:09	 	 	1	0	0	0	0	1	0	3	4	2	2	3	3	2	3	3	2	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	 	4	 	3	5	4	4	4	4	4
10036	1	25/11/2016 17:01:20	 	 	1	0	0	0	0	1	0	3	4	3	3	3	4	3	3	3	3	4	3	3	3	4	3	4	3	3	3	2	3	3	3	4	 	4	 	4	4	4	4	4	5	4
10037	1	25/11/2016 23:39:54	 	 	0	0	0	0	1	1	1	3	 	2	3	3	 	2	 	3	3	 	3	2	3	 	2	 	3	3	 	2	3	 	3	3	4	2	2	3	4	4	3	 	4	 
10041	0	23/11/2016 16:45:59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10042	1	13/11/2016 11:59:12	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	2	2	3	4	4	4	4	5	4
10043	1	13/11/2016 13:00:44	 	 	1	1	1	0	0	1	0	3	3	2	3	3	3	3	2	3	3	3	3	4	3	3	3	2	3	3	3	3	3	2	3	3	4	4	4	4	3	4	4	4	3	3
10045	1	12/11/2016 17:52:26	 	 	1	0	1	0	0	1	0	4	4	2	3	4	4	3	4	4	3	3	3	3	3	3	3	4	3	3	3	3	3	4	3	4	4	2	2	4	5	5	4	4	5	4
10047	0	14/11/2016 11:35:44	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10048	0	17/11/2016 10:38:25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10049	1	17/11/2016 16:11:21	 	 	0	0	1	0	1	1	1	3	 	2	3	2	 	2	 	2	2	 	3	2	3	 	3	 	2	3	 	2	2	 	3	3	3	4	4	3	5	4	3	 	5	 
10050	1	26/11/2016 11:11:00	 	 	1	0	0	0	0	1	0	3	4	2	3	3	4	4	4	3	3	4	3	3	3	4	3	4	3	4	4	2	3	3	4	4	 	4	 	3	5	4	3	4	5	3
10051	1	08/11/2016 17:30:38	 	 	0	1	1	0	1	1	1	3	 	3	3	3	 	3	 	3	3	 	2	3	3	 	3	 	3	3	 	3	3	 	3	4	4	2	2	3	4	4	4	 	4	 
10052	1	01/11/2016 14:49:43	 	 	0	1	1	0	1	1	1	4	 	3	4	3	 	77	 	3	3	 	3	3	3	 	4	 	3	4	 	79	4	 	4	5	5	2	1	3	5	5	5	 	5	 
10053	1	11/11/2016 15:56:05	 	 	0	1	1	0	0	1	1	3	 	3	3	3	 	3	 	4	4	 	4	3	3	 	3	 	3	3	 	3	3	 	3	3	4	3	2	3	4	3	3	 	4	 
10055	0	01/11/2016 21:34:48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10056	1	10/11/2016 10:58:10	 	 	1	0	1	0	0	1	0	3	4	3	3	4	4	3	4	3	3	4	3	3	3	4	3	4	4	3	4	4	3	4	4	5	5	4	2	5	3	5	3	4	5	3
