CHILDCODE	FVVLIDR5	FVVALR5	SLVALR5
18034	2	7	2000
18034	3	21	500
18034	4	10	500
18034	5	11	200
18035	1	21	2600
18035	2	11	1500
18035	3	4	1500
18035	4	24	500
18035	5	10	400
18036	1	4	2500
18036	2	11	1500
18036	3	10	1300
18036	4	26	1200
18036	5	24	800
18037	1	21	2000
18037	2	11	400
18037	3	12	370
18037	4	4	200
18037	5	10	180
18038	1	4	500
18038	2	11	450
18038	3	12	200
18038	4	5	100
18038	5	10	90
18039	1	10	120
18039	2	4	50
18039	3	12	20
18039	4	98	 
18039	5	98	 
18040	1	10	300
18040	2	9	180
18040	3	98	 
18040	4	98	 
18040	5	98	 
18041	1	4	2000
18041	2	11	1500
18041	3	12	300
18041	4	26	300
18041	5	10	180
18042	1	21	2500
18042	2	11	1500
18042	3	4	800
18042	4	12	500
18042	5	15	100
18044	1	7	3000
18044	2	4	1200
18044	3	24	200
18044	4	10	100
18044	5	12	50
18045	1	10	3000
18045	2	11	900
18045	3	12	250
18045	4	4	250
18045	5	28	150
18046	1	21	1000
18046	2	4	400
18046	3	10	400
18046	4	11	350
18046	5	28	100
18047	1	7	5000
18047	2	4	500
18047	3	11	200
18047	4	21	200
18047	5	12	80
18048	1	7	1500
18048	2	24	1000
18048	3	4	500
18048	4	12	450
18048	5	10	300
18049	1	11	1800
18049	2	21	1500
18049	3	12	700
18049	4	4	500
18049	5	24	200
18050	1	4	500
18050	2	21	200
18050	3	26	200
18050	4	10	200
18050	5	25	50
28001	1	7	3000
28001	2	11	700
28001	3	10	300
28001	4	12	70
28001	5	5	30
28002	1	7	1500
28002	2	21	800
28002	3	10	500
28002	4	98	 
28002	5	98	 
28003	1	7	5500
28003	2	4	600
28003	3	11	500
28003	4	12	200
28003	5	10	200
28004	1	4	1800
28004	2	10	1000
28004	3	23	100
28004	4	12	50
28004	5	98	 
28006	1	7	1500
28006	2	21	500
28006	3	4	300
28006	4	10	200
28006	5	11	150
28007	1	10	-77
28007	2	98	 
28007	3	98	 
28007	4	98	 
28007	5	98	 
28008	1	7	1000
28008	2	21	500
28008	3	11	500
28008	4	4	300
28008	5	10	200
28009	1	7	3000
28009	2	12	500
28009	3	4	300
28009	4	10	150
28009	5	22	60
28010	1	7	3000
28010	2	4	800
28010	3	10	600
28010	4	25	120
28010	5	23	60
28011	1	7	4000
28011	2	21	2000
28011	3	11	400
28011	4	24	300
28011	5	10	300
28012	1	7	3000
28012	2	4	700
28012	3	12	30
28012	4	11	30
28012	5	10	20
28013	1	7	2000
28013	2	4	1000
28013	3	10	400
28013	4	12	80
28013	5	25	50
28014	1	7	1000
28014	2	4	500
28014	3	10	300
28014	4	8	80
28014	5	23	50
28015	1	10	150
28015	2	4	80
28015	3	12	30
28015	4	5	20
28015	5	98	 
28016	1	10	300
28016	2	4	250
28016	3	12	80
28016	4	98	 
28016	5	98	 
28017	1	21	2000
28017	2	7	1800
28017	3	24	350
28017	4	10	300
28017	5	4	200
28018	1	12	55
28018	2	23	30
28018	3	98	 
28018	4	98	 
28018	5	98	 
28020	1	4	500
28020	2	10	300
28020	3	8	200
28020	4	25	75
28020	5	12	59
28021	1	7	4000
28021	2	4	1500
28021	3	21	1000
28021	4	12	600
28021	5	10	2000
28022	1	7	2000
28022	2	11	500
28022	3	4	200
28022	4	12	200
28022	5	10	100
28023	1	4	1350
28023	2	11	700
28023	3	10	570
28023	4	12	400
28023	5	24	350
28024	1	6	30000
28024	2	7	7000
28024	3	4	1000
28024	4	11	700
28024	5	25	70
28025	1	7	1500
28025	2	4	200
28025	3	12	300
28025	4	23	100
28025	5	22	50
38001	1	98	 
38001	2	98	 
38001	3	98	 
38001	4	98	 
38001	5	98	 
38002	1	10	80
38002	2	23	80
38002	3	5	29
38002	4	98	 
38002	5	98	 
38003	1	10	100
38003	2	5	30
38003	3	98	 
38003	4	98	 
38003	5	98	 
38004	1	10	50
38004	2	98	 
38004	3	98	 
38004	4	98	 
38004	5	98	 
38005	1	10	20
38005	2	98	 
38005	3	98	 
38005	4	98	 
38005	5	98	 
38006	1	4	1500
38006	2	10	500
38006	3	22	150
38006	4	25	100
38006	5	23	80
38008	1	10	500
38008	2	12	400
38008	3	8	180
38008	4	22	60
38008	5	5	30
38010	1	4	400
38010	2	10	250
38010	3	12	70
38010	4	5	25
38010	5	98	 
38011	1	7	2000
38011	2	4	1500
38011	3	11	800
38011	4	21	700
38011	5	10	200
38014	1	7	9000
38014	2	21	1500
38014	3	11	800
38014	4	10	300
38014	5	4	200
38015	1	4	300
38015	2	3	300
38015	3	10	240
38015	4	5	35
38015	5	98	 
38016	1	28	300
38016	2	25	150
38016	3	22	60
38016	4	12	55
38016	5	23	30
38017	1	7	5000
38017	2	4	500
38017	3	24	300
38017	4	25	200
38017	5	10	200
38019	1	11	700
38019	2	4	500
38019	3	12	300
38019	4	10	250
38019	5	25	100
38020	1	10	100
38020	2	4	40
38020	3	5	10
38020	4	98	 
38020	5	98	 
38021	1	4	150
38021	2	24	100
38021	3	25	80
38021	4	12	70
38021	5	10	20
38022	1	10	210
38022	2	98	 
38022	3	98	 
38022	4	98	 
38022	5	98	 
38023	1	21	17500
38023	2	11	1000
38023	3	4	1000
38023	4	12	1000
38023	5	24	800
38024	1	24	800
38024	2	4	800
38024	3	21	800
38024	4	10	500
38024	5	12	300
38025	1	10	500
38025	2	5	150
38025	3	22	80
38025	4	4	50
38025	5	12	40
48001	1	4	300
48001	2	12	250
48001	3	25	150
48001	4	23	120
48001	5	10	100
48002	1	10	180
48002	2	25	180
48002	3	5	35
48002	4	98	 
48002	5	98	 
48003	1	7	3000
48003	2	10	600
48003	3	25	200
48003	4	4	200
48003	5	12	50
48004	1	4	200
48004	2	25	150
48004	3	10	100
48004	4	22	50
48004	5	12	30
48005	1	4	1200
