CHILDCODE	ASSTIDR5	ASSETR5	ASACTR5	NMOWNR5	VLASTR5
38005	3	42	1	1	50
38008	1	13	12	20	250
38011	1	23	7	5	300
38011	2	1	1	12	100
38015	1	1	1	5	80
38015	2	15	8	5	30
38016	1	1	1	3	30
38017	1	1	1	10	200
38019	1	23	7	5	160
38020	1	1	1	4	100
38020	2	42	1	1	50
38022	1	1	1	4	100
38022	2	42	1	1	150
38023	1	41	11	7	17500
38023	2	23	12	4	3000
48002	1	1	1	10	200
48003	1	1	9	22	1000
48003	2	1	1	8	40
48003	3	15	9	135	560
48006	1	1	1	10	200
48007	1	1	1	10	120
48007	2	42	1	1	300
48007	3	2	1	1	300
48008	1	1	1	5	120
48008	2	42	1	1	50
48009	1	1	1	12	50
48009	2	42	1	1	30
48010	1	1	1	6	100
48011	1	1	1	4	10
48011	2	42	1	1	50
48013	1	1	1	6	100
48014	1	1	1	8	200
48014	2	4	1	4	300
48014	3	42	1	1	150
48016	1	2	1	1	400
48016	2	42	1	1	300
48016	3	1	1	6	105
48017	1	1	1	4	82
48017	2	23	7	3	410
48019	1	1	1	2	1000
48019	2	42	1	2	500
48022	1	25	6	2	11000
48023	1	1	1	3	70
48024	1	13	9	7	500
58003	1	1	1	8	200
58003	2	4	1	1	100
58003	3	42	1	1	200
58007	1	1	1	4	20
58008	1	1	1	3	100
58008	2	8	1	2	800
58012	1	1	1	6	50
58012	2	42	1	1	30
58013	1	1	1	10	100
58013	2	42	1	1	80
58013	3	25	1	1	500
58014	1	1	1	7	77
58015	1	1	1	3	60
58015	2	42	1	1	150
58016	1	8	11	1	2500
58016	2	1	11	12	200
58016	3	26	8	21	1200
58017	1	25	6	4	12000
58017	2	42	1	1	1500
58017	3	7	1	1	100000
58017	4	6	1	1	680000
58017	5	30	1	2	12000
58017	6	1	1	2	1000
58017	7	2	1	1	50
58019	1	25	6	1	2500
58019	2	30	1	1	150
58019	3	42	1	1	100
58019	5	26	12	2	700
58020	1	23	7	3	100
58021	1	1	1	7	30
58022	1	30	9	30	1500
58025	1	15	7	12	1000
58027	1	1	1	10	20
58028	1	1	1	2	10
58028	2	8	1	1	50
58030	1	1	1	10	60
68001	1	30	5	15	5000
68004	1	23	7	5	10000
68005	1	25	6	2	33000
68008	1	13	12	3	30
68009	1	23	7	8	2300
68009	2	41	9	5	2200
68010	1	23	7	3	300
68010	2	30	9	17	5100
68011	1	17	10	20	500
68012	1	23	7	3	4500
68013	1	25	6	1	2000
68015	1	11	5	6	1000
68021	1	1	1	7	90
68023	1	15	7	88	4000
68024	1	25	6	1	2000
68025	1	23	7	4	450
68025	2	30	7	1	800
68025	3	30	7	3	300
78001	1	15	7	2	5000
78002	1	15	8	25	150000
78002	2	24	8	1	250
78003	1	41	9	3	1600
78003	2	30	9	4	120
78006	1	30	9	100	20000
78008	1	15	9	48	3000
78009	1	1	1	4	10
78011	1	23	7	5	1200
78013	1	41	12	2	2000
78016	1	13	9	50	5000
78016	2	25	6	1	5500
78017	1	17	9	200	1000
78017	2	25	6	1	50000
78020	1	30	7	4	30
78021	1	26	9	1	1000
78021	2	1	1	15	1000
78026	1	13	9	20	7000
78026	2	25	6	1	16000
78027	1	25	6	1	13100
78027	2	15	7	9	1200
78028	1	11	9	6	250
78028	2	23	7	4	200
78029	1	23	7	4	3000
78029	2	15	7	12	3000
78031	1	2	9	1	120
78035	1	23	7	10	4000
78038	1	23	7	6	1000
78042	1	23	7	7	500
78043	1	15	7	5	1500
78045	1	13	12	50	6000
78049	1	23	7	7	500
78051	1	13	8	20	4000
78052	1	25	6	1	-77
88002	1	13	9	8	50
88008	1	25	6	1	2500
88008	2	13	8	10	400
88010	1	25	6	1	28000
88012	1	23	7	30	1500
88013	1	13	9	18	120
88014	1	13	8	6	6000
88015	1	25	6	1	10000
88015	2	14	8	30	150
88016	1	13	9	10	1500
88016	2	25	9	1	4000
88017	1	3	8	4	300
88021	1	13	9	7	-77
88022	1	 	 	 	 
88023	1	5	7	1	22000
88024	1	13	12	23	3860
88026	1	23	7	6	50
88027	1	17	9	10	3000
88027	2	23	7	7	1500
88029	1	13	12	4	50
88029	2	14	12	2	150
88031	1	13	9	5	200
98006	1	 	 	 	 
98012	1	13	9	20	500
98012	2	23	7	7	1000
98012	3	1	1	10	2000
98013	1	30	9	23	330
98014	1	25	6	1	10000
98016	1	13	9	20	20
98020	1	25	7	2	500
98022	1	13	9	17	585
98025	1	23	7	4	300
98025	2	15	7	3	70
98026	1	 	 	 	 
98028	1	13	12	20	1000
98028	2	25	6	1	5000
98029	1	1	5	8	200
108002	1	15	7	6	1000
108004	1	25	6	1	20000
108004	2	15	7	10	500
108007	1	23	7	10	2000
108009	1	15	7	44	150
108009	2	25	6	1	0
108012	1	30	9	1	17500
108015	1	25	6	0	-88
108015	2	13	9	5	70
108016	1	15	7	100	20000
108021	1	25	6	1	36000
108022	1	23	7	30	40000
108025	1	9	9	15	-77
108029	1	25	6	1	15000
118002	1	1	1	6	100
118003	1	41	10	1	800
118005	1	10	9	1	36000
118010	1	23	7	5	500
118017	1	1	1	3	30
118017	2	3	1	1	1500
118017	3	16	1	1	250
118020	1	25	6	1	6500
118027	1	25	6	1	15000
118028	1	25	6	-79	-79
118029	1	23	7	20	-77
128002	1	30	7	12	2000
128004	1	26	7	7	4160
128004	2	15	7	6	500
128004	3	13	9	20	2000
128006	1	25	6	1	35000
128009	1	23	7	10	5000
128011	1	26	8	4	3000
128012	1	22	12	300	700000
128013	1	25	6	1	1500
128016	1	25	6	1	30000
128016	2	25	9	2	150
128019	1	25	6	1	30585
128020	1	23	7	2	200
128020	2	30	7	2	200
128020	3	30	7	2	500
128020	4	30	7	17	100
128021	1	25	9	2	105000
128021	3	13	12	0	-77
128021	4	30	11	0	-77
128023	1	41	7	1	500
128023	2	30	7	1	200
128025	1	23	7	7	80
128026	1	15	7	2	2500
128028	1	25	6	1	10000
128031	1	9	8	-77	-77
128033	1	5	8	1	16000
128033	2	23	7	10	38400
128034	1	26	9	1	400
128039	1	23	7	5	600
128040	1	14	9	1	1200
128040	2	15	9	100	5000
128040	3	15	9	30	300
128042	1	25	6	1	10000
128045	1	18	9	10	40
128045	2	13	9	10	40
128046	1	25	6	1	30000
128047	1	25	6	1	100000
128048	1	17	7	10	2000
128048	2	25	6	1	18000
138002	1	25	6	1	23000
138002	2	2	7	1	500
138002	3	23	7	6	600
138002	4	30	7	6	90
138002	5	30	7	1	1000
138004	1	25	6	1	20000
138005	1	23	7	8	6000
138005	2	25	7	1	48000
138009	1	26	8	4	1500
138009	2	25	6	2	24600
138013	1	30	9	25	3000
138014	1	26	8	2	5850
138017	1	25	6	1	1500
138018	1	26	9	6	665
138018	2	15	7	2	600
138018	3	41	9	1	1800
138021	1	25	9	1	3000
138021	2	15	7	50	5000
138022	1	15	7	1	250
138024	1	13	12	20	50000
138027	1	30	8	10	100
138031	1	25	6	1	3000
138035	1	13	12	10	50
138036	1	26	8	3	1800
138037	1	23	7	6	2000
138038	1	13	12	50	3500
138039	1	25	6	0	0
138040	1	11	8	5	6000
138045	1	23	7	1	500
138046	1	3	5	1	1500
138046	2	13	5	1	2500
138046	3	30	5	30	6592
138046	4	15	7	2	20
138047	1	23	7	12	500
138047	2	30	7	1	200
138047	3	88	88	0	0
138049	1	 	 	 	 
138050	1	13	8	62	20000
138050	2	25	8	1	100000
138051	1	25	6	0	0
138053	1	25	7	0	-88
148004	1	25	9	1	0
148005	1	25	6	1	7000
148005	2	17	9	32	1100
148006	1	25	6	2	9000
148008	1	23	7	7	400
148008	2	24	7	1	500
148012	1	25	6	2	10000
148012	2	1	2	10	50
148012	4	23	7	2	1000
148013	1	25	6	1	3000
148014	1	13	12	6	600
148014	2	15	7	4	350
148018	1	13	9	28	601
148018	2	15	7	5	240
148019	1	3	8	10	-77
148020	1	25	6	1	0
148021	1	25	6	2	16000
148033	1	 	 	 	 
148034	1	23	7	1	2000
148035	1	23	7	1	200
148036	1	17	9	8	5000
148036	2	25	6	1	4500
148041	1	13	9	20	100
148042	1	25	6	1	0
148044	1	13	9	5	4120
148047	1	17	9	13	2000
148048	1	25	6	1	3000
158002	1	13	12	5	130
158003	1	17	6	20	250
158003	2	24	6	1	300
158007	1	23	7	15	1200
158008	1	1	1	100	250
158009	1	1	1	8	100
158013	1	1	1	5	500
158014	1	1	1	5	85
158016	1	3	1	2	4000
158016	2	1	1	6	200
158017	1	1	1	27	60
158018	1	12	9	3	20
158018	2	15	7	4	45
158021	1	1	11	5	40
158022	1	1	1	36	1420
158024	1	25	6	2	33000
158026	1	1	1	8	550
158026	2	23	7	5	872
158031	1	1	1	10	150
158033	1	23	7	8	2500
158039	1	1	1	7	100
158040	1	1	1	20	350
158042	1	1	1	5	-77
158043	1	1	1	10	500
158043	2	23	7	5	800
158044	1	23	7	20	1500
158044	2	25	6	1	10000
158045	1	15	7	1	40
158046	1	17	9	50	200
158046	2	25	7	1	8000
158046	3	1	1	5	50
158050	1	1	1	10	200
158051	1	1	1	21	320
158052	1	25	6	1	2000
158053	1	1	1	10	200
158055	1	1	1	14	221
158056	1	17	12	10	100
168001	1	1	11	5	100
168005	1	25	6	1	-88
168008	1	1	1	6	80
168008	2	42	1	1	100
168008	3	7	1	1	20000
168009	1	25	6	0	-88
168010	1	1	1	11	60
168012	1	23	7	30	600
168013	1	23	7	10	500
168013	2	1	1	6	50
168015	1	25	6	1	4000
168015	2	1	1	5	50
168018	1	1	1	10	100
168020	1	25	6	1	30000
168025	1	13	9	10	400
178001	1	25	12	1	100
178003	1	25	6	2	34000
178004	1	25	12	1	5000
178004	2	15	7	1	800
178004	3	25	6	1	15000
178007	1	11	8	7	2500
178011	1	17	9	15	1200
178011	3	30	7	2	360
178016	1	13	8	7	2000
178024	1	1	1	10	-77
178027	1	30	12	20	4000
178027	2	25	12	1	2800
178034	1	1	1	12	240
178036	1	1	1	10	160
178036	2	23	7	1	30
178036	3	26	7	2	2400
188001	1	1	1	50	200
188002	1	1	1	4	150
188003	1	23	6	1	20000
188005	1	1	1	10	80
188005	2	7	1	0	-88
188005	3	4	1	1	80
188005	4	42	1	2	160
188005	5	25	1	0	-88
188006	1	1	1	13	130
188006	2	2	1	1	70
188006	3	42	1	1	250
188007	1	25	6	1	4000
188007	2	25	6	1	15000
188008	1	1	1	14	200
188008	2	2	1	1	100
188008	3	7	1	0	-88
188008	4	42	1	1	80
188010	1	1	1	12	150
188011	1	1	1	10	300
188011	2	25	6	1	30000
188011	3	5	2	1	1000
188011	4	1	1	12	300
188011	5	8	2	2	400
188012	1	26	8	4	10000
188015	1	1	1	5	80
188015	2	42	1	1	30
188015	3	2	1	1	10
188017	1	1	1	5	200
188017	2	2	1	1	150
188017	3	42	1	1	200
188018	1	25	6	1	35000
188018	2	1	1	3	20
188018	3	42	1	0	-88
188018	5	7	1	0	-88
188020	1	25	6	1	3000
188021	1	1	1	15	200
188021	2	25	1	1	13000
188022	1	25	6	1	7000
188023	1	1	1	18	400
188023	2	2	1	1	200
188023	3	42	1	2	400
188023	4	25	1	1	18000
188023	5	7	1	0	-88
188025	1	1	1	10	200
188025	2	2	1	4	280
188025	3	8	1	1	800
188026	1	1	1	3	30
198001	1	30	3	7	500
198007	1	30	3	10	2000
198008	1	1	11	4	80
198011	1	23	7	5	100
198012	1	13	5	30	2000
198012	2	25	6	1	700
198013	1	23	7	9	1200
198013	2	1	1	7	180
198013	3	2	1	1	100
198015	1	30	3	2	50
198016	1	25	10	1	45000
198016	2	1	1	10	500
198016	3	42	1	2	350
198018	1	25	11	1	6000
198019	1	25	6	1	2000
198022	1	 	 	 	 
198025	1	30	7	8	750
198027	1	25	6	1	5000
198028	1	30	9	1	300000
198028	2	1	1	10	400
198031	1	13	10	3	800
208001	1	25	6	1	5000
208001	2	26	8	2	300
208002	1	25	7	2	6200
208003	1	25	6	1	3000
208006	1	11	9	9	8000
208007	1	25	7	1	55250
208011	1	26	8	12	100000
208015	1	23	7	10	2000
208015	2	26	8	8	8000
208017	1	25	6	1	7000
208018	1	25	7	2	160320
208019	1	15	9	100	50000
208020	1	23	7	2	50
208020	2	1	1	10	30
208021	1	30	7	5	800
208021	3	23	7	2	1300
208022	1	 	 	 	 
208023	1	25	6	1	1500
208025	1	23	7	6	700
208025	2	25	6	2	2500
208026	1	13	9	3	24000
208027	1	26	8	2	15
208029	1	23	7	9	30000
208030	1	30	7	1	250
208030	2	14	9	1	300
208031	1	17	7	10	3000
208031	2	23	7	5	2500
208032	1	25	6	1	20000
208032	2	23	7	6	50
208032	3	1	1	10	25
208033	1	23	7	8	250
208033	3	30	7	2	60
208037	1	 	 	 	 
208042	1	23	7	11	670
208042	2	25	6	1	7000
208044	1	25	6	1	12000
208047	1	17	7	8	1000
208047	2	25	7	1	30000
208048	1	26	8	8	20000
208049	1	2	7	1	220
208051	1	25	6	1	3000
208051	2	23	7	8	1080
