CHILDCODE	IMEVIDR5	RKEVR5	PR2013R5	PR2014R5	PR2015R5	PR2016R5
48017	1	24	 	 	 	4
48017	2	98	 	 	 	 
48017	3	98	 	 	 	 
48018	1	39	 	 	4	 
48018	2	37	 	 	3	 
48018	3	41	 	 	2	 
48019	1	31	 	2	 	 
48019	2	98	 	 	 	 
48019	3	98	 	 	 	 
48020	1	39	 	 	 	4
48020	2	98	 	 	 	 
48020	3	98	 	 	 	 
48021	1	41	 	 	 	4
48021	2	31	 	 	4	 
48021	3	98	 	 	 	 
48022	1	98	 	 	 	 
48022	2	98	 	 	 	 
48022	3	98	 	 	 	 
48023	1	41	 	 	2	 
48023	2	98	 	 	 	 
48023	3	98	 	 	 	 
48024	1	62	 	 	4	 
48024	2	41	 	 	4	 
48024	3	31	 	 	3	 
48025	1	2	 	 	4	 
48025	2	98	 	 	 	 
48025	3	98	 	 	 	 
48026	1	20	 	 	3	 
48026	2	28	 	4	4	4
48026	3	42	 	2	2	2
58002	1	98	 	 	 	 
58002	2	98	 	 	 	 
58002	3	98	 	 	 	 
58003	1	98	 	 	 	 
58003	2	98	 	 	 	 
58003	3	98	 	 	 	 
58004	1	37	2	2	2	2
58004	2	62	 	 	1	 
58004	3	98	 	 	 	 
58007	1	32	 	 	 	4
58007	2	31	 	 	 	4
58007	3	3	 	 	2	 
58008	1	29	 	 	4	 
58008	2	42	 	 	 	4
58008	3	98	 	 	 	 
58011	1	45	 	4	 	 
58011	2	98	 	 	 	 
58011	3	98	 	 	 	 
58012	1	13	 	 	4	3
58012	2	38	4	4	3	3
58012	3	24	 	 	3	 
58013	1	39	 	 	 	3
58013	2	98	 	 	 	 
58013	3	98	 	 	 	 
58014	1	37	 	 	3	3
58014	2	98	 	 	 	 
58014	3	98	 	 	 	 
58015	1	41	 	 	1	 
58015	2	98	 	 	 	 
58015	3	98	 	 	 	 
58016	1	39	 	4	4	4
58016	2	38	3	3	3	3
58016	3	69	 	2	 	 
58017	1	98	 	 	 	 
58017	2	98	 	 	 	 
58017	3	98	 	 	 	 
58019	1	13	 	4	 	 
58019	2	98	 	 	 	 
58019	3	98	 	 	 	 
58020	1	38	 	 	 	3
58020	2	41	 	 	 	1
58020	3	98	 	 	 	 
58021	1	40	 	 	 	4
58021	2	28	 	4	 	 
58021	3	98	 	 	 	 
58022	1	25	 	 	 	1
58022	2	98	 	 	 	 
58022	3	98	 	 	 	 
58025	1	12	2	2	2	2
58025	2	41	 	 	1	 
58025	3	42	 	1	1	1
58026	1	37	 	 	4	 
58026	2	98	 	 	 	 
58026	3	98	 	 	 	 
58027	1	28	4	 	 	 
58027	2	13	 	 	3	3
58027	3	38	 	3	 	 
58028	1	98	 	 	 	 
58028	2	98	 	 	 	 
58028	3	98	 	 	 	 
58029	1	37	 	 	 	2
58029	2	38	 	 	 	2
58029	3	98	 	 	 	 
58030	1	28	4	 	 	 
58030	2	31	2	 	 	 
58030	3	98	 	 	 	 
68001	1	98	 	 	 	 
68001	2	98	 	 	 	 
68001	3	98	 	 	 	 
68002	1	41	 	4	 	 
68002	2	42	 	3	4	4
68002	3	98	 	 	 	 
68004	1	2	 	4	 	 
68004	2	36	 	 	 	2
68004	3	98	 	 	 	 
68005	1	98	 	 	 	 
68005	2	98	 	 	 	 
68005	3	98	 	 	 	 
68006	1	98	 	 	 	 
68006	2	98	 	 	 	 
68006	3	98	 	 	 	 
68007	1	35	 	4	 	 
68007	2	39	 	 	2	 
68007	3	98	 	 	 	 
68008	1	39	 	 	3	 
68008	2	98	 	 	 	 
68008	3	98	 	 	 	 
68009	1	62	4	4	4	 
68009	2	69	 	 	3	 
68009	3	41	2	 	 	 
68010	1	98	 	 	 	 
68010	2	98	 	 	 	 
68010	3	98	 	 	 	 
68011	1	98	 	 	 	 
68011	2	98	 	 	 	 
68011	3	98	 	 	 	 
68012	1	34	 	 	3	 
68012	2	98	 	 	 	 
68012	3	98	 	 	 	 
68013	1	39	4	4	4	4
68013	2	62	 	 	 	3
68013	3	98	 	 	 	 
68015	1	25	1	1	1	 
68015	2	98	 	 	 	 
68015	3	98	 	 	 	 
68016	1	98	 	 	 	 
68016	2	98	 	 	 	 
68016	3	98	 	 	 	 
