CHILDCODE	MEMIDR5	EXISTHH	ALIVE	MEMMOVR5	LIVHSER5	YRDIEDR5	MEMAGER5	AGEMTHR5	MEMSEXR5	RELATER5	MTHBRNR5	RELHHR5	MRTLSTR5	DISABR5	MTHRHHR5	FTHRHHR5	GETMOMBIRTH	GETCHILDBIRTH	THSDISR5	BRNDISR5	GRADER5	STILLR5	WHYNOTR5	AGEGRDR5	SCHTYPR5	LSTTYPR5
18005	1	1	1	 	4	 	46	 	1	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18005	2	1	1	 	4	 	45	 	2	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18005	3	1	1	 	4	 	20	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18005	4	1	1	 	4	 	12	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18005	5	1	1	 	1	 	26	 	1	25	 	1	3	0	98	98	0	0	 	 	9	0	 	 	 	4
18005	6	1	1	 	1	 	5	 	2	27	7	3	 	0	0	5	0	0	 	 	20	1	 	 	4	 
18005	7	 	 	 	1	 	1	 	2	27	 	3	 	0	0	5	 	 	 	 	 	 	 	 	 	 
18006	0	1	1	 	1	 	21	 	2	0	 	5	1	0	2	98	0	0	 	 	15	1	 	 	4	 
18006	1	1	1	 	4	 	58	 	1	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18006	2	1	1	 	1	 	47	 	2	1	 	3	1	0	5	98	0	0	 	 	19	0	 	 	 	1
18006	3	1	1	 	2	 	27	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18006	4	1	1	 	3	2012	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18006	5	1	1	 	1	 	83	 	2	5	 	2	1	0	98	98	0	0	 	 	 	 	 	 	 	 
18006	6	1	1	 	2	 	50	 	2	13	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18006	7	1	1	 	1	 	43	 	2	13	 	3	5	0	98	98	0	0	 	 	 	 	 	 	 	 
18006	8	1	1	 	4	 	20	 	1	14	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18006	9	1	1	 	2	 	8	 	2	15	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18006	10	1	1	 	1	 	40	 	1	2	 	1	1	0	98	98	0	0	 	 	11	0	 	 	 	4
18006	11	 	 	 	1	 	22	 	1	25	 	4	1	0	98	98	 	 	 	 	16	0	 	 	 	4
18006	12	 	 	 	1	 	1	 	2	27	 	5	 	0	0	11	 	 	 	 	 	 	 	 	 	 
18007	0	1	1	 	1	 	21	 	1	0	 	3	6	1	2	1	0	0	 	 	11	0	 	 	 	4
18007	1	1	1	 	1	 	52	 	1	1	 	1	3	0	98	98	0	0	 	 	9	0	 	 	 	4
18007	2	1	1	 	1	 	48	 	2	1	 	3	3	0	98	98	0	0	 	 	8	0	 	 	 	4
18007	3	1	1	 	4	 	23	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18007	4	1	1	 	1	 	20	 	1	7	 	3	6	0	2	1	0	0	 	 	10	2	 	 	1	 
18007	15	1	1	 	1	 	18	 	2	7	 	3	6	0	2	1	0	0	 	 	10	1	 	 	4	 
18007	16	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18008	0	1	1	 	1	 	21	 	1	0	 	3	6	0	2	1	0	0	 	 	15	1	 	 	1	 
18008	1	1	1	 	1	 	59	 	1	1	 	1	3	0	98	98	0	0	 	 	11	0	 	 	 	4
18008	2	1	1	 	1	 	53	 	2	1	 	2	3	0	98	98	0	0	 	 	6	0	 	 	 	4
18008	3	1	1	 	4	 	28	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18008	4	1	1	 	1	 	25	 	2	7	 	3	6	0	2	1	0	0	 	 	13	0	 	 	 	4
18008	5	1	1	 	4	 	31	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18008	6	1	1	 	4	 	10	 	2	15	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18008	7	1	1	 	4	 	32	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18008	8	1	1	 	4	 	21	 	2	14	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18008	9	1	1	 	4	 	8	 	2	15	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18009	0	1	1	 	1	 	21	 	2	0	 	3	1	0	98	98	0	0	 	 	11	0	 	 	 	4
18009	1	1	1	 	4	 	57	 	1	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18009	2	1	1	 	1	 	59	 	2	1	 	1	2	0	98	98	0	0	 	 	11	0	 	 	 	4
18009	3	1	1	 	4	 	24	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18009	4	1	1	 	1	 	20	 	2	7	 	3	6	0	2	98	0	0	 	 	11	0	 	 	 	4
18009	5	1	1	 	4	 	15	 	2	15	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18009	6	1	1	 	1	 	4	 	2	27	 	5	 	0	0	7	0	0	 	 	20	1	 	 	4	 
18009	7	1	1	 	1	 	21	 	1	25	 	4	1	0	98	98	0	0	 	 	11	0	 	 	 	4
18010	0	1	1	 	1	 	22	 	1	0	 	3	6	0	2	1	0	0	 	 	13	1	 	 	4	 
18010	1	1	1	 	1	 	42	 	1	1	 	1	3	0	98	98	0	0	 	 	6	0	 	 	 	4
18010	2	1	1	 	1	 	40	 	2	1	 	2	3	0	98	98	0	0	 	 	7	0	 	 	 	4
18010	3	1	1	 	1	 	7	 	2	7	1	3	 	0	2	1	0	0	 	 	2	1	 	 	4	 
18011	0	1	1	1	1	 	21	 	2	0	 	2	1	0	98	98	0	0	 	 	6	0	 	 	 	4
18011	1	1	1	0	4	 	44	 	1	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18011	2	1	1	0	4	 	43	 	2	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18011	3	1	1	0	4	 	24	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18011	4	1	1	 	4	 	19	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18011	15	1	1	 	4	 	15	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18011	16	1	1	 	4	 	12	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18011	17	1	1	 	4	 	8	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18011	18	1	1	 	1	 	29	 	1	25	 	1	1	0	98	98	0	0	 	 	9	0	 	 	 	4
18011	19	1	1	 	1	 	4	 	2	27	 	3	 	0	0	18	0	0	 	 	20	1	 	 	4	 
18012	0	1	1	 	1	 	22	 	2	0	 	3	6	0	2	98	0	0	 	 	14	0	 	 	 	4
18012	1	1	1	 	4	 	55	 	1	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18012	2	1	1	 	1	 	50	 	2	1	 	1	3	0	98	98	0	0	 	 	11	0	 	 	 	4
18012	15	1	1	 	1	 	17	 	2	7	4	3	6	0	2	98	0	0	 	 	13	1	 	 	4	 
18013	0	1	1	 	1	 	22	 	2	0	 	3	6	0	2	1	0	0	 	 	8	0	 	 	 	1
18013	1	1	1	 	1	 	55	 	1	1	 	1	3	0	98	98	0	0	 	 	9	0	 	 	 	4
18013	2	1	1	 	1	 	52	 	2	1	 	2	3	0	98	98	0	0	 	 	9	0	 	 	 	4
18013	3	1	1	 	4	 	33	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18013	4	1	1	 	4	 	32	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18013	5	1	1	 	4	 	27	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18013	15	1	1	 	4	 	14	 	2	15	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18013	16	1	1	 	1	 	5	 	2	27	12	5	 	0	0	98	0	0	 	 	20	1	 	 	4	 
18015	0	1	1	 	1	 	21	 	2	0	 	3	6	0	2	1	0	0	 	 	14	1	 	 	4	 
18015	1	1	1	 	1	 	42	 	1	1	 	1	1	0	98	98	0	0	 	 	3	0	 	 	 	4
18015	2	1	1	 	1	 	41	 	2	1	 	2	1	0	98	98	0	0	 	 	3	0	 	 	 	4
18015	3	1	1	 	1	 	22	 	2	9	 	7	6	0	2	98	0	0	 	 	15	1	 	 	1	 
18015	15	1	1	 	1	 	18	 	1	7	 	3	6	0	2	1	0	0	 	 	10	1	 	 	1	 
18015	16	1	1	 	1	 	16	 	1	7	12	3	6	0	2	1	0	0	 	 	9	1	 	 	4	 
18015	17	1	1	 	1	 	3	 	1	7	 	3	 	0	2	1	0	0	 	 	0	0	 	 	 	 
18016	0	1	1	 	1	 	21	 	1	0	 	3	6	0	2	1	0	0	 	 	15	1	 	 	4	 
18016	1	1	1	 	1	 	50	 	1	1	 	1	3	0	98	98	0	0	 	 	14	0	 	 	 	4
18016	2	1	1	 	1	 	47	 	2	1	 	2	3	0	98	98	0	0	 	 	11	0	 	 	 	4
18016	3	1	1	 	1	 	28	 	1	7	 	3	6	0	2	1	0	0	 	 	13	0	 	 	 	1
18016	15	1	1	 	1	 	15	 	1	7	4	3	6	0	2	1	0	0	 	 	10	1	 	 	4	 
18016	16	1	1	 	1	 	15	 	1	7	4	3	6	0	2	1	0	0	 	 	10	1	 	 	4	 
18016	17	1	1	 	1	 	11	 	2	7	11	3	 	0	2	1	0	0	 	 	5	1	 	 	4	 
18017	0	1	1	1	1	 	22	 	1	0	 	1	1	0	98	98	0	0	 	 	7	0	 	 	 	1
18017	1	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18017	2	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18017	3	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18017	4	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18017	5	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18017	15	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18017	16	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18017	17	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18017	18	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18017	19	 	 	1	1	 	20	 	2	25	 	2	1	0	98	98	 	 	 	 	11	0	 	 	 	4
18017	20	 	 	1	1	 	2	 	2	27	 	3	 	0	19	0	 	 	 	 	 	 	 	 	 	 
18018	0	1	1	 	1	 	22	 	2	0	 	2	3	0	98	98	0	0	 	 	11	0	 	 	 	1
18018	1	1	1	 	4	 	39	 	1	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18018	2	1	1	 	4	 	39	 	2	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18018	3	1	1	 	4	 	18	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18018	4	1	1	 	4	 	77	 	1	5	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18018	5	1	1	 	4	 	77	 	2	5	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18018	6	1	1	 	4	 	37	 	2	13	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18018	7	1	1	 	1	 	28	 	1	25	 	1	3	0	98	98	0	0	 	 	11	0	 	 	 	4
18018	8	1	1	 	1	 	5	 	1	27	11	3	 	0	0	7	0	0	 	 	20	1	 	 	4	 
18018	9	 	 	 	1	 	1	 	1	27	 	3	 	0	0	7	 	 	 	 	 	 	 	 	 	 
18019	0	1	1	1	1	 	22	 	1	0	 	1	1	0	98	98	0	0	 	 	8	0	 	 	 	4
18019	1	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18019	2	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18019	3	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18019	4	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18019	15	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18019	16	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18019	17	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18019	18	 	 	1	1	 	16	 	2	25	2	2	1	0	98	98	 	 	 	 	7	0	23	15	 	4
18019	19	 	 	1	1	 	0	2	2	27	 	3	 	0	18	0	 	 	 	 	 	 	 	 	 	 
18020	0	1	1	 	1	 	21	 	2	0	 	5	6	0	98	98	0	0	 	 	15	1	 	 	4	 
18020	1	1	1	 	1	 	54	 	2	13	 	3	5	0	4	98	0	0	 	 	 	 	 	 	 	 
18020	2	1	1	 	4	 	30	 	1	14	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18020	3	1	1	 	4	 	45	 	1	13	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18020	4	1	1	 	1	 	75	 	2	5	 	1	4	0	98	98	0	0	 	 	 	 	 	 	 	 
18020	5	1	1	 	1	 	19	 	2	7	 	5	6	0	98	98	0	0	 	 	11	1	 	 	4	 
18020	6	1	1	 	4	 	41	 	2	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18020	7	1	1	 	1	 	16	 	1	9	8	5	6	0	98	98	0	0	 	 	10	1	 	 	4	 
18020	8	1	1	 	4	 	8	 	1	9	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18021	0	1	1	 	1	 	21	 	2	0	 	5	6	0	2	98	0	0	 	 	13	0	 	 	 	1
18021	1	1	1	 	4	 	51	 	1	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18021	2	1	1	 	1	 	43	 	2	1	 	3	2	0	5	98	0	0	 	 	6	0	 	 	 	4
18021	3	1	1	 	1	 	19	 	1	7	 	5	6	0	2	98	0	0	 	 	11	1	 	 	1	 
18021	4	1	1	 	4	 	25	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18021	5	1	1	 	1	 	63	 	2	5	 	1	4	0	98	98	0	0	 	 	 	 	 	 	 	 
18022	0	1	1	 	1	 	21	 	2	0	 	3	1	0	2	98	0	0	 	 	11	0	 	 	 	10
18022	1	1	1	 	4	 	40	 	1	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18022	2	1	1	 	1	 	43	 	2	1	 	1	2	0	98	98	0	0	 	 	6	0	 	 	 	4
18022	3	1	1	 	1	 	20	 	1	7	 	3	6	0	2	98	0	0	 	 	15	1	 	 	1	 
18022	4	1	1	 	4	 	30	 	2	14	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18022	5	1	1	 	4	 	30	 	1	14	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18022	6	1	1	 	4	 	28	 	1	14	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18022	15	1	1	 	1	 	18	 	1	7	 	3	6	0	2	98	0	0	 	 	11	1	 	 	4	 
18022	16	1	1	 	1	 	24	 	1	25	 	4	1	0	98	98	0	0	 	 	11	0	 	 	 	4
18022	17	1	1	 	1	 	6	 	2	27	6	5	 	0	0	16	0	0	 	 	20	1	 	 	4	 
18023	0	1	1	 	1	 	21	 	1	0	 	3	6	0	2	1	0	0	 	 	6	0	 	 	 	4
18023	1	1	1	 	1	 	53	 	1	1	 	1	3	0	98	98	0	0	 	 	14	0	 	 	 	4
18023	2	1	1	 	1	 	56	 	2	1	 	2	3	0	98	98	0	0	 	 	11	0	 	 	 	4
18023	3	1	1	 	4	 	25	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18023	4	1	1	 	4	 	24	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18023	5	1	1	 	4	 	18	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18023	15	1	1	 	4	 	16	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18024	0	1	1	 	1	 	21	 	2	0	 	3	6	0	2	1	0	0	 	 	15	1	 	 	4	 
18024	1	1	1	 	1	 	55	 	1	1	 	1	3	0	98	98	0	0	 	 	11	0	 	 	 	4
18024	2	1	1	 	1	 	50	 	2	1	 	2	3	0	98	98	0	0	 	 	11	0	 	 	 	4
18024	3	1	1	 	4	 	33	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18024	4	1	1	 	4	 	32	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18024	5	1	1	 	4	 	31	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18025	0	1	1	 	1	 	22	 	1	0	 	3	6	0	2	1	0	0	 	 	15	1	 	 	1	 
18025	1	1	1	 	1	 	44	 	1	1	 	1	1	0	98	98	0	0	 	 	9	0	 	 	 	4
18025	2	1	1	 	1	 	37	 	2	1	 	2	1	0	98	98	0	0	 	 	9	0	 	 	 	4
18025	3	1	1	 	4	 	21	 	2	25	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18025	4	1	1	 	1	 	4	 	1	27	 	5	 	0	98	0	0	0	 	 	20	1	 	 	4	 
18026	0	1	1	 	1	 	22	 	1	0	 	3	6	0	2	1	0	0	 	 	13	0	 	 	 	1
18026	1	1	1	 	1	 	52	 	1	1	 	2	1	0	98	98	0	0	 	 	5	0	 	 	 	4
18026	2	1	1	 	1	 	48	 	2	1	 	1	1	0	98	98	0	0	 	 	13	0	 	 	 	4
18026	3	1	1	 	1	 	24	 	1	7	 	3	6	0	2	1	0	0	 	 	13	0	 	 	 	1
18027	0	1	1	 	1	 	22	 	2	0	 	2	1	0	98	98	0	0	 	 	10	0	 	 	 	4
18027	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18027	2	1	1	 	2	 	41	 	2	1	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18027	3	1	1	 	4	 	19	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18027	15	1	1	 	4	 	16	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18027	16	1	1	 	4	 	15	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18027	17	1	1	 	4	 	9	 	2	14	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18027	18	1	1	 	4	 	77	 	1	77	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18027	19	1	1	 	1	 	28	 	1	25	 	1	1	0	98	98	0	0	 	 	11	0	 	 	 	1
18027	20	1	1	 	1	 	4	 	2	27	 	3	 	0	0	19	0	0	 	 	20	1	 	 	4	 
18028	0	1	1	 	1	 	22	 	1	0	 	3	6	0	2	1	0	0	 	 	9	2	 	 	1	 
18028	1	1	1	 	1	 	56	 	1	1	 	1	3	0	98	98	0	0	 	 	11	0	 	 	 	4
18028	2	1	1	 	1	 	51	 	2	1	 	2	3	0	98	98	0	0	 	 	8	0	 	 	 	4
18028	3	1	1	 	4	 	30	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18028	4	1	1	 	1	 	25	 	1	7	 	3	6	0	2	1	0	0	 	 	8	0	 	 	 	4
18028	5	1	1	 	4	 	19	 	2	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18028	6	1	1	 	4	 	28	 	2	16	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18028	7	1	1	 	4	 	9	 	2	15	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18028	8	1	1	 	4	 	8	 	1	15	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18029	0	1	1	1	1	 	21	 	1	0	 	1	6	0	98	98	0	0	 	 	14	0	 	 	 	4
18029	1	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18029	2	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18029	15	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18030	0	1	1	 	1	 	21	 	2	0	 	3	6	0	1	98	0	0	 	 	13	1	 	 	4	 
18030	1	1	1	 	1	 	52	 	2	1	 	1	2	0	98	98	0	0	 	 	10	0	 	 	 	4
18030	15	1	1	 	4	 	18	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18030	16	1	1	 	1	 	3	 	1	27	 	5	 	0	0	98	0	0	 	 	0	0	 	 	 	 
18032	0	1	1	1	1	 	22	 	2	0	 	3	2	0	2	1	0	0	 	 	11	0	 	 	 	4
18032	1	1	1	1	1	 	51	 	1	1	 	1	1	0	98	98	0	0	 	 	11	0	 	 	 	4
18032	2	1	1	1	1	 	47	 	2	1	 	2	1	0	98	98	0	0	 	 	8	0	 	 	 	4
18032	3	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18032	4	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18032	5	1	1	1	1	 	21	 	2	7	 	3	6	0	0	1	0	0	 	 	14	0	 	 	 	1
18032	6	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18032	7	 	 	1	1	 	30	 	1	7	 	3	6	0	2	1	 	 	 	 	11	1	 	 	4	 
18034	0	1	1	 	1	 	22	 	2	0	 	3	6	0	2	1	0	0	 	 	11	1	 	 	1	 
18034	1	1	1	 	1	 	58	 	1	1	 	1	3	0	98	98	0	0	 	 	16	0	 	 	 	4
18034	2	1	1	 	1	 	49	 	2	1	 	2	3	0	98	98	0	0	 	 	16	0	 	 	 	4
18034	3	1	1	 	2	 	30	 	1	7	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18034	4	1	1	 	4	 	33	 	2	8	 	 	 	 	 	 	0	0	 	 	 	 	 	 	 	 
18035	0	1	1	 	1	 	21	 	2	0	 	5	6	0	1	98	0	0	 	 	15	1	 	 	4	 
18035	1	1	1	 	1	 	45	 	2	1	 	3	2	0	2	98	0	0	 	 	8	0	 	 	 	4
