CHILDCODE	DINT	R4HSEHLD	HEADIDR5	IDvar1	IDvar7	ASTWRKR5	IDvar3	DSCCURR5	DSCAGOR5	WHYCHR51	WHYCHR52	CMPHHR5	IDvar5	IDvar6	OWNHSER5	MRTGR5	NUMRMR5	ELECR5	WALLR5	ROOFR5	FLOORR5	DRWTRR5	WTRTRMR5	TOILETR5	COOKR5	HTUSDR5	TYPHTR5	RURICKR5	INVESTR5	INVSTR51	INVSTR52	INVSTR53	HRDJNTR5	APPJNTR5	SMTJNTR5	SYRJNTR5	EMTJNTR5	EYRJNTR5	TIMJNTR5	EXPJNTR5	AFFJNTR5	NUMJNTR5	EVLJNTR5	HRDBONR5	AFFBONR5	NUMBONR5	MTBONOR5	YRBONOR5	ENDDINT	hhsize	elecq	drwaterq	toiletq	cookingq	hq	cd	sv	wi
18015	14/08/2016 15:19:01	1	1	1	1	1	1	3	4	20	88	4	1	1	1	0	3	1	21	6	1	1	1	1	8	0	 	88	1	6	5	88	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	14/08/2016 15:59:22	7	1	1	1	1	.50015926361084	.5	1	.666719734668732
18016	12/08/2016 16:34:58	1	1	2	2	1	2	3	3	 	 	4	2	2	1	0	5	1	3	6	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	12/08/2016 17:04:34	7	1	1	1	1	.75030255317688	.916666686534882	1	.888989746570587
18017	16/08/2016 10:01:16	0	0	0	0	0	0	3	3	 	 	4	0	0	0	0	3	1	21	6	4	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	16/08/2016 10:21:29	3	1	1	1	1	.250445872545242	.16666667163372	1	.472370862960815
18018	09/08/2016 18:55:16	1	7	0	0	1	0	3	3	 	 	4	0	0	1	0	1	1	21	6	4	1	1	7	8	0	 	88	1	7	1	17	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	09/08/2016 19:22:54	4	1	1	0	1	.250069677829742	.666666686534882	.75	.555578768253326
18019	12/09/2016 12:05:05	0	0	0	0	1	0	3	3	 	 	4	0	0	0	0	3	1	1	6	1	1	1	1	8	0	 	0	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	12/09/2016 12:18:40	3	1	1	1	1	.500445902347565	.416666656732559	1	.639037549495697
18020	09/08/2016 10:32:31	1	4	1	1	0	1	4	4	 	 	4	1	1	1	0	6	1	3	6	1	1	1	1	8	0	 	88	1	13	1	5	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	09/08/2016 11:03:02	5	1	1	1	1	.750546216964722	.833333313465118	1	.861293137073517
18021	17/08/2016 16:07:44	1	5	2	2	0	2	3	3	 	 	4	2	2	1	0	2	1	1	6	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	17/08/2016 11:28:08	4	1	1	1	1	.50019508600235	.666666686534882	1	.722287237644196
18022	21/08/2016 10:42:50	1	2	0	0	1	0	3	4	9	17	4	0	0	1	0	1	1	3	6	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	21/08/2016 11:06:52	6	1	1	1	1	.750027894973755	.5	1	.750009298324585
18023	14/10/2016 09:08:37	1	0	2	2	0	2	3	4	9	16	5	2	2	0	0	3	1	1	6	1	1	1	1	8	0	 	88	0	 	 	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	14/10/2016 09:30:52	3	1	1	1	1	.500445902347565	.583333313465118	1	.694593131542206
18024	15/08/2016 19:37:29	1	1	2	2	1	2	3	3	 	 	4	2	2	1	0	3	1	21	6	1	1	1	1	8	0	 	88	1	7	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	15/08/2016 20:05:23	3	1	1	1	1	.500445902347565	.833333313465118	1	.777926445007324
18025	17/08/2016 09:43:58	1	1	2	2	0	2	3	3	 	 	4	2	2	1	0	4	1	21	6	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	17/08/2016 10:12:49	4	1	1	1	1	.500445902347565	.75	1	.750148594379425
18026	11/08/2016 15:35:49	1	2	2	2	1	2	3	5	12	88	4	2	2	1	0	3	1	21	6	4	1	1	1	8	0	 	88	0	 	 	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	11/08/2016 16:09:24	4	1	1	1	1	.250320464372635	.5	1	.583440124988556
18027	11/01/2017 12:02:02	1	19	0	0	1	0	3	3	 	 	4	0	0	0	77	3	1	3	4	1	1	1	1	8	0	 	88	1	6	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	15/01/2017 14:11:14	3	1	1	1	1	.750445902347565	.833333313465118	1	.861259758472443
18028	12/08/2016 09:01:33	1	1	2	2	1	2	4	4	 	 	4	2	2	1	0	2	1	3	6	1	1	2	1	8	0	 	88	1	6	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	12/08/2016 09:29:35	4	1	1	1	1	.75019508600235	.5	1	.75006502866745
18029	10/01/2017 14:09:53	0	0	0	0	0	0	3	3	 	 	4	0	0	0	0	1	1	3	4	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	10/01/2017 14:48:46	1	1	1	1	1	.750445902347565	.5	1	.750148594379425
18030	10/08/2016 15:41:02	1	1	1	1	1	1	3	3	 	 	4	1	1	1	0	3	1	23	6	21	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	10/08/2016 16:01:05	3	1	1	1	1	.250445872545242	.583333313465118	1	.611259758472443
18032	09/08/2016 10:02:50	0	1	2	2	1	2	3	3	 	 	4	2	2	0	77	3	1	3	4	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	09/08/2016 10:23:35	5	1	1	1	1	.750245213508606	.583333313465118	1	.777859508991241
18034	11/08/2016 15:08:24	1	1	2	2	1	2	3	3	 	 	4	2	2	1	1	4	1	3	4	1	1	1	1	8	0	 	88	1	3	6	88	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	11/08/2016 15:28:27	3	1	1	1	1	.75061309337616	.916666686534882	1	.889093220233917
18035	10/08/2016 09:51:00	1	2	1	1	1	1	3	4	12	21	4	1	1	1	0	3	1	3	6	1	1	1	1	8	0	 	88	1	3	5	6	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	10/08/2016 10:31:59	7	1	1	1	1	.75015926361084	.666666686534882	1	.805608689785004
18036	11/08/2016 08:46:55	1	1	0	0	1	0	3	3	 	 	4	0	0	1	0	6	1	21	18	1	1	1	1	8	0	 	88	1	13	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	11/08/2016 09:39:44	7	1	1	1	1	.250374227762222	.583333313465118	1	.611235857009888
18037	19/08/2016 09:12:00	1	5	5	5	0	5	4	3	72	88	4	5	5	1	0	3	1	3	6	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	19/08/2016 09:30:44	5	1	1	1	1	.750245213508606	.5	1	.750081717967987
18038	18/08/2016 09:17:16	1	0	18	18	0	18	3	3	 	 	4	18	18	1	0	4	1	21	6	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	18/08/2016 09:49:25	8	1	1	1	1	.50019508600235	.583333313465118	1	.694509506225586
18039	10/08/2016 09:13:26	1	1	2	2	0	2	3	3	 	 	6	2	2	1	0	3	1	1	6	1	1	5	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	10/08/2016 09:40:46	8	1	1	1	1	.500132381916046	.25	1	.583377420902252
18040	24/08/2016 10:22:04	0	0	0	0	0	0	3	3	 	 	4	0	0	0	77	1	1	2	4	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	24/08/2016 10:32:38	1	1	1	1	1	.500445902347565	.16666667163372	1	.555704176425934
18041	14/08/2016 16:34:26	1	1	2	2	0	2	3	5	20	88	4	2	2	1	0	3	1	1	4	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	14/08/2016 16:51:26	4	1	1	1	1	.500320494174957	.333333343267441	1	.61121791601181
18042	09/08/2016 11:58:23	1	1	2	2	1	2	3	4	31	88	4	2	2	1	0	2	1	3	6	21	1	1	1	8	0	 	88	1	2	3	88	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	09/08/2016 12:31:24	5	1	1	1	1	.500144898891449	.666666686534882	1	.722270488739014
18044	20/08/2016 15:31:04	1	1	16	16	1	16	3	4	12	88	5	16	16	1	0	3	1	21	6	1	1	5	1	8	0	 	88	1	5	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	20/08/2016 15:51:47	5	1	1	1	1	.500245213508606	.583333313465118	1	.694526195526123
18045	16/07/2016 17:08:27	1	16	16	16	0	16	3	3	 	 	4	16	16	0	77	1	1	3	4	1	1	1	1	8	0	 	88	0	 	 	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	16/07/2016 17:42:55	4	1	1	1	1	.750069677829742	.75	1	.833356559276581
18046	09/08/2016 08:31:28	0	0	0	0	1	0	3	3	 	 	4	0	0	1	0	1	1	3	6	8	1	1	1	8	0	 	88	0	 	 	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	09/08/2016 08:52:31	2	1	1	1	1	.75019508600235	.583333313465118	1	.777842819690704
18047	19/08/2016 07:58:51	1	7	7	7	1	7	3	3	 	 	4	7	7	1	0	1	1	21	6	4	7	1	7	8	0	 	88	1	9	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	19/08/2016 08:33:09	3	1	0	0	1	.25011146068573	.583333313465118	.5	.444481611251831
18048	17/08/2016 17:03:23	0	7	0	0	1	0	5	5	 	 	4	0	0	0	0	2	1	3	6	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	17/08/2016 17:17:50	3	1	1	1	1	.750278651714325	.583333313465118	1	.777870655059814
18049	15/08/2016 17:45:02	1	1	2	2	1	2	3	3	 	 	4	2	2	1	0	4	1	3	4	1	1	1	1	8	0	 	88	1	1	88	 	1	0	 	 	 	 	 	 	 	 	 	0	 	 	 	 	15/08/2016 18:03:50	4	1	1	1	1	.750445902347565	.666666686534882	1	.805704176425934
18050	15/08/2016 20:56:12	1	1	2	2	1	2	4	4	 	 	4	2	1	1	0	3	1	3	16	1	1	1	1	8	0	 	88	1	4	1	6	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	15/08/2016 21:31:09	3	1	1	1	1	.500445902347565	.666666686534882	1	.722370862960815
28001	02/09/2016 11:30:43	0	0	16	16	1	16	3	3	 	 	4	16	16	1	0	2	1	22	6	4	7	1	6	8	0	 	0	1	15	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	02/09/2016 11:59:25	3	1	0	1	1	.250278681516647	.416666656732559	.75	.472315102815628
28002	06/09/2016 18:38:46	0	17	0	0	1	0	3	3	 	 	4	0	0	0	0	1	1	22	6	4	1	1	6	8	0	 	0	1	1	88	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	06/09/2016 19:05:28	2	1	1	1	1	.25019508600235	.16666667163372	1	.472287267446518
28003	05/09/2016 10:33:34	1	1	2	2	1	2	3	4	1	4	4	2	2	1	0	7	1	3	6	1	1	1	6	8	0	 	0	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	05/09/2016 10:52:26	3	1	1	1	1	.751114726066589	.666666686534882	1	.805927097797394
28004	15/01/2017 16:11:50	0	0	0	0	0	0	3	3	 	 	4	0	0	0	77	1	1	3	4	4	1	1	1	8	0	 	88	0	 	 	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	15/01/2017 16:21:15	2	1	1	1	1	.50019508600235	.333333343267441	1	.611176133155823
28006	03/09/2016 18:16:48	1	1	2	2	0	2	3	3	 	 	4	1	2	1	0	2	1	3	22	1	1	1	1	8	0	 	0	1	5	88	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	03/09/2016 18:49:35	6	1	1	1	1	.50011146068573	.583333313465118	1	.694481611251831
28007	11/01/2017 22:24:32	0	0	0	0	0	0	3	3	 	 	4	0	0	0	0	1	1	3	4	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	29/11/2016 23:57:02	1	1	1	1	1	.750445902347565	.0833333358168602	1	.611259758472443
28008	03/09/2016 11:48:20	1	1	2	2	1	2	3	4	9	16	5	2	2	1	0	4	1	3	6	4	1	1	1	16	0	 	0	1	16	7	88	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	03/09/2016 12:15:10	5	1	1	1	0	.500345587730408	.583333313465118	.75	.611226320266724
28009	05/09/2016 08:59:26	0	0	0	0	1	0	3	3	 	 	4	0	0	1	0	2	1	1	6	21	1	1	6	8	0	 	0	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	05/09/2016 09:15:47	3	1	1	1	1	.250278681516647	.583333313465118	1	.611203968524933
28010	12/09/2016 15:29:19	0	17	0	0	0	0	3	3	 	 	5	0	0	1	1	1	1	1	6	1	4	1	4	8	0	 	0	1	16	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	12/09/2016 15:39:38	2	1	0	0	1	.50019508600235	.416666656732559	.5	.472287267446518
28011	03/09/2016 10:59:51	1	18	1	1	1	1	3	3	 	 	4	1	1	1	1	4	1	3	6	1	1	1	1	8	0	 	0	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	03/09/2016 11:15:51	6	1	1	1	1	.750278651714325	.75	1	.833426237106323
28012	08/09/2016 15:09:44	1	1	1	1	1	1	5	5	 	 	4	1	1	1	0	3	1	8	6	1	6	1	6	8	0	 	0	1	6	88	 	0	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	08/09/2016 15:32:28	4	1	0	1	1	.500320494174957	.5	.75	.583440124988556
28013	12/09/2016 11:48:13	0	8	0	0	1	0	3	4	36	9	4	0	0	1	0	3	1	3	6	1	4	1	2	8	0	 	0	1	6	8	7	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	12/09/2016 12:03:39	3	1	0	0	1	.750445902347565	.583333313465118	.5	.611259758472443
28014	12/09/2016 10:15:16	1	0	0	0	0	0	3	3	 	 	4	0	0	1	0	3	1	3	6	1	1	1	7	8	0	 	0	1	1	5	6	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	12/09/2016 10:36:42	3	1	1	0	1	.750445902347565	.583333313465118	.75	.694593131542206
28015	06/09/2016 12:30:50	1	0	0	0	0	0	4	4	 	 	5	0	0	1	0	2	1	1	6	4	8	5	2	16	0	 	0	1	5	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	06/09/2016 12:45:29	4	1	0	0	0	.25019508600235	.333333343267441	.25	.277842789888382
28016	04/10/2016 13:41:00	0	0	0	0	0	0	3	4	19	88	4	0	0	1	0	1	1	3	6	1	1	1	1	8	0	 	88	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	04/10/2016 13:56:23	2	1	1	1	1	.75019508600235	.25	1	.666731655597687
28017	09/09/2016 10:01:42	0	0	18	18	1	18	4	4	 	 	4	18	18	1	0	3	1	3	22	1	1	1	6	8	0	 	0	1	15	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	09/09/2016 10:34:21	3	1	1	1	1	.500445902347565	.666666686534882	1	.722370862960815
28018	11/09/2016 11:49:41	0	17	16	16	0	16	4	4	 	 	4	16	16	1	0	3	1	1	6	4	7	5	6	8	0	 	0	1	15	7	88	0	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	11/09/2016 12:05:24	3	1	0	1	1	.250445872545242	.16666667163372	.75	.389037519693375
28020	03/09/2016 12:39:01	1	1	2	2	1	2	4	5	9	19	4	2	2	1	0	3	1	3	22	4	1	1	1	4	0	 	0	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	03/09/2016 13:11:36	6	1	1	1	0	.25019508600235	.5	.75	.50006502866745
28021	09/09/2016 11:07:10	1	3	1	1	1	1	3	3	 	 	4	1	1	1	0	5	1	3	6	1	7	1	1	8	0	 	0	1	3	88	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	09/09/2016 11:52:10	4	1	0	1	1	.750571310520172	.666666686534882	.75	.722412645816803
28022	31/08/2016 12:32:06	1	1	2	2	0	2	4	3	50	58	4	2	2	1	0	3	1	16	6	4	1	1	6	8	0	 	0	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	31/08/2016 12:58:23	6	1	1	1	1	.25019508600235	.75	1	.666731655597687
28023	04/09/2016 14:12:37	1	1	2	2	1	2	4	4	 	 	4	2	2	1	0	3	1	1	6	1	1	5	6	8	0	 	0	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	04/09/2016 14:41:20	7	1	1	1	1	.50015926361084	.666666686534882	1	.72227531671524
28024	08/09/2016 12:52:35	0	0	17	17	1	17	3	77	16	88	5	17	17	0	0	1	1	3	6	1	1	1	6	8	0	 	0	1	6	88	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	08/09/2016 13:21:17	3	1	1	1	1	.75011146068573	.5	1	.75003719329834
28025	03/09/2016 16:45:38	1	7	0	0	1	0	3	4	9	88	5	0	0	1	0	1	1	1	6	1	7	1	6	8	0	 	0	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	03/09/2016 17:01:35	4	1	0	1	1	.500069677829742	.666666686534882	.75	.63891214132309
38001	27/09/2016 06:45:24	1	2	0	0	1	0	5	5	 	 	5	0	0	1	0	3	0	1	6	4	1	5	4	16	0	 	0	1	15	88	 	0	 	 	 	 	 	 	 	 	 	 	1	1	1	2	2014	27/09/2016 07:03:51	2	0	1	0	0	.250696688890457	0	.25	.166898891329765
38002	26/09/2016 12:11:56	1	2	2	2	1	2	3	4	12	15	4	2	2	1	0	5	1	1	15	4	1	1	6	16	0	 	0	0	 	 	 	1	1	10	2012	 	 	180	0	0	 	 	1	0	 	 	 	26/09/2016 12:39:12	10	1	1	1	0	.25019508600235	.25	.75	.416731685400009
38003	04/10/2016 15:07:41	0	19	0	0	1	0	5	5	 	 	5	0	0	0	0	4	0	1	6	1	4	1	6	16	0	 	0	0	 	 	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	04/10/2016 15:25:45	5	0	0	1	0	.500345587730408	.16666667163372	.25	.305670768022537
38004	26/09/2016 09:12:33	1	4	3	3	1	3	3	3	 	 	4	3	3	1	0	4	1	1	15	4	10	1	6	16	0	 	0	1	7	88	 	1	1	77	2009	 	 	120	0	0	 	 	0	 	 	 	 	26/09/2016 09:41:53	8	1	0	1	0	.25019508600235	.0833333358168602	.5	.277842789888382
38005	26/09/2016 08:58:10	1	1	2	0	1	0	4	4	 	 	5	0	2	1	0	2	1	1	15	4	2	1	2	16	0	 	0	1	1	2	88	1	1	6	2012	 	 	120	0	0	 	 	0	 	 	 	 	26/09/2016 09:22:55	9	1	1	0	0	.250055730342865	.0833333358168602	.5	.277796357870102
38006	09/10/2016 19:05:38	1	0	0	0	0	0	3	3	 	 	4	0	0	0	1	1	1	3	4	1	1	1	1	8	0	 	88	0	 	 	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	09/10/2016 10:54:06	1	1	1	1	1	.750445902347565	.416666656732559	1	.722370862960815
38008	23/07/2016 16:21:57	1	16	0	0	1	0	3	3	 	 	3	0	0	1	0	2	0	23	6	4	5	1	6	8	0	 	88	1	15	88	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	24/07/2016 10:39:49	3	0	0	1	1	.250278681516647	.416666656732559	.5	.38898178935051
38010	21/09/2016 11:21:48	1	1	1	1	0	1	4	4	 	 	4	1	1	1	0	2	1	1	6	4	1	1	1	8	0	 	0	0	 	 	 	0	 	 	 	 	 	 	 	 	 	 	1	0	 	 	 	21/09/2016 11:33:45	3	1	1	1	1	.250278681516647	.333333343267441	1	.527870655059814
38011	20/09/2016 10:30:26	1	1	2	2	1	2	3	3	 	 	4	2	2	1	0	23	1	3	4	1	1	1	1	8	0	 	0	1	15	3	12	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	20/09/2016 11:12:51	5	1	1	1	1	.75225168466568	.75	1	.83408385515213
38014	07/10/2016 14:06:36	0	3	0	0	0	0	3	3	 	 	4	0	0	0	77	3	1	3	4	1	1	1	1	8	0	 	88	0	 	 	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	07/10/2016 14:45:59	3	1	1	1	1	.750445902347565	.666666686534882	1	.805704176425934
38015	23/09/2016 11:49:39	1	3	2	2	1	2	4	4	 	 	6	2	2	1	0	4	1	1	6	4	3	5	1	16	0	 	0	0	 	 	 	1	1	5	2012	 	 	10	0	0	 	 	1	1	2	3	2015	23/09/2016 12:26:55	6	1	0	1	0	.250278681516647	.25	.5	.333426237106323
38016	21/09/2016 15:40:24	1	2	2	2	1	2	4	5	12	88	5	2	2	1	0	5	1	1	6	1	1	1	1	16	0	 	0	1	6	17	88	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	21/09/2016 16:05:23	3	1	1	1	0	.500780284404755	.416666656732559	.75	.555815637111664
38017	05/10/2016 13:08:58	1	13	0	0	1	0	3	3	 	 	4	0	0	0	0	3	1	3	6	4	8	1	6	16	0	 	0	0	 	 	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	05/10/2016 13:21:57	3	1	0	1	0	.500445902347565	.5	.5	.500148594379425
38019	04/10/2016 14:41:01	0	9	0	0	1	0	3	3	 	 	4	0	0	0	0	1	1	3	22	1	1	5	1	8	0	 	88	0	 	 	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	04/10/2016 14:54:43	2	1	1	1	1	.50019508600235	.416666656732559	1	.638953924179077
38020	25/09/2016 15:38:00	0	18	18	18	1	18	5	5	 	 	6	18	18	1	0	3	1	1	22	4	2	1	6	8	0	 	0	1	7	88	 	1	0	 	 	 	 	 	 	 	 	 	1	0	 	 	 	25/09/2016 16:10:20	3	1	1	1	1	.000445881159976125	.333333343267441	1	.444593071937561
