CHILDCODE	IMEVIDR5	RKEVR5	LOSS13R5	LOSS14R5	LOSS15R5	LOSS16R5	RESEVR51	RESEVR52	RESEVR53
20060	1	 	 	 	 	 	 	 	 
20060	2	 	 	 	 	 	 	 	 
20060	3	 	 	 	 	 	 	 	 
20061	1	34	2	 	 	 	18	8	88
20061	2	88	 	 	 	 	 	 	 
20061	3	88	 	 	 	 	 	 	 
20062	1	 	 	 	 	 	 	 	 
20062	2	 	 	 	 	 	 	 	 
20062	3	 	 	 	 	 	 	 	 
20064	1	34	 	 	4	 	18	88	 
20064	2	47	 	 	2	2	2	88	 
20064	3	88	 	 	 	 	 	 	 
20065	1	25	 	 	2	 	7	 	 
20065	2	88	 	 	 	 	 	 	 
20065	3	88	 	 	 	 	 	 	 
20066	1	47	 	 	3	3	1	2	88
20066	2	88	 	 	 	 	 	 	 
20066	3	88	 	 	 	 	 	 	 
20067	1	39	 	4	4	4	17	11	88
20067	2	47	 	 	 	3	2	1	88
20067	3	88	 	 	 	 	 	 	 
20068	1	 	 	 	 	 	 	 	 
20068	2	 	 	 	 	 	 	 	 
20068	3	 	 	 	 	 	 	 	 
20070	1	47	 	 	3	3	2	88	 
20070	2	88	 	 	 	 	 	 	 
20070	3	88	 	 	 	 	 	 	 
20071	1	47	 	 	3	3	17	88	 
20071	2	88	 	 	 	 	 	 	 
20071	3	88	 	 	 	 	 	 	 
20073	1	 	 	 	 	 	 	 	 
20073	2	 	 	 	 	 	 	 	 
20073	3	 	 	 	 	 	 	 	 
20074	1	 	 	 	 	 	 	 	 
20074	2	 	 	 	 	 	 	 	 
20074	3	 	 	 	 	 	 	 	 
20076	1	 	 	 	 	 	 	 	 
20076	2	 	 	 	 	 	 	 	 
20076	3	 	 	 	 	 	 	 	 
20077	1	16	 	 	2	 	9	88	 
20077	2	88	 	 	 	 	 	 	 
20077	3	88	 	 	 	 	 	 	 
20078	1	34	 	 	2	 	9	8	88
20078	2	88	 	 	 	 	 	 	 
20078	3	88	 	 	 	 	 	 	 
20079	1	45	 	3	 	 	17	88	 
20079	2	16	 	 	3	 	18	88	 
20079	3	47	 	 	 	3	2	1	88
20080	1	 	 	 	 	 	 	 	 
20080	2	 	 	 	 	 	 	 	 
20080	3	 	 	 	 	 	 	 	 
20081	1	 	 	 	 	 	 	 	 
20081	2	 	 	 	 	 	 	 	 
20081	3	 	 	 	 	 	 	 	 
20082	1	 	 	 	 	 	 	 	 
20082	2	 	 	 	 	 	 	 	 
20082	3	 	 	 	 	 	 	 	 
20083	1	47	 	 	2	2	2	18	88
20083	2	88	 	 	 	 	 	 	 
20083	3	88	 	 	 	 	 	 	 
20084	1	47	 	 	 	3	17	88	 
20084	2	88	 	 	 	 	 	 	 
20084	3	88	 	 	 	 	 	 	 
20085	1	38	 	4	3	3	25	10	1
20085	2	16	 	4	 	 	2	9	88
20085	3	47	 	3	3	3	2	1	88
20087	1	39	 	 	3	 	9	88	 
20087	2	47	 	 	2	2	2	1	9
20087	3	88	 	 	 	 	 	 	 
20088	1	36	 	4	 	 	2	15	9
20088	2	47	 	 	 	4	2	1	11
20088	3	88	 	 	 	 	 	 	 
20089	1	47	 	 	3	3	1	2	7
20089	2	88	 	 	 	 	 	 	 
20089	3	88	 	 	 	 	 	 	 
20090	1	37	3	3	3	3	17	88	 
20090	2	47	 	 	 	3	2	88	 
20090	3	88	 	 	 	 	 	 	 
20092	1	 	 	 	 	 	 	 	 
20092	2	 	 	 	 	 	 	 	 
20092	3	 	 	 	 	 	 	 	 
20093	1	47	 	2	2	4	2	88	 
20093	2	88	 	 	 	 	 	 	 
20093	3	88	 	 	 	 	 	 	 
20094	1	 	 	 	 	 	 	 	 
20094	2	 	 	 	 	 	 	 	 
20094	3	 	 	 	 	 	 	 	 
20095	1	16	 	 	 	3	18	2	88
20095	2	47	2	2	2	2	2	88	 
20095	3	88	 	 	 	 	 	 	 
20096	1	16	3	3	 	 	2	17	88
20096	2	47	2	2	 	 	2	88	 
20096	3	88	 	 	 	 	 	 	 
20097	1	 	 	 	 	 	 	 	 
20097	2	 	 	 	 	 	 	 	 
20097	3	 	 	 	 	 	 	 	 
20098	1	 	 	 	 	 	 	 	 
20098	2	 	 	 	 	 	 	 	 
20098	3	 	 	 	 	 	 	 	 
20099	1	 	 	 	 	 	 	 	 
20099	2	 	 	 	 	 	 	 	 
20099	3	 	 	 	 	 	 	 	 
20100	1	47	 	 	4	4	2	88	 
20100	2	88	 	 	 	 	 	 	 
20100	3	88	 	 	 	 	 	 	 
30001	1	47	 	 	2	2	2	88	 
30001	2	88	 	 	 	 	 	 	 
30001	3	88	 	 	 	 	 	 	 
30002	1	 	 	 	 	 	 	 	 
30002	2	 	 	 	 	 	 	 	 
30002	3	 	 	 	 	 	 	 	 
30003	1	 	 	 	 	 	 	 	 
30003	2	 	 	 	 	 	 	 	 
30003	3	 	 	 	 	 	 	 	 
30004	1	38	 	 	 	2	7	 	 
30004	2	16	 	 	 	2	7	 	 
30004	3	88	 	 	 	 	 	 	 
30005	1	47	 	 	 	3	9	2	7
30005	2	88	 	 	 	 	 	 	 
30005	3	88	 	 	 	 	 	 	 
30006	1	38	 	 	3	 	7	 	 
30006	2	88	 	 	 	 	 	 	 
30006	3	88	 	 	 	 	 	 	 
30007	1	37	 	 	3	 	22	88	 
30007	2	88	 	 	 	 	 	 	 
30007	3	88	 	 	 	 	 	 	 
30009	1	47	 	 	4	4	7	 	 
30009	2	36	 	3	 	 	7	 	 
30009	3	88	 	 	 	 	 	 	 
30010	1	45	 	2	 	 	7	 	 
30010	2	88	 	 	 	 	 	 	 
30010	3	88	 	 	 	 	 	 	 
30011	1	39	 	 	4	 	2	9	88
30011	2	47	 	 	 	3	2	1	9
30011	3	88	 	 	 	 	 	 	 
30013	1	 	 	 	 	 	 	 	 
30013	2	 	 	 	 	 	 	 	 
30013	3	 	 	 	 	 	 	 	 
30014	1	 	 	 	 	 	 	 	 
30014	2	 	 	 	 	 	 	 	 
30014	3	 	 	 	 	 	 	 	 
30015	1	36	 	 	3	 	8	88	 
30015	2	88	 	 	 	 	 	 	 
30015	3	88	 	 	 	 	 	 	 
30016	1	 	 	 	 	 	 	 	 
30016	2	 	 	 	 	 	 	 	 
30016	3	 	 	 	 	 	 	 	 
30018	1	39	 	4	 	 	6	16	88
30018	2	88	 	 	 	 	 	 	 
30018	3	88	 	 	 	 	 	 	 
30019	1	16	 	 	4	 	2	16	9
30019	2	47	 	 	 	3	2	16	88
30019	3	88	 	 	 	 	 	 	 
30020	1	37	 	 	2	 	9	88	 
30020	2	16	 	 	2	 	9	88	 
30020	3	88	 	 	 	 	 	 	 
30021	1	40	 	3	 	 	2	18	88
30021	2	88	 	 	 	 	 	 	 
30021	3	88	 	 	 	 	 	 	 
30022	1	47	 	 	3	 	2	1	7
30022	2	88	 	 	 	 	 	 	 
30022	3	88	 	 	 	 	 	 	 
30023	1	 	 	 	 	 	 	 	 
30023	2	 	 	 	 	 	 	 	 
30023	3	 	 	 	 	 	 	 	 
30024	1	39	 	 	4	 	17	7	 
30024	2	38	 	 	2	 	17	7	 
30024	3	47	 	 	3	2	2	7	 
30025	1	 	 	 	 	 	 	 	 
30025	2	 	 	 	 	 	 	 	 
30025	3	 	 	 	 	 	 	 	 
30026	1	16	 	 	4	 	18	2	9
30026	2	38	 	 	3	 	9	2	88
30026	3	88	 	 	 	 	 	 	 
30027	1	39	4	 	 	 	8	17	88
30027	2	47	 	 	3	 	2	88	 
30027	3	88	 	 	 	 	 	 	 
30028	1	 	 	 	 	 	 	 	 
30028	2	 	 	 	 	 	 	 	 
30028	3	 	 	 	 	 	 	 	 
30029	1	47	 	2	2	2	2	7	 
30029	2	88	 	 	 	 	 	 	 
30029	3	88	 	 	 	 	 	 	 
30032	1	37	 	 	 	4	17	88	 
30032	2	47	 	4	4	4	1	2	17
30032	3	88	 	 	 	 	 	 	 
30033	1	 	 	 	 	 	 	 	 
30033	2	 	 	 	 	 	 	 	 
30033	3	 	 	 	 	 	 	 	 
30034	1	36	 	 	3	3	2	88	 
30034	2	88	 	 	 	 	 	 	 
30034	3	88	 	 	 	 	 	 	 
30035	1	 	 	 	 	 	 	 	 
30035	2	 	 	 	 	 	 	 	 
30035	3	 	 	 	 	 	 	 	 
30036	1	47	 	 	 	2	7	 	 
30036	2	88	 	 	 	 	 	 	 
30036	3	88	 	 	 	 	 	 	 
30037	1	47	 	 	 	3	17	88	 
30037	2	88	 	 	 	 	 	 	 
30037	3	88	 	 	 	 	 	 	 
30038	1	 	 	 	 	 	 	 	 
30038	2	 	 	 	 	 	 	 	 
