CHILDCODE	CROPIDR4	CROPR5	QNTHRVR5	LUHARVR5	VLPRDR5	VLSLDR5	CRPCSTR5
50045	3	8	4	3	3200	0	1500
50045	4	36	3	3	1500	0	400
50045	5	130	4	3	1840	0	2100
50047	1	125	3	2	6480	0	0
50048	1	130	250	1	2125	0	0
50048	2	79	100	1	1700	200	0
50048	3	8	100	2	1190	0	0
50048	4	125	18	1	1600	1500	0
50048	5	15	100	1	1360	200	0
50049	1	75	6	2	4950	0	1000
50051	1	130	8	3	1536	0	1670
50051	2	76	2	3	1440	0	1106
50051	3	64	5	3	1800	0	40
50051	4	125	4	3	3600	0	1100
50051	5	5	5	3	1980	0	500
50051	6	44	.5	3	198	0	13
50051	7	36	10	26	700	630	0
50052	1	75	2	2	1800	0	850
50052	2	5	3	2	2400	0	850
50053	1	75	10	3	4000	400	500
50058	1	75	4	3	1440	0	463
50058	2	64	4	3	1800	0	538
50058	3	8	3	3	1890	0	568
50059	1	5	5	3	1800	360	200
50059	2	35	6	3	2400	300	-77
50068	1	64	15	3	5400	720	275
50068	2	8	5	3	3150	0	1180
50068	3	75	10	3	4500	0	870
50068	4	125	3	3	720	0	525
50073	1	64	14	3	6552	0	140
50073	2	8	5	3	3150	0	1636
50073	3	75	4	3	2304	0	1112
50073	4	5	6	3	2916	0	460
50073	5	125	1	3	900	0	165
50076	1	64	2	2	1500	0	300
50076	2	75	2.5	2	1750	0	400
50077	1	75	2	2	1700	0	800
50078	1	130	20	3	7200	360	1300
50079	1	130	4	2	3000	0	675
50079	2	125	1.5	2	1680	0	675
50079	3	76	1.5	2	1680	0	675
50079	4	64	6	2	3600	0	675
50081	1	130	21	3	8400	800	400
50082	1	75	4	2	2816	0	500
50082	2	64	2.5	2	1440	500	320
50082	3	8	2	2	2800	0	420
50082	4	35	1.5	2	1920	0	300
50082	5	44	16	52	288	0	20
50083	1	130	4	3	2000	0	500
50083	2	8	2	3	1720	0	450
50083	3	15	1	3	1000	0	500
50084	1	76	1	2	1050	0	550
50084	2	64	2	2	1440	0	200
50085	1	130	20	3	7200	360	1000
50086	1	5	6	3	2160	360	600
50086	2	130	21	3	8400	400	1000
50087	1	19	1	2	1200	0	250
50087	2	5	2.5	2	1850	0	300
50087	3	76	1.5	3	1800	0	400
50087	4	64	1.5	2	900	0	250
50089	1	130	10	2	6400	0	300
50090	1	5	12	3	6000	0	1000
50090	2	64	12	3	4800	0	40
50090	3	75	6	3	2700	0	737
50090	4	35	6	3	6000	0	1500
50090	5	8	4	3	2800	0	300
50091	1	5	5	2	3750	0	700
50091	2	125	3	2	2700	0	650
50091	3	96	5	2	6000	0	700
50092	1	76	1.5	2	1800	0	400
50092	2	125	.5	2	600	0	400
50092	3	130	2	2	1200	0	250
50093	1	8	250	1	3060	0	380
50093	2	130	500	1	4140	0	0
50093	3	42	150	1	4590	3510	0
50093	4	5	400	1	2448	306	0
50093	5	43	24	1	1920	0	0
50094	1	8	3	2	3780	0	160
50094	2	130	350	1	2975	250	0
50094	3	42	15	1	400	50	0
50094	4	125	100	1	1700	0	0
50095	1	75	5	2	3400	1360	350
50095	2	8	150	1	1785	175	325
50095	3	125	30	1	400	0	0
50096	1	125	6	3	3600	600	450
50096	2	130	6	3	3000	500	0
50097	1	130	6	3	2100	350	0
50097	2	75	6	3	2400	400	500
50097	3	76	5	3	3230	300	450
50098	1	5	5	2	3500	0	700
50099	1	8	5	3	3150	0	450
50099	2	130	8	3	2592	250	250
50100	1	125	6	3	5400	900	1500
50100	2	130	6	3	2400	0	500
50100	3	8	5	3	3400	136	280
50100	4	44	1	3	600	0	30
60002	1	76	3	2	4500	0	500
60002	2	20	3	2	2700	0	500
60002	3	125	1	2	1500	0	0
60002	4	15	1	2	1600	0	0
60002	5	47	60	1	900	750	0
60002	6	123	50	1	500	0	100
60002	7	9	20	1	1400	700	100
60002	8	44	1	2	600	0	0
60002	9	75	160	1	1280	0	400
60003	1	7	36	1	4320	3000	200
60003	2	15	1	2	1700	0	0
60003	3	76	1.5	2	2550	1700	320
60004	1	76	1	2	1200	0	200
60004	2	20	2	2	1600	0	200
60004	3	44	4	2	2000	0	300
60004	4	19	2	2	1600	500	0
60004	5	47	1	2	1600	1600	120
60005	1	8	2	2	2600	0	200
60005	2	20	1	2	750	0	200
60005	3	7	150	1	6000	1500	200
60005	4	44	1.5	2	800	0	0
60007	1	20	60	1	600	0	0
60007	2	44	1	2	600	0	0
60007	3	125	25	1	325	0	0
60007	4	55	4	2	1000	0	0
60007	5	7	1	2	5000	0	0
60008	1	20	1	2	800	0	150
60008	2	44	2	2	1000	0	0
60008	3	15	4	2	5200	2100	0
60008	4	9	150	1	12000	8000	400
60008	5	50	10	2	4000	3700	350
60009	1	15	210	1	7350	1050	300
60009	2	20	140	1	1400	0	400
60009	3	76	105	1	1575	0	400
60009	4	44	70	1	350	0	100
60009	5	9	45	1	4500	200	200
60009	6	19	70	1	1120	0	150
60009	7	123	53	1	530	0	180
60009	8	55	250	1	450	150	600
60009	9	31	10	55	1000	600	0
60010	1	8	6	69	3000	0	700
60010	2	20	2	69	800	0	200
60010	3	15	6	69	3000	500	0
60010	4	123	4	69	2400	1100	0
60010	5	50	12	2	12000	12000	700
60011	1	8	150	1	2250	0	0
60011	2	79	30	1	210	0	0
60011	3	44	2	2	1800	0	0
60011	4	55	3	2	600	0	0
60011	5	50	75	1	600	600	0
60012	1	65	6	2	3000	1000	200
60012	2	20	3	2	3000	0	150
60012	3	44	3	2	2400	0	150
60012	4	9	1.5	2	1500	0	100
60012	5	50	1	2	250	250	200
60013	1	8	1	2	1300	0	200
60013	2	20	1	2	800	0	150
60013	3	44	12	2	1800	0	100
60013	4	55	2	2	250	0	0
60013	5	19	3.5	2	5200	0	0
60014	1	20	2	2	1600	0	300
60014	2	76	1	2	1300	0	250
60014	3	44	3	2	1500	0	300
60014	4	50	2	2	2000	1000	200
60016	1	8	150	1	1800	0	800
60016	2	20	60	1	480	0	800
60016	3	123	80	1	1280	0	200
60016	4	26	2	2	4000	2000	1200
60016	5	44	2	2	1400	0	0
60016	6	31	6	55	600	0	0
60016	7	15	80	1	1220	0	0
60016	8	50	0	88	0	0	7000
60017	1	79	20	9	5000	800	0
60017	2	20	13	69	5590	450	0
60017	3	125	7	69	4900	2800	0
60017	4	8	8	69	2800	350	580
60017	5	44	2	69	360	0	0
60017	6	55	2	2	540	0	80
60017	7	65	7	1	1260	0	56
60017	8	21	30	56	700	0	0
60018	1	44	3	2	1500	0	200
60018	2	20	3	2	2400	200	300
60018	3	76	2	2	2400	1000	250
60018	4	15	2	2	2600	800	0
60018	5	55	4	2	800	0	200
60019	1	8	2	2	2400	600	200
60019	2	20	2	2	1600	160	200
60019	3	15	1	2	1200	600	40
60019	4	26	1	2	2000	1000	500
60019	5	79	1	2	700	0	0
60019	6	44	1	2	600	0	100
60019	7	9	50	1	4000	800	100
60020	1	125	40	1	400	0	200
60020	2	44	80	1	480	0	300
60020	3	8	260	1	3120	960	300
60020	4	20	400	1	3200	0	300
60020	5	15	240	1	2880	920	0
60020	6	9	30	1	2400	1200	300
60020	7	26	100	1	3000	780	0
60020	8	50	667	1	4002	4002	3300
60020	9	123	80	1	1200	600	400
60020	10	31	10	55	1000	0	0
60021	1	20	3	2	2500	0	300
60021	2	76	1	2	1200	0	250
60021	3	47	1	2	1700	1700	0
60021	4	15	1	2	1250	600	0
60022	1	79	4	2	2800	0	250
60022	2	8	3	2	3300	0	500
60022	3	47	1	2	1600	1600	0
60022	4	44	3	2	1500	0	700
60022	5	20	80	2	560	0	100
60022	6	50	2	2	400	400	1900
60022	7	55	5	2	1000	0	500
60023	1	20	2	2	1600	0	0
60023	2	44	3	2	1500	0	0
60023	3	55	2	2	300	0	0
60024	1	76	1	2	1200	0	200
60024	2	20	3	2	2400	200	300
60024	3	44	4	2	2000	300	350
60024	4	15	2	2	2000	500	150
60024	5	123	1	2	1000	400	200
60026	1	8	2	3	2500	0	0
60026	2	20	2	2	1600	0	0
60026	3	15	50	1	750	0	0
60026	4	44	4	2	3000	0	0
60026	5	50	12	2	14000	0	5000
60027	1	20	2	2	1500	0	150
60027	2	9	40	1	2400	2000	100
60027	3	76	1	2	1200	0	200
60027	4	47	30	1	600	600	0
60028	1	125	1.5	2	2250	0	0
60028	2	44	6	2	3600	0	110
60028	3	8	1	2	1500	0	50
60029	1	 	 	 	 	 	 
60030	1	20	2.5	2	1750	0	240
60030	2	8	2	2	2400	0	240
60030	3	15	1	2	1700	0	0
60030	4	53	2.5	2	3750	0	240
60030	5	44	1	2	500	0	240
60030	6	65	20	1	2000	0	240
60031	1	20	7	69	1155	0	560
60031	2	8	4	69	2100	700	560
60031	3	50	5	69	1500	1000	0
60031	4	65	1	2	500	0	100
60031	5	44	2	1	1200	0	200
60032	1	15	2	2	3200	0	0
60032	2	8	50	1	600	0	400
60032	3	76	2	2	2800	0	400
60032	4	20	3	2	3000	0	400
60032	5	44	2	2	1400	0	0
60032	6	65	10	1	200	0	0
60032	7	125	2	2	2800	1400	0
60033	1	8	120	1	1560	0	200
60033	2	47	80	1	1120	980	40
60033	3	20	160	1	1280	0	50
60033	4	79	160	1	1280	0	30
60033	5	9	50	1	2500	0	50
60033	6	125	80	1	1120	280	100
60033	7	123	280	1	4480	1280	150
60033	8	15	80	1	1200	0	90
60033	9	31	20	55	200	0	0
60034	1	76	3.5	2	5400	0	350
60034	2	15	1	2	1400	0	0
60034	3	7	2.5	2	12500	10000	400
60034	4	20	4	2	2800	0	300
60035	1	20	2	2	1600	0	700
60035	2	8	1	2	1400	0	500
60035	3	15	1.5	2	1900	0	0
60035	4	125	1	2	1600	0	0
60035	5	44	3	2	2400	0	400
60037	1	50	6	2	2400	2000	260
60037	2	44	2	2	900	0	260
60037	3	65	75	1	3000	0	65
60037	4	123	2	69	560	0	160
60037	5	8	2	69	630	0	325
60037	6	20	2	69	460	0	130
60038	1	20	5	69	1750	0	350
60038	2	44	3	2	1500	0	350
60038	3	8	5	69	3500	0	750
60038	4	125	2	69	1600	800	0
60038	5	47	30	1	450	450	0
60038	6	55	2	2	800	200	200
60038	7	50	4	2	1600	1600	3350
60038	8	65	2	2	6000	3000	500
60038	9	15	6	69	4200	2800	225
60039	1	76	2	2	2400	200	350
60039	2	20	4	2	2800	0	300
60039	3	44	3	2	1500	0	400
60039	4	50	2	2	1600	1500	200
60039	5	15	1	2	700	300	0
60039	6	7	1	2	8000	5000	300
60040	1	8	20	1	240	0	0
60040	2	125	90	1	1350	1350	0
60040	3	44	50	1	300	0	0
60041	1	76	5	2	6000	0	0
60041	2	44	2	2	1000	0	0
60042	1	44	4	2	2400	0	0
60042	2	125	35	1	525	0	0
60042	3	76	175	1	2625	0	600
60042	4	20	350	1	4200	0	600
60042	5	55	300	1	600	0	0
60042	6	47	90	1	1260	1260	0
60043	1	20	3	2	1360	0	225
60043	2	125	2	2	2400	1200	0
60043	3	76	1	2	1300	0	640
60043	4	55	7	2	2660	600	135
60043	5	5	1	2	600	0	0
60045	1	125	3	2	4500	3000	0
60045	2	8	3	2	3900	0	350
60045	3	20	4	2	3000	0	350
60045	4	44	2	3	1200	0	0
60045	5	7	1	2	4000	500	0
60046	1	8	180	1	2160	0	400
60046	2	47	60	1	840	840	0
60046	3	19	30	1	450	0	0
60046	4	125	160	1	2400	0	0
60046	5	44	320	1	1600	0	210
60046	6	9	100	1	10000	5000	260
60046	7	55	100	1	200	0	350
60046	8	20	160	1	1280	0	0
60046	9	50	1075	1	4300	4300	3500
60047	1	20	2	2	1400	0	200
60047	2	76	1	2	1200	0	300
60047	3	44	3	2	1500	0	350
60048	1	20	1	2	800	0	0
60049	1	76	5	2	6000	400	400
60049	2	44	3	2	1500	0	300
60049	3	17	10	1	800	200	0
60049	4	27	15	1	300	100	0
60050	1	8	2	2	2400	0	0
60050	2	20	1.79999995231628	2	1800	0	0
60050	3	50	1.5	2	1500	1500	300
60050	4	44	2.5	2	1500	0	30
60051	1	20	3.5	2	3200	0	120
60051	2	79	6	2	4200	0	0
60051	3	55	3	2	300	0	400
60054	1	76	1.5	2	2250	0	300
60054	2	125	2.79999995231628	2	4480	1280	0
60054	3	47	50	1	800	400	0
60054	4	9	50	1	5000	3000	100
60054	5	44	1.5	2	900	0	0
60054	6	55	5	2	1000	400	150
60054	7	20	120	1	1200	0	150
60054	8	123	80	1	800	0	150
60054	9	26	25	1	625	0	500
60054	10	50	0	88	0	0	4625
60055	1	8	2.5	2	2500	1000	600
60055	2	15	1.5	2	1500	400	0
60055	3	123	3	69	540	200	100
60055	4	20	3	69	450	0	0
60056	1	8	4	2	4000	0	220
60056	2	7	40	1	1600	300	0
60056	3	20	3	2	2400	0	200
60056	4	44	4	2	2000	0	300
60056	5	55	5	2	1250	250	0
60056	6	26	4	2	12000	8000	500
60056	7	47	150	1	3100	2900	0
60059	1	76	4	2	4800	400	500
60059	2	20	2	2	1600	0	200
60059	3	15	.5	2	500	0	0
60059	4	50	2	1	700	500	150
60059	5	9	35	1	2800	2600	200
60060	1	15	8	2	12000	3000	210
60060	2	76	3	2	4500	750	600
60060	3	20	3	2	2400	0	400
60060	4	9	160	1	16000	4500	200
60060	5	44	2	2	1200	0	100
60060	6	125	1.5	2	2400	1600	0
60060	7	5	1.5	2	1050	0	300
60060	8	55	4	2	800	0	200
60060	9	50	667	1	2001	2001	750
60060	10	26	80	1	2000	2000	750
60060	11	123	1.5	2	2400	1600	200
60060	12	47	2	2	2800	1400	0
60060	13	68	1.29999995231628	2	1040	800	0
60060	14	31	60	55	3000	1500	0
60061	1	79	4	2	1600	0	300
60061	2	5	3	2	600	0	0
60061	3	55	4	2	800	200	200
60061	4	8	2	2	2000	0	200
60061	5	20	1	2	500	0	200
60061	6	27	2	2	200	200	0
60061	7	21	4000	56	10000	1700	0
60062	1	8	2.20000004768372	2	2640	0	500
60062	2	20	50	1	400	0	800
60062	3	15	1	2	1500	600	500
60062	4	44	3	2	1800	0	656
60062	5	123	1	2	1500	0	700
60062	6	9	100	1	7000	350	200
60062	7	125	50	1	650	0	200
60062	8	53	1	2	1200	0	450
60062	9	50	500	1	2000	2000	2540
60062	10	26	2	2	5000	0	570
60062	11	31	6	55	600	0	0
60063	1	20	2	2	1600	0	300
60063	2	76	2	2	2400	300	350
60063	3	44	1	2	500	0	200
60063	4	50	4	2	2000	1800	200
60064	1	8	2	2	2500	0	700
60064	2	125	4	2	4400	1300	0
60064	3	47	2	2	2800	2800	0
60064	4	26	12	2	30000	14000	1200
60065	1	76	2	2	2800	700	250
60065	2	8	1	2	1200	0	200
60065	3	44	50	1	300	0	0
60065	4	9	10	1	700	0	50
60065	5	55	7	2	1400	1000	600
60065	6	125	50	1	700	0	300
60065	7	20	2	2	1600	0	150
60065	8	26	1	2	2500	0	270
60065	9	53	1.5	2	1500	0	0
60065	10	123	25	1	375	0	0
60066	1	79	2	2	1200	0	0
60066	2	20	1.5	2	1050	0	0
60066	3	47	80	2	1160	1000	0
60066	4	15	30	1	325	200	0
60066	5	8	1	2	1200	0	400
60066	6	55	3	2	270	90	400
60066	7	17	2	1	160	0	0
60066	8	96	80	56	400	150	0
60067	1	20	2	2	1600	0	200
60067	2	76	1	2	1200	200	250
60067	3	55	3	2	600	0	200
60067	4	44	3	2	1500	0	250
60067	5	125	1	2	1000	300	0
60068	1	20	4	2	2800	0	800
60068	2	8	4	2	4800	0	800
60068	3	79	4.5	2	2700	0	0
60068	4	47	80	1	1200	1200	0
60068	5	55	2.5	2	450	180	250
60071	1	44	3	2	1800	0	100
60071	2	125	7.5	2	9000	2000	0
60071	3	8	3	2	3600	0	900
60071	4	20	4	2	3200	0	200
60071	5	76	2	2	2800	0	400
60071	6	26	200	1	4000	3000	1400
60071	7	55	5	2	1000	1000	600
60072	1	8	80	1	960	0	400
60072	2	79	3	2	2100	0	0
60072	3	20	3	2	3000	0	0
60072	4	19	50	1	750	0	0
60072	5	44	1	2	700	0	0
60072	6	5	90	1	630	0	0
60072	7	31	10	55	500	0	0
60073	1	20	1	2	800	0	0
60073	2	44	1	2	500	0	0
60074	1	8	3	2	3600	0	300
60074	2	20	4	2	3000	0	275
60074	3	125	1	2	1600	1000	0
60074	4	44	8	2	6000	4000	250
60074	5	26	2.5	2	11000	8000	500
60074	6	55	8	2	2000	1000	100
60075	1	20	5	2	4000	0	300
60075	2	76	4	2	4800	0	350
60075	3	64	4	2	3200	0	0
60075	4	44	6	2	3000	0	400
60076	1	8	6	69	4800	0	300
60076	2	20	6	69	950	0	0
60076	3	21	3000	56	3000	3000	0
60077	1	76	1.5	2	2250	0	350
60077	2	20	3.5	2	2800	0	0
60077	3	55	9	2	1800	1600	0
60077	4	44	8	2	4000	0	200
60078	1	15	1	2	1000	0	0
60078	2	20	1	2	600	0	0
60080	1	76	150	1	2250	0	600
60080	2	19	90	1	1350	900	300
60080	3	9	20	1	2400	0	63
60080	4	44	50	1	250	0	0
60080	5	31	10	55	100	0	0
60081	1	20	2	2	1600	200	300
60081	2	76	1	2	1200	0	250
60081	3	64	5	2	4000	300	0
60081	4	44	2	2	1600	200	200
60082	1	8	1	2	1400	0	0
60082	2	20	1.5	2	1200	0	0
60082	3	76	1	2	1500	0	0
60082	4	55	2	2	500	0	0
60082	5	7	2	1	150	0	0
60082	6	44	2	2	1600	0	0
60083	1	76	4	2	4800	200	300
60083	2	44	5	2	2500	500	450
60083	3	64	7	2	5000	500	0
60084	1	20	4	69	800	0	0
60084	2	79	6	69	900	0	0
60084	3	8	4	69	800	0	500
60084	4	65	1	2	1000	0	52
60084	5	55	4	69	200	0	100
60085	1	76	5	2	6000	1200	400
60085	2	20	4	2	2800	0	300
60085	3	64	1	2	800	0	0
60085	4	44	2	2	1000	0	350
60085	5	55	5	2	1000	200	250
60086	1	8	60	1	720	0	0
60086	2	20	180	1	1440	0	0
60086	3	44	50	1	250	0	24
60086	4	55	150	1	300	0	250
60087	1	76	2	1	3000	0	623
60087	2	20	2	2	1700	0	0
60087	3	55	3	2	1430	300	320
60087	4	79	1	2	900	0	0
60087	5	65	2	2	10000	400	220
60087	6	45	.5	2	360	0	100
60087	7	125	1	2	2000	0	0
60088	1	79	20	69	800	400	160
60088	2	20	10	69	400	200	80
60088	3	8	3	69	1320	440	0
60088	4	44	1.5	2	-77	0	40
60089	1	20	3	2	2500	200	0
60089	2	44	3	2	1500	0	0
60089	3	50	50	2	17500	17000	1200
60089	4	96	10	2	7000	800	1200
60091	1	20	4	2	2400	0	0
60091	2	76	3	2	3600	0	600
60091	3	125	2	2	3000	1000	0
60091	4	44	60	1	400	0	0
60091	5	55	3.5	2	700	0	0
60091	6	7	25	1	1500	0	0
60091	7	79	1	2	500	0	0
60092	1	8	3.20000004768372	2	3840	480	200
60092	2	55	8	2	1440	180	650
60092	3	44	1	2	600	0	60
60093	1	76	2	2	3400	0	650
60093	2	125	1	2	1050	0	0
60093	3	20	2	2	1400	0	100
60094	1	47	1	2	1000	1000	0
60094	2	76	1	2	1200	0	300
60094	3	79	1	2	800	0	0
60094	4	16	50	1	400	0	0
60094	5	55	3	2	600	0	404
60096	1	47	90	1	1260	1260	100
60096	2	44	200	1	1000	0	430
60096	3	8	160	1	1920	960	0
60096	4	79	120	1	840	0	0
60096	5	55	13	41	1300	500	800
60096	6	125	0	88	0	0	96
60096	7	50	0	88	0	0	900
60097	1	76	3	2	3300	0	300
60097	2	20	4	2	3000	100	250
60097	3	55	10	2	2400	200	250
60098	1	76	7	2	8400	0	400
60098	2	20	8	2	6500	0	350
60098	3	44	2	2	1000	0	250
60098	4	64	4	2	2000	300	0
60098	5	50	.5	2	500	350	200
60100	1	18	25	2	20500	20500	2000
70001	1	5	5	9	300	1500	400
70001	2	130	1	2	700	0	200
70001	3	55	10	2	3000	400	100
70001	4	125	1	2	1000	0	0
70001	5	43	25	1	500	0	0
70002	1	55	7.5	2	1500	0	320
70002	2	75	5	2	3500	700	400
70002	3	130	5	2	3000	900	1200
70002	4	125	2	2	2800	0	0
70002	5	5	5	2	3000	0	400
70003	1	5	3.5	2	2100	0	32
70003	2	75	2	2	1600	0	0
70003	3	55	2	2	400	0	0
70003	4	31	5	55	500	0	0
70003	5	21	60	56	3600	0	0
70004	1	5	9	2	5400	1200	335
70004	2	75	6	3	4200	2100	1075
70004	3	125	3	2	4200	1400	0
70004	4	55	10	2	1800	900	320
70004	5	96	74	95	148	50	6
70004	6	31	20	55	2000	0	300
70005	1	5	1.5	2	900	0	0
70005	2	55	7	2	4200	1500	0
70005	3	130	1.5	2	1200	0	0
70005	4	43	50	1	500	0	0
70006	1	130	5	9	1500	0	0
70006	2	5	4	9	800	0	0
70006	3	55	10	9	1500	600	0
70006	4	125	3	9	1500	0	0
70007	1	75	15	2	12000	0	1000
70007	2	43	50	1	700	0	0
70007	3	55	15	2	3000	0	400
70008	1	75	3.5	2	2800	0	300
70008	2	5	2.5	2	1750	1400	650
70008	3	125	1	2	1000	500	400
70008	4	43	50	1	800	0	0
70008	5	55	15	2	3000	500	820
70008	6	21	3	56	300	0	0
70009	1	5	3	2	2400	0	0
70009	2	75	3.5	2	2800	0	700
70009	3	55	10	2	4000	0	0
70010	1	5	2	2	1600	0	0
70010	2	55	6	2	1300	0	420
70011	1	43	.5	2	600	0	0
70012	1	5	4	9	360	0	500
70012	2	55	17	9	1700	300	500
70012	3	43	2	9	2000	800	0
70012	4	130	5	9	2000	0	0
70013	1	5	3	2	2500	300	0
70013	2	75	2	2	1700	0	0
70013	3	43	1	2	1250	1000	0
70013	4	55	20	2	4800	2000	600
70014	1	55	11.5	2	5300	3300	2100
70014	2	75	3	2	2100	0	0
70014	3	5	2	2	1200	0	0
70014	4	43	50	1	800	0	0
70014	5	125	50	1	600	0	700
70014	6	19	1	2	1200	0	0
70015	1	130	4	2	4800	0	120
70015	2	5	1	2	1600	0	0
70015	3	55	15	9	1500	0	1400
70015	4	125	1	9	800	0	0
70015	5	43	25	1	750	0	0
70016	1	125	2.5	2	2500	500	0
70016	2	43	50	1	600	300	0
70016	3	75	6	2	3000	1000	0
70016	4	55	9	3	1800	0	0
70016	5	5	2	2	1200	0	0
70016	6	42	25	1	400	0	0
70016	7	130	2.5	3	1250	0	0
70016	8	31	12	55	1200	0	0
70017	1	130	4	2	2400	0	300
70017	2	75	4	2	3200	200	200
70017	3	5	2	2	1200	0	150
70018	1	130	2	2	1400	0	0
70018	2	5	3	2	2400	400	250
70018	3	75	3	2	3000	0	200
70018	4	55	10	2	2000	700	0
70019	1	75	6	2	3600	450	35
70019	2	5	1.5	2	750	0	0
70019	3	55	10	2	1000	600	0
70019	4	43	10	1	160	64	0
70019	5	31	3	55	300	0	0
70020	1	75	3	2	2700	0	200
70020	2	5	2	2	1400	0	0
70020	3	43	1	2	1200	0	0
70020	4	55	10	2	2000	0	0
70021	1	5	12	9	4200	0	1155
70021	2	55	8	9	400	200	215
70021	3	43	25	1	250	0	0
70022	1	55	25	2	5500	2000	0
70022	2	5	6	2	3600	0	0
70022	3	75	3	2	2100	0	0
70022	4	43	75	1	750	0	0
70023	1	75	2	2	2000	0	0
70023	2	5	1	2	1600	0	0
70023	3	125	2	2	2000	0	500
70023	4	55	4	2	640	0	0
70023	5	130	1	2	800	400	0
70024	1	130	50	1	400	0	0
70024	2	5	2	2	1700	0	0
70024	3	55	150	1	360	0	0
70025	1	55	15	2	3000	0	665
70025	2	75	1.5	2	1200	0	665
70025	3	125	1	2	1000	0	0
70025	4	5	1	2	700	0	545
70025	5	43	50	2	800	0	0
70025	6	26	10	1	250	0	0
70026	1	5	16	9	4800	0	0
70026	2	130	9	9	3600	0	0
70026	3	55	10	9	900	0	0
70026	4	124	1	9	600	0	400
70027	1	130	1.5	2	2100	0	560
70027	2	64	1	2	800	0	0
70027	3	8	.5	2	750	0	0
70030	1	130	10	2	6000	0	1500
70030	2	75	7	2	5000	0	500
70031	1	130	5	9	1500	0	200
70031	2	55	10	9	1500	500	0
70031	3	43	1	9	500	300	0
70031	4	5	3	9	600	0	0
70032	1	130	3	2	2000	0	50
70032	2	55	6	2	1200	0	0
70033	1	5	2	2	1200	0	300
70033	2	75	5	9	2500	0	0
70033	3	55	8	9	1600	0	600
70033	4	130	3	9	900	0	200
70033	5	43	2	22	250	0	0
70034	1	75	12	2	8400	1050	1800
70034	2	55	7.5	2	900	480	325
70034	3	43	1	2	1800	900	0
70034	4	130	2	2	1400	350	0
70036	1	130	2	2	1400	0	300
70036	2	5	3	2	1500	0	250
