CHILDCODE	SRMNIDR5	RMTR5	AMNTCAR5	AMNTKIR5
10021	6	Y	0	1400
10021	7	N	 	 
10021	8	Y	0	5000
10021	9	N	 	 
10021	10	N	 	 
10021	11	N	 	 
10021	12	N	 	 
10021	13	N	 	 
10022	1	N	 	 
10022	2	N	 	 
10022	3	N	 	 
10022	4	N	 	 
10022	5	N	 	 
10022	6	N	 	 
10022	7	N	 	 
10022	8	Y	5000	12000
10022	9	N	 	 
10022	10	N	 	 
10022	11	N	 	 
10022	12	N	 	 
10022	13	N	 	 
10023	1	N	 	 
10023	2	N	 	 
10023	3	N	 	 
10023	4	N	 	 
10023	5	N	 	 
10023	6	N	 	 
10023	7	N	 	 
10023	8	N	 	 
10023	9	N	 	 
10023	10	N	 	 
10023	11	N	 	 
10023	12	N	 	 
10023	13	N	 	 
10024	1	N	 	 
10024	2	N	 	 
10024	3	N	 	 
10024	4	N	 	 
10024	5	N	 	 
10024	6	N	 	 
10024	7	N	 	 
10024	8	N	 	 
10024	9	N	 	 
10024	10	N	 	 
10024	11	N	 	 
10024	12	N	 	 
10024	13	N	 	 
10025	1	N	 	 
10025	2	N	 	 
10025	3	N	 	 
10025	4	N	 	 
10025	5	N	 	 
10025	6	N	 	 
10025	7	N	 	 
10025	8	Y	1000	0
10025	9	N	 	 
10025	10	N	 	 
10025	11	N	 	 
10025	12	N	 	 
10025	13	N	 	 
10026	1	N	 	 
10026	2	N	 	 
10026	3	N	 	 
10026	4	N	 	 
10026	5	N	 	 
10026	6	N	 	 
10026	7	N	 	 
10026	8	N	 	 
10026	9	N	 	 
10026	10	N	 	 
10026	11	N	 	 
10026	12	N	 	 
10026	13	N	 	 
10028	1	N	 	 
10028	2	N	 	 
10028	3	N	 	 
10028	4	N	 	 
10028	5	N	 	 
10028	6	N	 	 
10028	7	N	 	 
10028	8	N	 	 
10028	9	N	 	 
10028	10	N	 	 
10028	11	N	 	 
10028	12	N	 	 
10028	13	N	 	 
10029	1	N	 	 
10029	2	N	 	 
10029	3	N	 	 
10029	4	N	 	 
10029	5	N	 	 
10029	6	N	 	 
10029	7	N	 	 
10029	8	N	 	 
10029	9	N	 	 
10029	10	N	 	 
10029	11	N	 	 
10029	12	N	 	 
10029	13	Y	10000	5000
10030	1	N	 	 
10030	2	N	 	 
10030	3	N	 	 
10030	4	N	 	 
10030	5	N	 	 
10030	6	N	 	 
10030	7	N	 	 
10030	8	N	 	 
10030	9	N	 	 
10030	10	N	 	 
10030	11	N	 	 
10030	12	N	 	 
10030	13	N	 	 
10031	1	N	 	 
10031	2	N	 	 
10031	3	N	 	 
10031	4	N	 	 
10031	5	N	 	 
10031	6	N	 	 
10031	7	N	 	 
10031	8	Y	600	500
10031	9	N	 	 
10031	10	N	 	 
10031	11	N	 	 
10031	12	N	 	 
10031	13	N	 	 
10032	1	N	 	 
10032	2	N	 	 
10032	3	N	 	 
10032	4	N	 	 
10032	5	N	 	 
10032	6	N	 	 
10032	7	N	 	 
10032	8	N	 	 
10032	9	N	 	 
10032	10	N	 	 
10032	11	N	 	 
10032	12	N	 	 
10032	13	N	 	 
10033	1	N	 	 
10033	2	N	 	 
10033	3	N	 	 
10033	4	N	 	 
10033	5	N	 	 
10033	6	N	 	 
10033	7	N	 	 
10033	8	N	 	 
10033	9	N	 	 
10033	10	N	 	 
10033	11	N	 	 
10033	12	N	 	 
10033	13	Y	30000	15000
10035	1	N	 	 
10035	2	N	 	 
10035	3	N	 	 
10035	4	N	 	 
10035	5	N	 	 
10035	6	N	 	 
10035	7	N	 	 
10035	8	N	 	 
10035	9	N	 	 
10035	10	N	 	 
10035	11	N	 	 
10035	12	N	 	 
10035	13	N	 	 
10036	1	N	 	 
10036	2	N	 	 
10036	3	N	 	 
10036	4	N	 	 
10036	5	N	 	 
10036	6	N	 	 
10036	7	N	 	 
10036	8	N	 	 
10036	9	N	 	 
10036	10	N	 	 
10036	11	N	 	 
10036	12	N	 	 
10036	13	N	 	 
10037	1	Y	3020	0
10037	2	N	 	 
10037	3	N	 	 
10037	4	N	 	 
10037	5	N	 	 
10037	6	N	 	 
10037	7	N	 	 
10037	8	N	 	 
10037	9	N	 	 
10037	10	N	 	 
10037	11	N	 	 
10037	12	N	 	 
10037	13	Y	6000	3000
10038	1	N	 	 
10038	2	N	 	 
10038	3	N	 	 
10038	4	N	 	 
10038	5	N	 	 
10038	6	N	 	 
10038	7	N	 	 
10038	8	N	 	 
10038	9	N	 	 
10038	10	N	 	 
10038	11	N	 	 
10038	12	N	 	 
10038	13	N	 	 
10040	1	N	 	 
10040	2	N	 	 
10040	3	N	 	 
10040	4	N	 	 
10040	5	N	 	 
10040	6	N	 	 
10040	7	N	 	 
10040	8	Y	2000	0
10040	9	N	 	 
10040	10	N	 	 
10040	11	N	 	 
10040	12	N	 	 
10040	13	N	 	 
10041	1	N	 	 
10041	2	N	 	 
10041	3	N	 	 
10041	4	N	 	 
10041	5	N	 	 
10041	6	N	 	 
10041	7	N	 	 
10041	8	Y	0	4950
10041	9	N	 	 
10041	10	N	 	 
10041	11	N	 	 
10041	12	N	 	 
10041	13	N	 	 
10042	1	N	 	 
10042	2	N	 	 
10042	3	N	 	 
10042	4	N	 	 
10042	5	N	 	 
10042	6	Y	0	750
10042	7	N	 	 
10042	8	Y	1200	300
10042	9	N	 	 
10042	10	N	 	 
10042	11	N	 	 
10042	12	N	 	 
10042	13	N	 	 
10043	1	N	 	 
10043	2	N	 	 
10043	3	N	 	 
10043	4	N	 	 
10043	5	N	 	 
10043	6	N	 	 
10043	7	N	 	 
10043	8	N	 	 
10043	9	N	 	 
10043	10	N	 	 
10043	11	N	 	 
10043	12	N	 	 
10043	13	N	 	 
10044	1	N	 	 
10044	2	N	 	 
10044	3	N	 	 
10044	4	N	 	 
10044	5	N	 	 
10044	6	N	 	 
10044	7	N	 	 
10044	8	N	 	 
10044	9	N	 	 
10044	10	Y	35000	10000
10044	11	N	 	 
10044	12	N	 	 
10044	13	Y	10000	5000
10045	1	N	 	 
10045	2	N	 	 
10045	3	N	 	 
10045	4	N	 	 
10045	5	N	 	 
10045	6	Y	0	1500
10045	7	N	 	 
10045	8	N	 	 
10045	9	N	 	 
10045	10	N	 	 
10045	11	N	 	 
10045	12	N	 	 
10045	13	N	 	 
10046	1	N	 	 
10046	2	N	 	 
10046	3	N	 	 
10046	4	N	 	 
10046	5	N	 	 
10046	6	Y	110	0
10046	7	N	 	 
10046	8	N	 	 
10046	9	N	 	 
10046	10	N	 	 
10046	11	N	 	 
10046	12	N	 	 
10046	13	N	 	 
10047	1	N	 	 
10047	2	N	 	 
10047	3	N	 	 
10047	4	N	 	 
10047	5	N	 	 
10047	6	N	 	 
10047	7	N	 	 
10047	8	N	 	 
10047	9	N	 	 
10047	10	N	 	 
10047	11	N	 	 
10047	12	N	 	 
10047	13	N	 	 
10049	1	N	 	 
10049	2	N	 	 
10049	3	N	 	 
10049	4	N	 	 
10049	5	N	 	 
10049	6	N	 	 
10049	7	N	 	 
10049	8	N	 	 
10049	9	N	 	 
10049	10	N	 	 
10049	11	N	 	 
10049	12	N	 	 
10049	13	N	 	 
10050	1	N	 	 
10050	2	N	 	 
10050	3	N	 	 
10050	4	N	 	 
10050	5	N	 	 
10050	6	N	 	 
10050	7	N	 	 
10050	8	N	 	 
10050	9	N	 	 
10050	10	N	 	 
10050	11	N	 	 
10050	12	N	 	 
10050	13	N	 	 
10051	1	N	 	 
10051	2	N	 	 
10051	3	N	 	 
10051	4	N	 	 
10051	5	N	 	 
10051	6	N	 	 
10051	7	N	 	 
10051	8	N	 	 
10051	9	N	 	 
10051	10	N	 	 
10051	11	N	 	 
10051	12	N	 	 
10051	13	N	 	 
10052	1	N	 	 
10052	2	N	 	 
10052	3	N	 	 
10052	4	N	 	 
10052	5	N	 	 
10052	6	N	 	 
10052	7	N	 	 
10052	8	N	 	 
10052	9	N	 	 
10052	10	N	 	 
10052	11	N	 	 
10052	12	N	 	 
10052	13	N	 	 
10053	1	N	 	 
10053	2	N	 	 
10053	3	N	 	 
10053	4	N	 	 
10053	5	N	 	 
10053	6	N	 	 
10053	7	N	 	 
10053	8	N	 	 
10053	9	N	 	 
10053	10	N	 	 
10053	11	N	 	 
10053	12	N	 	 
10053	13	N	 	 
10055	1	N	 	 
10055	2	N	 	 
10055	3	N	 	 
10055	4	N	 	 
10055	5	N	 	 
10055	6	N	 	 
10055	7	N	 	 
10055	8	N	 	 
10055	9	N	 	 
10055	10	N	 	 
10055	11	N	 	 
10055	12	Y	7000	0
10055	13	N	 	 
10057	1	N	 	 
10057	2	N	 	 
10057	3	N	 	 
10057	4	N	 	 
10057	5	N	 	 
10057	6	Y	3600	560
10057	7	N	 	 
10057	8	N	 	 
10057	9	N	 	 
10057	10	N	 	 
10057	11	N	 	 
10057	12	N	 	 
10057	13	N	 	 
10060	1	Y	4800	0
10060	2	N	 	 
10060	3	N	 	 
10060	4	N	 	 
10060	5	N	 	 
10060	6	N	 	 
10060	7	N	 	 
10060	8	N	 	 
10060	9	N	 	 
10060	10	N	 	 
10060	11	N	 	 
10060	12	N	 	 
10060	13	N	 	 
10061	1	N	 	 
10061	2	N	 	 
10061	3	N	 	 
10061	4	N	 	 
10061	5	N	 	 
10061	6	N	 	 
10061	7	N	 	 
10061	8	Y	2000	0
10061	9	N	 	 
10061	10	N	 	 
10061	11	N	 	 
10061	12	N	 	 
10061	13	N	 	 
10062	1	N	 	 
10062	2	N	 	 
10062	3	N	 	 
10062	4	N	 	 
10062	5	N	 	 
10062	6	N	 	 
10062	7	N	 	 
10062	8	Y	7000	0
10062	9	N	 	 
10062	10	N	 	 
10062	11	N	 	 
10062	12	N	 	 
10062	13	N	 	 
10063	1	N	 	 
10063	2	N	 	 
10063	3	N	 	 
10063	4	N	 	 
10063	5	N	 	 
10063	6	N	 	 
10063	7	N	 	 
10063	8	Y	60000	10000
10063	9	N	 	 
10063	10	N	 	 
10063	11	N	 	 
10063	12	N	 	 
10063	13	N	 	 
10064	1	N	 	 
10064	2	N	 	 
10064	3	N	 	 
10064	4	N	 	 
10064	5	N	 	 
10064	6	N	 	 
10064	7	N	 	 
10064	8	Y	0	3000
10064	9	N	 	 
10064	10	N	 	 
10064	11	N	 	 
10064	12	N	 	 
10064	13	N	 	 
10065	1	N	 	 
10065	2	N	 	 
10065	3	N	 	 
10065	4	N	 	 
10065	5	N	 	 
10065	6	N	 	 
10065	7	N	 	 
10065	8	N	 	 
10065	9	N	 	 
10065	10	N	 	 
10065	11	N	 	 
10065	12	N	 	 
10065	13	N	 	 
10066	1	N	 	 
10066	2	N	 	 
10066	3	N	 	 
10066	4	N	 	 
10066	5	N	 	 
10066	6	N	 	 
10066	7	N	 	 
10066	8	N	 	 
10066	9	N	 	 
10066	10	N	 	 
10066	11	N	 	 
10066	12	N	 	 
10066	13	N	 	 
10067	1	N	 	 
10067	2	N	 	 
10067	3	N	 	 
10067	4	N	 	 
10067	5	N	 	 
10067	6	N	 	 
10067	7	N	 	 
10067	8	N	 	 
10067	9	N	 	 
10067	10	N	 	 
10067	11	N	 	 
10067	12	N	 	 
10067	13	N	 	 
10068	1	N	 	 
10068	2	N	 	 
10068	3	N	 	 
10068	4	N	 	 
10068	5	N	 	 
10068	6	N	 	 
10068	7	N	 	 
10068	8	N	 	 
10068	9	N	 	 
10068	10	N	 	 
10068	11	N	 	 
10068	12	N	 	 
10068	13	N	 	 
10069	1	N	 	 
10069	2	N	 	 
10069	3	N	 	 
10069	4	N	 	 
10069	5	N	 	 
10069	6	N	 	 
10069	7	N	 	 
10069	8	N	 	 
10069	9	N	 	 
10069	10	N	 	 
10069	11	N	 	 
10069	12	N	 	 
10069	13	N	 	 
10070	1	N	 	 
10070	2	N	 	 
10070	3	N	 	 
10070	4	N	 	 
10070	5	N	 	 
10070	6	N	 	 
10070	7	N	 	 
10070	8	N	 	 
10070	9	N	 	 
10070	10	N	 	 
10070	11	N	 	 
10070	12	N	 	 
10070	13	N	 	 
10071	1	N	 	 
10071	2	N	 	 
10071	3	N	 	 
10071	4	N	 	 
10071	5	N	 	 
10071	6	N	 	 
10071	7	N	 	 
10071	8	N	 	 
10071	9	N	 	 
10071	10	N	 	 
10071	11	N	 	 
10071	12	N	 	 
10071	13	N	 	 
10072	1	N	 	 
10072	2	N	 	 
10072	3	N	 	 
10072	4	N	 	 
10072	5	N	 	 
10072	6	Y	500	1200
10072	7	N	 	 
10072	8	Y	0	800
10072	9	N	 	 
10072	10	N	 	 
10072	11	N	 	 
10072	12	N	 	 
10072	13	N	 	 
10073	1	N	 	 
10073	2	N	 	 
10073	3	N	 	 
10073	4	N	 	 
10073	5	N	 	 
10073	6	Y	0	420
10073	7	N	 	 
10073	8	N	 	 
10073	9	N	 	 
10073	10	N	 	 
10073	11	N	 	 
10073	12	N	 	 
10073	13	N	 	 
10074	1	N	 	 
10074	2	N	 	 
10074	3	N	 	 
10074	4	N	 	 
10074	5	N	 	 
10074	6	N	 	 
10074	7	N	 	 
10074	8	N	 	 
10074	9	N	 	 
10074	10	N	 	 
10074	11	N	 	 
10074	12	N	 	 
10074	13	N	 	 
10075	1	N	 	 
10075	2	N	 	 
10075	3	N	 	 
10075	4	N	 	 
10075	5	N	 	 
10075	6	N	 	 
10075	7	N	 	 
10075	8	N	 	 
10075	9	N	 	 
10075	10	N	 	 
10075	11	N	 	 
10075	12	N	 	 
10075	13	N	 	 
10076	1	N	 	 
10076	2	N	 	 
10076	3	N	 	 
10076	4	N	 	 
10076	5	N	 	 
10076	6	N	 	 
10076	7	N	 	 
10076	8	N	 	 
10076	9	N	 	 
10076	10	N	 	 
10076	11	N	 	 
10076	12	N	 	 
10076	13	N	 	 
10077	1	N	 	 
10077	2	N	 	 
10077	3	N	 	 
10077	4	N	 	 
10077	5	N	 	 
10077	6	N	 	 
10077	7	N	 	 
10077	8	N	 	 
10077	9	N	 	 
10077	10	N	 	 
10077	11	N	 	 
10077	12	N	 	 
10077	13	N	 	 
10079	1	N	 	 
10079	2	N	 	 
10079	3	N	 	 
10079	4	N	 	 
10079	5	N	 	 
10079	6	N	 	 
10079	7	N	 	 
10079	8	N	 	 
10079	9	N	 	 
10079	10	N	 	 
10079	11	N	 	 
10079	12	N	 	 
10079	13	N	 	 
10080	1	N	 	 
10080	2	N	 	 
10080	3	N	 	 
10080	4	N	 	 
10080	5	N	 	 
10080	6	Y	500	0
10080	7	N	 	 
10080	8	Y	400	1500
10080	9	N	 	 
10080	10	N	 	 
10080	11	N	 	 
10080	12	N	 	 
10080	13	N	 	 
10081	1	N	 	 
10081	2	N	 	 
10081	3	N	 	 
10081	4	N	 	 
10081	5	N	 	 
10081	6	N	 	 
10081	7	N	 	 
10081	8	N	 	 
10081	9	N	 	 
10081	10	N	 	 
10081	11	N	 	 
10081	12	N	 	 
10081	13	N	 	 
10082	1	N	 	 
10082	2	N	 	 
10082	3	N	 	 
10082	4	N	 	 
10082	5	N	 	 
10082	6	N	 	 
10082	7	N	 	 
10082	8	N	 	 
10082	9	N	 	 
10082	10	N	 	 
10082	11	N	 	 
10082	12	N	 	 
10082	13	N	 	 
10083	1	N	 	 
10083	2	N	 	 
10083	3	N	 	 
10083	4	N	 	 
10083	5	N	 	 
10083	6	N	 	 
10083	7	N	 	 
10083	8	N	 	 
10083	9	N	 	 
10083	10	N	 	 
10083	11	N	 	 
10083	12	N	 	 
10083	13	N	 	 
10084	1	N	 	 
10084	2	N	 	 
10084	3	N	 	 
10084	4	N	 	 
10084	5	N	 	 
10084	6	N	 	 
10084	7	N	 	 
10084	8	N	 	 
10084	9	N	 	 
10084	10	N	 	 
10084	11	N	 	 
10084	12	N	 	 
10084	13	N	 	 
10085	1	Y	5400	0
10085	2	N	 	 
10085	3	N	 	 
10085	4	N	 	 
10085	5	N	 	 
10085	6	N	 	 
10085	7	N	 	 
10085	8	N	 	 
10085	9	N	 	 
10085	10	N	 	 
10085	11	N	 	 
10085	12	N	 	 
10085	13	N	 	 
10086	1	N	 	 
10086	2	N	 	 
10086	3	N	 	 
10086	4	N	 	 
10086	5	N	 	 
10086	6	Y	0	500
10086	7	N	 	 
10086	8	N	 	 
10086	9	N	 	 
10086	10	N	 	 
10086	11	N	 	 
10086	12	N	 	 
10086	13	N	 	 
10087	1	N	 	 
10087	2	N	 	 
10087	3	N	 	 
10087	4	N	 	 
10087	5	N	 	 
10087	6	N	 	 
10087	7	N	 	 
10087	8	N	 	 
10087	9	N	 	 
10087	10	N	 	 
10087	11	N	 	 
10087	12	N	 	 
10087	13	N	 	 
10088	1	N	 	 
10088	2	N	 	 
10088	3	N	 	 
10088	4	N	 	 
10088	5	N	 	 
10088	6	Y	500	1200
10088	7	N	 	 
10088	8	N	 	 
10088	9	N	 	 
10088	10	N	 	 
10088	11	N	 	 
10088	12	N	 	 
10088	13	N	 	 
10089	1	N	 	 
10089	2	N	 	 
10089	3	N	 	 
10089	4	N	 	 
10089	5	N	 	 
10089	6	N	 	 
10089	7	N	 	 
10089	8	Y	0	1600
10089	9	N	 	 
10089	10	N	 	 
10089	11	N	 	 
10089	12	N	 	 
10089	13	N	 	 
10091	1	N	 	 
10091	2	N	 	 
10091	3	N	 	 
10091	4	N	 	 
10091	5	N	 	 
10091	6	N	 	 
10091	7	N	 	 
10091	8	N	 	 
10091	9	N	 	 
10091	10	N	 	 
10091	11	N	 	 
10091	12	N	 	 
10091	13	N	 	 
10093	1	N	 	 
10093	2	N	 	 
10093	3	N	 	 
10093	4	N	 	 
10093	5	N	 	 
10093	6	N	 	 
10093	7	N	 	 
10093	8	N	 	 
10093	9	N	 	 
10093	10	N	 	 
10093	11	N	 	 
10093	12	N	 	 
10093	13	N	 	 
10094	1	N	 	 
10094	2	N	 	 
10094	3	N	 	 
10094	4	N	 	 
10094	5	N	 	 
10094	6	N	 	 
10094	7	N	 	 
10094	8	N	 	 
10094	9	N	 	 
10094	10	N	 	 
10094	11	N	 	 
10094	12	N	 	 
10094	13	N	 	 
10095	1	N	 	 
10095	2	N	 	 
10095	3	N	 	 
10095	4	N	 	 
10095	5	N	 	 
10095	6	N	 	 
10095	7	N	 	 
10095	8	N	 	 
10095	9	N	 	 
10095	10	N	 	 
10095	11	N	 	 
10095	12	N	 	 
10095	13	N	 	 
10096	1	N	 	 
10096	2	N	 	 
10096	3	N	 	 
10096	4	N	 	 
10096	5	N	 	 
10096	6	N	 	 
10096	7	N	 	 
10096	8	Y	0	27000
10096	9	N	 	 
10096	10	N	 	 
10096	11	N	 	 
10096	12	N	 	 
10096	13	N	 	 
10097	1	Y	5400	0
10097	2	N	 	 
10097	3	N	 	 
10097	4	N	 	 
10097	5	N	 	 
10097	6	N	 	 
10097	7	N	 	 
10097	8	N	 	 
10097	9	N	 	 
10097	10	N	 	 
10097	11	N	 	 
10097	12	N	 	 
10097	13	N	 	 
10098	1	N	 	 
10098	2	N	 	 
10098	3	N	 	 
10098	4	N	 	 
10098	5	N	 	 
10098	6	N	 	 
10098	7	N	 	 
10098	8	N	 	 
10098	9	N	 	 
10098	10	N	 	 
10098	11	N	 	 
10098	12	N	 	 
10098	13	N	 	 
10099	1	N	 	 
10099	2	N	 	 
10099	3	N	 	 
10099	4	N	 	 
10099	5	N	 	 
10099	6	N	 	 
10099	7	N	 	 
10099	8	N	 	 
10099	9	N	 	 
10099	10	N	 	 
10099	11	N	 	 
10099	12	Y	120000	0
10099	13	N	 	 
10100	1	Y	3600	0
10100	2	N	 	 
10100	3	N	 	 
10100	4	N	 	 
10100	5	N	 	 
10100	6	N	 	 
10100	7	N	 	 
10100	8	N	 	 
10100	9	N	 	 
10100	10	N	 	 
10100	11	N	 	 
10100	12	N	 	 
10100	13	Y	24000	3000
20001	1	Y	6000	0
20001	2	N	 	 
20001	3	N	 	 
20001	4	N	 	 
20001	5	N	 	 
20001	6	N	 	 
20001	7	N	 	 
20001	8	N	 	 
20001	9	N	 	 
20001	10	N	 	 
20001	11	N	 	 
20001	12	N	 	 
20001	13	N	 	 
20002	1	Y	8400	0
20002	2	N	 	 
20002	3	N	 	 
20002	4	N	 	 
20002	5	N	 	 
20002	6	N	 	 
20002	7	N	 	 
20002	8	Y	3000	1588
20002	9	N	 	 
20002	10	N	 	 
20002	11	N	 	 
20002	12	N	 	 
20002	13	N	 	 
20003	1	N	 	 
20003	2	N	 	 
20003	3	N	 	 
20003	4	N	 	 
20003	5	N	 	 
20003	6	Y	0	650
20003	7	N	 	 
20003	8	Y	2550	0
20003	9	N	 	 
20003	10	N	 	 
20003	11	N	 	 
20003	12	N	 	 
20003	13	N	 	 
20004	1	Y	7200	0
20004	2	N	 	 
20004	3	N	 	 
20004	4	N	 	 
20004	5	N	 	 
20004	6	N	 	 
20004	7	N	 	 
20004	8	N	 	 
20004	9	N	 	 
20004	10	N	 	 
20004	11	N	 	 
20004	12	N	 	 
20004	13	N	 	 
20005	1	N	 	 
20005	2	N	 	 
20005	3	N	 	 
20005	4	N	 	 
20005	5	N	 	 
20005	6	N	 	 
20005	7	N	 	 
20005	8	N	 	 
20005	9	N	 	 
20005	10	N	 	 
20005	11	N	 	 
20005	12	Y	3000	0
20005	13	N	 	 
20007	1	N	 	 
20007	2	N	 	 
20007	3	N	 	 
20007	4	N	 	 
20007	5	N	 	 
20007	6	N	 	 
20007	7	N	 	 
20007	8	N	 	 
20007	9	N	 	 
20007	10	N	 	 
20007	11	N	 	 
20007	12	N	 	 
20007	13	N	 	 
20008	1	N	 	 
20008	2	N	 	 
20008	3	N	 	 
20008	4	N	 	 
20008	5	N	 	 
20008	6	N	 	 
20008	7	N	 	 
20008	8	N	 	 
20008	9	N	 	 
20008	10	N	 	 
20008	11	Y	-77	0
20008	12	Y	42000	5200
20008	13	N	 	 
20011	1	Y	10440	0
20011	2	N	 	 
20011	3	N	 	 
20011	4	N	 	 
20011	5	N	 	 
20011	6	N	 	 
20011	7	N	 	 
20011	8	N	 	 
20011	9	N	 	 
20011	10	N	 	 
20011	11	N	 	 
20011	12	Y	24000	0
20011	13	N	 	 
20012	1	N	 	 
20012	2	N	 	 
20012	3	N	 	 
20012	4	N	 	 
20012	5	N	 	 
20012	6	N	 	 
20012	7	N	 	 
20012	8	N	 	 
20012	9	N	 	 
20012	10	N	 	 
20012	11	N	 	 
20012	12	N	 	 
20012	13	N	 	 
20013	1	Y	6000	0
20013	2	N	 	 
20013	3	N	 	 
20013	4	N	 	 
20013	5	N	 	 
20013	6	N	 	 
20013	7	Y	1200	0
20013	8	N	 	 
20013	9	N	 	 
20013	10	N	 	 
20013	11	N	 	 
20013	12	N	 	 
20013	13	N	 	 
20014	1	N	 	 
20014	2	N	 	 
20014	3	N	 	 
20014	4	N	 	 
20014	5	N	 	 
