CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5	SLVALR5
10023	16	N	 	 
10023	17	N	 	 
10023	18	N	 	 
10023	20	Y	2	600
10023	21	Y	1	1500
10024	1	N	 	 
10024	2	Y	1	500
10024	3	N	 	 
10024	4	N	 	 
10024	5	N	 	 
10024	6	N	 	 
10024	7	Y	3	1000
10024	8	N	 	 
10024	9	N	 	 
10024	10	N	 	 
10024	11	N	 	 
10024	12	N	 	 
10024	13	Y	1	100
10024	14	N	 	 
10024	15	N	 	 
10024	16	N	 	 
10024	17	N	 	 
10024	18	N	 	 
10024	20	N	 	 
10024	21	N	 	 
10025	1	Y	1	1000
10025	2	N	 	 
10025	3	N	 	 
10025	4	N	 	 
10025	5	N	 	 
10025	6	N	 	 
10025	7	Y	2	3000
10025	8	Y	4	600
10025	9	N	 	 
10025	10	N	 	 
10025	11	N	 	 
10025	12	N	 	 
10025	13	Y	2	800
10025	14	N	 	 
10025	15	N	 	 
10025	16	N	 	 
10025	17	N	 	 
10025	18	N	 	 
10025	20	N	 	 
10025	21	N	 	 
10026	1	Y	1	2000
10026	2	N	 	 
10026	3	N	 	 
10026	4	N	 	 
10026	5	N	 	 
10026	6	N	 	 
10026	7	Y	2	2000
10026	8	Y	4	800
10026	9	Y	1	3000
10026	10	N	 	 
10026	11	N	 	 
10026	12	Y	1	5000
10026	13	Y	1	150
10026	14	N	 	 
10026	15	N	 	 
10026	16	N	 	 
10026	17	N	 	 
10026	18	N	 	 
10026	20	N	 	 
10026	21	N	 	 
10028	1	N	 	 
10028	2	N	 	 
10028	3	N	 	 
10028	4	N	 	 
10028	5	N	 	 
10028	6	N	 	 
10028	7	N	 	 
10028	8	N	 	 
10028	9	N	 	 
10028	10	N	 	 
10028	11	N	 	 
10028	12	N	 	 
10028	13	N	 	 
10028	14	N	 	 
10028	15	N	 	 
10028	16	N	 	 
10028	17	N	 	 
10028	18	N	 	 
10028	20	N	 	 
10028	21	N	 	 
10029	1	Y	1	3000
10029	2	N	 	 
10029	3	N	 	 
10029	4	N	 	 
10029	5	N	 	 
10029	6	N	 	 
10029	7	Y	3	6000
10029	8	N	 	 
10029	9	Y	1	4000
10029	10	N	 	 
10029	11	N	 	 
10029	12	Y	1	7000
10029	13	Y	4	2000
10029	14	N	 	 
10029	15	N	 	 
10029	16	N	 	 
10029	17	N	 	 
10029	18	N	 	 
10029	20	N	 	 
10029	21	N	 	 
10030	1	Y	1	5000
10030	2	Y	1	200
10030	3	N	 	 
10030	4	N	 	 
10030	5	N	 	 
10030	6	N	 	 
10030	7	Y	2	300
10030	8	Y	2	2500
10030	9	Y	1	5000
10030	10	N	 	 
10030	11	Y	1	500
10030	12	Y	1	5000
10030	13	Y	1	300
10030	14	Y	1	10000
10030	15	N	 	 
10030	16	N	 	 
10030	17	N	 	 
10030	18	N	 	 
10030	20	N	 	 
10030	21	Y	1	500
10031	1	Y	1	500
10031	2	N	 	 
10031	3	N	 	 
10031	4	N	 	 
10031	5	N	 	 
10031	6	N	 	 
10031	7	Y	3	1700
10031	8	Y	2	150
10031	9	N	 	 
10031	10	N	 	 
10031	11	Y	1	1000
10031	12	Y	1	5000
10031	13	N	 	 
10031	14	N	 	 
10031	15	N	 	 
10031	16	N	 	 
10031	17	N	 	 
10031	18	N	 	 
10031	20	Y	2	700
10031	21	Y	1	3000
10032	1	Y	1	2000
10032	2	Y	1	500
10032	3	N	 	 
10032	4	N	 	 
10032	5	N	 	 
10032	6	N	 	 
10032	7	Y	2	1000
10032	8	Y	7	500
10032	9	N	 	 
10032	10	N	 	 
10032	11	N	 	 
10032	12	N	 	 
10032	13	N	 	 
10032	14	N	 	 
10032	15	N	 	 
10032	16	N	 	 
10032	17	N	 	 
10032	18	N	 	 
10032	20	N	 	 
10032	21	N	 	 
10033	1	Y	2	15000
10033	2	N	 	 
10033	3	N	 	 
10033	4	N	 	 
