CHILDCODE	LIDR4	GAVCRDR5	WHORCVR5	TKEOUTR5	LOANMTR5	LOANYRR5	AMTCRDR5	INTRTR5	AMTINTR5	FINPAYR5	PYTIMER5	NOBACKR5
20056	2	10	2	2	3	2009	1500	0	 	0	 	 
20058	1	10	2	15	1	2009	2000	0	 	1	1	 
20059	1	15	2	8	12	2007	5000	-77	425	0	 	 
20060	1	7	2	41	7	2008	2009	12	 	0	 	 
20062	1	10	2	2	7	2008	400	0	 	1	1	 
20062	2	10	2	2	1	2009	300	0	 	1	1	 
20064	1	8	2	19	2	2008	20000	0	 	0	 	 
20065	1	7	3	4	11	2008	5000	11	 	0	 	 
20076	1	7	13	1	12	2008	50000	33	 	0	 	 
20077	1	5	1	41	1	2009	5000	-77	250	0	 	 
20078	1	7	1	3	4	2007	15000	-77	4000	0	 	 
20079	1	7	2	19	3	2008	2000	18	 	0	 	 
20080	1	10	2	2	5	2008	300	0	 	1	1	 
20080	2	10	2	2	9	2007	400	0	 	1	1	 
20080	3	10	2	2	7	2006	500	0	 	1	1	 
20085	1	2	1	19	5	2008	1000	-77	50	1	1	 
20089	1	7	2	3	4	2007	5000	13	 	1	1	 
20092	1	10	2	4	1	2008	40000	0	 	1	1	 
30006	1	7	2	8	4	2007	2010	35000	 	0	 	 
30007	1	10	5	2	3	2006	2000	0	 	1	1	 
30007	2	10	5	2	4	2008	300	0	 	1	1	 
30007	3	8	5	2	5	2008	200	0	 	1	1	 
30016	1	8	0	2	2	2008	300	0	 	1	1	 
30016	2	10	2	2	7	2007	250	0	 	1	1	 
30019	1	8	2	8	4	2007	300000	0	 	0	 	 
30020	1	8	3	6	4	2008	2000	0	 	0	 	 
30020	2	8	3	7	4	2008	1500	0	 	1	0	9
30022	1	7	2	19	1	2007	2000	-77	-77	1	0	5
30023	1	7	7	1	3	2006	2000	0	 	0	 	 
30023	2	7	1	3	10	2008	100000	0	 	0	 	 
30025	1	15	2	40	10	2007	18000	-77	1440	0	 	 
30027	1	10	3	7	11	2008	500	0	 	1	1	 
30028	1	10	2	13	2	2006	600	0	 	0	 	 
30028	2	10	2	13	3	2008	550	0	 	0	 	 
30028	3	7	2	7	4	2008	4000	0	 	0	 	 
30032	1	2	1	10	9	2007	20000	5	 	0	 	 
30032	2	7	2	19	10	2008	5000	18	 	0	 	 
30032	3	10	1	18	9	2007	5000	0	 	0	 	 
30040	1	8	2	2	5	2008	300	0	 	1	1	 
30041	1	8	2	10	5	2008	17000	0	 	0	 	 
30048	1	2	1	8	3	2007	40000	10	 	0	 	 
30048	2	2	2	8	3	2007	40000	10	 	0	 	 
30053	1	8	1	8	12	2008	7000	0	 	0	 	 
30054	1	10	6	2	11	2008	400	0	 	1	1	 
30055	1	7	1	19	8	2008	4000	18	 	0	 	 
30057	1	7	2	19	5	2008	50000	12	 	0	 	 
30059	1	10	2	2	4	2006	300	0	 	0	 	 
30059	2	10	2	2	9	2007	200	0	 	0	 	 
30059	3	10	2	2	7	2008	300	0	 	0	 	 
30060	1	7	2	8	11	2008	19000	0	 	0	 	 
30062	1	10	1	2	1	2009	600	-77	120	0	 	 
30062	2	1	1	1	10	2008	1080	15	 	0	 	 
30064	1	2	1	19	2	2008	5000	0	 	0	 	 
30066	1	8	2	6	12	2008	300	0	 	1	1	 
30069	1	2	2	2	4	2008	1000	5	 	0	 	 
30078	1	8	2	7	1	2009	1200	0	 	1	1	 
30080	1	10	2	15	1	2009	3000	0	 	1	1	 
30082	1	7	2	41	11	2006	30000	18	 	0	 	 
30090	1	7	1	8	9	2008	5000	22	 	0	 	 
30091	1	7	2	8	9	2007	5000	-77	381	0	 	 
30094	1	10	2	2	11	2008	200	5	 	0	 	 
30095	1	10	1	2	11	2008	400	0	 	1	1	 
30095	2	10	1	2	1	2009	200	0	 	1	1	 
40001	1	2	4	1	3	2008	9000	13	 	0	 	 
40002	1	7	2	19	4	2008	2500	15	 	0	 	 
40002	2	8	2	2	7	2007	700	0	 	1	1	 
40002	3	8	2	2	10	2007	500	0	 	1	1	 
40003	1	6	1	19	4	2007	500000	10	 	0	 	 
40004	1	6	3	19	1	2008	500000	12	 	0	 	 
40018	1	8	1	19	2	2008	3000	0	 	1	1	 
40018	2	8	1	19	10	2008	3000	0	 	1	1	 
40022	1	7	2	41	9	2007	15000	13	 	0	 	 
40023	1	7	2	19	12	2008	100000	18	 	0	 	 
40024	1	7	1	8	8	2006	12000	15	 	0	 	 
40025	1	6	2	7	2	2008	2000	3	 	0	 	 
40027	1	7	2	2	12	2008	12000	18	 	0	 	 
40029	1	7	2	19	3	2008	35000	-77	1773	0	 	 
40036	1	11	1	2	4	2008	10000	-77	-77	0	 	 
40037	1	 	 	 	 	 	 	 	 	 	 	 
40038	1	7	1	8	2	2009	30000	18	 	0	 	 
40039	1	7	2	19	6	2008	10000	15	 	0	 	 
40040	1	5	2	8	7	2008	3000	1	 	0	 	 
40041	1	6	2	2	12	2008	100	12	 	0	 	 
40043	1	7	6	8	1	2007	26000	18	 	0	 	 
40047	1	8	1	8	10	2008	1000	0	 	0	 	 
40047	2	6	1	8	10	2008	1500	5	 	0	 	 
40049	1	7	1	41	11	2008	50000	18	 	0	 	 
40051	1	7	2	1	10	2008	30000	18	 	0	 	 
40053	1	6	1	8	6	2007	700000	13	 	0	 	 
40054	1	7	1	3	4	2008	30000	18	 	1	1	 
40055	1	7	2	19	10	2007	250000	15	 	0	 	 
40058	1	10	15	2	1	2009	100	0	 	1	1	 
40059	1	7	2	10	3	2008	15000	18	 	0	 	 
40061	1	5	1	8	10	2008	20000	0	 	0	 	 
40064	1	13	1	8	10	2008	50000	-77	-77	0	 	 
40064	2	10	1	8	1	2009	5000	0	 	0	 	 
40065	1	10	7	2	1	2009	700	0	 	0	 	 
40065	2	10	7	2	8	2008	1500	0	 	0	 	 
40065	3	10	7	2	11	2009	1200	0	 	0	 	 
40067	1	2	2	2	1	2009	2000	7	 	0	 	 
40071	1	8	6	1	6	2008	24000	0	 	0	 	 
40072	1	6	1	2	3	2008	8000	-77	200	0	 	 
40073	1	7	1	3	2	2008	10000	18	 	0	 	 
40074	1	6	2	2	11	2008	1500	2.5	 	0	 	 
40077	1	2	1	13	9	2007	40000	0	 	0	 	 
40078	1	2	2	19	7	2008	7000	-77	1680	0	 	 
40080	1	7	2	19	6	2008	10000	15	 	0	 	 
40080	2	7	4	19	6	2008	10000	15	 	0	 	 
40085	1	6	2	2	8	2008	1000	3	 	1	1	 
40087	1	7	1	8	7	2008	20000	18	 	0	 	 
40090	1	2	1	8	5	2006	15000	-77	1260	1	1	 
40091	1	8	1	4	2	2008	500	0	 	0	 	 
40094	1	10	7	7	2	2008	1000	0	 	1	1	 
40095	1	8	4	2	2	2008	2000	0	 	1	1	 
40095	2	10	4	2	11	2008	2000	0	 	0	 	 
40097	1	7	2	19	1	2009	25000	15	 	0	 	 
40100	1	8	5	2	5	2008	2000	0	 	0	 	 
50004	1	8	2	2	12	2007	250	0	 	0	 	 
50006	1	10	1	2	3	2009	300	0	 	0	 	 
50008	1	8	3	2	12	2008	450	0	 	0	 	 
50008	2	8	3	2	1	2009	460	0	 	0	 	 
50009	1	7	1	2	2	2009	14000	18	 	0	 	 
50017	1	7	1	41	9	2008	25000	15	 	0	 	 
50021	1	10	2	2	3	2009	350	0	 	0	 	 
50023	1	7	1	19	3	2009	20000	18	 	0	 	 
50024	1	7	1	1	4	2008	5000	18	 	1	1	 
50030	1	7	2	1	9	2008	30000	15	 	0	 	 
50032	1	7	1	4	9	2008	20000	-77	1960	0	 	 
50033	1	10	1	2	1	2009	150	0	 	0	 	 
50041	1	7	2	19	9	2008	25000	15	 	0	 	 
50043	1	8	1	10	3	2008	1500	0	 	1	1	 
50045	1	7	1	8	6	2008	5000	10	 	0	 	 
50046	1	7	1	10	9	2008	5000	18	 	0	 	 
50047	1	8	1	2	12	2009	400	0	 	0	 	 
50052	1	7	1	10	2	2009	9000	18	 	0	 	 
50060	1	8	2	8	7	2007	4000	0	 	1	1	 
50061	1	2	3	1	5	2007	400	0	 	0	 	 
50068	1	7	1	1	9	2008	7000	15	 	0	 	 
50075	1	8	1	2	1	2008	200	0	 	0	 	 
50077	1	7	2	2	9	2009	10000	18	 	0	 	 
50081	1	7	3	1	12	2007	6000	18	 	0	 	 
50082	1	 	 	 	 	 	 	 	 	 	 	 
50086	1	7	3	8	11	2007	6000	18	 	0	 	 
50088	1	8	1	11	10	2008	300	0	 	1	1	 
50089	1	8	1	8	10	2008	1500	48	 	0	 	 
50090	1	 	 	 	 	 	 	 	 	 	 	 
50092	1	7	2	14	9	2008	10000	18	 	0	 	 
50096	1	7	1	14	10	2008	10000	18	 	0	 	 
60002	1	10	1	1	1	2009	150	0	 	0	 	 
60002	2	8	1	1	3	2009	700	0	 	0	 	 
60002	3	7	1	1	8	2008	5000	18	 	0	 	 
60002	4	7	1	1	8	2007	5000	18	 	1	1	 
60002	5	7	1	1	8	2006	4000	18	 	1	1	 
60004	1	7	2	8	8	2008	10000	18	 	0	 	 
60005	1	7	2	14	1	2008	6000	18	 	0	 	 
60008	1	7	2	1	9	2008	8000	18	 	0	 	 
60009	1	7	1	1	7	2008	9000	18	 	0	 	 
60009	2	7	1	1	8	2008	7000	18	 	1	1	 
60009	3	7	1	1	8	2006	5000	18	 	1	1	 
60010	1	7	1	14	7	2008	8000	-77	2000	0	 	 
60010	2	7	16	14	7	2007	7000	-77	1500	1	1	 
60010	3	7	16	14	7	2006	6000	-77	1500	1	1	 
60011	1	10	2	2	3	2009	100	0	 	0	 	 
60011	2	5	2	7	12	2008	200	6	 	1	1	 
60012	1	7	1	14	7	2008	5500	-77	700	0	 	 
60012	2	7	1	14	7	2007	5500	-77	700	1	1	 
60012	3	7	1	14	7	2006	5500	-77	700	1	1	 
60014	1	10	1	1	1	2009	1000	0	 	0	 	 
60016	1	7	1	1	8	2008	5000	18	 	0	 	 
60016	2	7	1	1	8	2007	4000	18	 	1	1	 
60016	3	7	1	1	8	2006	3000	18	 	1	1	 
60017	1	7	2	14	7	2008	7000	-77	700	0	 	 
60017	2	7	2	14	7	2007	6000	-77	930	1	1	 
60017	3	7	2	7	7	2006	5000	-77	560	1	1	 
60018	1	7	2	1	7	2008	6000	18	 	0	 	 
60019	1	7	2	1	8	2008	5000	18	 	0	 	 
60019	2	7	2	1	8	2007	5000	18	 	1	1	 
60019	3	7	2	1	8	2006	4000	18	 	1	1	 
60020	1	8	1	11	4	2008	200	0	 	1	1	 
60020	2	8	1	1	6	2008	300	0	 	1	1	 
60021	1	7	2	1	8	2008	5000	18	 	0	 	 
60024	1	7	2	1	9	2008	6000	18	 	0	 	 
60026	1	7	1	14	7	2008	8500	-77	-77	0	 	 
60026	2	7	1	14	7	2007	7000	-77	2500	1	1	 
60026	3	7	1	14	7	2006	7000	-77	2500	1	1	 
60030	1	2	1	1	10	2008	1200	5	 	0	 	 
60031	1	7	1	4	7	2008	2000	-77	144	1	1	 
60031	2	7	1	1	7	2007	2000	-77	144	1	1	 
60031	3	7	1	1	7	2006	2000	-77	144	1	1	 
60031	4	8	1	1	8	2008	200	-88	 	0	 	 
60033	1	8	2	2	5	2008	200	0	 	1	1	 
60033	2	8	2	2	3	2009	200	0	 	0	 	 
60034	1	7	1	1	8	2008	6000	-77	-77	0	 	 
60034	2	7	1	14	7	2007	5000	-77	-77	1	1	 
60034	3	7	1	14	7	2006	5000	-77	-77	1	1	 
60035	1	7	2	14	8	2008	10000	18	 	0	 	 
60035	2	7	2	14	8	2007	7000	-77	1230	1	1	 
60035	3	7	2	14	8	2006	6000	18	 	1	1	 
60037	1	7	1	1	12	2008	2000	-77	500	0	 	 
60037	2	7	1	1	12	2007	4000	-77	500	1	1	 
60037	3	7	1	1	12	2006	3000	-77	500	1	1	 
60037	4	8	1	1	1	2009	1500	-88	 	0	 	 
60038	1	7	18	8	7	2008	6500	18	 	0	 	 
60038	2	7	18	8	7	2007	5500	-77	500	1	1	 
60038	3	7	18	8	7	2006	3800	-77	200	1	1	 
60039	1	7	2	1	7	2008	7000	18	 	0	 	 
60042	1	7	24	10	6	2008	2800	18	 	0	 	 
60042	2	2	24	1	9	2008	15000	10	 	0	 	 
60042	3	2	24	1	9	2007	9000	10	 	1	1	 
60043	1	7	2	14	6	2008	6000	18	 	0	 	 
60043	2	7	2	14	6	2007	5000	18	 	1	1	 
60043	3	7	2	14	6	2006	4000	18	 	1	1	 
60045	1	7	2	1	6	2006	1500	18	 	1	1	 
60046	1	8	1	3	12	2008	7000	0	 	1	1	 
60047	1	7	2	1	8	2006	4000	18	 	0	 	 
60051	1	7	1	1	7	2008	14000	-77	2400	0	 	 
60051	2	7	1	1	7	2007	7000	-77	1200	1	1	 
60051	3	7	1	1	7	2006	5000	-77	880	1	1	 
60055	1	1	1	1	10	2009	1200	-77	-77	0	 	 
60055	2	1	1	1	10	2008	1200	-77	-77	0	 	 
60055	3	1	1	1	10	2007	1200	-77	-77	1	1	 
60056	1	8	1	4	7	2008	4000	0	 	1	1	 
60059	1	7	2	1	8	2008	10000	18	 	0	 	 
60060	1	7	1	1	8	2008	7000	18	 	0	 	 
60060	2	7	1	1	8	2007	8000	18	 	1	1	 
60060	3	7	1	1	8	2006	6000	18	 	1	1	 
60065	1	8	1	1	1	2009	600	0	 	0	 	 
60065	2	6	1	2	1	2009	600	0	 	0	 	 
60065	3	8	6	2	12	2008	200	0	 	0	 	 
60065	4	8	6	2	4	2008	500	0	 	1	1	 
60066	1	6	2	1	2	2009	400	3	 	0	 	 
60066	2	7	1	1	8	2007	6000	18	 	1	1	 
60066	3	7	1	1	8	2006	4000	18	 	1	1	 
60068	1	8	1	6	11	2008	2000	0	 	0	 	 
60071	1	8	1	7	6	2008	1000	0	 	1	1	 
60071	2	8	1	8	8	2007	3000	0	 	1	1	 
60074	1	7	1	14	9	2008	6000	18	 	0	 	 
60074	2	7	1	14	9	2007	6000	15	 	1	1	 
60077	1	7	2	1	8	2008	7000	-77	1000	0	 	 
60077	2	7	2	1	8	2007	7000	-77	1000	1	1	 
60077	3	7	2	1	8	2006	5000	-77	-77	1	1	 
60078	1	6	1	13	10	2008	3000	-77	1080	0	 	 
60078	2	6	1	13	3	2007	1000	-77	360	1	1	 
60080	1	8	1	2	1	2009	1000	0	 	1	1	 
60081	1	7	2	1	2	2007	5000	18	 	0	 	 
60082	1	7	1	14	7	2008	10000	15	 	0	 	 
60082	2	7	1	14	7	2007	8000	-77	1500	1	1	 
60082	3	7	1	14	7	2007	7000	-77	-77	1	1	 
60083	1	7	2	1	7	2008	8000	18	 	0	 	 
60085	1	7	1	1	7	2008	7000	18	 	0	 	 
60086	1	4	2	3	1	2009	500	10	 	0	 	 
60086	2	7	2	1	7	2008	6000	18	 	0	 	 
60086	3	7	2	1	7	2007	5000	18	 	1	1	 
60086	4	7	2	1	7	2006	4000	18	 	1	1	 
60087	1	7	1	1	10	2008	1300	-77	32	0	 	 
60088	1	7	2	14	6	2007	2000	18	 	1	1	 
60088	2	7	2	8	6	2006	1600	18	 	1	1	 
60088	3	8	2	15	1	2009	150	-88	 	0	 	 
60088	4	8	2	16	11	2008	400	-88	 	1	1	 
60089	1	7	2	1	9	2008	10000	18	 	0	 	 
60091	1	2	1	1	12	2007	1000	12	 	1	0	6
60092	1	8	1	15	10	2008	100	0	 	1	1	 
60092	2	7	2	1	9	2008	7000	18	 	0	 	 
60092	3	7	2	1	10	2007	4000	18	 	1	1	 
60092	4	7	2	1	9	2006	3000	18	 	1	1	 
60093	1	7	1	14	7	2008	5000	-77	600	0	 	 
60093	2	7	1	14	7	2007	5000	-77	600	1	1	 
60093	3	7	1	14	7	2006	5000	-77	-77	1	1	 
60094	1	8	2	4	2	2009	100	-88	 	0	 	 
60094	2	8	2	4	3	2008	50	-88	 	0	 	 
60094	3	10	2	2	3	2009	370	-88	 	0	 	 
60094	4	8	2	4	12	2008	200	-88	 	0	 	 
60095	1	5	2	19	11	2007	114000	-77	-77	0	 	 
60096	1	8	5	2	3	2009	180	0	 	0	 	 
60096	2	8	5	11	3	2009	200	0	 	0	 	 
60096	3	7	3	1	10	2008	5000	18	 	0	 	 
60096	4	7	3	1	10	2007	7000	18	 	1	1	 
60097	1	7	2	1	7	2008	3000	18	 	0	 	 
60100	1	7	8	1	6	2008	10000	18	 	0	 	 
70001	1	7	1	14	8	2008	4000	-77	3000	0	 	 
70003	1	7	3	1	7	2008	2000	18	 	0	 	 
70003	2	7	2	1	7	2007	1000	18	 	1	1	 
70003	3	7	2	1	7	2006	1000	18	 	1	1	 
70004	1	7	2	1	7	2008	10000	18	 	0	 	 
70004	2	7	2	1	7	2007	6000	18	 	1	1	 
70004	3	7	2	1	7	2006	5000	18	 	1	1	 
70008	1	8	1	1	9	2008	130	0	 	1	1	 
70010	1	7	2	14	3	2008	4000	-77	730	0	 	 
70010	2	7	2	14	3	2007	3500	-77	-77	1	1	 
70011	1	7	2	7	2	2007	2000	18	 	1	1	 
70012	1	15	1	15	3	2008	100	-77	35	1	1	 
70015	1	7	2	15	8	2008	3000	18	 	0	 	 
70015	2	7	2	15	9	2007	3000	18	 	1	1	 
70016	1	4	2	4	1	2009	200	5	 	0	 	 
70016	2	4	2	4	2	2009	300	5	 	0	 	 
70016	3	8	2	4	11	2008	1500	0	 	1	1	 
70019	1	6	1	4	12	2008	300	5	 	0	 	 
70019	2	7	2	1	6	2008	1300	18	 	0	 	 
70019	3	7	2	1	6	2007	1500	18	 	1	1	 
70019	4	7	2	1	6	2006	1000	18	 	1	1	 
70022	1	8	1	15	1	2008	500	0	 	1	1	 
70023	1	4	1	2	2	2008	300	-77	30	1	1	 
70023	2	4	1	2	1	2009	500	-77	180	0	 	 
70025	1	8	1	7	7	2008	3000	0	 	0	 	 
70025	2	8	1	7	7	2008	2000	0	 	1	0	11
70026	1	10	1	2	1	2008	300	-77	100	0	 	 
70027	1	7	2	1	8	2006	3000	18	 	1	1	 
70027	2	7	2	1	8	2007	3000	18	 	1	1	 
70027	3	7	2	1	8	2008	4000	18	 	0	 	 
70028	1	9	1	10	2	2009	100	-77	60	0	 	 
70029	1	8	6	3	3	2009	400	0	 	1	1	 
70030	1	7	3	8	3	2007	6000	-77	1080	0	 	 
70031	1	7	16	10	8	2008	5000	18	 	0	 	 
70031	2	7	16	14	8	2007	4000	18	 	1	1	 
70031	3	7	16	14	8	2006	3000	18	 	1	1	 
70032	1	7	1	1	12	2007	5000	18	 	1	1	 
70033	1	13	1	16	1	2009	1000	0	 	0	 	 
70034	1	8	1	7	11	2008	3000	0	 	0	 	 
70036	1	7	3	15	9	2007	400	-77	72	1	1	 
70042	1	9	2	14	3	2008	5000	1000	 	0	 	 
70048	1	8	4	1	4	2008	150	0	 	1	1	 
70049	1	7	2	1	7	2008	6000	18	 	0	 	 
70050	1	7	2	1	3	2008	5000	18	 	0	 	 
70050	2	4	1	10	1	2009	1500	5	 	0	 	 
70050	3	7	2	1	3	2007	4000	18	 	1	1	 
70050	4	7	2	1	3	2006	3000	18	 	1	1	 
70054	1	7	21	14	7	2008	10000	18	 	0	 	 
70054	2	7	21	14	7	2007	10000	18	 	1	1	 
70054	3	7	21	14	6	2006	7000	18	 	1	1	 
70056	1	7	1	1	3	2007	3000	-77	500	1	1	 
70060	1	6	1	1	11	2007	3000	18	 	0	 	 
70062	1	4	1	2	11	2008	200	-77	230	1	1	 
70063	1	7	2	1	7	2008	1000	18	 	0	 	 
70063	2	7	2	1	7	2007	1000	18	 	1	1	 
70063	3	7	2	1	7	2006	1000	18	 	1	1	 
70063	4	4	1	1	2	2009	100	5	 	0	 	 
70065	1	10	2	2	3	2009	300	0	 	1	0	2
70065	2	15	2	2	8	2008	500	5	 	0	 	 
70065	3	9	2	2	10	2008	500	5	 	0	 	 
70065	4	10	2	10	12	2008	1000	10	 	0	 	 
70067	1	7	1	8	12	2007	4000	18	 	0	 	 
70067	2	4	1	2	7	2008	1000	-77	1200	0	 	 
70068	1	7	1	1	1	2007	5000	18	 	0	 	 
70069	1	7	1	19	12	2008	1500	-77	200	0	 	 
70070	1	8	2	1	1	2009	600	0	 	0	 	 
70070	2	8	2	8	7	2008	2500	0	 	1	1	 
70071	1	10	1	2	2	2009	200	0	 	1	0	12
70071	2	8	1	2	12	2008	100	0	 	1	0	12
70072	1	10	2	10	2	2009	120	-77	12	0	 	 
70072	2	8	2	2	1	2008	1000	-88	 	0	 	 
70073	1	7	2	1	8	2008	2500	18	 	0	 	 
70073	2	7	2	1	6	2007	2000	18	 	1	1	 
70073	3	7	2	1	6	2006	3000	18	 	1	1	 
70074	1	7	2	1	7	2008	8000	18	 	0	 	 
70075	1	10	2	1	1	2009	200	0	 	1	1	 
70077	1	6	0	2	9	2008	100	60	 	0	 	 
70079	1	1	6	1	10	2007	1800	15	 	1	1	 
70079	2	1	6	1	10	2008	2450	15	 	1	1	 
70079	3	8	6	2	1	2008	3000	0	 	1	1	 
70080	1	7	1	3	10	2007	3000	18	 	1	1	 
70083	1	7	2	1	6	2008	4000	18	 	0	 	 
70083	2	7	2	1	6	2007	4000	18	 	1	1	 
70083	3	7	2	1	6	2006	4000	18	 	1	1	 
70085	1	2	3	2	10	2008	200	120	 	0	 	 
70088	1	2	1	41	10	2008	1000	600	 	0	 	 
70089	1	7	1	12	2	2007	4000	1050	 	0	 	 
70090	1	7	1	12	7	2008	10000	15	 	0	 	 
70090	2	7	1	12	7	2007	6000	15	 	1	1	 
70090	3	7	1	12	7	2006	6000	15	 	1	1	 
70092	1	7	2	12	4	2006	5000	782	 	0	 	 
70094	1	7	2	1	3	2008	6000	18	 	0	 	 
70094	2	7	2	1	3	2007	4000	18	 	1	1	 
70094	3	7	2	1	3	2006	2500	18	 	1	1	 
70094	4	9	1	4	10	2007	200	-77	60	0	 	 
70096	1	10	1	15	11	2008	400	240	 	0	 	 
80003	1	7	2	4	5	2008	2500	17	 	0	 	 
80003	2	7	2	4	8	2007	2400	17	 	1	1	 
80003	3	7	2	4	8	2006	2600	17	 	1	1	 
80006	1	10	1	19	11	2008	1000	0	 	1	1	 
80008	1	8	1	1	12	2008	4000	0	 	0	 	 
80009	1	7	3	1	8	2008	2700	15	 	0	 	 
80010	1	10	2	7	3	2009	2000	0	 	1	1	 
80010	2	8	1	4	4	2008	300	0	 	1	1	 
80012	1	10	2	2	2	2009	200	0	 	1	1	 
80012	2	10	1	6	9	2008	500	0	 	1	1	 
80012	3	10	2	2	5	2007	200	0	 	1	1	 
80012	4	7	2	14	9	2007	2500	-77	500	1	1	 
80012	5	7	2	14	9	2006	1600	-77	400	1	1	 
80013	1	15	15	15	9	2008	3000	10	 	0	 	 
80013	2	6	1	14	3	2008	4000	0	 	1	1	 
80015	1	8	1	7	2	2009	500	0	 	1	1	 
80015	2	2	2	1	8	2008	2500	17	 	0	 	 
80015	3	2	1	1	8	2007	2000	17	 	1	1	 
80015	4	8	1	1	4	2006	200	0	 	1	1	 
80016	1	8	1	7	2	2009	1200	0	 	1	1	 
80016	2	8	2	7	10	2009	600	0	 	1	1	 
80016	3	9	2	7	5	2008	800	0	 	1	1	 
80017	1	7	1	14	12	2007	4002	-77	1190	1	1	 
80018	1	8	5	4	11	2008	2000	0	 	1	0	2
80020	1	7	2	1	9	2008	2000	-77	600	1	0	12
80021	1	8	1	2	1	2009	1000	0	 	1	1	 
80021	2	8	1	1	2	2008	800	0	 	1	1	 
80021	3	8	1	1	6	2007	500	0	 	1	1	 
80022	1	7	2	6	8	2007	2400	-77	600	0	 	 
80023	1	7	1	1	5	2007	2400	-77	600	1	1	 
80024	1	8	2	15	2	2009	300	0	 	1	1	 
80024	2	8	2	4	7	2008	500	0	 	1	1	 
80025	1	8	1	13	12	2008	1000	0	 	1	1	 
80028	1	8	2	10	11	2008	150	0	 	1	1	 
80029	1	10	2	10	4	2007	200	0	 	1	1	 
80030	1	15	2	14	10	2007	3000	10	 	1	1	 
80030	2	8	2	7	12	2008	2000	0	 	1	1	 
80031	1	10	2	10	2	2009	1000	0	 	1	1	 
80031	2	10	2	15	3	2009	500	0	 	0	 	 
80031	3	9	2	1	9	2008	1000	0	 	1	1	 
80031	4	9	2	2	11	2007	600	0	 	1	1	 
80032	1	7	2	1	9	2008	2600	-77	900	1	1	 
80034	1	10	1	9	5	2008	4700	0	 	1	1	 
80036	1	7	4	14	5	2007	3000	10	 	0	 	 
