CHILDCODE	DINT	PRIDRSR5	HHSIZE	HEADID	RESPOND	HEADLANG	CARELANG	CHLDLANG	PECLOC5	PECODPT5	PECODISTR5	PECODIS5	ANTHRHSE5	ANTHRADD5	PECODIS15	PEMUDANZ5	PEUBIC5	PHONE5	PEHPOST5	PEDCVIV5	PEDPAGT5	PEDPOC5	PEDPPA5	CHLDDNI5	TIENDNI5	DOCDNI5	ADDSAME5	CLUSTID5	YLCOMM5	PLACEID5	LINKCMM5	PLACENR5	LONGCOMM5	TRNSCOMM5	MINIADM5	PEMINIID5	TYPESITE5	PEMUDR45
11052	05/10/2016	2	6	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	0	1	0	88	 	 	1	 	0	 	0	 	 	 	1	PE83MC25	1	0
11053	18/08/2016	1	8	1	1	31	31	31	 	24	 	 	0	 	 	 	2	1	1	1	1	0	0	1	1	3	0	 	1	PE01C01	0	 	 	 	0	 	1	1
11054	08/10/2016	2	5	1	2	31	31	31	 	14	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	0	 	0	 	 	 	1	PE84MC12	1	0
11055	14/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11056	05/10/2016	2	4	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	3	1	 	0	 	0	 	 	 	1	PE84MC56	1	1
11057	16/08/2016	2	6	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11059	21/07/2016	2	3	1	2	31	31	31	 	15	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	1	1	 	0	 	0	 	 	 	1	PE83MC10	1	0
11060	09/08/2016	2	4	1	2	31	31	31	 	24	 	 	1	1	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	1
11061	10/08/2016	1	9	22	1	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11062	09/08/2016	3	3	2	3	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11063	11/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11064	13/08/2016	2	4	2	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11065	11/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	0	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11066	14/08/2016	2	8	19	2	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11067	20/08/016	2	4	1	2	31	31	31	 	24	 	 	1	1	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11068	10/08/2016	1	2	1	1	31	31	31	 	24	 	 	0	 	 	 	1	1	0	 	 	 	 	1	1	1	0	 	1	PE01C01	0	 	 	 	0	 	1	1
11069	27/01/2017	2	3	2	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	88
11070	13/08/2016	2	7	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	0	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11071	16/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C02	0	 	 	 	0	 	1	0
