CHILDCODE	MEMIDR5	MEMMOVR5	RELATER5	PRMCRER5	LIVHSER5	YRDIEDR5	AGER4	MEMAGER5	MEAGMTR5	MEMSEXR5	CHLBRNR5	RWHLIVR5	RSEECHR5	RCHLVER5	RLNLIVR5	THSVILR5	DOBHHMR5	RELHHR5	MRTLSTR5	MTHRHHR5	FTHRHHR5	STRT18R5	GRDE18R5	STLL18R5	HSSTRTR5	STRYRR5	STRMTHR5	GRADER5	STILLR5	WHYNOTR5	PANELSIB	AGEGRDR5	GRDRPR5	TYPLSTR5	PERFR5	TYPATDR5	WHSCHR5	FEESR5	EXTTUTR4	BRDSCHR5	SLEEPR5	CHCARER5	HHCHRER5	NPYWRKR5	PAYWRKR5	SCHOOLR5	STUDYR5	PLAYR5	MEMCNSR5	DISABR5	MEMAFCR5	MEMLNGR5	MLNHLR51	HTSFFR51	SEEKTRR5	WHSEEKR5	MEMSMKR5	MEMTOBR5	OFTSMKR5	OFTALCR5
10004	4	 	7	0	1	 	16	19	 	2	 	 	 	 	 	 	 	2	0	2	1	1	13	2	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10005	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	4	3	 	 	 	1	 	 	10	1	 	0	 	 	 	2	2	5	8000	0	0	9	1	2	0	0	8	3	1	N	 	 	 	 	 	 	 	 	 	 	 
10005	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	3	 	1	0	1	 	49	52	 	1	 	 	 	 	 	 	 	 	1	99	99	1	12	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	17	4	5	5	0	0	 	6
10005	4	 	1	1	1	 	38	41	 	2	0	 	 	 	 	 	 	1	1	99	99	1	9	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	19	10	1	5	0	0	 	6
10005	5	 	7	0	1	 	7	10	 	1	 	 	 	 	 	 	10	2	 	4	3	 	 	 	1	 	 	4	1	 	1	 	 	 	2	8	 	1600	400	0	9	0	1	0	0	9	4	1	N	0	 	0	 	 	 	 	 	 	 	 
10007	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	10	1	 	0	 	 	 	1	1	5	40000	0	0	9	0	1	0	0	11	1	2	N	 	 	 	 	 	 	 	 	 	 	 
10007	1	 	1	0	1	 	37	40	 	1	 	 	 	 	 	 	 	 	1	99	98	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	1	0	1	6
10007	2	 	1	1	1	 	33	36	 	2	0	 	 	 	 	 	 	1	1	98	98	1	9	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10007	28	 	7	0	1	 	14	17	 	1	 	 	 	 	 	 	12	2	0	2	1	 	 	 	1	 	 	11	1	 	1	 	 	 	2	1	 	50000	0	0	8	0	2	0	0	11	2	1	N	0	 	0	 	 	 	 	0	0	 	6
10008	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	2	99	 	 	 	1	 	 	7	1	 	0	 	 	 	2	1	5	10000	0	0	9	0	2	0	0	10	1	2	N	 	 	 	 	 	 	 	 	 	 	 
10008	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10008	2	 	1	1	1	 	37	40	 	2	0	 	 	 	 	 	 	 	3	3	98	1	5	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10008	3	 	5	0	1	 	56	59	 	2	 	 	 	 	 	 	 	3	1	5	99	1	5	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
10008	4	 	7	0	1	 	15	18	 	1	 	 	 	 	 	 	 	2	0	2	99	1	11	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10008	5	 	17	0	1	 	75	78	 	2	 	 	 	 	 	 	 	12	3	99	99	1	3	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
10009	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	4	3	 	 	 	1	 	 	7	0	8	0	13	8	3	 	 	 	 	 	 	10	2	2	0	0	0	0	10	N	 	 	 	 	 	 	 	 	 	 	 
10009	1	 	6	0	1	 	67	70	 	1	 	 	 	 	 	 	 	3	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
10009	2	 	6	0	1	 	56	59	 	2	 	 	 	 	 	 	 	3	1	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
10009	3	 	1	0	1	 	34	37	 	1	 	 	 	 	 	 	 	 	1	4	1	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	1	1	2
10009	4	 	1	1	1	 	31	34	 	2	0	 	 	 	 	 	 	1	1	98	98	1	5	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10009	6	 	7	0	1	 	10	13	 	2	 	 	 	 	 	 	8	2	0	4	3	 	 	 	1	 	 	5	0	24	1	11	6	3	 	 	 	 	 	 	10	2	2	0	0	0	0	10	N	0	 	0	 	 	 	 	0	0	 	6
10009	28	 	7	0	1	 	14	17	 	1	 	 	 	 	 	 	5	2	0	4	3	 	 	 	1	 	 	5	0	21	0	 	 	 	 	 	 	 	 	 	9	0	2	0	8	0	0	5	N	 	 	 	 	 	 	 	 	 	 	 
10010	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	8	1	 	0	 	 	 	2	3	3	0	0	0	9	0	1	0	0	9	2	3	N	 	 	 	 	 	 	 	 	 	 	 
10010	1	 	1	0	1	 	37	40	 	1	 	 	 	 	 	 	 	 	1	98	99	1	9	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10010	2	 	1	1	1	 	32	35	 	2	0	 	 	 	 	 	 	1	1	98	98	1	5	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10010	3	 	7	0	1	 	17	20	 	1	 	 	 	 	 	 	 	2	0	2	1	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
10010	4	 	7	0	1	 	16	19	 	1	 	 	 	 	 	 	 	2	0	2	1	1	13	1	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
10010	5	 	7	0	1	 	14	17	 	1	 	 	 	 	 	 	7	2	0	2	1	 	 	 	1	 	 	9	1	 	1	 	 	 	2	8	 	12000	0	0	8	0	0	0	0	9	4	3	N	0	 	0	 	 	 	 	0	0	 	6
10011	0	 	0	 	1	 	11	14	 	2	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	7	0	27	0	13	8	3	 	 	 	 	 	 	10	2	3	0	0	0	2	7	N	 	 	 	 	 	 	 	 	 	 	 
10011	1	 	1	0	1	 	46	49	 	1	 	 	 	 	 	 	 	 	1	98	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	7	1	2	2	1	0	2	6
10011	2	 	1	1	1	 	36	39	 	2	0	 	 	 	 	 	 	1	1	99	98	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	7	2	2	2	0	0	 	6
10011	3	 	11	0	4	 	18	21	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10011	4	 	7	0	1	 	14	17	 	2	 	 	 	 	 	 	11	2	0	2	1	 	 	 	1	 	 	9	0	22	1	15	10	3	 	 	 	 	 	 	9	2	3	0	3	0	2	5	N	0	 	0	 	 	 	 	0	0	 	6
10012	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	8	1	 	0	 	 	 	1	1	5	15000	0	0	9	0	1	0	0	9	2	3	N	 	 	 	 	 	 	 	 	 	 	 
10012	1	 	1	0	1	 	37	40	 	1	 	 	 	 	 	 	 	 	1	98	98	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10012	2	 	1	1	1	 	31	34	 	2	0	 	 	 	 	 	 	1	1	98	98	1	7	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10012	3	 	7	0	1	 	9	12	 	2	 	 	 	 	 	 	11	2	0	2	1	 	 	 	1	 	 	7	1	 	1	 	 	 	1	1	 	12000	0	0	9	0	2	0	0	9	1	3	N	0	 	0	 	 	 	 	0	0	 	6
10013	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	2	99	 	 	 	1	 	 	9	1	 	0	 	 	 	2	8	5	0	0	0	8	0	1	0	0	10	2	3	N	 	 	 	 	 	 	 	 	 	 	 
10013	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10013	2	 	1	1	1	 	32	35	 	2	0	 	 	 	 	 	 	 	3	98	98	1	7	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10013	3	 	7	0	1	 	13	16	 	1	 	 	 	 	 	 	12	2	0	2	99	 	 	 	1	 	 	10	0	8	1	16	11	8	 	 	 	 	 	 	9	0	2	0	8	0	0	5	N	0	 	0	 	 	 	 	0	0	 	6
10014	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	3	2	 	 	 	1	 	 	10	1	 	0	 	 	 	2	1	9	15000	0	0	9	0	1	0	0	8	4	2	N	 	 	 	 	 	 	 	 	 	 	 
10014	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10014	2	 	1	0	1	 	40	43	 	1	 	 	 	 	 	 	 	 	1	99	99	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	7	3	2	5	1	0	1	2
10014	3	 	1	1	1	 	33	36	 	2	0	 	 	 	 	 	 	1	1	98	99	1	6	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	22	4	2	5	0	0	 	6
10014	4	 	7	0	1	 	13	16	 	2	 	 	 	 	 	 	6	2	0	3	2	 	 	 	1	 	 	11	1	 	1	 	 	 	2	1	 	14000	0	0	8	0	2	0	0	8	3	3	N	0	 	0	 	 	 	 	0	0	 	6
10015	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	9	1	 	0	 	 	 	2	2	1	7000	4500	0	9	0	1	0	0	12	1	1	N	 	 	 	 	 	 	 	 	 	 	 
10015	1	 	1	0	1	 	46	49	 	1	 	 	 	 	 	 	 	 	1	98	99	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10015	2	 	1	1	1	 	41	44	 	2	0	 	 	 	 	 	 	1	1	99	99	1	9	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10015	3	 	7	0	4	 	18	21	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10016	0	 	0	 	1	 	12	15	 	1	 	 	 	 	 	 	 	2	0	3	2	 	 	 	1	 	 	9	1	 	0	 	 	 	3	3	3	0	2500	0	8	0	2	0	0	8	3	3	N	 	 	 	 	 	 	 	 	 	 	 
10016	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10016	2	 	1	0	1	 	37	40	 	1	 	 	 	 	 	 	 	 	0	99	99	1	4	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10016	3	 	1	1	1	 	33	36	 	2	0	 	 	 	 	 	 	1	1	99	98	1	8	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10016	4	 	7	0	1	 	15	18	 	1	 	 	 	 	 	 	 	2	0	3	2	1	9	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10017	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	9	1	 	0	 	 	 	3	1	5	11000	0	0	9	0	2	0	0	8	2	3	N	 	 	 	 	 	 	 	 	 	 	 
10017	1	 	1	0	1	 	46	49	 	1	 	 	 	 	 	 	 	 	1	99	99	1	6	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	1	0	1	2
10017	2	 	1	1	1	 	37	40	 	2	0	 	 	 	 	 	 	1	1	99	99	1	6	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	7	2	1	5	0	0	 	6
10017	3	 	7	0	1	 	17	20	 	2	 	 	 	 	 	 	 	2	0	2	1	1	12	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10018	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	9	1	 	0	 	 	 	3	1	5	10000	3000	0	8	0	1	0	0	8	4	3	N	 	 	 	 	 	 	 	 	 	 	 
10018	1	 	1	0	1	 	37	40	 	1	 	 	 	 	 	 	 	 	1	99	99	1	4	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	21	6	1	5	0	0	 	6
10018	2	 	1	1	1	 	32	35	 	2	0	 	 	 	 	 	 	1	1	98	99	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10018	3	 	7	0	1	 	11	14	 	1	 	 	 	 	 	 	6	2	0	2	1	 	 	 	1	 	 	7	1	 	1	 	 	 	2	1	 	10200	0	0	9	0	1	0	0	8	4	2	N	0	 	0	 	 	 	 	0	0	 	6
10019	0	 	0	 	1	 	12	15	 	1	 	 	 	 	 	 	 	2	0	3	2	 	 	 	1	 	 	10	1	 	0	 	 	 	3	1	5	18000	1200	0	8	0	1	0	0	9	3	3	N	 	 	 	 	 	 	 	 	 	 	 
10019	1	 	6	0	3	2014	66	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10019	2	 	1	0	1	 	46	49	 	1	 	 	 	 	 	 	 	 	1	99	99	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	4
10019	3	 	1	1	1	 	39	42	 	2	0	 	 	 	 	 	 	1	1	98	99	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10019	4	 	7	0	1	 	16	19	 	2	 	 	 	 	 	 	 	2	0	3	2	1	13	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10020	0	 	0	 	1	 	12	15	 	1	 	 	 	 	 	 	 	2	0	4	3	 	 	 	1	 	 	9	1	 	0	 	 	 	1	8	5	15000	9000	0	9	0	1	0	0	10	2	2	N	 	 	 	 	 	 	 	 	 	 	 
10020	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10020	2	 	5	0	1	 	69	72	 	2	 	 	 	 	 	 	 	3	3	99	99	0	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
10020	3	 	1	0	1	 	41	44	 	1	 	 	 	 	 	 	 	 	1	2	99	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	7	2	2	4	0	0	 	6
10020	4	 	1	1	1	 	32	35	 	2	0	 	 	 	 	 	 	1	1	98	99	1	10	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10020	5	 	7	0	1	 	20	23	 	2	 	 	 	 	 	 	 	2	0	4	3	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
10020	6	 	7	0	1	 	14	17	 	1	 	 	 	 	 	 	4	2	0	4	3	 	 	 	1	 	 	10	1	 	1	 	 	 	2	8	 	12000	0	1	9	0	2	0	0	10	2	1	N	0	 	0	 	 	 	 	0	0	 	6
10021	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	2	1	 	 	 	1	 	 	9	1	 	0	 	 	 	2	3	4	150	0	0	8	0	2	0	0	8	3	3	N	 	 	 	 	 	 	 	 	 	 	 
10021	1	 	1	0	1	 	35	38	 	1	 	 	 	 	 	 	 	 	1	98	98	1	2	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	2
10021	2	 	1	1	1	 	31	34	 	2	0	 	 	 	 	 	 	1	1	98	99	1	4	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10021	3	 	7	0	1	 	11	14	 	1	 	 	 	 	 	 	10	2	0	2	1	 	 	 	1	 	 	6	1	 	0	 	 	 	 	 	 	 	 	 	8	0	1	0	0	8	4	3	N	 	 	 	 	 	 	 	 	 	 	 
10021	4	 	7	0	1	 	7	10	 	1	 	 	 	 	 	 	7	2	 	2	1	 	 	 	1	 	 	5	1	 	1	 	 	 	3	3	 	150	0	0	9	0	0	0	0	8	4	3	N	0	 	0	 	 	 	 	 	 	 	 
10023	0	 	0	 	1	 	12	15	 	1	 	 	 	 	 	 	 	2	0	3	2	 	 	 	1	 	 	10	1	 	0	 	 	 	1	8	5	25000	0	0	8	0	1	0	0	10	2	3	N	 	 	 	 	 	 	 	 	 	 	 
10023	1	 	6	0	1	 	61	64	 	2	 	 	 	 	 	 	 	3	1	99	99	1	0	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 
10023	2	 	1	0	1	 	36	39	 	1	 	 	 	 	 	 	 	 	1	1	99	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	2
10023	3	 	1	1	1	 	35	38	 	2	0	 	 	 	 	 	 	1	1	98	99	1	15	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
10023	4	 	7	0	1	 	8	11	 	2	 	 	 	 	 	 	6	2	 	3	2	 	 	 	1	 	 	6	1	 	1	 	 	 	1	8	 	22000	0	0	9	0	1	0	0	10	0	4	N	0	 	0	 	 	 	 	 	 	 	 
10024	0	 	0	 	1	 	12	15	 	2	 	 	 	 	 	 	 	2	0	1	3	 	 	 	1	 	 	10	1	 	0	 	 	 	3	3	3	200	0	0	8	0	2	0	0	7	3	4	N	 	 	 	 	 	 	 	 	 	 	 
10024	1	 	1	1	1	 	35	38	 	2	0	 	 	 	 	 	 	1	1	98	99	1	9	0	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	0	0	 	6
