CHILDCODE	IMEVIDR5	RKEVR5	LOSS13R5	LOSS14R5	LOSS15R5	LOSS16R5	RESEVR51	RESEVR52	RESEVR53
10084	3	88	 	 	 	 	 	 	 
10085	1	37	2	2	2	2	18	17	88
10085	2	38	 	3	3	3	18	17	88
10085	3	47	 	3	3	3	2	18	88
10086	1	47	 	2	2	2	2	6	88
10086	2	38	 	 	2	2	18	6	88
10086	3	88	 	 	 	 	 	 	 
10087	1	38	2	3	4	2	2	18	88
10087	2	47	2	4	3	2	17	2	88
10087	3	88	 	 	 	 	 	 	 
10088	1	47	2	3	4	2	2	6	88
10088	2	88	 	 	 	 	 	 	 
10088	3	88	 	 	 	 	 	 	 
10089	1	42	 	 	2	2	17	16	88
10089	2	38	3	3	3	2	17	88	88
10089	3	47	 	2	3	3	2	88	88
10090	1	38	 	 	3	 	16	17	88
10090	2	88	 	 	 	 	 	 	 
10090	3	88	 	 	 	 	 	 	 
10091	1	37	 	 	 	2	9	28	88
10091	2	47	 	2	2	3	2	88	88
10091	3	88	 	 	 	 	 	 	 
10092	1	47	 	2	2	 	17	18	7
10092	2	38	2	 	 	 	11	18	7
10092	3	88	 	 	 	 	 	 	 
10093	1	88	 	 	 	 	 	 	 
10093	2	88	 	 	 	 	 	 	 
10093	3	88	 	 	 	 	 	 	 
10094	1	47	 	 	3	2	2	17	88
10094	2	88	 	 	 	 	 	 	 
10094	3	88	 	 	 	 	 	 	 
10095	1	47	2	4	3	2	2	9	88
10095	2	88	 	 	 	 	 	 	 
10095	3	88	 	 	 	 	 	 	 
10096	1	47	 	 	3	2	2	18	88
10096	2	88	 	 	 	 	 	 	 
10096	3	88	 	 	 	 	 	 	 
10097	1	38	 	 	 	3	17	18	88
10097	2	47	 	2	2	3	18	2	88
10097	3	88	 	 	 	 	 	 	 
10098	1	45	 	 	 	3	6	18	88
10098	2	47	 	3	3	3	2	6	88
10098	3	88	 	 	 	 	 	 	 
10099	1	38	 	 	2	 	17	16	7
10099	2	88	 	 	 	 	 	 	 
