CHILDCODE	GRPIDR5	HHMEMR5	GROUPR5
50057	1	6	6
50058	1	2	6
50060	1	4	6
50061	1	5	6
50065	1	2	6
50066	1	3	6
50067	1	2	6
50068	1	2	6
50069	1	3	6
50070	1	6	6
50072	1	5	6
50073	1	3	6
50075	1	4	6
50077	1	2	6
50078	1	4	6
50079	1	6	6
50081	1	2	6
50082	1	4	6
50083	1	5	6
50084	1	3	6
50085	1	2	6
50086	1	2	6
50087	1	8	6
50088	1	3	6
50089	1	4	6
50093	1	4	6
50094	1	7	6
50098	1	4	6
50099	1	4	6
50100	1	11	6
60015	1	2	6
60019	1	2	6
60023	1	4	6
60029	1	4	6
60045	1	2	6
60068	1	2	6
60072	1	3	6
60079	1	4	23
60080	1	3	23
60092	1	4	6
60099	1	2	6
70003	1	5	6
70005	1	3	6
70007	1	4	28
70024	1	3	6
70024	2	3	7
70036	1	2	6
70048	1	 	 
70051	1	 	 
70054	1	2	11
70069	1	4	6
70083	1	3	6
70084	1	4	9
70095	1	3	23
80001	1	2	6
80005	1	2	6
80007	1	4	6
80008	1	4	6
80010	1	2	6
80011	1	2	6
80012	1	2	6
80016	1	2	6
80018	1	3	6
80020	1	2	6
80021	1	4	6
80023	1	2	6
80024	1	2	6
80026	1	2	6
80028	1	3	6
80028	2	2	8
80029	1	3	6
80029	2	2	8
80030	1	2	6
80031	1	3	6
80032	1	3	6
80033	1	2	6
80034	1	2	6
80035	1	3	6
80036	1	3	6
80039	1	6	6
80044	1	4	6
80045	1	5	6
80048	1	2	6
80049	1	2	6
80050	1	3	6
80052	1	4	6
80053	1	4	6
80054	1	5	6
80056	1	2	6
80058	1	3	6
80059	1	2	6
80060	1	3	6
80061	1	4	6
80063	1	2	6
80067	1	4	6
80068	1	5	6
80070	1	4	6
80071	1	29	6
80075	1	2	6
80077	1	3	6
80081	1	4	6
80083	1	2	6
80084	1	2	6
80085	1	2	6
80086	1	4	6
80087	1	1	6
80088	1	3	6
80089	1	3	6
80090	1	4	6
80091	1	1	6
80093	1	4	6
80095	1	2	6
80096	1	4	6
80097	1	2	6
80100	1	4	6
90001	1	4	6
90003	1	4	6
90005	1	3	6
90007	1	3	35
90008	1	11	6
90009	1	3	6
90011	1	1	6
90012	1	2	6
90014	1	2	6
90016	1	2	6
90017	1	2	6
90021	1	2	6
90022	1	3	6
90025	1	2	11
90026	1	5	6
90026	2	4	35
90028	1	4	6
90030	1	6	6
90033	1	2	6
90034	1	4	6
90035	1	2	6
90036	1	2	6
90038	1	2	6
90041	1	 	 
90044	1	2	6
90045	1	1	35
90049	1	2	6
90058	1	2	6
90060	1	2	6
90062	1	3	6
90064	1	4	6
90067	1	3	6
90072	1	2	6
90074	1	3	6
90075	1	2	6
90081	1	2	6
90083	1	4	6
90086	1	3	6
90088	1	6	6
90090	1	2	6
90091	1	2	6
90094	1	3	6
90098	1	3	6
90099	1	2	6
100005	1	1	15
100009	1	2	6
100010	1	2	6
100016	1	2	6
100021	1	1	17
100024	1	2	6
100025	1	2	6
100028	1	2	23
100030	1	4	6
100034	1	1	16
100035	1	2	6
100035	2	1	22
100043	1	2	6
100044	1	2	6
100047	1	5	6
100049	1	3	6
100054	1	2	6
100058	1	5	6
100062	1	2	6
100066	1	4	6
100067	1	2	6
100071	1	2	6
100072	1	2	6
100074	1	2	6
100078	1	4	6
100079	1	1	6
100081	1	3	6
100085	1	4	6
100087	1	4	6
100090	1	2	6
100092	1	4	6
100094	1	2	6
100095	1	2	6
100100	1	2	23
110003	1	3	6
110004	1	6	6
110008	1	6	6
110011	1	1	28
110012	1	4	9
110029	1	3	6
110031	1	4	6
110031	2	3	28
110034	1	3	23
110034	2	3	28
110037	1	3	6
110037	2	5	6
110037	3	2	17
110039	1	7	23
110039	2	6	29
110047	1	4	33
110048	1	5	28
110059	1	30	6
110066	1	3	9
110072	1	4	28
110074	1	4	6
110075	1	6	6
110076	1	2	28
110082	1	2	6
110088	1	3	6
110095	1	3	29
110095	2	2	6
110097	1	12	6
120004	1	2	28
120008	1	4	6
120024	1	2	6
120059	1	4	33
130009	1	4	35
130010	1	2	6
130011	1	2	6
130018	1	2	33
130045	1	6	23
130073	1	2	6
130074	1	4	33
130089	1	3	33
130098	1	3	23
140001	1	3	23
140002	1	4	6
140005	1	2	22
140006	1	2	6
140008	1	2	6
140009	1	5	23
140009	2	4	15
140011	1	2	6
140012	1	2	6
140013	1	2	23
140014	1	2	23
140014	2	1	16
140021	1	2	23
140023	1	2	6
140024	1	4	23
140025	1	4	6
140027	1	2	23
140028	1	2	6
140029	1	3	6
140030	1	2	9
140032	1	2	6
140037	1	2	6
140041	1	2	6
140042	1	2	6
140043	1	2	6
140044	1	2	6
140045	1	4	23
140047	1	2	6
140056	1	4	6
140058	1	2	6
140059	1	2	23
140063	1	2	6
140064	1	3	8
140065	1	6	6
140067	1	2	6
140069	1	4	6
140081	1	3	23
140082	1	2	6
140092	1	2	6
140094	1	2	6
140096	1	2	23
140097	1	4	6
140098	1	3	28
150001	1	4	23
150003	1	4	6
150007	1	2	6
150008	1	4	6
150008	2	3	1
150010	1	3	6
150011	1	1	28
150012	1	2	23
150014	1	2	6
150015	1	5	6
150016	1	4	6
150017	1	3	6
150017	2	1	6
150018	1	2	22
150019	1	2	20
150022	1	3	8
150022	2	4	6
150025	1	2	23
150026	1	5	6
150027	1	2	6
150028	1	2	6
150031	1	2	6
150032	1	4	6
150032	2	3	15
150033	1	2	6
150034	1	2	6
150036	1	2	6
150038	1	2	6
150039	1	2	6
150042	1	4	6
150043	1	2	6
150044	1	2	6
150049	1	4	6
150049	2	3	22
150050	1	3	6
150053	1	3	23
150058	1	3	23
150059	1	2	6
150060	1	4	6
150062	1	2	23
150064	1	7	6
150065	1	4	6
150068	1	2	6
150069	1	4	6
150070	1	2	6
150071	1	2	23
150072	1	2	6
150076	1	2	6
150077	1	2	6
150077	2	1	8
150078	1	1	8
150078	2	2	6
150083	1	4	6
150084	1	4	6
150085	1	2	23
150086	1	5	6
150087	1	2	6
150088	1	2	6
150091	1	2	6
150092	1	2	6
150096	1	3	6
150097	1	2	6
150098	1	2	23
150099	1	2	6
150100	1	3	1
150100	2	4	6
160002	1	4	6
160003	1	3	6
160007	1	4	6
160009	1	2	6
160012	1	2	23
160013	1	2	6
160014	1	3	6
160015	1	4	6
160015	2	6	6
160015	3	2	6
160016	1	3	6
160017	1	2	6
160018	1	4	6
160019	1	4	6
160021	1	6	6
160022	1	2	6
160023	1	3	6
160025	1	4	29
160025	2	4	29
160026	1	1	8
160026	2	2	23
160028	1	5	6
160029	1	2	9
160030	1	2	9
160031	1	4	6
160032	1	2	23
160033	1	4	23
160035	1	2	28
160036	1	2	6
160040	1	2	6
160042	1	2	6
160043	1	2	6
160045	1	2	6
160047	1	2	25
160048	1	2	9
160050	1	2	6
160052	1	2	6
160053	1	2	9
160055	1	2	6
160056	1	2	6
160059	1	4	6
160061	1	2	6
160065	1	2	6
160066	1	2	6
160068	1	2	6
160069	1	2	8
160071	1	2	6
160072	1	0	6
160073	1	4	23
160074	1	6	6
160075	1	4	6
160076	1	5	6
160077	1	2	23
160078	1	2	23
160079	1	4	23
160081	1	2	25
160083	1	4	6
160086	1	3	6
160087	1	2	6
160088	1	3	6
160090	1	2	6
160091	1	2	23
160092	1	2	6
160093	1	2	6
160094	1	2	6
160095	1	30	6
160096	1	2	6
160097	1	3	23
160100	1	2	6
170004	1	2	6
170011	1	2	6
170016	1	4	6
170017	1	3	6
170022	1	8	6
170023	1	3	6
170025	1	3	6
170026	1	2	6
170029	1	2	6
170031	1	2	6
170032	1	2	6
170034	1	2	6
170035	1	2	6
170036	1	4	8
170038	1	1	8
170038	2	2	9
170042	1	4	6
170043	1	32	6
170044	1	5	6
170044	2	4	8
170045	1	3	6
170046	1	4	6
170049	1	2	8
170049	2	3	6
170050	1	4	6
170051	1	4	6
170052	1	4	6
170053	1	4	6
170054	1	4	6
170055	1	4	6
170058	1	3	6
170059	1	4	6
170061	1	4	6
170062	1	7	6
170062	2	6	8
170064	1	7	6
170065	1	2	6
170066	1	4	8
170067	1	4	6
170068	1	4	14
170069	1	2	8
170069	2	3	6
170070	1	3	35
170072	1	4	6
170073	1	3	6
170074	1	6	6
170075	1	5	6
170076	1	32	6
170077	1	4	13
170077	2	5	6
170078	1	5	8
170078	2	6	21
170079	1	4	6
170080	1	3	8
170080	2	4	6
170081	1	2	6
170082	1	5	6
170084	1	4	6
170084	2	5	6
170086	1	2	6
170087	1	4	6
170088	1	2	6
170089	1	2	6
170091	1	3	6
170092	1	5	6
170093	1	4	6
170093	2	3	8
170094	1	10	6
170095	1	3	6
170096	1	3	6
170097	1	31	6
170098	1	1	8
170098	2	1	6
170099	1	2	6
170100	1	4	6
180001	1	10	6
180002	1	5	6
180003	1	2	6
180005	1	2	6
180008	1	3	8
180009	1	1	8
180009	2	2	6
180010	1	3	8
180011	1	4	6
180011	2	10	6
180012	2	4	6
180013	1	2	6
180014	1	2	6
180016	1	2	6
180017	1	4	6
180018	1	2	6
180019	1	4	6
180020	1	4	6
180021	1	3	8
180021	2	9	6
180023	1	2	6
180024	1	2	6
180025	1	3	8
180025	2	4	33
180030	1	1	8
180030	2	2	6
180031	1	2	8
180032	1	2	6
180033	1	2	6
180035	1	2	6
180036	1	3	6
180039	1	4	8
180039	2	5	6
180040	1	12	6
180043	1	 	 
180044	1	2	6
180045	1	6	6
180048	1	13	6
180051	1	1	8
180051	2	3	8
180051	3	2	33
180051	4	29	33
180053	1	1	8
180054	1	2	6
180054	2	2	6
180056	1	2	23
180059	1	2	6
180060	1	1	8
180060	2	3	16
180061	1	2	6
180064	1	2	8
180064	2	3	6
180066	1	3	8
180067	1	3	23
180068	1	8	6
180069	1	3	6
180070	1	3	6
180071	1	33	6
180071	2	30	8
180071	3	29	22
180072	1	3	6
180073	1	1	8
180073	2	2	8
180074	1	2	6
180075	1	4	6
180076	1	4	6
180077	1	3	6
180079	1	2	8
180079	2	3	33
180080	1	2	6
180082	1	4	6
180083	1	4	6
180083	2	2	6
180084	1	3	35
180085	1	3	8
180085	2	4	23
180086	1	8	8
180086	2	9	33
180087	1	3	6
180088	1	4	6
180089	1	1	8
180089	2	2	6
180090	1	4	8
180090	2	5	23
180093	1	3	6
180094	1	1	8
180096	1	4	6
180097	1	4	6
180098	1	5	6
180099	1	3	8
180100	1	5	8
180100	2	6	35
190001	1	4	6
190002	1	4	6
190003	1	3	6
190004	1	6	6
190005	1	1	8
190005	2	2	23
190006	1	2	8
190006	2	3	23
190007	1	2	8
190007	2	3	23
190008	1	4	6
190009	1	4	6
190011	1	2	6
190013	1	3	6
190014	1	2	6
190015	1	4	6
190016	1	8	6
190017	1	4	8
190017	2	5	23
190017	3	6	23
190020	1	4	6
190021	1	3	6
190022	1	2	8
190022	2	3	23
190023	1	4	6
190025	1	4	6
190026	1	1	8
190029	1	3	6
190030	1	4	6
190031	1	3	8
190031	2	4	23
190032	1	2	6
190033	1	4	6
190034	1	3	6
190035	1	4	6
190036	1	4	6
190037	1	2	6
190038	1	4	6
190039	1	4	6
190041	1	2	8
190042	1	4	6
190044	1	2	6
190045	1	4	6
190046	1	3	6
190047	1	2	8
190049	1	2	23
190050	1	4	6
190052	1	3	6
190054	1	1	8
190054	2	2	23
190055	1	1	8
190055	2	2	33
190056	1	3	8
190056	2	4	23
190060	1	4	6
190062	1	4	6
190063	1	6	6
190064	1	3	6
190064	2	1	6
190065	1	4	6
190066	1	2	6
190067	1	2	6
190068	1	3	6
190069	1	2	6
190070	1	7	6
190072	1	13	6
190073	1	4	6
190074	1	4	6
190075	1	3	8
190075	2	4	33
190076	1	2	8
190076	2	3	6
190077	1	4	6
190078	1	2	6
190080	1	4	6
190081	1	2	8
190081	2	3	23
190082	1	7	6
190084	1	3	23
190084	2	4	6
190085	1	5	6
190086	1	2	6
190087	1	6	6
190088	1	1	8
190088	2	5	34
190089	1	2	6
190090	1	3	6
190091	1	2	6
190094	1	4	6
200001	1	1	8
200001	2	2	6
200003	1	2	23
200006	1	2	6
200012	1	2	23
200014	1	2	9
200015	1	2	8
200019	1	1	15
200020	1	4	6
200021	1	3	23
200021	2	1	23
200023	1	2	6
200023	2	1	22
200024	1	2	6
200024	2	1	8
200035	1	2	9
200042	1	1	8
200044	1	1	15
200048	1	2	6
200051	1	2	6
200067	1	1	8
200067	2	2	6
200080	1	2	9
200082	1	7	6
