CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5
10034	11	1	2
10034	12	1	1
10034	13	1	1
10034	14	0	 
10034	15	0	 
10034	16	0	 
10034	17	0	 
10034	18	0	 
10034	19	0	 
10034	20	0	 
10035	1	1	1
10035	2	0	 
10035	3	0	 
10035	4	0	 
10035	5	1	1
10035	6	0	 
10035	7	1	1
10035	8	1	3
10035	9	0	 
10035	10	1	1
10035	11	1	1
10035	12	0	 
10035	13	1	1
10035	14	0	 
10035	15	0	 
10035	16	0	 
10035	17	0	 
10035	18	0	 
10035	19	0	 
10035	20	0	 
10036	1	1	1
10036	2	0	 
10036	3	0	 
10036	4	1	1
10036	5	0	 
10036	6	0	 
10036	7	1	2
10036	8	1	2
10036	9	0	 
10036	10	1	2
10036	11	1	3
10036	12	1	1
10036	13	1	1
10036	14	0	 
10036	15	0	 
10036	16	0	 
10036	17	0	 
10036	18	0	 
10036	19	0	 
10036	20	0	 
10037	1	1	1
10037	2	0	 
10037	3	0	 
10037	4	1	1
10037	5	1	2
10037	6	0	 
10037	7	1	2
10037	8	1	5
10037	9	0	 
10037	10	1	2
10037	11	1	3
10037	12	1	1
10037	13	1	1
10037	14	0	 
10037	15	0	 
10037	16	0	 
10037	17	0	 
10037	18	1	1
10037	19	0	 
10037	20	0	 
10038	1	1	1
10038	2	0	 
10038	3	0	 
10038	4	1	2
10038	5	1	1
10038	6	0	 
10038	7	1	2
10038	8	1	6
10038	9	0	 
10038	10	1	3
10038	11	1	2
10038	12	0	 
10038	13	1	1
10038	14	0	 
10038	15	1	1
10038	16	0	 
10038	17	0	 
10038	18	0	 
10038	19	0	 
10038	20	0	 
10039	1	1	1
10039	2	0	 
10039	3	0	 
10039	4	0	 
10039	5	1	1
10039	6	0	 
10039	7	1	1
10039	8	1	4
10039	9	0	 
10039	10	1	2
10039	11	1	2
10039	12	0	 
10039	13	1	1
10039	14	0	 
10039	15	0	 
10039	16	0	 
10039	17	0	 
10039	18	0	 
10039	19	0	 
10039	20	0	 
10040	1	1	1
10040	2	0	 
10040	3	0	 
10040	4	1	1
10040	5	0	 
10040	6	0	 
10040	7	1	1
10040	8	1	4
10040	9	0	 
10040	10	1	2
10040	11	1	2
10040	12	0	 
10040	13	1	1
10040	14	0	 
10040	15	0	 
10040	16	0	 
10040	17	0	 
10040	18	0	 
10040	19	0	 
10040	20	0	 
10041	1	1	1
10041	2	0	 
10041	3	0	 
10041	4	1	1
10041	5	1	1
10041	6	0	 
10041	7	1	2
10041	8	1	6
10041	9	1	1
10041	10	1	3
10041	11	1	1
10041	12	1	1
10041	13	1	1
10041	14	0	 
10041	15	0	 
10041	16	0	 
10041	17	0	 
10041	18	1	1
10041	19	0	 
10041	20	0	 
10042	1	1	1
10042	2	0	 
10042	3	0	 
10042	4	0	 
10042	5	1	2
10042	6	0	 
10042	7	1	1
10042	8	1	4
10042	9	1	1
10042	10	1	2
10042	11	1	1
10042	12	0	 
10042	13	1	1
10042	14	0	 
10042	15	0	 
10042	16	0	 
10042	17	0	 
10042	18	0	 
10042	19	0	 
10042	20	0	 
10043	1	1	1
10043	2	0	 
10043	3	0	 
10043	4	1	1
10043	5	1	1
10043	6	0	 
10043	7	1	1
10043	8	1	2
10043	9	0	 
10043	10	1	2
10043	11	1	1
10043	12	1	1
10043	13	1	1
10043	14	0	 
10043	15	0	 
10043	16	0	 
10043	17	0	 
10043	18	0	 
10043	19	0	 
10043	20	0	 
10044	1	1	1
10044	2	0	 
10044	3	0	 
10044	4	0	 
10044	5	1	1
10044	6	0	 
10044	7	1	2
10044	8	1	3
10044	9	0	 
10044	10	1	2
10044	11	1	1
10044	12	0	 
10044	13	1	1
10044	14	0	 
10044	15	0	 
10044	16	0	 
10044	17	0	 
10044	18	0	 
10044	19	0	 
10044	20	0	 
10045	1	1	1
10045	2	0	 
10045	3	0	 
10045	4	0	 
10045	5	1	1
10045	6	0	 
10045	7	1	2
10045	8	1	4
10045	9	0	 
10045	10	1	2
10045	11	1	2
10045	12	1	1
10045	13	1	1
10045	14	0	 
10045	15	0	 
10045	16	0	 
10045	17	0	 
10045	18	0	 
10045	19	0	 
10045	20	0	 
10046	1	1	1
10046	2	0	 
10046	3	0	 
10046	4	1	1
10046	5	1	2
10046	6	0	 
10046	7	1	2
10046	8	1	4
10046	9	0	 
10046	10	1	3
10046	11	1	1
10046	12	1	1
10046	13	1	1
10046	14	0	 
10046	15	0	 
10046	16	0	 
10046	17	0	 
10046	18	0	 
10046	19	0	 
10046	20	0	 
10047	1	1	1
10047	2	0	 
10047	3	0	 
10047	4	1	1
10047	5	0	 
10047	6	0	 
10047	7	1	2
10047	8	1	2
10047	9	0	 
10047	10	1	2
10047	11	1	2
10047	12	0	 
10047	13	1	1
10047	14	0	 
10047	15	0	 
10047	16	0	 
10047	17	0	 
10047	18	0	 
10047	19	0	 
10047	20	0	 
10048	1	1	1
10048	2	0	 
10048	3	0	 
10048	4	0	 
10048	5	1	1
10048	6	0	 
10048	7	1	2
10048	8	1	2
10048	9	0	 
10048	10	1	2
10048	11	1	2
10048	12	1	1
10048	13	1	1
