CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5	VLASTR5
50036	1	1	4	5	4	400
50037	1	1	4	5	4	200
50038	1	1	4	11	4	350
50038	2	30	2	30	2	2500
50039	1	30	3	30	3	4000
50040	1	9	5	2	5	4000
50041	1	1	6	11	6	2000
50041	2	7	2	11	0	 
50041	3	3	1	11	1	0
50042	1	1	5	11	5	2500
50042	2	3	1	11	0	 
50042	3	6	1	11	0	 
50042	4	7	1	11	0	 
50043	1	1	4	11	4	1300
50043	2	4	1	11	1	2000
50043	3	6	1	11	0	 
50043	4	7	1	11	0	 
50044	1	1	4	11	4	600
50044	2	8	3	23	3	1000
50045	1	23	6	23	6	2000
50046	1	7	1	11	0	 
50046	2	3	1	11	0	 
50046	3	1	7	11	7	1800
50047	1	1	3	11	3	1200
50048	1	1	3	11	3	1200
50049	1	1	5	11	5	500
50050	1	1	5	11	5	2500
50050	2	4	1	11	1	1000
50051	1	1	3	11	3	1000
50052	1	1	4	11	4	1600
50052	2	4	1	11	1	1000
50052	3	3	1	11	1	1200
50053	1	1	6	11	6	500
50054	1	1	3	11	3	1500
50054	2	4	1	11	1	500
50055	1	1	2	11	2	800
50056	1	1	3	5	2	600
50057	1	1	3	11	3	1200
50058	1	1	5	11	5	600
50059	1	1	6	11	6	2400
50060	1	1	2	11	2	1000
50061	1	25	1	24	0	 
50064	1	23	6	23	6	1000
50065	1	1	3	5	3	200
50066	1	19	20	19	20	10000
50067	1	1	3	11	3	1200
50068	1	1	2	11	2	600
50069	1	2	1	11	1	5000
50069	2	1	8	11	8	2000
50069	3	4	2	11	2	1500
50069	4	3	2	11	2	2000
50069	5	3	1	11	1	5000
50070	1	1	3	11	3	1200
50071	1	13	5	7	5	500
50072	1	1	5	11	5	600
50073	1	1	4	11	4	300
50074	1	1	4	11	4	500
50075	1	1	6	11	6	1000
50075	2	2	1	11	1	5000
50075	3	4	2	11	2	2000
50075	4	3	1	11	1	1500
50077	1	21	3	26	3	10000
50079	1	1	3	5	3	1000
50080	1	1	8	11	8	700
50080	2	3	1	11	1	1000
50081	1	1	4	5	4	500
50082	1	1	4	5	4	400
50083	1	1	4	11	4	400
50084	1	1	3	11	3	500
50085	1	17	4	24	4	50000
50086	1	1	4	11	4	500
50087	1	21	2	5	2	15000
50088	1	25	5	24	5	2000
50089	1	1	5	11	5	2500
50090	1	23	3	23	3	2000
50091	1	21	4	21	4	8000
50093	1	1	4	11	4	600
50094	1	1	6	11	6	800
50094	2	3	1	11	1	1500
50095	1	1	3	5	3	300
50096	1	21	3	21	3	6000
50097	1	9	10	2	0	 
50098	1	1	6	11	6	2000
50098	2	2	1	11	1	3000
50098	3	4	2	11	2	1000
50098	4	3	1	11	1	500
50099	1	1	4	11	4	500
50100	1	1	4	11	4	600
50100	2	3	1	11	1	1200
60001	1	1	2	11	2	100
60001	2	3	1	11	0	 
60001	3	7	1	11	0	 
60002	1	1	15	11	15	4000
60002	2	3	1	11	1	1200
60002	3	7	1	11	1	1000000
60003	1	4	1	11	1	0
60003	2	3	1	11	1	500
60003	3	1	2	11	2	100
60003	4	7	1	11	0	 
60004	2	3	1	11	1	500
60004	3	1	2	11	2	100
60004	4	7	1	11	0	 
60005	1	1	8	11	8	1600
60005	2	3	1	11	1	600
60005	3	7	1	11	0	 
60006	1	1	5	29	5	1200
60007	1	1	3	11	3	200
60009	1	1	3	11	0	 
60009	2	3	1	11	0	 
60009	3	7	1	11	0	 
