CHILDCODE	NREGIDR5	MEMREGR5	NEG1DYR5	NEG1WGR5	NEG2DYR5	NEG2WGR5
80058	1	2	30	3000	0	 
80059	1	1	30	3000	0	 
80059	2	2	30	3000	0	 
80061	1	4	20	2000	0	 
80061	2	3	20	2000	0	 
80064	1	2	40	4500	0	 
80064	2	1	40	4500	0	 
80065	1	2	30	4500	0	 
80065	2	1	30	4500	0	 
80066	1	3	30	3150	0	 
80066	2	1	30	3150	0	 
80067	1	4	20	2200	0	 
80067	2	3	20	2200	0	 
80067	3	0	20	2200	0	 
80068	1	3	8	800	0	 
80068	2	5	9	800	0	 
80071	1	29	30	2700	0	 
80071	2	3	30	3000	0	 
80072	1	2	30	1800	0	 
80072	2	1	20	1600	0	 
80073	1	5	21	1200	0	 
80073	2	4	7	350	0	 
80075	1	1	15	1500	0	 
80075	2	2	15	1500	0	 
80076	1	2	10	800	0	 
80076	2	1	10	800	0	 
80078	1	4	10	1000	0	 
80078	2	3	10	1000	0	 
80079	1	3	25	2500	0	 
80079	2	4	25	2500	0	 
80080	1	4	35	2450	0	 
80080	2	3	35	2450	0	 
80083	1	1	50	6000	0	 
80083	2	2	50	6000	0	 
80085	1	2	20	1200	0	 
80086	1	3	20	2500	0	 
80087	1	3	14	1100	0	 
80089	1	3	75	5000	0	 
80090	1	4	70	5600	0	 
80093	1	4	20	600	0	 
80094	1	3	40	3800	0	 
80094	2	4	40	3800	0	 
80097	1	1	15	1350	10	1000
90001	3	3	21	2000	0	 
90001	4	4	21	2000	0	 
90001	5	1	21	2000	0	 
90002	1	1	15	465	0	 
90002	2	3	20	545	0	 
90008	1	7	27	3510	10	1500
90008	2	5	20	2600	10	1500
90009	1	3	10	1000	0	 
90009	2	2	10	1000	0	 
90010	1	5	25	4125	15	2100
90010	2	7	22	3630	20	2800
90011	1	1	100	10000	0	 
90011	3	2	100	20000	0	 
90011	4	3	100	10000	0	 
90013	1	3	32	19200	0	 
90013	2	3	25	15000	0	 
90014	1	1	0	 	90	18000
90014	2	2	0	 	90	13500
90015	1	3	40	2800	18	1980
90017	1	1	30	3900	20	3000
90017	2	2	30	3900	20	30000
90018	1	2	51	6630	19	2470
90019	1	4	30	4200	15	2250
90020	1	3	21	2429	0	 
90020	2	1	35	3427	0	 
90022	1	3	25	2000	10	1000
90024	1	5	30	2700	0	 
90024	2	6	12	800	0	 
90025	1	1	60	7500	0	 
90027	2	3	30	2400	0	 
90028	1	4	10	700	0	 
90028	3	3	10	700	0	 
90029	1	14	35	3000	0	 
90030	1	9	30	3600	15	1800
90030	2	1	40	4800	15	1800
90032	1	2	30	5860	0	 
90032	2	29	45	8659	0	 
90033	1	1	30	3600	20	2000
90033	2	2	30	3600	20	2000
90035	1	2	32	3136	17	1360
90036	1	1	60	6000	0	 
90036	2	2	60	6000	0	 
90037	1	4	60	4800	40	3200
90037	2	3	30	2700	0	 
90038	1	1	23	2053	0	 
90038	2	2	17	1441	4	218
90039	1	3	27	3240	0	 
90039	2	4	27	3240	0	 
90040	1	3	56	4353	0	 
90040	2	2	65	4875	0	 
90044	1	2	45	5850	55	5100
90049	1	2	35	0	0	 
90053	1	3	30	4200	20	2800
90053	2	4	25	3500	20	2800
90057	1	3	40	5600	0	 
90058	1	1	60	4800	0	 
90058	2	2	50	4500	0	 
90059	1	2	20	1600	6	450
90060	1	1	30	4500	0	 
90060	2	2	30	3000	0	 
90061	1	1	20	1400	0	 
90061	2	2	20	1350	0	 
90064	1	3	56	400	0	 
90064	2	4	56	3700	0	 
90066	1	2	16	1520	10	800
90069	1	2	30	4500	0	 
90069	2	1	30	4500	0	 
90072	1	1	35	3850	15	1500
90072	2	2	35	3850	15	1500
90074	1	2	45	4000	21	2000
90074	2	3	20	1600	15	1200
90075	1	2	14	100	0	 
90075	2	1	14	800	0	 
90076	1	2	17	1000	0	 
90080	1	1	30	3600	0	 
90080	2	2	30	3600	0	 
90081	1	2	30	2700	20	1600
90082	1	2	30	2700	0	 
90083	1	4	42	3500	0	 
90083	2	7	42	3600	0	 
90085	1	3	20	1400	10	800
90085	2	28	21	1680	0	 
90086	1	2	30	2700	0	 
90086	2	3	30	3000	0	 
90088	1	5	30	2000	0	 
90088	2	6	60	4000	0	 
90089	1	5	15	1500	0	 
90090	1	2	30	2800	0	 
90090	2	1	21	2400	0	 
90099	1	2	25	4200	25	4200
90100	1	1	20	2000	0	 
100100	1	2	80	6400	0	 
100100	2	3	80	6400	0	 
110001	1	1	50	8000	0	 
110001	2	2	50	8000	0	 
110002	1	1	12	1000	0	 
110002	2	2	12	800	0	 
110003	1	2	45	6000	5	386
110003	2	3	45	5600	5	386
110004	1	3	54	4934	34	2380
110004	2	6	58	4390	38	2462
110007	1	4	30	3600	50	6000
110007	2	5	40	4000	60	6000
110007	3	2	30	3000	40	4800
110007	4	3	20	2000	30	3000
110008	1	6	30	4431	13	1687
110011	1	1	30	3960	20	3700
110011	2	2	30	3600	20	2000
110012	1	3	19	2256	4	459
110012	2	4	23	2917	8	866
110013	1	2	42	4400	24	2600
110013	2	4	42	4400	24	2500
110013	3	5	42	4300	24	2500
110013	4	3	35	3600	20	2100
110014	1	4	48	8000	0	 
110014	2	5	48	5760	0	 
110014	3	6	48	7200	0	 
110014	4	7	48	5760	0	 
110015	1	1	24	3664	18	2111
110015	3	2	42	5082	0	 
110016	1	1	25	2586	0	 
110016	2	2	25	2438	0	 
110017	1	1	12	2000	0	 
110017	2	2	12	2214	0	 
110017	3	3	12	1995	0	 
110018	1	4	30	4901	0	 
110018	2	3	36	5576	0	 
110018	3	6	12	1350	0	 
110019	1	2	48	7920	0	 
110019	2	3	54	6893	0	 
110020	1	5	43	3800	15	1800
110020	2	6	45	4128	0	 
110021	1	2	12	1699	60	10703
110021	2	4	12	1324	54	8271
110022	1	1	38	4103	11	1365
110022	2	2	38	4103	11	1365
110023	1	5	22	1760	0	 
110023	2	6	22	1760	0	 
110024	1	4	30	3600	0	 
110024	2	5	50	6000	0	 
110025	1	3	12	2484	18	2133
110025	2	4	12	1820	18	2037
110027	1	5	21	2100	0	 
110028	1	3	45	5432	30	3458
110028	2	4	45	4964	30	3218
110029	1	2	34	4163	8	1041
110029	2	3	34	4163	8	1041
110030	1	1	13	1326	20	2328
110030	2	2	13	1326	20	2244
110031	1	3	36	5910	0	 
110031	2	4	18	2630	0	 
110033	1	1	33	6199	0	 
110033	2	2	31	5276	0	 
110034	1	1	24	4665	0	 
110034	2	2	18	3217	6	357
110034	3	3	24	3323	0	 
110036	1	1	24	1986	0	 
110036	2	2	23	1864	0	 
110037	1	2	6	650	35	3650
110037	2	3	4	320	35	3600
110037	3	4	6	5700	35	3650
110037	4	5	6	480	32	3450
110038	1	1	20	2421	6	734
110038	2	2	20	2320	6	702
110039	1	6	30	1570	8	700
110039	2	7	30	1500	8	640
110040	1	5	32	4368	6	746
110040	2	7	30	4013	6	746
110041	1	5	0	 	24	2388
110041	2	6	0	 	24	2255
110042	1	2	10	1265	0	 
110042	2	11	12	1927	9	1320
110042	3	5	6	2825	25	2825
110042	4	4	11	1265	0	 
110043	1	2	20	2400	25	3000
110043	2	3	0	 	0	 
110044	1	6	24	2738	0	 
110044	2	0	24	2280	0	 
110046	1	1	24	2617	9	876
110046	2	2	36	4016	9	853
110047	1	3	24	2082	18	1887
110047	2	4	24	2026	18	1993
110047	3	5	6	587	0	 
110048	1	4	42	2403	49	5069
110048	2	5	42	3201	49	3935
110052	1	2	18	2367	0	 
110052	2	3	18	2255	0	 
