PLACEID	SCPRIDR4	PRBLCTLY	OTHSOCSP
51	13	0	 
51	14	0	 
52	1	0	 
52	2	1	 
52	3	0	 
52	4	0	 
52	5	0	 
52	6	0	 
52	7	0	 
52	8	1	 
52	9	0	 
52	10	0	 
52	12	1	 
52	13	1	 
52	14	0	 
53	1	1	 
53	2	1	 
53	3	0	 
53	4	0	 
53	5	0	 
53	6	0	 
53	7	0	 
53	8	0	 
53	9	1	 
53	10	0	 
53	12	0	 
53	13	0	 
53	14	0	 
54	1	1	 
54	2	1	 
54	3	0	 
54	4	0	 
54	5	0	 
54	6	0	 
54	7	0	 
54	8	1	 
54	9	1	 
54	10	0	 
54	12	1	 
54	13	1	 
54	14	0	 
55	1	0	 
55	2	0	 
55	3	1	 
55	4	0	 
55	5	0	 
55	6	0	 
55	7	0	 
55	8	0	 
55	9	1	 
55	10	0	 
55	12	0	 
55	13	0	 
55	14	0	 
56	1	0	 
56	2	0	 
56	3	0	 
56	4	0	 
56	5	0	 
56	6	0	 
56	7	0	 
56	8	0	 
56	9	0	 
56	10	0	 
56	12	0	 
56	13	0	 
56	14	0	 
57	1	0	 
57	2	0	 
57	3	0	 
57	4	0	 
57	5	0	 
57	6	1	 
57	7	1	 
57	8	0	 
57	9	0	 
57	10	0	 
57	12	0	 
57	13	0	 
57	14	0	 
58	1	0	 
58	2	0	 
58	3	0	 
58	4	0	 
58	5	0	 
58	6	0	 
58	7	0	 
58	8	0	 
58	9	0	 
58	10	0	 
58	12	0	 
58	13	0	 
58	14	0	 
59	1	1	 
59	2	1	 
59	3	1	 
59	4	1	 
59	5	1	 
59	6	1	 
59	7	1	 
59	8	1	 
59	9	0	 
59	10	0	 
59	12	1	 
59	13	0	 
59	14	0	 
60	1	0	 
60	2	0	 
60	3	0	 
60	4	0	 
60	5	0	 
60	6	0	 
60	7	0	 
60	8	0	 
60	9	0	 
60	10	0	 
60	12	0	 
60	13	0	 
60	14	0	 
61	1	0	 
61	2	0	 
61	3	0	 
61	4	0	 
61	5	0	 
61	6	0	 
61	7	0	 
61	8	0	 
61	9	0	 
61	10	0	 
61	12	0	 
61	13	0	 
61	14	0	 
62	1	1	 
62	2	1	 
62	3	1	 
62	4	1	 
62	5	1	 
62	6	0	 
62	7	0	 
62	8	1	 
62	9	0	 
62	10	0	 
62	12	1	 
62	13	0	 
62	14	0	 
63	1	1	 
63	2	1	 
63	3	1	 
63	4	1	 
63	5	1	 
63	6	0	 
63	7	0	 
63	8	1	 
63	9	0	 
63	10	0	 
63	12	1	 
63	13	0	 
63	14	0	 
64	1	1	 
64	2	1	 
64	3	0	 
64	4	0	 
64	5	0	 
64	6	1	 
64	7	1	 
64	8	1	 
64	9	1	 
64	10	0	 
64	12	1	 
64	13	0	 
64	14	1	 
65	1	1	 
65	2	1	 
65	3	0	 
65	4	0	 
65	5	0	 
65	6	0	 
65	7	0	 
65	8	1	 
65	9	1	 
65	10	0	 
65	12	1	 
65	13	0	 
65	14	0	 
66	1	0	 
66	2	1	 
66	3	0	 
66	4	0	 
66	5	0	 
66	6	0	 
66	7	0	 
66	8	0	 
66	9	0	 
66	10	0	 
66	12	0	 
66	13	0	 
66	14	0	 
67	1	1	 
67	2	1	 
67	3	1	 
67	4	1	 
67	5	0	 
67	6	0	 
67	7	0	 
67	8	1	 
67	9	1	 
67	10	0	 
67	12	1	 
67	13	1	 
67	14	1	 
68	1	1	 
68	2	0	 
68	3	1	 
68	4	0	 
68	5	0	 
68	6	0	 
68	7	1	 
68	8	1	 
68	9	1	 
68	10	0	 
68	12	1	 
68	13	1	 
68	14	1	 
69	1	1	 
69	2	0	 
69	3	1	 
69	4	1	 
69	5	0	 
69	6	1	 
69	7	1	 
69	8	1	 
69	9	0	 
69	10	0	 
69	12	1	 
69	13	0	 
69	14	1	 
70	1	1	 
70	2	1	 
70	3	1	 
70	4	0	 
70	5	0	 
70	6	0	 
70	7	0	 
70	8	1	 
70	9	1	 
70	10	0	 
70	12	1	 
70	13	0	 
70	14	1	 
71	1	1	 
71	2	1	 
71	3	1	 
71	4	0	 
71	5	0	 
71	6	0	 
71	7	1	 
71	8	1	 
71	9	1	 
71	10	0	 
71	12	1	 
71	13	0	 
71	14	1	 
72	1	1	 
72	2	1	 
72	3	1	 
72	4	0	 
72	5	0	 
72	6	1	 
72	7	1	 
72	8	1	 
72	9	0	 
72	10	0	 
72	12	1	 
72	13	0	 
72	14	0	 
73	1	0	 
73	2	0	 
73	3	0	 
73	4	0	 
73	5	0	 
73	6	0	 
73	7	0	 
73	8	1	 
73	9	0	 
73	10	0	 
73	12	1	 
73	13	0	 
73	14	1	 
75	1	1	 
75	2	1	 
75	3	1	 
75	4	0	 
75	5	0	 
75	6	1	 
75	7	1	 
75	8	1	 
75	9	0	 
75	10	0	 
75	12	1	 
75	13	0	 
75	14	1	 
76	1	0	 
76	2	0	 
76	3	1	 
76	4	0	 
76	5	0	 
76	6	0	 
76	7	0	 
76	8	1	 
76	9	0	 
76	10	0	 
76	12	0	 
76	13	0	 
76	14	0	 
77	1	1	 
77	2	1	 
77	3	0	 
77	4	0	 
77	5	0	 
77	6	0	 
77	7	0	 
77	8	1	 
77	9	1	 
77	10	0	 
77	12	0	 
77	13	1	 
77	14	0	 
78	1	0	 
78	2	0	 
78	3	0	 
78	4	0	 
78	5	0	 
78	6	0	 
78	7	0	 
78	8	1	 
78	9	0	 
78	10	0	 
78	12	0	 
78	13	0	 
78	14	0	 
79	1	1	 
79	2	1	 
79	3	1	 
79	4	1	 
79	5	0	 
79	6	0	 
79	7	1	 
79	8	1	 
79	9	1	 
79	10	0	 
79	12	1	 
79	13	0	 
79	14	1	 
80	1	1	 
80	2	0	 
80	3	1	 
80	4	1	 
80	5	0	 
80	6	0	 
80	7	0	 
80	8	1	 
80	9	0	 
80	10	0	 
80	12	1	 
80	13	0	 
80	14	1	 
82	1	1	 
82	2	1	 
82	3	0	 
82	4	0	 
82	5	0	 
82	6	0	 
82	7	0	 
82	8	1	 
82	9	1	 
82	10	0	 
82	12	1	 
82	13	0	 
82	14	0	 
83	1	1	 
83	2	0	 
83	3	0	 
83	4	0	 
83	5	0	 
83	6	0	 
83	7	0	 
83	8	1	 
83	9	0	 
83	10	0	 
83	12	1	 
83	13	0	 
83	14	0	 
84	1	0	 
84	2	0	 
84	3	0	 
84	4	1	 
84	5	0	 
84	6	0	 
84	7	0	 
84	8	1	 
84	9	0	 
84	10	0	 
84	12	1	 
84	13	0	 
84	14	0	 
85	1	1	 
85	2	0	 
85	3	0	 
85	4	1	 
85	5	0	 
85	6	0	 
85	7	0	 
85	8	1	 
85	9	1	 
85	10	0	 
85	12	1	 
85	13	0	 
85	14	0	 
86	1	1	 
86	2	0	 
86	3	0	 
86	4	0	 
86	5	0	 
86	6	0	 
86	7	0	 
86	8	0	 
86	9	0	 
86	10	0	 
86	12	1	 
86	13	0	 
86	14	0	 
87	1	0	 
87	2	1	 
87	3	0	 
87	4	0	 
87	5	0	 
87	6	1	 
87	7	0	 
87	8	0	 
87	9	0	 
87	10	0	 
87	12	0	 
87	13	0	 
87	14	0	 
88	1	1	 
88	2	0	 
88	3	0	 
88	4	1	 
88	5	0	 
88	6	0	 
88	7	0	 
88	8	1	 
88	9	1	 
88	10	0	 
88	12	1	 
88	13	0	 
88	14	0	 
89	1	1	 
89	2	0	 
89	3	1	 
89	4	0	 
89	5	0	 
89	6	1	 
89	7	1	 
89	8	1	 
89	9	1	 
89	10	0	 
89	12	1	 
89	13	0	 
89	14	1	 
90	1	1	 
90	2	1	 
90	3	0	 
90	4	0	 
90	5	0	 
90	6	0	 
90	7	0	 
90	8	1	 
90	9	0	 
90	10	0	 
90	12	1	 
90	13	0	 
90	14	1	 
91	1	0	 
91	2	0	 
91	3	0	 
91	4	0	 
91	5	0	 
91	6	0	 
91	7	0	 
91	8	0	 
91	9	1	 
91	10	0	 
91	12	0	 
91	13	1	 
91	14	0	 
92	1	1	 
92	2	1	 
92	3	1	 
92	4	1	 
92	5	1	 
92	6	1	 
92	7	1	 
92	8	1	 
92	9	1	 
92	10	0	 
92	12	1	 
92	13	0	 
92	14	0	 
93	1	1	 
93	2	1	 
93	3	1	 
93	4	0	 
93	5	0	 
93	6	1	 
93	7	1	 
93	8	0	 
93	9	0	 
93	10	0	 
93	12	1	 
93	13	0	 
93	14	1	 
94	1	1	 
94	2	1	 
94	3	0	 
94	4	1	 
94	5	0	 
94	6	0	 
94	7	0	 
94	8	1	 
94	9	1	 
94	10	0	 
94	12	0	 
94	13	0	 
94	14	0	 
95	1	1	 
95	2	1	 
95	3	1	 
95	4	1	 
95	5	1	 
95	6	1	 
95	7	1	 
95	8	1	 
95	9	1	 
95	10	0	 
95	12	1	 
95	13	0	 
95	14	1	 
96	1	1	 
96	2	1	 
96	3	0	 
96	4	1	 
96	5	0	 
96	6	0	 
96	7	0	 
96	8	1	 
96	9	0	 
96	10	0	 
96	12	1	 
96	13	0	 
96	14	0	 
97	1	0	 
97	2	1	 
97	3	1	 
97	4	0	 
97	5	0	 
97	6	0	 
97	7	0	 
97	8	1	 
97	9	0	 
97	10	0	 
97	12	1	 
97	13	0	 
97	14	0	 
98	1	0	 
98	2	0	 
98	3	0	 
98	4	0	 
98	5	0	 
98	6	0	 
98	7	0	 
98	8	0	 
98	9	0	 
98	10	0	 
98	12	0	 
98	13	0	 
98	14	0	 
99	1	1	 
99	2	0	 
99	3	1	 
99	4	1	 
99	5	0	 
99	6	1	 
99	7	1	 
99	8	1	 
99	9	1	 
99	10	0	 
99	12	1	 
99	13	0	 
99	14	0	 
100	1	0	 
100	2	0	 
100	3	0	 
100	4	0	 
100	5	0	 
100	6	0	 
100	7	0	 
100	8	0	 
100	9	0	 
100	10	0	 
100	12	0	 
100	13	0	 
100	14	0	 
101	1	0	 
101	2	0	 
101	3	0	 
101	4	0	 
101	5	0	 
101	6	0	 
101	7	0	 
101	8	0	 
101	9	0	 
101	10	0	 
101	12	0	 
101	13	0	 
101	14	0	 
102	1	1	 
102	2	1	 
102	3	0	 
102	4	0	 
102	5	0	 
102	6	0	 
102	7	0	 
102	8	1	 
102	9	0	 
102	10	0	 
102	12	0	 
102	13	0	 
102	14	0	 
103	1	1	 
103	2	1	 
103	3	0	 
103	4	0	 
103	5	0	 
103	6	0	 
103	7	0	 
103	8	1	 
103	9	0	 
103	10	0	 
103	12	0	 
103	13	0	 
103	14	0	 
104	1	1	 
104	2	1	 
104	3	0	 
104	4	0	 
104	5	0	 
104	6	0	 
104	7	0	 
104	8	1	 
104	9	0	 
104	10	0	 
104	12	0	 
104	13	0	 
104	14	0	 
105	1	1	 
105	2	1	 
105	3	0	 
105	4	0	 
105	5	0	 
105	6	0	 
105	7	0	 
105	8	1	 
105	9	1	 
105	10	0	 
105	12	1	 
105	13	0	 
105	14	1	 
106	1	1	 
106	2	1	 
106	3	0	 
106	4	0	 
106	5	0	 
106	6	0	 
106	7	0	 
106	8	1	 
106	9	1	 
106	10	0	 
106	12	1	 
106	13	0	 
106	14	1	 
107	1	1	 
107	2	1	 
107	3	0	 
107	4	0	 
107	5	0	 
107	6	0	 
107	7	0	 
107	8	0	 
107	9	0	 
107	10	0	 
107	12	0	 
107	13	0	 
107	14	0	 
108	1	1	 
108	2	1	 
108	3	0	 
108	4	1	 
108	5	0	 
108	6	0	 
108	7	0	 
108	8	1	 
108	9	0	 
108	10	0	 
108	12	0	 
108	13	1	 
108	14	0	 
109	1	1	 
109	2	1	 
109	3	0	 
109	4	0	 
109	5	0	 
109	6	0	 
109	7	1	 
109	8	0	 
109	9	0	 
109	10	0	 
109	12	0	 
109	13	1	 
109	14	0	 
110	1	1	 
110	2	1	 
110	3	0	 
110	4	0	 
110	5	0	 
110	6	0	 
110	7	0	 
110	8	0	 
110	9	0	 
110	10	0	 
110	12	0	 
110	13	1	 
110	14	0	 
111	1	1	 
111	2	1	 
111	3	1	 
111	4	1	 
111	5	1	 
111	6	1	 
111	7	1	 
111	8	1	 
111	9	1	 
111	10	0	 
111	12	1	 
111	13	0	 
111	14	0	 
