PLACEID	SERVIDR4	AVLOC	SRVRT
14	32	1	3
14	33	0	 
14	34	0	 
14	35	1	3
14	36	0	 
14	37	1	3
14	38	0	 
14	39	0	 
14	40	0	 
14	41	0	 
14	42	0	 
14	43	0	 
14	44	0	 
14	45	0	 
14	46	0	 
14	47	0	 
14	48	0	 
14	49	0	 
14	50	1	2
14	51	0	 
14	52	0	 
14	53	0	 
15	10	0	 
15	12	0	 
15	13	0	 
15	14	1	2
15	15	1	2
15	19	0	 
15	20	0	 
15	26	1	2
15	30	0	 
15	32	0	 
15	33	0	 
15	34	0	 
15	35	0	 
15	36	0	 
15	37	1	3
15	38	0	 
15	39	0	 
15	40	0	 
15	41	0	 
15	42	0	 
15	43	0	 
15	44	0	 
15	45	0	 
15	46	0	 
15	47	0	 
15	48	0	 
15	49	0	 
15	50	1	2
15	51	0	 
15	52	0	 
15	53	0	 
16	10	1	2
16	12	0	 
16	13	1	1
16	14	1	1
16	15	0	 
16	19	0	 
16	20	0	 
16	26	0	 
16	30	0	 
16	32	0	 
16	33	0	 
16	34	0	 
16	35	0	 
16	36	0	 
16	37	1	3
16	38	0	 
16	39	1	3
16	40	0	 
16	41	0	 
16	42	0	 
16	43	0	 
16	44	0	 
16	45	0	 
16	46	0	 
16	47	0	 
16	48	0	 
16	49	0	 
16	50	1	3
16	51	0	 
16	52	0	 
16	53	0	 
17	10	1	2
17	12	0	 
17	13	1	2
17	14	1	2
17	15	0	 
17	19	0	 
17	20	0	 
17	26	1	1
17	30	0	 
17	32	0	 
17	33	0	 
17	34	0	 
17	35	0	 
17	36	1	3
17	37	1	3
17	38	0	 
17	39	1	3
17	40	0	 
17	41	1	2
17	42	0	 
17	43	0	 
17	44	0	 
17	45	0	 
17	46	0	 
17	47	0	 
17	48	1	2
17	49	1	2
17	50	1	1
17	51	1	1
17	52	0	 
17	53	0	 
18	10	1	3
18	12	1	2
18	13	1	2
18	14	1	2
18	15	1	3
18	19	1	3
18	20	1	3
18	26	1	2
18	30	1	2
18	32	1	3
18	33	1	3
18	34	1	2
18	35	1	2
18	36	1	2
18	37	1	3
18	38	1	3
18	39	1	3
18	40	0	 
18	41	1	3
18	42	1	3
18	43	0	 
18	44	1	3
18	45	0	 
18	46	1	2
18	47	0	 
18	48	1	2
18	49	0	 
18	50	0	 
18	51	1	3
18	52	0	 
18	53	1	2
19	10	1	2
19	12	1	2
19	13	1	2
19	14	1	3
19	15	1	3
19	19	1	3
19	20	1	3
19	26	1	2
19	30	1	2
19	32	1	3
19	33	1	3
19	34	0	 
19	35	1	3
19	36	1	3
19	37	1	3
19	38	1	3
19	39	1	3
19	40	0	 
19	41	1	3
19	42	0	 
19	43	0	 
19	44	0	 
19	45	0	 
19	46	0	 
19	47	0	 
19	48	1	3
19	49	0	 
19	50	1	3
19	51	1	3
19	52	0	 
19	53	1	2
20	10	1	1
20	12	1	2
20	13	1	3
20	14	1	3
20	15	1	2
20	19	1	3
20	20	1	3
20	26	1	2
20	30	1	2
20	32	1	3
20	33	1	3
20	34	0	 
20	35	1	3
20	36	0	 
20	37	1	3
20	38	1	3
20	39	1	3
20	40	0	 
20	41	1	2
20	42	0	 
20	43	0	 
20	44	0	 
20	45	0	 
20	46	0	 
20	47	0	 
20	48	1	3
20	49	0	 
20	50	1	3
20	51	1	2
20	52	0	 
20	53	1	3
21	10	1	1
21	12	1	2
21	13	1	2
21	14	1	1
21	15	0	 
21	19	1	3
21	20	1	3
21	26	1	2
21	30	1	2
21	32	0	 
21	33	1	3
21	34	1	2
21	35	1	2
21	36	1	3
21	37	1	3
21	38	1	3
21	39	1	3
21	40	0	 
21	41	1	3
21	42	1	2
21	43	1	3
21	44	1	3
21	45	1	2
21	46	1	2
21	47	0	 
21	48	1	3
21	49	0	 
21	50	1	3
21	51	1	2
21	52	0	 
21	53	1	3
22	10	0	 
22	12	0	 
22	13	1	1
22	14	1	3
22	15	0	 
22	19	0	 
22	20	0	 
22	26	1	2
22	30	1	1
22	32	0	 
22	33	0	 
22	34	0	 
22	35	0	 
22	36	0	 
22	37	1	3
22	38	0	 
22	39	0	 
22	40	0	 
22	41	0	 
22	42	0	 
22	43	0	 
22	44	0	 
22	45	0	 
22	46	0	 
22	47	0	 
22	48	0	 
22	49	0	 
22	50	1	2
22	51	0	 
22	52	0	 
22	53	0	 
23	10	1	3
23	12	0	 
23	13	1	2
23	14	1	3
23	15	1	1
23	19	1	3
23	20	1	3
23	26	1	2
23	30	1	1
23	32	1	2
23	33	0	 
23	34	0	 
23	35	1	2
23	36	1	2
23	37	1	3
23	38	1	3
23	39	1	3
23	40	0	 
23	41	1	3
23	42	0	 
23	43	0	 
23	44	0	 
23	45	0	 
23	46	0	 
23	47	0	 
23	48	1	1
23	49	0	 
23	50	0	 
23	51	1	3
23	52	0	 
23	53	1	2
24	10	1	1
24	12	0	 
24	13	1	3
24	14	1	3
24	15	1	1
24	19	1	3
24	20	1	3
24	26	1	3
24	30	1	3
24	32	1	2
24	33	1	3
24	34	1	2
24	35	1	2
24	36	1	2
24	37	1	2
24	38	1	2
24	39	1	2
24	40	1	2
24	41	1	2
24	42	0	 
24	43	0	 
24	44	1	2
24	45	0	 
24	46	0	 
24	47	1	2
24	48	1	2
24	49	1	2
24	50	0	 
24	51	1	2
24	52	0	 
24	53	1	2
25	10	1	2
25	12	0	 
25	13	1	1
25	14	1	2
25	15	1	1
25	19	1	3
25	20	1	3
25	26	1	2
25	30	1	1
25	32	0	 
25	33	0	 
25	34	1	2
25	35	1	2
25	36	1	3
25	37	1	3
25	38	1	2
25	39	1	3
25	40	0	 
25	41	0	 
25	42	0	 
25	43	1	3
25	44	1	3
25	45	0	 
25	46	1	3
25	47	0	 
25	48	1	3
25	49	0	 
25	50	0	 
25	51	1	3
25	52	0	 
25	53	1	3
26	10	1	2
26	12	1	1
26	13	1	3
26	14	1	3
26	15	1	1
26	19	1	2
26	20	0	 
26	26	1	3
26	30	1	1
26	32	1	1
26	33	1	3
26	34	1	1
26	35	1	3
26	36	1	3
26	37	1	3
26	38	1	3
26	39	0	 
26	40	1	3
26	41	0	 
26	42	0	 
26	43	0	 
26	44	0	 
26	45	0	 
26	46	0	 
26	47	0	 
26	48	1	3
26	49	0	 
26	50	0	 
26	51	1	3
26	52	0	 
26	53	1	3
27	10	1	2
27	12	1	3
27	13	1	2
27	14	1	1
27	15	1	1
27	19	1	3
27	20	0	 
27	26	1	2
27	30	1	3
27	32	0	 
27	33	1	3
27	34	1	2
27	35	1	3
27	36	1	3
27	37	0	 
27	38	1	3
27	39	0	 
27	40	0	 
27	41	0	 
27	42	0	 
27	43	0	 
27	44	0	 
27	45	0	 
27	46	0	 
27	47	0	 
27	48	1	3
27	49	0	 
27	50	1	2
27	51	1	3
27	52	0	 
27	53	1	2
28	10	1	2
28	12	0	 
28	13	1	1
28	14	1	2
28	15	1	3
28	19	1	3
28	20	0	 
28	26	1	2
28	30	1	2
28	32	1	2
28	33	1	2
28	34	1	2
28	35	1	3
28	36	1	3
28	37	1	2
28	38	1	2
28	39	1	2
28	40	0	 
28	41	1	2
28	42	0	 
28	43	0	 
28	44	1	2
28	45	0	 
28	46	0	 
28	47	0	 
28	48	1	2
28	49	0	 
28	50	1	2
28	51	1	2
28	52	0	 
28	53	1	2
29	10	1	2
29	12	0	 
29	13	1	3
29	14	1	3
29	15	1	2
29	19	1	3
29	20	1	3
29	26	1	2
29	30	1	1
29	32	0	 
29	33	0	 
29	34	1	2
29	35	1	2
29	36	1	2
29	37	1	3
29	38	1	2
29	39	1	2
29	40	1	2
29	41	1	2
29	42	0	 
29	43	1	3
29	44	1	2
29	45	1	3
29	46	1	3
29	47	1	2
29	48	1	2
29	49	1	2
29	50	1	2
29	51	1	2
29	52	1	2
29	53	1	2
30	10	0	 
30	12	0	 
30	13	1	2
30	14	1	2
30	15	0	 
30	19	0	 
30	20	0	 
30	26	1	1
30	30	0	 
30	32	0	 
30	33	0	 
30	34	1	1
30	35	1	2
30	36	0	 
30	37	1	3
30	38	0	 
30	39	0	 
30	40	0	 
30	41	0	 
30	42	0	 
30	43	0	 
30	44	0	 
30	45	0	 
30	46	0	 
30	47	0	 
30	48	1	3
30	49	0	 
30	50	0	 
30	51	0	 
30	52	0	 
30	53	1	1
31	10	0	 
31	12	0	 
31	13	1	2
31	14	1	2
31	15	0	 
31	19	1	2
31	20	1	2
31	26	1	1
31	30	1	2
31	32	1	3
31	33	1	3
31	34	1	3
31	35	1	3
31	36	1	3
31	37	1	2
31	38	1	3
31	39	1	3
31	40	0	 
31	41	0	 
31	42	0	 
31	43	1	3
31	44	1	2
31	45	0	 
31	46	1	2
31	47	0	 
31	48	1	2
31	49	0	 
31	50	1	2
31	51	1	2
31	52	1	2
31	53	1	3
32	10	1	2
32	12	0	 
32	13	1	3
32	14	1	2
32	15	0	 
32	19	1	3
32	20	1	3
32	26	1	3
32	30	1	2
32	32	0	 
32	33	1	3
32	34	1	3
32	35	1	3
32	36	1	3
32	37	1	3
32	38	1	3
32	39	1	3
32	40	1	3
32	41	1	3
32	42	0	 
32	43	1	3
32	44	1	2
32	45	1	3
32	46	1	2
32	47	0	 
32	48	1	3
32	49	0	 
32	50	1	3
32	51	1	3
32	52	1	3
32	53	1	3
33	10	0	 
33	12	0	 
33	13	1	2
33	14	1	1
33	15	0	 
33	19	0	 
33	20	0	 
33	26	1	3
33	30	1	2
33	32	1	3
33	33	1	3
33	34	0	 
33	35	0	 
33	36	0	 
33	37	1	3
33	38	0	 
33	39	1	2
33	40	0	 
33	41	0	 
33	42	0	 
33	43	0	 
33	44	0	 
33	45	0	 
33	46	0	 
33	47	0	 
33	48	1	2
33	49	0	 
33	50	1	2
33	51	0	 
33	52	0	 
33	53	0	 
34	10	0	 
34	12	0	 
34	13	0	 
34	14	1	2
34	15	0	 
34	19	0	 
34	20	0	 
34	26	1	2
34	30	0	 
34	32	1	2
34	33	1	3
34	34	0	 
34	35	0	 
34	36	0	 
34	37	1	2
34	38	0	 
34	39	0	 
34	40	0	 
34	41	0	 
34	42	0	 
34	43	0	 
34	44	0	 
34	45	0	 
34	46	0	 
34	47	0	 
34	48	0	 
34	49	0	 
34	50	1	1
34	51	0	 
34	52	0	 
34	53	0	 
35	10	1	1
35	12	0	 
35	13	1	2
35	14	1	3
35	15	0	 
35	19	0	 
35	20	0	 
35	26	1	3
35	30	0	 
35	32	1	3
35	33	1	3
35	34	1	1
35	35	0	 
35	36	0	 
35	37	1	2
35	38	0	 
35	39	0	 
35	40	0	 
35	41	0	 
35	42	0	 
35	43	0	 
35	44	0	 
35	45	0	 
35	46	0	 
35	47	0	 
35	48	0	 
35	49	0	 
35	50	1	2
35	51	0	 
35	52	0	 
35	53	0	 
36	10	1	2
36	12	0	 
36	13	1	2
36	14	1	1
36	15	0	 
36	19	0	 
36	20	0	 
36	26	1	3
36	30	1	2
36	32	1	3
36	33	1	3
36	34	1	2
36	35	0	 
36	36	0	 
36	37	1	2
36	38	0	 
36	39	0	 
36	40	0	 
36	41	0	 
36	42	0	 
36	43	0	 
36	44	0	 
36	45	0	 
36	46	0	 
36	47	0	 
36	48	0	 
36	49	0	 
36	50	1	2
36	51	0	 
36	52	0	 
36	53	0	 
37	10	1	2
37	12	1	2
37	13	1	3
37	14	1	3
37	15	1	1
37	19	1	3
37	20	0	 
37	26	1	3
37	30	1	2
37	32	1	3
37	33	1	3
37	34	1	3
37	35	1	2
37	36	1	3
37	37	1	3
37	38	1	3
37	39	1	1
37	40	1	2
37	41	1	2
37	42	1	3
37	43	1	77
37	44	1	2
37	45	0	 
37	46	1	2
37	47	0	 
37	48	1	2
37	49	1	3
37	50	1	3
37	51	1	2
37	52	1	3
37	53	1	3
38	10	1	1
38	12	0	 
38	13	1	3
38	14	1	3
38	15	1	2
38	19	1	2
38	20	1	3
38	26	1	3
38	30	1	3
38	32	1	2
38	33	1	3
38	34	1	3
38	35	1	3
38	36	1	3
38	37	1	3
38	38	1	3
38	39	1	3
38	40	1	3
38	41	1	3
38	42	1	2
38	43	1	3
38	44	1	3
38	45	1	3
38	46	1	3
38	47	1	2
38	48	1	3
38	49	0	 
38	50	0	 
38	51	1	2
38	52	1	3
38	53	1	2
39	10	1	3
39	12	0	 
39	13	1	2
39	14	1	2
39	15	0	 
39	19	1	2
39	20	0	 
39	26	1	2
39	30	1	2
39	32	0	 
39	33	1	2
39	34	1	2
39	35	1	2
39	36	1	2
39	37	1	3
39	38	1	2
39	39	1	2
39	40	0	 
39	41	0	 
39	42	0	 
39	43	0	 
39	44	0	 
39	45	0	 
39	46	1	3
39	47	0	 
39	48	1	1
39	49	0	 
39	50	1	1
39	51	0	 
39	52	1	1
39	53	1	1
40	10	0	 
40	12	0	 
40	13	0	 
40	14	0	 
40	15	0	 
40	19	0	 
40	20	0	 
40	26	1	1
40	30	0	 
40	32	0	 
40	33	0	 
40	34	0	 
40	35	0	 
40	36	0	 
40	37	1	3
40	38	0	 
40	39	0	 
40	40	0	 
40	41	0	 
40	42	0	 
40	43	0	 
40	44	0	 
40	45	0	 
40	46	0	 
40	47	0	 
40	48	0	 
40	49	0	 
40	50	1	1
40	51	0	 
40	52	0	 
40	53	0	 
41	10	1	3
41	12	0	 
41	13	1	2
41	14	1	2
41	15	1	2
41	19	1	3
41	20	1	3
41	26	1	3
41	30	1	2
41	32	1	2
41	33	1	2
41	34	1	2
41	35	1	2
41	36	1	3
41	37	1	3
41	38	1	2
41	39	1	3
41	40	1	3
41	41	1	2
41	42	1	2
41	43	1	2
41	44	1	2
41	45	0	 
41	46	1	2
41	47	1	2
41	48	1	3
41	49	1	2
41	50	1	2
41	51	1	2
41	52	1	2
41	53	1	2
42	10	1	2
42	12	0	 
42	13	1	2
42	14	1	1
42	15	1	2
42	19	1	2
42	20	0	 
42	26	1	1
42	30	1	2
42	32	1	2
42	33	0	 
42	34	1	2
42	35	1	2
42	36	0	 
42	37	1	3
42	38	0	 
42	39	0	 
42	40	0	 
42	41	0	 
42	42	0	 
42	43	0	 
42	44	0	 
42	45	0	 
42	46	0	 
42	47	0	 
42	48	1	1
42	49	0	 
42	50	1	2
42	51	0	 
42	52	0	 
42	53	1	2
43	10	0	 
43	12	0	 
43	13	0	 
43	14	0	 
43	15	0	 
43	19	0	 
43	20	0	 
43	26	1	2
43	30	0	 
43	32	0	 
43	33	0	 
43	34	0	 
43	35	0	 
43	36	0	 
43	37	1	3
43	38	0	 
43	39	0	 
43	40	0	 
43	41	0	 
43	42	0	 
43	43	0	 
43	44	0	 
43	45	0	 
43	46	0	 
43	47	0	 
43	48	0	 
43	49	0	 
43	50	1	3
43	51	0	 
43	52	0	 
43	53	0	 
44	10	1	3
44	12	1	3
44	13	1	3
44	14	1	3
44	15	0	 
44	19	1	3
44	20	0	 
44	26	1	3
44	30	1	3
44	32	1	3
44	33	1	3
44	34	1	3
44	35	1	3
44	36	1	3
44	37	1	3
44	38	1	3
44	39	1	3
44	40	1	3
44	41	1	3
44	42	0	 
44	43	1	3
44	44	1	3
44	45	1	3
44	46	1	3
44	47	1	3
44	48	1	3
44	49	0	 
44	50	1	2
44	51	1	3
44	52	1	3
44	53	1	3
45	10	0	 
45	12	0	 
45	13	1	2
45	14	1	3
45	15	0	 
45	19	1	3
45	20	0	 
45	26	1	3
45	30	1	1
45	32	0	 
45	33	0	 
45	34	0	 
45	35	1	2
45	36	1	2
45	37	1	3
45	38	0	 
45	39	1	3
45	40	0	 
45	41	1	2
45	42	0	 
45	43	1	2
45	44	0	 
45	45	0	 
45	46	0	 
45	47	0	 
45	48	1	3
45	49	0	 
45	50	0	 
45	51	1	2
45	52	0	 
45	53	1	3
46	10	1	3
46	12	1	3
46	13	1	3
46	14	1	2
46	15	1	2
46	19	1	3
46	20	1	3
46	26	1	3
46	30	1	3
46	32	1	2
46	33	1	2
46	34	0	 
46	35	1	2
46	36	1	3
46	37	1	3
46	38	1	3
46	39	1	3
46	40	1	3
46	41	1	3
46	42	1	2
46	43	1	3
46	44	1	3
46	45	0	 
46	46	1	3
46	47	0	 
46	48	1	3
46	49	0	 
46	50	0	 
46	51	1	3
46	52	0	 
46	53	1	3
47	10	1	3
47	12	1	2
47	13	1	3
47	14	1	2
47	15	1	3
47	19	1	3
47	20	1	3
47	26	1	3
47	30	1	2
47	32	1	3
47	33	1	2
47	34	0	 
47	35	1	2
47	36	1	3
47	37	1	3
47	38	1	2
47	39	1	2
47	40	0	 
47	41	1	3
47	42	1	2
47	43	0	 
47	44	1	3
47	45	0	 
47	46	0	 
47	47	0	 
47	48	1	3
47	49	0	 
47	50	1	3
47	51	1	2
47	52	0	 
47	53	1	3
48	10	0	 
48	12	0	 
48	13	1	2
48	14	0	 
48	15	0	 
48	19	0	 
48	20	0	 
48	26	1	2
48	30	0	 
48	32	0	 
48	33	0	 
48	34	0	 
48	35	1	3
48	36	0	 
48	37	1	2
48	38	0	 
48	39	1	2
48	40	0	 
48	41	0	 
48	42	0	 
48	43	0	 
48	44	0	 
48	45	0	 
48	46	0	 
48	47	0	 
48	48	0	 
48	49	0	 
48	50	1	3
48	51	0	 
48	52	0	 
48	53	0	 
49	10	0	 
49	12	0	 
49	13	0	 
49	14	1	2
49	15	0	 
49	19	0	 
49	20	0	 
49	26	1	2
49	30	0	 
49	32	1	2
49	33	0	 
49	34	0	 
49	35	1	2
49	36	0	 
49	37	1	2
49	38	0	 
49	39	1	2
49	40	0	 
49	41	0	 
49	42	0	 
49	43	0	 
49	44	0	 
49	45	0	 
49	46	0	 
49	47	0	 
49	48	1	3
49	49	0	 
49	50	1	3
49	51	0	 
49	52	0	 
49	53	0	 
50	10	1	1
50	12	0	 
50	13	0	 
50	14	0	 
50	15	0	 
50	19	0	 
50	20	0	 
50	26	1	2
50	30	0	 
50	32	0	 
50	33	0	 
50	34	1	2
50	35	1	2
50	36	0	 
50	37	1	3
50	38	0	 
50	39	0	 
50	40	0	 
50	41	0	 
50	42	0	 
50	43	0	 
50	44	0	 
50	45	0	 
50	46	0	 
50	47	0	 
50	48	1	1
50	49	0	 
50	50	1	2
50	51	0	 
50	52	0	 
50	53	0	 
51	10	0	 
51	12	0	 
51	13	1	1
51	14	1	3
51	15	0	 
51	19	1	3
51	20	0	 
51	26	1	1
51	30	1	2
51	32	0	 
51	33	1	2
51	34	1	2
51	35	1	3
51	36	1	3
51	37	1	3
51	38	1	3
51	39	1	2
51	40	0	 
51	41	1	2
51	42	0	 
51	43	1	2
51	44	0	 
51	45	1	3
51	46	1	2
51	47	0	 
51	48	1	3
51	49	0	 
51	50	0	 
51	51	1	2
51	52	0	 
51	53	0	 
52	10	0	 
52	12	0	 
52	13	1	2
52	14	0	 
52	15	0	 
52	19	0	 
52	20	0	 
52	26	1	2
52	30	0	 
52	32	0	 
52	33	0	 
52	34	1	2
52	35	0	 
52	36	0	 
52	37	1	3
52	38	0	 
52	39	1	3
52	40	0	 
52	41	0	 
52	42	0	 
52	43	0	 
52	44	0	 
52	45	0	 
52	46	0	 
52	47	0	 
52	48	1	2
52	49	0	 
52	50	1	3
52	51	0	 
52	52	0	 
52	53	0	 
53	10	0	 
53	12	0	 
53	13	0	 
53	14	0	 
53	15	0	 
53	19	0	 
53	20	0	 
53	26	1	3
53	30	0	 
53	32	0	 
53	33	0	 
53	34	0	 
53	35	0	 
53	36	0	 
53	37	0	 
53	38	0	 
53	39	0	 
53	40	0	 
53	41	0	 
53	42	0	 
53	43	0	 
53	44	0	 
53	45	0	 
53	46	0	 
53	47	0	 
53	48	0	 
53	49	0	 
53	50	1	2
53	51	0	 
53	52	0	 
53	53	0	 
54	10	0	 
54	12	0	 
54	13	1	1
54	14	1	1
54	15	0	 
54	19	0	 
54	20	0	 
54	26	1	2
54	30	0	 
54	32	0	 
54	33	0	 
54	34	1	2
54	35	0	 
54	36	0	 
54	37	1	3
54	38	0	 
54	39	0	 
54	40	0	 
54	41	0	 
54	42	0	 
54	43	0	 
54	44	0	 
54	45	0	 
54	46	0	 
54	47	0	 
54	48	0	 
54	49	0	 
54	50	1	3
54	51	0	 
54	52	0	 
54	53	0	 
55	10	1	2
55	12	0	 
55	13	0	 
55	14	0	 
55	15	0	 
55	19	0	 
55	20	0	 
55	26	1	2
55	30	0	 
55	32	1	2
55	33	0	 
55	34	0	 
55	35	1	2
55	36	0	 
55	37	1	2
55	38	0	 
55	39	0	 
55	40	0	 
55	41	0	 
55	42	0	 
55	43	0	 
55	44	0	 
55	45	0	 
55	46	0	 
55	47	0	 
55	48	0	 
55	49	0	 
55	50	1	1
55	51	0	 
55	52	0	 
55	53	0	 
56	10	1	2
56	12	0	 
56	13	1	3
56	14	1	2
56	15	0	 
56	19	1	2
56	20	0	 
56	26	1	2
56	30	1	1
56	32	0	 
56	33	1	2
56	34	0	 
56	35	1	3
56	36	1	3
56	37	1	3
56	38	0	 
56	39	1	3
56	40	0	 
56	41	0	 
56	42	0	 
56	43	0	 
56	44	0	 
56	45	0	 
56	46	0	 
56	47	0	 
56	48	1	2
56	49	0	 
56	50	1	3
56	51	1	3
56	52	0	 
56	53	1	2
57	10	1	3
57	12	0	 
57	13	1	3
57	14	1	2
57	15	1	3
57	19	1	3
57	20	1	3
