childid	id	dpnamtr3	dpntmer3	dpnnumr3	cshrcdr3	cshamtr3	cshtmer3	cshnumr3
PE078044	3	400	5	11	0	 	 	 
PE078045	1	1700	5	11	0	 	 	 
PE078047	1	400	5	12	0	 	 	 
PE078047	3	400	5	12	0	 	 	 
PE078047	5	500	5	1	0	 	 	 
PE078048	3	350	5	12	0	 	 	 
PE078048	6	350	5	12	0	 	 	 
PE088003	1	1200	5	12	0	 	 	 
PE088004	1	300	5	12	0	 	 	 
PE088004	4	1000	5	12	0	 	 	 
PE088004	6	750	5	12	1	750	8	1
PE088005	2	600	5	8	1	200	8	1
PE088011	20	220	3	35	0	 	 	 
PE088016	2	200	3	50	0	 	 	 
PE088018	4	180	3	44	0	 	 	 
PE088019	6	780	5	12	1	670	8	1
PE088021	1	1280	5	12	1	5812	8	1
PE088022	1	700	5	12	1	500	7	2
PE088024	1	600	3	12	1	4800	8	1
PE088025	1	270	3	52	1	150	8	1
PE088026	2	1300	5	12	1	680	8	1
PE088027	2	300	5	4	0	 	 	 
PE088028	1	450	5	6	1	900	8	1
PE088031	5	280	4	18	1	 	7	2
PE098005	1	480	4	8	1	100	8	1
PE098006	1	364	4	24	1	720	7	2
PE098010	1	700	5	12	0	 	 	 
PE098013	1	120	3	8	0	 	 	 
PE098013	1	120	3	4	0	 	 	 
PE098014	1	120	3	45	0	 	 	 
PE098016	6	1200	5	12	1	1200	7	2
PE098016	7	1030	5	12	0	 	 	 
PE098017	1	60	3	9	0	 	 	 
PE098018	1	600	5	12	1	200	8	1
PE098021	1	18	2	70	0	 	 	 
PE098023	1	60	3	50	0	 	 	 
PE098025	2	700	4	3	0	 	 	 
PE098028	1	150	3	26	0	 	 	 
PE098029	1	280	4	24	0	 	 	 
PE108001	1	1200	5	12	1	194	7	2
PE108003	4	1300	5	12	1	1300	7	2
PE108005	90	900	5	10	1	200	7	2
PE108006	2	1300	5	12	1	200	7	2
PE108011	1	2000	5	12	1	2000	8	1
PE108011	2	550	5	3	0	 	 	 
PE108013	1	850	5	12	1	400	7	2
PE108016	1	30	2	280	0	 	 	 
PE108017	1	1200	5	12	0	 	 	 
PE108017	1	1700	5	12	1	600	7	2
PE108019	1	20	2	200	0	 	 	 
PE108021	1	600	5	12	1	200	7	2
PE108022	1	1500	5	11	1	2900	8	1
PE108023	1	700	5	12	1	1000	8	1
PE108023	2	1003	5	12	1	1000	8	1
PE108023	4	800	5	12	1	300	8	1
PE108024	5	2500	5	7	0	 	 	 
PE108024	6	1300	5	12	1	1200	8	1
PE108026	7	1800	5	12	1	600	8	1
PE108027	1	800	5	10	1	800	7	2
PE118001	1	700	5	12	1	200	7	2
PE118001	2	800	5	5	1	200	8	1
PE118003	1	70	3	13	0	 	 	 
PE118004	1	700	5	12	1	900	8	1
PE118004	2	1200	5	12	1	900	8	1
PE118005	1	30	3	39	0	 	 	 
PE118006	1	10	2	60	0	 	 	 
PE118006	3	10	2	312	0	 	 	 
PE118008	1	8	2	200	0	 	 	 
PE118010	1	600	5	5	0	 	 	 
PE118011	1	10	2	300	0	 	 	 
PE118011	3	10	2	260	0	 	 	 
PE118015	1	64	5	12	0	 	 	 
PE118017	1	10	2	200	0	 	 	 
PE118020	1	8	2	120	0	 	 	 
PE118022	1	90	3	17	0	 	 	 
PE118023	2	60	3	6	0	 	 	 
PE118024	1	360	5	6	0	 	 	 
PE118027	1	450	5	3	0	 	 	 
PE118028	1	15	3	26	0	 	 	 
PE118030	19	1040	5	12	1	2080	8	1
PE128002	1	350	3	52	0	 	 	 
PE128003	6	220	3	34	0	 	 	 
PE128003	13	220	3	34	0	 	 	 
PE128006	1	380	4	24	1	600	7	2
PE128006	3	25	2	220	0	 	 	 
PE128007	2	300	5	12	1	500	6	2
PE128008	1	1300	5	12	0	 	 	 
PE128008	5	250	4	24	0	 	 	 
PE128008	6	200	3	52	0	 	 	 
PE128009	2	150	3	52	1	1000	7	2
PE128010	1	120	3	52	0	 	 	 
PE128012	2	700	5	10	1	200	7	2
PE128016	2	120	3	48	0	 	 	 
PE128027	1	1500	5	12	1	800	7	2
PE128029	2	185	3	13	0	 	 	 
PE128029	17	600	5	12	1	900	7	2
PE128031	1	1100	5	12	1	600	7	2
PE128033	1	480	5	5	1	200	7	1
PE128033	6	650	5	5	1	300	7	1
PE128034	16	1400	5	12	1	400	7	2
PE128038	1	750	4	24	1	500	7	2
PE128044	0	20	2	20	0	 	 	 
PE128044	2	25	2	180	0	 	 	 
PE128046	1	800	5	12	1	100	7	2
PE128047	2	550	5	12	1	600	7	2
PE128048	2	300	5	12	0	 	 	 
PE128048	3	250	5	6	0	 	 	 
PE128048	4	270	4	24	1	250	7	2
PE128050	17	150	3	48	0	 	 	 
PE128051	1	250	3	52	1	400	7	2
PE128051	3	250	3	52	0	 	 	 
PE128051	4	100	3	52	0	 	 	 
PE138002	1	400	3	44	1	100	7	1
PE138004	2	240	3	52	0	 	 	 
PE138004	3	280	3	52	0	 	 	 
PE138010	7	180	3	48	0	 	 	 
PE138010	8	170	3	48	0	 	 	 
PE138010	13	300	4	24	0	 	 	 
PE138011	1	800	5	12	1	1240	7	2
PE138012	1	760	5	12	1	800	7	2
PE138012	3	380	4	24	1	600	7	2
PE138014	1	90	3	42	0	 	 	 
PE138014	16	10	2	15	0	 	 	 
PE138015	2	90	3	2	0	 	 	 
PE138015	90	1200	5	12	1	400	7	2
PE138016	1	600	5	12	1	600	8	1
PE138020	0	200	3	52	0	 	 	 
PE138021	5	300	4	24	1	200	7	2
PE138023	2	210	3	52	0	 	 	 
PE138025	1	580	3	11	1	920	6	1
PE138025	2	85	3	2	0	 	 	 
PE138027	2	1200	5	12	1	200	7	2
PE138028	1	175	3	52	0	 	 	 
PE138028	2	50	3	17	0	 	 	 
PE138030	1	180	3	52	0	 	 	 
PE138031	1	80	3	2	0	 	 	 
PE138031	2	250	5	10	0	 	 	 
PE138031	5	1400	5	12	1	 	7	2
PE138034	1	200	3	22	0	 	 	 
PE138035	3	3000	5	12	1	3000	7	2
PE138036	1	300	3	52	0	 	 	 
PE138037	2	300	5	12	1	50	7	2
PE138037	4	20	3	24	0	 	 	 
PE138037	5	40	3	26	1	30	8	1
PE138038	1	280	3	12	0	 	 	 
PE138039	1	130	3	44	0	 	 	 
PE138039	1	120	3	6	0	 	 	 
PE138039	3	105	3	9	0	 	 	 
PE138045	1	200	3	52	1	30	8	1
PE138045	2	70	2	48	0	 	 	 
PE138045	3	550	5	2	0	 	 	 
PE138046	1	1200	5	12	0	 	 	 
PE138048	1	120	3	52	0	 	 	 
PE138049	2	1200	5	3	1	2400	7	2
PE138049	3	300	3	52	1	2400	7	2
PE138049	6	620	5	11	1	1240	7	2
PE138049	8	620	5	12	1	1240	7	2
PE138049	9	620	5	10	1	1240	7	2
PE138049	11	200	3	52	1	1600	7	2
PE138050	0	20	3	40	0	 	 	 
PE138050	1	250	5	12	0	 	 	 
PE138050	2	50	3	52	0	 	 	 
PE138050	3	50	3	52	1	40	8	1
PE138053	2	600	5	12	1	400	7	2
PE148001	2	550	5	6	0	 	 	 
PE148001	2	350	5	6	0	 	 	 
PE148001	3	130	3	17	0	 	 	 
PE148001	3	25	3	13	0	 	 	 
PE148001	3	120	5	3	0	 	 	 
PE148003	1	600	5	12	0	 	 	 
PE148003	5	600	5	12	0	 	 	 
PE148006	1	600	4	12	1	1200	7	2
PE148006	2	50	2	288	0	 	 	 
PE148007	1	200	3	48	1	100	7	2
PE148012	1	500	4	7	0	 	 	 
PE148013	1	150	3	52	1	50	8	1
PE148013	2	30	2	24	0	 	 	 
PE148014	1	500	4	24	0	 	 	 
PE148015	1	250	3	52	0	 	 	 
PE148016	1	550	5	12	1	600	8	1
PE148016	3	550	5	6	0	 	 	 
PE148019	1	650	5	12	0	 	 	 
PE148020	1	1500	5	12	1	200	6	2
PE148020	2	200	5	7	1	150	8	1
PE148021	1	350	5	12	1	160	8	1
PE148021	2	550	5	12	1	 	7	2
PE148021	3	300	4	6	0	 	 	 
PE148021	5	70	3	5	0	 	 	 
PE148021	8	550	5	12	0	 	 	 
PE148022	1	480	5	12	0	 	 	 
PE148023	1	1300	5	12	1	4520	8	1
PE148023	3	90	3	13	0	 	 	 
PE148026	2	60	3	52	0	 	 	 
PE148026	6	220	3	38	0	 	 	 
PE148028	4	120	3	52	1	305	8	1
PE148028	5	500	5	12	1	250	7	2
PE148029	1	400	4	24	0	 	 	 
PE148030	1	400	3	36	0	 	 	 
PE148031	1	300	3	26	0	 	 	 
PE148031	2	420	5	12	1	200	7	2
PE148034	0	7	2	2	0	 	 	 
PE148034	1	440	4	24	1	200	8	1
PE148034	3	200	8	1	0	 	 	 
PE148034	5	600	5	4	0	 	 	 
PE148037	2	800	5	7	1	400	8	1
PE148037	2	400	5	5	0	 	 	 
PE148038	0	40	3	13	0	 	 	 
PE148038	0	50	3	17	0	 	 	 
PE148038	2	130	3	39	0	 	 	 
PE148038	2	20	2	8	0	 	 	 
PE148038	3	120	3	52	1	220	8	1
PE148038	4	100	3	21	1	15	3	21
PE148038	4	100	3	30	0	 	 	 
PE148038	5	40	3	30	0	 	 	 
PE148039	1	250	3	10	0	 	 	 
PE148039	2	350	5	4	0	 	 	 
PE148040	1	120	4	3	0	 	 	 
PE148041	1	700	4	24	0	 	 	 
PE148041	5	35	3	26	0	 	 	 
PE148041	5	280	3	26	0	 	 	 
PE148043	2	900	5	12	1	1050	8	1
PE148044	1	500	4	24	1	550	7	1
PE148044	2	1300	5	12	1	1131	6	1
PE148045	1	3600	5	12	1	1800	7	2
PE148045	6	350	4	4	0	 	 	 
PE148048	1	500	5	4	0	 	 	 
PE148048	3	150	3	9	0	 	 	 
PE148048	3	200	3	34	0	 	 	 
PE148049	1	120	3	52	0	 	 	 
PE148051	3	500	5	8	1	250	8	1
PE148051	4	500	5	6	0	 	 	 
PE158001	0	600	5	5	0	 	 	 
PE158001	0	700	5	3	0	 	 	 
PE158002	1	100	3	49	0	 	 	 
PE158002	2	20	3	10	0	 	 	 
PE158004	3	600	5	12	1	600	7	2
PE158004	4	120	3	26	0	 	 	 
PE158004	5	120	3	34	0	 	 	 
PE158005	1	120	3	52	0	 	 	 
PE158008	1	10	2	360	0	 	 	 
PE158008	2	10	2	360	0	 	 	 
PE158008	4	10	2	350	0	 	 	 
PE158008	7	10	2	350	0	 	 	 
PE158008	7	5	2	24	0	 	 	 
PE158011	4	1300	5	1	0	 	 	 
PE158012	1	600	5	5	0	 	 	 
PE158013	1	1200	5	12	1	1200	7	2
PE158014	0	90	3	39	0	 	 	 
PE158014	1	160	3	26	0	 	 	 
PE158014	5	240	3	39	0	 	 	 
PE158014	7	180	3	39	0	 	 	 
PE158015	3	2000	5	12	1	500	8	1
PE158017	1	60	3	52	0	 	 	 
PE158018	2	 	3	52	0	 	 	 
PE158025	1	250	3	5	0	 	 	 
PE158032	2	150	5	8	0	 	 	 
PE158034	1	150	3	25	0	 	 	 
PE158035	1	240	3	48	0	 	 	 
PE158037	1	1100	5	12	0	 	 	 
PE158038	1	150	3	36	0	 	 	 
PE158045	0	80	3	17	0	 	 	 
PE158045	1	90	3	34	0	 	 	 
PE158045	2	90	3	21	0	 	 	 
PE158045	3	90	3	39	0	 	 	 
PE158047	2	1160	5	12	1	540	8	1
PE158050	3	250	4	24	1	700	7	2
PE158051	1	280	4	24	1	100	7	1
PE158051	2	216	4	24	0	 	 	 
PE158053	1	550	5	12	1	550	8	1
PE158055	1	350	4	17	0	 	 	 
PE158055	2	90	3	34	0	 	 	 
PE158055	7	350	4	17	0	 	 	 
PE158056	1	300	5	12	0	 	 	 
PE158056	11	180	3	52	0	 	 	 
PE168001	1	15	2	60	0	 	 	 
PE168002	1	200	5	7	0	 	 	 
PE168004	2	100	5	6	0	 	 	 
PE168005	1	1400	5	1	0	 	 	 
PE168005	4	1400	5	2	1	1000	8	1
PE168006	1	15	2	160	0	 	 	 
PE168007	1	15	2	100	0	 	 	 
PE168007	3	10	2	4	0	 	 	 
PE168008	1	500	5	8	0	 	 	 
PE168010	1	620	5	10	1	80	8	1
PE168010	3	150	5	12	0	 	 	 
PE168011	6	360	5	7	0	 	 	 
PE168012	0	150	5	4	0	 	 	 
PE168012	1	230	5	6	0	 	 	 
PE168012	2	48	5	4	0	 	 	 
PE168015	1	400	5	8	0	 	 	 
PE168016	1	20	2	90	0	 	 	 
PE168018	0	200	5	2	0	 	 	 
PE168018	3	350	5	6	0	 	 	 
PE168024	1	900	5	6	0	 	 	 
PE178001	1	800	5	12	1	250	8	1
PE178004	0	150	3	12	0	 	 	 
PE178004	1	180	3	12	1	600	7	2
PE178006	2	300	5	12	0	 	 	 
PE178007	1	350	4	24	1	550	7	2
PE178010	1	420	5	12	0	 	 	 
PE178016	1	40	5	10	0	 	 	 
PE178016	1	300	8	1	0	 	 	 
PE178019	1	15	2	216	0	 	 	 
PE178019	3	15	2	216	0	 	 	 
PE178024	4	25	2	150	0	 	 	 
PE178028	1	150	3	21	0	 	 	 
PE178028	4	150	3	32	0	 	 	 
PE178029	1	800	5	4	0	 	 	 
PE178029	1	800	5	1	0	 	 	 
PE178029	2	170	5	2	0	 	 	 
PE178034	3	600	5	5	0	 	 	 
PE178034	5	600	5	6	0	 	 	 
PE188012	1	15	2	90	0	 	 	 
PE188013	1	90	3	12	0	 	 	 
PE188014	5	320	5	4	0	 	 	 
PE188014	5	400	5	8	1	400	8	1
PE188014	6	800	5	12	0	 	 	 
PE188017	1	90	3	13	0	 	 	 
PE188017	2	90	3	13	0	 	 	 
PE188017	5	45	3	10	0	 	 	 
PE188019	0	96	3	52	0	 	 	 
PE188019	4	90	3	52	0	 	 	 
PE188022	1	700	5	6	0	 	 	 
PE188023	3	720	5	12	0	 	 	 
PE198002	1	300	4	6	0	 	 	 
PE198002	5	360	4	16	0	 	 	 
PE198004	1	600	5	12	0	 	 	 
PE198006	1	180	3	52	0	 	 	 
PE198006	2	90	3	52	0	 	 	 
PE198007	2	120	5	12	0	 	 	 
PE198007	3	450	5	12	1	225	7	2
PE198008	1	680	5	10	1	200	8	1
PE198012	2	1000	5	1	0	 	 	 
PE198015	2	150	3	44	0	 	 	 
PE198017	1	30	2	120	0	 	 	 
PE198017	4	30	2	240	0	 	 	 
PE198022	2	210	5	12	0	 	 	 
PE198026	4	80	3	9	0	 	 	 
PE198027	2	1800	5	12	1	500	8	1
PE198030	1	500	5	12	1	660	8	1
PE208003	2	350	5	7	0	 	 	 
PE208003	5	500	5	12	0	 	 	 
PE208009	1	450	5	10	0	 	 	 
PE208009	1	542	5	2	0	 	 	 
PE208009	2	300	5	5	0	 	 	 
PE208009	2	320	5	6	0	 	 	 
PE208009	4	520	5	4	0	 	 	 
PE208009	5	520	5	4	0	 	 	 
PE208010	1	150	3	52	0	 	 	 
PE208012	1	500	5	12	0	 	 	 
PE208012	2	400	5	12	0	 	 	 
PE208013	2	1100	5	12	1	970	8	1
PE208014	1	1400	5	12	1	500	7	2
PE208014	3	250	5	6	0	 	 	 
PE208023	0	150	5	12	0	 	 	 
PE208023	1	300	5	12	0	 	 	 
PE208024	1	1200	5	12	1	200	5	3
PE208027	2	140	5	12	0	 	 	 
PE208027	3	500	5	4	0	 	 	 
PE208028	1	1200	5	12	1	780	8	1
PE208041	5	150	5	5	0	 	 	 
PE208046	2	1200	5	12	1	1000	8	1
