childid	id	incincr3	incprdr3	incernr3	inctmer3	incnumr3
PE078002	1	7800	2000	5800	5	12
PE078003	1	45864	44100	1764	5	12
PE078003	3	30576	29312	1264	5	12
PE078004	1	 	 	6000	5	12
PE078004	2	 	 	200	5	1
PE078005	1	60	0	60	3	52
PE078008	1	500	350	150	3	52
PE078011	1	180	80	100	3	52
PE078014	1	 	 	700	5	12
PE078016	1	 	 	150	3	50
PE078018	4	70	30	40	2	350
PE078020	1	210	150	60	3	52
PE078020	2	150	100	50	3	13
PE078020	4	500	350	150	3	52
PE078021	2	4000	3100	900	5	12
PE078027	2	85	50	35	2	360
PE078028	1	1100	800	300	5	12
PE078029	2	180	80	100	2	 
PE078031	1	 	 	450	5	12
PE078037	1	3660	1860	1800	5	12
PE078042	2	500	470	30	2	360
PE078046	2	85	0	85	5	12
PE078049	2	800	700	100	3	52
PE078050	2	120	70	50	2	363
PE078051	1	2950	2500	450	5	12
PE078052	1	 	 	450	5	12
PE078052	2	 	 	400	5	12
PE088001	2	 	 	25	3	52
PE088001	3	140	80	60	3	52
PE088002	1	40	5	35	2	220
PE088007	1	60	42	18	2	360
PE088008	1	350	250	100	3	36
PE088009	1	150	14.3999996185303	135.600006103516	3	52
PE088010	1	600	330	270	3	52
PE088012	1	250	210	40	2	365
PE088013	6	600	240	360	3	52
PE088014	1	3000	1850	1150	5	12
PE088015	1	90	60	30	2	365
PE088017	1	1500	600	900	5	9
PE088020	1	 	 	180	5	12
PE088020	2	 	 	250	3	40
PE088023	1	 	 	1500	5	12
PE088029	4	1100	300	800	5	9
PE098001	1	2700	0	2700	8	1
PE098002	1	1300	724	576	8	1
PE098003	1	 	 	8000	8	1
PE098004	1	 	 	1650	8	1
PE098007	1	375	150	225	5	6
PE098007	1	 	 	80	5	8
PE098008	1	3200	2500	700	8	1
PE098009	1	 	 	1200	8	1
PE098011	1	1452	700	752	7	2
PE098012	1	4200	2500	1700	8	1
PE098015	1	 	 	1200	8	1
PE098019	1	 	 	10	2	24
PE098020	4	 	 	2000	5	12
PE098022	2	 	 	1600	8	1
PE098024	2	900	500	400	8	1
PE098026	2	 	 	4000	8	1
PE108002	1	1500	800	700	5	12
PE108004	1	24	5	19	2	192
PE108007	1	800	500	300	5	12
PE108008	5	15	0	15	2	360
PE108009	2	735	525	210	3	52
PE108010	1	300	180	120	2	360
PE108015	1	 	 	600	5	9
PE108018	1	1000	400	600	3	52
PE108020	2	30	15	15	2	360
PE108020	4	30	15	15	2	360
PE108025	1	80	50	30	2	52
PE108028	6	120	0	120	4	24
PE108029	1	340	280	60	2	50
PE118002	1	30	20	10	2	360
PE118007	1	 	 	70	3	9
PE118009	1	 	 	560	8	1
PE118012	2	 	 	100	5	9
PE118013	1	700	500	200	8	1
PE118014	1	 	 	5300	8	1
PE118016	2	900	300	600	8	1
PE118018	2	30	15	15	3	50
PE118019	1	900	300	600	6	4
PE118021	1	80	30	50	2	144
PE118029	1	700	450	250	5	12
PE128004	1	145	5	140	3	52
PE128004	2	251	1	250	5	12
PE128005	0	 	 	50	5	12
PE128005	1	 	 	200	5	9
PE128005	1	20	0	20	5	2
PE128005	2	280	0	280	5	12
PE128011	1	 	 	700	3	52
PE128013	2	18	13	5	2	48
PE128013	2	15	10	5	2	48
PE128013	2	150	111	39	3	32
PE128013	2	24	13.5	10.5	3	28
PE128013	2	115	100	15	3	52
PE128014	1	 	 	420	3	52
PE128015	1	80	50	30	2	312
PE128015	10	90	50	40	2	312
PE128017	1	 	 	10	2	365
PE128017	2	 	 	700	5	12
PE128018	4	100	70	30	2	17
PE128018	4	 	 	100	3	52
PE128019	1	 	 	480	3	44
PE128020	1	 	 	490	3	52
PE128021	1	38	8	30	2	312
PE128022	1	 	 	500	5	12
PE128022	2	 	 	190	5	1
PE128023	1	6000	3000	3000	5	12
PE128023	2	3600	1800	1800	5	12
PE128024	1	300	0	300	 	 
PE128026	1	 	 	30	2	300
PE128026	2	 	 	30	2	300
PE128028	1	 	 	420	3	52
PE128030	1	120	100	20	2	365
PE128030	7	50	35	15	2	365
PE128032	1	 	 	1800	5	12
PE128032	2	1200	400	800	5	10
PE128037	2	2000	1000	1000	3	52
PE128039	2	450	120	330	3	44
PE128040	2	390	200	190	3	52
PE128040	4	 	 	150	4	24
PE128041	1	 	 	150	3	52
PE128042	1	1100	600	500	5	12
PE128042	2	900	700	200	5	4
PE128043	1	580	322	258	3	30
PE128045	1	1680	0	1680	5	12
PE128045	2	 	 	40	4	12
PE128049	1	400	250	150	3	52
PE128049	2	100	50	50	3	52
PE138003	1	 	 	225	3	40
PE138005	2	60000	30000	30000	5	12
PE138007	1	90	60	30	3	52
PE138007	16	27600	18000	9600	8	1
PE138008	2	420	190	230	3	52
PE138009	2	5000	2000	3000	8	1
PE138009	2	6035	2414	3621	7	1
PE138013	1	 	 	2000	5	12
PE138017	1	40	10	30	2	52
PE138018	1	 	 	60	3	52
PE138018	2	69	48	21	3	26
PE138019	1	 	 	280	3	52
PE138022	1	100	60	40	2	353
PE138024	1	3020	2020	1000	5	11
PE138026	1	330	300	30	2	365
PE138029	1	4180	2760	1420	5	12
PE138032	1	 	 	150	5	12
PE138033	1	82.8000030517578	2.79999995231628	80	3	52
PE138033	3	 	 	240	3	52
PE138040	1	1360	860	500	3	52
PE138041	1	 	 	500	3	52
PE138042	16	18	2	16	2	365
PE138044	1	600	300	300	3	26
PE138047	1	264	144	120	3	39
PE138047	1	660	360	300	3	13
PE138051	1	1350	1100	250	3	52
PE138052	16	 	 	420	3	52
PE148002	1	 	 	5.5	5	12
PE148004	1	 	 	250	3	52
PE148005	2	 	 	50	2	52
PE148008	1	 	 	1800	5	12
PE148009	1	 	 	200	3	52
PE148010	1	 	 	300	3	52
PE148011	1	20	0	20	4	24
PE148011	3	120	0	120	5	9
PE148017	1	 	 	250	3	52
PE148018	1	 	 	350	3	52
PE148018	2	 	 	250	5	12
PE148018	19	 	 	225	5	1
PE148025	1	 	 	100	3	44
PE148025	2	 	 	60	3	21
PE148025	3	 	 	30	3	21
PE148027	1	200	50	150	3	44
PE148032	1	2000	0	2000	5	12
PE148033	1	280	140	140	3	52
PE148033	2	280	140	140	3	52
PE148035	0	 	 	150	3	52
PE148035	1	 	 	180	3	52
PE148035	2	 	 	60	3	52
PE148035	3	 	 	150	3	52
PE148036	1	2771	1332	1439	5	12
PE148042	1	 	 	30	2	322
PE148042	2	 	 	20	2	252
PE148046	2	 	 	30	2	46
PE148046	2	77	 	30	2	12
PE148047	1	 	 	250	3	52
PE158003	1	4640	2895	1745	3	48
PE158006	1	8000	0	8000	8	1
PE158007	1	1070	720	350	3	52
PE158009	17	24600	6800	17800	8	1
PE158010	1	7500	700	6800	8	1
PE158016	1	2760	255	2505	8	1
PE158019	3	1565	190	1375	8	1
PE158021	1	50	10	40	2	300
PE158022	1	3200	180	3020	8	1
PE158023	1	107.5	10	97.5	3	52
PE158024	1	67	22	45	2	312
PE158026	2	15	5	10	2	360
PE158031	26	2500	1300	1200	5	3
PE158031	28	2100	300	1800	5	1
PE158033	1	1100	600	500	5	12
PE158036	16	5000	1455	3545	8	1
PE158036	16	6000	2350	3650	8	1
PE158036	16	5000	1905	3095	8	1
PE158036	16	1000	180	820	8	1
PE158039	1	 	 	8000	8	1
PE158040	1	12000	5400	6600	8	1
PE158041	2	75	30	45	2	312
PE158042	1	6900	4580	2320	8	1
PE158043	1	565	15	550	8	1
PE158043	2	214.399993896484	14.3999996185303	200	5	12
PE158044	1	 	 	150	3	52
PE158046	1	3500	2000	1500	6	3
PE158048	1	 	 	3000	6	3
PE158049	1	18100	3150	14950	8	1
PE158052	2	2400	1900	500	3	24
PE158054	1	 	 	1500	8	1
PE158057	2	777	567	210	3	48
PE168003	1	 	 	3000	8	1
PE168009	1	450	250	200	3	52
PE168013	1	 	 	700	5	12
PE168017	1	430	30	400	6	3
PE168019	2	65	25	40	4	24
PE168020	1	4790	300	4490	8	1
PE168021	1	12000	5000	7000	8	1
PE168022	1	350	50	300	5	8
PE168023	2	50	5	45	3	30
PE168025	1	 	 	5000	8	1
PE178002	1	 	 	1500	8	1
PE178003	2	900	500	400	3	52
PE178009	17	390	210	180	3	52
PE178011	1	1000	500	500	3	52
PE178013	1	3000	1000	2000	6	3
PE178015	16	14800	7500	7300	8	1
PE178020	1	1600	1000	600	6	3
PE178021	2	200	50	150	7	2
PE178022	1	 	 	480	5	9
PE178025	1	 	 	600	7	2
PE178026	2	 	 	20	2	52
PE178027	2	 	 	1200	7	2
PE178030	1	 	 	20	2	80
PE178031	1	 	 	1000	8	1
PE178033	2	 	 	1800	7	2
PE178035	8	 	 	1000	8	1
PE178036	1	 	 	30000	8	1
PE188001	1	2300	500	1800	7	2
PE188002	2	 	 	200	5	4
PE188004	1	2500	400	2100	8	1
PE188005	2	 	 	3000	8	1
PE188006	1	 	 	300	5	6
PE188007	1	12500	4000	8500	8	1
PE188008	2	2440	100	2340	8	1
PE188009	2	 	 	1500	8	1
PE188010	2	 	 	360	5	12
PE188011	1	10000	3000	7000	8	1
PE188015	1	1000	400	600	8	1
PE188016	17	750	100	650	5	8
PE188018	2	1200	200	1000	8	1
PE188020	1	 	 	 	 	77
PE188021	1	500	100	400	5	12
PE188024	1	2000	1000	1000	7	2
PE188025	1	220	20	200	5	12
PE188026	1	600	50	550	8	1
PE188027	1	 	 	195	5	 
PE198001	16	5000	2000	3000	8	1
PE198003	1	2500	1800	700	5	12
PE198009	16	4500	2000	2500	8	1
PE198010	1	250	30	220	3	52
PE198011	1	6000	3000	3000	8	1
PE198013	1	 	 	2000	7	2
PE198014	1	 	 	660	5	12
PE198016	1	38600	20000	18600	7	2
PE198018	2	 	 	100	3	9
PE198021	3	1500	750	750	5	12
PE198024	4	1100	400	700	5	12
PE198025	1	80	50	30	3	44
PE198028	1	34000	11000	23000	8	1
PE198031	1	 	 	350	5	12
PE208001	1	240	60	180	3	26
PE208002	1	290	40	250	3	17
PE208002	2	24	4	20	3	52
PE208002	2	 	 	1500	7	2
PE208005	1	82	73	9	3	52
PE208005	7	84	40	44	3	52
PE208006	2	2500	500	2000	5	5
PE208007	2	350	100	250	6	2
PE208011	1	3600	2000	1600	5	12
PE208015	1	2000	1500	500	3	26
PE208017	1	245	35	210	3	52
PE208017	2	170	70	100	3	48
PE208017	2	90	30	60	5	12
PE208018	1	 	 	4000	5	12
PE208018	2	 	 	50	3	12
PE208019	1	2000	1600	400	3	52
PE208020	1	 	 	600	5	9
PE208021	1	200	20	180	3	39
PE208022	1	 	 	1200	5	8
PE208025	1	300	180	120	3	50
PE208026	2	 	 	1000	5	11
PE208029	2	3500	2700	800	3	52
PE208030	17	770	210	560	3	52
PE208031	1	 	 	280	3	52
PE208032	1	20040	15000	5040	5	12
PE208033	2	1050	490	560	3	52
PE208034	1	50	20	30	2	365
PE208037	1	3400	3000	400	5	12
PE208038	1	 	 	600	5	12
PE208042	2	4160	3200	960	5	12
PE208043	1	8000	6000	2000	5	12
PE208044	1	 	 	300	3	30
PE208047	1	 	 	660	5	12
PE208048	2	1000	600	400	3	52
PE208049	2	700	200	500	3	52
PE208051	1	800	400	400	3	52
PE208051	2	480	420	60	3	52
