childid	donfdid	dontypr3	donrcvr3	donamtr3	donmsrr3	donprcr3	prcmsrr3
PE148014	2	9	90	1	7	.300000011920929	7
PE148017	1	1	52	1	3	2	3
PE148017	2	3	52	1	3	1.5	3
PE148017	3	8	1	2	2	2	2
PE148017	4	5	1	1	1	7	1
PE148017	5	6	1	1	4	1.5	4
PE148018	1	3	24	1	4	2	4
PE148018	2	1	24	3	3	1	3
PE148021	1	3	52	1	3	1	3
PE148021	2	1	52	1	4	2.5	4
PE148023	1	1	52	1	6	1.79999995231628	6
PE148023	2	3	26	1	4	1.5	4
PE148025	1	1	36	1	6	2	6
PE148025	2	3	36	1	3	1	3
PE148025	3	9	72	1	7	.5	7
PE148025	4	1	72	1	3	1	3
PE148026	1	1	52	3	3	2	3
PE148026	2	3	52	1	2	1.5	2
PE148026	3	5	1	1	1	7	1
PE148026	4	6	1	5	2	3	2
PE148026	5	8	1	5	2	2.59999990463257	2
PE148026	6	7	1	3	6	3	6
PE148026	7	9	180	1	7	.5	7
PE148027	1	8	2	3	2	4.80000019073486	3
PE148027	2	6	2	2	2	3.79999995231628	2
PE148027	3	5	2	1	1	5	1
PE148028	1	1	52	4	3	2.5	3
PE148028	2	3	52	1	4	2	4
PE148028	3	9	160	1	7	.200000002980232	7
PE148029	1	1	52	1	4	1	4
PE148029	2	3	25	1	4	1	4
PE148030	1	1	48	4	1	2.5	1
PE148030	2	3	48	1	4	1.79999995231628	4
PE148031	1	6	1	2	2	4	2
PE148031	2	5	1	1	1	5.80000019073486	1
PE148031	3	8	1	4	2	1.79999995231628	2
PE148031	4	15	1	1	2	3.59999990463257	2
PE148033	1	1	21	4	6	2	6
PE148033	2	3	14	2	4	1	4
PE148033	3	1	140	1	3	.5	3
PE148033	4	9	140	1	7	.5	7
PE148035	1	1	24	2	6	2	6
PE148035	2	3	24	1	3	1	3
PE148036	1	1	48	1	6	2	6
PE148036	2	3	48	1	4	2	4
PE148039	1	1	30	1	7	1	7
PE148039	2	9	30	1	7	.100000001490116	7
PE148041	1	1	12	2	6	1.5	6
PE148041	2	3	12	1	3	1	3
PE148045	1	1	1	2	6	2.5	6
PE148045	2	8	1	2	2	3	2
PE148045	3	15	1	4	3	.800000011920929	3
PE148045	4	9	1	1	7	24	7
PE148045	5	15	1	1	6	6	6
PE148045	6	15	1	1	7	12	7
