childid	id	age	memsex	relate	livhse	grader3	stillr3	schtypr3	agestr3	agegrdr3	disabr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3
PE018004	17	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018004	18	46	1	26	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018004	19	41	2	26	1	5	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018004	20	22	1	16	1	13	1	4	 	 	0	 	 	 	 	 	 	 	 
PE018004	21	16	1	25	1	10	0	4	5	16	0	10	2	2	0	0	0	0	4
PE018004	22	8	1	16	1	3	1	4	6	 	0	10	1	1	0	0	7	3	2
PE018004	23	6	2	16	1	1	1	4	6	 	0	10	0	0	0	0	7	3	4
PE018005	0	14	2	0	1	 	 	 	 	 	0	11	0	2	0	0	6	2	3
PE018005	1	39	1	1	1	8	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018005	2	39	2	1	1	8	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018005	3	12	1	7	1	7	1	4	6	 	0	11	1	0	0	0	6	1	5
PE018005	4	4	1	7	1	20	1	4	 	 	0	12	0	0	0	0	4	1	7
PE018006	0	14	2	0	1	 	 	 	 	 	0	9	1	1	0	0	6	2	3
PE018006	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018006	2	39	2	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018006	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018006	4	80	1	5	1	3	0	4	 	 	1	 	 	 	 	 	 	 	 
PE018006	5	78	2	5	1	3	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018006	6	43	2	13	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018006	7	35	2	13	1	16	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018006	8	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018006	9	1	2	15	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE018007	0	14	1	0	1	 	 	 	 	 	0	8	1	1	0	1	6	2	3
PE018007	1	45	1	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018007	2	40	2	1	1	8	0	4	 	 	1	 	 	 	 	 	 	 	 
PE018007	3	15	1	7	1	8	1	4	6	 	0	9	2	1	0	0	6	2	3
PE018007	4	13	1	7	1	5	1	4	6	 	0	8	1	1	0	0	6	3	3
PE018007	15	11	2	7	1	4	1	4	6	 	0	10	0	1	0	0	6	2	4
PE018007	16	18	2	9	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018008	0	15	1	0	1	 	 	 	 	 	0	9	0	2	0	0	6	3	4
PE018008	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018008	2	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018008	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018008	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018008	5	24	2	7	1	13	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018008	6	4	2	15	1	 	 	 	 	 	0	10	0	0	0	0	5	2	5
PE018008	7	25	2	7	1	10	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018008	8	16	2	14	1	 	 	 	 	 	0	9	0	2	0	0	6	4	4
PE018008	9	2	2	15	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018009	0	14	2	0	1	 	 	 	 	 	0	9	0	1	0	0	5	2	5
PE018009	1	50	1	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018009	2	52	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018009	3	17	2	7	1	15	1	4	5	 	0	6	0	0	0	0	6	8	3
PE018009	4	13	2	7	1	5	1	4	7	 	0	10	0	0	0	0	5	4	5
PE018009	5	8	2	15	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018010	0	15	1	0	1	 	 	 	 	 	0	10	4	0	0	0	0	0	6
PE018010	1	35	1	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018010	2	34	2	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018010	3	0	2	7	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018011	0	14	2	0	1	 	 	 	 	 	0	11	1	1	1	0	6	2	2
PE018011	1	37	1	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018011	2	35	2	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018011	3	17	1	7	1	8	0	4	6	14	0	9	0	0	12	0	0	0	3
PE018011	4	12	2	7	1	6	1	4	6	 	0	11	2	2	1	0	6	2	1
PE018011	15	8	1	7	1	3	1	4	6	 	0	11	0	1	0	0	6	2	4
PE018011	16	5	2	7	1	1	1	4	5	 	0	11	0	0	0	0	5	1	6
PE018011	17	1	2	7	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE018012	0	15	2	0	1	 	 	 	 	 	0	9	1	1	1	0	7	2	3
PE018012	1	48	1	1	1	3	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018012	2	43	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018012	15	10	2	7	1	5	1	4	6	 	0	10	0	1	1	0	6	1	5
PE018013	0	15	2	0	1	 	 	 	 	 	0	9	0	0	0	0	6	3	5
PE018013	1	48	1	1	1	8	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018013	2	45	2	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018013	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018013	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018013	5	20	1	7	1	13	1	4	 	 	0	 	 	 	 	 	 	 	 
PE018013	15	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018015	0	14	2	0	1	 	 	 	 	 	0	9	0	2	2	0	6	2	3
PE018015	1	35	1	1	1	4	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018015	2	34	2	1	1	2	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018015	3	17	2	9	1	9	1	4	7	 	0	9	0	3	1	0	6	2	3
PE018015	15	11	1	7	1	3	1	4	7	 	0	9	0	1	0	0	6	3	4
PE018015	16	9	1	7	1	2	1	4	7	 	0	9	0	1	0	0	6	2	6
PE018016	0	14	1	0	1	 	 	 	 	 	0	10	3	2	0	0	6	1	3
PE018016	1	43	1	1	1	16	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018016	2	41	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018016	3	22	1	7	1	11	0	4	6	16	0	 	 	 	 	 	 	 	 
PE018016	15	8	1	7	1	3	1	4	6	 	0	10	2	2	0	0	6	1	3
PE018016	16	8	1	7	1	3	1	4	6	 	0	10	2	2	0	0	6	2	2
PE018016	17	5	2	7	1	0	1	4	5	 	0	10	0	0	0	0	5	1	8
PE018017	0	15	1	0	1	 	 	 	 	 	0	12	0	2	0	5	0	0	3
PE018017	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018017	2	41	2	1	1	5	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018017	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018017	4	19	2	7	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018017	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018017	15	9	2	7	1	4	1	4	6	 	0	10	2	1	0	0	6	1	3
PE018017	16	4	1	9	1	0	1	4	 	 	0	11	0	0	0	0	0	0	13
PE018017	17	22	1	16	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018017	18	0	2	15	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018018	0	15	2	0	1	 	 	 	 	 	0	10	0	1	0	0	7	3	3
PE018018	1	32	1	1	1	7	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018018	2	32	2	1	1	10	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018018	3	11	1	7	1	7	1	4	6	 	0	10	0	1	0	0	6	3	4
PE018018	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018018	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018018	6	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018019	0	15	1	0	1	 	 	 	 	 	0	10	0	1	0	0	6	1	6
PE018019	1	36	1	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018019	2	36	2	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018019	3	13	1	7	1	4	1	4	7	 	0	9	0	0	0	0	6	2	7
PE018019	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018019	15	12	2	7	1	3	1	4	7	 	0	9	0	1	2	0	6	1	5
PE018019	16	6	1	7	1	1	1	4	6	 	0	9	0	0	0	0	6	2	7
PE018019	17	4	1	7	1	20	1	4	 	 	0	9	0	0	0	0	4	0	12
PE018020	0	14	2	0	1	 	 	 	 	 	0	10	1	1	1	0	6	3	3
PE018020	1	48	2	13	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018020	2	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018020	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018020	4	67	2	5	1	10	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018020	5	12	2	7	1	4	1	4	6	 	0	10	2	1	3	0	6	3	2
PE018020	6	34	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018020	7	10	1	9	1	3	1	4	6	 	0	9	0	0	0	0	6	2	4
PE018020	8	2	1	9	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE018021	0	14	2	0	1	 	 	 	 	 	0	10	0	2	0	0	7	2	1
PE018021	1	43	1	1	1	3	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018021	2	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018021	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018021	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018022	0	14	2	0	1	 	 	 	 	 	0	10	3	1	0	0	6	1	3
PE018022	1	34	1	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018022	2	36	2	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018022	3	13	1	7	1	8	1	4	6	 	0	9	3	1	0	0	6	2	3
PE018022	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018022	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018022	6	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018022	15	11	1	7	1	5	1	4	6	 	0	12	0	0	0	0	6	1	6
PE018023	0	14	1	0	1	 	 	 	 	 	0	11	1	1	0	0	7	1	1
PE018023	1	48	1	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018023	2	50	2	1	1	10	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018023	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018023	4	17	1	7	1	10	1	4	6	 	0	11	1	1	0	0	7	2	1
PE018023	5	12	2	7	1	8	1	4	5	 	0	9	1	1	0	0	7	3	3
PE018023	15	10	2	7	1	4	1	4	7	 	0	 	 	 	 	 	 	 	 
PE018024	0	14	2	0	1	 	 	 	 	 	0	6	0	1	0	0	7	4	1
PE018024	1	48	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018024	2	44	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018024	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018024	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018024	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018025	0	15	1	0	1	 	 	 	 	 	0	9	0	1	0	0	6	2	4
PE018025	1	37	1	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018025	2	30	2	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018026	0	14	1	0	1	 	 	 	 	 	0	11	0	1	0	0	6	1	5
PE018026	1	45	1	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018026	2	41	2	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018026	3	17	1	7	1	11	1	4	6	 	0	9	0	0	0	5	5	1	4
PE018027	0	15	2	0	1	 	 	 	 	 	0	9	0	1	0	0	7	3	3
PE018027	1	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018027	2	34	2	1	1	13	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018027	3	12	2	7	1	6	1	4	6	 	0	9	0	1	0	0	6	3	5
PE018027	15	9	2	7	1	1	1	4	6	 	0	9	0	0	0	0	6	2	5
PE018027	16	8	2	7	1	1	1	4	6	 	0	9	0	0	0	0	6	2	6
PE018027	17	2	2	9	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE018027	18	40	1	2	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018028	0	15	1	0	1	 	 	 	 	 	0	10	3	1	0	0	6	2	1
PE018028	1	49	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018028	2	44	2	1	1	8	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018028	3	22	1	7	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018028	4	18	1	7	1	8	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018028	5	12	2	7	1	5	1	4	6	 	0	9	2	2	0	0	7	1	2
PE018028	6	21	2	16	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018028	7	2	2	15	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018028	8	0	1	15	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018029	0	14	1	0	1	 	 	 	 	 	0	9	0	2	0	0	5	1	6
PE018029	1	49	2	1	1	5	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018029	2	21	1	9	1	15	1	4	 	 	0	 	 	 	 	 	 	 	 
PE018029	15	11	2	7	1	6	1	4	6	 	0	9	0	2	0	0	6	3	4
PE018030	0	14	2	0	1	 	 	 	 	 	0	8	0	2	3	0	6	2	2
PE018030	1	45	2	1	1	10	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018030	15	11	1	7	1	6	1	4	5	 	0	9	0	2	0	0	6	3	4
PE018031	0	15	1	0	1	 	 	 	 	 	0	8	0	1	0	0	6	2	7
PE018031	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018031	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018031	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018031	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018031	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018031	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018031	18	35	2	13	1	19	0	1	 	 	0	 	 	 	 	 	 	 	 
PE018031	19	31	2	13	1	14	0	1	 	 	0	 	 	 	 	 	 	 	 
PE018032	0	15	2	0	1	 	 	 	 	 	0	9	0	2	0	0	7	2	4
PE018032	1	43	1	1	1	14	0	1	 	 	0	 	 	 	 	 	 	 	 
PE018032	2	40	2	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018032	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018032	4	18	2	7	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018032	5	14	2	7	1	9	1	4	6	 	0	9	0	2	0	0	7	3	3
PE018033	0	15	1	0	1	 	 	 	 	 	0	8	0	3	0	0	6	3	3
PE018033	1	71	2	5	1	3	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018034	0	15	2	0	1	 	 	 	 	 	0	10	0	1	2	0	7	1	3
PE018034	1	51	1	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018034	2	42	2	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018034	3	23	1	7	1	14	0	1	 	 	0	 	 	 	 	 	 	 	 
PE018034	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018035	0	14	2	0	1	 	 	 	 	 	0	8	0	1	0	0	6	4	4
PE018035	1	38	2	1	1	8	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018035	2	58	2	5	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018035	3	34	1	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018035	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018035	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018035	6	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018035	7	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018035	8	13	2	7	1	6	1	4	6	 	0	12	0	1	0	0	6	4	2
PE018035	15	8	1	9	1	2	1	4	6	 	0	11	0	0	0	0	6	1	6
PE018036	0	14	2	0	1	 	 	 	 	 	0	10	0	1	0	0	6	2	1
PE018036	1	32	2	1	1	9	0	1	 	 	0	 	 	 	 	 	 	 	 
PE018036	2	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018036	15	9	2	7	1	3	1	4	6	 	0	10	0	1	0	0	7	1	3
PE018036	16	12	1	9	1	4	1	4	6	 	0	10	0	1	0	0	7	1	3
PE018036	17	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018036	18	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018036	19	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018037	0	15	1	0	1	 	 	 	 	 	0	8	0	2	0	0	6	3	5
PE018037	1	49	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018037	2	42	2	1	1	8	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018037	3	17	2	7	1	11	1	4	7	 	0	8	0	2	0	0	6	2	6
PE018037	4	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018038	0	14	1	0	1	 	 	 	 	 	0	10	0	0	0	0	6	2	5
PE018038	1	44	1	1	1	13	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018038	2	36	2	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018038	3	19	1	7	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018038	15	10	1	7	1	5	1	4	6	 	0	11	0	0	0	0	5	2	6
PE018038	16	6	2	7	1	1	1	4	6	 	0	10	0	0	0	0	5	1	7
PE018039	0	14	1	0	1	 	 	 	 	 	0	9	2	1	0	0	6	1	6
PE018039	1	38	1	1	1	15	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018039	2	33	2	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018039	15	11	2	7	1	6	1	4	5	 	0	9	4	2	0	0	6	2	2
PE018039	16	5	2	7	1	20	1	4	5	 	0	11	0	0	0	0	5	1	7
PE018039	17	4	2	7	1	20	1	4	5	 	0	10	0	0	0	0	5	2	7
PE018039	18	0	2	7	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE018040	0	15	1	0	1	 	 	 	 	 	0	9	1	1	0	0	6	1	1
PE018040	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018040	2	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018040	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018040	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018040	5	38	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018040	6	36	2	1	1	13	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018040	7	17	1	7	1	13	1	4	6	 	0	8	0	1	0	2	6	1	2
PE018040	8	8	2	7	1	3	1	4	6	 	0	9	1	1	0	0	6	2	2
PE018040	9	1	2	7	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018041	0	14	1	0	1	 	 	 	 	 	0	9	0	1	0	0	7	3	2
PE018041	1	64	1	1	1	5	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018041	2	51	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018041	3	17	1	7	1	7	1	4	8	 	1	9	0	2	0	0	4	1	6
PE018041	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018041	5	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018042	0	15	2	0	1	 	 	 	 	 	0	10	0	2	0	1	7	2	2
PE018042	1	48	1	1	1	14	0	1	 	 	0	 	 	 	 	 	 	 	 
PE018042	2	43	2	1	1	14	0	1	 	 	0	 	 	 	 	 	 	 	 
PE018042	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018042	4	13	1	7	1	8	1	4	6	 	0	10	0	1	1	0	7	2	3
PE018043	0	14	1	0	1	 	 	 	 	 	0	10	0	0	0	0	6	1	7
PE018043	1	47	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018043	2	41	2	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018043	3	22	2	7	1	14	0	1	6	 	0	 	 	 	 	 	 	 	 
PE018043	4	79	1	6	1	 	 	 	 	 	5	 	 	 	 	 	 	 	 
PE018043	5	63	2	6	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018043	6	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018043	7	41	2	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018043	8	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018043	9	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018043	10	17	2	14	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018043	11	11	2	14	1	 	 	 	 	 	0	10	0	0	0	0	6	1	6
PE018044	0	15	1	0	1	 	 	 	 	 	0	11	0	3	0	0	0	1	4
PE018044	1	64	1	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018044	2	57	2	1	1	6	0	4	 	 	2	 	 	 	 	 	 	 	 
PE018044	3	26	2	7	1	8	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018044	4	21	2	7	1	13	0	1	 	 	0	 	 	 	 	 	 	 	 
PE018044	15	9	2	15	1	 	 	 	 	 	0	11	0	1	0	0	6	2	3
PE018044	16	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018044	17	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018044	18	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018044	19	6	1	15	1	 	 	 	 	 	0	12	0	0	0	0	6	2	4
PE018045	0	14	2	0	1	 	 	 	 	 	0	10	3	2	0	0	6	2	1
PE018045	1	39	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018045	2	37	2	1	1	1	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018045	3	13	1	7	1	7	1	4	6	 	0	12	3	0	0	0	6	3	1
PE018045	15	12	1	7	1	4	1	4	7	 	0	11	0	0	0	0	5	1	5
PE018046	0	15	1	0	1	 	 	 	 	 	0	9	0	0	0	0	5	2	8
PE018046	1	59	1	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018046	2	48	2	1	1	13	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018046	3	26	2	7	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018046	4	25	2	7	1	15	1	4	 	 	0	 	 	 	 	 	 	 	 
PE018046	5	5	2	14	1	 	 	 	 	 	0	10	0	0	0	0	4	1	8
PE018046	6	0	2	15	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018047	0	15	2	0	1	 	 	 	 	 	0	10	1	1	2	0	6	3	1
PE018047	1	47	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018047	2	40	2	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018047	3	21	2	7	1	15	0	1	 	 	0	 	 	 	 	 	 	 	 
PE018047	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018047	5	6	2	7	1	1	1	4	6	 	0	10	2	1	0	0	6	1	4
PE018047	6	2	1	15	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE018048	0	15	2	0	1	 	 	 	 	 	0	11	0	1	0	4	6	1	1
PE018048	1	52	1	1	1	7	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018048	2	44	2	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018048	3	27	1	7	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE018048	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018048	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE018048	6	21	2	7	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
