childid	cropid	cropr3	qnthrvr3	qntuntr3
PE048003	1	44	3	10
PE048003	2	89	1	10
PE048004	1	89	1	10
PE048004	2	44	4	10
PE048004	3	99	8	10
PE048005	1	44	250	3
PE048005	2	89	150	3
PE048006	1	99	10	10
PE048006	2	44	12	10
PE048006	3	55	30	10
PE048007	1	44	5	10
PE048007	2	99	2	10
PE048007	3	55	20	10
PE048007	4	89	1	10
PE048008	1	4	40	8
PE048008	2	17	4	10
PE048009	1	55	200	10
PE048009	2	44	100	10
PE048009	3	86	100	10
PE048009	4	75	30	10
PE048009	5	12	50	10
PE048009	6	10	40	10
PE048009	7	6	30	10
PE048010	1	44	20	10
PE048010	2	89	5	10
PE048010	3	55	30	10
PE048010	4	99	12	10
PE048010	5	6	10	10
PE048010	6	12	20	10
PE048010	7	10	10	10
PE048011	1	44	4	10
PE048011	2	75	7	10
PE048011	3	101	10	10
PE048011	4	86	15	10
PE048011	5	4	5	11
PE048012	1	44	6	10
PE048012	2	55	30	10
PE048012	3	89	10	10
PE048014	1	44	16	10
PE048014	2	89	10	10
PE048015	1	51	400	8
PE048015	2	108	600	8
PE048015	3	3	320	8
PE048016	1	55	50	10
PE048016	2	44	20	10
PE048016	3	26	3	10
PE048016	4	10	14	10
PE048017	1	44	18	10
PE048017	2	55	80	10
PE048017	3	75	12	10
PE048018	1	44	5	10
PE048018	2	89	2	10
PE048018	3	75	2	10
PE048018	4	55	10	10
PE048020	1	44	15	10
PE048020	2	55	4	10
PE048020	3	89	4	10
PE048021	1	44	12	10
PE048021	2	75	6	10
PE048021	3	55	10	10
PE048021	4	12	5	10
PE048021	5	108	15	10
PE048022	1	44	18	10
PE048022	2	89	6	10
PE048022	3	6	1	10
PE048022	4	12	6	10
PE048023	1	4	120000	7
PE048023	2	85	40	10
PE048023	3	44	12	10
PE048024	1	55	120	10
PE048024	2	44	5	10
PE048024	3	86	2	10
PE048024	4	108	40	8
PE048025	1	44	10	10
PE048025	2	55	10	10
PE048025	3	101	15	10
PE048025	4	10	10	8
PE048025	5	89	1	10
PE048025	6	92	1	10
PE048025	7	93	100	8
PE048026	1	55	200	10
PE048026	2	101	30	10
PE048026	3	99	15	10
PE058003	1	44	4	10
PE058003	2	89	3	9
PE058003	3	99	8	9
PE058003	4	85	10	3
PE058003	5	75	3	9
PE058003	6	108	2	9
PE058003	7	10	20	8
PE058007	1	93	21	11
PE058007	2	4	25	11
PE058008	1	53	8820	2
PE058008	2	45	200	8
PE058008	3	108	300	8
PE058008	4	132	200	8
PE058011	1	17	10	10
PE058011	2	44	4	10
PE058011	3	89	2	10
PE058011	4	4	10	7
PE058011	5	85	10	10
PE058013	1	4	50	7
PE058014	1	53	36	4
PE058015	1	17	3	2
PE058016	1	53	12000	2
PE058017	1	53	240	10
PE058019	1	17	22	10
PE058021	1	44	8	10
PE058021	2	108	3	10
PE058021	3	4	5	11
PE058022	1	17	9	10
PE058023	1	44	4	10
PE058023	2	53	20	10
PE058023	3	4	200	8
PE058023	4	89	4	10
PE058023	5	51	300	8
PE058023	6	93	100	8
PE058025	1	17	8	10
PE058025	2	89	2	3
PE058025	3	85	1	3
PE058025	4	4	10	7
PE058025	5	44	100	2
PE058026	1	83	15	11
PE058027	1	44	3	10
PE058027	2	85	3	10
PE058028	1	17	25	10
PE058028	2	4	50	11
PE058028	3	85	10	11
PE058028	4	44	5	10
PE058029	1	17	5	10
PE058029	2	44	2	10
PE058029	3	85	3	10
PE058029	4	4	30	7
PE058029	5	89	1	10
PE058030	1	17	20	10
PE068007	1	17	20	10
PE068007	2	89	5	10
PE068007	3	44	2	10
PE068017	1	85	2	10
PE068020	1	90	660	2
PE068023	1	90	.5	4
PE068023	2	45	1500	8
PE068023	3	17	6	10
PE068023	4	72	3	4
PE068023	5	108	7000	8
PE068023	6	108	1300	2
PE068023	7	89	400	2
PE078013	1	44	4	10
PE078013	2	55	5	10
PE078014	1	5	2	10
PE078026	1	44	4	3
PE078036	1	108	5	3
PE078036	2	75	1	3
PE078045	1	44	2	10
PE078048	1	55	30	3
PE078048	2	108	5	3
PE078048	3	75	6	3
PE078052	1	44	6	10
PE098001	1	101	6	3
PE098001	2	5	6	3
PE098002	1	99	72	2
PE098002	2	5	70	2
PE098002	3	44	24	2
PE098002	4	101	36	2
PE098002	5	75	280	2
PE098004	1	75	5	10
PE098004	2	55	10	10
PE098004	3	44	8	10
PE098004	4	5	2	10
PE098005	1	75	2	10
PE098005	2	44	1	10
PE098005	3	55	7	10
PE098005	4	5	2	10
PE098005	5	108	6	1
PE098005	6	101	1	3
PE098005	7	87	3	1
PE098006	1	99	2	3
PE098006	2	44	1	3
PE098006	3	101	2	3
PE098007	1	44	30	2
PE098007	2	5	150	2
PE098007	3	99	150	2
PE098007	4	75	100	2
PE098007	5	101	100	2
PE098007	6	55	100	2
PE098008	1	75	250	2
PE098008	2	55	70	2
PE098008	3	101	60	2
PE098008	4	96	216	2
PE098008	5	52	7	2
PE098009	1	101	3	10
PE098009	2	44	4	10
PE098009	3	75	4	10
PE098009	4	99	2	10
PE098009	5	89	1	10
PE098009	6	5	3	10
PE098010	1	44	120	2
PE098010	2	55	2100	2
PE098010	3	5	3	10
PE098011	1	55	3	10
PE098011	2	99	80	2
PE098011	3	5	7	3
PE098011	4	101	5	3
PE098011	5	44	4	3
PE098011	6	75	5	3
PE098011	7	96	6	3
PE098011	8	86	18	2
PE098012	1	99	3	3
PE098012	2	44	3	3
PE098012	3	55	100	2
PE098012	4	75	8	3
PE098012	5	5	8	3
PE098012	6	101	3	3
PE098013	1	101	4	10
PE098013	2	75	2	10
PE098013	3	44	2	10
PE098013	4	55	8	10
PE098013	5	89	3	3
PE098014	1	99	2	10
PE098014	2	5	1	10
PE098014	3	101	1	10
PE098014	4	44	1.5	10
PE098014	5	75	14	3
PE098014	6	55	7	3
PE098015	1	44	1.5	10
PE098015	2	75	2	10
PE098015	3	55	4	10
PE098015	4	5	1	10
PE098015	5	101	1	3
PE098015	6	99	1	10
PE098017	1	101	1	10
PE098017	2	75	2	10
PE098017	3	99	1	10
PE098017	4	44	6	2
PE098017	5	87	6	2
PE098017	6	5	1	10
PE098017	7	108	2	2
PE098019	1	99	1	3
PE098019	2	101	1	3
PE098021	1	44	3	10
PE098021	2	75	7	10
PE098021	3	99	1	10
PE098021	4	101	3	10
PE098021	5	89	1	10
PE098021	6	55	5	10
PE098021	7	6	6	6
PE098022	1	101	3	10
PE098022	2	75	4	10
PE098022	3	44	2	10
PE098022	4	99	3	10
PE098023	1	99	3	10
PE098023	2	50	1	10
PE098023	3	101	1	10
PE098023	4	44	3	3
PE098023	5	55	4	10
PE098023	6	75	2	10
PE098024	1	99	12	2
PE098024	2	75	100	2
PE098024	3	44	24	2
PE098024	4	89	2	2
PE098024	5	3	40	2
PE098024	6	101	12	2
PE098025	1	55	1	10
PE098025	2	6	25	6
PE098025	3	50	55	6
PE098025	4	10	6	8
PE098025	5	44	1	10
PE098025	6	108	2	8
PE098025	7	99	1	3
PE098026	1	96	4	10
PE098026	2	86	2	10
PE098026	3	75	3	10
PE098026	4	99	2	10
PE098026	5	101	2	10
PE098026	6	5	2	10
PE098029	1	44	10	10
PE098029	2	75	4	10
PE098029	3	83	15	11
PE098029	4	3	100	2
PE108021	1	55	2	10
PE108021	2	44	12	2
PE118001	1	44	3	10
PE118002	1	44	2	10
PE118002	2	55	3	10
PE118003	1	44	20	10
PE118003	2	75	8	10
PE118003	3	5	6	10
PE118003	4	96	7	10
PE118003	5	55	10	10
PE118003	6	86	5	10
PE118003	7	89	4	10
PE118005	1	44	5	10
PE118005	2	75	2	10
PE118005	3	55	8	10
PE118005	4	96	2	10
PE118005	5	108	30	8
PE118006	1	44	3	10
PE118006	2	5	4	3
PE118006	3	75	1.5	10
PE118006	4	55	2	10
PE118007	1	44	2	10
PE118007	2	55	2	10
PE118007	3	75	2	3
PE118007	4	101	2	3
PE118008	1	44	6	10
PE118008	2	55	3	10
PE118008	3	75	1	10
PE118009	1	44	5	10
PE118009	2	5	2	10
PE118009	3	55	3	10
PE118010	1	44	160	2
PE118010	2	101	80	2
PE118010	3	99	50	2
PE118010	4	55	400	2
PE118010	5	5	50	2
PE118010	6	86	30	2
PE118011	1	44	5	10
PE118011	2	75	2	10
PE118011	3	55	6	10
PE118011	4	5	1	10
PE118011	5	101	2	10
PE118012	1	55	4	10
PE118012	2	75	3	10
PE118013	1	55	10	10
PE118013	2	101	4	10
PE118013	3	75	2	10
PE118013	4	44	5	10
PE118013	5	86	1	10
PE118013	6	96	6	10
PE118013	7	12	2	10
PE118013	8	87	1	10
PE118014	1	17	10	10
PE118014	2	4	40	7
PE118014	3	108	12	10
PE118014	4	53	30	10
PE118014	5	44	20	10
PE118014	6	85	8	10
PE118014	7	51	4	10
PE118015	1	44	50	2
PE118015	2	55	50	2
PE118015	3	5	100	2
PE118015	4	96	24	2
PE118016	1	17	600	2
PE118017	1	44	5	10
PE118017	2	75	11	3
PE118017	3	5	1	10
PE118017	4	55	7	10
PE118017	5	96	2	10
PE118017	6	86	5	10
PE118017	7	87	1	3
PE118017	8	99	2	3
PE118018	1	99	24	2
PE118018	2	44	4	10
PE118018	3	55	4	10
PE118018	4	75	36	2
PE118019	1	44	2	10
PE118019	2	75	1	10
PE118019	3	5	2	10
PE118019	4	96	1	10
PE118019	5	86	1	10
PE118019	6	55	5	10
PE118019	7	101	50	2
PE118019	8	99	13	2
PE118020	1	99	3	3
PE118020	2	5	3	3
PE118020	3	44	1	10
PE118020	4	55	3	10
PE118020	5	75	1	10
PE118021	1	17	50	2
PE118021	2	4	250	11
PE118022	1	99	12	3
PE118022	2	5	36	3
PE118022	3	44	90	3
PE118022	4	96	48	3
PE118022	5	55	90	3
PE118022	6	75	30	3
PE118022	7	101	12	3
PE118023	1	55	10	10
PE118023	2	75	12	10
PE118023	3	44	10	10
PE118023	4	96	2	10
PE118023	5	86	2.5	10
PE118023	6	101	2.5	10
PE118023	7	5	5	10
PE118024	1	55	7	10
PE118024	2	96	12	10
PE118024	3	86	5	10
PE118024	4	95	3	10
PE118024	5	44	6	10
PE118024	6	87	1	10
PE118024	7	101	1	10
PE118027	1	55	40	10
PE118027	2	44	10	10
PE118027	3	75	2	10
PE118027	4	99	12	2
PE118027	5	5	3	10
PE118027	6	49	60	11
PE118027	7	101	2	10
PE118027	8	86	5	10
PE118028	1	55	576	2
PE118028	2	75	72	2
PE118028	3	44	72	2
PE118028	4	5	144	2
PE118028	5	87	24	2
PE118028	6	96	72	2
PE118028	7	86	36	2
PE118029	1	44	3	10
PE118029	2	75	1	10
PE118029	3	5	1	10
PE118029	4	99	36	2
PE138005	1	92	1000	11
PE138005	2	3	500	11
PE138009	1	3	2	10
PE138036	1	44	20	10
PE138036	2	55	30	10
PE138036	3	101	2	10
PE138036	4	99	50	2
PE138042	1	108	480	2
PE138042	2	56	1000	2
PE138042	3	3	72	2
PE158005	1	90	8	2
PE158005	2	4	75	7
PE158005	3	51	1000	8
PE158005	4	45	400	8
PE158006	1	51	15000	8
PE158006	2	90	200	2
PE158006	3	4	150	2
PE158006	4	3	100	2
PE158006	5	45	50	8
PE158006	6	109	10	8
PE158006	7	132	200	8
PE158008	1	51	10000	8
PE158008	2	85	25	3
PE158008	3	4	3	7
PE158009	1	90	500	2
PE158009	2	17	60	10
PE158009	3	85	600	3
PE158009	4	51	2000	2
PE158009	5	132	200	2
PE158009	6	54	300	8
PE158009	7	89	100	2
PE158010	1	85	800	3
PE158010	2	17	500	2
PE158010	3	4	1200	2
PE158010	4	51	6000	8
PE158010	5	45	200	8
PE158011	1	17	3	10
PE158011	2	90	270	2
PE158011	3	51	4000	8
PE158011	4	51	450	8
PE158011	5	4	180	7
PE158012	1	17	6	10
PE158012	2	90	4	10
PE158012	3	85	2	10
PE158012	4	51	3	10
PE158013	1	51	185000	2
PE158013	2	90	3600	2
PE158013	3	51	600	2
PE158013	4	85	600	2
PE158013	5	89	20	2
PE158013	6	124	10	2
PE158014	1	4	30	2
PE158014	2	85	150	2
PE158014	3	44	15	10
PE158014	4	51	4000	8
PE158014	5	90	80	2
PE158016	1	51	30000	8
PE158016	2	90	50	2
PE158016	3	53	150	2
PE158016	4	85	5	3
PE158017	1	51	12000	8
PE158017	2	85	1000	2
PE158017	3	4	500	7
PE158017	4	93	400	8
PE158017	5	109	2000	8
PE158018	1	53	2	10
PE158019	1	4	80	7
PE158019	2	90	80	2
PE158019	3	51	1000	8
PE158019	4	51	2000	8
PE158019	5	44	1000	2
PE158019	6	85	300	3
PE158022	1	85	9200	2
PE158022	2	51	3000	8
PE158022	3	45	500	8
PE158023	1	90	960	2
PE158023	2	85	1152	2
PE158024	1	51	85000	8
PE158024	2	90	500	2
PE158024	3	4	8	7
PE158025	1	53	20	10
PE158031	1	90	7200	2
PE158031	2	85	1000	2
PE158031	3	4	1000	2
PE158031	4	17	800	2
PE158032	1	45	20	2
PE158032	2	51	300	11
PE158034	1	90	130	2
PE158034	2	4	800	2
PE158035	1	85	300	3
PE158036	1	51	150000	8
PE158036	2	53	1200	2
PE158036	3	17	1600	2
PE158036	4	90	1000	2
PE158036	5	3	1000	8
PE158036	6	45	2000	8
PE158037	1	90	600	2
PE158037	2	51	500	2
PE158037	3	85	50	3
PE158039	1	17	30	10
PE158039	2	4	40	2
PE158040	1	17	30	10
PE158041	1	51	20	4
PE158041	2	85	10	4
PE158041	3	90	600	2
PE158041	4	4	2000	2
PE158042	1	17	1200	2
PE158043	1	90	135	2
PE158043	2	85	1000	2
PE158043	3	4	50	7
PE158043	4	44	40	2
PE158043	5	53	100	2
PE158045	1	4	20	7
PE158045	2	45	1000	8
PE158046	1	17	6	10
PE158046	2	90	3	10
PE158046	3	44	2	10
PE158048	1	85	150	3
PE158048	2	4	600	2
PE158048	3	90	1000	2
PE158048	4	44	6	3
PE158048	5	89	5	3
PE158049	1	90	1000	2
PE158049	2	17	160	2
PE158049	3	85	480	2
PE158049	4	51	44000	8
PE158049	5	4	180	7
PE158049	6	3	400	8
PE158049	7	67	800	8
PE158051	1	90	300	2
PE158051	2	85	100	3
PE158051	3	108	800	8
PE158051	4	89	80	2
PE158053	1	4	5000	8
PE158053	2	85	40	10
PE158053	3	45	10	10
PE158053	4	51	12	10
PE158053	5	90	12	10
PE158053	6	17	15	10
PE158053	7	53	8	10
PE158054	1	90	3	10
PE158054	2	51	20	10
PE158054	3	45	7	10
PE158054	4	4	1300	10
PE158055	1	85	60	10
PE158055	2	90	5	10
PE158055	3	53	6	10
PE158055	4	51	500	8
PE158056	1	85	500	2
PE158056	2	90	200	2
PE158056	3	51	200	8
PE158056	4	4	10	7
PE168001	1	55	10	10
PE168001	2	75	150	2
PE168001	3	5	2	10
PE168002	1	55	300	2
PE168002	2	5	2	10
PE168002	3	75	2	10
PE168002	4	44	160	2
PE168002	5	96	1	10
PE168002	6	95	1	10
PE168002	7	86	25	2
PE168003	1	55	20	2
PE168003	2	44	20	2
PE168003	3	5	5	2
PE168003	4	87	3	3
PE168003	5	101	2	2
PE168003	6	99	1	2
PE168004	1	44	2	10
PE168004	2	101	100	2
PE168004	3	75	200	2
PE168005	1	75	10	10
PE168005	2	5	8	10
PE168005	3	55	3	10
PE168005	4	99	1	10
PE168005	5	44	5	10
PE168005	6	87	2	3
PE168005	7	86	1	10
PE168005	8	96	2	10
PE168006	1	5	300	2
PE168006	2	55	200	2
PE168006	3	75	100	2
PE168006	4	87	40	2
PE168006	5	101	50	2
PE168007	1	55	640	2
PE168007	2	5	150	2
PE168007	3	75	150	2
PE168007	4	99	50	2
PE168007	5	86	80	2
PE168007	6	96	40	2
PE168007	7	44	50	2
PE168008	1	5	5	10
PE168008	2	55	40	10
PE168008	3	86	2	10
PE168008	4	87	1	10
PE168008	5	44	1	10
PE168008	6	75	2	10
PE168008	7	101	30	2
PE168009	1	55	2400	2
PE168009	2	5	3600	2
PE168009	3	101	100	2
PE168009	4	99	100	2
PE168010	1	55	300	2
PE168010	2	5	100	2
PE168011	1	55	4	10
PE168011	2	86	12	10
PE168011	3	95	2	10
PE168011	4	5	5	10
PE168011	5	101	10	10
PE168011	6	75	10	10
PE168012	1	99	4	2
PE168012	2	5	300	2
PE168012	3	86	400	2
PE168012	4	75	100	2
PE168012	5	87	10	2
PE168013	1	5	5	2
PE168013	2	75	7	2
PE168013	3	55	40	2
PE168013	4	44	10	2
PE168013	5	96	5	2
PE168013	6	87	1	2
PE168013	7	99	4	2
PE168015	1	5	3	10
PE168015	2	55	3	10
PE168015	3	44	6	10
PE168015	4	101	3	10
PE168015	5	75	4	3
PE168016	1	5	8	10
PE168016	2	55	20	10
PE168016	3	101	1	10
PE168016	4	99	1	10
PE168016	5	44	2	3
PE168017	1	50	2	10
PE168017	2	101	3	10
PE168017	3	44	2	10
PE168017	4	95	6	10
PE168017	5	86	1	10
PE168017	6	55	10	10
PE168017	7	75	50	2
PE168018	1	5	500	2
PE168018	2	101	150	2
PE168018	3	55	1200	2
PE168018	4	87	20	2
PE168018	5	99	150	2
PE168018	6	86	100	2
PE168018	7	75	100	2
PE168019	1	55	10	10
PE168019	2	49	3	10
PE168020	1	55	1000	2
PE168020	2	5	500	2
PE168020	3	101	250	2
PE168020	4	75	100	2
PE168020	5	96	200	2
PE168020	6	86	100	2
PE168020	7	95	80	2
PE168021	1	5	15	10
PE168021	2	55	100	10
PE168021	3	75	5	10
PE168021	4	101	5	10
PE168021	5	99	2	10
PE168021	6	87	1	10
PE168022	1	55	12	10
PE168022	2	49	2	10
PE168022	3	5	4	10
PE168022	4	101	1	10
PE168023	1	5	6	10
PE168023	2	55	7	10
PE168023	3	96	3	10
PE168023	4	75	1	10
PE168023	5	44	1	10
PE168023	6	87	1	3
PE168023	7	101	1	10
PE168024	1	55	2400	2
PE168024	2	44	1000	2
PE168024	3	5	700	2
PE168024	4	75	500	2
PE168024	5	101	400	2
PE168024	6	87	100	2
PE168024	7	86	100	2
PE168025	1	55	40	2
PE168025	2	44	2	2
PE168025	3	5	30	2
PE168025	4	101	2	2
PE168025	5	86	3	2
PE168025	6	87	1	2
PE168025	7	55	2	2
PE178001	1	55	20	2
PE178001	2	5	2	10
PE178003	1	44	100	2
PE178003	2	101	50	2
PE178003	3	75	50	2
PE178006	1	5	2	10
PE178006	2	44	3	10
PE178006	3	75	1	3
PE178006	4	55	4	10
PE178006	5	101	2	3
PE178006	6	86	2	10
PE178006	7	96	2	10
PE178010	1	55	100	2
PE178010	2	5	80	2
PE178010	3	101	50	2
PE178010	4	86	20	2
PE178010	5	96	25	2
PE178010	6	95	25	2
PE178010	7	99	2	3
PE178013	1	44	100	2
PE178013	2	55	1	10
PE178013	3	5	3	10
PE178013	4	75	2	10
PE178019	1	55	200	2
PE178019	2	5	200	2
PE178019	3	101	100	2
PE178020	1	5	1	10
PE178021	1	55	4	10
PE178021	2	101	1	10
PE178021	3	86	2	10
PE178021	4	5	4	10
PE178022	1	101	1	10
PE178022	2	86	2	10
PE178022	3	55	3	10
PE178022	4	5	4	10
PE178024	1	75	3	3
PE178024	2	101	3	3
PE178024	3	5	3	3
PE178025	1	44	2	10
PE178025	2	69	2	10
PE178025	3	108	200	2
PE178025	4	108	20	11
PE178025	5	101	50	2
PE178025	6	75	200	2
PE178025	7	5	200	2
PE178026	1	75	2	10
PE178026	2	5	2	10
PE178026	3	101	1	10
PE178026	4	55	3	10
PE178027	1	75	2	10
PE178027	2	5	2	10
PE178027	3	44	2	10
PE178028	1	5	2	10
PE178028	2	75	3	10
PE178028	3	44	4	10
PE178029	1	75	3	10
PE178029	2	5	1	10
PE178029	3	55	4	10
PE178030	1	5	3	10
PE178030	2	75	3	10
PE178030	3	55	2	10
PE178030	4	101	2	10
PE178031	1	75	8	3
PE178031	2	5	8	3
PE178031	3	55	50	10
PE178033	1	75	250	2
PE178033	2	5	250	2
PE178033	3	55	50	2
PE178033	4	96	50	2
PE178033	5	44	6	10
PE178033	6	86	1	3
PE178033	7	101	50	2
PE178034	1	75	3	10
PE178034	2	5	2	10
PE178035	1	75	6	3
PE178035	2	5	7	3
PE178035	3	101	3	3
PE178035	4	44	2	3
PE178035	5	55	6	3
PE178036	1	5	5	10
PE178036	2	44	2	10
PE178036	3	55	5	3
PE188001	1	44	3	10
PE188001	2	55	25	10
PE188002	1	55	30	10
PE188004	1	44	4	10
PE188004	2	55	6	10
PE188004	3	5	3	10
PE188005	1	55	5	10
PE188005	2	44	4	5
PE188005	3	5	10	10
PE188005	4	75	2	10
PE188005	5	86	2	10
PE188005	6	96	3	10
PE188005	7	95	1	10
PE188006	1	55	800	2
PE188006	2	44	200	2
PE188006	3	5	50	2
PE188007	1	96	20	10
PE188007	2	55	100	10
PE188007	3	86	14	10
PE188007	4	75	8	10
PE188007	5	5	20	10
PE188007	6	44	6	10
PE188007	7	87	1	3
PE188008	1	44	4	10
PE188008	2	55	8	10
PE188008	3	101	3	10
PE188008	4	96	5	10
PE188008	5	95	4	10
PE188009	1	44	6	2
PE188009	2	101	15	2
PE188009	3	55	14	2
PE188009	4	86	3	2
PE188009	5	5	5	2
PE188009	6	75	10	2
PE188009	7	87	3	3
PE188010	1	44	3	10
PE188010	2	55	25	10
PE188010	3	5	2	10
PE188010	4	101	1	10
PE188011	1	44	1500	2
PE188011	2	55	15000	2
PE188011	3	101	3000	2
PE188011	4	5	2000	2
PE188011	5	86	500	2
PE188011	6	95	500	2
PE188012	1	44	4	10
PE188012	2	5	2	10
PE188012	3	101	2	10
PE188012	4	96	3	10
PE188012	5	86	2	10
PE188013	1	55	1000	2
PE188013	2	101	300	2
PE188013	3	5	300	2
PE188013	4	86	500	2
PE188013	5	96	100	2
PE188015	1	55	12	10
PE188015	2	44	8	10
PE188015	3	101	3	10
PE188017	1	55	20	10
PE188017	2	5	5	10
PE188017	3	86	3	10
PE188017	4	96	5	10
PE188017	5	99	1	10
PE188017	6	101	1	10
PE188017	7	12	10	10
PE188018	1	55	10	10
PE188018	2	86	3	10
PE188018	3	44	12	10
PE188018	4	5	10	10
PE188018	5	101	6	10
PE188019	1	44	16	10
PE188019	2	87	12	2
PE188019	3	101	48	2
PE188020	1	44	16	10
PE188020	2	96	4	10
PE188020	3	55	20	10
PE188020	4	5	7	10
PE188020	5	81	 	 
PE188021	1	44	6	10
PE188021	2	55	10	10
PE188021	3	75	2	10
PE188021	4	5	4	10
PE188021	5	101	1	10
PE188022	1	55	10	10
PE188022	2	101	2	10
PE188022	3	5	3	10
PE188022	4	96	10	10
PE188023	1	55	6	10
PE188023	2	5	7	10
PE188023	3	44	3	10
PE188024	1	55	10	10
PE188024	2	44	6	10
PE188024	3	5	6	10
PE188024	4	86	6	10
PE188024	5	96	3	10
PE188024	6	75	3	10
PE188025	1	44	10	10
PE188025	2	75	8	10
PE188025	3	86	20	10
PE188025	4	55	40	10
PE188026	1	55	10	10
PE188026	2	86	1	10
PE188026	3	44	5	10
PE188026	4	5	1	10
PE188026	5	101	3	3
PE188026	6	96	3	3
PE188027	1	44	10	10
PE188027	2	55	20	10
PE188027	3	75	2	10
PE188027	4	5	2	10
PE198001	1	53	16	10
PE198001	2	89	4	10
PE198006	1	53	5	10
PE198008	1	50	50	10
PE198009	1	53	5000	2
PE198009	2	89	1000	2
PE198009	3	44	300	2
PE198011	1	53	35	10
PE198013	1	53	13000	2
PE198013	2	44	2000	2
PE198013	3	89	1900	2
PE198016	1	53	200	10
PE198016	2	89	5000	2
PE198028	1	53	15000	2
PE198028	2	50	17000	2
PE198028	3	69	12000	2
PE208005	1	55	2	10
PE208007	1	5	25	2
PE208007	2	55	1	10
PE208007	3	101	25	2
PE208007	4	87	17.5	2
PE208007	5	86	15	2
PE208022	1	55	220	2
PE208022	2	101	20	2
PE208022	3	5	10	2
PE208024	1	5	7	10
PE208024	2	55	4	10
PE208024	3	87	1	10
PE208024	4	49	5	10
PE208024	5	99	1	10
PE208029	1	49	5	11
PE208037	1	55	10	10
PE208037	2	101	2	10
PE208037	3	5	4	10
PE208037	4	87	2	10
PE208046	1	55	2	10
