childid	nmnincid	nmnamtr3	nmntmer3	nmnnumr3
PE138049	2	30	2	45
PE138049	3	60	7	2
PE138049	6	60	7	2
PE138049	8	60	7	2
PE138049	9	60	7	2
PE138049	11	60	7	2
PE138050	0	0	 	 
PE138050	1	0	 	 
PE138050	2	10	3	52
PE138050	3	24	3	52
PE138051	3	30	8	1
PE138052	17	0	 	 
PE138053	2	160	7	2
PE148001	2	50	7	1
PE148003	1	0	 	 
PE148003	5	0	 	 
PE148006	1	0	 	 
PE148006	2	8	2	288
PE148009	4	0	 	 
PE148011	0	8	2	9
PE148013	1	0	 	 
PE148013	2	0	 	 
PE148014	1	200	7	2
PE148015	1	0	 	 
PE148016	1	100	5	11
PE148019	1	130	8	1
PE148020	1	400	5	7
PE148020	2	150	5	12
PE148021	1	0	 	 
PE148021	2	0	 	 
PE148021	3	0	 	 
PE148021	5	0	 	 
PE148021	8	0	 	 
PE148022	1	400	7	2
PE148023	1	0	 	 
PE148023	3	30	3	13
PE148025	17	0	 	 
PE148026	2	0	 	 
PE148026	6	0	 	 
PE148027	5	16	5	1
PE148028	4	4	2	312
PE148028	5	40	5	12
PE148029	1	0	 	 
PE148030	1	80	7	2
PE148031	1	50	7	1
PE148032	1	0	 	 
PE148032	4	0	 	 
PE148032	5	0	 	 
PE148034	0	7	2	12
PE148034	1	240	5	12
PE148034	3	216	5	1
PE148034	5	288	5	4
PE148036	3	168	8	1
PE148037	2	0	 	 
PE148038	0	8	3	13
PE148038	2	0	 	 
PE148038	3	90	8	1
PE148038	4	30	8	1
PE148038	5	4	3	30
PE148039	1	50	8	1
PE148039	2	0	 	 
PE148041	1	50	8	1
PE148041	5	0	 	 
PE148043	2	200	5	12
PE148043	2	40	5	12
PE148044	1	0	 	 
PE148044	2	60	8	1
PE148045	1	110	8	1
PE148045	6	60	5	1
PE148047	2	0	 	 
PE148048	1	45	3	17
PE148048	3	42	3	9
PE148049	1	0	 	 
PE148051	3	0	 	 
PE148051	4	0	 	 
PE158001	0	450	5	5
PE158001	0	300	5	5
PE158002	1	0	 	 
PE158002	3	0	 	 
PE158004	0	20	3	1
PE158004	3	0	 	 
PE158004	4	0	 	 
PE158004	5	0	 	 
PE158005	1	0	 	 
PE158006	5	0	 	 
PE158006	6	0	 	 
PE158006	7	0	 	 
PE158008	1	0	 	 
PE158008	2	0	 	 
PE158008	4	0	 	 
PE158008	6	0	 	 
PE158008	7	0	 	 
PE158010	1	6	2	210
PE158010	2	6	2	195
PE158010	16	6	2	220
PE158011	4	0	 	 
PE158012	1	200	5	5
PE158013	1	2010	8	1
PE158014	0	0	 	 
PE158014	1	0	 	 
PE158014	5	0	 	 
PE158014	7	0	 	 
PE158015	1	360	8	1
PE158016	1	60	8	1
PE158017	1	0	 	 
PE158018	1	0	 	 
PE158018	2	0	 	 
PE158022	1	190	5	13
PE158023	1	0	 	 
PE158025	1	0	 	 
PE158032	2	180	5	1
PE158033	3	70	5	3
PE158034	1	35	8	1
PE158035	1	0	 	 
PE158037	1	0	 	 
PE158038	1	60	3	24
PE158038	2	0	 	 
PE158041	1	60	3	20
PE158042	1	156	8	1
PE158043	0	35	3	10
PE158043	1	17.5	3	5
PE158043	3	35	3	1
PE158045	0	60	8	1
PE158045	1	96	8	1
PE158045	2	90	8	1
PE158045	3	162	8	1
PE158046	3	0	 	 
PE158047	2	0	 	 
PE158050	1	10	2	60
PE158050	3	20	2	150
PE158050	4	100	2	202
PE158051	1	0	 	 
PE158051	2	0	 	 
PE158052	2	420	5	3
PE158053	0	10	5	1
PE158054	1	96	5	5
PE158054	6	96	5	2
PE158055	1	120	8	1
PE158055	5	240	8	1
PE158055	6	0	 	 
PE158055	7	120	8	1
PE158056	1	338	5	12
PE158056	1	360	5	12
PE168001	1	0	 	 
PE168002	1	0	 	 
PE168002	2	5	3	9
PE168003	1	0	 	 
PE168004	2	0	 	 
PE168005	1	100	8	1
PE168005	4	100	8	1
PE168006	1	3.5	2	160
PE168007	1	3	2	100
PE168007	3	3	2	4
PE168008	1	0	 	 
PE168010	1	60	5	10
PE168010	3	120	5	12
PE168011	6	0	 	 
PE168012	0	200	8	1
PE168012	1	250	8	6
PE168012	2	160	8	4
PE168015	1	60	5	8
PE168016	1	0	 	 
PE168018	0	0	 	 
PE168018	3	700	8	1
PE168020	1	18	3	9
PE168021	3	0	 	 
PE168023	1	0	 	 
PE168024	1	300	7	1
PE168025	0	0	 	 
PE168025	3	0	 	 
PE178001	1	150	5	1
PE178002	1	10	2	240
PE178003	3	0	 	 
PE178004	0	0	 	 
PE178004	1	52	5	12
PE178004	1	21	3	52
PE178006	2	0	 	 
PE178007	1	100	8	1
PE178010	1	0	 	 
PE178015	16	0	 	 
PE178016	1	0	 	 
PE178019	1	12	2	216
PE178019	3	12	2	216
PE178020	1	0	 	 
PE178021	2	0	 	 
PE178024	4	0	 	 
PE178025	20	0	 	 
PE178027	1	28	3	1
PE178028	1	60	5	8
PE178028	4	40	5	4
PE178029	1	60	8	1
PE178029	2	0	 	 
PE178034	3	0	 	 
PE178034	5	0	 	 
PE178035	3	0	 	 
PE178035	8	0	 	 
PE188002	1	0	 	 
PE188012	1	0	 	 
PE188014	5	180	5	12
PE188014	6	0	 	 
PE188015	1	0	 	 
PE188017	1	0	 	 
PE188017	3	0	 	 
PE188017	5	0	 	 
PE188018	1	0	 	 
PE188018	3	0	 	 
PE188019	0	0	 	 
PE188019	4	0	 	 
PE188022	1	0	 	 
PE188023	3	0	 	 
PE188024	3	0	 	 
PE198002	1	0	 	 
PE198002	5	0	 	 
PE198004	1	80	8	1
PE198006	1	0	 	 
PE198006	2	0	 	 
PE198007	2	0	 	 
PE198007	3	0	 	 
PE198008	1	0	 	 
PE198011	1	0	 	 
PE198012	2	0	 	 
PE198014	2	0	 	 
PE198014	16	0	 	 
PE198014	17	0	 	 
PE198015	2	0	 	 
PE198021	1	0	 	 
PE198022	2	240	5	12
PE198024	4	300	5	3
PE198025	1	0	 	 
PE198026	2	0	 	 
PE198027	2	0	 	 
PE198030	1	0	 	 
PE198031	2	0	 	 
PE208003	2	36	3	30
PE208003	5	36	3	52
PE208005	0	5	3	26
PE208009	1	20	8	1
PE208009	2	20	8	1
PE208009	4	20	8	1
PE208009	5	20	8	1
PE208010	1	0	 	 
PE208012	1	30	8	1
PE208013	2	0	 	 
PE208014	1	0	 	 
PE208014	3	0	 	 
PE208015	3	85	8	1
PE208017	3	28	5	52
PE208019	2	0	 	 
PE208022	3	9	3	4
PE208022	17	300	8	1
PE208023	0	0	 	 
PE208023	1	0	 	 
PE208024	1	100	8	1
PE208026	1	200	8	1
PE208027	2	0	 	 
PE208027	3	0	 	 
PE208028	1	0	 	 
PE208033	1	0	 	 
PE208041	5	0	 	 
PE208046	2	100	5	12
PE208048	6	56	3	52
