childid	monincid	montypr3	mnclssr3	monpebr3
PE048010	1	1	1	11
PE048010	2	2	2	9
PE048011	1	2	1	12
PE048011	2	1	2	8
PE048012	1	1	1	20
PE048013	1	6	1	17
PE048013	2	12	2	3
PE048014	1	1	1	9
PE048014	2	11	2	6
PE048014	3	9	3	5
PE048015	1	9	1	15
PE048015	2	7	2	5
PE048016	1	1	1	11
PE048016	2	11	2	9
PE048017	1	9	1	13
PE048017	2	1	2	7
PE048018	1	1	1	14
PE048018	2	11	2	6
PE048019	1	12	1	20
PE048020	1	9	1	12
PE048020	2	1	2	8
PE048021	1	1	1	20
PE048022	1	1	1	20
PE048023	1	1	1	14
PE048023	2	12	2	4
PE048023	3	7	3	2
PE048024	1	1	1	8
PE048024	2	12	2	7
PE048024	3	11	3	5
PE048025	1	2	1	11
PE048025	2	1	2	6
PE048025	3	9	3	3
PE048026	1	12	1	20
PE058001	1	12	1	20
PE058002	1	11	1	15
PE058002	2	12	2	5
PE058003	1	1	1	17
PE058003	2	11	2	3
PE058004	1	12	1	14
PE058004	2	7	2	6
PE058005	1	11	1	12
PE058005	2	6	2	8
PE058006	1	12	1	15
PE058006	2	11	2	5
PE058007	1	11	1	8
PE058007	2	7	2	6
PE058007	3	12	3	4
PE058007	4	1	4	2
PE058008	1	1	1	10
PE058008	2	9	2	6
PE058008	3	6	3	4
PE058011	1	1	1	15
PE058011	2	11	2	5
PE058013	1	11	1	20
PE058014	1	1	1	20
PE058015	1	11	1	12
PE058015	2	7	2	8
PE058016	1	1	1	12
PE058016	2	6	2	8
PE058017	1	1	1	20
PE058019	1	1	1	15
PE058019	2	11	2	5
PE058020	1	11	1	15
PE058020	2	9	2	5
PE058021	1	1	1	20
PE058022	1	1	1	15
PE058022	2	12	2	5
PE058023	1	2	1	10
PE058023	2	1	2	6
PE058023	3	10	3	4
PE058025	1	1	1	20
PE058026	1	2	1	15
PE058026	2	7	2	5
PE058027	1	11	1	13
PE058027	2	7	2	4
PE058027	3	1	3	3
PE058028	1	1	1	20
PE058029	1	11	1	20
PE058030	1	1	1	16
PE058030	2	7	2	4
PE068001	1	12	1	12
PE068001	2	9	2	8
PE068002	1	7	1	11
PE068002	2	6	2	7
PE068002	3	12	3	2
PE068003	1	8	1	15
PE068003	2	12	2	5
PE068004	1	12	1	12
PE068004	2	7	2	8
PE068005	1	9	1	8
PE068005	2	12	2	6
PE068005	3	7	3	6
PE068007	1	7	1	16
PE068007	2	1	2	4
PE068008	1	12	1	8
PE068008	2	6	2	4
PE068008	3	7	3	4
PE068008	4	9	4	4
PE068009	1	12	1	15
PE068009	2	7	2	5
PE068010	1	7	1	13
PE068010	2	9	2	7
PE068011	1	7	1	20
PE068012	1	9	1	15
PE068012	2	7	2	5
PE068013	1	12	1	15
PE068013	2	6	2	5
PE068015	1	12	1	16
PE068015	2	9	2	4
PE068016	1	12	1	12
PE068016	2	9	2	8
PE068017	1	11	1	16
PE068017	2	7	2	4
PE068018	1	6	1	20
PE068019	1	12	1	13
PE068019	2	6	2	7
PE068020	1	1	1	10
PE068020	2	11	2	6
PE068020	3	10	3	4
PE068021	1	12	1	20
PE068022	1	12	1	12
PE068022	2	7	2	8
PE068023	1	1	1	15
PE068023	2	6	2	3
PE068023	3	12	3	2
PE068024	1	6	1	20
PE068025	1	9	1	11
PE068025	2	7	2	6
PE068025	3	6	3	3
PE078001	1	8	1	15
PE078001	2	12	2	5
PE078002	1	8	1	14
PE078002	2	7	2	6
PE078003	1	9	1	20
PE078004	1	7	1	20
PE078005	1	9	1	20
PE078006	1	12	1	20
PE078007	1	12	1	14
PE078007	2	7	2	4
PE078007	3	9	3	2
PE078008	1	7	1	20
PE078009	1	12	1	20
PE078010	1	12	1	20
PE078011	1	7	1	12
PE078011	2	12	2	8
PE078012	1	12	1	20
PE078013	1	12	1	20
PE078014	1	6	1	20
PE078015	1	12	1	14
PE078015	2	7	2	6
PE078016	1	9	1	13
PE078016	2	7	2	7
PE078017	1	12	1	8
PE078017	2	9	2	7
PE078017	3	8	3	5
PE078018	1	6	1	15
PE078018	2	7	2	5
PE078019	1	12	1	20
PE078020	1	7	1	20
PE078021	1	7	1	13
PE078021	2	6	2	7
PE078022	1	12	1	20
PE078023	1	12	1	20
PE078024	1	12	1	20
PE078026	1	12	1	17
PE078026	2	9	2	3
PE078027	1	6	1	11
PE078027	2	12	2	5
PE078027	3	2	3	4
PE078028	1	7	1	11
PE078028	2	9	2	9
PE078029	1	9	1	9
PE078029	2	8	2	8
PE078029	3	7	3	3
PE078030	1	12	1	20
PE078031	1	9	1	14
PE078031	2	7	2	4
PE078031	3	12	3	2
PE078032	1	12	1	20
PE078033	1	12	1	19
PE078033	2	9	2	1
PE078034	1	12	1	17
PE078034	2	10	2	3
PE078035	1	12	1	13
PE078035	2	9	2	7
PE078036	1	12	1	18
PE078036	2	9	2	2
PE078037	1	6	1	20
PE078038	1	12	1	13
PE078038	2	7	2	7
PE078039	1	12	1	15
PE078039	2	9	2	5
PE078040	1	12	1	12
PE078040	2	9	2	8
PE078041	1	12	1	12
PE078041	2	7	2	8
PE078042	1	7	1	15
PE078042	2	6	2	5
PE078043	1	12	1	13
PE078043	2	7	2	7
PE078044	1	12	1	20
PE078045	1	12	1	12
PE078045	2	9	2	5
PE078045	3	7	3	3
PE078046	1	9	1	15
PE078046	2	7	2	5
PE078047	1	12	1	15
PE078047	2	7	2	5
PE078048	1	12	1	20
PE078049	1	7	1	10
PE078049	2	12	2	5
PE078049	3	9	3	5
PE078050	1	7	1	14
PE078050	2	9	2	6
PE078051	1	8	1	20
PE078052	1	7	1	20
PE088001	1	7	1	12
PE088001	2	12	2	8
PE088002	1	9	1	13
PE088002	2	2	2	4
PE088002	3	12	3	3
PE088003	1	12	1	12
PE088003	2	9	2	8
PE088004	1	12	1	13
PE088004	2	7	2	7
PE088005	1	12	1	16
PE088005	2	7	2	4
PE088007	1	7	1	20
PE088008	1	9	1	14
PE088008	2	12	2	6
PE088009	1	9	1	20
PE088010	1	6	1	13
PE088010	2	7	2	7
PE088011	1	12	1	20
PE088012	1	7	1	20
PE088013	1	9	1	20
PE088014	1	8	1	20
PE088015	1	6	1	20
PE088016	1	12	1	12
PE088016	2	7	2	8
PE088017	1	8	1	15
PE088017	2	7	2	5
PE088018	1	12	1	14
PE088018	2	7	2	6
PE088019	1	11	1	20
PE088020	1	9	1	20
PE088021	1	12	1	20
PE088022	1	12	1	12
PE088022	2	7	2	8
PE088023	1	9	1	12
PE088023	2	12	2	8
PE088024	1	12	1	20
PE088025	1	12	1	13
PE088025	2	9	2	7
PE088026	1	12	1	12
PE088026	2	7	2	8
PE088027	1	12	1	20
PE088028	1	12	1	20
PE088029	1	8	1	14
PE088029	2	12	2	3
PE088029	3	9	3	3
PE088031	1	12	1	15
PE088031	2	9	2	5
PE098001	1	2	1	8
PE098001	2	1	2	6
PE098001	3	11	3	6
PE098002	1	1	1	9
PE098002	2	2	2	5
PE098002	3	12	3	4
PE098002	4	4	4	2
PE098003	1	2	1	12
PE098003	2	12	2	8
PE098004	1	2	1	10
PE098004	2	11	2	6
PE098004	3	1	3	4
PE098005	1	12	1	7
PE098005	2	2	3	6
PE098005	3	10	3	4
PE098005	4	11	4	3
PE098006	1	12	1	10
PE098006	2	7	2	5
PE098006	3	2	3	3
PE098006	4	1	4	2
PE098007	1	9	1	10
PE098007	2	2	2	6
PE098007	3	1	3	4
PE098008	1	1	1	20
PE098009	1	1	1	8
PE098009	2	2	2	7
PE098009	3	12	3	5
PE098010	1	12	1	12
PE098010	2	2	2	5
PE098010	3	1	3	3
PE098011	1	1	1	8
PE098011	2	11	2	7
PE098011	3	2	3	5
PE098012	1	1	1	8
PE098012	2	12	2	7
PE098012	3	7	3	5
PE098013	1	12	1	10
PE098013	2	9	2	5
PE098013	3	11	3	3
PE098013	4	1	4	2
PE098014	1	11	1	20
PE098015	1	2	1	20
PE098016	1	12	1	11
PE098016	2	9	2	9
PE098017	1	11	1	15
PE098017	2	1	2	5
PE098018	1	12	1	13
PE098018	2	9	2	7
PE098019	1	9	1	10
PE098019	2	12	2	6
PE098019	3	1	3	4
PE098020	1	8	1	20
PE098021	1	11	1	10
PE098021	2	1	2	6
PE098021	3	2	3	4
PE098021	4	12	4	0
PE098022	1	2	1	8
PE098022	2	11	2	7
PE098022	3	1	3	5
PE098023	1	11	1	20
PE098024	1	2	1	9
PE098024	2	1	2	7
PE098024	3	11	3	4
PE098025	1	12	1	9
PE098025	2	11	2	7
PE098025	3	7	3	4
PE098026	1	2	1	8
PE098026	2	12	2	5
PE098026	3	1	3	4
PE098026	4	11	4	3
PE098028	1	12	1	14
PE098028	2	11	2	6
PE098029	1	11	1	10
PE098029	2	2	2	6
PE098029	3	1	3	3
PE098029	4	12	4	1
PE108001	1	12	1	20
PE108002	1	9	1	20
PE108003	1	12	1	20
PE108004	1	9	1	20
PE108005	1	12	1	20
PE108006	1	12	1	20
PE108007	1	7	1	12
PE108007	2	12	2	8
PE108008	1	9	1	20
PE108009	1	6	1	15
PE108009	2	7	2	5
PE108010	1	7	1	20
PE108011	1	12	1	20
PE108013	1	12	1	20
PE108015	1	9	1	20
PE108016	1	12	1	12
PE108016	2	7	2	8
PE108017	1	12	1	13
PE108017	2	7	2	7
PE108018	1	9	1	15
PE108018	2	7	2	5
PE108019	1	12	1	15
PE108019	2	7	2	5
PE108020	1	7	1	13
PE108020	2	12	2	7
PE108021	1	12	1	15
PE108021	2	7	2	3
PE108021	3	9	3	2
PE108022	1	12	1	20
PE108023	1	12	1	20
PE108024	1	12	1	12
PE108024	2	9	2	8
PE108025	1	6	1	15
PE108025	2	7	2	5
PE108026	1	12	1	11
PE108026	2	8	2	9
PE108027	1	12	1	14
PE108027	2	2	2	6
PE108028	1	9	1	11
PE108028	2	12	2	9
PE108029	1	7	1	20
PE118001	1	12	1	20
PE118002	1	7	1	13
PE118002	2	12	2	7
PE118003	1	11	1	20
PE118004	1	12	1	20
PE118005	1	11	1	20
PE118006	1	11	1	20
PE118007	1	7	1	20
PE118008	1	11	1	20
PE118009	1	2	1	15
PE118009	2	9	2	5
PE118010	1	11	1	10
PE118010	2	1	2	6
PE118010	3	7	3	4
PE118011	1	11	1	20
PE118012	1	9	1	14
PE118012	2	11	2	6
PE118013	1	1	1	8
PE118013	2	9	2	7
PE118013	3	11	3	5
PE118014	1	1	1	10
PE118014	2	6	2	6
PE118014	3	11	3	4
PE118015	1	11	1	11
PE118015	2	1	2	7
PE118015	3	7	3	2
PE118016	1	1	1	14
PE118016	2	11	2	6
PE118017	1	11	1	20
PE118018	1	7	1	12
PE118018	2	2	2	8
PE118019	1	1	1	13
PE118019	2	2	2	7
PE118020	1	11	1	13
PE118020	2	12	2	7
PE118021	1	9	1	14
PE118021	2	11	2	6
PE118022	1	11	1	10
PE118022	2	1	2	4
PE118022	3	12	3	3
PE118022	4	2	4	3
PE118023	1	11	1	20
PE118024	1	11	1	20
PE118027	1	11	1	20
PE118028	1	11	1	15
PE118028	2	2	2	4
PE118028	3	12	3	1
PE118029	1	7	1	15
PE118029	2	12	2	5
PE118030	1	12	1	15
PE118030	2	9	2	3
PE118030	3	7	3	2
PE128002	1	12	1	15
PE128002	2	9	2	5
PE128003	1	12	1	20
PE128004	1	9	1	13
PE128004	2	7	2	7
PE128005	1	9	1	12
PE128005	2	12	2	6
PE128005	3	7	3	2
PE128006	1	12	1	20
PE128007	1	11	1	15
PE128007	2	9	2	5
PE128008	1	12	1	12
PE128008	2	7	2	8
PE128009	1	12	1	20
PE128010	1	12	1	20
PE128011	1	9	1	12
PE128011	2	7	2	8
PE128012	1	12	1	10
PE128012	2	7	2	10
PE128013	1	7	1	14
PE128013	2	9	2	6
PE128014	1	9	1	15
PE128014	2	12	2	5
PE128015	1	7	1	20
PE128016	1	12	1	17
PE128016	2	2	2	3
PE128017	1	7	1	8
PE128017	2	9	2	6
PE128017	3	12	3	6
PE128018	1	7	1	15
PE128018	2	10	2	5
PE128019	1	6	1	12
PE128019	2	9	2	8
PE128020	1	7	1	12
PE128020	2	12	2	8
PE128021	1	6	1	13
PE128021	2	7	2	7
PE128022	1	9	1	12
PE128022	2	7	2	7
PE128022	3	12	3	1
PE128023	1	7	1	20
PE128024	1	9	1	20
PE128026	1	7	1	16
PE128026	2	12	2	4
PE128027	1	12	1	20
PE128028	1	6	1	17
PE128028	2	12	2	3
PE128029	1	12	1	12
PE128029	2	6	2	5
PE128029	3	7	3	3
PE128030	1	7	1	20
PE128031	1	12	1	13
PE128031	2	9	2	7
PE128032	1	9	1	20
PE128033	1	12	1	20
PE128034	1	12	1	20
PE128037	1	7	1	17
PE128037	2	12	2	3
PE128038	1	12	1	20
PE128039	1	9	1	10
PE128039	2	12	2	8
PE128039	3	7	3	2
PE128040	1	7	1	14
PE128040	2	12	2	6
PE128041	1	9	1	12
PE128041	2	12	2	8
PE128042	1	7	1	20
PE128043	1	6	1	10
PE128043	2	12	2	7
PE128043	3	7	3	3
PE128044	1	12	1	12
PE128044	2	9	2	8
PE128045	1	9	1	20
PE128046	1	12	1	13
PE128046	2	7	2	7
PE128047	1	12	1	14
PE128047	2	6	2	6
PE128048	1	12	1	13
PE128048	2	7	2	7
PE128049	1	7	1	14
PE128049	2	12	2	6
PE128050	1	12	1	20
PE128051	1	12	1	15
PE128051	2	9	2	5
PE138002	1	12	1	13
PE138002	2	7	2	7
PE138003	1	6	1	12
PE138003	2	7	2	8
PE138004	1	12	1	16
PE138004	2	7	2	4
PE138005	1	8	1	16
PE138005	2	1	2	4
PE138007	1	8	1	11
PE138007	2	7	2	9
PE138008	1	7	1	20
PE138009	1	8	1	11
PE138009	2	12	2	9
PE138010	1	12	1	20
PE138011	1	12	1	13
PE138011	2	7	2	7
PE138012	1	12	1	12
PE138012	2	9	2	8
PE138013	1	9	1	20
PE138014	1	12	1	12
PE138014	2	7	2	8
PE138015	1	12	1	20
PE138016	1	11	1	20
PE138017	1	6	1	14
PE138017	2	7	2	6
PE138018	1	9	1	12
PE138018	2	7	2	8
PE138019	1	7	1	11
PE138019	2	12	2	9
PE138020	1	12	1	10
PE138020	2	7	2	6
PE138020	3	9	3	4
PE138021	1	12	1	20
PE138022	1	7	1	18
PE138022	2	12	2	2
PE138023	1	12	1	17
PE138023	2	9	2	3
PE138024	1	9	1	12
PE138024	2	12	2	8
PE138025	1	12	1	12
PE138025	2	2	2	4
PE138025	3	7	3	4
PE138026	1	7	1	20
PE138027	1	12	1	12
PE138027	2	7	2	8
PE138028	1	12	1	20
PE138029	1	6	1	20
PE138030	1	12	1	12
PE138030	2	7	2	6
PE138030	3	9	3	2
PE138031	1	12	1	20
PE138032	1	9	1	12
PE138032	2	12	2	8
PE138033	1	9	1	15
PE138033	2	12	2	5
PE138034	1	12	1	20
PE138035	1	12	1	11
PE138035	2	7	2	9
PE138036	1	12	1	11
PE138036	2	8	2	9
PE138037	1	12	1	20
PE138038	1	12	1	20
PE138039	0	12	1	15
PE138039	2	7	2	5
PE138040	1	8	1	14
PE138040	2	12	2	6
PE138041	1	8	1	12
PE138041	2	7	2	8
PE138042	1	2	1	9
PE138042	2	11	2	5
PE138042	3	1	3	4
PE138042	4	9	4	2
PE138044	1	8	1	9
PE138044	2	9	2	7
PE138044	3	7	3	4
PE138045	1	12	1	20
PE138046	1	12	1	12
PE138046	2	9	2	8
PE138047	1	8	1	12
PE138047	2	7	2	8
PE138048	1	12	1	20
PE138049	1	12	1	16
PE138049	2	7	2	4
PE138050	1	12	1	12
PE138050	2	9	2	7
PE138050	3	2	3	1
PE138051	1	6	1	11
PE138051	2	12	2	5
PE138051	3	7	3	4
PE138052	1	6	1	11
PE138052	2	12	2	6
PE138052	3	9	3	3
PE138053	1	12	1	14
PE138053	2	7	2	6
PE148001	1	12	1	12
PE148001	2	10	2	8
PE148002	1	9	1	20
PE148003	1	12	1	20
PE148004	1	9	1	13
PE148004	2	12	2	7
PE148005	1	9	1	20
PE148006	1	12	1	20
PE148007	1	12	1	20
PE148008	1	7	1	20
PE148009	1	9	1	13
PE148009	2	12	2	7
PE148010	1	6	1	12
PE148010	2	10	2	5
PE148010	3	9	3	2
PE148010	4	7	4	1
PE148011	1	9	1	12
PE148011	2	12	2	8
PE148012	1	12	1	15
PE148012	2	7	2	5
PE148013	1	12	1	20
PE148014	1	12	1	13
PE148014	2	2	2	7
PE148015	1	12	1	20
PE148016	1	12	1	13
PE148016	2	9	2	7
PE148017	1	9	1	14
PE148017	2	7	2	6
PE148018	1	9	1	16
PE148018	2	12	2	4
PE148019	1	12	1	20
PE148020	1	12	1	12
PE148020	2	6	2	5
PE148020	3	7	3	3
PE148021	1	12	1	20
PE148022	1	12	1	13
PE148022	2	9	2	7
PE148023	1	12	1	16
PE148023	2	9	2	4
PE148025	1	9	1	14
PE148025	2	12	2	6
PE148026	1	12	1	20
PE148027	1	9	1	12
PE148027	2	12	2	8
PE148028	1	12	1	20
PE148029	1	12	1	20
PE148030	1	12	1	15
PE148030	2	9	2	5
PE148031	1	12	1	20
PE148032	1	9	1	12
PE148032	2	12	2	6
PE148032	3	7	3	2
PE148033	1	7	1	20
PE148034	1	12	1	20
PE148035	1	9	1	20
PE148036	1	9	1	20
PE148036	2	12	2	0
PE148037	1	12	1	15
PE148037	2	9	2	5
PE148038	1	12	1	17
PE148038	2	9	2	3
PE148039	1	12	1	16
PE148039	2	7	2	4
PE148040	1	12	1	12
PE148040	2	9	2	8
PE148041	1	12	1	20
PE148042	1	6	1	20
PE148043	1	12	1	11
PE148043	2	9	2	5
PE148043	3	6	3	4
PE148044	1	12	1	20
PE148045	1	12	1	14
PE148045	2	8	2	6
PE148046	1	9	1	20
PE148047	1	9	1	13
PE148047	2	12	2	7
PE148048	1	12	1	10
PE148048	2	7	2	6
PE148048	3	9	3	4
PE148049	1	12	1	20
PE148051	1	12	1	12
PE148051	2	9	2	8
PE158001	1	12	1	20
PE158002	1	11	1	15
PE158002	2	12	2	5
PE158003	1	8	1	20
PE158004	1	11	1	20
PE158005	1	12	1	20
PE158006	1	1	1	8
PE158006	2	12	2	5
PE158006	3	6	3	4
PE158006	4	11	4	3
PE158007	1	8	1	15
PE158007	2	7	2	5
PE158008	1	11	1	20
PE158009	1	1	1	16
PE158009	2	2	2	4
PE158010	1	1	1	16
PE158010	2	11	2	4
PE158011	1	12	1	10
PE158011	2	1	2	10
PE158011	3	6	3	0
PE158012	1	11	1	10
PE158012	2	1	2	7
PE158012	3	7	3	3
PE158013	1	12	1	14
PE158013	2	1	2	6
PE158014	1	11	1	12
PE158014	2	1	2	8
PE158015	1	12	1	20
PE158016	1	1	1	13
PE158016	2	11	2	7
PE158017	1	11	1	14
PE158017	2	1	2	6
PE158018	1	11	1	12
PE158018	2	12	2	8
PE158019	1	1	1	20
PE158021	1	8	1	15
PE158021	2	7	2	5
PE158022	1	1	1	15
PE158022	2	11	2	5
PE158023	1	1	1	12
PE158023	2	11	2	8
PE158024	1	6	1	11
PE158024	2	1	2	9
PE158025	1	11	1	10
PE158025	2	7	2	6
PE158025	3	9	3	4
PE158026	1	9	1	14
PE158026	2	7	2	6
PE158031	1	1	1	10
PE158031	2	6	2	7
PE158031	3	2	3	3
PE158032	1	12	1	11
PE158032	2	1	2	9
PE158033	1	7	1	15
PE158033	2	12	2	5
PE158034	1	12	1	9
PE158034	2	1	2	7
PE158034	3	11	3	4
PE158035	1	12	1	10
PE158035	2	1	2	6
PE158035	3	8	3	4
PE158036	1	1	1	20
PE158037	1	12	1	14
PE158037	2	1	2	6
PE158038	1	11	1	12
PE158038	2	12	2	6
PE158038	3	9	3	2
PE158039	1	1	1	11
PE158039	2	11	2	9
PE158040	1	1	1	16
PE158040	2	9	2	4
PE158041	1	9	1	8
PE158041	2	1	2	6
PE158041	3	7	3	4
PE158041	4	12	4	2
PE158042	1	1	1	14
PE158042	2	11	2	6
PE158043	1	1	1	11
PE158043	2	11	2	6
PE158043	3	6	3	3
PE158044	1	6	1	13
PE158044	2	7	2	7
PE158045	1	11	1	16
PE158045	2	1	2	4
PE158046	1	1	1	20
PE158046	2	11	2	 
PE158047	1	12	1	20
PE158048	1	1	1	20
PE158049	1	1	1	12
PE158049	2	8	2	6
PE158049	3	4	3	1
PE158049	4	9	4	1
PE158050	1	12	1	15
PE158050	2	11	2	5
PE158051	1	11	1	13
PE158051	2	1	2	7
PE158052	1	7	1	15
PE158052	2	12	2	5
PE158053	1	11	1	13
PE158053	2	1	2	6
PE158053	3	12	3	1
PE158054	1	1	1	12
PE158054	2	11	2	8
PE158055	1	11	1	14
PE158055	2	12	2	6
PE158056	1	12	1	11
PE158056	2	1	2	9
PE158057	1	7	1	20
PE168001	1	11	1	17
PE168001	2	12	2	3
PE168002	1	12	1	8
PE168002	2	2	2	5
PE168002	3	11	3	4
PE168002	4	7	4	3
PE168003	1	1	1	12
PE168003	2	11	2	6
PE168003	3	2	3	2
PE168004	1	12	1	15
PE168004	2	2	2	5
PE168005	1	12	1	11
PE168005	2	2	2	5
PE168005	3	1	3	4
PE168006	1	11	1	12
PE168006	2	7	2	5
PE168006	3	12	3	3
PE168007	1	11	1	14
PE168007	2	2	2	4
PE168007	3	1	3	2
PE168008	1	12	1	7
PE168008	2	2	2	5
PE168008	3	9	3	4
PE168008	4	1	4	3
PE168008	5	7	5	1
PE168009	1	7	1	15
PE168009	2	1	2	5
PE168010	1	12	1	16
PE168010	2	1	2	4
PE168011	1	11	1	20
PE168012	1	11	1	9
PE168012	2	2	2	6
PE168012	3	12	3	5
PE168013	1	2	1	12
PE168013	2	1	2	8
PE168015	1	11	1	12
PE168015	2	7	2	8
PE168016	1	12	1	14
PE168016	2	11	2	6
PE168017	1	1	1	20
PE168018	1	12	1	9
PE168018	2	1	2	5
PE168018	3	7	3	1
PE168018	4	11	4	2
PE168018	5	4	5	3
PE168019	1	2	1	20
PE168020	1	2	1	8
PE168020	2	11	2	5
PE168020	3	12	3	4
PE168020	4	1	4	3
PE168021	1	1	1	10
PE168021	2	7	2	6
PE168021	3	12	3	4
PE168022	1	2	1	13
PE168022	2	1	2	7
PE168023	1	2	1	15
PE168023	2	11	2	3
PE168023	3	1	3	2
PE168024	1	12	1	14
PE168024	2	1	2	3
PE168024	3	2	3	3
PE168025	1	1	1	10
PE168025	2	12	2	6
PE168025	3	2	3	4
PE178001	1	12	1	20
PE178002	1	2	1	12
PE178002	2	12	2	6
PE178002	3	1	3	2
PE178003	1	7	1	14
PE178003	2	12	2	6
PE178004	1	12	1	15
PE178004	2	8	2	5
PE178006	1	12	1	9
PE178006	2	2	2	7
PE178006	3	1	3	4
PE178007	1	12	1	11
PE178007	2	9	2	9
PE178009	1	6	1	20
PE178010	1	12	1	12
PE178010	2	1	2	6
PE178010	3	2	3	2
PE178011	1	9	1	20
PE178013	1	2	1	20
PE178015	1	6	1	13
PE178015	2	7	2	6
PE178015	3	12	3	1
PE178016	1	11	1	20
PE178019	1	11	1	15
PE178019	2	2	2	5
PE178020	1	7	1	9
PE178020	2	1	2	7
PE178020	3	11	3	4
PE178021	1	2	1	7
