formno	childid	crechid	agecrech	crechdur	crechtyp	paycrech	crchqual	dayscrec	hrscrech	crechvis
R2INDX	PE101006	1	26	2	4	1	3	5	5	1
R2INDX	PE101019	1	20	1	1	1	1	5	4	1
R2INDX	PE101029	1	20	1	1	1	2	5	4	1
R2INDX	PE101033	1	14	3	4	1	3	3	6	1
R2INDX	PE101034	1	24	1	4	1	3	5	6	1
R2INDX	PE101036	1	18	3	4	1	3	5	6	1
R2INDX	PE101039	1	18	2	4	1	2	5	5	1
R2INDX	PE101044	1	11	3	4	1	2	5	7	1
R2INDX	PE101045	1	12	2	4	1	3	5	6	1
R2INDX	PE101046	1	24	3	4	1	2	5	5	1
R2INDX	PE101048	1	20	1	4	1	2	5	6	1
R2INDX	PE101051	1	30	1	4	1	2	1	7	1
R2INDX	PE101053	1	24	1	4	1	2	1	3	1
R2INDX	PE101056	1	36	1	4	1	2	5	7	1
R2INDX	PE101057	1	30	1	4	0	2	5	6	1
R2INDX	PE101058	1	12	3	4	0	2	5	7	1
R2INDX	PE101061	1	24	2	2	1	2	5	8	0
R2INDX	PE101062	1	12	2	4	1	4	5	5	1
R2INDX	PE101069	1	24	2	4	1	3	5	4	1
R2INDX	PE101072	1	18	2	1	1	2	5	2	1
R2INDX	PE101074	1	30	1	4	1	2	5	3	1
R2INDX	PE101079	1	24	2	4	1	2	5	7	1
R2INDX	PE101081	1	24	3	4	1	2	5	6	1
R2INDX	PE101083	1	24	3	4	0	2	4	3	1
R2INDX	PE101087	1	8	3	4	1	2	5	7	1
R2INDX	PE101088	1	12	3	4	1	2	5	7	1
R2INDX	PE101090	1	24	3	4	1	2	5	6	1
R2INDX	PE101092	1	18	1	4	1	4	5	7	0
R2INDX	PE101095	1	24	3	1	1	2	5	4	0
R2INDX	PE101099	1	24	2	4	1	3	5	3	1
R2INDX	PE101100	1	12	1	4	0	2	5	4	1
R2INDX	PE101102	1	24	2	4	1	3	5	6	1
R2INDX	PE111044	1	24	1	4	0	2	5	8	1
R2INDX	PE111079	1	24	1	4	0	2	5	3	1
R2INDX	PE111094	1	24	1	4	0	2	5	4	1
R2INDX	PE121004	1	24	3	4	1	2	5	4	1
R2INDX	PE121012	1	6	3	1	1	1	5	9	1
R2INDX	PE121018	1	36	2	1	1	2	5	9	1
R2INDX	PE121026	1	30	2	1	1	2	5	4	0
R2INDX	PE121036	1	30	3	1	1	2	5	5	1
R2INDX	PE121039	1	18	2	2	1	3	5	9	0
R2INDX	PE121046	1	24	3	1	1	2	5	9	1
R2INDX	PE121048	1	30	2	4	0	1	3	2	1
R2INDX	PE121052	1	17	3	4	0	2	5	4	1
R2INDX	PE121057	1	31	3	4	0	2	5	4	0
R2INDX	PE121060	1	24	2	1	1	3	5	4	1
R2INDX	PE121065	1	28	2	4	1	2	5	5	1
R2INDX	PE121068	1	31	3	1	1	2	5	4	1
R2INDX	PE121075	1	29	2	4	1	4	3	4	1
R2INDX	PE121076	1	24	2	4	1	3	1	2	1
R2INDX	PE121091	1	12	2	4	1	3	5	10	1
R2INDX	PE121097	1	24	1	4	1	2	5	4	1
R2INDX	PE131003	1	30	1	4	1	2	5	5	1
R2INDX	PE131004	1	26	2	1	1	3	5	5	1
R2INDX	PE131010	1	12	3	4	1	2	3	3	1
R2INDX	PE131011	1	20	3	4	1	2	5	9	1
R2INDX	PE131012	1	20	2	4	1	2	5	7	1
R2INDX	PE131014	1	24	1	1	1	2	5	3	1
R2INDX	PE131015	1	30	1	4	0	3	3	4	1
R2INDX	PE131017	1	6	3	4	1	2	5	4	0
R2INDX	PE131017	2	31	1	4	1	3	5	5	0
R2INDX	PE131020	1	24	1	4	1	2	5	8	1
R2INDX	PE131024	1	12	2	4	1	2	5	8	0
R2INDX	PE131034	1	24	2	4	1	2	6	7	1
R2INDX	PE131035	1	12	2	4	0	2	5	7	1
R2INDX	PE131041	1	24	1	4	1	2	5	7	1
R2INDX	PE131049	1	24	2	4	1	2	5	7	1
R2INDX	PE131071	1	32	1	4	0	3	4	3	1
R2INDX	PE131072	1	24	1	4	1	3	5	3	1
R2INDX	PE131073	1	30	2	2	0	2	5	8	1
R2INDX	PE131074	1	6	3	4	1	2	4	3	0
R2INDX	PE131075	1	24	2	4	0	2	5	3	1
R2INDX	PE131076	1	24	3	4	0	1	4	4	1
R2INDX	PE131079	1	24	2	4	1	2	5	3	1
R2INDX	PE131083	1	36	1	4	1	2	5	9	0
R2INDX	PE131085	1	18	1	4	1	2	5	6	1
R2INDX	PE131086	1	25	2	4	0	2	4	4	1
R2INDX	PE131090	1	10	1	4	1	2	5	8	1
R2INDX	PE131091	1	24	2	4	1	2	5	4	1
R2INDX	PE131094	1	18	2	4	1	2	5	9	1
R2INDX	PE131095	1	41	1	4	1	2	5	8	1
R2INDX	PE131102	1	36	3	4	0	2	5	3	1
R2INDX	PE141007	1	24	2	1	1	1	5	5	1
R2INDX	PE141008	1	18	1	4	1	2	5	8	1
R2INDX	PE141010	1	21	3	4	0	2	2	4	1
R2INDX	PE141013	1	34	3	4	0	2	5	5	1
R2INDX	PE141036	1	30	1	4	0	3	3	3	1
R2INDX	PE141048	1	24	3	1	1	2	6	8	1
R2INDX	PE141050	1	20	2	3	1	1	3	3	1
R2INDX	PE141054	1	36	3	4	1	2	5	3	1
R2INDX	PE141059	1	24	1	4	1	2	5	7	1
R2INDX	PE141067	1	33	2	4	1	2	5	5	1
R2INDX	PE141073	1	21	3	4	1	2	5	4	1
R2INDX	PE141093	1	30	2	1	1	1	5	2	1
R2INDX	PE141095	1	24	3	1	1	2	5	5	1
R2INDX	PE141099	1	14	2	4	0	2	5	6	0
R2INDX	PE141099	2	26	2	4	0	2	5	4	1
R2INDX	PE151001	1	24	1	4	1	2	5	8	1
R2INDX	PE151013	1	24	1	4	1	4	5	2	1
R2INDX	PE151020	1	24	1	4	1	3	5	8	1
R2INDX	PE161004	1	36	2	4	0	2	5	5	1
R2INDX	PE161009	1	6	1	3	0	2	5	6	1
R2INDX	PE161012	130	30	2	4	0	2	5	4	1
R2INDX	PE161013	1	24	3	4	0	2	5	4	1
R2INDX	PE161020	1	30	2	4	1	2	5	8	1
R2INDX	PE161032	1	36	2	4	0	2	5	3	1
R2INDX	PE161037	1	36	2	4	0	2	5	8	1
R2INDX	PE161039	1	34	1	4	0	4	4	8	1
R2INDX	PE161042	1	36	2	4	0	2	5	8	1
R2INDX	PE161071	1	24	3	4	1	2	5	3	1
R2INDX	PE161072	1	24	3	4	1	3	5	3	1
R2INDX	PE161097	1	12	2	3	0	2	5	7	1
R2INDX	PE161098	1	36	1	3	0	2	5	7	1
R2INDX	PE171013	1	14	2	4	0	3	0	8	1
R2INDX	PE171034	1	24	1	4	0	2	5	3	1
R2INDX	PE171041	1	28	2	4	0	3	3	3	1
R2INDX	PE171059	1	31	3	4	1	2	5	4	1
R2INDX	PE171092	1	24	3	4	0	2	5	3	1
R2INDX	PE171103	1	24	1	1	1	2	5	10	0
R2INDX	PE181001	1	12	2	4	0	2	5	8	1
R2INDX	PE181002	1	28	2	4	0	2	5	5	1
R2INDX	PE181003	1	12	3	4	0	2	5	8	1
R2INDX	PE181004	1	15	3	4	0	2	5	8	1
R2INDX	PE181005	1	7	3	4	0	2	5	8	1
R2INDX	PE181006	1	24	3	4	0	2	5	9	1
R2INDX	PE181007	1	13	3	4	0	1	5	9	1
R2INDX	PE181008	1	14	3	4	0	2	5	8	1
R2INDX	PE181009	1	14	3	4	0	2	5	8	1
R2INDX	PE181010	1	14	3	4	0	1	5	8	1
R2INDX	PE181011	1	12	3	4	0	2	5	9	1
R2INDX	PE181012	1	8	3	4	0	2	5	8	1
R2INDX	PE181013	1	26	2	4	0	2	0	8	1
R2INDX	PE181014	1	12	3	4	0	2	5	8	1
R2INDX	PE181015	1	24	2	4	0	2	5	9	1
R2INDX	PE181016	1	6	2	4	0	3	5	9	1
R2INDX	PE181017	1	30	1	4	0	2	5	9	1
R2INDX	PE181018	1	30	2	4	0	2	5	8	1
R2INDX	PE181019	1	24	3	4	0	2	5	8	1
R2INDX	PE181021	1	12	1	4	0	2	4	8	1
R2INDX	PE181022	1	12	3	4	0	2	5	8	1
R2INDX	PE181023	1	28	3	4	0	2	5	8	1
R2INDX	PE181024	1	32	1	4	0	2	1	8	1
R2INDX	PE181025	1	24	2	4	0	2	5	7	1
R2INDX	PE181026	1	6	3	4	0	2	5	8	1
R2INDX	PE181029	1	9	3	4	0	2	5	8	1
R2INDX	PE181030	1	36	2	4	0	2	5	9	1
R2INDX	PE181031	1	7	3	4	0	2	5	7	1
R2INDX	PE181032	1	6	3	4	0	2	5	10	1
R2INDX	PE181033	1	24	3	4	0	2	5	8	1
R2INDX	PE181034	1	30	1	4	0	2	5	8	1
R2INDX	PE181035	1	9	3	4	0	2	5	8	1
R2INDX	PE181036	1	24	3	4	0	2	5	8	1
R2INDX	PE181037	1	32	2	4	0	2	5	8	1
R2INDX	PE181039	1	6	3	4	0	2	5	9	1
R2INDX	PE181040	1	6	2	4	1	3	5	9	1
R2INDX	PE181041	1	24	3	4	0	2	5	8	1
R2INDX	PE181042	1	24	2	4	0	2	5	4	1
R2INDX	PE181045	1	12	3	4	1	2	5	8	1
R2INDX	PE181049	1	12	3	4	0	2	5	8	1
R2INDX	PE181050	1	24	2	4	1	2	5	8	1
R2INDX	PE181051	1	6	3	4	0	2	5	8	1
R2INDX	PE181052	1	24	3	4	0	2	5	9	1
R2INDX	PE181054	1	14	3	4	0	2	5	8	1
R2INDX	PE181055	1	18	3	4	0	2	5	7	1
R2INDX	PE181056	1	24	1	4	0	2	5	9	1
R2INDX	PE181057	1	12	2	4	0	3	5	9	1
R2INDX	PE181058	1	24	2	4	0	2	5	9	1
R2INDX	PE181060	1	24	3	4	0	2	5	9	1
R2INDX	PE181061	1	18	3	4	0	2	5	8	1
R2INDX	PE181063	1	24	3	4	0	3	5	8	1
R2INDX	PE181070	1	1	1	4	0	2	5	8	1
R2INDX	PE181073	1	6	3	4	0	2	5	5	1
R2INDX	PE181074	1	6	3	4	0	2	5	8	1
R2INDX	PE181076	1	24	2	4	0	3	5	9	1
R2INDX	PE181077	1	6	2	4	0	2	5	8	1
R2INDX	PE181079	1	6	3	4	0	3	5	8	1
R2INDX	PE181080	1	7	3	4	0	3	5	7	1
R2INDX	PE181081	1	9	3	4	1	2	5	8	1
R2INDX	PE181081	2	24	2	4	1	2	5	8	1
R2INDX	PE181082	1	24	3	4	0	2	5	8	1
R2INDX	PE181083	1	6	3	4	0	1	5	9	1
R2INDX	PE181084	1	12	3	4	0	1	5	9	1
R2INDX	PE181086	1	24	3	4	0	1	5	9	1
R2INDX	PE181087	1	6	3	4	0	4	5	8	1
R2INDX	PE181088	1	6	3	4	0	2	5	8	1
R2INDX	PE181089	1	6	3	4	0	2	5	8	1
R2INDX	PE181090	1	24	3	4	0	2	5	8	1
R2INDX	PE181091	1	7	3	4	0	3	5	8	1
R2INDX	PE181092	1	6	2	4	0	3	5	8	1
R2INDX	PE181093	1	6	3	4	0	2	5	9	1
R2INDX	PE181095	1	18	3	4	0	2	5	9	1
R2INDX	PE181096	1	6	3	4	0	2	5	8	1
R2INDX	PE181097	1	6	3	4	0	2	5	8	1
R2INDX	PE181098	1	6	3	4	0	2	5	6	1
R2INDX	PE181099	1	6	3	4	0	2	5	8	1
R2INDX	PE181100	1	8	2	4	0	2	5	9	1
R2INDX	PE181101	1	9	3	4	1	2	5	8	1
R2INDX	PE181102	1	12	3	4	0	3	5	8	1
R2INDX	PE181103	1	6	3	4	0	3	5	8	1
R2INDX	PE181104	1	6	3	4	0	2	5	8	1
R2INDX	PE191004	1	12	1	4	0	2	5	9	1
R2INDX	PE191005	1	24	2	4	0	2	5	4	1
R2INDX	PE191007	1	8	3	4	1	3	5	11	1
R2INDX	PE191009	1	13	1	4	1	2	5	3	1
R2INDX	PE191011	1	16	3	4	0	2	5	4	1
R2INDX	PE191015	1	6	3	4	0	2	4	4	1
R2INDX	PE191016	1	36	3	4	1	2	5	6	1
R2INDX	PE191019	1	18	3	4	0	2	5	8	1
R2INDX	PE191020	1	15	2	4	0	2	5	4	1
R2INDX	PE191022	1	18	3	4	0	2	5	8	1
R2INDX	PE191022	2	34	2	4	0	2	5	4	1
R2INDX	PE191025	1	24	2	4	0	3	5	3	1
R2INDX	PE191027	1	6	2	4	0	2	3	2	1
R2INDX	PE191030	1	36	3	4	1	2	5	8	1
R2INDX	PE191031	1	33	3	1	1	2	5	3	1
R2INDX	PE191032	1	24	2	4	0	2	5	3	1
R2INDX	PE191033	1	28	2	4	1	2	5	8	1
R2INDX	PE191036	1	24	2	4	0	2	4	3	1
R2INDX	PE191038	1	24	2	4	1	2	5	5	1
R2INDX	PE191038	2	36	2	4	1	2	5	5	1
R2INDX	PE191043	1	24	1	4	0	3	5	8	1
R2INDX	PE191044	1	15	3	4	0	2	5	8	1
R2INDX	PE191047	1	30	3	4	0	1	5	3	1
R2INDX	PE191050	1	36	2	4	0	2	5	8	1
R2INDX	PE191051	1	12	2	4	0	2	4	5	1
R2INDX	PE191053	1	24	1	4	0	3	4	8	1
R2INDX	PE191054	1	24	1	4	0	2	5	9	1
R2INDX	PE191055	1	18	3	4	0	2	5	8	1
R2INDX	PE191057	1	24	1	4	0	3	5	4	1
R2INDX	PE191058	1	24	2	4	0	2	5	3	1
R2INDX	PE191060	1	24	2	4	0	2	4	4	1
R2INDX	PE191061	1	24	2	4	0	2	5	4	1
R2INDX	PE191062	1	24	3	4	1	2	7	5	1
R2INDX	PE191063	1	6	2	4	0	2	5	4	1
R2INDX	PE191063	2	24	2	4	0	2	5	8	1
R2INDX	PE191064	1	6	3	4	0	2	3	3	1
R2INDX	PE191065	1	12	3	4	0	2	5	2	1
R2INDX	PE191067	1	24	3	4	0	3	5	2	1
R2INDX	PE191070	1	18	3	4	1	2	5	5	1
R2INDX	PE191071	1	24	2	4	0	3	3	4	1
R2INDX	PE191072	1	30	3	4	0	2	5	3	1
R2INDX	PE191073	1	12	2	4	0	2	3	4	1
R2INDX	PE191079	1	36	1	4	0	2	5	8	1
R2INDX	PE191084	1	18	2	4	0	2	5	8	1
R2INDX	PE191087	1	28	3	4	0	2	5	9	1
R2INDX	PE191091	1	18	3	4	0	2	5	8	1
R2INDX	PE191092	1	18	1	4	1	5	5	6	1
R2INDX	PE191104	1	24	2	1	1	2	5	5	1
R2INDX	PE201003	1	24	2	4	0	2	7	24	1
R2INDX	PE201006	1	48	2	4	0	2	5	8	1
R2INDX	PE201010	1	24	1	4	0	2	5	3	1
R2INDX	PE201036	1	24	2	4	0	2	5	3	1
R2INDX	PE201060	1	24	1	4	1	3	5	8	1
R2INDX	PE201061	1	24	2	4	1	2	5	4	1
R2INDX	PE201062	1	24	2	6	1	2	5	10	1
R2INDX	PE201067	1	36	2	4	1	2	5	5	1
R2INDX	PE201073	1	24	2	4	0	2	5	4	1
R2INDX	PE201076	1	12	3	4	0	2	5	6	1
R2INDX	PE201077	1	33	2	4	1	3	5	6	1
R2INDX	PE201082	1	6	2	3	0	2	5	8	1
R2INDX	PE201085	1	24	3	4	0	2	5	8	1
R2INDX	PE201086	1	12	3	4	0	3	5	8	1
R2INDX	PE201098	1	32	3	4	0	2	5	7	1
